Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157)
0.0,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.122346554139557e-23,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,8.7319341295573344e-18,1.162837722935567e-16,1.162837722935567e-16,3.663348046126522e-29,3.6633452118632614e-29,7.3347951083633079e-17,3.4708485055349071e-27
1.714257035159076e-22,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,2.4449415562760522e-17,3.2559456242183986e-16,3.2559456242183986e-16,2.2126622198560394e-28,2.2126588550209986e-28,2.0537426302239e-16,2.0963924972427231e-26
3.9183017946493165e-22,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.999999999999998,9.5,5.5884378429166851e-17,7.4421614267793033e-16,7.4421614267793033e-16,1.0653016118070226e-27,1.0652983081969023e-27,4.6942688685277324e-16,1.0093227452590099e-25
8.326391313629798e-22,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999999999578,9.5,1.187543041619793e-16,1.5814593031882088e-15,1.581459303188209e-15,4.652452018512794e-27,4.6524227985421417e-27,9.9753213432501735e-16,4.407977600473742e-25
1.714257035159076e-21,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999999999123,9.5,2.4449415562760334e-16,3.2559456242011541e-15,3.2559456242011541e-15,1.9423071339951819e-26,1.9422825729951308e-26,2.0537426285154163e-15,1.8402438762345766e-24
3.477492842751268e-21,0.20021579939992348,76.950000000000003,0.0,0.0,0.0,0.99999999999998213,9.5,4.959738585588481e-16,6.6049182661966014e-15,6.604918266196599e-15,7.9349584013145816e-26,7.9347570377898987e-26,4.1661636138798577e-15,7.5179966850752389e-24
7.003964457935652e-21,0.20021579939992357,76.950000000000003,0.0,0.0,0.0,0.99999999999996403,9.5,9.9893326442132403e-16,1.3302863550065718e-14,1.3302863550065704e-14,3.207437054664454e-25,3.2072739891370325e-25,8.3910055725433127e-15,3.0388944575735423e-23
1.4056907688304424e-20,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999999992784,9.5,2.004852076146223e-15,2.6698754117316913e-14,2.6698754117316784e-14,1.2896963326858746e-24,1.2895650896014214e-24,1.6840689441608519e-14,1.2219260918588196e-22
2.8162794149041966e-20,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999999985534,9.5,4.0166896995958045e-15,5.3490535249871451e-14,5.3490535249870397e-14,5.1722591234575189e-24,5.1712060804634964e-24,3.3740056986692099e-14,4.9004701161676524e-22
5.637456707051705e-20,0.20021579939992357,76.950000000000003,0.0,0.0,0.0,0.99999999999971034,9.5,8.0403649464941099e-15,1.0707409750719188e-13,1.0707409750718343e-13,2.0716014842983668e-23,2.0707579288286181e-23,6.7538791304671958e-14,1.9627440924831782e-21
1.127981129134672e-19,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999999942035,9.5,1.6087715440287277e-14,2.1424122199070035e-13,2.1424122199063287e-13,8.2918046775181284e-23,8.2850536709868739e-23,1.3513625685188262e-13,7.8560912235328848e-21
2.2564520459936754e-19,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999999884037,9.5,3.2182416427859862e-14,4.2857547083336483e-13,4.2857547083282497e-13,3.3178019214186828e-22,3.3124031677045115e-22,2.7033117559130882e-13,3.1434596285286247e-20
4.513393879711681e-19,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999999768041,9.5,6.4371818402950007e-14,8.5724396802269575e-13,8.5724396801838244e-13,1.3273368051220944e-21,1.323023533927479e-21,5.4072096365019009e-13,1.2575884098650185e-19
9.027277547147695e-19,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.9999999999953606,9.5,1.2875062235291023e-13,1.7145809604285955e-12,1.7145809603941903e-12,5.3097792899714349e-21,5.2753742261693894e-21,1.0815003420881392e-12,5.0307619973253809e-19
1.8055044882019722e-18,0.20021579939992348,76.950000000000003,0.0,0.0,0.0,0.99999999999072098,9.5,2.5750823025195047e-13,3.4292549374381765e-12,3.4292549371645784e-12,2.1239981054437519e-20,2.0966383086545655e-20,2.1630583082453631e-12,2.0123858428615913e-18
3.611057955176378e-18,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999998144162,9.5,5.1502344604650978e-13,6.8586028609432504e-12,6.8586028587804462e-12,8.4961649836134169e-20,8.2798847048014043e-20,4.3261710776897379e-12,8.0497004177745597e-18
7.222164889125189e-18,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999996288291,9.5,1.0300538776215442e-12,1.3717298591212725e-11,1.3717298574312556e-11,3.3985003300014642e-19,3.2294986557173456e-19,8.6523839651351904e-12,3.2199075411178714e-17
1.444437875702281e-17,0.20021579939992357,76.950000000000003,0.0,0.0,0.0,0.9999999999257656,9.5,2.0601147407152766e-12,2.7434689623757964e-11,2.7434689494578418e-11,1.3594068584471639e-18,1.2302273075885006e-18,1.7304759134548906e-11,1.2879652628562227e-16
2.1666592624920432e-17,0.20021579939992357,76.950000000000003,0.0,0.0,0.0,0.99999999988864829,9.5,3.0901756037526708e-12,4.1152080264019301e-11,4.1152079904046028e-11,2.8887436197297227e-18,2.528770340859776e-18,2.5957083698781392e-11,2.7369239556267553e-16
3.611102036071567e-17,0.20021579939992348,76.950000000000003,0.0,0.0,0.0,0.99999999981441368,9.5,5.1502973296021131e-12,6.8586860216987882e-11,6.8586858679789294e-11,7.9865358993698607e-18,6.4493373115950152e-18,4.3261530408889237e-11,7.566755478734517e-16
4.911100532293139e-17,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999974760256,9.5,7.0044068826845849e-12,9.3278161251831872e-11,9.3278157927557871e-11,1.4221659128117287e-17,1.0897385114675428e-17,5.8835368944996789e-11,1.3474103309457903e-15
6.21109902851471e-17,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999968079145,9.5,8.8585164355743858e-12,1.1796946146214206e-10,1.1796945542841233e-10,2.2200213908767937e-17,1.6166484176585241e-17,7.4409034418595644e-11,2.103318822519575e-15
7.511097524736282e-17,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999961398034,9.5,1.071262598828219e-11,1.4266076099931333e-10,1.4266075127912194e-10,3.1825623873800247e-17,2.2105432483135972e-17,8.9982536417999579e-11,3.015249778039195e-15
1.0111094517179425e-16,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999948035811,9.5,1.4420845093282754e-11,1.9204335879750362e-10,1.9204333921741815e-10,5.4832064795694128e-17,3.5251979347195162e-17,1.2112916762178023e-10,5.1949134026252116e-15
1.271109150962257e-16,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999934673589,9.5,1.8129064197610581e-11,2.4142595481097836e-10,2.4142592105611322e-10,8.3925946935955743e-17,5.0171081817573249e-17,1.5227519457261738e-10,7.951285988015479e-15
1.531108850206571e-16,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999921311367,9.5,2.1837283301220034e-11,2.9080854936698376e-10,2.9080849638148997e-10,1.1952016271310714e-16,6.6534668933335062e-17,1.8342057629709349e-10,1.1323473238618732e-14
2.0511082486951998e-16,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999894586944,9.5,2.9253721506243361e-11,3.8957373586044575e-10,3.8957362712529965e-10,2.1057585225573841e-16,1.018407061475984e-16,2.4570936778399798e-10,1.9949920793866627e-14
2.5711076471838283e-16,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.9999999986786251,9.5,3.6670159708348365e-11,4.8833891987284273e-10,4.8833873140929182e-10,3.2803861001863704e-16,1.3957505897884761e-16,3.0799553825634169e-10,3.1077907810310213e-14
3.6111064441610857e-16,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999814413709,9.5,5.15030361037976e-11,6.8586928498993554e-10,6.8586886054526642e-10,6.4223778162108645e-16,2.177931126239894e-16,4.3256001149756324e-10,6.0842947597536112e-14
5.691104038115601e-16,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999707516252,9.5,8.1168788859651679e-11,1.0809300109612285e-09,1.0809288010789721e-09,1.587740932601772e-15,3.7785867647214292e-16,6.8165748966437466e-10,1.5040690581367969e-13
9.85109922602463e-16,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999493721914,9.4999999999999947,1.4050029423117708e-10,1.8710514584056027e-09,1.8710474111562086e-09,4.747203572587495e-15,6.9995417888990734e-16,1.1797265974129756e-09,4.4964678401744827e-13
1.401109441393366e-15,0.2002157993999235,76.950000000000003,0.0,0.0,0.0,0.99999999279928342,9.4999999999999893,1.9983179941579214e-10,2.6611729022535704e-09,2.6611643265933261e-09,9.5979278869867049e-15,1.0222676423271982e-15,1.6776279452806195e-09,9.0899945471390597e-13
2.233108478975172e-15,0.20021579939992348,76.950000000000003,0.0,0.0,0.0,0.99999998852343497,9.4999999999999734,3.1849480922429083e-10,4.2414157808288815e-09,4.2413930736428784e-09,2.4373065873157643e-14,1.6658798708189214e-15,2.6729276492515032e-09,2.3077684158844849e-12
2.9819076127987972e-15,0.2002157993999234,76.950000000000003,0.0,0.0,0.0,0.99999998467519735,9.4999999999999538,4.2529151741270776e-10,5.6636343601499995e-09,5.6635931505228498e-09,4.3454600467545286e-14,2.2449733174511021e-15,3.5681242004182576e-09,4.1137152040910196e-12
