Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63)
3.69744197254823e-19,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999805672324,9.5,3.0765514799030302e-12,2.6570146401828113e-11,2.6570146403757577e-11,1.7566161660608125e-20,1.742353554139252e-20,1.8870583065515072e-09,4.1799103382110154e-16,8.1433079063220771e-21,8.0673633110781329e-30,2.4173943727675489e-34,7.6560344688667035e-32,1.2698039621489641e-15,4.7975889710038674e-22,6.5643516495983593e-30,5.8412071939875922e-34,1.9124026706193867e-43,0.0,1.8570868093242355e-27,6.0712165763914788e-21
5.54616315471989e-19,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999708508469,9.5,4.6148273807884772e-12,3.9855220960406269e-11,3.9855220964307479e-11,3.6368507387354758e-20,3.5979721351140747e-20,2.8305865841053043e-09,8.6539718571582987e-16,1.6859681839504363e-20,2.1495005038080513e-29,6.6026543867331253e-34,2.2223104562854216e-31,2.6289673374527286e-15,9.9327990250034595e-22,1.6938674461593288e-29,1.5953779633442657e-33,7.0182477468006162e-43,0.0,5.0722794231551761e-27,1.2569683332290557e-20
7.394884336891551e-19,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999611344614,9.5,6.1531032802948841e-12,5.3140295485648154e-11,5.3140295492132268e-11,6.1853305831613002e-20,6.1041261244022945e-20,3.7741142109049971e-09,1.4718136687634022e-15,2.8673897857392908e-20,4.4004151879820116e-29,1.3814962477453935e-33,4.8599418897543607e-31,4.4711840134144206e-15,1.6893089973721042e-21,3.3731833322889291e-29,3.3379958433364214e-33,1.8198840846505085e-42,0.0,1.0612903897673236e-26,2.1377739653932074e-20
9.243605519063212e-19,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.9999999951418076,9.5,7.6913791783237476e-12,6.6425369975223226e-11,6.6425369984894428e-11,9.4497874617240909e-20,9.3022211573926303e-20,4.7176411404685941e-09,2.2485982553403673e-15,4.3807228411415975e-20,7.8370381481610046e-29,2.5149612758940546e-33,9.1179114297383081e-31,6.8309574678695499e-15,2.580882473037821e-21,5.848060554289445e-29,6.0765669735462125e-33,3.9791340093157425e-42,0.0,1.9320383354205519e-26,3.2660356218545493e-20
1.2941047883406533e-18,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999319853072,9.5,1.0767930969856038e-11,9.2995518845470803e-11,9.2995518863028449e-11,1.8171605548158259e-19,1.7783871002096806e-19,6.6046928640941815e-09,4.3239725384697584e-15,8.4239707176154349e-20,1.9549788952040872e-28,6.6402402473682177e-33,2.494826038031407e-30,1.3135682389210881e-14,4.9629455230789232e-21,1.3715052157253103e-28,1.6043013521306566e-32,1.5305519072481817e-41,0.0,5.1011489373663394e-26,6.280470752905722e-20
2.0335932612093174e-18,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.99999998931197698,9.5,1.6921034534929573e-11,1.4613581615489669e-10,1.461358161923626e-10,4.4333209108290419e-19,4.285033138749819e-19,1.037878782160002e-08,1.0549171658968082e-14,2.0551915718255451e-19,6.7121462832106952e-28,2.5676761732727751e-32,9.9081539836811078e-30,3.2047050982471164e-14,1.2108083812589012e-20,4.2308878842662652e-28,6.2027679583402152e-32,1.0102968969167407e-40,0.0,1.9725315417988361e-25,1.5322446339745938e-19
2.7730817340779816e-18,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999998542542334,9.5,2.3074138075994438e-11,1.9927611289156389e-10,1.9927611295196217e-10,8.2128761057891602e-19,7.8480855740714665e-19,1.4152871449736195e-08,1.9542677268778269e-14,3.8073082346779481e-19,1.5207903397523829e-27,6.3723331017540023e-32,2.480642625180351e-29,5.9368185013626893e-14,2.2430634527904272e-20,8.906366312195731e-28,1.5392110872574032e-31,3.3311975718595884e-40,0.0,4.8953276721489113e-25,2.8385349827659369e-19
4.25205867981531e-18,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999997765231652,9.5,3.5380345086119845e-11,3.0555670466502115e-10,3.0555670476247279e-10,1.9261117516447143e-18,1.7963652241977545e-18,2.1701004728316861e-08,4.5832062453875722e-14,8.9290126460235678e-19,4.5794378002637899e-27,2.3144394321124048e-31,9.0678842532975821e-29,1.3923201647948376e-13,5.2605100252517885e-20,2.3986139300705232e-27,5.5890153130040931e-31,1.9269412919354522e-39,0.0,1.7779851923266832e-24,6.6570304968979272e-19
7.210012571289967e-18,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.99999996210610465,9.5,5.9992758818358221e-11,5.1811788151667032e-10,5.1811788154885644e-10,5.531387988129638e-18,4.9111194740719776e-18,3.6797135378112618e-08,1.3161949726240561e-13,2.5642147143574176e-18,1.6686579953204524e-26,1.1565649573938418e-30,4.5458946798001958e-28,3.9984340729649777e-13,1.510708485796952e-19,7.7253203437600906e-27,2.7913800480696914e-30,1.7405484454536444e-38,0.0,8.8848528299043089e-24,1.9117599853589346e-18
1.3125920354239282e-17,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999993101368834,9.5,1.0921758513080584e-10,9.4324020914938396e-10,9.4324020778357022e-10,1.8324344860105526e-17,1.4797156470764406e-17,6.6988853066946706e-08,4.3602445122542899e-13,8.4946454647494558e-18,6.6108274829382004e-26,7.1696994285062791e-30,2.8213849970873274e-27,1.3245872072877131e-12,5.0046690206309656e-19,2.7639676395021963e-26,1.7284320493409358e-29,2.0743812836416766e-37,0.0,5.5077829452036126e-23,6.3332709551284735e-18
2.495773592013791e-17,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999986882888481,9.5,2.0766723314759543e-10,1.7934847642425912e-09,1.7934847509011007e-09,6.6239763878735109e-17,4.5085760616677889e-17,1.2737011407827667e-07,1.5761359339574185e-12,3.0706378257221774e-17,2.6714312472705314e-25,5.023749835554592e-29,1.9776172028829594e-26,4.7881018843503431e-12,1.8091159503888232e-18,1.0450594998233147e-25,1.2083063706626998e-28,2.8593688887098625e-36,0.0,3.8591808791601644e-22,2.2893865539155174e-17
3.6789551486036535e-17,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.99999980664412025,9.5,3.0611687502025115e-10,2.6437291896530968e-09,2.6437291482163513e-09,1.4392774377572785e-16,8.5516707346633603e-17,1.8774847603132452e-07,3.4246258245793513e-12,6.6718839217569003e-17,6.0461311534389252e-25,1.5348262606856966e-28,6.042263630731123e-26,1.0403580693937217e-11,3.9309068347204486e-18,2.3075182434472951e-25,3.6857218764951206e-28,1.1674793930096671e-35,0.0,1.1790173032901051e-21,4.9744548111917823e-17
6.045318261783379e-17,0.4351410047819241,76.950000000000003,0.0,0.0,0.0,0.99999968227470792,9.5,5.030161403331912e-10,4.3442176683455563e-09,4.3442175054413171e-09,3.8862065215774616e-16,1.7988983476480906e-16,3.0849650348180045e-07,9.2465648594542056e-12,1.8014272908860921e-16,1.6888794214288865e-24,6.822792595119804e-28,2.6860302994295864e-25,2.8089896155568253e-11,1.0613911657551206e-17,6.3136922357703987e-25,1.6317004919879298e-27,8.6014214589970526e-35,0.0,5.2409164380027397e-21,1.3431615081704428e-16
8.110872144489707e-17,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999957371511283,9.5,6.7488578796523205e-10,5.8285416986177456e-09,5.8285413529193733e-09,6.9955172793359245e-16,2.713695337009648e-16,4.1388570955573647e-07,1.6644225579228958e-11,3.2426542911100881e-16,3.0813435624653316e-24,1.5978631896027558e-27,6.2905049600834163e-25,5.0563055111848865e-11,1.9106030581318178e-17,1.1424899756724061e-24,3.8112701173731432e-27,2.5285484858366179e-34,0.0,1.2273664347625316e-20,2.4178160685868331e-16
