Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57)
0.0,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.604897284128358e-20,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,1.9779539080569794e-17,1.3154578169236212e-16,1.3154578170634073e-16,1.6687445573741581e-26,1.668646914887415e-26,4.2948283710716988e-19,8.5085720946753537e-27,1.3979605828517341e-26
1.0093712395559403e-19,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,5.5382709425595023e-17,3.6832818863926118e-16,3.6832818872368645e-16,1.0079217125053567e-25,1.0078057973424391e-25,1.2025519150672916e-18,5.1391774423657238e-26,8.4436818602866026e-26
2.3071342618421493e-19,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999999811,9.5,1.2658905011564383e-16,8.4189300213569458e-16,8.4189300254210773e-16,4.852709170614533e-25,4.8515712356865127e-25,2.7486899556564084e-18,2.4742926109043144e-25,4.0652692847262148e-25
4.902660306414567e-19,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999999611,9.5,2.6900173149573497e-16,1.7890226275394655e-15,1.7890226293138689e-15,2.1193055855613437e-24,2.1182993208798254e-24,5.8409655755102025e-18,1.0805884966555951e-24,1.7754098470085481e-24
1.0093712395559403e-18,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999999201,9.5,5.5382709425589107e-16,3.6832818719935357e-15,3.6832818793970679e-15,8.8476836224632599e-24,8.8392291588667127e-24,1.2025514969920587e-17,4.5112434902835293e-24,7.4119861713680275e-24
2.0475816573849077e-18,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.9999999999999839,9.5,1.1234778197760994e-15,7.4718003355110418e-15,7.4718003657221694e-15,3.6145674434994889e-23,3.6076421826927945e-23,2.4394606377556941e-17,1.8429895356101499e-23,3.0280378306124858e-23
4.124002493042842e-18,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999996758,9.5,2.2627792708160981e-15,1.5048837161168903e-14,1.5048837283007186e-14,1.461065945279236e-22,1.4554677365890057e-22,4.9132759668127227e-17,7.4496532910599444e-23,1.223981008160319e-22
8.27684416435871e-18,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999993494,9.5,4.5413821728944293e-15,3.0202910408449173e-14,3.0202910896116485e-14,5.8748818468887645e-22,5.8299834904636589e-22,9.860894815074002e-17,2.9954687378059564e-22,4.9215714118551887e-22
1.6582527506990445e-17,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999986966,9.5,9.0985879770444164e-15,6.0511055298496338e-14,6.0511057236492136e-14,2.3560903337402327e-21,2.3203177915209134e-21,1.9756085272410966e-16,1.2013136623313009e-21,1.9737683427147785e-21
3.3193894192253917e-17,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.9999999999997391,9.5,1.82129995853177e-14,1.2112733875112258e-13,1.2112734637387203e-13,9.4366502573933281e-21,9.1540465695795397e-21,3.9546277232146635e-16,4.8114944169739531e-21,7.9053531485363433e-21
6.641662756278087e-17,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999947797,9.5,3.6441822801757501e-14,2.423598810341081e-13,2.4235991047514793e-13,3.7771190611961946e-20,3.5570338607454241e-20,7.9125905346297674e-16,1.925830664144649e-20,3.1641891795921431e-20
1.3286209430383476e-16,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999895584,9.5,7.2899469234210037e-14,4.8482487207637772e-13,4.8482498198378049e-13,1.5113393739064055e-19,1.3443353850160997e-19,1.5828213846877587e-15,7.7056630033478971e-20,1.2660780161226856e-19
2.6575302778594253e-16,0.2182734639062357,76.950000000000003,0.0,0.0,0.0,0.99999999999791145,9.5,1.4581476209740683e-13,9.6975451274159143e-13,9.6975489822549603e-13,6.0463396755016873e-19,4.8361205681148747e-19,3.1658251321402499e-15,3.0826324192311662e-19,5.0650581529634523e-19
5.315348947501582e-16,0.2182734639062357,76.950000000000003,0.0,0.0,0.0,0.99999999999582267,9.5,2.9164534781696728e-13,1.939612611024632e-12,1.9396138236077507e-12,2.4187311528711015e-18,1.6051885960463266e-18,6.3313490409327144e-15,1.2330456915810618e-18,2.0261256758411998e-18
1.0630986286785895e-15,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999999164524,9.5,5.8330651922875539e-13,3.879324859853302e-12,3.8793280459757246e-12,9.6753058522844163e-18,4.7570938265935878e-18,1.2660463104893233e-14,4.9315225906594352e-18,8.104334449043114e-18
2.126226096535452e-15,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999998329037,9.5,1.1666288619430017e-12,7.7587358705868692e-12,7.7587419771909034e-12,3.8701911196602819e-17,1.2394489503453374e-17,2.5310960942035465e-14,1.9719607917710452e-17,3.2414025728383514e-17
4.252481032249177e-15,0.21827346390623578,76.950000000000003,0.0,0.0,0.0,0.99999999996658062,9.5,2.3332735469341736e-12,1.5517508101219168e-11,1.5517511786061131e-11,1.5480842271516535e-16,2.886754644890968e-17,5.0581073196827586e-14,7.882421703003414e-17,1.2962571822772468e-16
6.3787359679629015e-15,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999994987088,9.5,3.4999182314880247e-12,2.3276231490946584e-11,2.3276223541894181e-11,3.2896771211632312e-16,4.5609709329561975e-17,7.5820339729678826e-14,1.6742122099327877e-16,2.7540895038188758e-16
8.504990903676626e-15,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999993316113,9.5,4.6665629156045546e-12,3.1034906269262738e-11,3.1034877245212994e-11,5.6117925645745623e-16,6.2412244624180973e-17,1.0102879819212554e-13,2.8547462019642921e-16,4.69742962090175e-16
1.2757500775104076e-14,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999989974164,9.5,6.9998522828112511e-12,4.6552141918031648e-11,4.6552048407776108e-11,1.1618458110932613e-15,9.6043225877624424e-17,1.5137352707855196e-13,5.9060227465467028e-16,9.7229232967347493e-16
1.7010010646531525e-14,0.2182734639062357,76.950000000000003,0.0,0.0,0.0,0.99999999986632215,9.4999999999999964,9.3331416484097656e-12,6.2069199190376944e-11,6.2069006094883594e-11,1.9759868678181e-15,1.2968346958163199e-16,2.016052758112887e-13,1.0037531846275297e-15,1.6532079048867404e-15
2.1262520517958974e-14,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999983290266,9.4999999999999947,1.1666431012285222e-11,7.7586065492856139e-11,7.7585735061783956e-11,3.0188471100263762e-15,1.6332446928083347e-16,2.517162250197549e-13,1.5324036531493056e-15,2.5250915685800471e-15
2.976754026081387e-14,0.21827346390623567,76.950000000000003,0.0,0.0,0.0,0.99999999976606369,9.4999999999999893,1.6333009734758746e-11,1.0861921413668935e-10,1.0861849249177638e-10,5.8050682736882204e-15,2.3060243510439785e-16,3.5156982882817288e-13,2.9418406184886711e-15,4.8528209255883392e-15
4.6777579746523666e-14,0.21827346390623573,76.950000000000003,0.0,0.0,0.0,0.99999999963238595,9.4999999999999734,2.5666167158725314e-11,1.706831951910167e-10,1.7068122260909304e-10,1.4162240829300708e-14,3.6515127447180526e-16,5.4982244196951319e-13,7.151490057398256e-15,1.1824507631179787e-14
6.378761923223346e-14,0.21827346390623567,76.950000000000003,0.0,0.0,0.0,0.9999999994987081,9.4999999999999503,3.499932455469387e-11,2.3274409250671996e-10,2.3274023672733908e-10,2.6235395854845933e-14,4.9969321366190125e-16,7.461468536715498e-13,1.3204742907185451e-14,2.1879923260314994e-14
9.780769820365305e-14,0.21827346390623545,76.950000000000003,0.0,0.0,0.0,0.99999999923135285,9.4999999999998863,5.3665639262662263e-11,3.5685669267668815e-10,3.5684712170223519e-10,6.1524917714966831e-14,7.6875733546946994e-16,1.1331084814978738e-12,3.074892381499422e-14,5.1185185926476627e-14
1.3182777717507264e-13,0.2182734639062352,76.950000000000003,0.0,0.0,0.0,0.99999999896399816,9.4999999999997922,7.233195385867238e-11,4.8095708922461508e-10,4.8093915042248677e-10,1.1167062783707336e-13,1.0377950040686437e-15,1.5125847614606206e-12,5.5450039971246757e-14,9.2694030704657666e-14
1.6584785614649223e-13,0.21827346390623487,76.950000000000003,0.0,0.0,0.0,0.99999999869664369,9.4999999999996732,9.0998268342727001e-11,6.0504536230393045e-10,6.0501632531735127e-10,1.7667009696553667e-13,1.3068063874847757e-15,1.8847148093271398e-12,8.7175079180448256e-14,1.4632630399866477e-13
1.9986793511791182e-13,0.21827346390623453,76.950000000000003,0.0,0.0,0.0,0.99999999842928955,9.4999999999995275,1.0966458271482713e-10,7.2912159355416039e-10,7.2907864862361583e-10,2.5652108831343557e-13,1.5757916621541161e-15,2.249638933991811e-12,1.2578988846738422e-13,2.1200036610685794e-13
2.67908093060751e-13,0.21827346390623362,76.950000000000003,0.0,0.0,0.0,0.99999999789458205,9.4999999999991562,1.4699721112316436e-10,9.7723822933905602e-10,9.7715874835372672e-10,4.6076975428781755e-13,2.1136845330193162e-15,2.9583741883263042e-12,2.2320618916925569e-13,3.7917508442555268e-13
3.359482510035902e-13,0.21827346390623242,76.950000000000003,0.0,0.0,0.0,0.99999999735987566,9.4999999999986784,1.8432983908368536e-10,1.2253076399868822e-09,1.2251794666757295e-09,7.2439956285147196e-13,2.6514750121813222e-15,3.6398686407053801e-12,3.4666812715928325e-13,5.9357477668654069e-13
