Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54)
0.0,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.665216721436172e-26,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,3.1465098124148167e-19,4.5337632019835762e-18,4.5337632019835762e-18,5.9659863250433398e-34,5.9659863168784618e-34,2.7831419471022088e-16,7.514366911110011e-30,2.7042644159425626e-34,5.303339202526323e-50,2.5606217326202737e-54,4.9057983856649486e-52,2.4206987865024217e-29,1.9628523962128462e-35,4.8077988303402358e-50,6.5607012717499489e-54,3.0872285516447044e-70,0.0,7.6167524846305066e-48,1.8778736642587934e-34,4.0530919913654764e-49,4.0530919913654764e-49,2.4175573267680975e-65,4.1255870601385725e-66,1.4924909658313024e-49,5.6793460237275046e-36
7.462606820021282e-26,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,8.8102274747614839e-19,1.2694536965554002e-17,1.2694536965554002e-17,3.6034557403261328e-33,3.6034557306327902e-33,7.7927974518851464e-16,4.5386776143099426e-29,1.6333757072291307e-33,6.2961241865255873e-49,3.0399701209708511e-53,7.4136425204166935e-51,1.4621020670473007e-28,1.1855628473125579e-34,5.7078185078331398e-49,7.7888645497147874e-53,8.7064784722061235e-69,0.0,9.0426085497524161e-47,1.1342356932123081e-33,4.8118308121490817e-48,4.8118308121490829e-48,5.4079790376847867e-64,9.2287732300461986e-65,1.7718852746345061e-48,3.4303249983314652e-35
1.7057387017191503e-25,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999999811,9.5,2.0137662799454811e-18,2.9016084492694815e-17,2.9016084492694821e-17,1.7349088233225367e-32,1.7349088138055544e-32,1.7812108461446848e-15,2.1851778977500326e-28,7.8640009215583213e-33,6.1815718188523362e-48,2.984660691554328e-52,7.9752583196076281e-50,7.0393920711465983e-28,5.7079747681869391e-34,5.6039694996496148e-48,7.647153402020814e-52,1.8938492409836147e-67,0.0,8.878086696082442e-46,5.4608566156645301e-33,4.7242840251355664e-47,4.7242840251355683e-47,1.0685255256044969e-62,1.8234500721267122e-63,1.7396474697716729e-47,1.6515538237000368e-34
3.624694741153194e-25,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.999999999999996,9.5,4.2792533448841405e-18,6.165917954697625e-17,6.165917954697625e-17,7.5768026328043495e-32,7.5768025486277224e-32,3.7850730480553577e-15,9.5432459771018659e-28,3.4344158082443148e-32,5.4675298374506622e-47,2.6398985814873138e-51,7.3306364117314081e-49,3.0742874588555481e-27,2.4928225431902953e-33,4.9566465664384734e-47,6.7638205824283809e-51,3.510877317807527e-66,0.0,7.8525671415486243e-45,2.3848995536086249e-32,4.1785757194180814e-46,4.1785757194180837e-46,1.9013840817097472e-61,3.244731976783803e-62,1.538698486130723e-46,7.2127694501347331e-34
7.462606820021281e-25,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.9999999999999919,9.5,8.8102274747614407e-18,1.2694536965553838e-16,1.2694536965553843e-16,3.1631659495373556e-31,3.163165878781827e-31,7.7927974518700283e-15,3.9841173362634613e-27,1.4338009933302814e-31,4.5957875445993319e-46,2.2189938235862824e-50,6.2715137866537005e-48,1.283454496601308e-26,1.0407043404720335e-32,4.1663584288425535e-46,5.6853987496173301e-50,6.0343010762800806e-65,0.0,6.6005558351300709e-44,9.956486167899743e-32,3.5123446702453321e-45,3.5123446702453358e-45,3.206962165930935e-60,5.472714738834609e-61,1.2933687911290232e-45,3.0111892617810418e-33
1.5138430977757456e-24,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999998357,9.5,1.7872175734515967e-17,2.5751774987265981e-16,2.5751774987265996e-16,1.2922565019491601e-30,1.2922564439395042e-30,1.5808246259472692e-14,1.6276419304080894e-26,5.8575448954873548e-31,3.7679031023654075e-45,1.8192652025755829e-49,5.1854088779911078e-47,5.2433303994964324e-26,4.2516168042927227e-32,3.4158296210893557e-45,4.6612333911508524e-49,1.0001411499233377e-63,0.0,5.4115344624164569e-43,4.0675494717307963e-31,2.8796323675937854e-44,2.8796323675937913e-44,5.2674449874052952e-59,8.9889503920455856e-60,1.0603818770142324e-44,1.2301690661240809e-32
3.0490079293229805e-24,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999996703,9.5,3.5996072254024724e-17,5.1866251030689112e-16,5.1866251030689191e-16,5.2235073949147093e-30,5.2235069251374944e-30,3.1839143874571264e-14,6.5791889202393269e-26,2.3677133008325078e-30,3.0513436903248054e-44,1.4732881287454657e-48,4.2166883824918151e-46,2.1194379811087677e-25,1.7185714897992404e-31,2.7662229511468299e-44,3.7747876489932616e-48,1.6284705929782388e-62,0.0,4.3824009111547978e-42,1.6441685309941958e-30,2.3320009507881339e-43,2.3320009507881443e-43,8.5387553140655496e-58,1.4571475945597146e-58,8.5872473625580278e-44,4.9725400523875694e-32
6.11933759241745e-24,0.2660267001950413,76.950000000000003,0.0,0.0,0.0,0.99999999999993383,9.5,7.2243865293041031e-17,1.0409520311753076e-15,1.0409520311753106e-15,2.1003493496732891e-29,2.1003489715557489e-29,6.3900939104341445e-14,2.6454629284839998e-25,9.520471046763158e-30,2.4559837536567062e-43,1.1858304592880578e-47,3.4009119405080579e-45,8.5221669057046305e-25,6.9103003749621593e-31,2.2264897438645591e-43,3.0382774961198631e-47,2.6283581025668582e-61,0.0,3.5273375135347813e-41,6.6111293499675233e-30,1.8769972446915343e-42,1.8769972446915502e-42,1.3751402197717045e-56,2.3466912796560899e-57,6.9117637509098256e-43,1.9994364850414179e-31
1.2259996918606391e-23,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999986755,9.5,1.4473945137106884e-16,2.0855310729119558e-15,2.085531072911968e-15,8.4233402963823945e-29,8.4233372622277733e-29,1.2802452956217392e-13,1.0609489555273162e-24,3.8181347031706234e-29,1.9707672999636056e-42,9.515542627506705e-47,2.7317974201433572e-44,3.4177700923664571e-24,2.7713395210977209e-30,1.7866063362188361e-42,2.438026341959506e-46,4.2237009106511904e-60,0.0,2.8304662106140087e-40,2.6513585593232892e-29,1.5061720797070018e-41,1.5061720797070276e-41,2.2074046002161963e-55,3.7669592174906278e-56,5.5462551222468702e-42,8.0186345748573774e-31
2.454131557098427e-23,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999973499,9.5,2.8973062352710514e-16,4.1746891563845126e-15,4.1746891563845623e-15,3.3737297095107522e-28,3.3737272784956306e-28,2.562717104710072e-13,4.2493297023477602e-24,1.5292454097095432e-28,1.5790040585483254e-41,7.6240135094100521e-46,2.1898737609411787e-43,1.368890736319192e-23,1.1099813314574253e-29,1.431440809479901e-41,1.9533878852462918e-45,6.7726173605165475e-59,0.0,2.2678173451858592e-39,1.0619263650099314e-28,1.2067705152179409e-40,1.206770515217982e-40,3.5376030587686468e-54,6.0369569085033954e-55,4.4437533009321584e-41,3.2116363275418123e-30
4.910395287574003e-23,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999946987,9.5,5.797129678391007e-16,8.3530053233266711e-15,8.3530053233268699e-15,1.35037110313186e-27,1.3503691568429106e-27,5.1276607226134757e-13,1.7008392881159095e-23,6.1209669670317729e-28,1.2641505459044198e-40,6.1038465383850226e-45,1.7536750745274916e-42,5.4791303771586321e-23,4.4428180206604071e-29,1.1459936121852602e-40,1.563898039742788e-44,1.0847957921509152e-57,0.0,1.8156328060778987e-38,4.2504729200106868e-28,9.6615018030920718e-40,9.6615018030927374e-40,5.6647740514297114e-53,9.6669966308671893e-54,3.5577046325273262e-40,1.2854915076094527e-29
9.822922748525156e-23,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999893963,9.5,1.1596776564627838e-15,1.6709637657199154e-14,1.6709637657199955e-14,5.403243352270597e-27,5.403227776064787e-27,1.0257547957327225e-12,6.8055725974023586e-23,2.4491840793927625e-27,1.0116841459011925e-39,4.884932321086753e-44,1.4036508331352493e-41,2.192365840378255e-22,1.7777059121083198e-28,9.1709610592346272e-40,1.2515937132644358e-43,1.7366154159656341e-56,0.0,1.4530580525716184e-37,1.7007428177365363e-27,7.7321377700887926e-39,7.7321377700898536e-39,9.0673276446816044e-52,1.547349020894311e-52,2.847244964343223e-39,5.1436404607514448e-29
1.9647977670427462e-22,0.2660267001950413,76.950000000000003,0.0,0.0,0.0,0.99999999999787903,9.5,2.3196070337089167e-15,3.3422902324896825e-14,3.3422902324900025e-14,2.161649178927306e-26,2.1616367156296238e-26,2.0517322422382499e-12,2.7226721905719992e-22,9.7983311281543521e-27,8.0946823544724814e-39,3.9086880597776038e-43,1.1232050453654721e-40,8.7708909422791675e-22,7.1119812209885175e-28,7.3374090113626975e-39,1.0014651009380137e-42,2.7793385991750628e-55,0.0,1.1626672121137719e-36,6.8040787281255127e-27,6.1868849981100168e-38,6.1868849981117155e-38,1.451067628656259e-50,2.4762622063548906e-51,2.2782285663406932e-38,2.0577911181203003e-28
3.9298087514232073e-22,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999575795,9.5,4.6394657881962526e-15,6.684943166010291e-14,6.6849431660115709e-14,8.6473004415108455e-26,8.6472007261987367e-26,4.1036871335004172e-12,1.0891575124651832e-21,3.9196514347062038e-26,6.4758361135367267e-38,3.1272473737777681e-42,8.9867780173931723e-40,3.5086419121170468e-21,2.8450240193842697e-27,5.8692796508901199e-38,8.0124810437795079e-42,4.4475449915663661e-54,0.0,9.3022208682908492e-36,2.7218529984389823e-26,4.949977961469566e-37,4.9499779614722839e-37,2.3219443962461668e-49,3.9624225967343854e-50,1.8227559080729121e-37,8.2318343882310689e-28
7.85983072018413e-22,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999999151568,9.5,9.2791832971512005e-15,1.3370249032975814e-13,1.3370249032980936e-13,3.4590609264954537e-25,3.4589811513172966e-25,8.2075969090291987e-12,4.3568073254624025e-21,1.5679243717325454e-25,5.1800755516682167e-37,2.5019166966688592e-41,7.189877503724133e-39,1.4035138728959049e-20,1.1380559155921612e-26,4.6937198207991709e-37,6.4102883597167177e-41,7.1165546073853279e-53,0.0,7.4421299769512416e-35,1.0887855023737737e-25,3.9601703643495572e-36,3.9601703643539065e-36,3.7152999870566583e-48,6.3401986216994619e-49,1.4582739498635971e-36,3.2928677435361857e-27
1.5719874657705972e-21,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999998303113,9.5,1.8558618314982196e-14,2.6740860766604094e-13,2.6740860766624567e-13,1.3836525208530387e-24,1.3835887005694317e-24,1.6415416432104541e-11,1.7427583833899683e-20,6.2718250760186268e-25,4.1428165498758194e-36,2.0015809111360641e-40,5.7520840448491047e-38,5.6141697015121674e-20,4.5523162796294267e-26,3.7519856880473226e-36,5.1283511631900967e-40,1.1386873482913397e-51,0.0,5.9538452900982777e-34,4.3552306169329633e-25,3.168211491462437e-35,3.1682114914693963e-35,5.9446311111584111e-47,1.0144575755744145e-47,1.1666468463249685e-35,1.3171738957987978e-26
3.143996253274966e-21,0.2660267001950414,76.950000000000003,0.0,0.0,0.0,0.99999999996606215,9.5,3.7117488350328598e-14,5.3482084232649559e-13,5.3482084232731439e-13,5.5346663826269574e-24,5.5341558362780391e-24,3.2831055366326369e-11,6.9711044202288279e-20,2.5087555413457152e-24,3.3121469561002546e-35,1.601283804240821e-39,4.6017400543628877e-37,2.2456907162315044e-19,1.8209450354168697e-25,2.9967089499312358e-35,4.1027276210324814e-39,1.8219306469105619e-50,0.0,4.7631327431860752e-33,1.7421099683097744e-24,2.5345992734128738e-34,2.5345992734240083e-34,9.5115305722960692e-46,1.6231527515459167e-46,9.3332854591354247e-35,5.268749182508958e-26
