Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109),C7H11(46),C2H4(115),C5H7(210),S(340),S(339),S(204),C5H8(336),S(200),C7H8(273),S(400),S(399),S(388),C7H10(238),C7H10(187),S(106),OH(D)(275),S(808),S(826),S(929)
1.2175540746557049e-20,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999962363,9.5,7.2973407267377306e-15,4.3143458668414929e-14,4.3143458668020745e-14,7.4928540300333318e-25,7.4939299879357409e-25,2.8087026323112365e-13,1.9250173015864907e-21,1.8727319826126257e-15,4.1016062740920182e-25,3.8098049403266515e-21,4.7950222038130156e-36,5.1863564362265764e-26,8.4261157117226033e-40,6.8302437447745011e-41,1.5869208648361172e-26,1.9135520099536907e-36,1.913552009937009e-36,1.4558298703290883e-47,2.1234642532910062e-48,5.2418555619574652e-36,5.2094584999136099e-53,9.4224574926648455e-41,6.5634940972375242e-54,6.1419872941789289e-85,5.6770209604357193e-85,5.6770209604371949e-85,1.5896893069740935e-35,8.0323782135891349e-36,1.7671580775662103e-54,1.7671582652904556e-54,1.8772424543403918e-61,9.10135362259991e-73,2.4794190042097654e-84
2.4361659721390862e-20,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999924694,9.5,1.46010214541026e-14,8.632440079196048e-14,8.6324400790383162e-14,2.9986636630401652e-24,2.9995249681436606e-24,5.6198453761417313e-13,7.7050858091223694e-21,3.7470909614627735e-15,1.6417113984626484e-24,1.5249148128197837e-20,3.8360434641226537e-35,2.075894156070645e-25,6.7477279336022195e-39,5.4683480800222856e-40,6.3518190936080827e-26,1.5320051293109381e-35,1.5320051292842255e-35,2.3312244412166634e-46,3.400309417283937e-47,4.1879309434184919e-35,8.3419210294199613e-52,7.5436793246141125e-40,1.0512999500865671e-52,7.8777089368986272e-83,7.2813434175804788e-83,7.2813434175842665e-83,1.2727180235677839e-34,6.4307864937462773e-35,2.8297550634278533e-53,2.8297556646508462e-53,6.0122299357959778e-60,5.8298460314609973e-71,3.1763910280052013e-82
4.873389767105849e-20,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999849365,9.5,2.9208382908819566e-14,1.7268628503432391e-13,1.7268628502801597e-13,1.1995115711007842e-23,1.2002006922384489e-23,1.124213051367601e-12,3.0830378478406924e-20,7.4958087645002133e-15,6.5689838569780592e-24,6.1016453276749256e-20,3.0653851572077657e-34,8.3062804262638991e-25,5.4009196107117962e-38,4.3763404123925161e-39,2.5415549995020106e-25,1.2260697107712186e-34,1.226069710728461e-34,3.7314768012420588e-45,5.442709319862532e-46,3.3377112643892323e-34,1.3352506306897337e-50,6.0372106450246025e-39,1.6829936934268406e-51,1.0093697804988407e-80,9.3295754719106335e-81,9.3295754719203433e-81,1.0185611899652596e-33,5.1465834711076665e-34,4.5294500142608433e-52,4.5294519389832072e-52,1.9247223647806827e-58,3.7326952712157652e-69,4.0675310803485914e-80
9.747837357039376e-20,0.5205708707315976,76.950000000000003,0.0,0.0,0.0,0.99999999999698708,9.5,5.8423105818202386e-14,3.4541005350014016e-13,3.4541005347493185e-13,4.7960732203541158e-23,4.8015842827952358e-23,2.2486699388237906e-12,1.2334158067207408e-19,1.4993243751923731e-14,2.6280211573143803e-23,2.4410552726201284e-19,2.4454198654453258e-33,3.3230529026821758e-24,4.3218337127873496e-37,3.5017372582506861e-38,1.0167874953695692e-24,9.8104205097487368e-34,9.8104205090644748e-34,5.9715761225007611e-44,8.7101063015956097e-45,2.6486878570147817e-33,2.1368357324503271e-49,4.8306449836478861e-38,2.6935228556124146e-50,1.2926484663333227e-78,1.1947912111774209e-78,1.1947912111799078e-78,8.1500365281359758e-33,4.1180484489063537e-33,7.248591623873353e-51,7.2485977842774032e-51,6.160404048619967e-57,2.3894343947052847e-67,5.2075588512369005e-78
1.9496732536906427e-19,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999397382,9.5,1.168525516367637e-13,6.9085759035612972e-13,6.9085759025550843e-13,1.9163854714769863e-22,1.920790021068928e-22,4.4975831535336466e-12,4.9340640638578693e-19,2.998811125216573e-14,1.0512939127024784e-22,9.7650143876060236e-19,1.9448559957331413e-32,1.3293292310048411e-23,3.4579107956000096e-36,2.801655817412085e-37,4.0674809928640449e-24,7.8490816108491324e-33,7.8490816097542038e-33,9.5554886101046244e-43,1.3937585919278159e-43,2.084795233487472e-32,3.4192850009495294e-48,3.8648176505709659e-37,4.3102285108736323e-49,1.6550094584827858e-76,1.5297204205429512e-76,1.5297204205493201e-76,6.5206474412938973e-32,3.294751132544505e-32,1.1598916676387132e-49,1.1598936391736043e-49,1.9715348907341832e-55,1.529400103615242e-65,6.6663875191737083e-76
3.8994522896640534e-19,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999998794731,9.5,2.3371144327306878e-13,1.381752663765538e-12,1.3817526633647902e-12,7.6483098674299327e-22,7.683472663727895e-22,8.99540734214438e-12,1.9737053743668024e-18,5.9977836354232801e-14,4.2053459227282885e-22,3.9061635860737506e-18,1.5376122970862095e-31,5.3175323979293922e-23,2.766513476461036e-35,2.241431081639983e-36,1.6270585991205805e-23,6.2795633762407051e-32,6.2795633744887317e-32,1.5289542797692887e-41,2.2301265565069614e-42,1.6154544352170088e-31,5.4711343044912736e-47,3.091896458083038e-36,6.8968568086853544e-48,3.7089134972783735e-74,3.4281379398991954e-74,3.4281379399276928e-74,5.2167642126348644e-31,2.6359253359998821e-31,1.855917928463474e-48,1.8559242376962305e-48,6.3092327559462651e-54,9.7886672778594419e-64,8.5334213242196444e-74
7.799010361610874e-19,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999997589439,9.5,4.6742922654240863e-13,2.7635428093740709e-12,2.7635428077849939e-12,3.0454403357742545e-21,3.0734515444481265e-21,1.7991046756138846e-11,7.8949776265307248e-18,1.1995724696472547e-13,1.6821719171548321e-21,1.5624963339599476e-17,1.2017474660599546e-30,2.1270555157987854e-22,2.2132963965134054e-34,1.7931874658668174e-35,6.5083667815139333e-23,5.0237699238736464e-31,5.0237699210704241e-31,2.4463837382776876e-40,3.5682912541107686e-41,1.2156959425872578e-30,8.7540376082095262e-46,2.4734087803355893e-35,1.1035420187810158e-46,4.7635386177808189e-72,4.4029248673063412e-72,4.4029248673796627e-72,4.1735082107692346e-30,2.1087892003844364e-30,2.9695341700810979e-47,2.9695543600893491e-47,2.0190008245623448e-52,6.2648936763620749e-62,1.0923037330624558e-71
1.5598126505504515e-18,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999995178857,9.5,9.3486479306800782e-13,5.5271230957500011e-12,5.527123089503789e-12,1.2071730191408403e-20,1.2293930832715784e-20,3.5982289731291262e-11,3.1580195795613489e-17,2.3991590981135394e-13,6.7287507106141417e-21,6.2500417975426195e-17,9.1892894013645715e-30,8.5083028658311985e-22,1.7706900427854533e-33,1.4345670585057548e-34,2.6033731728271655e-22,4.0190636043638649e-30,4.0190635998786708e-30,3.9142467169895544e-39,5.7093322613473375e-40,8.6889088656724743e-30,1.4006638582200714e-44,1.9784831995361993e-34,1.7657211946090707e-45,6.0976342169048457e-70,5.6360255459002719e-70,5.636025546087986e-70,3.3388426400956001e-29,1.6870495864306291e-29,4.7512829778537483e-46,4.7513475862993716e-46,6.4608445583206125e-51,4.0095590269730869e-60,1.398158389617326e-69
3.11963587932918e-18,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.9999999999035768,9.5,1.8697359260668834e-12,1.1054283649137324e-11,1.105428362501166e-11,4.7427891406291417e-20,4.9175970212661903e-20,7.196463227082157e-11,1.2632113799312976e-16,4.7983260200885605e-13,2.6915096496992492e-20,2.5000237410909051e-16,6.7523523704459717e-29,3.4033338578488886e-21,1.4166030764549527e-32,1.1476605538336395e-33,1.0413545475823935e-21,3.2152699104855151e-29,3.2152699033092157e-29,6.2627800485494485e-38,9.1349693990566549e-39,5.7207355373774568e-29,2.241076519419509e-43,1.582368423185613e-33,2.825254721328501e-44,7.8050664742702342e-68,7.2142002152602897e-68,7.2142002157408459e-68,2.6710842762883152e-28,1.3496448048100656e-28,7.6019983467023252e-45,7.6022050923365187e-45,2.0674563393727367e-49,2.5661010405885965e-58,1.7896312180861978e-67
4.6794591081079086e-18,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999985536503,9.5,2.8046070590134362e-12,1.6581444183160111e-11,1.6581444133129193e-11,9.9548283372871836e-20,1.0449908827384114e-19,1.079468314001489e-10,2.6843239725108033e-16,7.1974866071227617e-13,5.7194602112621121e-20,5.3125500345316445e-16,1.841305721972567e-28,7.2320885124427273e-21,4.205605827155448e-32,3.281597100687554e-33,2.2128816973346424e-21,9.1936763257698817e-29,9.1936762993563966e-29,2.3051125666655667e-37,3.3622765352480014e-38,1.47362705770436e-28,8.2486617122283603e-43,4.5238895672509088e-33,1.0688653522562107e-43,4.0271272057962449e-67,3.7222619514747022e-67,3.7222619517697381e-67,7.6376339028755148e-28,3.8591417759086537e-28,2.7980260225677774e-44,2.7981204148601067e-44,9.4392292188673851e-49,1.4098893291668849e-57,1.1545558262730497e-66
