Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),S(118),S(196),S(362),S(361),C7H10(38),S(410),S(340),S(358),S(336),C7H8(308),S(197),S(793),S(853),S(958),S(950),S(1019),S(954),HO2(43),OO(1086),C5H8O(834),S(873)
1.84463017286028e-19,0.3683526409060945,76.950000000000003,0.0,0.0,0.0,0.99999999999944111,9.5,1.821426322847547e-20,1.2604436418874687e-20,2.0333176802285396e-13,7.2473257986818445e-35,7.2473258000406438e-35,2.0333167448588666e-13,1.4927754097966496e-14,2.0042376898476278e-25,1.3723805602324416e-13,1.5547156627802988e-34,6.7870023299396575e-23,1.0865472840173056e-25,1.0758774305103218e-34,1.4929039987545078e-29,6.9656946295248587e-27,1.1051582334992365e-50,1.7747275623003501e-80,6.7796072831362295e-23,1.7747275622997734e-80,1.804486949333297e-50,5.9327591275007343e-62,4.2039740230542685e-23,2.789048321995879e-33,1.1991228940998099e-44,1.5967348677671055e-45,9.132111332346262e-17,1.8863447489692459e-80,3.4357342109369293e-33,4.3205952283482435e-38,3.4880253086280508e-38,1.1891421858138874e-40,8.8788680185330639e-52,5.6286454974346873e-58,2.5894411413425784e-68,1.4372195563931781e-78,1.8759241981990267e-79,3.3806464820677815e-90,1.516974115450235e-84,9.3578838332289386e-20,4.1840473035878291e-35,2.8658054625268071e-95,9.5976406996519721e-69
3.6908629783642264e-19,0.3683526409060946,76.950000000000003,0.0,0.0,0.0,0.99999999999888167,9.5,7.2904506068752342e-20,5.0450583691819058e-20,4.0684019244443608e-13,5.8022673170315437e-34,5.8022673192073888e-34,4.0684000537272696e-13,2.9868477573932425e-14,8.0221739026263428e-25,2.7459528171452519e-13,1.244717631363706e-33,2.716569669310727e-22,4.3490207558562247e-25,8.6135596302159277e-34,5.9755066916275278e-29,2.7880931638841574e-26,1.7696931025582638e-49,2.2762644218012023e-78,2.7106539066262004e-22,2.2762644217997238e-78,1.5157796477963861e-49,9.9532829207631935e-61,1.6826850212045588e-22,2.2264571341946875e-32,1.9201576855768098e-43,2.5568558148250345e-44,1.8272154013640976e-16,2.4194245530901753e-78,2.7274392758407536e-32,3.459103341562629e-37,2.7924792077124353e-37,9.5203679742286375e-40,1.4217748340837666e-50,1.802681042588802e-56,1.658658284745626e-66,1.8412253085354469e-76,2.403250844384534e-77,8.6619374666507325e-88,1.9433993878485387e-82,1.8723900675680956e-19,1.6747095714983935e-34,3.8231753688013019e-93,6.1477375023283107e-67
7.383328589372119e-19,0.3683526409060945,76.950000000000003,0.0,0.0,0.0,0.9999999999977629,9.5,2.9171287007344224e-19,2.0186796892555766e-19,8.1385704062942856e-13,4.6435772710891898e-33,4.643577274571955e-33,8.1385666673705146e-13,5.974992452581054e-14,3.2099144568423744e-24,5.4930954074237962e-13,9.9615202798110091e-33,1.0869817120943328e-21,1.7401747852031932e-24,6.8934629650332434e-33,2.3909810836657159e-28,1.1156004312366301e-25,2.8326615141433753e-48,2.9165745157977503e-76,1.0822564138114197e-21,2.9165745157939592e-76,1.3268762275064037e-48,1.738236819770709e-59,6.7329304810095641e-22,1.7715614673520505e-31,3.073498671952347e-42,4.092633274756668e-43,3.6552231217977237e-16,3.1000053977358492e-76,2.1464848352329182e-31,2.7683340452885516e-36,2.2347329736933613e-36,7.6191878041952397e-39,2.2757628392102901e-49,5.7709985199174266e-55,1.061993692876065e-64,2.3577807646815612e-74,3.0774824750648301e-75,2.218412285320253e-85,2.4886206067656178e-80,3.7455942730289074e-19,6.7010217438318612e-34,5.2766000837292466e-91,3.9362278529404181e-65
1.4768259811387904e-18,0.3683526409060946,76.950000000000003,0.0,0.0,0.0,0.99999999999552525,9.5,1.1670404984096856e-18,8.0760267796375459e-19,1.6278907343789981e-12,3.7155673225712997e-32,3.7155673281448439e-32,1.6278899878282748e-12,1.1951281842935182e-13,1.2841747672180721e-23,1.0987372893803357e-12,7.9707237706075395e-32,4.3486346066408387e-21,6.9618322479700723e-24,5.5158136080856205e-32,9.5654817379149957e-28,4.463128158162633e-25,4.5331807953301519e-47,3.7351084060224125e-74,4.3109759275902683e-21,3.7351084060127043e-74,1.2438041073652551e-47,3.2460420426451624e-58,2.6936094923461187e-21,1.4013384341897403e-30,4.9185853282445555e-41,6.5495419309697319e-42,7.3112352993666255e-16,3.970018991967711e-74,1.6621499913261144e-30,2.2150879695219076e-35,1.7879673690086001e-35,6.0965078493778863e-38,3.6419524336458412e-48,1.8471033162583907e-53,6.7981953301950114e-63,3.0186020076875334e-72,3.9400163649263486e-73,5.6803495882477002e-83,3.1861148220348117e-78,7.492006031832164e-19,2.6808466802133537e-33,7.7255685746152829e-89,2.5197167909117977e-63
2.9538122255419476e-18,0.36835264090609454,76.950000000000003,0.0,0.0,0.0,0.99999999999105005,9.5,4.6685344526459166e-18,3.2306684568870933e-18,3.2559581114931838e-12,2.9727360712312099e-31,2.9727360801497434e-31,3.255956623461021e-12,2.3903860623557449e-13,5.1371168721330246e-23,2.197589708993858e-12,6.3771749507770629e-31,1.7395953793727761e-20,2.7849595207891568e-23,4.4130632783428347e-31,3.8265044919626367e-27,1.7853965589548854e-24,7.2538275914657707e-46,8.3717830136691887e-72,1.7097065687511393e-20,8.3717830136257391e-72,1.2865279228607021e-46,6.6800981004543234e-57,1.0775305898542535e-20,1.0961270105637176e-29,7.870494919420745e-40,1.0480321159078995e-40,1.4623246601334323e-15,8.8983060046994467e-72,1.2490770999299618e-29,1.7722388382900102e-34,1.4302560819005529e-34,4.8776693533659287e-37,5.8276877925545476e-47,5.9113231064846839e-52,4.3512886837876802e-61,3.8642079075400074e-70,5.0437395919172095e-71,1.454319670616858e-80,4.0786518774641269e-76,1.4984842940965187e-18,1.0724272580064725e-32,2.3693397771797914e-86,1.6127816951647813e-61
5.9077847143482615e-18,0.3683526409060945,76.950000000000003,0.0,0.0,0.0,0.99999999998209954,9.5,1.8674837921643406e-17,1.2923158310786141e-17,6.5120928249324386e-12,2.3783017174758422e-30,2.3783017317460839e-30,6.5120898685277115e-12,4.7809018184458033e-13,2.0549301562856876e-22,4.3952822376402983e-12,5.1019669087868415e-30,6.9586644011012569e-20,1.1140291214737167e-22,3.5306076727243729e-30,1.5306643935381484e-26,7.1418768270755968e-24,1.1606715890488565e-44,1.0752803262598023e-69,6.7233194383552151e-20,1.0752803262486222e-69,1.4955177368869642e-45,1.5443831896663392e-55,4.310290566014729e-20,8.3935725960740573e-29,1.2593297290485238e-38,1.6769328310843851e-39,2.9247216992775718e-15,1.1429074745858115e-69,8.9054680949838198e-29,1.4178587015508053e-33,1.1438535671308788e-33,3.9023206932753154e-36,9.3246822168612171e-46,1.891704342629397e-50,2.7849465011736366e-59,4.9464045892105895e-68,6.4562718867522041e-69,3.7232236870258367e-78,5.220919120996091e-74,2.9970570325337206e-18,4.2898940754475714e-32,4.4162958216094278e-84,1.0322234935654004e-59
1.181572969196089e-17,0.3683526409060946,76.950000000000003,0.0,0.0,0.0,0.99999999996419853,9.5,7.4700393267414811e-17,5.1693354026543475e-17,1.3024362094314196e-11,1.9026864700893482e-29,1.9026864929218714e-29,1.30243562538659e-11,9.5619333304883358e-13,8.2198861961540613e-22,8.7906180531624238e-12,4.0816460074889891e-29,2.7835221785738628e-19,4.4562070116157038e-22,2.8245362950761454e-29,6.1227846512856386e-26,2.8568088416380191e-23,1.8571222201880398e-43,1.3764604758940399e-67,2.6010190783328139e-19,1.3764604758654165e-67,1.9424552488188082e-44,3.9927576464149676e-54,1.7241455612871325e-19,6.1829339299686604e-28,2.0149355753410133e-37,2.6831484556547659e-38,5.8494948927173799e-15,1.4630296187040605e-67,5.8415765925970975e-28,1.1343144020558817e-32,9.1445623541925035e-33,3.1219305945607016e-35,1.4919574887875303e-44,6.0534947370278406e-49,1.7823788117673606e-57,6.3314459342630756e-66,8.2640908868572482e-67,9.5315265007454485e-76,6.6828633661342115e-72,5.9942239358504327e-18,1.7160009317843464e-31,9.1729195439623003e-82,6.6062542204610997e-58
2.3631619647186147e-17,0.36835264090609454,76.950000000000003,0.0,0.0,0.0,0.9999999999283965,9.5,2.98800786971728e-16,2.067728721188217e-16,2.6048900043437026e-11,1.5221671358872338e-28,1.5221671724183119e-28,2.6048888605361615e-11,1.9123996354023079e-12,3.2879865994255979e-21,1.7581092721536888e-11,3.2653165170551507e-28,1.1134200278710843e-18,1.782500828184454e-21,2.2596288357258105e-28,2.4491407812899255e-25,1.142735151992356e-22,2.9714347725213345e-42,1.7619116777154441e-65,9.7588186258564348e-19,1.7619116776421665e-65,2.7476186445096634e-43,1.1257943171125017e-52,6.8966064736818047e-19,4.2657464858015707e-27,3.2237995718178818e-36,4.293052726422979e-37,1.1698957741396154e-14,1.8727228373597549e-65,3.4243426929384233e-27,9.0746311877167571e-32,7.305384391491139e-32,2.4975740176982674e-34,2.3870675931212392e-43,1.9370680985633595e-47,1.1406934557896699e-55,8.1040466560503802e-64,1.0577770245175928e-64,2.4400097065144957e-73,8.5539422157621156e-70,1.1988643448252497e-17,6.8641406694935591e-31,2.0752292887804957e-79,4.2278639018761955e-56
3.5447509602411404e-17,0.3683526409060946,76.950000000000003,0.0,0.0,0.0,0.99999999989259447,9.5,6.3494795312672885e-16,4.3938977953971718e-16,3.9073437438871182e-11,4.352459747980804e-28,4.3524598824372929e-28,3.9073420537676766e-11,2.8686059377007491e-12,6.9869904854560261e-21,2.6371370431654672e-11,9.3367287463316792e-28,2.3660243891452796e-18,3.7878254326553668e-21,6.4611015178103373e-28,5.20444312789786e-25,2.4283194501126529e-22,1.0936887123668245e-41,9.0908202445713015e-65,1.985755334871168e-18,9.0908202441214144e-65,9.8171423682933187e-43,5.0055570375350997e-52,1.4655265164244016e-18,1.1251253733195001e-26,1.1865512045247351e-35,1.580126000052737e-36,1.75483370530671e-14,9.6625653217344429e-65,8.3519359994814673e-27,2.5947871913625815e-31,2.0871919455515237e-31,7.1415223124853106e-34,8.7858525499005187e-43,8.8438450936170467e-47,6.2672480628238378e-55,5.228178988866291e-63,6.8240570501169109e-64,1.8119799824338756e-72,5.5184396586685374e-69,1.798314866642258e-17,1.458644355700215e-30,1.1125610232772455e-78,2.322885540634373e-55
4.7263399557636665e-17,0.36835264090609454,76.950000000000003,0.0,0.0,0.0,0.99999999985679244,9.5,1.0831393812265856e-15,7.4954233899601004e-16,5.2097974312653049e-11,9.1806133125996929e-28,9.1806136536052536e-28,5.2097952050811482e-11,3.8248122399441586e-12,1.1918999414994414e-20,3.5161451187928794e-11,1.9693775529652029e-27,4.0361651908164268e-18,6.4615944430278622e-21,1.3628272429424193e-27,8.878187270786843e-25,4.1424337726667641e-22,2.7738369488253417e-41,4.9593825896259455e-64,3.2576889645283598e-18,4.9593825893755027e-64,2.4458555947882538e-42,1.4671648249765201e-51,2.5000091516033932e-18,2.2137257578949587e-26,3.009299603557723e-35,4.0075323137586071e-36,2.3397632828923219e-14,5.271290921679397e-64,1.5483867247888889e-26,5.4731713460703966e-31,4.3992553963581508e-31,1.5063563966573345e-33,2.228248208041395e-42,2.6360657886481836e-46,2.154785853252465e-54,2.0417233898539483e-62,2.6649502735210257e-63,7.9352964496626788e-72,2.1550899186018374e-68,2.3977739590360054e-17,2.4882956055154631e-30,7.3546503955890423e-78,7.9864543457495473e-55
