Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242)
0.0,0.2001853440560438,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.346310753500954e-24,0.2001853440560438,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,8.2650898705624881e-18,1.3163525896752393e-16,1.3163452207632327e-16,6.9901921273576912e-30,6.9902297266260818e-30,4.798710237876731e-16,3.8766734430880305e-27,3.7341627410862914e-30,7.1016559712021222e-44,2.7910179888193164e-48,2.1121667315179051e-33,8.1641915256672052e-27,6.1192739626021939e-32,7.5873949805062862e-44,4.2530129855382184e-48,3.4914495715211684e-50,3.6645505810470174e-64,6.7477776680121231e-44,8.8093636581092879e-32,1.7381944364964451e-44,1.7381944364965016e-44,4.9308224497379857e-58,7.3290553951711598e-59,9.94181183334491e-48,3.4077652484439658e-32,1.9333953713857772e-45,1.4368760913682231e-46,3.5265062479438733e-103,4.0438728966578932e-58,2.2473199551339545e-48,3.2483368441700814e-103,9.2898691997412812e-29,1.0737095393971879e-71,1.0737095344012245e-71,1.4202565957565968e-41,4.2254003830493894e-42,1.757958598744746e-30,1.4201825408730429e-41,1.7112045123995705e-54,3.2483368441700794e-103,2.951844460984335e-61,3.4092590038956585e-58,6.9307219923777214e-74,5.5678834330404823e-88,2.8165695599377993e-49,6.0615735990018155e-102,4.6993781953965123e-36,2.7319775701651364e-73,3.0662368143557102e-102,6.1146719303286153e-49,1.025436053211416e-116,3.0433766441010627e-107,2.4202525773602015e-120,1.1072262351220292e-70,2.7562542333576424e-49,5.9500707346621645e-72,5.662368704019428e-49,1.5034447082729937e-62,2.4973389478735217e-39,1.6062722408484763e-62,1.261562047599448e-63,1.3261626794899979e-52,2.9294518404887195e-52,6.4526136738346039e-76,6.9905170132445481e-53,5.7645770845381662e-56,4.8068085849940194e-83,6.053610243332326e-62,1.2428510802665307e-45,4.2535164194682721e-84,7.3689120436336198e-22,5.0797373662812169e-44,1.7494855487341807e-40,5.0797373662812169e-44,9.2514204555589059e-74,1.9952211530982875e-66,1.3473088640299857e-66,2.6216574603448238e-117,7.5095786704723176e-120,5.6269286795777088e-52,1.5745330137747329e-63,1.8456338309090878e-64,3.8499631901651492e-88,4.1687124210856989e-53,3.1102212142266449e-99,7.5723626033669319e-66,4.06663795183538e-79,4.7825135659485164e-92,1.153603376404752e-92,3.1996604429808886e-80,4.4281314276953635e-69,2.7522164828966403e-100,4.4281314363645557e-69,8.236352103856669e-90,6.9023736277496212e-72,1.4024893949499641e-85,4.6578969521158839e-81,2.8071795188899508e-90,3.3079821264879477e-28,1.4143259081894515e-71
2.616967010980267e-23,0.2001853440560438,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,2.3142251637574949e-17,3.6857872510903167e-16,3.6857666181368157e-16,4.2220760449203188e-29,4.2220978618919483e-29,1.343638866564484e-15,2.3415107595655499e-26,2.2554342955748664e-29,8.431075508993017e-43,3.3135359820070903e-47,1.2757487058368739e-32,4.9311716813774315e-26,3.6960414734114271e-31,9.0077246832625226e-43,5.0491770018487757e-47,4.14504893130971e-49,8.1975462436984459e-63,8.0109616472768822e-43,5.3208556494967006e-31,2.063584435008055e-43,2.0635844350081816e-43,1.1030052586144721e-56,1.639480375637988e-57,1.1802919007919692e-46,2.0582902100103346e-31,2.2953269846351531e-44,1.7058592955866399e-45,3.7577660640679447e-101,9.045981914489863e-57,2.6680182506399632e-47,3.4613549784013755e-101,5.6110809965008646e-28,4.4306924689510034e-70,4.4306924313426388e-70,1.6861286304148651e-40,5.0163953345541729e-41,1.0618069935956818e-29,1.6860407124571959e-40,3.8278960459113069e-53,3.4613549784013717e-101,6.6031579851873606e-60,4.0474761366826965e-57,2.8600135562325981e-72,4.191409542899715e-86,3.3438313814714882e-48,8.2741079759194827e-100,2.8384244300185145e-35,6.111330094691374e-72,4.185443609214304e-100,7.2593385156440637e-48,2.5297690176711714e-114,4.1542392510124409e-105,5.9709607767203062e-118,4.5690000613955504e-69,3.2722250237755857e-48,2.4553133487466128e-70,6.7223641254094017e-48,3.36314567427666e-61,1.5083927245152157e-38,3.5931667516577943e-61,2.8220638379904934e-62,1.5744203330889717e-51,3.4778452248974607e-51,2.6626646379533557e-74,8.2991417943083507e-52,6.8445000839919489e-55,3.6184455246607417e-81,1.3541683969512322e-60,1.4755128018930774e-44,3.2019409926627236e-82,2.0632953723358142e-21,6.0306642007561453e-43,1.0566892715112723e-39,6.0306642007561453e-43,3.8176245548215893e-72,4.4632242389457849e-65,3.0138715732065907e-65,6.467675670456372e-115,1.376531945641092e-117,6.6802897283739777e-51,3.5053468277318382e-62,4.1286090512123648e-63,2.8981561943472312e-86,4.949095386311938e-52,4.2454366300455546e-97,1.6939072249220897e-64,1.6781095374221669e-77,3.600156840906347e-90,8.6840382774692448e-91,1.3203488408442232e-78,9.9055528456989686e-68,3.7567619360622603e-98,9.9055528814726325e-68,6.2001202842070809e-88,1.5442045366672661e-70,5.7880377779820113e-84,1.9220942194396039e-79,1.1685651795539393e-88,1.9980212006590365e-27,5.8362554610519328e-70
5.98163888224061e-23,0.2001853440560438,76.950000000000003,0.0,0.0,0.0,0.99999999999999523,9.5,5.289657517159978e-17,8.424656573919056e-16,8.4246094128830394e-16,2.0327478706300273e-28,2.0327574650181209e-28,3.071174551954104e-15,1.1273366371605678e-25,1.0858945250460132e-28,8.2776577740614958e-42,3.2532665523110326e-46,6.1421808552549523e-32,2.3741468954756834e-25,1.7794848683242709e-30,8.8437726134138578e-42,4.9573118907385342e-46,4.0696336205643854e-48,1.6197059806108752e-61,7.8652096492548924e-42,2.5617629517762199e-30,2.0260394351786324e-42,2.0260394351788828e-42,2.1793525182975832e-55,3.2393369460145816e-56,1.1588175871001928e-45,9.9097813417277412e-31,2.2535656440377331e-43,1.6748227718330863e-44,8.5517963524573601e-99,1.7873335882896335e-55,2.6194761394094197e-46,7.8772340731636349e-99,2.7014939630704599e-27,1.7527378710350499e-68,1.7527378412992479e-68,1.6554510878050509e-39,4.9251266858559733e-40,5.1121436044575481e-29,1.6553647694330481e-39,7.5632775304362834e-52,7.8772340731636154e-99,1.3046727450334503e-58,3.9738442214199073e-56,1.1313993412447971e-70,3.3140405432523856e-84,3.2829934787948304e-47,1.307113842256266e-97,1.3665791792198382e-34,1.2074982416111255e-70,6.612013395899463e-98,7.1272616018606231e-47,7.9857751064732336e-112,6.5627178739127492e-103,1.884885894014033e-115,1.8074509871177895e-67,3.212689927995188e-47,9.7129754348189023e-69,6.6000569613974135e-47,6.64500911237596e-60,7.2622616604103368e-38,7.0994919998947232e-60,5.5759225854070558e-61,1.5457752192087262e-50,3.4145690648683401e-50,1.0533022637806915e-72,8.1481466188095654e-51,6.7216529743419638e-54,2.8609960723427855e-79,2.6756085553056049e-59,1.4486672173006912e-43,2.5316784629072446e-80,4.7161037087543197e-21,5.920941872609349e-42,5.0875039768491992e-39,5.920941872609349e-42,1.5102143088941016e-70,8.8185544533062306e-64,5.9548830480005273e-64,2.0416647889590082e-112,6.26210453922083e-115,6.5587480688522049e-50,6.8543242472039174e-61,8.1574357413255614e-62,2.2914849574658017e-84,4.8590511980143736e-51,6.7067493708976694e-95,3.3468752286624147e-63,6.6384344483302543e-76,2.8465357603395002e-88,6.8662079428501232e-89,5.2231687105446275e-77,1.9571703052857656e-66,5.9347631226327808e-96,1.9571703194374711e-66,4.9022486757905384e-86,3.0518280927790682e-69,2.2902375831946688e-82,7.6036135872454902e-78,4.6412877579716401e-87,9.6196119677316951e-27,2.3087646207927377e-68
1.2710982624761298e-22,0.20018534405604377,76.950000000000003,0.0,0.0,0.0,0.99999999999998979,9.5,1.1240522223964909e-16,1.7902395219570868e-15,1.7902295002371714e-15,8.877544001686522e-28,8.8775779114844157e-28,6.5262459220773325e-15,4.9233752717976749e-25,4.7423866805401567e-28,7.3214551458850264e-41,2.8774842847086988e-45,2.6824517490286493e-31,1.036852323565117e-24,7.7714779325001623e-30,7.8221012826387073e-41,4.3846861726403734e-45,3.5995448502540146e-47,2.8821875405112722e-60,6.9566888633956987e-41,1.1187891845778529e-29,1.7920089362469645e-41,1.7920089362474101e-41,3.8780413623736089e-54,5.7642270177022282e-55,1.0249610323620981e-44,4.3278618647516146e-30,1.9932532902998704e-42,1.4813617745989823e-43,1.4452157773934089e-96,3.1804646228467377e-54,2.3168969803259868e-45,1.3312177343285928e-96,1.1798133881456936e-26,6.2553969057847988e-67,6.2553966932457269e-67,1.4642277395226585e-38,4.3562187775931653e-39,2.2326074196905797e-28,1.4641513919004721e-38,1.3458448258785733e-50,1.3312177343285865e-96,2.3215954409936782e-57,3.5148347082424752e-55,4.0378943875282695e-69,2.3687438545933335e-82,2.9037705529492697e-46,1.8697887002755516e-95,5.9682103081384048e-34,2.1486871835241087e-69,9.4582947055288895e-96,6.3039821730177265e-46,2.2854325040170887e-109,9.3877788860364141e-101,5.3943442440834895e-113,6.4506641875704478e-66,2.8415878509687864e-46,3.4664919401199577e-67,5.837675639079842e-46,1.1824438668715956e-58,3.1716204637933119e-37,1.2633166685845364e-58,9.9220563202144549e-60,1.3672206760368961e-49,3.0201476686190979e-49,3.7590078128583761e-71,7.2069433951352127e-50,5.9482184327307413e-53,2.0449203629231235e-77,4.7611024663122491e-58,1.2813297458098304e-42,1.8095379058150423e-78,1.0021720383485741e-20,5.237006031932403e-41,2.2218466480569212e-38,5.237006031932403e-41,5.389847596074983e-69,1.569205879577571e-62,1.0596327216797371e-62,5.8429983220020589e-110,2.1248019657618644e-112,5.8011383913660794e-49,1.1948435765708033e-59,1.4515721002445431e-60,1.6378576315685109e-82,4.2977757576359594e-50,9.5937863111607526e-93,5.9555856465369113e-62,2.3692101014580417e-74,2.0345847369960525e-86,4.9076783334955525e-87,1.8641118122886176e-75,3.482679936343106e-65,8.48948515263345e-94,3.4826799868495357e-65,3.5039223712097178e-84,5.4332111653650466e-68,8.1776156828072354e-81,2.7136756805742373e-76,1.6601577392131108e-85,4.2011372426745961e-26,8.2398169372361341e-67
2.616967010980267e-22,0.2001853440560438,76.950000000000003,0.0,0.0,0.0,0.99999999999997902,9.5,2.3142251637574636e-16,3.6857872510851839e-15,3.6857666181333979e-15,3.7061998658730753e-27,3.7062073438804665e-27,1.3436388659699754e-14,2.0554122586935626e-24,1.9798530847484608e-27,6.154057897128499e-40,2.4187016433453091e-44,1.1198708010516104e-30,4.3286543451571892e-24,3.2444390549675215e-29,6.5747532492608678e-40,3.6855928328293121e-44,3.025634335484466e-46,4.8612363822400928e-59,5.8475161604466755e-40,4.6707246115113019e-29,1.5062914875506474e-40,1.5062914875513987e-40,6.5408835787572177e-53,9.7222113803893684e-54,8.6154150583773004e-44,1.8067971340299893e-29,1.6754494912802666e-41,1.2451738297498658e-42,2.1161142461952351e-94,5.3643184507226577e-53,1.9474915148769085e-44,1.9491959999783705e-94,4.9254886477097826e-26,2.113557196321083e-65,2.1135570525808163e-65,1.2307716409814564e-37,3.6616643631578987e-38,9.3206964841074107e-28,1.2307074662052668e-37,2.269964010897484e-49,1.949195999978353e-94,3.9157100414226049e-56,2.9544547444634992e-54,1.3643149384677524e-67,1.6019846252522334e-80,2.4407941145055105e-45,2.5300990093738221e-93,2.4916103191855801e-33,3.6241039457129541e-68,1.2798463303017275e-93,5.2988768595750238e-45,6.1862948377336588e-107,1.2703045044843388e-98,1.4601652338360609e-110,2.1795336359657976e-64,2.3885257941513096e-45,1.1712492794698394e-65,4.9069181209748899e-45,1.9943644093251718e-57,1.3240891101570861e-36,2.1307682106107869e-57,1.6734998221888382e-58,1.1492313594248138e-48,2.5386160921938429e-48,1.2699803000890934e-69,6.0578701503397693e-49,5.0048702008950991e-52,1.3829806310410942e-75,8.0302952046504009e-57,1.0770348534627983e-41,1.2237913614469152e-76,2.0632953740526215e-20,4.4020191199996131e-40,9.2757723898548173e-38,4.4020191199996131e-40,1.82110768547085e-67,2.6466654862922832e-61,1.7872021792091739e-61,1.5816047964797989e-107,6.2363862323954328e-110,4.8762063626321936e-48,1.9362797099066957e-58,2.4482884967254696e-59,1.107683908893417e-80,3.6125394847022326e-49,1.2981786956285163e-90,1.0044965679547107e-60,8.0050254650592992e-73,1.3759906428335346e-84,3.3190652309904955e-85,6.2984125033596386e-74,5.8740485807269298e-64,1.1487507022625552e-91,5.8740487513767346e-64,2.3697043955766849e-82,9.172834843704409e-67,2.7656814356797989e-79,9.1688968049037361e-75,5.6195208972758132e-84,1.7538920712953234e-25,2.7840479130057923e-65
5.308704507988542e-22,0.20018534405604382,76.950000000000003,0.0,0.0,0.0,0.99999999999995737,9.5,4.6945710464793529e-16,7.4768827093323157e-15,7.4768408539198113e-15,1.5141035755101818e-26,1.5141011726653436e-26,2.7256674124448454e-14,8.397029737624583e-24,8.0883458588300547e-27,5.0453597476217661e-39,1.982998822014479e-43,4.5750376271439534e-30,1.7683965397426301e-23,1.3254592173919614e-28,5.3900615068416968e-39,3.0216715269066167e-43,2.4805978293547696e-45,7.9845999950392127e-58,4.7941470384348032e-39,1.9081434057856574e-28,1.234948767787046e-39,1.2349487677882802e-39,1.0743420901649967e-51,1.5968761379369006e-52,7.0634377797891728e-43,7.3813558328552197e-29,1.3736347164973935e-40,1.020868734971988e-41,2.8936072377178913e-92,8.8109091561248335e-52,1.5966712053891411e-43,2.6653606549886378e-92,2.0122228264533185e-25,6.9489133853426601e-64,6.9489124397713043e-64,1.0090609506667745e-36,3.0020536712589594e-37,3.807808637774882e-27,1.0090083363088762e-36,3.7284227016712267e-48,2.6653606549885901e-92,6.4315654967868414e-55,2.4222804935279152e-53,4.4855717144186631e-66,1.053839636686775e-78,2.0011104807397557e-44,3.3294700871544619e-91,1.0179041146241081e-32,5.9526967271402624e-67,1.6842068461051915e-91,4.344339393697581e-44,1.6283355265479929e-104,1.6716503354975096e-96,3.8434023611502675e-108,7.1658297365749706e-63,1.9582577332123599e-44,3.8508113736600052e-64,4.0229879390553791e-44,3.2757495251613913e-56,5.4093360546057758e-36,3.4997931802719087e-56,2.7487284830220047e-57,9.4220930207449111e-48,2.0813108477454004e-47,4.1747373292429704e-68,4.9666079106828347e-48,4.1115506220682527e-51,9.0977085132493015e-74,1.3189783980037472e-55,8.8301823834340009e-41,8.0505083286101634e-75,4.1855420484917668e-20,3.6090412282446508e-39,3.7894556868355994e-37,3.6090412282446508e-39,5.987403631085745e-66,4.3470588034474917e-60,2.9354084521688817e-60,4.1630463963425051e-105,1.7075418260287753e-107,3.997808583884337e-47,2.9487404835209261e-57,4.0213211531836431e-58,7.2867147252654799e-79,2.9617781299909004e-48,1.7083301724271518e-88,1.6498886291683041e-59,2.6318772336236561e-71,9.0517260441375434e-83,2.1833919661287404e-83,2.0707802299620815e-72,9.6481418703508163e-63,1.5116913349348466e-89,9.6481424314099897e-63,1.5588707010561791e-80,1.5095746105329894e-65,9.1103808068080232e-78,3.0145326669034393e-73,1.8519106657381917e-82,7.1652211635639387e-25,9.1533404182706543e-64
1.0692179502005091e-21,0.2001853440560438,76.950000000000003,0.0,0.0,0.0,0.99999999999991407,9.5,9.4552628119229096e-16,1.5059073625790328e-14,1.5058989325468491e-14,6.1202487363618085e-26,6.1201948993557819e-26,5.4897245011961273e-14,3.3942136739563786e-23,3.2694387156246008e-26,4.0856870371276369e-38,1.6058842913904564e-42,1.849303357452722e-29,7.1481415497160893e-23,5.3577180793794374e-28,4.3644958743759949e-38,2.4470276990901457e-42,2.0088524360495576e-44,1.2943384330399162e-56,3.8824245652298096e-38,7.7130207320032056e-28,1.0000935303541144e-38,1.0000935303561151e-38,1.7415548190264352e-50,2.5886050314249603e-51,5.7201550355011269e-42,2.9836620429042673e-28,1.1124050026905123e-39,8.2672596794644016e-41,3.8270725764990185e-90,1.4282863406341091e-50,1.2930257370198689e-42,3.5251946208279965e-90,8.1337263842145146e-25,2.253863232953386e-62,2.2538626194345997e-62,8.1716371838750837e-36,2.4311408930808196e-36,1.5391771307305452e-26,8.1712110991781763e-36,6.0439338599349748e-47,3.5251946208278692e-90,1.0425844811027518e-53,1.9616903224303167e-52,1.4548848586570587e-64,6.8376731577670491e-77,1.6205511481366287e-43,4.3210112674117326e-89,4.1145311801279511e-32,9.6498862850484365e-66,2.1857762851840043e-89,3.5181586749129558e-43,4.2267582501925136e-102,2.1694803602868367e-94,9.976533057786371e-106,2.3242196953243818e-61,1.5858478488197703e-43,1.2490014365787587e-62,3.2579199360114641e-43,5.3101311229285885e-55,2.1865401210947738e-35,5.6733155487320067e-55,4.4558073213163811e-56,7.6302552121957117e-47,1.6854994839305818e-46,1.3536253904260477e-66,4.0220877898330684e-47,3.3430118926312464e-50,5.9029036818782491e-72,2.1381208195103125e-54,7.1509105311298386e-40,5.223444474341928e-73,8.4300354094942674e-20,2.9226951490458386e-38,1.5317585805049854e-36,2.9226951490458386e-38,1.9420000132299807e-64,7.0464545167703906e-59,4.7581756125529755e-59,1.0806243506467126e-102,4.5194531581345679e-105,3.2375290411655707e-46,4.1706888626685808e-56,6.518734703389165e-57,4.7278691251496979e-77,2.3985247189332458e-47,2.2170830516923228e-86,2.6745405663715736e-58,8.5364307225337538e-70,5.8730686974655133e-81,1.4166591997074113e-81,6.7165260385974231e-71,1.5640051915911685e-61,1.9618837696208775e-87,1.5640053735693356e-61,1.0114484973611154e-78,2.4565970368696778e-64,2.9662339905029166e-76,9.7775644528184999e-72,6.0309140681097151e-81,2.896296771553344e-24,2.9688640199705974e-62
2.1459129490038192e-21,0.2001853440560438,76.950000000000003,0.0,0.0,0.0,0.99999999999982747,9.5,1.8976646342809136e-15,3.022345545856136e-14,3.0223286268469262e-14,2.4609250989111929e-25,2.4608679672885074e-25,1.1017838661904859e-13,1.3647983876345852e-22,1.3146269263994445e-25,3.2882329329266817e-37,1.2925555602231725e-41,7.4359674650241302e-29,2.8742362734826772e-22,2.154314875606439e-27,3.5120961330987943e-37,1.9695803835866872e-41,1.6168992067387607e-43,2.0844924205797813e-55,3.1249130483290591e-37,3.1013717131889442e-27,8.0496227938554599e-38,8.0496227938876782e-38,2.8047203286209777e-49,4.1688685936642774e-50,4.6040783978075752e-41,1.1997173828496302e-27,8.9536031578564952e-39,6.6542098021376714e-40,4.9791263449371183e-88,2.3002111123132533e-49,1.0407396012734988e-41,4.5863748483367729e-88,3.2705355999870376e-24,7.2611195566482295e-61,7.2611156031592465e-61,6.577244503691096e-35,1.9567936897522444e-35,6.1889635288609329e-26,6.5769015536819097e-35,9.7335691311866752e-46,4.5863748483364397e-88,1.6790501611418996e-52,1.5790433114443335e-51,4.6871060153329934e-63,4.4061706113924903e-75,1.3043605464348634e-42,5.5691866515412867e-87,1.6544348911250081e-31,1.5541837620335603e-64,2.817163704873187e-87,2.8317201733170266e-42,1.0895708654789028e-99,2.7961605313836101e-92,2.571744741376918e-103,7.4877833276756305e-60,1.2764282583610609e-42,4.0238244890962159e-61,2.6222573970639954e-42,8.551802410096006e-54,8.7919816592384837e-35,9.1366997513825235e-54,7.1759403247740976e-55,6.1414932115549389e-46,1.3566366162646485e-45,4.3580502872712699e-65,3.2373260635688245e-46,2.7122721761633949e-49,3.8038081658466287e-70,3.4433776578484367e-53,5.755674748160684e-39,3.365967297361074e-71,1.6919022179996103e-19,2.3524393113233347e-37,6.1591339127949308e-36,2.3524393113233356e-37,6.2564117112830582e-63,1.13470828823283e-57,7.6620965177859597e-58,2.7856259419464477e-100,1.1763370909136596e-102,2.6058450306749611e-45,5.3468838055066951e-55,1.0498220710534758e-55,3.0466204705149065e-75,1.9305413607047277e-46,2.8575133892662956e-84,4.3072651305278612e-57,2.7501248685478353e-68,3.7845826313639628e-79,9.1288967439184284e-80,2.1638183310669363e-69,2.5187815584191307e-60,2.5285968140955858e-85,2.5187821446858343e-60,6.5177347701237503e-77,3.98690997176062e-63,9.6289515056484057e-75,3.1499726354314601e-70,1.9579721891985359e-79,1.1645880448584946e-23,9.5645908842400313e-61
4.299302946610439e-21,0.2001853440560438,76.950000000000003,0.0,0.0,0.0,0.99999999999965439,9.5,3.8019413404578053e-15,6.0552219123523453e-14,6.0551880154084446e-14,9.8694103210986469e-25,9.8688965951882308e-25,2.2074066916147001e-13,5.4734519364097453e-22,5.2722419429765249e-25,2.6381450686425718e-36,1.0371945057150822e-40,2.9821555352668587e-28,1.1526972950238492e-21,8.6397661919648583e-27,2.8169050705945351e-36,1.5804635836782842e-40,1.297459784642929e-42,3.3460721496963587e-54,2.5075459129953819e-36,1.2437887691872371e-26,6.4593153443049525e-37,6.4593153443566722e-37,4.5021972206134243e-48,6.6919573348436618e-49,3.6944829322203808e-40,4.8114032760616536e-27,7.1847025367435923e-38,5.3395842614349941e-39,6.4252987828687587e-86,3.6923482303670274e-48,8.3512798239574768e-41,5.9184737822182846e-86,1.311631049320953e-23,2.3313925194447921e-59,2.3313899805455307e-59,5.2778244645175532e-34,1.5702036926745534e-34,2.4820511685245684e-25,5.2775492687710019e-34,1.5624534032029373e-44,5.9184737822174288e-86,2.6952473474304018e-51,1.2672501640292831e-50,1.5049315241660041e-61,2.8296111405408898e-73,1.0466671889861317e-41,7.1531768053674066e-85,6.6350238771899898e-31,2.4951280145711392e-63,3.6184224613303035e-85,2.2722771017496373e-41,2.7989718783469632e-97,3.5914456156959096e-90,6.6064930906531112e-101,2.4041701807623973e-58,1.0242532007956386e-41,1.2919656479997127e-59,2.1041964170342785e-41,1.3727536610400149e-52,3.5259778762207092e-34,1.4666426442216917e-52,1.1518973448121905e-53,4.9281615238646476e-45,1.0886154408753058e-44,1.3974635245135604e-63,2.597750120366349e-45,2.2109731557029326e-48,2.4427781507907848e-68,5.5273837102698715e-52,4.6185662449545335e-38,2.1615999066828356e-69,3.3896995914987128e-19,1.8876843744426709e-36,2.4700881969095122e-35,1.8876843744426723e-36,2.0088025810350562e-61,1.8211323647507229e-56,1.2296798672958003e-56,7.1559253747313924e-98,3.0364551257456444e-100,2.0910265263616158e-44,6.0849730195455724e-54,1.6851967423526388e-54,1.9565176793255218e-73,1.5491378606735832e-45,3.6702481899835883e-82,6.9141144494395262e-56,8.8300742076986719e-67,2.4304316685037635e-77,5.8625115767319382e-78,6.9475668664213262e-68,4.0432003425589864e-59,3.2477810669332568e-83,4.0432022249371224e-59,4.1856422366279052e-75,6.4982292250519201e-62,3.1384250715956789e-73,1.0113901551274535e-68,6.382186915142337e-78,4.6705177426520755e-23,3.0709895290489715e-59
