Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987),C7H10(986),S(4381),S(4372)
0.0,0.35276049435405676,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9590829538609666e-24,0.35276049435405676,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,4.8468848461229402e-18,4.6147331637323218e-17,4.6146910816882425e-17,4.5543068231267296e-31,4.5543479685806942e-31,5.3918215299333312e-16,1.4321479349221914e-27,2.3406818370571567e-31,1.9100266303974969e-45,4.7152105549587607e-50,1.8166784325592263e-34,3.3308259688688932e-27,5.4072399972276613e-33,1.963310682254878e-45,8.2913873961599237e-50,1.7610462330098643e-51,4.8007126622302546e-66,1.6144129913583077e-44,2.0239295663394623e-32,1.7331864137666854e-45,1.733186413766696e-45,8.7910564161994118e-60,1.3475462690086593e-60,7.5672214707773044e-48,7.488567555228889e-33,7.5966923501841798e-47,5.8223346254613921e-48,6.2995243401273731e-106,8.2187918867024123e-60,3.2393785159617607e-49,5.7710543003705433e-106,3.8448848480626035e-29,4.0556235795065522e-74,4.0556235733449935e-74,2.8702216778989255e-42,8.4956693020351992e-43,1.0805251229143008e-30,2.8700434258091e-42,1.4429747964945469e-55,5.7710543003705404e-106,7.6326967043796691e-63,4.4197369716214481e-59,3.8283939822785403e-76,1.1299328105549003e-90,3.6296614217550535e-50,2.2442919482514406e-105,1.7160614675553948e-36,7.0417946311641929e-75,3.3601036507041071e-105,8.5495345467290749e-50,2.0189465583018417e-120,1.7240885752875859e-110,2.3236037852299159e-124,5.5874297451677352e-72,5.9035234130992791e-50,4.0959623604617562e-73,8.6278605565690449e-50,4.2574815404174011e-64,9.6254945011689343e-40,4.3762176014216918e-64,3.5438198126390785e-65,9.4995427636801855e-54,6.6226453121869103e-53,7.769414475332784e-78,1.2432149572717798e-53,1.9585679157439455e-56,1.0879485185379161e-84,3.9792388392186517e-63,1.4619820944082879e-46,9.5288100809264108e-86,4.2082044100389422e-22,5.5777954964059487e-45,2.5837935116188093e-41,5.5777954964059487e-45,8.0232088267695299e-75,5.6755918588991621e-68,3.9840039972290739e-68,1.0955868671197207e-120,8.1075728896125294e-123,3.774170493585641e-53,5.3119144850798474e-65,4.6228187918671534e-66,1.5860222849939406e-89,2.7350397234438086e-54,4.2127111190017481e-101,8.7255912164553347e-67,2.041833163965077e-80,4.3753068794939034e-94,1.0356572376935037e-94,6.8037397060444271e-82,6.6043093689304584e-71,3.6897085627888586e-102,6.6043093730451425e-71,4.2433067145440261e-91,4.3075200842461011e-73,3.6130563257062556e-87,2.9685459387938934e-82,4.6382770041892835e-92,1.3370206077003367e-28,6.9939326744667535e-73,5.0085415772072846e-64,2.4416774990171293e-79,6.361097320473464e-96,2.571011962699273e-98,1.2459882209022356e-108,2.3575685970031607e-111,3.3095299011503736e-120,2.0162392975349144e-49,6.0788285807251925e-50,6.0788285807251925e-50,8.1744836337625112e-112,5.377515484622652e-114
8.285432270810707e-24,0.35276049435405676,76.950000000000003,0.0,0.0,0.0,0.99999999999999822,9.5,1.3571277569144224e-17,1.292125285845026e-16,1.2921135028726908e-16,2.7508013211674527e-30,2.750825948607833e-30,1.5097100283651126e-15,8.6501735268524862e-27,1.4137718295727574e-30,2.2675822830166532e-44,5.598042202275583e-49,1.0972737732658218e-33,2.0118188851787758e-26,3.2659729583254552e-32,2.3308387561489793e-44,9.8435351065996665e-49,2.0907140878293175e-50,1.0739266520443595e-64,1.9166311033248134e-43,1.2224534580689206e-31,2.0576389104236212e-44,2.0576389104236441e-44,1.9665241560128098e-58,3.0144071018935148e-59,8.9838053299387564e-47,4.5230948033200855e-32,9.0187931577543184e-46,6.9122756672184871e-47,6.7126320274938028e-104,1.8385108698576907e-58,3.8457901741025576e-48,6.1495061908579368e-104,2.3223104482089926e-28,1.6735644246216507e-72,1.6735644199833836e-72,3.4075271759549644e-41,1.0086058595236776e-41,6.5263717423053261e-30,3.4073155550740107e-41,3.2278769007242709e-54,6.1495061908579318e-104,1.7074037219604576e-61,5.2471122368475988e-58,1.5798354382066161e-74,8.5060537374932968e-89,4.3091340398685463e-49,3.0635195149246301e-103,1.0365011264033195e-35,1.5752214363932992e-73,4.5866328193721183e-103,1.0150007413851816e-48,4.980839943512411e-118,2.3534277705506049e-108,5.7327662516015051e-122,2.3056685291173588e-70,7.0086629939983084e-49,1.6902103367134464e-71,1.0242996052757419e-48,9.5238159062584512e-63,5.8137986787054379e-39,9.7894237254386239e-63,7.9273831680726869e-64,1.1277857169036033e-52,7.862404514469471e-52,3.2060521067071756e-76,1.475944797044873e-52,2.3252937564113265e-55,8.1898048954605932e-83,8.9013981136875151e-62,1.7356651422578303e-45,7.1730503897123703e-84,1.1782972348348978e-21,6.6219588131493962e-44,1.5606112810673133e-40,6.6219588131493962e-44,3.3107995873089653e-73,1.2696064559681034e-66,8.9120513058140479e-67,2.7028664060105266e-118,1.4793848727002467e-120,4.4806952099782189e-52,1.1853567633447694e-63,1.0341060721970354e-64,1.1939179890092874e-87,3.2470391596723106e-53,5.7503299171012101e-99,1.9518798527559042e-65,8.4256817224490281e-79,3.2936218112191942e-92,7.7961691850823343e-93,2.8075822401694552e-80,1.4773575870342757e-69,5.0364340052456285e-100,1.477357588732212e-69,3.1942553817329723e-89,9.6360744578514091e-72,1.4909867765357019e-85,1.2249787935792379e-80,1.9490904568888968e-90,8.0756044655998521e-28,2.8860659010934023e-71,1.1203907166549088e-62,1.0075650559488424e-77,4.7884752898911702e-94,1.9520524135759796e-96,1.7152997865561203e-106,3.2455660681094011e-109,8.234059407693098e-118,2.3936792940011805e-48,7.2167852909398202e-49,7.2167852909398202e-49,1.1253469176025186e-109,7.4030004253317617e-112
1.8938130904710187e-23,0.35276049435405676,76.950000000000003,0.0,0.0,0.0,0.99999999999999589,9.5,3.1020063015186745e-17,2.9534292247885158e-16,2.953402292280354e-16,1.3243924241636141e-29,1.32440405264096e-29,3.45076577904379e-15,4.1646861946374069e-26,6.8067027820157266e-30,2.2263229093635319e-43,5.49625423156942e-48,5.2829008818829593e-33,9.6860419172001951e-26,1.5724253911937243e-31,2.2884235052198143e-43,9.6644411175876817e-48,2.0526754891963162e-49,2.1219235773510905e-63,1.8817597826783554e-42,5.8855871789134335e-31,2.0202020838858667e-43,2.0202020838859113e-43,3.8855203443361411e-57,5.9559604621785363e-58,8.8203533458170365e-46,2.1776754450033162e-31,8.8547046021832287e-45,6.7865132390370376e-46,1.5276379931431716e-101,3.6325876631296169e-57,3.7758195980585619e-47,1.3994837282524642e-101,1.1180925137853755e-27,6.6204544234287992e-71,6.6204543867554152e-71,3.345530387614405e-40,9.9025521380200516e-41,3.1421670572892079e-29,3.3453226169787719e-40,6.3777408118695207e-53,1.399483728252462e-101,3.3735420323617799e-60,5.1516469769433891e-57,6.2497486823329668e-73,6.7255646379675235e-87,4.2307333530766253e-48,4.8396706992390944e-101,4.9903067476489973e-35,3.1123727359836153e-72,7.2458466009266439e-101,9.9653374675900781e-48,1.5723228888676737e-115,3.7178857095876742e-106,1.8097285901258744e-119,9.1209954106942894e-69,6.8811468840057281e-48,6.6863040066254182e-70,1.0056634264732677e-47,1.8817455328823028e-61,2.7990938009390283e-38,1.9342251621452094e-61,1.566317326175863e-62,1.1072667045329858e-51,7.7193553753926926e-51,1.2682661278756586e-74,1.4490913534886166e-51,2.2831607357953421e-54,6.4754324698741521e-81,1.7587662658380033e-60,1.7040863285488618e-44,5.6715152552114481e-82,2.6932508225928801e-21,6.5014784300411587e-43,7.5136715325242043e-40,6.5014784300411587e-43,1.3097193920209314e-71,2.5085252079652689e-65,1.7608684433523915e-65,8.5322531169897516e-116,6.7315476698007679e-118,4.3991731273028829e-51,2.3296328207554262e-62,2.0432193357232982e-63,9.4399505374348532e-86,3.1879623016455412e-52,9.0841119341493478e-97,3.8565856691579234e-64,3.3331158991178696e-77,2.6041677296174769e-90,6.1641965498310676e-91,1.1106516138396455e-78,2.9190096291969933e-68,7.9563313605149845e-98,2.9190096359138609e-68,2.5256016816262915e-87,1.904066176971078e-70,5.898623588685657e-84,4.8458942878373962e-79,7.7717990723979748e-89,3.888055919827306e-27,1.1416989695787398e-69,2.2137032541265672e-61,3.9858271564279463e-76,3.7861034262416834e-92,1.5490756836281181e-94,2.719772937862639e-104,5.1461579523103985e-107,2.6089176742359868e-115,2.3501285251066582e-47,7.0854825933921909e-48,7.0854825933921909e-48,1.7843458728511178e-107,1.1738170309927907e-109
4.024352817250915e-23,0.35276049435405676,76.950000000000003,0.0,0.0,0.0,0.99999999999999134,9.5,6.5917633907271625e-17,6.2760371026751082e-16,6.2759798710954052e-16,5.7839696653540128e-29,5.7840184416681153e-29,7.3328772801416193e-15,1.8188278772309794e-25,2.9726659329112208e-29,1.9691523797376699e-42,4.8613997249285922e-47,2.3071816093509701e-32,4.2301489801839305e-25,6.8671947964783079e-31,2.0240707865023607e-42,8.5480886840547536e-47,1.8155682243838882e-48,3.7758703124125926e-62,1.6643952174680967e-41,2.5703905492493369e-30,1.7868458651356803e-42,1.7868458651357597e-42,6.9140758491806685e-56,1.0598313416265861e-56,7.8015026464184917e-45,9.5104807945491564e-31,7.8318859428438361e-44,6.0025941046240775e-45,2.5816406738968738e-99,6.4639956576586891e-56,3.3396696745083537e-46,2.3650656317337006e-99,4.8830037567168012e-27,2.3627931506509978e-69,2.3627931244383976e-69,2.9590837407430532e-39,8.7586952227186357e-40,1.3722669059507306e-28,2.9588999699690894e-39,1.1348849012685735e-51,2.3650656317336933e-99,6.0030377985813576e-59,4.5565753101795688e-56,2.2305034774455342e-71,4.8071798389261773e-85,3.7420357391183516e-47,6.9230309613186731e-99,2.1793980637931901e-34,5.5383032253627902e-71,1.0365006934685084e-98,8.8142281361334103e-47,4.499812418423216e-113,5.3183448803064657e-104,5.1792997000121305e-117,3.2552184748849363e-67,6.0862964847329696e-47,2.3862944065630083e-68,8.8949791193915906e-47,3.3484656338774143e-60,1.2224378016475268e-37,3.4418503304161142e-60,2.7871779939032968e-61,9.793648607610612e-51,6.8276824100182414e-50,4.5262356989189289e-73,1.2817048908634369e-50,2.0197385221435459e-53,4.6283683666344399e-79,3.129630599396949e-59,1.507245058594948e-43,4.0537619565150659e-80,5.7231579984927465e-21,5.750484043778486e-42,3.2814177605140795e-39,5.750484043778486e-42,4.6742954796609535e-70,4.4637751298979295e-64,3.1333616100643317e-64,2.4418355009306875e-113,2.2847523090466498e-115,3.891018812024296e-50,4.101701103504171e-61,3.6357996349792451e-62,6.7472819234535738e-84,2.8197165532804433e-51,1.2994525949229972e-94,6.8625881416803694e-63,1.1895653890735573e-75,1.861350202957983e-88,4.4059099447309556e-89,3.9638367195005207e-77,5.1942216489841812e-67,1.1381272608147935e-95,5.194221672956205e-67,1.8051944769083818e-85,3.3886854258857341e-69,2.1054835154907165e-82,1.7294652506810563e-77,2.7842773154933366e-87,1.6980161641686461e-26,4.0746425265955753e-68,3.9391666630063181e-60,1.4225133960527389e-74,2.706148417756539e-90,1.109138934625646e-92,3.8973520820208519e-102,7.3742896410415843e-105,7.4794905689944e-113,2.0786620659765165e-46,6.2670291129521482e-47,6.2670291129521482e-47,2.556913490023897e-105,1.682044318934707e-107
8.285432270810708e-23,0.35276049435405676,76.950000000000003,0.0,0.0,0.0,0.99999999999998213,9.5,1.3571277569144071e-16,1.2921252858446738e-15,1.2921135028724395e-15,2.4146934776065503e-28,2.4147121623570867e-28,1.509710028129918e-14,7.5932483498756264e-25,1.2410295098714737e-28,1.6551827783771198e-41,4.0863093422141082e-46,9.6320290494357843e-32,1.7660039284426806e-24,2.8669186465293681e-30,1.7013300920163193e-41,7.1851835357700604e-46,1.5260944887866889e-47,6.368573715693579e-61,1.3990244675169854e-40,1.0730874560715794e-29,1.5019516151853709e-41,1.5019516151855053e-41,1.1661599498805826e-54,1.7875604657121348e-55,6.5576330490471136e-44,3.9704385172499797e-30,6.583172039052581e-43,5.0455420275439364e-44,3.7800906231843998e-97,1.0902473472530399e-54,2.8071935913181567e-45,3.4629770549122302e-97,2.0385579461523592e-26,7.9833439869889515e-68,7.9833438097130146e-68,2.4872881819695037e-38,7.3622110847882712e-39,5.7289442003377393e-28,2.4871337115615145e-38,1.9141492640338064e-50,3.4629770549122094e-97,1.0125000668586075e-57,3.8300792981428874e-55,7.5363873137699568e-70,3.2511068901657307e-83,3.1454065130489217e-46,9.3678925358960196e-97,9.0985579009592571e-34,9.3411654279848451e-70,1.4025398938783194e-96,7.4088898453480401e-46,1.2180279876834891e-110,7.1965131479451417e-102,1.4019623569027807e-114,1.0998647509261002e-65,5.1158989094035893e-46,8.0627494692079839e-67,7.476765912537808e-46,5.6476767115064536e-59,5.1034371845114201e-37,5.805183652427119e-59,4.7009830691739395e-60,8.2321517662609578e-50,5.7390784633402558e-49,1.5292343403673461e-71,1.0773501878373284e-49,1.6982312566015136e-52,3.1301677670630261e-77,5.2785794418329139e-58,1.2669302886587114e-42,2.7415611737708847e-78,1.1782972351828083e-20,4.8336283302872203e-41,1.3699273205413487e-38,4.8336283302872203e-41,1.5793387980430899e-68,7.5287705626861807e-63,5.2848395953165568e-63,6.6096621329411972e-111,6.7069554646944372e-113,3.2706357629371834e-49,6.7749630210877213e-60,6.1323074900352341e-61,4.5631900314564871e-82,2.3701416636986775e-50,1.7583481854487241e-92,1.1574757957898634e-61,4.0192725945483816e-74,1.2588320435679651e-86,2.979719028318053e-87,1.3392908403296388e-75,8.7608139331246629e-66,1.5400515661021246e-93,8.7608140141207112e-66,1.220853898725326e-83,5.717205371682123e-68,7.1160256984213278e-81,5.8434722036861095e-76,9.4270336063416956e-86,7.0888831935301553e-26,1.3767296180589953e-66,6.6439803378607596e-59,4.806351230797926e-73,1.8301694854218308e-88,7.5075464757494892e-91,5.2782384570983667e-100,9.9871076189451757e-103,2.0263286494917151e-110,1.747240715033853e-45,5.2678155856519993e-46,5.2678155856519993e-46,3.4628637282835624e-103,2.2780165243724956e-105
1.6807591177930292e-22,0.35276049435405676,76.950000000000003,0.0,0.0,0.0,0.99999999999996381,9.5,2.7530305925977621e-16,2.621168436998379e-15,2.6211445343977944e-15,9.8648107510363719e-28,9.8648733682843628e-28,3.0625546279461894e-14,3.1020897120429105e-24,5.0700104851858635e-28,1.357004991304998e-40,3.3502072438824872e-45,3.934998152066314e-31,7.2147022794785057e-24,1.1712298123588754e-29,1.3948148869761733e-40,5.8908474679134809e-45,1.2511844646528004e-46,1.0460414661432356e-59,1.1470047838045818e-39,4.3839123978603502e-29,1.231390678221442e-40,1.2313906782216631e-40,1.9154212183181226e-53,2.936073432158638e-54,5.3763437673627583e-43,1.6220536862820512e-29,5.3972821721217426e-42,4.1366401916460608e-43,5.1689541839215898e-95,1.790734541149415e-53,2.3015069091645114e-44,4.7353282027236009e-95,8.3281743738385234e-26,2.6247488040636368e-66,2.6247486874456097e-66,2.039229126716079e-37,6.0359854519185993e-38,2.3404606360910039e-27,2.0391024825437984e-37,3.1439959132830828e-49,4.7353282027235423e-95,1.6630343997776442e-56,3.1401356528949339e-54,2.4778024924753157e-68,2.1386895343815438e-81,2.578794296448632e-45,1.2327636318278616e-94,3.7170577811672213e-33,1.534291704566739e-68,1.8456661055184869e-94,6.0742555212273442e-45,3.2060542380483144e-108,9.4702193275261124e-100,3.6902108023479099e-112,3.6161146640567575e-64,4.1943229943868932e-45,2.6508556222386307e-65,6.1299044222539786e-45,9.2763259508134447e-58,2.0849206109241284e-36,9.5350315769134028e-58,7.721378807143019e-59,6.7492153835884295e-49,4.7052432631112364e-48,5.0272726217566729e-70,8.8327677237370827e-49,1.3931642433860655e-51,2.0591289074936473e-75,8.6700825822317758e-57,1.0387059930210432e-41,1.8034905106981675e-76,2.3902601064641186e-20,3.9629005387824708e-40,5.5966001036676416e-38,3.9629005387824708e-40,5.1925204279061737e-67,1.2365901340540875e-61,8.6802573423660709e-62,1.73977407842798e-108,1.8365415447546186e-110,2.6814648018827676e-48,1.0685228394879609e-58,1.0072333420555422e-59,3.0018188173276782e-80,1.9431853338260713e-49,2.3138873489714813e-90,1.9011574702621069e-60,1.3214488926575902e-72,8.2810176458051384e-85,1.9601587016156597e-85,4.4032952634781432e-74,1.438966292519848e-64,2.0266212716798747e-91,1.4389663191495763e-64,8.0311847223042501e-82,9.3960859232738525e-67,2.3409565673966526e-79,1.9212058131678221e-74,3.103961045126258e-84,2.8960400591090857e-25,4.5263857725347351e-65,1.0912757655550624e-57,1.5802231079692831e-71,1.2039466172585499e-86,4.9408228645253694e-89,6.9488515687939765e-98,1.3148133466147804e-100,5.3359318598870661e-108,1.4324935016869231e-44,4.3188734841200149e-45,4.3188734841200149e-45,4.5588933529215654e-101,2.9990315782877981e-103
3.3851908992169464e-22,0.3527604943540567,76.950000000000003,0.0,0.0,0.0,0.99999999999992717,9.5,5.5448362639643667e-16,5.2792547393033048e-15,5.2792065974467309e-15,3.9875142302688085e-27,3.9875284522742502e-27,6.1682438259177687e-14,1.2539142593718094e-23,2.049379300122939e-27,1.0989153888463769e-39,2.7130862666913599e-44,1.5905891682750767e-30,2.9162980136388995e-23,4.734298165087548e-29,1.1294952090462188e-39,4.7705608396346914e-44,1.013241618623789e-45,1.6956793469057686e-58,9.2887421176664982e-39,1.7720474839382123e-28,9.9721209717984491e-40,9.9721209718020331e-40,3.1049803323666407e-52,4.7595015559611142e-53,4.3539025711059013e-42,6.5566003421377861e-29,4.370859030503012e-41,3.349958474657813e-42,6.8364367315628549e-93,2.9028578574855971e-52,1.8638199648420469e-43,6.2629248604706502e-93,3.3663812369287922e-25,8.5133096119538095e-65,8.5133088552963283e-65,1.6514206166148485e-36,4.8880975101071667e-37,9.4605160937445455e-27,1.6513180568821175e-36,5.0965528570695884e-48,6.2629248604704961e-93,2.6958504258086897e-55,2.5429717534337612e-53,8.036698147577536e-67,1.3876556454472718e-79,2.0883744803637112e-44,1.5998904657481136e-92,1.5024941857816472e-32,2.4871610043587131e-67,2.3953201805659602e-92,4.9190896063792541e-44,8.3221306946252842e-106,1.2290526143870775e-97,9.578895932799248e-110,1.1728781228441237e-62,3.3966714717889372e-44,8.5979866644561901e-64,4.9641555296229808e-44,1.5037324088414733e-56,8.4275824594513246e-36,1.5456697065374562e-56,1.2516687782716742e-57,5.4656896027698071e-48,3.8104279834629122e-47,1.6302498464793211e-68,7.1530042692303719e-48,1.1295999445577477e-50,1.3360330907379274e-73,1.4054577479959964e-55,8.4117103965358991e-41,1.1701661768437767e-74,4.8141858514837099e-20,3.2092595983470816e-39,2.262235246247366e-37,3.2092595983470816e-39,1.6841815534357881e-65,2.0045247489780071e-60,1.4070722491472717e-60,4.5160268835260367e-106,4.8610934580748081e-108,2.1715197181418817e-47,1.6042564136664298e-57,1.6327686371980282e-58,1.9476824681051941e-78,1.573641863811243e-48,3.0029794670166794e-88,3.0818581857157728e-59,4.2860878082288873e-71,5.3730067922901281e-83,1.2718178438571632e-83,1.4281982638895542e-72,2.3326262828651959e-63,2.6301635078567847e-89,2.3326263692380756e-63,5.2109066652556679e-80,1.5249482963883942e-65,7.6016783367047795e-78,6.2313850045742027e-73,1.0083822032868373e-82,1.1706256713259487e-24,1.4681223748040675e-63,1.7690050422267634e-56,5.1254156428085325e-70,7.8116164345972786e-85,3.2064571147711356e-87,9.0202040694834652e-96,1.7067429729504512e-98,1.3853744841183544e-105,1.1600703770248091e-43,3.4975357201617271e-44,3.4975357201617271e-44,5.9178338371430383e-99,3.8930021816600236e-101
6.79405446206478e-22,0.35276049435405676,76.950000000000003,0.0,0.0,0.0,0.99999999999985389,9.5,1.1128447606697152e-15,1.0595427343903219e-14,1.0595330723537508e-14,1.6033619342229548e-26,1.6033587352313241e-26,1.2379622215217084e-13,5.0419340846996931e-23,8.2404640269375376e-27,8.8446659372931045e-39,2.1837284929584341e-43,6.3956890890002673e-30,1.1726306042228413e-22,1.9036404699798202e-28,9.0901613790338043e-39,3.839762118818281e-43,8.1554500469716627e-45,2.7308401470405119e-57,7.4763877543242813e-38,7.1253249953901176e-28,8.0264305129698213e-39,8.0264305129755896e-39,5.0004750923719406e-51,7.6650305235885585e-52,3.504399565633904e-41,2.6363801590811484e-28,3.5180475934732699e-40,2.696338016701236e-41,8.8943916154824019e-91,4.6749630837752673e-51,1.5001644550965369e-42,8.1482369477981526e-91,1.3536070886591776e-24,2.7426759528774275e-63,2.742675465290382e-63,1.3292069813341221e-35,3.9343661272279715e-36,3.8040319085766191e-26,1.3291244323410666e-35,8.2078412507916217e-47,8.1482369477977514e-91,4.3415839983065499e-54,2.0468185648718274e-52,2.5891301786652981e-65,8.9420018889683362e-78,1.6809054652118313e-43,2.0620381891256872e-90,6.0414630388776159e-32,4.0055220001578986e-66,3.0872374036178728e-90,3.9593112656617378e-43,2.1452735796258851e-103,1.5840793438416144e-95,2.4692434689178206e-107,3.7785831032051027e-61,2.7339366491279816e-43,2.7699559309231669e-62,3.9955842419743559e-43,2.4217146799058283e-55,3.3886938410673754e-35,2.489253407782773e-55,2.015773980460331e-56,4.3992624964200915e-47,3.0669639365285176e-46,5.2499184804212186e-67,5.7573600713362417e-47,9.1142087490745828e-50,8.6093452748827672e-72,2.2634463736696453e-54,6.770476268768e-40,7.5405053339109474e-73,9.6620373513507722e-20,2.583091319044418e-38,9.0963484478041708e-37,2.5830913190444185e-38,5.4258152118243379e-64,3.2280927891192248e-59,2.2659341675393098e-59,1.1641385287801455e-103,1.2652875789050959e-105,1.7478279869804708e-46,2.2503233040595611e-56,2.6295235067789937e-57,1.2550790076143929e-76,1.2666038757384009e-47,3.8704251730176776e-86,4.963237599649105e-58,1.3808202807076841e-69,3.4623446839142223e-81,8.1955447145734151e-82,4.6011309509530811e-71,3.756622438834245e-62,3.3899169683698284e-87,3.7566227170959524e-62,3.3578879896665686e-78,2.4616872622994593e-64,2.4546789657785953e-76,2.0075236855843836e-71,3.256929436972193e-81,4.7070341432938908e-24,4.7297517882078421e-62,2.8489280851092322e-55,1.6512208392292314e-68,5.0337752573764182e-83,2.0664481959885404e-85,1.1627041132567195e-93,2.1999983365758749e-96,3.5715925466967797e-103,9.3372556239677519e-43,2.8151210236844153e-43,2.8151210236844153e-43,7.6280867720249952e-97,5.0180854679823456e-99
1.3611781587760448e-21,0.3527604943540567,76.950000000000003,0.0,0.0,0.0,0.99999999999970723,9.5,2.2295670292161016e-15,2.1227772553063292e-14,2.1227578975690685e-14,6.4301984770381202e-26,6.4301141214989399e-26,2.4802378967240318e-13,2.0220410715063251e-22,3.3047946354510312e-26,7.0967078696968056e-38,1.7523048435302047e-42,2.5649573788905528e-29,4.702773189041211e-22,7.6344497086121895e-28,7.2926797463940748e-38,3.0811668403098616e-42,6.5442350503935369e-44,4.3836038653101576e-56,5.9993303195309839e-37,2.8575740110642967e-27,6.4407049996392418e-38,6.4407049996485036e-38,8.0268699238953754e-50,1.2304071522409244e-50,2.8120599447350071e-40,1.0573063575597349e-27,2.8230116181454529e-39,2.1636414433423601e-40,1.1477741206860556e-88,7.5043510793321015e-50,1.2037874961023581e-41,1.0514868135144855e-88,5.4285698344548399e-24,8.8061563899668575e-62,8.8061532587192033e-62,1.0666048899601445e-34,3.1570810333121992e-35,1.5255869317313342e-25,1.0665386495957284e-34,1.3175402945923946e-45,1.0514868135143822e-88,6.9692038201913725e-53,1.6424649234724468e-51,8.3131552702090875e-64,5.7424899995548174e-76,1.3488207744051414e-42,2.6485241277065949e-88,2.422896889584168e-31,6.4298329779869834e-65,3.9653110183354143e-88,3.1770979408945618e-42,5.5109412449273931e-101,2.0346240064112431e-93,6.3431818764127362e-105,1.2132237881743409e-59,2.1938118951687807e-42,8.8937475625872388e-61,3.2062047210192668e-42,3.8873883675270484e-54,1.3590177932853597e-34,3.995802992306407e-54,3.2357636647660403e-55,3.5301310972812895e-46,2.4610454015131897e-45,1.6842623844407781e-65,4.6199187721173444e-46,7.3492158687376397e-49,5.5288594247193145e-70,3.6333327022646828e-53,5.4328807186816877e-39,4.842458127103416e-71,1.9357740390396429e-19,2.0727680981313146e-37,3.648042587229405e-36,2.0727680981313146e-37,1.7421154717075787e-62,5.1813784348063316e-58,3.636965648563845e-58,2.990527111453808e-101,3.2660965215095325e-103,1.4025218850355502e-45,2.8685440474972627e-55,4.2209674261062384e-56,8.0600268439046229e-75,1.0163698423462924e-46,4.9712526642309855e-84,7.9670955385916105e-57,4.4335243384829373e-68,2.2234927825832413e-79,5.2631196813157597e-80,1.4773266538193774e-69,6.0302100854418146e-61,4.3540781723778303e-85,6.0302109788816049e-61,2.1564114434810526e-76,3.9701900071301912e-63,7.9180433198709077e-75,6.4457375440027094e-70,1.0507126330713386e-79,1.8877310622041839e-23,1.5186241045608436e-60,4.5731605189646315e-54,5.3017232862643611e-67,3.2326541656040277e-81,1.3271285433285717e-83,1.4934806194721895e-91,2.8258916167461499e-94,9.1754684860791909e-101,7.4925595843776337e-42,2.2589573271524271e-42,2.2589573271524271e-42,9.7981939325907617e-95,6.4456921306727672e-97
