Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68)
0.0,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0
2.9364199367556364e-21,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.99999999999999978,9.5,1.5173347329897612e-17,1.1128739715440884e-16,1.112873971532875e-16,1.121359313356997e-27
8.221975822915783e-21,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,4.2485372523713235e-17,3.1160471203234458e-16,3.1160471202557162e-16,6.7730102525485188e-27
1.8793087595236072e-20,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,9.7109422911344155e-17,7.1223934178821557e-16,7.1223934175560653e-16,3.2609128830505331e-26
3.993531113987665e-20,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.99999999999999678,9.5,2.0635752368660471e-16,1.5135086012999547e-15,1.5135086011575418e-15,1.424126327765384e-25
8.221975822915781e-20,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.99999999999999334,9.5,4.2485372523712055e-16,3.1160471203234223e-15,3.1160471197288775e-15,5.9454470776367788e-25
1.6678865240772012e-19,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.99999999999998646,9.5,8.6184612833813118e-16,6.3211241583703117e-15,6.3211241559414026e-15,2.4289091255950137e-24
3.359264407648448e-19,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.9999999999999728,9.5,1.7358309345400691e-15,1.2731278234463918e-14,1.2731278224645876e-14,9.8180390285000185e-24
6.742020174790941e-19,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.99999999999994538,9.5,3.4838005469436095e-15,2.5551586386650423e-14,2.5551586347172523e-14,3.9477903069792228e-23
1.3507531709075926e-18,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.99999999999989064,9.5,6.9797397717493505e-15,5.1192202691020628e-14,5.1192202532696592e-14,1.583240478264084e-22
2.7038554777645896e-18,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.99999999999978106,9.5,1.3971618221355471e-14,1.0247343529974981e-13,1.0247343466562781e-13,6.3412200189259073e-22
5.4100600914785844e-18,0.25168866874761936,76.950000000000003,0.0,0.0,0.0,0.99999999999956191,9.5,2.7955375120546268e-14,2.0503590051716318e-13,2.0503589797902268e-13,2.5381405510913425e-21
