Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52)
4.424496337469848e-21,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999902034,9.5,6.960468296885897e-15,1.1534070954113506e-13,1.1534070954215367e-13,1.9771411193675114e-24,1.9770001828209807e-24,7.4205768176970282e-13,1.9601019620202288e-21,1.0187231190797842e-24,6.9600788444912687e-36,2.9808310277205336e-40,1.2992954677874709e-39
8.849953060513273e-21,0.20202356206038988,76.950000000000003,0.0,0.0,0.0,0.99999999999804046,9.5,1.3922447439930565e-14,2.3070645504505433e-13,2.3070645504912874e-13,7.909851911689935e-24,7.9087242802132777e-24,1.4842764312046741e-12,7.8416841712030325e-21,4.0755558043363674e-24,5.5662473284901395e-35,2.3851177179616008e-39,1.039699610890643e-38
1.7700866506600124e-20,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999608058,9.5,2.784640572599161e-14,4.6143794603401311e-13,4.6143794605030762e-13,3.16419826820127e-23,3.163296197395904e-23,2.9687139177347431e-12,3.1369289401084354e-20,1.630354981999873e-23,4.4488299624995231e-34,1.9082753560361286e-38,8.3186499641614811e-38
3.540269339877382e-20,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999216094,9.5,5.5694322298000574e-14,9.2290092793643681e-13,9.2290092800158112e-13,1.2657308084942855e-22,1.2650093095766563e-22,5.9375888414353866e-12,1.254822623245299e-19,6.5216851396857765e-23,3.5519093741312442e-33,1.5266927677647263e-37,6.6553412307872262e-37
7.080634718312123e-20,0.20202356206038993,76.950000000000003,0.0,0.0,0.0,0.99999999998432165,9.5,1.1139015544156591e-13,1.8458268914394952e-12,1.8458268916997909e-12,5.0630262276388223e-22,5.0572571687758887e-22,1.1875338491398701e-11,5.0193925176711324e-19,2.6087270045223403e-22,2.829946709126438e-32,1.2213832183977392e-36,5.3244414982458429e-36
1.4161365475181602e-19,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999996864308,9.5,2.2278182172688633e-13,3.6916788172399695e-12,3.6916788182788599e-12,2.0252310814927261e-21,2.0206206832867594e-21,2.3750837001573479e-11,2.0077773549627345e-18,1.0435013159261179e-21,2.2455669571838926e-31,9.77118192927891e-36,4.2596206125792136e-35
2.8322826988920564e-19,0.20202356206038993,76.950000000000003,0.0,0.0,0.0,0.99999999993728594,9.5,4.4556515429028616e-13,7.3833826640303765e-12,7.3833826681675979e-12,8.1009654392192196e-21,8.0641602521706629e-21,4.7501830862916082e-11,8.0311496580173443e-18,4.1740256863836817e-21,1.7676819841353409e-30,7.8169922786756367e-35,3.407723467884276e-34
5.664575001639848e-19,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999987457155,9.5,8.9113181938812188e-13,1.4766790338464535e-11,1.4766790354867475e-11,3.2403943441363025e-20,3.2110744879732473e-20,9.5003805949576861e-11,3.2124675446153284e-17,1.6696138745880001e-20,1.3701781282354144e-29,6.2536129365191193e-34,2.7261895847442824e-33
1.1329159607135433e-18,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999974914278,9.5,1.7822651494679371e-12,2.9533605611498173e-11,2.9533605675956824e-11,1.2961593280108416e-19,1.2728999962983634e-19,1.9000770557882745e-10,1.2849882611353153e-16,6.6784588224854524e-20,1.0317932185674763e-28,5.0028986658650716e-33,2.1809560229065301e-32
2.2658328818126604e-18,0.20202356206038988,76.950000000000003,0.0,0.0,0.0,0.99999999949828522,9.5,3.564531809164144e-12,5.9067235860056333e-11,5.9067236108893949e-11,5.1846401465964875e-19,5.0016354054018654e-19,3.8001530266126016e-10,5.1399531871692792e-16,2.6713810932849391e-19,7.3829431947259128e-28,4.0023233336494412e-32,1.7447666101676954e-31
