Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600)
0.0,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.600949923294356e-25,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,2.1102759067576583e-18,2.173463353695584e-17,2.1734633536955877e-17,6.6838332042757435e-32,6.6838330181120766e-32,3.5923635415266381e-16,2.8429651217678595e-28,3.3487421606893214e-32,9.6995235288732931e-47,2.6954222938328786e-51,8.6631923107728396e-50,7.0606292121710518e-28,9.7200719914372647e-34,9.719329880211228e-47,5.147473910903072e-51,3.6563452018063748e-67,1.4309751230783896e-67,1.4899875712993766e-45,4.4705398208594865e-33,1.3701022053526726e-46,1.3701022053526751e-46,2.1109714188052068e-61,3.3039201951826124e-62,1.4940078512914253e-48,1.0514928417284486e-34,3.2401543874539014e-49,2.5356126143745094e-50,1.1995864170641054e-108,1.405690283989929e-62,4.8936838733155116e-52,1.0950305154519735e-108,8.2254280254002764e-30,2.16138895937931e-77,2.1613889584069536e-77,2.375315487278354e-43,7.0060181708573147e-44,3.0012233112217501e-31,2.3751505283257178e-43,4.1643562352987516e-57,1.0950305154519733e-108,3.252363320831103e-66,1.4309751231184193e-67,4.0029823708108003e-78,3.7899940349240743e-93,2.2189702945088958e-52,2.3171095812394842e-108
2.40826597852242e-24,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999999999878,9.5,5.9087725389214395e-18,6.0856973903475965e-17,6.085697390347615e-17,4.0370352553819509e-31,4.037035034368453e-31,1.0058617916241767e-15,1.7171509335431118e-27,2.0226402650517933e-31,1.1515271782667846e-45,3.2000053472535179e-50,1.309181622014e-48,4.2646200441397052e-27,5.8709234828280745e-33,1.153878163984302e-45,6.1110810250491508e-50,1.0311478484402174e-65,3.2010341112602477e-66,1.7689132446421975e-44,2.7002060517990404e-32,1.6265853381946409e-45,1.6265853381946462e-45,4.7221586249610532e-60,7.390737319793129e-61,1.7736861210429565e-47,6.3510167640400597e-34,3.8467112887431214e-48,3.0102792957744553e-49,1.2782524152877243e-106,3.1444729376628855e-61,5.809781494403408e-51,1.1668399885820419e-106,4.9681585273282402e-29,8.9190320578021681e-76,8.9190320504825134e-76,2.8199745464852257e-42,8.3175447724070933e-43,1.8127388799698186e-30,2.8197787072166839e-42,9.3154983240772185e-56,1.1668399885820414e-106,7.2754066541692959e-65,3.2010341114254313e-66,1.6518418836349046e-76,2.8530129111872216e-91,2.6343615336405176e-51,3.1628431596179518e-106
5.5046079509083886e-24,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999999999734,9.5,1.3505765803248991e-17,1.3910165463651467e-16,1.3910165463651553e-16,1.9436586958024882e-30,1.9436584788101378e-30,2.2991126665540748e-15,8.2673425740308094e-27,9.7381422032161901e-31,1.1305756717745755e-44,3.1417842257367583e-49,1.4083578476182088e-47,2.0532309748819254e-26,2.8265969351099063e-32,1.1328829847174638e-44,5.9998955844261997e-49,2.2429718012675876e-64,6.3247039831999766e-65,1.7367295130928438e-43,1.3000329799058035e-31,1.5969911305589131e-44,1.5969911305589238e-44,9.3301896909232177e-59,1.4602851498056859e-59,1.7414155514335909e-46,3.0577411837466618e-33,3.7767239538855859e-47,2.9555100632809365e-48,2.9090034228347589e-104,6.2129486357638428e-60,5.7040779227461552e-50,2.6554548069612872e-104,2.3919544697661122e-28,3.5282803838597643e-74,3.5282803780723339e-74,2.7686677319355777e-41,8.1662147798436843e-42,8.7275573889110725e-30,2.7684754557804706e-41,1.8405854892491527e-54,2.6554548069612856e-104,1.4374977537772863e-63,6.3247039838534292e-65,6.534522221799991e-75,2.2557915210241225e-89,2.5864317752781852e-50,4.9965170183645813e-104
1.1697291895680324e-23,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999999999445,9.5,2.869975233190405e-17,2.9559101610258601e-16,2.9559101610258966e-16,8.4884681694209193e-30,8.4884662501483613e-30,4.885614416361361e-15,3.6105657045727174e-26,4.2529025440048029e-30,9.9998041715738646e-44,2.7788725681433694e-48,1.2945235007078817e-46,8.9669990992772685e-26,1.2344491429124809e-31,1.0020196104892913e-43,5.3068396903275535e-48,4.1580917062829401e-63,1.1254472809507521e-63,1.5361175864780157e-42,5.6775855724901532e-31,1.4125205696300512e-43,1.4125205696300708e-43,1.6602574044111028e-57,2.5984994013081365e-58,1.5402623343008494e-45,1.3353959089954703e-32,3.3404695670150326e-46,2.6141151808441535e-47,4.9160871820467234e-102,1.1055610140596177e-58,5.0451923260531694e-49,4.487601230212967e-102,1.0446293592048704e-27,1.2592182061685364e-72,1.2592182020319222e-72,2.4488552546887402e-40,7.2229244932010945e-41,3.8115536051257856e-29,2.4486851886071106e-40,3.2752235359567981e-53,4.4876012302129598e-102,2.557950447640536e-62,1.1254472811839643e-63,2.3321245656396879e-73,1.6123454558664544e-87,2.2876696148239787e-49,7.1473546914664747e-102
2.40826597852242e-23,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999999998856,9.5,5.9087725389213967e-17,6.0856973903470404e-16,6.0856973903471942e-16,3.5437683648986523e-29,3.5437667516347673e-29,1.0058617915765895e-14,1.5073401074961013e-25,1.7755030935339067e-29,8.4054217702201676e-43,2.335809833247262e-47,1.1074921093558438e-45,3.7435456081311225e-25,5.1535821698595749e-31,8.4225355223382814e-43,4.4607185082796169e-47,7.146697246684647e-62,1.8982313378322869e-62,1.2911993894346673e-41,2.3702802130184452e-30,1.1873086495227238e-42,1.1873086495227565e-42,2.8002667806051407e-56,4.3827490448454382e-57,1.2946832996827733e-44,5.5750150468472832e-32,2.8078659491994291e-45,2.1973213216855913e-46,7.1982345364808451e-100,1.8646902423478602e-57,4.2407881457089196e-48,6.5708367173068494e-100,4.3611219388785428e-27,4.2546137127825866e-71,4.2546136848066487e-71,2.0584103960901902e-39,6.0713032501642557e-40,1.5912485994965192e-28,2.0582674453015058e-39,5.5241432099357055e-52,6.5708367173068312e-100,4.3143573078570763e-61,1.8982313386202594e-62,7.8797218194884469e-72,1.0904300123666925e-85,1.9229241536914073e-48,9.6714094853349754e-100
4.885339556431194e-23,0.33648121144411386,76.950000000000003,0.0,0.0,0.0,0.99999999999997691,9.5,1.198636715038331e-16,1.2345271848988429e-15,1.2345271848989056e-15,1.4477450073718782e-28,1.447743684721242e-28,2.0404624913734807e-14,6.1579761718018794e-25,7.2535094692012641e-29,6.8912460851832422e-42,1.9150380251294014e-46,9.1569589297391622e-45,1.5293605297359647e-24,2.1054064736328882e-30,6.9052328660595384e-42,3.6571665178177862e-46,1.1845126574416005e-60,3.1178506713570612e-61,1.0586032703938389e-40,9.6833680735638679e-30,9.7342736504533266e-42,9.734273650453858e-42,4.5994465949711895e-55,7.1986784663432239e-56,1.0614595904439175e-43,2.2775755549000648e-31,2.3020581488306473e-44,1.8014967759663607e-45,9.8429768577645838e-98,3.0627593221780663e-56,3.4768543395111746e-47,8.9850634092045097e-98,1.7816606118540496e-26,1.3988238978459644e-69,1.3988238794424574e-69,1.6876092065116715e-38,4.9776212168159786e-39,6.5007697400798858e-28,1.6874920068186729e-38,9.0734218096542135e-51,8.9850634092044564e-98,7.0863448334049871e-60,3.1178506739477418e-61,2.590680135264093e-70,7.1732128342723798e-84,1.5765293993754705e-47,1.2727031107524874e-97
9.839486712248744e-23,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999999995359,9.5,2.4141556373306853e-16,2.4864420766267277e-15,2.4864420766269821e-15,5.8520167942791059e-28,5.852006083120496e-28,4.1096638906312022e-14,2.4891524259793998e-24,2.9319845008644716e-28,5.5806667997768286e-41,1.5508474437021083e-45,7.4462869293576718e-44,6.1819197843299079e-24,8.5103895919557083e-30,5.5919222206478053e-41,2.9616682313208279e-45,1.9286717984331523e-59,5.0541702921253573e-60,8.5728437443368841e-40,3.9141721990651542e-29,7.8830671802157492e-41,7.8830671802166138e-41,7.4559011313095456e-54,1.1669368004801989e-54,8.595974963676564e-43,9.2063245459177588e-31,1.8642663731012445e-43,1.4588987959509258e-44,1.3018279161362043e-95,4.9648648438852765e-55,2.8156467877227719e-46,1.1883606497693916e-95,7.201757055469075e-26,4.537051747000118e-68,4.5370516275918885e-68,1.3666696894606215e-37,4.0310067143381615e-38,2.6277150669048308e-27,1.3665747781110895e-37,1.4708407751699908e-49,1.1883606497693775e-95,1.1487270346427026e-58,5.0541703005281664e-60,8.4028089138705484e-69,4.6542252299911617e-82,1.2767143818916164e-46,1.6517231535202159e-95
1.9747781023883841e-22,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999999990696,9.5,4.8451934819152775e-16,4.9902718600809318e-15,4.9902718600819557e-15,2.3530702148509568e-27,2.3530615935934122e-27,8.2480666878024035e-14,1.0008772426104515e-23,1.1789380722802056e-27,4.4917370126975793e-40,1.2482569437538987e-44,6.0057001730215165e-43,2.4857227557467113e-23,3.4219902248708557e-29,4.5006813660896756e-40,2.3838081983497012e-44,3.1128840606071716e-58,8.1395854329643676e-59,6.9001704647935336e-39,1.5738714260857875e-28,6.3449782779685e-40,6.3449782779698883e-40,1.2007498910498805e-52,1.8793157421121814e-53,6.9187884809162102e-42,3.7018226090358251e-30,1.5005237634381512e-42,1.1742486720108045e-43,1.6937138098134924e-93,7.9957617708112335e-54,2.2662774905749849e-45,1.5460897854516454e-93,2.8957948369884028e-25,1.461671633456232e-66,1.4616715565100383e-66,1.1000146633383549e-36,3.2445048924169471e-37,1.0565926709690993e-26,1.0999382704279004e-36,2.3687437242599704e-48,1.5460897854516086e-93,1.8499894760585224e-57,8.1395854600351352e-59,2.7070768180488054e-67,2.9991646364322757e-80,1.0276108061751688e-45,2.1288426849310752e-93
3.956436964715404e-22,0.336481211444114,76.950000000000003,0.0,0.0,0.0,0.9999999999998137,9.5,9.7072691710839984e-16,9.9979314269830725e-15,9.9979314269871841e-15,9.4368639977380202e-27,9.4367948178124674e-27,1.6524872276767818e-13,4.0139653946657197e-23,4.7280689613315933e-27,3.6042251251385251e-39,1.0016475855025392e-43,4.8241049897449647e-42,9.9688600135189555e-23,1.3723711324257393e-28,3.6112178932367233e-39,1.9128558662698412e-43,5.0023211245724297e-57,1.3065837230478522e-57,5.5369522385161784e-38,6.3119283497755744e-28,5.0914454752726837e-39,5.0914454752749128e-39,1.9274694982811842e-51,3.016717970447493e-52,5.551892021409259e-41,1.4845964342931579e-29,1.2040758186394807e-41,9.4226060721333266e-43,2.185647948529662e-91,1.2834968429814021e-52,1.818544961145851e-44,1.9951469653478756e-91,1.1613432467908817e-24,4.6931209277181058e-65,4.6931204335752513e-65,8.8269249031916402e-36,2.6035108428738378e-36,4.2374091806207583e-26,8.8263118982078483e-36,3.8023582729314918e-47,1.9951469653477804e-91,2.969642820093706e-56,1.306583731739708e-57,8.6918559139371006e-66,1.9260418921523077e-78,8.2459295526801806e-45,2.734328760582585e-91
