Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209)
0.0,0.283085548520147,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.251723246268468e-27,0.283085548520147,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,1.4212964833716905e-19,2.0627693830260827e-18,2.0624564638550663e-18,3.3531820848800211e-35,3.3536906935262511e-35,4.9243423018192298e-16,1.7574110135957367e-30,1.3961769010976404e-35,6.4502686626603397e-52,4.0690225606895062e-56,5.8406382729557425e-38,7.0825255240259216e-30,2.2853266015860191e-36,5.371444684031974e-52,1.2609531810567988e-55,1.6602557275996208e-56,4.8591028140465625e-73,1.0066368620688284e-48,5.0049347780391628e-35,2.6663199103521398e-50,2.6663199103521398e-50,1.8046875721555597e-67,3.3367631093910677e-68,2.4034014562127264e-49,1.6472567095560493e-35,2.229877742984747e-52,2.0614575913426396e-53,2.0415517666773198e-118,3.6236303808841828e-67,3.8102986513060845e-53,1.8167511520752986e-118,8.7481759295138376e-32,2.945684473509047e-84,2.9456844735035694e-84,7.7202864182118801e-47,2.2092823316620698e-47,2.1629095238597408e-32,7.7192010435400363e-47,1.9365880339488652e-62,1.8167511520752986e-118,1.2486530503132379e-69,8.9075858312811994e-62,1.9442114186064835e-85,1.4502032764418614e-102,2.3414166094138515e-54,4.2822618371459078e-120,4.9652552195058489e-38,3.8799596666965209e-80,9.2683238808747427e-119,7.5481232841318795e-54,7.6259162149977751e-137,3.9631330037806065e-124,5.1981252956173817e-141,2.5613490627546963e-80,4.8173715542524477e-53,9.7909333223143027e-81,1.2456799336302175e-53,1.0126253656603799e-70,3.819375928430839e-41,8.4313329633769382e-71,8.2022678821439497e-72,6.2096158759679644e-58,7.4112415733971484e-56,9.8839045307365299e-87,4.0512439100089532e-57,2.1193206278378678e-58,3.4942204203779826e-95,3.4099157540931174e-69,5.7629524074186958e-51,2.8592301788292144e-96,3.1291917101668224e-22,1.4845505400866878e-49,2.2224349514171937e-43,1.4845505400866878e-49,6.1972051549102538e-82,1.3757314804067141e-74,1.1944979311550552e-74,9.4120718029454523e-137,9.6358339592334762e-137,1.6252593654579469e-57,2.8566610233611419e-71,5.4462180936705049e-73,1.2949577980552895e-98,1.0836550371475677e-58,4.6214762438493999e-113,1.3409823422602417e-71,2.0711424343772908e-87,6.5057386544350048e-104,1.4018441661754935e-104,1.704350799586484e-89,1.3834553332095315e-77
9.104825089551711e-27,0.283085548520147,76.950000000000003,0.0,0.0,0.0,0.99999999999999867,9.5,3.9796301534407312e-19,5.7757542724730272e-18,5.7748780987941802e-18,2.0253219792675252e-34,2.0256291784252405e-34,1.3788158445093549e-15,1.0614762522118062e-29,8.4329084826295881e-35,7.6577589194568205e-51,4.8379429280844491e-55,3.5277455168652719e-37,4.2778454165115799e-29,1.380337267357954e-35,6.3769790540695715e-51,1.4970036165473534e-54,1.9710555998062718e-55,1.0885093658187899e-71,1.1950792826480933e-47,3.0229806059356526e-34,3.1654549975700591e-49,3.1654549975700591e-49,4.0370139114088262e-66,7.4642056051832453e-67,2.8533182088156435e-48,9.9494305257183989e-35,2.6473108564712699e-51,2.4473624524418452e-52,2.1754318318117855e-116,8.1059162168239295e-66,4.5235865588305041e-52,1.9358893324256388e-116,5.2838982614262618e-31,1.2155449459087698e-82,1.2155449459046467e-82,9.1655240357009236e-46,2.6228599841491449e-46,1.30639735241125e-31,9.1642354788905163e-46,4.3320699684221567e-61,1.9358893324256388e-116,2.7931869274286515e-68,1.0575085898963619e-60,8.0339881456727333e-84,1.0931732346947556e-100,2.7797297986960878e-53,5.8532199472583786e-118,2.9990141525815274e-37,8.6793145760656461e-79,1.2668430908779774e-116,8.9611319629212417e-53,1.883856279650512e-134,5.4170179296988539e-122,1.2886568951914712e-138,1.0569478625230782e-78,5.7191835091955178e-52,4.0402560500661977e-79,1.4788712172057916e-52,2.2652024379672738e-69,2.3069030607722211e-40,1.8860554585754428e-69,1.8348145161640624e-70,7.3720559679491293e-57,8.7986259959362269e-55,4.0786199230253858e-85,4.8096367699614593e-56,2.5160575202328809e-57,2.6303619167187549e-93,7.6278451452760167e-68,6.8417770980865201e-50,2.1523571122373132e-94,8.7617367884675749e-22,1.7624584011908362e-48,1.3423507106581216e-42,1.7624584011908362e-48,2.5572940593480947e-80,3.0774562800747771e-73,2.6720440764019237e-73,2.3250964304621558e-134,1.7087531320112232e-134,1.929507918671641e-56,6.3900377925518317e-70,1.218297202681226e-71,9.7481190822935871e-97,1.286515260101603e-57,6.3082922982192921e-111,2.9997238603424655e-70,8.5466272474460735e-86,4.8973576758216595e-102,1.0552732982664584e-102,7.0330512963159939e-88,3.0947342421731704e-76
2.0811028776118198e-26,0.283085548520147,76.950000000000003,0.0,0.0,0.0,0.99999999999999689,9.5,9.0962974935788039e-19,1.3201724051366888e-17,1.3199721368672378e-17,9.7510535028309828e-34,9.7525325298051007e-34,3.1515790731640974e-15,5.1105512275361151e-29,4.0600824283916946e-34,7.5184330389509242e-50,4.7530757652752796e-54,1.6984576097755337e-36,2.0595984223866217e-28,6.6457297574121154e-35,6.2609556917867837e-50,1.4697670278296394e-53,1.9351940760901212e-54,2.1522031307498647e-70,1.1733359264273645e-46,1.4554350334537843e-33,3.1078624875064456e-48,3.1078624875064456e-48,7.9764591939154479e-65,1.47480124496195e-65,2.8014047373612245e-47,4.7902225113887788e-34,2.5991454972223318e-50,2.4028349684685553e-51,4.9507738606231778e-114,1.6015924480741084e-64,4.4412841079621196e-51,4.4056311780866301e-114,2.5439695603024805e-30,4.8085749245394305e-81,4.808574924506831e-81,8.9987658490670765e-45,2.5751394857851065e-45,6.2897408953836166e-31,8.9975007363495856e-45,8.5594402413764703e-60,4.4056311780866294e-114,5.5188666763449453e-67,1.0382682045146875e-59,3.1804217326838187e-82,8.6496070795284864e-99,2.7291551999326687e-52,9.2533518814321266e-116,1.4438962178322913e-36,1.7148863012934067e-77,2.0027514776624506e-114,8.7980924999837195e-52,5.9511014608029686e-132,8.5637603752629826e-120,4.076361894536791e-136,4.1811806345718697e-77,5.6151282835963848e-51,1.5982851145488404e-77,1.4519645306393723e-51,4.4756582981638908e-68,1.1106745199876783e-39,3.7265277586171443e-68,3.6252842912500531e-69,7.2379282650281367e-56,8.6385431779490148e-54,1.6134606447971125e-83,4.7221299015028044e-55,2.4702803434854862e-56,2.0797480747240262e-91,1.507133660522219e-66,6.7172973260842661e-49,1.701804049033017e-92,2.0026826945070974e-21,1.7303921095247957e-47,6.4628408387526508e-42,1.7303921095247957e-47,1.0116400985312057e-78,6.0805349603487921e-72,5.2795087492527171e-72,7.3449789738676102e-132,7.7865927818362771e-132,1.8944023163776764e-55,1.2624778951605713e-68,2.4071499718587158e-70,7.7075446404240506e-95,1.2631083112992355e-56,9.9655557469949425e-109,5.9269488513329442e-69,3.3809607460318282e-84,3.8721934547435078e-100,8.3437286573666606e-101,2.7822051517196923e-86,6.1146733551978322e-75
4.422343614925117e-26,0.28308554852014695,76.950000000000003,0.0,0.0,0.0,0.99999999999999334,9.5,1.9329632173854914e-18,2.8053663609154501e-17,2.8049407908428669e-17,4.2585412477975009e-33,4.2591871735767919e-33,6.6971055304731017e-15,2.231911987266287e-28,1.7731446643937507e-33,6.6499687405397762e-49,4.2052945611596206e-53,7.4176106066538273e-36,8.9948074155117149e-28,2.9023647840142115e-34,5.5377441244157699e-49,1.2999922915209708e-52,1.7116572449261111e-53,3.8309412874522377e-69,1.037802339318349e-45,6.3562671681096958e-33,2.7488691747766254e-47,2.7488691747766254e-47,1.4193682954988737e-63,2.6243300170813004e-64,2.4778107652963804e-46,2.0920160211359625e-33,2.2989147579061063e-49,2.1252803183697145e-50,8.3665889583966422e-112,2.8499481885936289e-63,3.928265497549988e-50,7.4453219248248808e-112,1.1110183430481086e-29,1.7161462349481203e-79,1.7161462349248198e-79,7.9593064857182674e-44,2.2776817126499009e-44,2.7468950953013433e-30,7.9581875078465985e-44,1.523106658039049e-58,7.4453219248248789e-112,9.8205283786398911e-66,9.1833646890483501e-59,1.1354390358682783e-80,6.184415895077532e-97,2.4139068676410581e-51,1.3241012627898175e-113,6.3058741287723224e-36,3.051548547208164e-76,2.8658218066344774e-112,7.781813181007755e-51,1.703696285065745e-129,1.2254246971948049e-117,1.1677599488817581e-133,1.4922336692878249e-75,4.9665173774875367e-50,5.7041660466207192e-76,1.2842461843753889e-50,7.9641948080715603e-67,4.8506074291070609e-39,6.63115703884307e-67,6.4509996980828081e-68,6.4018655834876696e-55,7.6406936125038443e-53,5.758320446161067e-82,4.176670421455199e-54,2.1849352557988277e-55,1.4865169616315522e-89,2.6818638230565773e-65,5.9413734139461487e-48,1.2163783753456031e-90,4.2557007258285325e-21,1.5305122248072518e-46,2.8224923883320604e-41,1.5305122248072518e-46,3.6104716542209213e-77,1.0819986889498723e-70,9.3946034939024087e-71,2.1027390431952698e-129,2.6477192613542469e-129,1.6755773954123004e-54,2.2462049493415798e-67,4.2833947613854524e-69,5.5090306272040653e-93,1.1172049970977194e-55,1.4255402586536407e-106,1.0546688805284784e-67,1.2066408750805666e-82,2.7676819703072102e-98,5.9637483612390182e-99,9.9294925646942974e-85,1.0880734529780835e-73
9.10482508955171e-26,0.283085548520147,76.950000000000003,0.0,0.0,0.0,0.99999999999998623,9.5,3.9796301534406983e-18,5.7757542724729289e-17,5.7748780987940801e-17,1.7778571414032724e-32,1.7781267992262245e-32,1.3788158445089185e-14,9.3177931940819049e-28,7.4025299296174057e-33,5.5896991834857318e-48,3.5353002130468325e-52,3.096706412321162e-35,3.7551550328374574e-27,1.2116801641608767e-33,4.6548071364487189e-48,1.0927218514141946e-51,1.4387510494461989e-52,6.462411020863084e-68,8.7233539847881653e-45,2.6536164193163266e-32,2.3105901731925684e-46,2.3105901731925684e-46,2.3939720895888302e-62,4.4263161539457425e-63,2.082749247529394e-45,8.7337550740641839e-33,1.9323763740240627e-48,1.7864261653344469e-49,1.2250529203964434e-109,4.8068541772540303e-62,3.301943846442462e-49,1.0901591332683725e-109,4.6382828778268959e-29,5.7984702594095179e-78,5.7984702592519379e-78,6.6902766854370823e-43,1.9145287201002691e-43,1.146774629549959e-29,6.6893361171124881e-43,2.5689420007315822e-57,1.090159133268372e-109,1.6563756509177204e-64,7.7191713607955844e-58,3.8369848436559719e-79,4.1831796431950574e-95,2.0290341710518445e-50,1.7919845861923334e-111,2.6325783173819028e-35,5.1468826488489378e-75,3.878486221999839e-110,6.5410828680545943e-50,4.6123549884407718e-127,1.6584397513323204e-115,3.1624714638896077e-131,5.0419203068640232e-74,4.1746571108168685e-49,1.9273087865592954e-74,1.0794862996049707e-49,1.3432778614978378e-65,2.025033117253936e-38,1.1184415576290886e-65,1.0880553888754175e-66,5.3811537642593391e-54,6.4224633676304847e-52,1.9456022855602668e-80,3.5107431524973496e-53,1.8365701839261588e-54,1.0053321409670831e-87,4.5233553270413039e-64,4.9940823490192168e-47,8.2263728425284981e-89,8.7617367884744165e-21,1.2864877452295379e-45,1.1783350112702781e-40,1.2864877452295379e-45,1.2198967712249251e-75,1.8249488728083844e-69,1.5845371118798146e-69,5.6926689341636861e-127,7.7805985618703463e-127,1.4084237619555997e-53,3.7875172865513243e-66,7.2245713391909642e-68,3.72576008081478e-91,9.3907811671159957e-55,1.9289631166647548e-104,1.7788532206555451e-66,4.0769668024349741e-81,1.8717846567125263e-96,4.0332859045291375e-97,3.3549511198664362e-83,1.83519491458996e-72
1.8469788038804898e-25,0.283085548520147,76.950000000000003,0.0,0.0,0.0,0.99999999999997191,9.5,8.072964025551056e-18,1.1716530095587715e-16,1.1714752714696331e-16,7.2631265231325432e-32,7.2642281349297987e-32,2.7970264274313657e-14,3.8066225518866289e-27,3.0241750148515971e-32,4.5827727229170578e-47,2.8986503838812124e-51,1.2651056124753286e-34,1.5341033586051913e-26,4.9501088320991169e-33,3.8162913443550298e-47,8.9587939322877558e-51,1.1795750360130798e-51,1.0615303518869096e-66,7.151932639575846e-44,1.0840888926623628e-31,1.8943614239615223e-45,1.8943614239615226e-45,3.9321063457930239e-61,7.2702375742476663e-62,1.7075636675328543e-44,3.5680239231650974e-32,1.5842789006856231e-47,1.4646201016625675e-48,1.6751562461461102e-107,7.895272420240383e-61,2.7071330603571021e-48,1.4907004023930481e-107,1.8948898990352801e-28,1.9064101582352971e-76,1.9064101581316355e-76,5.4850930362109385e-42,1.5696463156907021e-42,4.6849485450571252e-29,5.4843219014717158e-42,4.2194949502497527e-56,1.4907004023930471e-107,2.7206019804161348e-63,6.3286430549564925e-57,1.2616116257179574e-77,2.7520456608434118e-93,1.6635248025090414e-49,2.3583326184016819e-109,1.0754941415657611e-34,8.4537702067425591e-74,5.1042629706984399e-108,5.3627749308109531e-49,1.2141415524137265e-124,2.1825815867328787e-113,8.3261526619021575e-129,1.657673086206522e-72,3.4226361214716056e-48,6.3365696199899675e-73,8.8502808823127017e-49,2.2063379211147125e-64,8.2729210360175275e-38,1.837043616873344e-64,1.7871342434534482e-65,4.4117949715558726e-53,5.2655234976672035e-51,6.3966880210223364e-79,2.8783193465722831e-52,1.5057319343315845e-53,6.6134106149908494e-86,7.4296247074487833e-63,4.0944504394626055e-46,5.4115828254855721e-87,1.7773808913778265e-20,1.0547403798540614e-44,4.8138830024117394e-40,1.0547403798540614e-44,4.0107536861635875e-74,2.9974837921334024e-68,2.6026066956697335e-68,1.4985199349109264e-124,2.1316827032460338e-124,1.1547108934303844e-52,6.2176088415589602e-65,1.1866380118566255e-66,2.4509294255401577e-89,7.6991297679031594e-54,2.5384070063874433e-102,2.9217717564884009e-65,1.3404174858845275e-79,1.2313224667989807e-94,2.6532301840698254e-95,1.1030345262243895e-81,3.0143131579040187e-71
3.7199713937311273e-25,0.283085548520147,76.950000000000003,0.0,0.0,0.0,0.99999999999994327,9.5,1.6259631769771533e-17,2.3598081741816583e-16,2.3594501946500122e-16,2.9358718680517279e-31,2.936317134195747e-31,5.6334475932731805e-14,1.5386976981298436e-26,1.222419893400643e-31,3.7112475469139294e-46,2.3474810891774793e-50,5.1137591586100356e-34,6.2010910575022853e-26,2.000913135365217e-32,3.0905304150488923e-46,7.2550635982324826e-50,9.5525044671144367e-51,1.720848317522465e-65,5.791820477900615e-43,4.3820606350423659e-31,1.5341029957606111e-44,1.5341029957606116e-44,6.3741138324803426e-60,1.1785368403649277e-60,1.3828293295440456e-43,1.442252317536991e-31,1.2829901289757631e-46,1.1860873311644635e-47,2.2155544980345885e-105,1.2798576823663407e-59,2.1923065394401065e-47,1.9715939867354121e-105,7.6594479387246439e-28,6.1833956509075744e-75,6.1833956502349795e-75,4.4419705513602641e-41,1.2711402822741403e-41,1.893731107793034e-28,4.4413460664554648e-41,6.8399831447301406e-55,1.9715939867354094e-105,4.4102130489496888e-62,5.1250992281670137e-56,4.0921590271003827e-76,1.7856884862209553e-91,1.3471655148642291e-48,3.0607772219042964e-107,4.3473192769272138e-34,1.3703925805694504e-72,6.6246006663437154e-106,4.3429141782978689e-48,3.1517319786369811e-122,2.8326776106804995e-111,2.161523115608969e-126,5.3766229202925965e-71,2.7717394687828675e-47,2.0552511673353721e-71,7.167186917523461e-48,3.5765688476616452e-63,3.3440469553850974e-37,2.9779268665281268e-63,2.8970216214799334e-64,3.5727859514741805e-52,4.2641574463118943e-50,2.0747331597444069e-77,2.330937632302988e-51,1.219381952307031e-52,4.2910064530634325e-84,1.2043741815030236e-61,3.3157921216570171e-45,3.5112195775079754e-85,3.5797953164434249e-20,8.5415610559548813e-44,1.9458484770439635e-39,8.5415610559548813e-44,1.3008783442351531e-72,4.8590497119014222e-67,4.2189367365868045e-67,3.8899362187562612e-122,5.6438306291000182e-122,9.3511481940095154e-52,1.006800744705443e-63,1.9235913528954911e-65,1.5902466357013104e-87,6.2349548994686302e-53,3.2943626780443152e-100,4.7363179249594839e-64,4.3476119853441602e-78,7.9892402852761596e-93,1.7215062702275407e-93,3.5776660458111869e-80,4.8863315243550201e-70
7.465956573432403e-25,0.283085548520147,76.950000000000003,0.0,0.0,0.0,0.99999999999988609,9.5,3.2632967258211552e-17,4.7361185034271538e-16,4.7354000410104872e-16,1.1805011657096973e-30,1.1806801868053173e-30,1.1306289924944491e-13,6.1870357697891098e-26,4.9152966273773551e-31,2.9871338981087658e-45,1.8894885054988478e-49,2.0562200665473068e-33,2.4934314408292872e-25,8.0455837139458613e-32,2.487525720349112e-45,5.8395063592368193e-49,7.6886866442403773e-50,2.7714226409840864e-64,4.661760997602663e-42,1.7620073083475819e-30,1.234779554932344e-43,1.2347795549323452e-43,1.0265313824178804e-58,1.8979972491375602e-59,1.1130213478469171e-42,5.7992331362491846e-31,1.0326620734122571e-45,9.5466627138315761e-47,2.8824971436064924e-103,2.061171341658958e-58,1.7645590292975832e-46,2.5650978299826046e-103,3.0798303286814889e-27,1.9920632750581012e-73,1.9920632746246837e-73,3.5752843424328391e-40,1.0231242858776923e-40,7.6146094951022879e-28,3.5747817026525662e-40,1.1015581989637827e-53,2.5650978299825971e-103,7.1025121560307668e-61,4.1251257341742576e-55,1.3183678548753876e-74,1.1507122789758441e-89,1.0843160071126932e-47,3.9449929927138563e-105,1.7480379610473489e-33,2.2069750050840917e-71,8.53835523253006e-104,3.4955551556850361e-47,8.1246661336456555e-120,3.6509985922333447e-109,5.5722924913656223e-124,1.7321506933740373e-69,2.2309370600083285e-46,6.6212654064332212e-70,5.7687755623916941e-47,5.7599538696181642e-62,1.3446265731072497e-36,4.7958594141505659e-62,4.6655640111906801e-63,2.8756889590982688e-51,3.4321648860817826e-49,6.6839180153794728e-76,1.8761413934365784e-50,9.8146659975912452e-52,2.7651078729336356e-82,1.9396074905209389e-60,2.6688379668786898e-44,2.2626162424999989e-83,7.18462416659394e-20,6.8749914368282615e-43,7.8241711454881059e-39,6.8749914368282615e-43,4.1909528701699711e-71,7.8253475569270874e-66,6.7944647461597728e-66,1.0027639809503611e-119,1.4692258211495351e-119,7.5266175980361182e-51,1.6178884964884622e-62,3.0978845727326235e-64,1.0247487484314019e-85,5.0184341319119726e-52,4.2459778341409692e-98,7.6276940055994309e-63,1.4006411136859648e-76,5.1482353739643555e-91,1.109331946518963e-91,1.1525927731572575e-78,7.8692862821881565e-69
1.4957926932834953e-24,0.283085548520147,76.950000000000003,0.0,0.0,0.0,0.99999999999977163,9.5,6.5379638235087862e-17,9.4887391619170304e-16,9.4872997337303073e-16,4.7343376665443258e-30,4.7350554731205092e-30,2.265197458823784e-13,2.4812780656174736e-25,1.9712537895879329e-30,2.396985227021938e-44,1.5162081206467274e-48,8.2463621337577432e-33,9.9997752921696354e-25,3.2266389168182514e-31,1.9960794773996464e-44,4.6858360925962456e-48,6.1696868154317777e-49,4.4487866885000375e-63,3.7407696131146244e-41,7.0664373835030722e-30,9.9083282913296689e-43,9.9083282913296864e-43,1.6478102111725248e-57,3.0467059278381691e-58,8.9312953600644422e-42,2.32575186467285e-30,8.2864627911788793e-45,7.6605955999728732e-46,3.7197098660414413e-101,3.3086364840270087e-57,1.4159474929617108e-45,3.3101228657629803e-101,1.235149710576398e-26,6.396097401736496e-72,6.3960973989531191e-72,2.8689405212495844e-39,8.2099280529712274e-40,3.0537989792587665e-27,2.8685371844811702e-39,1.7682448676722248e-52,3.3101228657629619e-101,1.140110497956714e-59,3.3101536132025123e-54,4.2330415986430689e-73,7.3898602646545957e-88,8.7009530786940943e-47,5.0670767885240855e-103,7.0104140528844481e-33,3.5426836573692119e-70,1.0966940040410503e-101,2.8049628700572825e-46,2.0871451651064261e-117,4.6894608602845248e-107,1.4314952905939174e-121,5.5615726114865484e-68,1.7901864905831258e-45,2.1259494614787106e-68,4.6290790840230481e-46,9.2460015978822954e-61,5.3925539570915735e-36,7.6984164822834455e-61,7.4892635045196436e-62,2.3075592851098174e-50,2.7540961708481368e-48,2.145994515232579e-74,1.5054853129239871e-49,7.8756821820108343e-51,1.7757323319531799e-80,3.1134995805411328e-59,2.1415743908342111e-43,1.4530358312398437e-81,1.4394281866972241e-19,5.5167476561826914e-42,3.1378425746055177e-38,5.5167476561826914e-42,1.3456270743607364e-69,1.2561408793485936e-64,1.0906611657522208e-64,2.575999998108161e-117,3.7927832176320803e-117,6.039636612589604e-50,2.585799298415735e-61,4.9727908168944184e-63,6.5808625498246474e-84,4.0269773409212675e-51,5.4536201391132932e-96,1.2244138158385688e-61,4.4971648749861671e-75,3.3061596241994797e-89,7.1240497471272488e-90,3.7007336739966428e-77,1.2631947265079169e-67
