Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844)
0.0,0.19882829638396302,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.78545595184278e-22,0.19882829638396302,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,2.2789066673964772e-17,2.8787897733866906e-16,2.8787897733891839e-16,4.0328514041151122e-28,4.0328397378907401e-28,1.0598135326804231e-16,2.2052549813177582e-26,2.4963359743596536e-28,4.4097651152225325e-41,1.2634943228097368e-45,1.1375286417756727e-45,3.1921458565611462e-26,1.1414758095233396e-30,5.4592031327091523e-41,1.0204135126622337e-45,5.1846432121866978e-62,1.4931653638260202e-61,7.2746024758171027e-43,3.5277842027723732e-31,6.2480008107143493e-43,6.248000810720489e-43,5.4179396180613268e-55,7.2178566365922989e-56,1.2562433608128735e-48,4.7873978627473231e-33,8.3027622222015856e-45,5.5305292815923192e-46,1.3672258684759605e-98,7.7736406057450244e-57,1.7807233867072137e-49,1.2862010874064555e-98,3.4244064441032425e-28,5.4449852693702178e-69,5.4449846149163502e-69,3.0081689958440005e-40,9.1038482692854278e-41,1.445644848591725e-30,3.0080922198487754e-40,3.7834394762068445e-52,1.2862010874064542e-98,5.954778393386521e-61,1.4931653666072838e-61,2.7812892510663706e-70,3.8102276765445053e-83,1.0910052589082795e-49,1.1733039073439124e-95,3.1168620402287244e-36,2.5805785279479612e-75,8.3398083729105133e-97,5.8204473544337156e-48,8.368914417051956e-110,1.2469134931093145e-101,3.6759668961440352e-113,6.3546548628292381e-68,4.9562409082497951e-49,1.0256905636226871e-69,3.9202451331327407e-48,2.7459049311466374e-60,1.3657163774036471e-39,3.3994316071754678e-60,2.2643856986705771e-61,1.9132106349535025e-51,4.3433551559244558e-52,1.0693223030676006e-72,2.6654953777583873e-52
7.799276665159784e-22,0.19882829638396302,76.950000000000003,0.0,0.0,0.0,0.99999999999999811,9.5,6.380938668710129e-17,8.0606113654615694e-16,8.0606113654766248e-16,2.4358422480690155e-27,2.4358283979628698e-27,2.9674778897113057e-16,1.3319740080440405e-25,1.507786928109981e-27,5.2352346560425536e-40,1.5000204601048587e-44,1.7190333296525306e-44,1.9280560963903667e-25,6.8945138895058629e-30,6.4810257577797515e-40,1.2114348549175653e-44,1.4621523780300069e-60,3.3401511871473836e-60,8.6364080552983172e-42,2.1307816584679295e-30,7.4176265624526416e-42,7.4176265624663766e-42,1.2119714187892051e-53,1.6146056576041181e-54,1.4914121163791416e-47,2.8915883090888138e-32,9.8570392929792578e-44,6.5658443605650711e-45,1.4568852595824479e-96,1.7389323082972004e-55,2.1140748046941388e-48,1.3705470678302826e-96,2.068341491195032e-27,2.2468883212817971e-67,2.2468878286253522e-67,3.5712982286973962e-39,1.0808088655669165e-39,8.7316948770468089e-30,3.5712070802366495e-39,8.4634027635215142e-51,1.3705470678302803e-96,1.3320601074768374e-59,3.3401511986243453e-60,1.1477067953467086e-68,2.8682442873882846e-81,1.2952414432841492e-48,1.6015540491348889e-93,1.8825846722880308e-35,1.0648829552207025e-73,1.13837973137729e-94,6.9100350987915908e-47,2.0646037601126553e-107,1.70203077169379e-99,9.0685777127393509e-111,2.6222661200111577e-66,5.8840491810156657e-48,4.2325408265990495e-68,4.65411502202559e-47,6.1424794879302773e-59,8.2489269194883674e-39,7.6043925208706754e-59,5.0653402323259648e-60,2.2713636658010521e-50,5.1564312375860985e-51,4.4125073213975899e-71,3.1644761121455704e-51
1.7826918091793793e-21,0.19882829638396302,76.950000000000003,0.0,0.0,0.0,0.99999999999999556,9.5,1.4585002671337395e-16,1.8424254549526655e-15,1.8424254549599143e-15,1.1727531882919068e-26,1.1727395902506038e-26,6.7828065965975505e-16,6.4128814755937578e-25,7.2593450073891246e-27,5.1399029050227339e-39,1.4727289828606787e-43,1.8492577403091214e-43,9.2827601362913238e-25,3.3194116540712047e-29,6.3628125669861653e-39,1.1893937816825024e-43,3.180501009556678e-59,6.5995758600270953e-59,8.4792766334379999e-41,1.0258796461563316e-29,7.2826697448836062e-41,7.2826697449107433e-41,2.3946512801729642e-52,3.1901886926155243e-53,1.4642772564719889e-46,1.3921752984710395e-31,9.6776995928207622e-43,6.4463849227457699e-44,3.3155299814515159e-94,3.4358372032476279e-54,2.0756111795299462e-47,3.1190444576839553e-94,9.958173923802322e-27,8.8884659140732108e-66,8.888462018788413e-66,3.5063217717331029e-38,1.0611445512836956e-38,4.2039352070339197e-29,3.5062322816354995e-38,1.6722257624352524e-49,3.1190444576839441e-94,2.6319263010021823e-58,6.5995759054288133e-59,4.5402139321548505e-67,2.267834504828376e-79,1.2716757294990111e-47,2.530062868300669e-91,9.0638348128333398e-35,4.2125710725230801e-72,1.7983609669294291e-92,6.7843134351123675e-46,6.5173402133903012e-105,2.688791466633015e-97,2.8626803531793183e-108,1.0373423977098217e-64,5.7769943243546336e-47,1.6743510568611457e-66,4.5694377270877626e-46,1.2136504342218779e-57,3.9715032254453097e-38,1.5024998140729812e-57,1.000825871549868e-58,2.2300383160529889e-49,5.0626147588105525e-50,1.7454731022771558e-69,3.1069014112946943e-50
3.788220094506181e-21,0.19882829638396302,76.950000000000003,0.0,0.0,0.0,0.99999999999999045,9.5,3.0993130676591779e-16,3.9151540917318145e-15,3.9151540917634731e-15,5.1217212829702586e-26,5.1216010111697665e-26,1.4413463981667972e-15,2.8006738158593285e-24,3.1703466811863871e-26,4.5460408930416386e-38,1.3026121074438856e-42,1.6997867045977803e-42,4.0540252227578831e-24,1.4496742780712183e-28,5.6273074752097596e-38,1.0520050767935032e-42,5.8961136670292053e-58,1.1743592549682881e-57,7.4998241424821297e-40,4.4802859374188728e-29,6.4414389156354811e-40,6.4414389156837692e-40,4.2611539762263897e-51,5.6767703184917644e-52,1.2951366449914977e-45,6.0799952855248599e-31,8.5598156285082297e-42,5.7017544516060072e-43,5.6030990940539146e-92,6.1138887171217806e-53,1.8358545827248686e-46,5.271047245217278e-92,4.3489961678395494e-26,3.1722297476834852e-64,3.1722269634990459e-64,3.1013018873277376e-37,9.3857033490340118e-38,1.8359689446183142e-28,3.1012227343528035e-37,2.9756363864829848e-48,5.2710472452172406e-92,4.6833722291861213e-57,1.1743592711718385e-57,1.6203700921946204e-65,1.6209532665740953e-77,1.1247827811266514e-46,3.61917242103017e-89,3.9584147909336273e-34,1.5034366938760385e-70,2.572496713876811e-90,6.000648401974282e-45,1.8651791690232702e-102,3.8462285124087369e-95,8.1926239671842955e-106,3.7022013207562569e-63,5.1096859623364194e-46,5.9756399696420798e-65,4.0416159222618335e-45,2.1596260920180415e-56,1.7344597992566522e-37,2.6736181298839841e-56,1.7809161642356844e-57,1.9724436361091525e-48,4.4778254085883886e-49,6.2289617055562318e-68,2.7480191125107719e-49
7.799276665159785e-21,0.19882829638396302,76.950000000000003,0.0,0.0,0.0,0.99999999999998035,9.5,6.3809386687099976e-16,8.0606113651546455e-15,8.0606113652868065e-15,2.1382178142314917e-25,2.138116720781858e-25,2.9674778637000521e-15,1.169226181721874e-23,1.3235573279801525e-25,3.8209773511423078e-37,1.0949239649580858e-41,1.4542037288272223e-41,1.6924757195814249e-23,6.0521047418819387e-28,4.7292026958769236e-37,8.8427322839960588e-42,1.0133915737821109e-56,1.9807285047150684e-56,6.3040540647569727e-39,1.8704311842180746e-28,5.4144175342280775e-39,5.4144175343095231e-39,7.1870588992605462e-50,9.5747028463286527e-51,1.0886403779500621e-44,2.538278346680764e-30,7.1950406941959879e-41,4.7926681569430169e-42,8.2041713083021363e-90,1.031196691250712e-51,1.543146395282165e-45,7.7179742581780323e-90,1.8156202821091284e-25,1.071824329054356e-62,1.071822446112126e-62,2.6068310836701299e-36,7.8892491348918928e-37,7.6648088693947345e-28,2.6067645508303404e-36,5.0188456565320676e-47,7.7179742581779224e-90,7.8991918000422923e-56,1.9807285594632027e-56,5.4748642468254752e-64,1.0962514646402959e-75,9.4544770020184782e-46,4.8972661268846312e-87,1.6525602535881012e-33,5.0797727966358117e-69,3.4809618202573719e-88,5.0439065455632556e-44,5.0487308024394155e-100,5.204506029949403e-93,2.217607492103963e-103,1.2508901431723598e-61,4.294998772906689e-45,2.0190336746070892e-63,3.3972217081010945e-44,3.6425250260491037e-55,7.2410282325803202e-37,4.5094477231619161e-55,3.0037754142641368e-56,1.6579577246945629e-47,3.7638820427793087e-48,2.1042822167479161e-66,2.3098756425513327e-48
1.582138980646699e-20,0.198828296383963,76.950000000000003,0.0,0.0,0.0,0.99999999999996003,9.5,1.2944189870811407e-15,1.6351525911458471e-14,1.6351525911998345e-14,8.7353174534192808e-25,8.7344886650646068e-25,6.0197407488432516e-15,4.7766704203771355e-23,5.407163526274166e-25,3.1322681217347122e-36,8.9768481962203094e-41,1.202364453782512e-40,6.9143154962759443e-23,2.4724822622814545e-27,3.8758301434107847e-36,7.2497991842003501e-41,1.6796231466397571e-55,3.2533524288819405e-55,5.1684443556963101e-38,7.6413216937955114e-28,4.4390666196038329e-38,4.4390666197376079e-38,1.1804765478460708e-48,1.5726478077568268e-49,8.925331383219185e-44,1.0369695265373082e-29,5.8989288881580673e-40,3.9293188894568856e-41,1.1218510303762223e-87,1.6937436508044273e-50,1.2651646477733183e-44,1.0553676963323826e-87,7.4174012109580468e-25,3.5239212181768731e-61,3.5239088315941405e-61,2.1372375875543464e-35,6.4680829890699807e-36,3.1313244680736161e-27,2.1371830399206887e-35,8.2434689385408108e-46,1.0553676963323525e-87,1.297444624953072e-54,3.2533526088818242e-55,1.8000155335655065e-62,7.2115081039242589e-74,7.7513514521552987e-45,6.4445267067504883e-85,6.7512478524218091e-33,1.6701181577963851e-67,4.580749919467677e-86,4.1352993219743139e-43,1.3289089288225024e-97,6.8488371912739912e-91,5.8371074131141947e-101,4.1126530518069618e-60,3.5212992243545779e-44,6.6381408855361609e-62,2.7852476074839423e-43,5.9828581757391026e-54,2.9581963017610371e-36,7.4067813043412423e-54,4.9337101347510631e-55,1.3592939121274749e-46,3.0858578661765283e-47,6.9161640691962138e-65,1.8937756051497257e-47
3.186561608908141e-20,0.19882829638396302,76.950000000000003,0.0,0.0,0.0,0.9999999999999194,9.5,2.6070692275013301e-15,3.2933355001898959e-14,3.2933355004080904e-14,3.5309549795659724e-24,3.530283864903577e-24,1.2124266335436397e-14,1.9308065231057784e-22,2.1856619305009626e-24,2.5359443558318839e-35,7.2696844200056212e-40,9.7774392667842115e-40,2.7948768259307581e-22,9.9941686192973383e-27,3.1363921131149632e-35,5.8710640091837069e-40,2.7348339152873254e-54,5.2738241988115188e-54,4.1855401730019453e-37,3.088744402529338e-27,3.5948712386674438e-37,3.5948712388842973e-37,1.9136032424052909e-47,2.5493298344142564e-48,7.2279644932989277e-43,4.191596622902663e-29,4.7771052637771584e-39,3.1820642683638787e-40,1.483755382027477e-85,2.7456314104496246e-49,1.0245631332827424e-43,1.3958248083328258e-85,2.9982321119572814e-24,1.1429736652727167e-59,1.1429656284873587e-59,1.7307903566774776e-34,5.2380211388414485e-35,1.2657313738259153e-26,1.7307461826026947e-34,1.3363017985904129e-44,1.3958248083327455e-85,2.1032136471410563e-53,5.273824782636794e-54,5.8383069259332459e-61,4.679072263811561e-72,6.2772453578609034e-44,8.3637521840314822e-83,2.7289623246150378e-32,5.4169882189244405e-66,5.9449295330042699e-84,3.3488725992077309e-42,3.4495192817638482e-95,8.8884693289751449e-89,1.515168885438427e-98,1.3339291200636189e-58,2.851638982447343e-43,2.1530650207805468e-60,2.2555657244628418e-42,9.6984705412233642e-53,1.1957502425148187e-35,1.2006711278749338e-52,7.9977567268688062e-54,1.1007914518502699e-45,2.4990076469058595e-46,2.2417795338298724e-63,1.5336285789558837e-46
6.395406865431024e-20,0.19882829638396304,76.950000000000003,0.0,0.0,0.0,0.99999999999983824,9.5,5.2323697083413406e-15,6.6097013174113143e-14,6.6097013182883926e-14,1.4197814669231618e-23,1.4192413914318599e-23,2.4333316773849751e-14,7.763687842459262e-22,8.7884503333982492e-24,2.0401069510221562e-34,5.8512744858910354e-39,7.8858770678353484e-39,1.1238076407441837e-21,4.0186112452686564e-26,2.5206574392908041e-34,4.7255248405710941e-39,4.4140427624114611e-53,8.4933303716621821e-53,3.3688867568040709e-36,1.2419705392040315e-26,2.8934651188655396e-36,2.8934651192147758e-36,3.0817986685587774e-46,4.1056170039414753e-47,5.8176942152276003e-42,1.6854225663361963e-28,3.8450294483567934e-38,2.5612020876313543e-39,1.9304064298641454e-83,4.4217546278834861e-48,8.2465754449488635e-43,1.8160063428337649e-83,1.2055759040545157e-23,3.682230734594217e-58,3.6821789465338741e-58,1.3930905685293979e-33,4.2160148491606152e-34,5.0894498495913998e-26,1.3930550134121964e-33,2.1520727223336611e-43,1.8160063428335572e-83,3.3871607383488805e-52,8.4933322525328743e-53,1.8808881456881582e-59,3.0151756542736979e-70,5.0524731471357969e-43,1.0779718603654392e-80,1.097303747913281e-31,1.7451549166822725e-64,7.6621910931955919e-82,2.6954640025459341e-41,8.8921451375130275e-93,1.1456006738827979e-86,3.905791092103837e-96,4.2974300947117128e-57,2.2952464554459901e-42,6.9363853544681825e-59,1.8154755240286065e-41,1.5619086593847619e-51,4.8080591329672501e-35,1.9336437094378991e-51,1.2880140620717586e-52,8.8601272671426536e-45,2.011418667373598e-45,7.2127914665696805e-62,1.2343976940922864e-45
1.281309737847679e-19,0.198828296383963,76.950000000000003,0.0,0.0,0.0,0.99999999999967593,9.5,1.0482970670019886e-14,1.3242432948388852e-13,1.324243295190417e-13,5.6939586898807105e-23,5.6896264636706697e-23,4.8751414711585017e-14,3.1135858500990224e-21,3.524561528213001e-23,1.6353880400186732e-33,4.6952793008834484e-38,6.3343943704598475e-38,4.5069709646464894e-21,1.6116428456522798e-25,2.0166226810998144e-33,3.7919068006892636e-38,7.0932797085519587e-52,1.3633673289611327e-51,2.7033192836212589e-35,4.9808573450101525e-26,2.3218235326281076e-35,2.3218235331887085e-35,4.9469682219774127e-45,6.5904242179081037e-46,4.6683325357649679e-41,6.7592983112968672e-28,3.0853932318207446e-37,2.0552032659028152e-38,2.4910872340567805e-81,7.0978950777341632e-47,6.6173574409972954e-42,2.3434599821230643e-81,4.8348982497165969e-23,1.1822798871839759e-56,1.182246630128234e-56,1.1178673096344394e-32,3.3830859823677946e-33,2.0410967516528001e-25,1.1178387789261583e-32,3.4545529193153972e-42,2.3434599821225282e-81,5.4371431218745589e-51,1.3633679328691387e-51,6.0391360935416684e-58,1.9363236488552617e-68,4.0542914670119368e-42,1.3845686529234585e-78,4.4006788070040954e-31,5.6033264752582245e-63,9.8414717418368075e-80,2.1629400905931987e-40,2.2842807531027965e-90,1.4714325540833108e-84,1.0033488365001908e-93,1.3798145160912936e-55,1.8417896322060078e-41,2.2271276047233405e-57,1.4568047720907679e-40,2.5072089154285739e-50,1.9282467570754037e-34,3.1039259821983687e-50,2.0675478118270155e-51,7.1096941337086049e-44,1.6140366524055469e-44,2.3098631617827371e-60,9.9052639553850447e-45
