Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281)
0.0,0.2630572736199475,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0944230517509443e-21,0.2630572736199475,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,3.6520330597889281e-17,3.1575776328379744e-16,3.1575761016353458e-16,1.252221871042171e-27,1.2522121709972664e-27,6.5271984690377258e-17,5.0508479297147376e-26,8.1882699835912467e-28,3.6732144018573002e-40,7.2150442042510058e-45,8.6077284742132453e-32,6.3665760292371156e-26,2.3595234540884646e-30,4.8036552377235236e-40,4.4909706016902462e-45,6.2871417914765885e-48,8.8396811809791933e-61,2.3250946136418362e-42,5.3414889368301922e-31,2.3795455478183161e-42,2.3795455478252786e-42,6.170667372985019e-54,7.9142177107982861e-55,7.5678020663168551e-49,2.9388268287617048e-31,1.524200521667333e-42,9.774351811703739e-44,5.8892904076347117e-97,2.7448669883490139e-54,4.7143768595527486e-47,5.5844579715032397e-97,6.6718464208118174e-28,5.442753812568153e-66,5.4427513969177163e-66,1.250148439538485e-39,3.804364858483391e-40,1.6155322935410191e-30,1.2501243667140924e-39,4.1854389543026763e-51,5.5844579715032324e-97,5.7713390604592702e-58,5.163832604182905e-58,4.2490802454698652e-69,1.8637040485492002e-81,1.0732704079008902e-47,1.6669383068248044e-93,2.3877860458238716e-36,2.3902790103871306e-71,7.6119340510161155e-95,1.3318970919976574e-47,2.2684274051423934e-107,1.018082419308541e-99,9.6045553625209918e-111,1.1081022348213169e-66,6.0124923675046665e-49,1.1350122864356347e-68,7.9943507996418294e-48,1.5851875867735655e-59,9.8094085226157151e-40,2.0731050869378976e-59,1.3294352111811651e-60,3.8901852239375194e-51,4.9400570139864561e-52,1.5851503279365551e-71,4.3545768531860867e-52,1.2014851616170913e-56,8.7829020129008535e-78,1.9904340451693517e-59,7.4125910351566165e-44,8.132807483784209e-79,1.5312108169571642e-22,4.292758382377104e-42,5.3416640173523532e-40,4.292758382377104e-42,5.0387896031609304e-71,2.0677726896064038e-63
3.0643845449026444e-21,0.2630572736199475,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,1.0225692567408974e-16,8.8412173718792095e-16,8.841213084538359e-16,7.5634201009754918e-27,7.5633014014994346e-27,1.8276155675323343e-16,3.05071214425727e-25,4.9457150661586013e-27,4.3607728321718551e-39,8.5657020829620585e-44,5.1990679984019001e-31,3.8454119149906474e-25,1.4251521662604031e-29,5.7026336901056339e-39,5.3316793078147681e-44,7.4640947347835219e-47,1.9774016670918817e-59,2.760352320930285e-41,3.2262593178189973e-30,2.8249964743413966e-41,2.8249964743569706e-41,1.3803536012886989e-52,1.7703788431551531e-53,8.9844945807212748e-48,1.7750514015498964e-30,1.8095308463497075e-41,1.1604110439627213e-42,6.275495938199094e-95,6.140157642448389e-53,5.5969081930103244e-46,5.9506733225079249e-95,4.029795231182027e-27,2.2459672701562206e-64,2.2459654517160458e-64,1.4841762227098227e-38,4.5165419456164392e-39,9.7578150192057554e-30,1.4841476434531898e-38,9.3626594948271167e-50,5.9506733225079103e-95,1.291025458193549e-56,6.1397816319156609e-57,1.7533951597674626e-67,1.402950125794703e-79,1.2741866259840666e-46,2.2753629542481029e-91,1.4422227716589727e-35,5.3546902624082688e-70,1.0390254203767151e-92,1.5812282273920188e-46,5.596191217706833e-105,1.3896777186913682e-97,2.3694366399234123e-108,4.57261488532349e-65,7.1380308667593434e-48,4.6836599630981306e-67,9.4908932691826125e-47,3.5460012135826839e-58,5.9248827476010234e-39,4.6374531423946721e-58,2.9738933897169557e-59,4.6184278977810922e-50,5.8648358165937974e-51,6.5409995494622952e-70,5.1697534341029867e-51,1.4502227266793793e-55,6.6115493890440518e-76,4.4525213297271889e-58,8.800227672285455e-43,6.1221744566044596e-77,4.2873903023763151e-22,5.0963627175641991e-41,3.2263650762282417e-39,5.0963627175641981e-41,2.0792706322137984e-69,4.6254389727516991e-62
7.004307531206044e-21,0.2630572736199475,76.950000000000003,0.0,0.0,0.0,0.99999999999999523,9.5,2.3373011582648965e-16,2.020849684969321e-15,2.0208487050181958e-15,3.6414612008118024e-26,3.6413428276989263e-26,4.1774069935965422e-16,1.4687865700253979e-24,2.3811489053325683e-26,4.2812900658608462e-38,8.4098578025752931e-43,2.503127440266851e-30,1.8514002992992972e-24,6.8614942043538223e-29,5.5983166206148343e-38,5.2346722627444763e-43,7.3282924719668834e-46,3.9070127801521557e-58,2.7101302680664863e-40,1.5533049827905618e-29,2.773598290448653e-40,2.7735982904794243e-40,2.7273460747642925e-51,3.4979702515964501e-52,8.8210299880276305e-47,8.5461083727064344e-30,1.7766080878368192e-40,1.1392984374916747e-41,1.4281560468998373e-92,1.2131916728060741e-51,5.4950776220774703e-45,1.3542340194876987e-92,1.9401729286896093e-26,8.8848202793028957e-63,8.8848059014639801e-63,1.4571730065242306e-37,4.4343676344856051e-38,4.6979678589442836e-29,1.4571449472416244e-37,1.8499037295952674e-48,1.3542340194876926e-92,2.5508487305082874e-55,6.0477299319466737e-56,6.9362574426457934e-66,1.109270569698563e-77,1.2510039803940799e-45,3.5945161011986184e-89,6.9436818209761308e-35,1.0613398906927888e-68,1.6414056474584285e-90,1.5524592497269093e-45,1.7665513313030283e-102,2.1953503881024722e-95,7.479608875078546e-106,1.8088809638342068e-63,7.0081608805426283e-47,1.852809289070037e-65,9.3182152915907926e-46,7.0063008002109045e-57,2.8525759982883441e-38,9.1628258759768491e-57,5.8759121929431088e-58,4.5343998967812299e-49,5.7581308572287392e-50,2.5874077797754297e-68,5.075694141475194e-50,1.4742916851232719e-54,5.227553254007893e-74,8.7974317818305076e-57,8.6401148561559839e-42,4.840619214816052e-75,9.7997493327996347e-22,5.003639065117664e-40,1.5533559108559499e-38,5.0036390651176624e-40,8.2253877915357749e-68,9.1387168656703247e-61
1.4884153503812844e-20,0.2630572736199475,76.950000000000003,0.0,0.0,0.0,0.9999999999999899,9.5,4.9667649613128566e-16,4.2943055804247363e-15,4.2943034980819444e-15,1.5903217760387655e-25,1.5902162890314843e-25,8.8769897849532907e-16,6.4145767887360192e-24,1.0399102818237979e-25,3.7864990021737125e-37,7.4384242687443919e-42,1.093181516189571e-29,8.085551453768291e-24,2.9965947865524049e-28,4.950646501307453e-37,4.6300046032936731e-42,6.481791700966397e-45,6.9523206456853068e-57,2.3970795143318669e-39,6.7836909493645463e-29,2.453216277793179e-39,2.4532162778479358e-39,4.8531665044326788e-50,6.2244511378250791e-51,7.8021010073003049e-46,3.732310025683674e-29,1.5713896853590453e-39,1.0076965540503306e-40,2.4135205825194383e-90,2.1588097367364089e-50,4.8603338717483139e-44,2.2885956241807496e-90,8.4732448461121723e-26,3.1709271796876164e-61,3.1709169030392878e-61,1.2888530045627581e-36,3.9221479009205009e-37,2.0517259604349929e-28,1.2888281864468848e-36,3.291804802948567e-47,2.2885956241807287e-90,4.5390989585259871e-54,5.3841148228925529e-55,2.4755010710328331e-64,7.9286023966568339e-76,1.1064988449135862e-44,5.1418382165457092e-87,3.0324882779073062e-34,1.9005504813816309e-67,2.3479773214091012e-88,1.3731326244842293e-44,5.0556434675568207e-100,3.140377243765147e-93,2.1405683592746351e-103,6.455767589237972e-62,6.1986386628589275e-46,6.6125446386188309e-64,8.241855899408119e-45,1.2467337766028496e-55,1.2457948822809458e-37,1.6304758879244672e-55,1.0455871794123721e-56,4.0106253579659044e-48,5.0930020227643219e-49,9.2332248614913575e-67,4.4893932115040838e-49,1.3937483535432752e-53,3.7364364189651904e-72,1.5654559625975006e-55,7.6420822193181676e-41,3.4598721537921007e-73,2.0824467631986336e-21,4.4256619605952136e-39,6.7839134529538278e-38,4.425661960595211e-39,2.935582438888373e-66,1.6260531840450524e-59
3.0643845449026444e-20,0.2630572736199475,76.950000000000003,0.0,0.0,0.0,0.99999999999997935,9.5,1.0225692567408623e-15,8.8412173709060574e-15,8.8412130839495546e-15,6.6392803586024756e-25,6.6383904704133749e-25,1.8276155124580144e-15,2.6779594985332267e-23,4.3414206904694977e-25,3.1823540618742609e-36,6.2524439105252961e-41,4.5638176367082508e-29,3.3755585176749574e-23,1.2510193352317586e-27,4.1596334617295737e-36,3.8917915689910352e-41,5.4483364815458343e-44,1.1726104749969866e-55,2.0148897388733862e-38,2.8320574339385502e-28,2.0620760986738705e-38,2.062076098766225e-38,8.1855742784993433e-49,1.0498446530784665e-49,6.5581358030414946e-45,1.5581659424501345e-28,1.3208476316356178e-38,8.4702965215659173e-40,3.533925775886719e-88,3.6411480767925139e-49,4.085403383418979e-43,3.3510081187849186e-88,3.5374128748274743e-25,1.0713832292932954e-59,1.071376279231282e-59,1.0833585796960559e-35,3.2968015467403289e-36,8.565551749095582e-28,1.0833377185773397e-35,5.5521097923619403e-46,3.3510081187848578e-88,7.6558536191712127e-53,4.5844956427427267e-54,8.3641585007500057e-63,5.3621175616493661e-74,9.3007893628008028e-44,6.9576541726615557e-85,1.2660041612357117e-33,3.2458942569508197e-66,3.1771544572191842e-86,1.1542007068835187e-43,1.3684788730452096e-97,4.2493867129538885e-91,5.7941639198701456e-101,2.1812579034977729e-60,5.2103288360924975e-45,2.2342293095116748e-62,6.9277764915595646e-44,2.1027986857623665e-54,5.2009483978696179e-37,2.7500358331426551e-54,1.7635356028173942e-55,3.3711722711849768e-47,4.2809758979849022e-48,3.1189887062247422e-65,3.7736041946823278e-48,1.3225203850932042e-52,2.5269536740712712e-70,2.6403702304034259e-54,6.4236280102628567e-40,2.339913136889672e-71,4.2873905183720007e-21,3.7200353285319502e-38,2.8321503978024321e-37,3.720035328531946e-38,9.918669326260812e-65,2.7421287947110355e-58
6.216322933945364e-20,0.26305727361994746,76.950000000000003,0.0,0.0,0.0,0.99999999999995826,9.5,2.0743547779599534e-15,1.7935040950150917e-14,1.7935032254645239e-14,2.712362660144088e-24,2.7116318442846277e-24,3.7074484831487306e-15,1.0940338024826397e-22,1.7736119851026287e-24,2.608386973847082e-35,5.1261313241060313e-40,1.8644684181578886e-28,1.3790257554743892e-22,5.1108221814275256e-27,3.4075617296053177e-35,3.1907155637950127e-40,4.4668754215988799e-43,1.9260161083767551e-54,1.6519282968522787e-37,1.156987869360901e-27,1.690614570786798e-37,1.6906145709384904e-37,1.3444829067511008e-47,1.7243729629519889e-48,5.3767556202959585e-44,6.3656161072220891e-28,1.0829105558011396e-37,6.944460517520682e-39,4.8323445760177669e-86,5.980596378855848e-48,3.3494603711036995e-42,4.5822201523040277e-86,1.4451485395945725e-24,3.5224644589620039e-58,3.5224187396619473e-58,8.8820276843851552e-35,2.7029169429441929e-35,3.4993071701024007e-27,8.8818566523806617e-35,9.1193565193028359e-45,4.5822201523038619e-86,1.2574761825860236e-51,3.8551106273662229e-53,2.7499521535676951e-61,3.5273798238976363e-72,7.6253488130645925e-43,9.1558811611265236e-83,5.1720400844942002e-33,5.4639107938226433e-65,4.1809563856308744e-84,9.4628347100665342e-43,3.602061202118903e-95,5.59195374893098e-89,1.5251191610103797e-98,7.1714983791188475e-59,4.2717416267753136e-44,7.3456566698315197e-61,5.6798097248246179e-43,3.4538529752557285e-53,2.1247571229373757e-36,4.5169418929847161e-53,2.896612518277364e-54,2.7638907047612346e-46,3.5098040339583615e-47,1.0249891456800461e-63,3.0938265689341739e-47,1.3318939421790836e-51,1.6623144174465276e-68,4.3368158270701978e-53,5.2664741355843716e-39,1.5392729169378941e-69,8.6972784100628276e-21,3.0499093640206218e-37,1.1570259077845005e-36,3.0499093640206143e-37,3.2610412958811722e-63,4.5024851217347152e-57
1.2520199712030805e-19,0.2630572736199476,76.950000000000003,0.0,0.0,0.0,0.99999999999991607,9.5,4.17792582039789e-15,3.6122688101771448e-14,3.6122670591878425e-14,1.0963803535889693e-23,1.0957881363059247e-23,7.4671140355915889e-15,4.4222592891739942e-22,7.1692230257262501e-24,2.1112078627483395e-34,4.1512740766419386e-39,7.5364794479147938e-28,5.5742422613615601e-22,2.0658760403033014e-26,2.7550766570400446e-34,2.5839075112853798e-39,3.6173915270087927e-42,3.1221546837931349e-53,1.3377742900880221e-36,4.6767299530951627e-27,1.3691035110858609e-36,1.3691035113317607e-36,2.1794643195245075e-46,2.795282776773692e-47,4.3542355574231761e-43,2.5730836586494029e-27,8.7696882599818166e-37,5.6238036486022143e-38,6.3912382979200295e-84,9.6948035730347105e-47,2.7124796024668235e-41,6.0604248033751338e-84,5.8415211110995531e-24,1.1424969396225311e-56,1.1424672760675271e-56,7.1928955078559518e-34,2.188891976214594e-34,1.414475740336271e-26,7.1927570017861983e-34,1.4782868319940675e-43,6.0604248033746931e-84,2.0384228427427396e-50,3.2782105785227276e-52,8.9194026985124712e-60,2.2886840781534228e-70,6.175204786145151e-42,1.1882566158434579e-80,2.0906212950376973e-32,9.286880940208167e-64,5.4260742344885867e-82,7.6632488504486399e-42,9.3500602738725853e-93,7.2572766289703461e-87,3.9588323085252132e-96,2.3260580647241681e-57,3.4593659104383736e-43,2.3825458221669708e-59,4.5996571716127142e-42,5.5988439245795631e-52,8.5886080074404662e-36,7.3221567409300199e-52,4.6955336996985422e-53,2.2382703501161074e-45,2.8423324864329623e-46,3.3215082125526037e-62,2.5054574999480345e-46,1.4796565901198603e-50,1.0785661655716917e-66,7.0301646774401098e-52,4.2649204843663642e-38,9.9873265776760984e-68,1.7517055718820747e-20,2.4698951048615699e-36,4.6768841927472467e-36,2.4698951048615579e-36,1.0577108166324728e-61,7.2939621749685779e-56
2.512795326820168e-19,0.2630572736199475,76.950000000000003,0.0,0.0,0.0,0.99999999999983158,9.5,8.3850679052727707e-15,7.2497982377551547e-14,7.2497947249712156e-14,4.4084971764842043e-23,4.4037307655508712e-23,1.4986443584723324e-14,1.7781708001433091e-21,2.8827128910680644e-23,1.6974650622613219e-33,3.341306550892243e-38,3.0303852384558027e-27,2.2413780318904281e-21,8.3067966939457766e-26,2.2103870247645686e-33,2.0797267138472749e-38,2.9115914053289886e-41,5.0281324626704761e-52,1.076757013535376e-35,1.8804925440833658e-26,1.1019736142627223e-35,1.1019736146587365e-35,3.5099587767985788e-45,4.50171640180939e-46,3.5046667080950442e-42,1.0346255022150695e-26,7.0586045408338457e-36,4.5265255898579396e-37,8.3151762384001527e-82,1.561317945067991e-45,2.1832391673604989e-40,7.8847788129254049e-82,2.3488496691291461e-23,3.6806676494576982e-55,3.6804765075135229e-55,5.7894667958063632e-33,1.761810302130826e-33,5.6875433985638221e-26,5.7893553142033322e-33,2.3807348617462425e-42,7.884778812924259e-82,3.2828163820053813e-49,2.8901048204771051e-51,2.8735036008227375e-58,1.4748187182805662e-68,4.9703414257066283e-41,1.5314980084568381e-78,8.4062962710752987e-32,1.6340103117580184e-62,6.993457284066275e-80,6.1680493007363745e-41,2.4102511796060923e-90,9.3536238066704263e-85,1.0205046879713504e-93,7.4937043253219605e-56,2.7843966928177122e-42,7.6756867307159109e-58,3.7022042487208062e-41,9.0167636537397886e-51,3.4534415033833725e-35,1.1792105396077783e-50,7.5620122168121476e-52,1.8015547007924276e-44,2.2877599748332873e-45,1.0681278098854691e-60,2.0166045824136276e-45,1.8365659016215331e-49,6.9502365528473371e-65,1.1321861345371399e-50,3.4327680778037468e-37,6.4357927369548288e-66,3.5156616437840858e-20,1.9879855350316141e-35,1.8805549510032127e-35,1.9879855350315943e-35,3.4075555742193042e-60,1.1731398247577634e-54
5.034346038054345e-19,0.2630572736199475,76.950000000000003,0.0,0.0,0.0,0.9999999999996626,9.5,1.6799352075018585e-14,1.4524857081939339e-13,1.4524850049884896e-13,1.7680045388260449e-22,1.7641827990044939e-22,3.0025096459973446e-14,7.1312585286625475e-21,1.1560966765282892e-22,1.3591990784172891e-32,2.6811881047313798e-37,1.2153200171838914e-26,8.988926263206788e-21,3.3313970019624179e-25,1.7623466330860092e-32,1.668806628181382e-37,2.3363687346551017e-40,8.0712616283146383e-51,8.640295008179509e-35,7.5416161641944906e-26,8.8426442433160621e-35,8.8426442496729625e-35,5.6342569354901311e-44,7.2262507246468697e-45,2.8122729072417173e-41,4.1493100481789606e-26,5.6640799651965824e-35,3.6322503568749608e-36,1.0730294422040217e-79,2.506260173188713e-44,1.7519112989155933e-39,1.0174889345721761e-79,9.4199354944862346e-23,1.1817605152345218e-53,1.1816377766231939e-53,4.6456804468349122e-32,1.4137411872235067e-32,2.2809582076730438e-25,4.6455909900806481e-32,3.8216050749981449e-41,1.0174889345718802e-79,5.2696448707854908e-48,2.72277873225808e-50,9.2262123293305135e-57,9.471174234160276e-67,3.9883849829804517e-40,1.9670860605545923e-76,3.3713007795534383e-31,3.0672315609812515e-61,8.9825336159406482e-78,4.9494710146675701e-40,6.1916314280399634e-88,1.2013979195666833e-82,2.6215479271928828e-91,2.4060702908540939e-54,2.2342998614105949e-41,2.4645007487796597e-56,2.9707857463038206e-40,1.4473896527538829e-49,1.3849844999288249e-34,1.8928933315885866e-49,1.2138704176426302e-50,1.4456341860640854e-43,1.8357889386995949e-44,3.4171415665285086e-59,1.6181892154410259e-44,2.5098491870320963e-48,4.4633893712355225e-63,1.8174088003851342e-49,2.7545625925959752e-36,4.1330175253699836e-64,7.0435762281891883e-20,1.5952317142095733e-34,7.5418695546374636e-35,1.5952317142095419e-34,1.0940941731309428e-58,1.8782551425796756e-53
