Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895)
2.000307836233591e-24,0.38020946125730415,76.950000000000003,0.0,0.0,0.0,0.9999999999997069,9.5,8.5753761668252858e-17,9.2550036847858716e-16,9.2550036847858026e-16,4.5913292508026839e-30,4.5913288691156188e-30,2.9117957267488101e-13,4.2584537285769944e-25,1.9138524250481377e-30,3.0802401209488794e-44,1.4312908157968232e-48,2.9921890611406927e-45,1.7104181241433318e-24,3.0937416422447909e-31,2.5679317304593607e-44,4.3919313120212053e-48,2.7389573480482034e-61,0.0,8.3868786017277302e-41,9.0029753837839638e-30,1.669232014475687e-42,1.6692320144756899e-42,2.762357762152195e-57,5.1010580353053516e-58,1.9293261156335267e-41,3.36570041365565e-31,1.1933965522198934e-45,1.1018820869953163e-46,1.0513015487442688e-100,6.2698888833021879e-58,5.9462294370038264e-47,9.3570016281944982e-101,2.1119416645449716e-26,1.2044982489936718e-72,1.2044982482935335e-72
4.002353559379635e-24,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999999941358,9.5,1.7158202703905097e-16,1.851804820682308e-15,1.8518048206822808e-15,1.8377282352533026e-29,1.8377279296715919e-29,5.8261212499139861e-13,1.7044912764897878e-24,7.6603973435023406e-30,2.4660606564609677e-43,1.1459029391144359e-47,2.3961780210074865e-44,6.8461299748031979e-24,1.2383029092377277e-30,2.0558979348325077e-43,3.516215529027545e-47,4.3870917960609054e-60,0.0,6.7146024625793523e-40,3.6035363966103296e-29,1.3364005761060979e-41,1.3364005761061035e-41,4.423371507577167e-56,8.1683390476685292e-57,1.5446340053598546e-40,1.3471572923112425e-30,9.5544287794955758e-45,8.8217566106800884e-46,1.3483986877742613e-98,1.0039991279291399e-56,4.7605991116777601e-46,1.2001284248112587e-98,8.4532705369447278e-26,3.8576376550057525e-71,3.8576376505210378e-71
8.006445005671723e-24,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999999882683,9.5,3.4323855778054649e-16,3.7044137250875351e-15,3.7044137250874278e-15,7.3533066928698611e-29,7.3533042472878283e-29,1.165477229611003e-12,6.8201853085718642e-24,3.0651567503192683e-29,1.9735910356779684e-42,9.1707061520625675e-47,1.9179136000277801e-43,2.7393437396102829e-23,4.9548246011789428e-30,1.6453289928697832e-42,2.8140410683432575e-46,7.0231570764665056e-59,0.0,5.373722674761671e-39,1.44188394099539e-28,1.0695266203014982e-40,1.0695266203015066e-40,7.0802751190078032e-55,1.307466208197901e-55,1.236176650061292e-39,5.3903839229362223e-30,7.6464468092271992e-44,7.0600864003179343e-45,1.7277014155044839e-96,1.6070524560093292e-55,3.8099261326210472e-45,1.537722928043458e-96,3.3824093042109203e-25,1.2349632474887259e-69,1.2349632446172816e-69
1.60146278982559e-23,0.3802094612573043,76.950000000000003,0.0,0.0,0.0,0.99999999999765332,9.5,6.8655161926313438e-16,7.4096315338891286e-15,7.4096315338886963e-15,2.9418014957071818e-28,2.9417995388705949e-28,2.3312074387964859e-12,2.7285182271535858e-23,1.2262622911143365e-28,1.5791615229501093e-41,7.337958282448701e-46,1.5347194481662645e-42,1.0959158711672728e-22,1.9822524792690392e-29,1.3164904785955216e-41,2.251660398603474e-45,1.1240100353003689e-57,0.0,4.2997945960611126e-38,5.7684746624110858e-28,8.5578379472817444e-40,8.5578379472818782e-40,1.1330745329701868e-53,2.0923716076273932e-54,9.891291384487795e-39,2.1565045699422577e-29,6.1183192094769743e-43,5.6491417939782828e-44,2.2125792055680644e-94,2.5718071409682503e-54,3.0485197671210402e-44,1.9692834328799461e-94,1.3531839709155894e-24,3.9527133249788657e-68,3.9527133065976961e-68
3.2030993683424253e-23,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999999530631,9.5,1.3731777422266985e-15,1.4820067151456874e-14,1.4820067151455145e-14,1.1768163688044629e-27,1.1768148031875213e-27,4.6626678569525511e-12,1.091496117888891e-22,4.9054483746521669e-28,1.2634313110708663e-40,5.87092404169702e-45,1.2279310047213558e-41,4.3840202605492205e-22,7.9296552405990654e-29,1.05325606548345e-40,1.8014993459658379e-44,1.7986600136137465e-56,0.0,3.4401622941119482e-37,2.3075776580191208e-27,6.8469204212027605e-39,6.8469204212029758e-39,1.8131036866027015e-52,3.3481351540566922e-53,7.9137844607977494e-38,8.6267203315756172e-29,4.8951201214402416e-42,4.5197425502169852e-43,2.8328192968741398e-92,4.1153100463652883e-53,2.4390473828870877e-43,2.5213217658579643e-92,5.4131764132822978e-24,1.2650012274783841e-66,1.2650012157131789e-66
6.406372525376096e-23,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.9999999999906124,9.5,2.7464299881473786e-15,2.9640938386450609e-14,2.964093838644368e-14,4.7074570229983857e-27,4.7074444974838004e-27,9.3255886924050794e-12,4.3661621315910406e-22,1.9622591945768676e-27,1.0107644529439337e-39,4.6969622305619173e-44,9.8240698597342699e-41,1.7536794617978552e-21,3.1719911655179043e-28,8.4258674578324517e-40,1.4412678772449975e-43,2.8780512011746935e-55,0.0,2.7522604889680096e-36,9.2306862315232865e-27,5.4777963761815427e-38,5.4777963761818861e-38,2.9011134539470748e-51,5.3572887283039735e-52,6.3313281249278028e-37,3.450828548211887e-28,3.9162820076232402e-41,3.6159656948836002e-42,3.6264682357485244e-90,6.5848309903007822e-52,1.9513305390028932e-42,3.2277008653874732e-90,2.1653586742029624e-23,4.0482166609729187e-65,4.0482165856715877e-65
1.2812918839443437e-22,0.38020946125730415,76.950000000000003,0.0,0.0,0.0,0.99999999998122457,9.5,5.4929344799629479e-15,5.9282680855871027e-14,5.9282680855843335e-14,1.8830211193712865e-26,1.8830110987466548e-26,1.865143035987172e-11,1.746500385000026e-21,7.8491964692555506e-27,8.0858503089116855e-39,3.7576590161136819e-43,7.8595046229719223e-40,7.0148605637799771e-21,1.2688222805049056e-27,6.7399243984491326e-39,1.1530416402916447e-42,4.6050380702720997e-54,0.0,2.2018606537136669e-35,3.6923496138073369e-26,4.382341119378679e-37,4.3823411193792286e-37,4.6418995714450679e-50,8.5718799554559738e-51,5.0651827239952747e-36,1.3803595030776905e-27,3.1330999706701067e-40,2.8928412188698645e-41,4.6421734672815294e-88,1.0535997521224122e-50,1.5611014853806526e-41,4.1317188911215727e-88,8.6616109163604257e-23,1.2954633553817046e-63,1.2954633071875684e-63
2.562601146757812e-22,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999996244882,9.5,1.098594346349092e-14,1.1856616579244364e-13,1.1856616579233287e-13,7.5321610979815455e-26,7.5320809324312709e-26,3.7303113681051354e-11,6.9860726031515028e-21,3.1397105251146775e-26,6.4680255295950786e-38,3.0061629546740667e-42,6.2877031920625178e-39,2.8059727681969902e-20,5.0753407509349514e-27,5.3905167802711796e-38,9.2244421189915281e-42,7.368185831193338e-53,0.0,1.7615094277413877e-34,1.4769548698733395e-25,3.5059145033807176e-36,3.5059145033815969e-36,7.4271337427535728e-49,1.3715182316950027e-49,4.0521942667822694e-35,5.5214941818098443e-27,2.5065097201974387e-39,2.3143004394404456e-40,5.9421702855412331e-86,1.6857810372299067e-49,1.248896010352269e-40,5.2887677283723945e-86,3.4646796096726863e-22,4.1455370831857236e-62,4.145536774739161e-62
5.125219672384749e-22,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.9999999999248973,9.5,2.1971961430134197e-14,2.3713313565651614e-13,2.3713313565607301e-13,3.0128797629365246e-25,3.0128156307528244e-25,7.460648026839599e-11,2.7944432521874313e-20,1.2558905967076358e-25,5.1732811246606466e-37,2.4049447383735621e-41,5.0302023483763957e-38,1.1223948151317762e-19,2.0301466260912313e-26,4.3100621345759576e-37,7.3795967200915957e-41,1.1789197258829386e-51,0.0,1.4092159033181217e-33,5.9078495281444396e-25,2.8047482458849717e-35,2.8047482458863797e-35,1.188348950252035e-47,2.1944431197561312e-48,3.2417746443050395e-34,2.2086089078043581e-26,2.0052196695988481e-38,1.851451335431754e-39,7.6060984456991206e-84,2.6972668021629314e-48,9.9912273742611855e-40,6.7697299246174252e-84,1.3858788916502177e-21,1.3265805024385056e-60,1.3265803050314258e-60
1.0250456723638621e-21,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999984979437,9.5,4.394399736177009e-14,4.7426707534836985e-13,4.7426707534659735e-13,1.2051549695913527e-24,1.2051036647114721e-24,1.4921321322302674e-10,1.1177801416532997e-19,5.0235751533892798e-25,4.1367663953446359e-36,1.9239616650928935e-40,4.0241777917703908e-37,4.4895906705830624e-19,8.120607154951225e-26,3.4442629987065612e-36,5.9036936675997487e-40,1.8862795535296011e-50,0.0,1.1273760657732764e-32,2.3631458208546006e-24,2.2438052538714499e-34,2.2438052538737022e-34,1.9013643522033336e-46,3.5111201440976248e-47,2.593427400967624e-33,8.8344581104731363e-26,1.6041804865063992e-37,1.4811654588210026e-38,9.735883117370175e-82,4.3156405828518868e-47,7.9930056206353315e-39,8.6653229320231311e-82,5.5435296551870777e-21,4.2450710436812105e-59,4.245069780272163e-59
