Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596)
0.0,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0234819442559649e-20,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.2270689937108574e-17,2.6879310425186301e-16,2.6879310426445032e-16,1.6319015528140814e-26,1.6318559095704766e-26,2.1332022488306397e-18,1.3056900502970806e-26,1.2587977024222629e-26,1.4089132147829414e-38,4.1418710328458828e-43,4.7206758090356417e-44,1.0884824960411375e-26,9.4705879202149453e-30,2.1734678027253101e-38,1.0963254404284372e-43,2.1026541446994681e-60,7.9405420492357056e-60,2.4241256171275114e-43,1.763863966598714e-31,1.923064732267799e-42,1.9230647323682378e-42,9.0059951667630162e-53,1.0378538524152814e-53,4.9626670134622097e-52,1.3565269606735194e-33,1.2705630804319498e-43,7.3210054157234707e-45,6.8009227367121555e-96,2.4319143896493004e-55,3.992954713264621e-50,6.6067903850184342e-96,1.0589472394024442e-28,7.3823335502811237e-66,7.3823087055285676e-66,2.9616990720231339e-40,9.1433041218584675e-41,4.8387079392017528e-32,2.9616756029725019e-40,2.8788229569874301e-51,6.6067903850184317e-96,6.3749820152630017e-60,7.9405421460402384e-60,9.6809549575776271e-68,2.1610947182195223e-79,3.0210797558783829e-50,3.1949814670816698e-90,9.7789631523685906e-38,5.0188932970838016e-72,8.8077593448584204e-93,2.2211805220963441e-48,4.6408808319510224e-104,3.9239705900219451e-97
2.8657494439167016e-20,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,6.2357931823903723e-17,7.5262069181156076e-16,7.5262069188758575e-16,9.8566853782347312e-26,9.8561435150477753e-26,5.9729662168516076e-18,7.8863678157934886e-26,7.6031380984377022e-26,1.6726271230235961e-37,4.917229291069203e-42,7.133894805878989e-43,6.5744342027269456e-26,5.7202351032158504e-29,2.5801666354144853e-37,1.3015561820551072e-42,5.9298287478650153e-59,1.7762674762548103e-58,2.877921903242319e-42,1.0653738357517991e-30,2.2830624498980183e-41,2.2830624501226947e-41,2.0146050407974131e-51,2.3216375436701115e-52,5.8916781468669738e-51,8.1934228408413384e-33,1.5084124465358476e-42,8.6914975892453329e-44,7.2469109266788364e-94,5.440095188680394e-54,4.7404358341327604e-49,7.0400478413042894e-94,6.3960412546198732e-28,3.0463379613122366e-64,3.0463192588858368e-64,3.5161290583943768e-39,1.0854930406490889e-39,2.9225795227705988e-31,3.5161011959343171e-39,6.4398116620287781e-50,7.0400478413042841e-94,1.4260579764292369e-58,1.7762675162014701e-58,3.9948731304291008e-66,1.6268181470644551e-77,3.5866258811208273e-49,4.3611339154006571e-88,5.906493743288226e-37,2.071060372285165e-70,1.2022547984486066e-90,2.6369855146556823e-47,1.1449011735356594e-101,5.3562004863144194e-95
6.550284443238176e-20,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,1.4253241559749289e-16,1.7202758665563561e-15,1.720275866922356e-15,4.7455697144398698e-25,4.7450377383337258e-25,1.3652493833396806e-17,3.7969465342625941e-25,3.6605836823548307e-25,1.6421218465685672e-36,4.8277648784602794e-41,7.6743449120376977e-42,3.1653069884453393e-25,2.7540469663075713e-28,2.532853693633096e-36,1.2778726528261534e-41,1.2898715706511507e-57,3.509605128519345e-57,2.8255607281482929e-41,5.1293164137616993e-30,2.241524251155376e-40,2.2415242515992994e-40,3.9805198370099892e-50,4.5871645135395041e-51,5.7844842631939379e-50,3.9447803991983425e-32,1.4809681946372452e-41,8.5333637876320739e-43,1.6492273693854681e-91,1.0748711252923528e-52,4.6541880092562859e-48,1.602150171174189e-91,3.0794184651259698e-27,1.2050986867041283e-62,1.2050838994043144e-62,3.4521561906245624e-38,1.0657434518801851e-38,1.4070961599589832e-30,3.4521288350893801e-38,1.2723982038425561e-48,1.6021501711741871e-91,2.8176502481175967e-57,3.5096052865443572e-57,1.5803320482859518e-64,1.2862761638128982e-75,3.5213705477719394e-48,6.8895225770126776e-86,2.8437224835952113e-36,8.1929088762190764e-69,1.8992678825971803e-88,2.5890080129065205e-46,3.6141125311931644e-99,8.4614839106321397e-93
1.3919354441881122e-19,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999999999245,9.5,3.028813831446668e-16,3.6555862145477127e-15,3.6555862161458936e-15,2.0725149708922898e-24,2.0720444945357153e-24,2.9011547788500399e-17,1.6582262274759385e-24,1.5986730445776075e-24,1.452307654719382e-35,4.2701033653204058e-40,7.0540950361841776e-41,1.3823726562618844e-24,1.2027646649467213e-27,2.2396238958071385e-35,1.1302586869759261e-40,2.3912208688554739e-56,6.2451545301970167e-56,2.4991763547651636e-40,2.240107236436092e-29,1.9826028147492699e-39,1.9826028155392079e-39,7.0831215363739136e-49,8.1626140055442279e-50,5.1163103280340689e-49,1.7227892375337543e-31,1.3098994363822428e-40,7.5476634810302433e-42,2.7871213423307152e-89,1.9126756996088321e-51,4.1165765816732689e-47,2.7075629586250761e-89,1.344862883416226e-26,4.300895026403202e-61,4.3007893350645424e-61,3.0533927550692408e-37,9.4263792096349232e-38,6.1451579589238124e-30,3.0533685593962936e-37,2.264164403586759e-47,2.7075629586250691e-89,5.0138580629503197e-56,6.2451550941770351e-56,5.6400925807024104e-63,9.1937637768763991e-74,3.114612352192536e-47,9.8552369971194011e-84,1.2419283192001755e-35,2.9239909851370415e-67,2.7168406656261203e-86,2.2899482633976896e-45,1.0343126089261822e-96,1.2103876519394936e-90
2.865749443916702e-19,0.13913620694699838,76.950000000000003,0.0,0.0,0.0,0.99999999999998435,9.5,6.235793182389967e-16,7.5262069045388582e-15,7.526206911208958e-15,8.6523420223859424e-24,8.6483882341550447e-24,5.9729650586761163e-17,6.9227674190630428e-24,6.6741450807562831e-24,1.2205325751646432e-34,3.589279176651925e-39,6.035012582943287e-40,5.7711331706169575e-24,5.0213057070137749e-27,1.8814353371857171e-34,9.5004177683918278e-40,4.109954233182859e-55,1.0533364986181693e-54,2.1007081264140822e-39,9.352006740607909e-29,1.6664971249911067e-38,1.6664971263234525e-38,1.1946716943210147e-47,1.3767441069872206e-48,4.3005662778665517e-48,7.1923059227974657e-31,1.1010491339000817e-39,6.3442656811767943e-41,4.0809595782085985e-87,3.2260070027024959e-50,3.460230649969819e-46,3.9644685797445872e-87,5.614537267687944e-26,1.4531640125190883e-59,1.4530925362526075e-59,2.5665600847957495e-36,7.9234381420626096e-37,2.5654819378887453e-29,2.5665397468547683e-36,3.8188434743326586e-46,3.9644685797445666e-87,8.456604440104737e-55,1.0533366891742543e-54,1.9056596431635842e-61,6.2177463516441178e-72,2.6180193194279187e-46,1.3335566571997061e-81,5.1848062530311427e-35,9.8795046970513325e-66,3.6762798877815038e-84,1.9248394876582533e-44,2.7997125584573686e-94,1.6378302829291247e-88
5.813377443373881e-19,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999999996814,9.5,1.2649751884275852e-15,1.5267448260565767e-14,1.5267448287799044e-14,3.5347640304537287e-23,3.5315238674506778e-23,1.211658357355039e-16,2.8281758371674478e-23,2.7266058896185533e-23,1.000306546226142e-33,2.9427079324466923e-38,4.9900070735659247e-39,2.3576957592522296e-23,2.0513672188579943e-26,1.5407078024385858e-33,7.7888729438299584e-39,6.812135278599262e-54,1.7301080531481533e-53,1.7222871357317057e-38,3.8205998974921031e-28,1.3662950259810147e-37,1.3662950281693964e-37,1.9622509192929647e-46,2.2613061579397121e-47,3.525862696721095e-47,2.9382916386856711e-30,9.0270616020707949e-39,5.2014118908713238e-40,5.5803670134185728e-85,5.2987257710052667e-49,2.8369061299703362e-45,5.4210754270347019e-85,2.2937212354739244e-25,4.7776116147001367e-58,4.7771414572682586e-58,2.1042201918390007e-35,6.4961107354010793e-36,1.0480826380800774e-28,2.1042035175334684e-35,6.2724594771479466e-45,5.4210754270346436e-85,1.388999810775156e-53,1.7301086796547585e-53,6.2653908722972216e-60,4.0902405156692729e-70,2.1464103595537337e-45,1.7548852770044885e-79,2.1181625258904363e-34,3.2481650023268006e-64,4.8377767936117085e-82,1.5780996936511619e-43,7.3693025324535749e-92,2.1552923217480264e-86
1.170863344228824e-18,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999999993572,9.5,2.5477669288044775e-15,3.0749930876885004e-14,3.0749930986835061e-14,1.4288081333570649e-22,1.4261864162892346e-22,2.4403812424192839e-16,1.143193457185552e-22,1.1021375757233906e-22,8.0949201842935173e-33,2.3830811920151554e-37,4.0580218081040503e-38,9.5301795970039289e-23,8.2919542547149195e-26,1.2447889850203698e-32,6.3073987821851541e-38,1.1092407233132059e-52,2.8045787083883006e-52,1.3947522806182194e-37,1.5443475610551814e-27,1.1064611314155423e-36,1.106461134963e-36,3.1808902970864957e-45,3.6656741710265875e-46,2.8553328116190775e-46,1.1877044515646232e-29,7.3103413630435153e-38,4.2122375263861978e-39,7.3805695376916446e-83,8.5894614571201039e-48,2.2974001111858178e-44,7.169891167035845e-83,9.2715844416088972e-25,1.5495590519907912e-56,1.5492540462306472e-56,1.7040507214589126e-34,5.2607147381316094e-35,4.2365140143174066e-28,1.7040372181209386e-34,1.0167919340640014e-43,7.1698911670356928e-83,2.2516285238165355e-52,2.8045807404467444e-52,2.0321637970751436e-58,2.6538866770762645e-68,1.7382186734567466e-44,2.2775018093408151e-77,8.5619515580579317e-34,1.0535345382267073e-62,6.2784989679096871e-80,1.2779860271029543e-42,1.9128883203026917e-89,2.7971530797749343e-84
2.3499145440116954e-18,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999999987099,9.5,5.1133504095571233e-15,6.1714895727278578e-14,6.1714896168330445e-14,5.7451746326725189e-22,5.724108917995587e-22,4.8978237409096926e-16,4.5967271149052704e-22,4.4316457569393783e-22,6.5061440633557473e-32,1.9181110883866615e-36,3.2733140847754785e-37,3.8320403854755891e-22,3.3341583129452011e-25,9.9725183311126758e-32,5.0763690883599853e-37,1.7905161777013237e-51,4.5166843247627755e-51,1.1226171789731414e-36,6.2097535907933905e-27,8.9057617172158857e-36,8.9057617743465014e-36,5.1227160921068864e-44,5.9034534509948978e-45,2.2982166905162395e-45,4.775707298045394e-29,5.8839871807945709e-37,3.3903741253297904e-38,9.602323196119334e-81,1.3833058513219076e-46,1.8491474391550614e-43,9.3282248633220172e-81,3.7280604899375132e-24,4.9918027860448606e-55,4.9898379646113598e-55,1.371566103757703e-33,4.2342741989124873e-34,1.7034807710151763e-27,1.3715552350111496e-33,1.6375095610456657e-42,9.3282248633216239e-81,3.6261782416154989e-51,4.5166908713051343e-51,6.5468817668714296e-57,1.710153061328688e-66,1.3990694729345189e-43,2.9353827788343034e-75,3.4427230352321651e-33,3.3941018879551153e-61,8.0921111329931172e-78,1.0286343049984575e-41,4.9310263722039816e-87,3.6051417988974889e-82
4.708016943577439e-18,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999999974154,9.5,1.0244517371057855e-14,1.236448239045981e-13,1.2364482566501456e-13,2.3040719626220168e-21,2.2872257741646332e-21,9.8126956513730375e-16,1.8434903618448592e-21,1.7772873877835615e-21,5.2058245342253524e-31,1.5391633847992391e-35,2.6299021636839631e-36,1.5368172484979221e-21,1.3371465885428137e-24,7.9284906660803335e-31,4.07286610604374e-36,2.8779450261035198e-50,7.2502682830671382e-50,9.0082830680191828e-36,2.4903889043954319e-26,7.1463128039001761e-35,7.1463128956071487e-35,8.2230627935857184e-43,9.4763444438092264e-44,1.8441684367611442e-44,1.9152721735437023e-28,4.7215106424458229e-36,2.7205599643869457e-37,1.2391289104841992e-78,2.2205108460914625e-45,1.483824301153711e-42,1.2037579735227399e-78,1.4951167232207105e-23,1.6025653679538319e-53,1.6013043743915634e-53,1.1005919440046003e-32,3.397727636069044e-33,6.8316966817856616e-27,1.1005832223829446e-32,2.6285574640167894e-41,1.2037579735226383e-78,5.8208188915960493e-50,7.2502893026121773e-50,2.1020634802809663e-55,1.0982464277248052e-64,1.1226649217726652e-42,3.7702599944503705e-73,1.3806858931284286e-32,1.089774958832721e-59,1.0393657376997277e-75,8.2541419749347775e-41,1.2667174435618215e-84,4.6305131257960319e-80
