Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596)
9.424221742708925e-18,0.1391362069469983,76.950000000000003,0.0,0.0,0.0,0.99999999999948253,9.5,2.0506851294041075e-14,2.4750467420890058e-13,2.4750468119315666e-13,9.2283056314315953e-21,9.0942469515453993e-21,1.964238712650857e-15,7.3835545738540699e-21,7.1184136585178693e-21,4.1472420549824266e-30,1.2332037619509765e-34,2.1091508861032775e-35,6.1552662596885313e-21,5.3555607238213892e-24,6.2372524340156803e-30,3.2622874576522153e-35,4.6167566062830515e-49,1.1619300787638925e-48,7.2175680772783587e-35,9.9745452286449894e-26,5.7257463723273913e-34,5.7257465192966553e-34,1.317824219735837e-41,1.5186841741014357e-42,1.4775697394721451e-43,7.6710782878686648e-28,3.782924431458037e-35,2.1797557954786925e-36,1.5925370189446987e-76,3.5586027355360668e-44,1.1888649958732843e-41,1.5470780469047925e-76,5.9882471580391858e-23,5.135576965925621e-52,5.1275030470080586e-52,8.8180728861246682e-32,2.7222995672342259e-32,2.7362235544902807e-26,8.8180030048226511e-32,4.2125200225220212e-40,1.547078046904531e-76,9.3284868819516515e-49,1.161936816325848e-48,6.7379112634270299e-54,7.0407840763986598e-63,8.994977490843222e-42,4.834242223580857e-71,5.5299450041307367e-32,3.4931523213459011e-58,1.3326788448873282e-73,6.6133571755185167e-40,3.2484022075533735e-82,5.9372679342119932e-78
1.8856631340971898e-17,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999999896461,9.5,4.1031519139934554e-14,4.9522435095568176e-13,4.9522437838853658e-13,3.6937270626745882e-20,3.5878365168470715e-20,3.9301560695845045e-15,2.9553280532804566e-20,2.8492156347354804e-20,3.2829046468685382e-29,9.8731293950761224e-34,1.6905656081782666e-34,2.4636956185146653e-20,2.1436198702673515e-23,4.8185456683168321e-29,2.6102750454207201e-34,7.4013350683039491e-48,1.8605913827981101e-47,5.7784102261380376e-34,3.9924173820762208e-25,4.5840783174060305e-33,4.5840785527450935e-33,2.1102038841526269e-40,2.431867463481641e-41,1.1829395389915085e-42,3.0704301272322711e-27,3.0285922367202769e-34,1.7451255251205919e-35,2.0425867513543181e-74,5.6983865169113996e-43,9.5181471532347811e-41,1.9842811089232678e-74,2.3968448582778732e-22,1.6439560236802883e-50,1.6387973851005853e-50,7.0597308866878453e-31,2.1794673634513204e-31,1.095187682960766e-25,7.0596749356393671e-31,6.745438067945409e-39,1.9842811089225963e-74,1.4937730445327246e-47,1.8606129610167845e-47,2.1579337379007379e-52,4.5099293806900663e-61,7.2014456869810399e-41,6.1931281971270835e-69,2.2134189979983797e-31,1.1187494131646168e-56,1.7072894878433126e-71,5.294705637031357e-39,8.3230581960175925e-80,7.6062247284592907e-76
3.7721450537497845e-17,0.13913620694699838,76.950000000000003,0.0,0.0,0.0,0.99999999999792877,9.5,8.2080854831429708e-14,9.9066361158497265e-13,9.9066371733568803e-13,1.4779718307001448e-19,1.3954414022686517e-19,7.8619070328619429e-15,1.1825017772839952e-19,1.1400534304282045e-19,2.5693601282569283e-28,7.9015055906327012e-33,1.3555896224739286e-33,9.8578715968487992e-20,8.5772707462642759e-23,3.6028844831818766e-28,2.0865549673856923e-33,1.1869343854252739e-46,2.9781238970364594e-46,4.6244318169501989e-33,1.5974868685265927e-24,3.6686554017475389e-32,3.6686557784329132e-32,3.3775984688111197e-39,3.8925527508152002e-40,9.4668765719221068e-42,1.2285717329253466e-26,2.4237182387227224e-33,1.3966236059704068e-34,2.6171631274013236e-72,9.1210834726896502e-42,7.617407902416637e-40,2.5424562013543676e-72,9.5903847346146285e-22,5.2576841789502175e-49,5.224821309780053e-49,5.6497875545565434e-30,1.7441921558210516e-30,4.3820586904470982e-25,5.6497427710855105e-30,1.0796829821006232e-37,2.5424562013526474e-72,2.3910088292818483e-46,2.9781929756016997e-46,6.9082146455836333e-51,2.8875561085985441e-59,5.7633362057646258e-40,7.9305305928884081e-67,8.8565579333743182e-31,3.581504460561147e-55,2.1862475758288631e-69,4.2373715949199502e-38,2.131600664541539e-77,9.7400909325662918e-74
7.545108893054974e-17,0.1391362069469983,76.950000000000003,0.0,0.0,0.0,0.99999999999585709,9.5,1.6417952621325272e-13,1.9815417801193403e-12,1.9815421734556232e-12,5.912848723935366e-19,5.285350451253985e-19,1.5725073971328626e-14,4.7306619465610254e-19,4.560924509726448e-19,1.9688293402258493e-27,6.3224072749072405e-32,1.0886570861238755e-32,3.9436945409425439e-19,3.4314661037745402e-22,2.54625139928061e-27,1.6656402211886188e-32,1.9062393342615999e-45,4.7658589477505281e-45,3.7001639879788074e-32,6.3909867289264881e-24,2.9354810028550523e-31,2.9354816056410368e-31,5.4049307337050737e-38,6.22929109811935e-39,7.5745636604359502e-41,4.9150848925550809e-26,1.9392212392874995e-32,1.1174995782170257e-33,3.3516661969311882e-70,1.4596555987260966e-40,6.095079593443963e-39,3.2559928796209873e-70,3.8366849833742052e-21,1.6795015647094459e-47,1.6586753461625377e-47,4.5204600113275087e-29,1.3955481276154624e-29,1.7530139371382392e-24,4.5204241687413519e-29,1.7277597826793981e-36,3.255992879616581e-70,3.8263898586048556e-45,4.7660800406673237e-45,2.2110437817556573e-49,1.8483894624990472e-57,4.6115302348248396e-39,1.0153039185760808e-64,3.5431989725512954e-30,1.1463228012210052e-53,2.7989372244254166e-67,3.3905377731419258e-37,5.4579562050323119e-75,1.2469820352923436e-71
1.5091036571665351e-16,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999999171363,9.5,3.2837686897222948e-13,3.9632968305359677e-12,3.9632981985985372e-12,2.3653311865032655e-18,1.9089260388408389e-18,3.1450068010069256e-14,1.8923266552152083e-18,1.8244930842878658e-18,1.4517935828255803e-26,5.05840973934735e-31,8.7725150932855925e-32,1.5775293995119211e-18,1.3726976235482953e-21,1.6485654226847631e-26,1.3264073777057956e-31,3.0714709093590745e-44,7.6258016400788029e-44,2.9602777297368601e-31,2.5566019775621226e-23,2.3486066399226533e-30,2.3486076043719441e-30,8.6477243326886785e-37,9.9676857530145295e-38,6.0596247944842247e-40,1.9661923969602633e-25,1.5513297970307059e-31,8.9406616818886758e-33,7.5123362387967685e-68,2.3356395311078408e-39,4.8765202693261123e-38,7.2978965886702129e-68,1.5347241768281998e-20,5.3538996780961905e-46,5.2232255384869176e-46,3.6163459020027033e-28,1.1164315500090106e-28,7.0118674156126756e-24,3.6163172108037413e-28,2.7644264763429604e-35,7.2978965886504965e-68,6.1228380803324102e-44,7.6265091799708003e-44,7.0757656637993251e-48,1.1830427676680831e-55,3.6895515719964335e-38,1.2996710769481929e-62,1.4173942561250783e-29,3.6686211046202831e-52,3.5828658623760636e-65,2.7126825484263656e-36,1.3973257253829765e-72,1.5962625483787456e-69
3.018289192888611e-16,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.9999999999834267,9.5,6.5677155447150607e-13,7.9268024885173513e-12,7.9268067005006902e-12,9.4617033866569999e-18,6.3757198521561159e-18,6.2894697647904491e-14,7.5688776580233401e-18,7.2980683613864497e-18,1.0032151666878712e-25,4.0469257685040466e-30,7.1165749772061331e-31,6.309759995154185e-18,5.4910101709802801e-21,9.5122567634194499e-26,1.0513395966650126e-30,4.9812367283802549e-43,1.2200788367979148e-42,2.3681193832779729e-30,1.0226817858742449e-22,1.8789726779595402e-29,1.8789742208165126e-29,1.3833720950584311e-35,1.5948487723489256e-36,4.8469677263665529e-39,7.8650777458317253e-25,1.2408117534325219e-30,7.1525753864825592e-32,9.6489026965773331e-66,3.7370632061928727e-38,3.9013915025069313e-37,9.3734747550674057e-66,6.1385488078830398e-20,1.7000077560523336e-44,1.619573644700981e-44,2.8926293897469042e-27,8.9300693701016914e-28,2.8042539884854558e-23,2.8926064126522545e-27,4.4224421757207616e-34,9.3734747550166682e-66,9.7970126926857469e-43,1.2203052411027814e-42,2.2641603751581213e-46,7.5712016376707001e-54,2.9517449586558164e-37,1.6635204183420564e-60,5.6698027728893507e-29,1.1740220713624118e-50,4.5859068506605736e-63,2.1702408866502362e-35,3.5770292968464653e-70,2.043207513183128e-67
6.036660264332762e-16,0.13913620694699838,76.950000000000003,0.0,0.0,0.0,0.99999999996685296,9.5,1.3135609253953524e-12,1.5853799118717451e-11,1.5853809510803464e-11,3.7847532794562593e-17,1.904875877261803e-17,1.2576253046750113e-13,3.0270232307574094e-17,2.9191266112027315e-17,6.2926773463265059e-25,3.2376268529671743e-29,5.8462850253571532e-30,2.5234639729695127e-17,2.1964462090257466e-20,4.8611807313851038e-25,8.2576800354099134e-30,8.1776755741416809e-42,1.9518191202177479e-41,1.8941961914847965e-29,4.0908054240427002e-22,1.5032108923695547e-28,1.5032133599149995e-28,2.212383011701071e-34,2.5516243307319178e-35,3.8761272545811336e-38,3.146086264341072e-24,9.9217590091023179e-30,5.7217276522597907e-31,1.2351460555388716e-63,5.9789742275707528e-37,3.1211720183512955e-36,1.1998888100010818e-63,2.454991437968048e-19,5.3567898313039278e-43,4.8792562992824841e-43,2.3132233475615858e-26,7.1413350146146801e-27,1.121238941832184e-22,2.3132049285981051e-26,7.0733200387204272e-33,1.1998888099880925e-63,1.5675536964917718e-41,1.9525435027570692e-41,7.2442006067010537e-45,4.8448328071124977e-52,2.3613941955127084e-36,2.1289843737428793e-58,2.2679637568566383e-28,3.756979699837271e-49,5.8690737077515394e-61,1.7362211703384633e-34,9.1558152994352048e-68,2.6150726304451838e-65
1.2073402407221065e-15,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999993370547,9.5,2.6271396669442147e-12,3.1707742957303252e-11,3.1707758357668203e-11,1.5139126593238231e-16,5.0039768741148426e-17,2.5141254866268765e-13,1.2103503179622689e-16,1.1675348715584933e-16,3.5011695736478445e-24,2.5901472603375287e-28,4.909151642120079e-29,1.0090029673428852e-16,8.7858570518002788e-20,2.2474208091274615e-24,6.3735533815752759e-29,1.3714869193783437e-40,3.1218096011581683e-40,1.5148243677269616e-28,1.6363348573821678e-21,1.2025783006032948e-27,1.2025822452478665e-27,3.536443025461105e-33,4.0820154626907692e-34,3.0984783624242071e-37,1.2584407000263349e-23,7.9295625463368413e-29,4.5766886389072335e-30,1.5810128250986609e-61,9.5649528029142652e-36,2.4969436867662887e-35,1.5358828132973293e-61,9.8162433562680156e-19,1.6631850073766496e-41,1.3974609234459737e-41,1.8491057947222251e-25,5.7085157520613844e-26,4.4811210905873013e-22,1.8490910004862202e-25,1.1308607880887995e-31,1.5358828132640752e-61,2.5080924174456893e-40,3.1241268224313529e-40,2.3173411888147705e-43,3.0996269837131741e-50,1.8890459231381624e-35,2.7241667695429169e-56,9.0719226740002497e-28,1.2022559261298248e-47,7.5098415538123132e-59,1.3889734986751302e-33,2.3430877377562047e-65,3.3465617896717792e-63
1.811014455010937e-15,0.13913620694699838,76.950000000000003,0.0,0.0,0.0,0.99999999990055799,9.5,3.9407184081942483e-12,4.7561640897052267e-11,4.7561650431057463e-11,3.2170680790822165e-16,8.3161085098746508e-17,3.76976977754389e-13,2.5713102215030251e-16,2.4808318183632723e-16,8.3485789957410708e-24,7.4062552799898678e-28,1.4887672035192248e-28,2.1435609219516712e-16,1.8669978814733117e-19,4.9959473728665135e-24,1.785726111225695e-28,5.282707874072705e-40,1.1488353244561464e-39,4.3305601411744324e-28,3.4772161623285656e-21,3.4386251165106485e-27,3.4386396293131385e-27,1.3010457906052796e-32,1.5023445844229231e-33,8.8557001208626105e-37,2.67418507529697e-23,2.2660638164968138e-28,1.3085281922019935e-29,8.1574426935727039e-61,3.5202778569245851e-35,7.1396825911119913e-35,7.9245884903056071e-61,2.0853968066759156e-18,7.5017398087467969e-41,6.109465624722991e-41,5.2848492613857486e-25,1.6315253315848521e-25,9.516715891108123e-22,5.2848068623479622e-25,4.1607653917932814e-31,7.9245884901014466e-61,9.2314280364003061e-40,1.149893133479465e-39,1.0578637440402218e-42,1.7028221998998787e-49,5.4013567241269901e-35,1.7572787560878717e-55,1.9277859158394949e-27,5.4891004074696716e-47,4.8443748416771357e-58,3.971575790124831e-33,1.739858655049725e-64,2.1588510593361009e-62
3.0183628835885976e-15,0.13913620694699833,76.950000000000003,0.0,0.0,0.0,0.99999999983426291,9.5,6.5678758894989968e-12,7.9269259787561356e-11,7.9269207486056655e-11,8.8942300430864823e-16,1.5138533882515654e-16,6.2776394561261889e-13,7.1040090826126438e-16,6.8574571214144668e-16,2.6288674065128194e-23,3.4036964447662888e-27,7.4247639432588099e-28,5.9222244485839507e-16,5.1616992457370146e-19,1.4446858494990594e-23,7.7387399886232199e-28,4.4294673249766343e-39,8.8337571740341026e-39,1.9889173796741636e-27,9.6134659530145902e-21,1.580259210262371e-26,1.5802703597256446e-26,9.9938509313090632e-32,1.1556123418969009e-32,4.0641655828252511e-36,7.3932908430111682e-23,1.0395986169099105e-27,6.0118285762605409e-29,5.4989522978637811e-59,2.7078021973638369e-34,3.2810932046495707e-34,5.3419847095063925e-59,5.7615287856267965e-18,9.2957259141170287e-40,6.7775629166141048e-40,2.4253267980108746e-24,7.4873958537005929e-25,2.6270463126154819e-21,2.425307179010519e-24,3.1970480013069878e-30,5.3419847092739331e-59,7.1026478109311107e-39,8.8475190680324289e-39,1.3762604772496914e-41,3.79444654628992e-48,2.482063243999853e-34,6.793245758312826e-54,5.3297530107277215e-27,7.1456862482640319e-46,1.872726671934692e-56,1.8251504358038047e-32,1.1814222102634125e-62,8.3483623956492461e-61
