Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516)
0.0,0.36108543486389005,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.930089343015143e-26,0.36108543486389005,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,6.0138072821386582e-19,6.1400955918027303e-18,6.1400955918027311e-18,2.1361703847128212e-33,2.1361703757078282e-33,2.6443191334143774e-16,2.5535431341886668e-29,1.0106069146553573e-33,5.2923831159590513e-49,1.6312025647334922e-53,1.7782146316570157e-51,7.3577344486199809e-29,4.9384058096056634e-35,5.0075767150293471e-49,3.7246919616184635e-53,2.1387680202128886e-69,0.0,4.4247997007153261e-47,4.2687931198723737e-34,2.4155301914961209e-48,2.4155301914961212e-48,3.9757549008528228e-64
2.78042501604424e-25,0.36108543486389005,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,1.6838660389988243e-18,1.7192267657047628e-17,1.7192267657047631e-17,1.2902469123665054e-32,1.290246901675778e-32,7.4040935735570033e-16,1.5423400530493893e-28,6.1040657645163143e-33,6.2831169516154095e-48,1.9365636848516844e-52,2.6872379513603773e-50,4.4440716069648388e-28,2.9827971090018175e-34,5.944994382043168e-48,4.4219542966361907e-52,6.0316680198842146e-68,0.0,5.2531222046874633e-46,2.5783510444028973e-33,2.8677174433441775e-47,2.8677174433441785e-47,8.8936046829989014e-63
6.355257179529692e-25,0.36108543486389005,76.950000000000003,0.0,0.0,0.0,0.99999999999999833,9.5,3.848836660568739e-18,3.9296611787537332e-17,3.9296611787537351e-17,6.2119834787443061e-32,6.2119833737821094e-32,1.6923642453829243e-15,7.4257034342121624e-28,2.938844907814712e-32,6.1688008806433067e-47,1.9013297094535983e-51,2.8908079623939041e-49,2.1396291776562463e-27,1.4360884094333212e-33,5.836829267515744e-47,4.3415009498510064e-51,1.3120195424354714e-66,0.0,5.1575465311482934e-45,1.2413650392588616e-32,2.8155419912078255e-46,2.815541991207827e-46,1.7572264152982941e-61
1.3504921506500596e-24,0.36108543486389005,76.950000000000003,0.0,0.0,0.0,0.99999999999999634,9.5,8.1787779037085579e-18,8.3505300048516408e-17,8.3505300048516495e-17,2.7129363885846851e-31,2.7129362957468113e-31,3.596274021432164e-15,3.242999780410841e-27,1.2834707816091343e-31,5.4562334506605073e-46,1.6817045961381327e-50,2.6571505597968008e-48,9.3443227497221147e-27,6.2717753781991304e-33,5.1626067719316976e-46,3.8400084234660731e-50,2.4322631138627611e-65,0.0,4.5617914994379407e-44,5.4213672622376566e-32,2.4903150062247279e-45,2.490315006224731e-45,3.1268905177563481e-60
2.7804250160442403e-24,0.3610854348638901,76.950000000000003,0.0,0.0,0.0,0.99999999999999234,9.5,1.6838660389988165e-17,1.7192267657047322e-16,1.7192267657047351e-16,1.1325975379741988e-30,1.1325974599383751e-30,7.4040935735098174e-15,1.3538885697389404e-26,5.3582378614741791e-31,4.5862911799584298e-45,1.4135740433578895e-49,2.2732482465432646e-47,3.9010708046355781e-26,2.6183427602528647e-32,4.3394776627284689e-45,3.2277584565374525e-49,4.1804388468273377e-64,0.0,3.8344606238237674e-43,2.2633141121560996e-31,2.0932598154672689e-44,2.0932598154672741e-44,5.27395789405535e-59
5.640290746832602e-24,0.36108543486389005,76.950000000000003,0.0,0.0,0.0,0.99999999999998435,9.5,3.4158425362547237e-17,3.4875742961438141e-16,3.4875742961438259e-16,4.6270305000987944e-30,4.6270298603140082e-30,1.501973267758181e-14,5.5310765703112085e-26,2.1890150013959394e-30,3.7601156527309172e-44,1.1589334052920062e-48,1.8795656105607498e-46,1.5937147124896318e-25,1.0696784519837756e-31,3.5577587533713442e-44,2.6463113935708802e-48,6.9287708097657159e-63,0.0,3.1437224877452771e-42,9.2463766493663782e-31,1.7161808661510149e-43,1.7161808661510237e-43,8.6624916774700511e-58
1.1360022208409325e-23,0.36108543486389005,76.950000000000003,0.0,0.0,0.0,0.99999999999996836,9.5,6.8797955307664839e-17,7.0242693570217605e-16,7.0242693570218108e-16,1.8703197079907866e-29,1.8703191898765455e-29,3.0251010885392551e-14,2.2357495839976602e-25,8.8483486289280227e-30,3.0450343672873965e-43,9.3853431898433394e-48,1.5284315394852137e-45,6.4420496808619721e-25,4.3238113297882076e-31,2.881153594040557e-43,2.1430515734486657e-47,1.1281707097187468e-61,0.0,2.5458679770559053e-41,3.7375332785163911e-30,1.389807760402489e-42,1.3898077604025029e-42,1.4042272300573213e-56
2.2799485131562772e-23,0.36108543486389005,76.950000000000003,0.0,0.0,0.0,0.99999999999993638,9.5,1.380770151978978e-16,1.4097659478776782e-15,1.4097659478776989e-15,7.5204732861664219e-29,7.5204691159333368e-29,6.0713567299681059e-14,8.9898507451907915e-25,3.5578820671596322e-29,2.450900882708273e-42,7.554140705609973e-47,1.2327354078507166e-44,2.5903198434460161e-24,1.7385855188945766e-30,2.3189842561830726e-42,1.7249143422383858e-46,1.8208720739575156e-60,0.0,2.0491360333948918e-40,1.5028456930222293e-29,1.1186381961139634e-41,1.1186381961139862e-41,2.2614646638640808e-55
4.567841097786966e-23,0.36108543486389005,76.950000000000003,0.0,0.0,0.0,0.99999999999987255,9.5,2.7663513497835477e-16,2.8244439722283347e-15,2.8244439722284179e-15,3.0160461491291923e-28,3.0160428027815081e-28,1.2163868012292612e-13,3.6053322295430918e-24,1.4268698390306109e-28,1.9666812677116278e-41,6.0617221731199367e-46,9.9020011864652392e-44,1.0388341120565231e-23,6.9725055321446719e-30,1.8608086324482071e-41,1.3841351197552846e-45,2.9260925403155189e-59,0.0,1.6443026166426088e-39,6.0270833931784556e-29,8.9763670300786506e-41,8.9763670300790135e-41,3.6301516236385911e-54
