Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383)
0.0,0.2091103805140821,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4856376650371203e-21,0.2091103805140821,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,3.5763165552592884e-17,3.5393847822865767e-16,3.5393838385181185e-16,3.8352685342947768e-27,3.8352168673169147e-27,2.6003269852228804e-17,4.3402315439486134e-26,2.6395506017370601e-27,1.7878934900395782e-39,4.0719290490233534e-44,1.8011393208383967e-31,4.8108728134713148e-26,4.9786843341633119e-30,2.460854576635162e-39,1.9624304294920874e-44,1.2882888742793848e-47,3.2289845649433163e-60,1.7205204088049106e-42,5.101723089344511e-31,3.4061255102569302e-42,3.4061255102854797e-42,2.5401704248950406e-53,3.1481552312216283e-54,1.1728024424620592e-49,3.1495428519388138e-31,4.697639931340303e-42,2.91100541509566e-43,3.4476528659174088e-96,9.8313057101767393e-54,4.2614441325269353e-47,3.2936533158056495e-96,4.9296535359755027e-28,5.3265887574743386e-65,5.3265837086306352e-65,1.1874630428913749e-39,3.6309712063444488e-40,7.1142433747305752e-31,1.1874455732369728e-39,6.2820968053981281e-51,3.2936533158056461e-96,1.5242923081440564e-57,3.289815416691255e-58,2.3687712056780111e-68,1.9519761463486175e-80,1.1263769448738005e-47,4.885615528403103e-92,1.2012898281795809e-36,3.9842634411371353e-71,9.0505143545664861e-94,1.17736901609892e-47,7.7060254959318862e-106,1.7979354162056055e-98,5.1870892513805313e-109,1.607846194266557e-66,2.9223390099040878e-49,1.0741558550451527e-68,6.3553388567537165e-48,3.4433155770613541e-59,4.6689792319945384e-40,4.7395916137452348e-59,3.0983898417225948e-60,5.059295615569713e-51,2.2716152968349878e-52,5.5400570196569489e-71,2.8196787552364699e-52,3.3353353008044947e-57,1.7928841836324915e-77,2.3925570024577204e-59,8.6332321877435499e-44,1.6762097524630995e-78,9.4379485464283288e-23,5.4468817644266726e-42,6.1007167889683947e-40,5.44688176442667e-42,3.443685947614283e-71,4.4966880842481462e-63,2.3584892219493555e-63,6.251578985092898e-107,2.7855647686104321e-112,3.0505666612595773e-50,9.7330773516685748e-61,9.1314443371605068e-61,2.7492053228188596e-84,2.7130864325335077e-51,4.5887258523043367e-93,6.4566226939261853e-65,1.1809001858243654e-76,3.1971125894169832e-87,8.8067445496276485e-88,5.9693096838331044e-77,1.6835678889505339e-65,4.290108137760489e-94,1.6835686483593896e-65,1.2737252866792217e-86,8.4697817585173209e-71
6.959785462103936e-21,0.2091103805140821,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,1.0013686354725977e-16,9.9102773901926137e-16,9.910274747726431e-16,2.3165021946534946e-26,2.3164402599427773e-26,7.2809155281542113e-17,2.6214998433906053e-25,1.5942885612322358e-26,2.1225460673097075e-38,4.8341944769846175e-43,1.0878881497700836e-30,2.9057671691896479e-25,3.0071253377815173e-29,2.9213516240176844e-38,2.3297965607988812e-43,1.5294565515138476e-46,7.2231097100997911e-59,2.0426018227995745e-41,3.0814407459116966e-30,4.043752205684098e-41,4.0437522057479629e-41,5.6822595765920602e-52,7.042297312902303e-53,1.3923510496762206e-48,1.9023238760090835e-30,5.577038050127528e-41,3.4559456110845398e-42,3.6737416664024938e-94,2.1992237513529277e-52,5.0591864472777333e-46,3.5096431953977017e-94,2.9775107253316545e-27,2.1980311244677572e-63,2.1980273238293355e-63,1.4097561151867675e-38,4.3106889875699165e-39,4.2970029672926697e-30,1.4097353752133062e-38,1.4052799180906317e-49,3.5096431953976964e-94,3.4097808975348449e-56,3.9395654807066618e-57,9.7748012309750632e-67,1.4693989995383108e-78,1.3372347041477341e-46,6.6688414708502503e-90,7.2557905620006769e-36,8.9865313029499386e-70,1.2353908143107148e-91,1.3977724955971814e-46,1.9010697539211197e-103,2.454173116064096e-96,1.2796505609488184e-106,6.6348222993800501e-65,3.4694008250547704e-48,4.4325341779765587e-67,7.5450582904547661e-47,7.7025591772872602e-58,2.8200634560550499e-39,1.0602276804920851e-57,6.9309741390955133e-59,6.0063957546695015e-50,2.6968619234764103e-51,2.2860700952574372e-69,3.3475223365683143e-51,4.1237821486428056e-56,1.3496384524292922e-75,5.3520542816062254e-58,1.0249372196634357e-42,1.2618088538110317e-76,2.6426256147058555e-22,6.4665379408865737e-41,3.6848329665158453e-39,6.4665379408865665e-41,1.4210466398548786e-69,1.0058667895594964e-61,5.2757277106982496e-62,1.5422587946632968e-104,5.2274129106480779e-110,3.6216327399588096e-49,2.0800186490631719e-59,2.042667301385618e-59,2.0695331310831141e-82,3.2209762126225889e-50,6.2635881266994867e-91,1.4443206700852562e-63,4.8730176887783642e-75,2.4067065604951876e-85,6.6294974266146231e-86,2.4632523549856276e-75,3.7660711548035949e-64,5.8559764217513929e-92,3.7660742885220064e-64,9.5882859779569572e-85,1.9696526123384662e-69
1.590808105623757e-20,0.2091103805140821,76.950000000000003,0.0,0.0,0.0,0.99999999999999512,9.5,2.2888425953659225e-16,2.2652062605165495e-15,2.2652056565645845e-15,1.1152960896820959e-25,1.1152349743565391e-25,1.6642092492137461e-16,1.262139319248722e-24,7.6758131165971513e-26,2.0838412965676504e-37,4.7462409405196285e-42,5.2377131447534081e-30,1.3990017989369189e-24,1.4478014042950061e-28,2.8678298817185468e-37,2.2874062888261753e-42,1.5016295117650656e-45,1.4271647824415848e-57,2.0054385682487944e-40,1.4835810743028002e-29,3.9701798944673963e-40,3.9701798945935826e-40,1.1227187133883661e-50,1.3914392704919546e-51,1.3670184958880946e-47,9.1588705150086653e-30,5.4755688672552562e-40,3.3930678569127179e-41,8.3605764820146159e-92,4.3452954851131732e-51,4.9671391976127794e-45,7.9871267563679705e-92,1.433543232665352e-26,8.695186939500051e-62,8.6951568890845682e-62,1.384106893859182e-37,4.2322599494482306e-38,2.068821926804755e-29,1.3840865312307702e-37,2.7765962697868144e-48,7.9871267563679432e-92,6.7371523521302707e-55,3.9396883648039737e-56,3.8668142273553536e-65,1.1618096260541172e-76,1.3129049520449323e-45,1.0535135264487025e-87,3.493350820040238e-35,1.807539881341233e-68,1.9516147430164294e-89,1.3723413241869874e-45,6.0011121078466871e-101,3.8769921190548796e-94,4.0394766678429129e-104,2.6246696849615715e-63,3.4062782026837885e-47,1.7534664109567703e-65,7.4077829705540805e-46,1.5218958786519896e-56,1.3577391605595357e-38,2.0948312107976645e-56,1.3694436924442754e-57,5.8971149690899936e-49,2.6477955435199815e-50,9.0430292706131098e-68,3.2866166839936741e-50,4.3962902457000579e-55,1.0671185231304714e-73,1.0574757229801716e-56,1.0062892162404729e-41,9.976743021775214e-75,6.0402872216555973e-22,6.3488851061093438e-40,1.7740884811797389e-38,6.348885106109334e-40,5.6215191129148234e-68,1.9873179957192852e-60,1.0423437237595299e-60,4.868450613415975e-102,2.3752744803477279e-107,3.5557404994953336e-48,3.7433922324825709e-58,4.0359651965776976e-58,1.6363175898389223e-80,3.1623735455093594e-49,9.8949339413745311e-89,2.8537342550004745e-62,1.9277173432347199e-73,1.9029105151669301e-83,5.2417441766685481e-84,9.7443813539480652e-74,7.4411095540170695e-63,9.2510073616011864e-90,7.4411219506649014e-63,7.5811693082494499e-83,4.2159983134462431e-68
3.3804672244504835e-20,0.2091103805140821,76.950000000000003,0.0,0.0,0.0,0.99999999999998956,9.5,4.8637905151525211e-16,4.8135633031754723e-15,4.8135620199495836e-15,4.8707910376158401e-25,4.8702491764705571e-25,3.5364445932586343e-16,5.51209391892222e-24,3.3522292298433933e-25,1.8429792478568907e-36,4.1979964180872857e-41,2.2874469372119506e-29,6.1098083158296675e-24,6.3229291035640247e-28,2.5359042738485932e-36,2.0231817740389416e-41,1.3281742976275995e-44,2.539563443659602e-56,1.7737876781276721e-39,6.4791883226554945e-29,3.5115791554495126e-39,3.5115791556740542e-39,1.9978178755993822e-49,2.4759918172252494e-50,1.2091123408847548e-46,3.9999193202519064e-29,4.8430783665131178e-39,3.0011300274091764e-40,1.4129004644172105e-89,7.7322209806842375e-50,4.3933782680226346e-44,1.3497891117568127e-89,6.2606598295268762e-26,3.1032464435651127e-60,3.1032249649131688e-60,1.224226837935785e-36,3.7433858886924783e-37,9.0350886047165859e-29,1.2242088274224767e-36,4.9408045716858352e-47,1.3497891117568039e-89,1.1988402273509997e-53,3.6123350830653656e-55,1.3800385143839008e-63,8.304129310364505e-75,1.1612495437971577e-44,1.5070167337671932e-85,1.5256380814718913e-34,3.3306559752221958e-67,2.7917212278651288e-87,1.2138203587837286e-44,1.7174412981520686e-98,5.5459107947072471e-92,1.1560464335368195e-101,9.367259417203749e-62,3.0128143164038745e-46,6.2579968565040154e-64,6.5521001459149335e-45,2.7081323458595245e-55,5.9296036235535019e-38,3.7276401338082423e-55,2.4368518796897409e-56,5.2159314069498401e-48,2.3419460888361108e-49,3.2270802275239754e-66,2.9069741759683443e-49,4.5067063464854089e-54,7.6273167327591104e-72,1.8817215010081666e-55,8.900510177457767e-41,7.1309585031679949e-73,1.2835610782849853e-21,5.6155166389899436e-39,7.7479107243532567e-38,5.615516638989924e-39,2.0062801866041244e-66,3.5359498694907833e-59,1.8546120573654497e-59,1.393286989084831e-99,8.0476690148165841e-105,3.1450122033512404e-47,5.6460410463611276e-57,7.1817802363263699e-57,1.1695713527976304e-78,2.7970835879561845e-48,1.4154379905957642e-86,5.078067631482932e-61,6.8798863134116581e-72,1.3601208761574035e-81,3.7465794240830322e-82,3.4777004895449457e-72,1.3241012505037627e-61,1.323326396629529e-87,1.3241056747574294e-61,5.4187026769509414e-81,8.6615479470796187e-67
6.959785462103937e-20,0.2091103805140821,76.950000000000003,0.0,0.0,0.0,0.99999999999997846,9.5,1.0013686354725515e-15,9.9102773871508516e-15,9.9102747459240408e-15,2.0334593760384186e-24,2.0330034077467938e-24,7.2809150863413683e-16,2.3011906368982918e-23,1.3994896981146188e-24,1.5488747863917731e-35,3.5286689620564315e-40,9.5496406768099176e-29,2.5507246241514824e-23,2.6396984332323872e-27,2.1304729297944149e-35,1.7006008299573595e-40,1.1164105254666277e-43,4.2833447358298442e-55,1.4909753807752614e-38,2.7049335812396268e-28,2.9516938680828962e-38,2.9516938684616191e-38,3.3696115565932823e-48,4.176122029814016e-49,1.0163317135145028e-45,1.6698875285586131e-28,4.0708987003765754e-38,2.5226305073794605e-39,2.0687975090113559e-87,1.3041520286077877e-48,3.6928989849186771e-43,1.9763885867543685e-87,2.6137021597284038e-25,1.0485141241391632e-58,1.0484995982903106e-58,1.0290363633186214e-35,3.1465412140580972e-36,3.7719714042100493e-28,1.029021224398523e-35,8.3333886095310675e-46,1.9763885867543426e-87,2.0220191439101285e-52,3.2512543541060696e-54,4.6628380204649993e-62,5.6160864171184935e-73,9.7610018162763549e-44,2.0392125342020268e-83,6.3692386661626608e-34,6.0031556168777238e-66,3.7776043174876843e-85,1.0202891477212401e-43,4.6488287281568811e-96,7.5044229451208396e-90,3.1292259932145407e-99,3.1649850730752652e-60,2.5324516674966973e-45,2.1144355551182378e-62,5.5074349644958249e-44,4.567660842543236e-54,2.4754927878319416e-37,6.2872096610336238e-54,4.1101068663897755e-55,4.384304630130166e-47,1.968548341338182e-48,1.0901461973133313e-64,2.4434851678825012e-48,4.8282028054282466e-53,5.1583576375756246e-70,3.1737981899396472e-54,7.4814084020522316e-40,4.822670359707547e-71,2.642625929441743e-21,4.7201795258347401e-38,3.2346004035967497e-37,4.7201795258347067e-38,6.778766938225818e-65,5.9626266809520149e-58,3.1274572224769606e-58,3.7713907160051921e-97,2.3600368661565759e-102,2.6435722566202717e-46,7.2880364437572765e-56,1.2113107939354184e-55,7.90981618459362e-77,2.3511172920916894e-47,1.9152931473557775e-84,8.564903283581964e-60,2.3245581207554593e-70,9.198504177701382e-80,2.5338132945585503e-80,1.1750363949717152e-70,2.2332753202042982e-60,1.7906527863375381e-85,2.2332902686095451e-60,3.6646710453936785e-79,1.8521683045400662e-65
1.4118421937410845e-19,0.20911038051408207,76.950000000000003,0.0,0.0,0.0,0.99999999999995626,9.5,2.0313478033870691e-15,2.0103705549733009e-14,2.0103700194690812e-14,8.3073450488723442e-24,8.3036053044451104e-24,1.4769855292478744e-15,9.4011140522335491e-23,5.7173719235438688e-24,1.2694344363330889e-34,2.8930160217769499e-39,3.9013398125825983e-28,1.0420541750426264e-22,1.0784029408898072e-26,1.7448771032344042e-34,1.3942465214923387e-39,9.1530079914197006e-43,7.0354058573434497e-54,1.2223916301787631e-37,1.105053627425606e-27,2.4199769659203701e-37,2.4199769665424231e-37,5.5345961216593171e-47,6.8592927490130674e-48,8.3325003880851647e-45,6.8220350239804641e-28,3.337567914125042e-37,2.0682047166910696e-38,2.8289056001542416e-85,2.1420734381399107e-47,3.0276614241947795e-42,2.7025442155651702e-85,1.0677825517009934e-24,3.4472672036473357e-57,3.447171650049161e-57,8.4366608537834274e-35,2.5797242959683519e-35,1.5409732052724609e-27,8.436536735795361e-35,1.368761429108225e-44,2.7025442155650988e-85,3.3211721026999868e-51,3.0179412317950132e-53,1.5330389672203884e-60,3.6944488531420089e-71,8.0026585242279869e-43,2.68348876948282e-81,2.6020418170211162e-33,1.1126713433816255e-64,4.9711143846073547e-83,8.3649468329655686e-43,1.2236480385701139e-93,9.8753979239961556e-88,8.2366365979603716e-97,1.0405777322538596e-58,2.076256387486425e-44,6.9518005412705984e-61,4.5153279261549502e-43,7.5023960330874601e-53,1.0113195767444286e-36,1.0326759867214752e-52,6.7508628487157543e-54,3.5945178229077899e-46,1.6139373917427594e-47,3.58277377362389e-63,2.003313841969655e-47,5.6640334829851075e-52,3.3933394721763551e-68,5.2129725326207131e-53,6.1336996314374982e-39,3.172513212102677e-69,5.3607561874268563e-21,3.8698874225904744e-37,1.3214399659065117e-36,3.8698874225904226e-37,2.2287100151188695e-63,9.7894639274799965e-57,5.1348317853389915e-57,9.9268875713939355e-95,6.4590461194804681e-100,2.1673602516317821e-45,8.1290067884615361e-55,1.9895769711714845e-54,5.2033405749994947e-75,1.9275880037365704e-46,2.5204177462266496e-82,1.4067879352608367e-58,7.642638706232117e-69,6.0510834276368926e-78,1.6668267749506699e-78,3.8632625807075627e-69,3.6681122292492824e-59,2.3563980664758593e-83,3.6681613753622744e-59,2.410742755876434e-77,4.3276071649810473e-64
2.843569488802466e-19,0.2091103805140821,76.950000000000003,0.0,0.0,0.0,0.99999999999991196,9.5,4.0913061392157781e-15,4.0490561853432975e-14,4.0490551079495743e-14,3.3579616887820926e-23,3.3549335261822544e-23,2.9747732584641799e-15,3.8000801584498286e-22,2.3110530348639432e-23,1.0273304825189959e-33,2.3428393924070946e-38,1.5769839284972992e-27,4.2121490842550621e-22,4.3590771062492339e-26,1.4101185306300322e-33,1.1290827528550987e-38,7.4123431740518874e-42,1.1404693639431976e-52,9.8992432475408967e-37,4.4668034423395018e-27,1.9597600875774362e-36,1.9597600885858109e-36,8.9718156431950867e-46,1.1119208403448263e-46,6.7478731627306234e-44,2.7575753074021923e-27,2.7028477434669736e-36,1.6748855030994447e-37,3.7414984621668665e-83,3.472392751721575e-46,2.4518782665178179e-41,3.5743734347084188e-83,4.3161472839425742e-24,1.1181012848016469e-55,1.1180392893349894e-55,6.8322251230339106e-34,2.0891271371627468e-34,6.2288585421217517e-27,6.8321246091104216e-34,2.2188207665245491e-43,3.5743734347082301e-83,5.3837617587724379e-50,3.014731805077121e-52,4.9723740998157048e-59,2.3970839695885661e-69,6.4807595465825189e-42,3.4826501001756322e-79,1.0517869045017033e-32,2.2143078512137416e-63,6.4515462886151994e-81,6.7741507681163352e-42,3.176287523887064e-91,1.2816359724736056e-85,2.1380270672891329e-94,3.3750881921751317e-57,1.6814054533457761e-43,2.2547992238316277e-59,3.6566296176147293e-42,1.2161705270679163e-51,4.0879154218496991e-36,1.6740119900869999e-51,1.0943439523513855e-52,2.9109337248893639e-45,1.3070124366720137e-46,1.1611644991272711e-61,1.6223307465095059e-46,7.3493916358293274e-51,2.2017138101548695e-66,8.4504514165525499e-52,4.9672111974865665e-38,2.0584342547524556e-67,1.079701892608326e-20,3.1339336557534877e-36,5.3414729046892362e-36,3.1339336557534022e-36,7.2287659315949518e-62,1.5855645681621221e-55,8.3172223848465859e-56,2.5767578065550796e-92,1.7091791400641275e-97,1.7551845209367882e-44,8.0068798530579847e-54,3.2251749470803111e-53,3.3761039820901389e-73,1.561010740153256e-45,3.2710151819527625e-80,2.280463862595652e-57,2.4788716670062926e-67,3.9261495688202932e-76,1.0814937684200144e-76,1.2530399556412395e-67,5.9460085183319113e-58,3.0581493456605861e-81,5.946167916260176e-58,1.564171813643005e-75,1.1182714426470715e-62
5.707024078925228e-19,0.2091103805140821,76.950000000000003,0.0,0.0,0.0,0.99999999999982325,9.5,8.2112228108718945e-15,8.1264274375055864e-14,8.1264252798191215e-14,1.3502216238012564e-22,1.3477859890575056e-22,5.9703474688526303e-15,1.5279951545782863e-21,9.2926417284376211e-23,8.2577566002046594e-33,1.8857209797859143e-37,6.3409830117411164e-27,1.6936862178529992e-21,1.7527657303972696e-25,1.1303005761665782e-32,9.0876112346840946e-38,5.966098637460487e-41,1.8366899644562906e-51,7.9677704094322053e-36,1.7960820163676125e-26,1.5773854112378606e-35,1.5773854128618159e-35,1.4448822291017422e-44,1.7907139997356307e-45,5.4312726586455312e-43,1.108808642091264e-26,2.1754849367133379e-35,1.3480930844334676e-36,4.8677920636673159e-81,5.5921795470789724e-45,1.9734842095087207e-40,4.6503578216169924e-81,1.735503426591386e-23,3.6020376829197524e-54,3.6016382247911055e-54,5.4991666392950073e-33,1.6815104947007386e-33,2.5045953906261285e-26,5.4990857370112282e-33,3.5733408509265638e-42,4.6503578216165018e-81,8.6703780284123225e-49,3.3452613119856086e-51,1.6019158751182928e-57,1.5446709421982092e-67,5.2162777936779736e-41,4.4886524048937941e-77,4.2291888756340568e-32,4.8886590512319044e-62,8.3151473552006074e-79,5.452425790484127e-41,8.1878077948624299e-89,1.6518509849275373e-83,5.5113886079037116e-92,1.0873291426809198e-55,1.353340100283145e-42,7.2641320687709595e-58,2.9431736281710054e-41,1.9586044974811666e-50,1.6437328090556766e-35,2.6959437838077016e-50,1.7624071764106497e-51,2.3429727036507626e-44,1.0520039048774352e-45,3.7350632780283783e-60,1.3057852906325076e-45,1.0362460013769345e-49,1.4187750210771956e-64,1.3609186014426995e-50,3.9980150700632308e-37,1.3264463056692225e-65,2.1669553294139063e-20,2.5224600171532758e-35,2.147783793645653e-35,2.5224600171531384e-35,2.3288422181724771e-60,2.5491663773429707e-54,1.337354602352509e-54,6.6422595940934859e-90,4.4482133623108378e-95,1.4127251946619637e-43,7.2125509965261842e-53,5.1939963198130631e-52,2.1755470948515859e-71,1.2564372463417442e-44,4.2158838049639621e-78,3.6726167380420339e-56,7.9860160622724972e-66,2.5299957490128964e-74,6.9690997380978219e-75,4.0368351155836506e-66,9.5753497936631259e-57,3.9415293683749598e-79,9.5758632746607593e-57,1.0079457967719643e-73,3.1432607918168471e-61
1.1433933259170752e-18,0.2091103805140821,76.950000000000003,0.0,0.0,0.0,0.99999999999964595,9.5,1.6451056154178921e-14,1.6281169907583381e-13,1.6281165603192463e-13,5.4149925935275142e-22,5.3954796070999759e-22,1.1961490897457052e-14,6.1279410645924462e-21,3.7267642500838234e-22,6.608596081826051e-32,1.5131723491272404e-36,2.5430177899195322e-26,6.7924360190658918e-21,7.029374505644118e-25,8.9956482548772492e-32,7.2918681439327556e-37,4.787418411487705e-40,2.9482916269146447e-50,6.3936311188633262e-35,7.2030921862515815e-26,1.2657524482127334e-34,1.2657524508195373e-34,2.3193526908497491e-43,2.8744917983532235e-44,4.3582499026594331e-42,4.4468164900540403e-26,1.7456863329032646e-34,1.0817590296495191e-35,6.2816277586646248e-79,8.9766804524965438e-44,1.5835956241308965e-39,6.0010403891714876e-79,6.960141649460321e-23,1.156490892663477e-52,1.1562344126477428e-52,4.412730842484565e-32,1.3493050300006085e-32,1.0044537829123171e-25,4.4126659236033789e-32,5.7359983331361872e-41,6.0010403891702207e-79,1.3917863091381442e-47,4.1588300697397488e-50,5.1434115761770409e-56,9.9197570576426316e-66,4.1857323289754964e-40,5.765311465191292e-75,1.6960938877351e-31,1.2093465633056153e-60,1.0680135166831393e-76,4.3752281778892901e-40,2.1033439954927663e-86,2.1216696185075852e-81,1.4158058718209735e-89,3.4911827838212971e-54,1.0859681337649904e-41,2.3323579071791578e-56,2.3617114697008986e-40,3.143991916685579e-49,6.5921037196274155e-35,4.3275838831078995e-49,2.8290537615268894e-50,1.8800880335611887e-43,8.4417745421589437e-45,1.1955540574301673e-58,1.0477982092463081e-44,1.5452117249741568e-48,9.1112606172905877e-63,2.1845739943114632e-49,3.2081093459591683e-36,8.5183332034205696e-64,4.3414657593208908e-20,2.0241113968152628e-34,8.6135819044345924e-35,2.0241113968150417e-34,7.477417423753655e-59,4.078124136515743e-53,2.1400127044465322e-53,1.7062683672674077e-87,1.1481448334515826e-92,1.133622989831392e-42,6.1488360966618814e-52,8.3373586695522802e-51,1.3971191327481048e-69,1.008211759009949e-43,5.4149607561869852e-76,5.8953631947585153e-55,2.5641427813893326e-64,1.6247453217538129e-72,4.4755003809440353e-73,1.2961430869094962e-64,1.5368908351593714e-55,5.0625748200371875e-77,1.5370556770330531e-55,6.4729495842662713e-72,9.355049632187397e-60
