Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238)
0.0,0.31278415407092985,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7602566852416105e-23,0.31278415407092985,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,1.0058281343067636e-17,9.8531832757355478e-17,9.8531832757358769e-17,6.1583942842707205e-30,6.158392083490441e-30,3.6807850634231761e-16,5.4524217171779662e-27,3.3806712224095723e-30,9.7683877571676401e-44,2.2976082996574277e-48,1.248414071422454e-47,1.0709207551032034e-26,4.3582941665499836e-32,1.0724740814735212e-43,3.1321464935153799e-48,2.5113799926018757e-64,3.0032785750937198e-64,1.0771622250957786e-43,7.428307196369359e-32,2.2105158132901402e-44,2.2105158132902273e-44,7.5843785570317045e-58,1.1037259422326759e-58,7.0023640542475935e-48,1.3812949875003525e-33,9.4785696814614902e-47,6.8969020823452836e-48,6.8747754903366691e-103,2.6370027247095399e-59,2.6410505553659797e-50,6.3570200498324493e-103,1.205949842640771e-28,8.2408405395565006e-73,8.2408404690184507e-73,2.5594157038010674e-41,7.6407030994227681e-42,1.7277116685108862e-30,2.5592981365539489e-41,4.7817840589848456e-54,6.3570200498324454e-103,3.7271063915226215e-63,3.0032785759670682e-64,8.7335089529365396e-74,1.1905775497437872e-87,1.3893533325525218e-50,1.5454748612218194e-101,2.8522293512325571e-36,2.7116053915170765e-79,8.4886172402935113e-102,6.1103256897796472e-49,3.4218672845732865e-116,5.7770827276594185e-107,5.7659443422201445e-120,3.7163039021050124e-70,2.0332347155727789e-49,1.6023542389517683e-71
4.92871871867651e-23,0.31278415407092985,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,2.8163187760589363e-17,2.7588913172056405e-16,2.7588913172058397e-16,3.7196701476948732e-29,3.7196675349293504e-29,1.0306198177048763e-15,3.2932627170325382e-26,2.0419254182735874e-29,1.1597009664299052e-42,2.7277205733917012e-47,1.8866033459555302e-46,6.4683613605425736e-26,2.6324096765959401e-31,1.2732350443501347e-42,3.7184842984663897e-47,7.0824934043596136e-63,6.7182140397817484e-63,1.2788069935828035e-42,4.4866975466055082e-31,2.6243243735371153e-43,2.6243243735373096e-43,1.6965951454236391e-56,2.4689907836368348e-57,8.3132066044385314e-47,8.3430217245017357e-33,1.1252957923948217e-45,8.1880021517859054e-47,7.3256067675287592e-101,5.8988696148069234e-58,3.1354552193340346e-49,6.7738981678496787e-101,7.2839370492340816e-28,3.4006059106005759e-71,3.4006058575012931e-71,3.0385383233395608e-40,9.0710427189940228e-41,1.0435378477009343e-29,3.0383987475039931e-40,1.0696659667870401e-52,6.7738981678496698e-101,8.3373879135806922e-62,6.7182140433856432e-63,3.6039069224377771e-72,8.9623706243109955e-86,1.6494402763971401e-49,2.1095655689987238e-99,1.7227465281438105e-35,1.1189515573193033e-77,1.1586920698522891e-99,7.2541786588432231e-48,8.4417162358439336e-114,7.8856894530663116e-105,1.4224533543110671e-117,1.5335432107543487e-68,2.4138562522054692e-48,6.6121596325182088e-70
1.1265642785546308e-22,0.31278415407092985,76.950000000000003,0.0,0.0,0.0,0.99999999999999634,9.5,6.4373000595632731e-17,6.3060372964685611e-16,6.3060372964695225e-16,1.7908610578589638e-28,1.7908584926320277e-28,2.3557024402155388e-15,1.5855642351409218e-25,9.8309919138401194e-29,1.1385969898853493e-41,2.6780922341951268e-46,2.0295217923670566e-45,3.1142375554189498e-25,1.2673919436323598e-30,1.2500566155180471e-41,3.6508298950728148e-46,1.5405970189676877e-61,1.3274058819950319e-61,1.2555402894138323e-41,2.1601517327018337e-30,2.5765772319680757e-42,2.5765772319684596e-42,3.3521861054550038e-55,4.8783097275029211e-56,8.1619555392619281e-46,4.0168058236504092e-32,1.1048220814874563e-44,8.0390290660209235e-46,1.6671367021247845e-98,1.165517231318996e-56,3.0784085273448942e-48,1.5415807332350287e-98,3.506902141925097e-27,1.3452458696177034e-69,1.3452458276336987e-69,2.9832549436900148e-39,8.906003530701036e-40,5.0241855308350367e-29,2.9831179073074291e-39,2.1134796959295552e-51,1.5415807332350252e-98,1.6473273547207752e-60,1.3274058834206971e-61,1.4256697382740923e-70,7.0862769579727306e-84,1.6194302443946475e-48,3.3325965690045196e-97,8.2942829533744717e-35,4.4264610852683753e-76,1.8304494884025037e-97,7.1221956238113179e-47,2.6647988301487607e-111,1.2457456648233976e-102,4.4902623219413174e-115,6.0665444356479845e-67,2.369938377891775e-47,2.6157045947534406e-68
2.3939490919285907e-22,0.31278415407092985,76.950000000000003,0.0,0.0,0.0,0.99999999999999223,9.5,1.3679262626571913e-16,1.3400329254989396e-15,1.3400329254993599e-15,7.8211607409518724e-28,7.8211380518412344e-28,5.0058676843790488e-15,6.9245755786002315e-25,4.2934524515023435e-28,1.0070685014207572e-40,2.368742252851383e-45,1.8654801894686919e-44,1.3600693585458628e-24,5.5350335915146026e-30,1.1056376147782283e-40,3.2291176276403236e-45,2.8560072422188789e-60,2.3620478415654805e-60,1.110511167253348e-40,9.4339501393645271e-30,2.2789533828634847e-41,2.2789533828641683e-41,5.9650360638647676e-54,8.6806915114572395e-55,7.2191572403920512e-45,1.7542446341247993e-31,9.7720261865418763e-44,7.1104301683770963e-45,2.8173873250480707e-96,2.0739756393844744e-55,2.7228174805812071e-47,2.6052032882603638e-96,1.5315562996637047e-26,4.8010868773395115e-68,4.8010865772554196e-68,2.6386552126036774e-38,7.8772592632099934e-39,2.1941938177743844e-28,2.6385340054759663e-38,3.7608241950123263e-50,2.6052032882603501e-96,2.9313310113617249e-59,2.3620478466535788e-60,5.0881140245435478e-69,5.0649744602841861e-82,1.4323677116683376e-47,4.7671707337099013e-95,3.6223312760552163e-34,1.5797725199850421e-74,2.6183983119402165e-95,6.2995013727239601e-46,7.626312471857496e-109,1.7819985573213516e-100,1.2850554857101484e-112,2.1651066174060437e-65,2.0961836485492153e-46,9.3352639007979506e-67
4.92871871867651e-22,0.31278415407092985,76.950000000000003,0.0,0.0,0.0,0.9999999999999839,9.5,2.8163187760589053e-16,2.7588913172011049e-15,2.7588913172028589e-15,3.2651806494555845e-27,3.2651615779433082e-27,1.0306198169274807e-14,2.8908739924535502e-24,1.7924318812595223e-27,8.4648890033055525e-40,1.9910705911765614e-44,1.5959575883210777e-43,5.6780218396403306e-24,2.3107675671013132e-29,9.293158315346404e-40,2.7142678168377537e-44,4.9087467694713899e-59,3.9839389208012715e-59,9.3345154907115273e-40,3.9384884754929299e-29,1.9155976355331218e-40,1.915597635534274e-40,1.0060905175614998e-52,1.4641255025401656e-53,6.0681366425599341e-44,7.3236260237209873e-31,8.2139768066006713e-43,5.9767449897045671e-44,4.1252756500680933e-94,3.4980630531210655e-54,2.2886921545091106e-46,3.8145914809054998e-94,6.3939460612706927e-26,1.6221786933758224e-66,1.6221784904288314e-66,2.2179486957462004e-37,6.6213110471429693e-38,9.160327255334747e-28,2.2178468138534251e-37,6.343179694771339e-49,3.814591480905462e-94,4.9441182030057814e-58,3.9839389379928061e-59,1.7191587283015275e-67,3.4254446732429129e-80,1.2039913682278112e-46,6.4506747122570944e-93,1.5122520020143839e-33,5.3376942991829289e-73,3.5430733911125147e-93,5.2951104768058537e-45,2.0643163806152245e-106,2.41130298978761e-98,3.4784322033566524e-110,7.3154059174306986e-64,1.7619686476906712e-45,3.1541746827335713e-65
9.99825797217235e-22,0.3127841540709298,76.950000000000003,0.0,0.0,0.0,0.99999999999996736,9.5,5.7131038028622786e-16,5.5966081005974292e-15,5.5966081006045944e-15,1.3339328354953525e-26,1.3339171996031608e-26,2.0906859125341289e-14,1.1810163519391878e-23,7.3226690872894899e-27,6.9398166215885014e-39,1.6323999664375899e-43,1.3195686152313353e-42,2.3196571890674734e-23,9.4402394964844053e-29,7.6184498339417061e-39,2.2253205516802113e-43,8.1358878897899379e-58,6.543631613596928e-58,7.6529997616649982e-39,1.6090010519436724e-28,1.5705226771346133e-39,1.5705226771365063e-39,1.6525066915655549e-51,2.4048305327023304e-52,4.9750250330001197e-43,2.9919401947202646e-30,6.7343144340535628e-42,4.9000966383900032e-43,5.6409655102722016e-92,5.7455790643318277e-53,1.8764081052552456e-45,5.2161311885225699e-92,2.6121355934192471e-25,5.3333682869386306e-65,5.3333669518858712e-65,1.8184083413737952e-36,5.4285508325511873e-37,3.742292573054881e-27,1.8183248124448543e-36,1.0418691683760025e-47,5.2161311885224637e-92,8.1207289946825074e-57,6.5436316701189281e-58,5.6522177461636256e-66,2.2533719105587392e-78,9.8710486567187586e-46,8.4887252009325227e-91,6.1780428638665723e-33,1.7549171041112889e-71,4.6624853562859519e-91,4.3412514853287497e-44,5.4336201284829835e-104,3.1731391540248053e-96,9.1558054851167118e-108,2.4051454112499149e-62,1.444568328974216e-44,1.0370236252130077e-63
2.0137336479164028e-21,0.31278415407092985,76.950000000000003,0.0,0.0,0.0,0.99999999999993427,9.5,1.1506673856468804e-15,1.127204166735805e-14,1.1272041667387011e-14,5.3919697983536959e-26,5.3918431762349199e-26,4.210818098257409e-14,4.7738569157430519e-23,2.9599399214346191e-26,5.6197020095455261e-38,1.3219598162521193e-42,1.0730513130199258e-41,9.3764252256120065e-23,3.8158957409102216e-28,6.168577279358312e-38,1.8021219643195297e-42,1.3247184695036989e-56,1.0607508742854267e-56,6.197597615843107e-38,6.5038395090128392e-28,1.2718499824779004e-38,1.2718499824809691e-38,2.6787845433645774e-50,3.8983339191376588e-51,4.0289042450906028e-42,1.2093900637118384e-29,5.4536223958859982e-41,3.9682252950481771e-42,7.4607168961318639e-90,9.3138312426795858e-52,1.519563932854468e-44,6.8988328362953418e-90,1.0558669697526225e-24,1.7298649957401156e-63,1.7298641295127708e-63,1.4725942166769992e-35,4.3961811980972751e-36,1.5126944882038137e-26,1.4725265727882753e-35,1.688914815147114e-46,6.8988328362950593e-90,1.3164051646309928e-55,1.0607508926182026e-56,1.8332832626684302e-64,1.4620645677134145e-76,7.9938311248774775e-45,1.1016727889699454e-88,2.497263703949464e-32,5.6920315638851224e-70,6.0510066287523915e-89,3.515658006301078e-43,1.4104336144043375e-101,4.1181225608001148e-94,2.376621023284486e-105,7.8010314713928501e-61,1.1698488500288722e-43,3.3635612628241756e-62
4.041549349314738e-21,0.3127841540709299,76.950000000000003,0.0,0.0,0.0,0.99999999999986799,9.5,2.3093813963680976e-15,2.2622908800751181e-14,2.2622908800867623e-14,2.168087340988861e-25,2.1679854267294295e-25,8.4510824477439043e-14,1.9195468639541079e-22,1.1901788216645644e-25,4.5226755692010446e-37,1.064028268996422e-41,8.6545480622600059e-41,3.7702193330447394e-22,1.5343548944908913e-27,4.9633328174644077e-37,1.4505040328626124e-41,2.1381010661476641e-55,1.7083065538820752e-55,4.9883657262397668e-37,2.6151652615857385e-27,1.0236955143204985e-37,1.0236955143254402e-37,4.314099876413627e-49,6.2781465799384621e-50,3.2428126224830728e-41,4.8629042552610412e-29,4.3895497075997969e-40,3.1939729351040488e-41,9.7065972245525216e-88,1.499963804049537e-50,1.2230772523215869e-43,8.9755706581279981e-88,4.245594634094673e-24,5.5729890686329878e-62,5.572983486703289e-62,1.1852719326080391e-34,3.5384290699836715e-35,6.082477974699144e-26,1.1852174869272493e-34,2.7199452306299854e-45,8.9755706581272658e-88,2.120029935115555e-54,1.7083066129435532e-55,5.9061661388369524e-63,9.421487071588548e-75,6.4341307343929217e-44,1.4199038250600239e-86,1.0041387519673225e-31,1.8337637909239137e-68,7.7989104785456024e-87,2.8297074170928715e-42,3.6358056000612666e-99,5.3076903447648075e-92,6.1264365415367799e-103,2.5132061909236987e-59,9.415960715233187e-43,1.0836160602631447e-60
8.097180752111409e-21,0.31278415407092985,76.950000000000003,0.0,0.0,0.0,0.99999999999973543,9.5,4.626809417810179e-15,4.5324643067025037e-14,4.5324643067491973e-14,8.6949999366497021e-25,8.6941821748100961e-25,1.6931611058876641e-13,7.6982414172102361e-22,4.7731493756674448e-25,3.6282807298462561e-36,8.5381567726971955e-41,6.9518044344287929e-40,1.5120265707826928e-21,6.1534493838282674e-27,3.9800767405415537e-36,1.163937326214099e-40,3.4358713856631022e-54,2.7422102618333085e-54,4.0028493168638188e-36,1.0487982359704799e-26,8.214511801097249e-37,8.2145118011765767e-37,6.9250855754241054e-48,1.0077815603086718e-48,2.6021528710945326e-40,1.9502421050548647e-28,3.5223371142598102e-39,2.5629621147435992e-40,1.2525849518691162e-85,2.4077740824696013e-49,9.8144246841111698e-43,1.1582498460325135e-85,1.7026733270554239e-23,1.7893689872783745e-60,1.7893654026106059e-60,9.511060708307448e-34,2.8393664583134087e-34,2.439345687946451e-25,9.5106238160999264e-34,4.3661144310011542e-44,1.1582498460323245e-85,3.4031175616268414e-53,2.7422104514673214e-54,1.8963460224121444e-61,6.0504108486661177e-73,5.1629847029399872e-43,1.8237532438793919e-84,4.02704550721427e-31,5.8878309677842653e-67,1.0017078645466782e-84,2.2706619907206216e-41,9.339931033405393e-97,6.8173051406936352e-90,1.5738051258007773e-100,8.0693779370856516e-58,7.5557145542013948e-42,3.4792638821268675e-59
