Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271)
0.0,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.717535505819344e-22,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,2.0869865604898351e-17,1.6260286195257495e-16,1.626028619527713e-16,3.019867817083693e-28,3.0198544011187198e-28,4.1049570957411385e-17,1.6686252965212324e-26,1.9639118656548861e-28,4.8077076055030967e-41,8.5031383296431977e-46,4.3074643728913958e-46,2.1324730782929926e-26,5.9239706792923504e-31,6.2530746792518588e-41,5.4237519537446023e-46,1.7979240511986109e-62
1.6009099416294162e-21,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.999999999999999,9.5,5.843562369371531e-17,4.5528801346559475e-16,4.55288013466781e-16,1.8240001615032294e-27,1.8239842341321792e-27,1.1493879855504071e-16,1.0078496781790175e-25,1.1862027663495379e-27,5.7076614525826496e-40,1.0094925825233997e-44,6.5094405977670476e-45,1.2880137381134709e-25,3.5780782902819858e-30,7.4234582248741244e-40,6.4390776843792028e-45,5.070433820884317e-61
3.6592227237243796e-21,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999999999756,9.5,1.3356713987134893e-16,1.0406583164851738e-15,1.0406583164908845e-15,8.7817756118495524e-27,8.781619237301384e-27,2.6271725324745469e-16,4.8523623484866418e-25,5.7110556977342083e-27,5.603712036037504e-39,9.9112580378650669e-44,7.0025603658593156e-44,6.2012316940435773e-25,1.7226906735223247e-29,7.2879885720584713e-39,6.3219233084553078e-44,1.1029302930248157e-59
7.775848287914307e-21,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999999999478,9.5,2.8383017222661501e-16,2.2113989224984903e-15,2.2113989225234305e-15,3.8352321274588035e-26,3.8350938182993264e-26,5.5827416062090388e-16,2.1191541123249598e-24,2.4941680615384994e-26,4.9562351517179337e-38,8.7663954940458064e-43,6.436561702850952e-43,2.708240791211906e-24,7.5234427625370832e-29,6.4454199316360213e-38,5.5916671796925002e-43,2.0446475880939582e-58
1.6009099416294162e-20,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999999998923,9.5,5.843562369371423e-16,4.5528801344217617e-15,4.5528801345258764e-15,1.6011339164040363e-25,1.6010176631874995e-25,1.1493879673222875e-15,8.8470511938425301e-24,1.0412660641113376e-25,4.1657036248329677e-37,7.3686836293447788e-42,5.5066179894978084e-42,1.13063720971277e-23,3.1408892540130269e-28,5.4165472130118903e-37,4.7001291618530925e-42,3.5142292271924527e-57
3.247560167305387e-20,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999999997813,9.5,1.185408366358178e-15,9.2358425578548893e-15,9.2358425582801832e-15,6.5411544847063199e-25,6.540201435628406e-25,2.3316155485429962e-15,3.6143090286384731e-23,4.2539115977179389e-25,3.4147861748383234e-36,6.041292039148618e-41,4.5529847628389433e-41,4.6190218476678745e-23,1.2831557448923276e-27,4.4388188332280973e-36,3.853443254621267e-41,5.8245852961967966e-56
6.540860618657329e-20,0.29485977699363386,76.950000000000003,0.0,0.0,0.0,0.99999999999995581,9.5,2.3875126252001734e-15,1.8601767403067733e-14,1.8601767404786462e-14,2.6440392260234243e-24,2.6432675274758479e-24,4.6960705822561869e-15,1.4609614517547487e-22,1.7194990569887904e-24,2.7645577656939872e-35,4.8923949287466815e-40,3.7024222039848107e-40,1.8670824245479238e-22,5.1867206792839909e-27,3.5914453995974514e-35,3.1206075615332285e-40,9.4838535272837146e-55
1.3127461521361212e-19,0.29485977699363397,76.950000000000003,0.0,0.0,0.0,0.99999999999991118,9.5,4.7917211428838588e-15,3.7333617086881848e-14,3.733361709378967e-14,1.0631565432681999e-23,1.0625355825921944e-23,9.42498013476972e-15,5.8744613765750046e-22,6.9140298807583184e-24,2.2238303016785421e-34,3.9378250744305939e-39,2.9861547506941324e-39,7.5074558447213884e-22,2.0855575726930376e-26,2.8855293750184972e-34,2.5117192384890773e-39,1.5307062722275649e-53
2.630066332676898e-19,0.29485977699363386,76.950000000000003,0.0,0.0,0.0,0.99999999999982203,9.5,9.6001381782500116e-15,7.4797316428080152e-14,7.4797316455758693e-14,4.2637332420081682e-23,4.258753140981871e-23,1.8882797180145834e-14,2.3559214605395528e-21,2.7728350584471925e-23,1.7823588984506746e-33,3.1598566379615326e-38,2.3986693830044909e-38,3.0108251982319463e-21,8.3640186515486113e-26,2.3071880960524991e-33,2.0154688809389187e-38,2.4598311706485113e-52
