Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170)
0.0,0.21052690533308827,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.703491427732632e-22,0.21052690533308827,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,2.6975131669167973e-17,2.929983199871204e-16,2.9299831998778807e-16,1.0245930457917545e-27,1.0245870046538163e-27,5.0757376137235953e-17,2.7728234452238263e-26,6.6801426052853116e-28,2.1593041880396994e-40,5.3259695385232392e-45,2.8692472000766987e-45,3.5210866131693115e-26,1.9727799865615001e-30,2.8155745174420947e-40,3.3553983854281425e-45,1.5479664202646205e-61,4.9346691199559408e-61,9.4981775008741574e-43,3.6903680250792399e-31,1.1851623878156301e-42,1.1851623878186793e-42,2.702081612759185e-54,3.4725105741946393e-55,3.3812875557223548e-49,4.3696139969226945e-33,1.99247862690981e-44,1.2802912887783015e-45,1.2849189269991918e-97,2.6244776545806116e-56,1.8187962065529373e-49,1.2178910264429141e-97,3.6946140119647621e-28,4.5887997230394715e-68,4.5887982845481951e-68,5.0349119370253181e-40,1.5317520140841961e-40,9.2163769326604787e-31,5.0348134919911797e-40,1.2115127389880232e-51,1.2178910264429131e-97,1.5542059993657938e-60,4.9346691370347704e-61,1.7079031898553789e-69,5.3308353416565401e-82,1.1787104112762508e-49,4.1985584223441024e-94,1.7112910936954387e-36,2.0196589876724102e-74,1.5948685909261415e-95,6.818548473385772e-48,4.1802268789910185e-108,2.6407379873468376e-100,2.1824659414738753e-111,2.3710922884123292e-67,3.1850759306938199e-49,2.4888025217676826e-69,4.11783070697506e-48,7.199871821321018e-60,7.0536924592474124e-40,9.3883460833457107e-60,6.0325955461721743e-61,2.4666230991467513e-51,2.6256837667184688e-52,5.1848364350722028e-72
2.156977599765137e-21,0.21052690533308827,76.950000000000003,0.0,0.0,0.0,0.99999999999999811,9.5,7.55303686736702e-17,8.2039529595845213e-16,8.2039529596248459e-16,6.1885419965076706e-27,6.1884702764919857e-27,1.4212065297489253e-16,1.6747853588564288e-25,4.0348061312966583e-27,2.5634971229155404e-39,6.3229910365207258e-44,4.3360067302436287e-44,2.126736311739933e-25,1.1915591118764975e-29,3.3425367805764202e-39,3.9835284377278352e-44,4.3655133308050904e-60,1.1038657402948298e-59,1.1276236316339076e-41,2.2289822871333205e-30,1.4070247868031098e-41,1.4070247868099313e-41,6.0444484614824012e-53,7.7678672481509997e-54,4.0142645758836145e-48,2.6392468541153142e-32,2.3654706164027546e-43,1.5199618167941645e-44,1.3691808264136592e-95,5.8708515295829263e-55,2.1592748563955362e-48,1.2977573970065694e-95,2.2315468604835487e-27,1.8935808587396027e-66,1.8935797758797705e-66,5.977447438235843e-39,1.8184959870320458e-39,5.5666916537134446e-30,5.9773305642927757e-39,2.7101055308017088e-50,1.2977573970065671e-95,3.4766966522711128e-59,1.1038657473424567e-59,7.0477103145216735e-68,4.0129197764749119e-80,1.3993650000315186e-48,5.7310115402912369e-92,1.0336198205797087e-35,8.3341793635558188e-73,2.1769877611372326e-93,8.0949807467447149e-47,1.031258260204401e-105,3.6045943322609827e-98,5.3841241039904748e-109,9.7843786982676691e-66,3.78132211812229e-48,1.0270113270923756e-67,4.8886886152493117e-47,1.6105825235006572e-58,4.2604302453507714e-39,2.1001354612848572e-58,1.3494674931993583e-59,2.9283749432734531e-50,3.1172117641420695e-51,2.1394964509736593e-70
4.9302345137488845e-21,0.21052690533308827,76.950000000000003,0.0,0.0,0.0,0.99999999999999567,9.5,1.7264084268267411e-16,1.8751892478791744e-15,1.8751892478985895e-15,2.9795165770506295e-26,2.9794461627059525e-26,3.2484720581273302e-16,8.0633705478294542e-25,1.9425854661734615e-26,2.5167956553999401e-38,6.2079500952483854e-43,4.66447918014227e-43,1.0239319831881382e-24,5.7368442008211136e-29,3.2814824942932838e-38,3.9110507291528695e-43,9.495947016754088e-59,2.1810526718424289e-58,1.1071075655652871e-40,1.0731590216712329e-29,1.3814252792019191e-40,1.3814252792153969e-40,1.1942811483772436e-51,1.5347996659251128e-52,3.9412287431130807e-47,1.2706837502660977e-31,2.3224330581858501e-42,1.4923075223453067e-43,3.1159352118321216e-93,1.159981327943517e-53,2.1199888582811807e-47,2.9533921975379529e-93,1.0743937505646012e-26,7.4908158570876965e-65,7.4908072952493353e-65,5.8686933122548028e-38,1.7854101349415318e-38,2.6801223915974391e-29,5.8685785647275439e-38,5.3547118119215252e-49,2.9533921975379431e-93,6.8693667110839949e-58,2.1810526997221399e-58,2.7880040962912727e-66,3.1728949825460659e-78,1.3739048546530638e-47,9.0535935782859127e-90,4.9764345002812843e-35,3.2969184762702434e-71,3.4391070888193492e-91,7.9477000979159377e-46,3.255375699845351e-103,5.6943755781213543e-96,1.6996078918485162e-106,3.8706028931132931e-64,3.7125244217447303e-47,4.0627546585805333e-66,4.7997434718285345e-46,3.1822396451877674e-57,2.0512137670971477e-38,4.1495137503511507e-57,2.6663203614200461e-58,2.8750958842613835e-49,3.0604969869981458e-50,8.4632782695226779e-69
1.047674834171638e-20,0.21052690533308827,76.950000000000003,0.0,0.0,0.0,0.9999999999999909,9.5,3.668617907006796e-16,3.9847771516328582e-15,3.9847771517176434e-15,1.3012331680400079e-25,1.3011708887584436e-25,6.9030030813852338e-16,3.5214857435234436e-24,8.4837810731294416e-26,2.2259687115822412e-37,5.4908615578008409e-42,4.2874618797975217e-42,4.4717799582028851e-24,2.5054305828300523e-28,2.9020073667170044e-37,3.4592780987483186e-42,1.760389291900641e-57,3.8810666473806601e-57,9.7922409936325248e-40,4.6867673916252579e-29,1.2218550152668443e-39,1.2218550152908268e-39,2.125159457790692e-50,2.7310939923619859e-51,3.4859721515900364e-46,5.5494097756884536e-31,2.0541657035844164e-41,1.3199290989840132e-42,5.2657927570142564e-91,2.0641247883875282e-52,1.8751061369445084e-46,4.9911022486490587e-91,4.6921597526761463e-26,2.6734177466449801e-63,2.6734116270134261e-63,5.1907927233576112e-37,1.5791750298227263e-37,1.1704798493469775e-28,5.190691230474736e-37,9.5284234784185644e-48,4.9911022486490239e-91,1.2223671032405962e-56,3.8810667468813687e-57,9.9501884623841744e-65,2.2678526347551648e-76,1.2152032840752115e-46,1.2950870277968277e-87,2.1733396888019877e-34,1.1766467862361676e-69,4.919530504056959e-89,7.0296507285305076e-45,9.31646762217147e-101,8.1456185361915059e-94,4.8640597459780457e-104,1.3813906666081085e-62,3.2836857070569345e-46,1.4499682661036784e-64,4.2453187451976597e-45,5.6626253689948438e-56,8.9581894227068868e-38,7.383837946533687e-56,4.7445746206944397e-57,2.5429897500777902e-48,2.7069749120093812e-49,3.0202283039069189e-67
2.1569775997651368e-20,0.21052690533308827,76.950000000000003,0.0,0.0,0.0,0.99999999999998135,9.5,7.5530368673668152e-16,8.2039529587892016e-15,8.2039529591431367e-15,5.432392327748203e-25,5.4318688565603041e-25,1.4212064993905414e-15,1.4701509619379378e-23,3.541811577297672e-25,1.8708782521486837e-36,4.6153999908297827e-41,3.6680171612623493e-41,1.8668800858324411e-23,1.0459679487821629e-27,2.438594467100199e-36,2.9077283483308625e-41,3.0256620106876058e-56,6.5459860041807072e-56,8.2309685014328877e-39,1.9566331266941739e-28,1.027042762545736e-38,1.0270427625861865e-38,3.5843919254285582e-49,4.6063891724296845e-50,2.9301695738895243e-45,2.3167693408053287e-30,1.7266499866356299e-40,1.1094799315082337e-41,7.7102805295107828e-89,3.4814481303973195e-51,1.5761396915617825e-45,7.3080731172542014e-89,1.958884310876526e-25,9.0328660631562333e-62,9.0328246762275514e-62,4.3631739677604686e-36,1.3273917390813585e-36,4.8865228597884533e-28,4.3630886568862754e-36,1.6071078597150653e-46,7.3080731172541023e-89,2.0617007841713115e-55,6.5459863403711041e-56,3.3619437124090208e-63,1.5337497972271801e-74,1.0214515802620054e-45,1.7524408959446436e-85,9.0732653770522581e-34,3.9756235570943072e-68,6.6568394704458326e-87,5.9088450001163516e-44,2.52181330880699e-98,1.1022205329614344e-91,1.3166203229833966e-101,4.6674067660168313e-61,2.7601355238201379e-45,4.8991149704423939e-63,3.5684462045290079e-44,9.5508451719794061e-55,3.739867741409391e-37,1.24539217234404e-54,8.0024185743370682e-56,2.1375361113544896e-47,2.2753754975252503e-48,1.0202941631789855e-65
4.375583130952135e-20,0.21052690533308827,76.950000000000003,0.0,0.0,0.0,0.99999999999996225,9.5,1.5321874788086497e-15,1.6642304571697927e-14,1.6642304573143657e-14,2.219309520026512e-24,2.2188803855802616e-24,2.8830188282963285e-15,6.0060462521321913e-23,1.4469455817610834e-24,1.5335597032131453e-35,3.7839837669264836e-40,3.0327929119511379e-40,7.6268141388105298e-23,4.2731203613064758e-27,1.9981313077971241e-35,2.3839259152917825e-40,5.0148215166518558e-55,1.0751801125333743e-54,6.7482451396379749e-38,7.9934847553252652e-28,8.4203170792443977e-38,8.4203170799087938e-38,5.8873741066367827e-48,7.5660079467215067e-49,2.4023299433039259e-44,9.4647586988201625e-30,1.4156118804544783e-39,9.0961866687839436e-41,1.0543156438802728e-86,5.7182889293355079e-50,1.2922145452284475e-44,9.9931718238473034e-87,8.0026814104806025e-25,2.9698032892963773e-60,2.9697760638148641e-60,3.5771934913339678e-35,1.0882759028263254e-35,1.9963039483331086e-27,3.577123548340242e-35,2.6396793859296244e-45,9.9931718238470319e-87,3.386349727666579e-54,1.0751802230654154e-54,1.1053334827314514e-61,1.0089517957440912e-72,8.3744771655407841e-45,2.3061135754266481e-83,3.7067249591310242e-33,1.3070980452994041e-66,8.7600260346970607e-85,4.8444281195452248e-43,6.6378269660030489e-96,1.4504601973830966e-89,3.4655610167861083e-99,1.5345411709256159e-59,2.262925584224291e-44,1.6107217558047846e-61,2.9256277941685401e-43,1.5687291284492821e-53,1.5278580010334034e-36,2.0455603111910575e-53,1.3143996521453542e-54,1.752481248231703e-46,1.8654902667423184e-47,3.353368780298929e-64
8.81279419332613e-20,0.21052690533308827,76.950000000000003,0.0,0.0,0.0,0.99999999999992406,9.5,3.0859550629524427e-15,3.3519007791900715e-14,3.3519007797742824e-14,8.9708039133279878e-24,8.9673293005743076e-24,5.8066432717149262e-15,2.4277398217997788e-22,5.8487852747371346e-24,1.2414318740063818e-34,3.0643681668895165e-39,2.4662255976146232e-39,3.0828800879917705e-22,1.7272635710281319e-26,1.6162374021476914e-34,1.9305561666124082e-39,8.1653649277896714e-54,1.7429131190580634e-53,5.4649036603378938e-37,3.2310943422094009e-27,6.8189910802807045e-37,6.8189910813577209e-37,9.5436858531957308e-47,1.226482459522357e-47,1.9454688997797181e-43,3.8258067932488912e-29,1.1463990436510516e-38,7.3663275895835619e-40,1.3944333678945572e-84,9.2695925161997004e-49,1.0464688412243801e-43,1.3216926376059174e-84,3.2348116424352637e-24,9.6324504613963604e-59,9.6322738160709334e-59,2.8969038086574829e-34,8.8131397272439068e-35,8.0693790680188663e-27,2.8968471670323922e-34,4.2790337135225959e-44,1.3216926376058454e-84,5.4894188322607059e-53,1.7429134775660538e-53,3.5851222997907295e-60,6.5464228540724113e-71,6.7818686919585957e-44,2.9928903158796201e-81,1.4983174933043789e-32,4.2395411864197888e-65,1.1368823013409468e-82,3.9231434770275725e-42,1.7230158189934342e-93,1.8824174314473811e-87,8.9957398691629225e-97,4.9772471353282555e-58,1.8325753572190651e-43,5.2243370151672064e-60,2.3692492385370745e-42,2.5429773270982401e-52,6.1758463219415683e-36,3.3159411816034602e-52,2.1306984720550104e-53,1.4192047503975158e-45,1.510722321708964e-46,1.0869214624049585e-62
1.768721631807412e-19,0.21052690533308827,76.950000000000003,0.0,0.0,0.0,0.99999999999984757,9.5,6.1934902312394547e-15,6.7272414209856786e-14,6.7272414233333703e-14,3.6071207955586847e-23,3.6043251373578364e-23,1.1653891300980334e-14,9.7618342294716501e-22,2.3517707438554746e-23,9.9843326290284495e-34,2.4664701044220199e-38,1.9891144352244823e-38,1.2396124204942385e-21,6.9452508486520834e-26,1.2978384709143689e-33,1.5538653158502116e-38,1.3179022610693899e-52,2.8069072802905251e-52,4.3986295575237525e-36,1.299208823555408e-26,5.4885172570805404e-36,5.4885172588150431e-36,1.5369807735289594e-45,1.9752120851215729e-46,1.5658823441520228e-42,1.5383400840217143e-28,9.2272142826239896e-38,5.9290609630853491e-39,1.814196039745597e-82,1.4928392156998234e-47,8.4228916346308652e-43,1.7195583554714481e-82,1.3007034251970406e-23,3.1031994679694989e-57,3.1030856421303246e-57,2.3316798469292644e-33,7.0935804700987369e-34,3.2446612918606967e-26,2.3316342568613192e-33,6.8912508413679535e-43,1.7195583554712611e-82,8.8405397871098431e-52,2.8069084352715418e-52,1.1549946750955626e-58,4.2184885994552336e-69,5.4586378686558375e-43,3.8574208986753609e-79,6.0246687372785663e-32,1.3658246713644131e-63,1.4652837512432138e-80,3.1576871528020428e-41,4.4415769524040992e-91,2.4261753550297408e-85,2.318914929765761e-94,1.6034862264213867e-56,1.4750153516198851e-42,1.6830895089584043e-58,1.9069779052629058e-41,4.0953859736780596e-51,2.4832806423168099e-35,5.3402203008936033e-51,3.4314241860853727e-52,1.1422994502330891e-44,1.2159606539322324e-45,3.4969317224514268e-61
3.5436060567570107e-19,0.21052690533308827,76.950000000000003,0.0,0.0,0.0,0.99999999999969469,9.5,1.2408560567811177e-14,1.3477922695604467e-13,1.3477922705008555e-13,1.4466167690644406e-22,1.4443750525373195e-22,2.3348383929225015e-14,3.9149314785275073e-21,9.4316518063415965e-23,7.9993226341801701e-33,1.9791869415109412e-37,1.5977876117831919e-37,4.971399403111217e-21,2.7853562221295299e-25,1.0365719390621051e-32,1.246856201504987e-37,2.1178627026877647e-51,4.50570600094672e-51,3.529622651517861e-35,5.2104084631713601e-26,4.4041894390151313e-35,4.4041894417993893e-35,2.4671932100425075e-44,3.1706525011149122e-45,1.2565215186237512e-41,6.169431768054794e-28,7.4042542351545563e-37,4.7576974827730375e-38,2.3411238794861637e-80,2.3963372904404984e-46,6.7588400705996087e-42,2.2189989615167831e-80,5.2164016145246842e-23,9.9635765540660754e-56,9.9628456205333803e-56,1.8710256501803085e-32,5.6921498106133309e-33,1.3012538651512339e-25,1.8709890670855586e-32,1.1061980446586985e-41,2.2189989615163e-80,1.4191024201153765e-50,4.505709709347069e-51,3.7084442029845902e-57,2.7090818828007375e-67,4.3802130140830709e-42,4.954547773322056e-77,2.4161616196140755e-31,4.3853766132079447e-62,1.8820394609871369e-78,2.5338450385749169e-40,1.1409853007829772e-88,3.1162279906861214e-83,5.957001089843471e-92,5.1484564636692353e-55,1.1836057607967648e-41,5.4040458220637796e-57,1.5302296685918866e-40,6.5739995013313374e-50,9.9590660390641041e-35,8.5722338641439511e-50,5.508195708701547e-51,9.1662336784597384e-44,9.7573168504296447e-45,1.1197658574058825e-59
