Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282)
0.0,0.38948727513195125,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2370910814798292e-24,0.38948727513195125,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,3.0395407563553585e-18,2.7048298410769468e-17,2.7047956323605346e-17,1.0336285064545396e-31,1.0336415372983816e-31,5.1819644807874974e-16,5.8990016333522862e-28,5.1783014712326725e-32,2.1587852731043908e-46,5.1848072849312345e-51,4.9487649234226139e-35,1.4653805072211191e-27,1.5042630115569899e-33,2.1630274710780274e-46,9.9618864425320792e-51,3.0083945356729075e-52,3.9671502168180647e-67,4.4540837752672309e-45,8.015388910802976e-33,3.5358151599478418e-46,3.5358151599478496e-46,6.7691935982229481e-61,1.0595370660368181e-61,4.4780016890797579e-48,2.8922660091112144e-33,1.1074282827341166e-47,8.6669209301494494e-49,9.9272170676577745e-108,6.9180444496350089e-61,8.4445858236132453e-50,9.0618479932279158e-108,1.7071798890792721e-29,1.3218536477432966e-75,1.321853646887918e-75,7.0979425384893212e-43,2.0935192970939197e-43,6.2347155440010949e-31,7.0974494159203607e-43,1.7909833160791503e-56,9.0618479932279128e-108,7.5334989227912054e-64,1.4184293672433842e-59,1.5972431891316504e-77,2.1758631289877194e-92,8.7912804969619749e-51,1.6530185107986706e-107,9.2142870699141873e-37,9.1849339584394482e-76,3.8565676038325113e-107,2.1753391105316748e-50,8.7741348010442328e-123,1.6901288549868251e-112,8.2918684451500098e-127,4.4127788455541329e-73,1.985932051797719e-50,3.9672955334889734e-74,2.3251499862419285e-50,4.4427410293918613e-65,5.3591762802044926e-40,4.4514177607853126e-65,3.6800318282446215e-66,2.047991096080399e-54,2.3100994937688848e-53,4.1163174991262334e-79,3.7078790915893867e-54,8.9563429902926012e-57,4.5162571726937001e-86,5.5009642303209025e-64,3.3321025765420354e-47,3.9274991934562836e-87,3.4208716417117063e-22,1.2141210033178511e-45,1.0159901091749744e-41,1.2141210033178511e-45,9.0344193871948153e-76,5.9390699132193605e-69,4.2773323100343935e-69,5.9497364964032339e-123,8.187755642177455e-125,7.7782210079221263e-54,6.198119001396975e-66,4.4438675059414791e-67,9.7749641675576863e-91,5.5606267161864499e-55,1.1127543341879328e-102,1.7405600190033194e-67,2.1058686899255443e-81,1.7241799562649126e-95,4.031611441689822e-96,5.2342257633806227e-83,5.9510502421118608e-72,9.6769129508418306e-104,5.9510502436621423e-72,3.025703457989754e-92,7.5604780568181881e-74,3.1580890947929323e-88,3.582230052392617e-83,4.043775956754397e-93,5.844129168499486e-29,5.4437667831750489e-74,4.7324811195777538e-65,9.7136489116715387e-81
3.463855028143522e-24,0.38948727513195125,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,8.5107141177949982e-18,7.5735235550153894e-17,7.5734277706094478e-17,6.2431161789840911e-31,6.2431946436786733e-31,1.4509500546135e-15,3.5629969865304394e-27,3.1276940886143957e-31,2.5629090589240972e-45,6.1556663459492428e-50,2.989054013747339e-34,8.8508982635799342e-27,9.0857485898041476e-33,2.5679440370769662e-45,1.1826751579075299e-49,3.5715659927508979e-51,8.8747187593277811e-66,5.2878882579777143e-44,4.8412949021247662e-32,4.197719757889885e-45,4.1977197578899037e-45,1.5142415311252706e-59,2.3701420352313076e-60,5.3162836052308748e-47,1.7469286694965998e-32,1.3147388572366226e-46,1.0289368528183557e-47,1.0578220137633277e-105,1.5475388711944408e-59,1.0025412289739119e-48,9.6561022361881923e-106,1.0311366529997302e-28,5.4546660875730052e-74,5.4546660811339295e-74,8.4266773816436362e-42,2.4854261094947255e-42,3.7657681885519775e-30,8.4260919465298831e-42,4.0063580387133295e-55,9.6561022361881884e-106,1.6852135750229798e-62,1.6839593864691484e-58,6.5913313855334624e-76,1.6379998558296297e-90,1.0437008205951022e-49,2.2564501889625424e-105,5.5654293902277777e-36,2.0546330353457433e-74,5.2644012402563399e-105,2.5825625920199732e-49,2.1646554150670148e-120,2.3071076031416319e-110,2.0458671549774603e-124,1.8209455463884415e-71,2.3576985315292178e-49,1.6371156103107869e-72,2.7604180636662289e-49,9.9382339729062082e-64,3.2369424732433248e-39,9.9576434740528366e-64,8.2320839985057721e-65,2.4313750292660529e-53,2.7425501189726572e-52,1.6986035110287714e-77,4.4019940572386207e-53,1.0633122402394436e-55,3.3997256737982775e-84,1.2305436944603824e-62,3.9558721786574384e-46,2.9565233624341771e-85,9.5784405968835786e-22,1.4414044551214328e-44,6.1365802595307433e-41,1.4414044551214328e-44,3.7280784564792657e-74,1.3285457715650605e-67,9.5682176190605059e-68,1.4678517729468966e-120,1.4893189811025952e-122,9.2343039805975313e-53,1.3845656231278466e-64,9.9407538549661469e-66,7.3583490421833239e-89,6.6015760374564228e-54,1.5189041825018862e-100,3.8935631401093696e-66,8.6899261133092963e-80,1.2979196355432161e-93,3.0348964642421353e-94,2.1599179170907663e-81,1.3312261343719461e-70,1.3208938489982671e-101,1.331226135011674e-70,2.277674041603739e-90,1.6912717959405921e-72,1.3032116733092967e-86,1.4782172613675772e-81,1.7180024284358203e-91,3.5298540168609543e-28,2.2463856056115455e-72,1.0586370965250513e-63,4.0083644203681653e-79
7.917382921470907e-24,0.38948727513195125,76.950000000000003,0.0,0.0,0.0,0.99999999999999634,9.5,1.9453060840674249e-17,1.7310910982892033e-16,1.7310692047107093e-16,3.0057916967678093e-30,3.0058292280583945e-30,3.3164572676549993e-15,1.7154296749573303e-26,1.5058500678192552e-30,2.5162775806853271e-44,6.0437850263166878e-49,1.4391008397314165e-33,4.26132651494557e-26,4.3743968376076279e-32,2.5212180728812777e-44,1.1611574820369172e-48,3.5065846707804113e-50,1.7535298174193495e-64,5.191680048390896e-43,2.3308750952611608e-31,4.1213461504346129e-44,4.1213461504346478e-44,2.9918860938830302e-58,4.6830012584796291e-59,5.2195587686530558e-46,8.4107095543967967e-32,1.2908184062763916e-45,1.0102163035903601e-46,2.4073554033493997e-103,3.0576760268285566e-58,9.8430092358345416e-48,2.1975029438915683e-103,4.9644791173802618e-28,2.1578116580770139e-72,2.1578116529858304e-72,8.2733618227053937e-41,2.4402060926456236e-41,1.8130552801584899e-29,8.2727870390393813e-41,7.9158883553268773e-54,2.1975029438915661e-103,3.3296980414279605e-61,1.6533213996585581e-57,2.6075183091437512e-74,1.2951439806666596e-88,1.0247116547127944e-48,3.564712445116776e-103,2.6795146799304596e-35,4.0596088526233324e-73,8.3166367726737371e-103,2.5355752672257072e-48,6.8333163774429251e-118,3.6447404096044769e-108,6.4585778659205363e-122,7.2034794951002105e-70,2.3148023984438172e-48,6.4762665491805343e-71,2.7101948239630108e-48,1.9636275593929878e-62,1.5584484622831834e-38,1.967462549779866e-62,1.6265210756230777e-63,2.3871384215894629e-52,2.6926519698447477e-51,6.719450342032441e-76,4.3219038682380621e-52,1.0439984602873982e-54,2.6880608632632209e-82,2.4313469758823878e-61,3.8838987625562669e-45,2.337634122409326e-83,2.1893578507590523e-21,1.415179441412973e-43,2.9544992376498051e-40,1.415179441412973e-43,1.4747907629987199e-72,2.624980785060467e-66,1.8905169783796127e-66,4.6336684756033942e-118,6.7778287898450649e-120,9.0662944068104812e-52,2.7273643597223448e-63,1.9641254452254976e-64,5.8180253280489347e-87,6.4814665003865235e-53,2.3994963437393337e-98,7.6930246433500764e-65,3.4376483523200935e-78,1.0262260284428904e-91,2.3996013773578685e-92,8.5444204841319038e-80,2.6302785081886516e-69,2.0866885466883992e-99,2.6302785107193515e-69,1.8008883768836428e-88,3.3417679384478905e-71,5.1555276273651083e-85,5.8476804827435515e-80,6.8820635443864818e-90,1.6994727608305451e-27,8.8864780609200862e-71,2.0916885071251499e-62,1.5856691018978334e-77
1.6824438708125678e-23,0.3894872751319512,76.950000000000003,0.0,0.0,0.0,0.99999999999999223,9.5,4.1337754286432664e-17,3.6785685838644354e-16,3.6785220600101647e-16,1.3127082031952073e-29,1.3127243778835264e-29,7.0474716936259942e-15,7.4917320741350761e-26,6.5764428683083715e-30,2.2256159445120176e-43,5.3457052049780809e-48,6.2849314527479669e-33,1.8610332441155936e-25,1.9104140246772761e-31,2.2299806320778106e-43,1.0270306410995829e-47,3.1015344304974893e-49,3.1203409749589061e-63,4.5919822088222626e-42,1.0179543916716229e-30,3.6452839972985891e-43,3.6452839972986504e-43,5.3239014478515853e-57,8.3331505275063262e-58,4.6166406210832133e-45,3.6731778314693406e-31,1.1417142622027262e-44,8.9352488015618183e-46,4.0683242061994543e-101,5.4409711185659391e-57,8.7060302003572839e-47,3.7136828269686623e-101,2.1681184590663365e-27,7.7010765260400423e-71,7.7010764896503941e-71,7.317694839149658e-40,2.1583346544331449e-40,7.9180887404987617e-29,7.3171864495067346e-40,1.4085900383655208e-52,3.7136828269686547e-101,5.9250197594869483e-60,1.4623442117710284e-56,9.3061346127482476e-73,9.257235353047879e-87,9.0634585408729575e-48,5.0992535890976889e-101,1.170214457878496e-34,7.223857800159797e-72,1.189679127425396e-100,2.2426876093727082e-47,1.9556262318767042e-115,5.2137320765401569e-106,1.848414638042249e-119,2.570870664966291e-68,2.0474165057450083e-47,2.3113335300028111e-69,2.3971366298147593e-47,3.494170325409269e-61,6.806153875856783e-38,3.5009944860371533e-61,2.8943073493769725e-62,2.1113969004111643e-51,2.3816201739022164e-50,2.39808383248007e-74,3.8226750263360916e-51,9.234620917388162e-54,1.9213135069403268e-80,4.3264520371274805e-60,3.4352644709234029e-44,1.6708431252702574e-81,4.652385433045722e-21,1.2517101894665124e-42,1.2903074388259593e-39,1.2517101894665124e-42,5.2634234776897031e-71,4.6710066895218878e-65,3.364068286911037e-65,1.3261091856201638e-115,2.3009231469453044e-117,8.0190347302781942e-51,4.8237765186128779e-62,3.4950562852202864e-63,4.1584812305892473e-85,5.7327837193187321e-52,3.4324012882180405e-96,1.3689326316107298e-63,1.2268722791143329e-76,7.3350345471241792e-90,1.7151347279689855e-90,3.0494429792246891e-78,4.6804400609976411e-68,2.9849399331121989e-97,4.6804400700295283e-68,1.2871997097687346e-86,5.9468545571824867e-70,1.8400799421319943e-83,2.0869956278691864e-78,2.4706213880817624e-88,7.4220440298469203e-27,3.1715208986470699e-69,3.7220479399408267e-61,5.6591403857648861e-76
3.463855028143522e-23,0.38948727513195125,76.950000000000003,0.0,0.0,0.0,0.9999999999999839,9.5,8.5107141177949107e-17,7.5735235550145141e-16,7.5734277706087771e-16,5.4802983412034443e-29,5.4803640603882934e-29,1.450950054511998e-14,3.1276506658032865e-25,2.7455354399061534e-29,1.870759123958683e-42,4.4934054840947102e-47,2.6238351623997901e-32,7.7694474487893189e-25,7.9756024872742479e-31,1.8744192906497046e-42,8.6328113359691535e-47,2.6070265703018404e-48,5.2629338152356727e-62,3.8598377340753214e-41,4.2497592005045404e-30,3.0640808445659947e-42,3.0640808445660973e-42,8.9795379484062797e-56,1.4055076362982905e-56,3.8805646152025213e-44,1.5334794379390526e-30,9.5967963066579669e-44,7.5106150062711613e-45,5.9569227969768882e-99,9.1769930599358884e-56,7.3179429607259264e-46,5.4376496983701519e-99,9.0514677713192437e-27,2.6020196977498647e-69,2.6020196731395272e-69,6.1509634361731658e-39,1.8142103263735798e-39,3.3056461810850128e-28,6.1505361040462691e-39,2.3757929834312362e-51,5.4376496983701292e-99,9.9934118429614247e-59,1.229188687029884e-55,3.1443465291444058e-71,6.260700990843952e-85,7.6183830176804362e-47,6.9000624366578828e-99,4.8854150044630522e-34,1.2184094575619456e-70,1.6098160476621579e-98,1.8851140677228313e-46,5.2935802182232688e-113,7.0549691718675793e-104,5.0034218164590274e-117,8.6863909306888981e-67,1.7209769368636642e-46,7.8094736099410013e-68,2.0149377756752628e-46,5.8934289714192033e-60,2.8414352637617908e-37,5.904938916221384e-60,4.8816723855574355e-61,1.7747563159986897e-50,2.0018952593566904e-49,8.1023111610639506e-73,3.2131886912063162e-50,7.7632188569080265e-53,1.2993852550108405e-78,7.2971937278533246e-59,2.8875467766711919e-43,1.129992014624849e-79,9.5784405982001801e-21,1.0521378353322595e-41,5.3867795604056535e-39,1.0521378353322595e-41,1.7783918337089429e-69,7.878314029231849e-64,5.6739737464947593e-64,3.5895741379736019e-113,6.7551982055054668e-115,6.7404818738408331e-50,8.0384668020753663e-61,5.8949232673233094e-62,2.8123828697432459e-83,4.8187501422181727e-51,4.6445377083773597e-94,2.3089049706097673e-62,4.1453241441740653e-75,4.9606874160189585e-88,1.1599464469072965e-88,1.0303378618238454e-76,7.8942462397220066e-67,4.03905747391802e-95,7.8942462702387152e-67,8.7053378697412797e-85,1.0031444417430731e-68,6.2179493290813831e-82,7.0514865421462957e-77,8.3723607905924804e-87,3.0985572724057423e-26,1.0715852316460025e-67,6.2777778766731598e-60,1.9120956280958927e-74
7.02667734280543e-23,0.38948727513195125,76.950000000000003,0.0,0.0,0.0,0.99999999999996736,9.5,1.7264591496098055e-16,1.5363433497313122e-15,1.5363239191804825e-15,2.2388806901051064e-28,2.2389060618735358e-28,2.9433558246315927e-14,1.277747349621224e-24,1.1216408117551555e-28,1.5337528602961525e-41,3.6839725214556231e-46,1.0719222774739804e-31,3.174072793440391e-24,3.2582938535521305e-30,1.5367395566872022e-41,7.077700248558086e-46,2.137397892244712e-47,8.6444027174903311e-61,3.1645281757651504e-40,1.7361652996328619e-29,2.5121186003403919e-41,2.5121186003405627e-41,1.4748918040212131e-54,2.308550512916669e-55,3.1815213249180192e-43,6.2647638655987443e-30,7.8680334235769532e-43,6.1576559534525426e-44,8.1455880517579657e-97,1.5073238655802872e-54,5.9996917701271849e-45,7.4355260127213081e-97,3.6978199264509959e-26,8.5548714294773193e-68,8.5548712675823042e-68,5.0429314500036015e-38,1.4873992353744118e-38,1.3504643254012475e-27,5.0425810973088887e-38,3.9022471089497498e-50,7.4355260127212447e-97,1.6414208958734114e-57,1.0077635833241594e-54,1.033794581756234e-69,4.1185072777233824e-83,6.2460106807700415e-46,9.0801143233484579e-97,1.9958514364870786e-33,2.0012420253065799e-69,2.1184320992070784e-96,1.5455304064803404e-45,1.3933604536224439e-110,9.2839633362614595e-102,1.3169919926272568e-114,2.8558952907361943e-65,1.4109608660931783e-45,2.5675840614708459e-66,1.651967725909433e-45,9.6799747789494303e-59,1.1608190189951864e-36,9.6988798993701681e-59,8.018161551948838e-60,1.4550524541097425e-49,1.6412746827283789e-48,2.6636837721977281e-71,2.6343662186546307e-49,6.3663359876558474e-52,8.5477902148784641e-77,1.1985662609160417e-57,2.3673853035260757e-42,7.4334649007600331e-78,1.9430550930833578e-20,8.6260616471378658e-41,2.2006752173965665e-38,8.6260616471378658e-41,5.8469632595391149e-68,1.2940083879618e-62,9.3194560972197473e-63,9.4483703532262115e-111,1.8498607505116551e-112,5.5262542828616001e-49,1.289385888183051e-59,9.6824291486550384e-61,1.850079388102742e-81,3.9507025032099477e-50,6.1119504862278044e-92,3.7923833474290239e-61,1.3628918843010395e-73,3.2633058744772104e-86,7.6305151604942588e-87,3.3875254650793423e-75,1.2966323052983221e-65,5.3151725407202393e-93,1.2966323153315484e-65,5.7266620177671886e-83,1.6480636263661915e-67,2.0448090748830799e-80,2.3183744977607803e-75,2.7571687525787345e-85,1.2658617436333223e-25,3.5231377923230902e-66,1.0311269013419634e-58,6.2865520486119438e-73
1.4152321972129247e-22,0.38948727513195125,76.950000000000003,0.0,0.0,0.0,0.99999999999993427,9.5,3.4772346252703749e-16,3.0943253381904146e-15,3.0942862034192185e-15,9.0499137155635774e-28,9.0500043340481962e-28,5.9281673641539676e-14,5.1648590806847529e-24,4.5338514955499799e-28,1.2420590707744906e-40,2.983379344152926e-45,4.3328812311806227e-31,1.2830109719902593e-23,1.3170544712420647e-29,1.2444548910327629e-40,5.7317050704689982e-45,1.7309202289227229e-46,1.4012963793837254e-59,2.5627169623390147e-39,7.0178577300534682e-29,2.0343787736254483e-40,2.0343787736257248e-40,2.3908631704532993e-53,3.742259863054233e-54,2.576478454678025e-42,2.5323177191065617e-29,6.3717374546913421e-42,4.9866294376042666e-43,1.0773319974587131e-94,2.4434369404689111e-53,4.8587059470442882e-44,9.8341949538121607e-95,1.4947179371202903e-25,2.7747520104553975e-66,2.7747519054123922e-66,4.0838966341832023e-37,1.2045344639800113e-37,5.4587927227207033e-27,4.0836129094895234e-37,6.3257107215679081e-49,9.8341949538119943e-95,2.6608140052984697e-56,8.1611377953351513e-54,3.3530915233744206e-68,2.6722309396568274e-81,5.0581813873390057e-45,1.178424986305184e-94,8.067550615451275e-33,3.244102261812987e-68,2.7493192581096622e-94,1.2516105936951403e-44,3.6168236740554215e-108,1.2048806871165929e-99,3.4185977945430397e-112,9.2630279171718071e-64,1.1426326848469098e-44,8.3278973558126248e-65,1.3378062945939093e-44,1.5691656243870896e-57,4.6922160737621572e-36,1.5722302263680987e-57,1.2997785401508478e-58,1.1783392021104408e-48,1.3291467904920616e-47,8.6384349701296571e-70,2.1333780594342171e-48,5.1581832710538157e-51,5.5460979359389092e-75,1.9429275583667013e-56,1.9171699938134476e-41,4.8230856523381739e-76,3.9134771605398311e-20,6.9856083646531817e-40,8.8954810919245609e-38,6.9856083646531817e-40,1.896448517544541e-66,2.0976204799963076e-61,1.5107036272068549e-61,2.4525663373880725e-108,4.8964934595663301e-110,4.4753039959648701e-48,1.9964933468260157e-58,1.5695634831714086e-59,1.2003946304464136e-79,3.1993813159766002e-49,7.9321328360209214e-90,6.147616831058516e-60,4.4205071580397215e-72,2.1173441935509686e-84,4.9509385829086059e-85,1.0987357646132925e-73,2.1018968099202908e-64,6.8980687483254066e-91,2.1018968424628184e-64,3.7156537070628638e-81,2.6728656151951655e-66,6.635424879624389e-79,7.519592112158015e-74,8.9533062706276459e-84,5.1168155165443927e-25,1.1427212976677082e-64,1.6715011413490162e-57,2.0390280653823216e-71
2.8403611230776876e-22,0.3894872751319512,76.950000000000003,0.0,0.0,0.0,0.99999999999986799,9.5,6.9787855765912762e-16,6.2102893151061471e-15,6.2102107718948008e-15,3.6389305020088208e-27,3.6389573386072881e-27,1.1897790440331465e-13,2.0767671198978606e-23,1.8230417453545317e-27,9.9969504579629817e-40,2.4012843966409226e-44,1.7422324863569517e-30,5.1589306880843514e-23,5.2958181027017027e-29,1.0015865765705363e-39,4.6133747387445984e-44,1.3931951868942069e-45,2.2567457736795026e-58,2.0626975620975614e-38,2.8218497275857809e-28,1.6374450239619171e-39,1.6374450239623628e-39,3.8504114257275001e-52,6.0267941401413112e-53,2.0737740076752399e-41,1.0182338170535462e-28,5.1285286253029722e-41,4.0136731959043671e-42,1.4016384648306303e-92,3.9350798635887903e-52,3.9107092425672322e-43,1.2794557249229845e-92,6.0101950834280197e-25,8.9392330112281708e-65,8.9392323343351823e-65,3.287075300788702e-36,9.6951412832975421e-37,2.1949565441824164e-26,3.2868469344749646e-36,1.0187362102156127e-47,1.2794557249229416e-92,4.2851589254668153e-55,6.5688049968319074e-53,1.0802436701810319e-66,1.7219761513149446e-79,4.0712644312209192e-44,1.5188276362137214e-92,3.2439266200807875e-32,5.2245353772331009e-67,3.5434941710647769e-92,1.0074050933790371e-43,9.3234271992306099e-106,1.5529253988119656e-97,8.8124519917327399e-110,2.9842078310040032e-62,9.1969018166776729e-44,2.6829430641229426e-63,1.0767828924013363e-43,2.5270928597751372e-56,1.8867194461362494e-35,2.5320283083774296e-56,2.0932532688970257e-57,9.4842990303604379e-48,1.0698129693387251e-46,2.7822407596570161e-68,1.7171282538982307e-47,4.1558746133718833e-50,3.5738839421419249e-73,3.1290249346489876e-55,1.5431051952605017e-40,3.1079776384951559e-74,7.8543212991719508e-20,5.6226253413166262e-39,3.576833827749044e-37,5.6226253413166262e-39,6.1096615143104804e-65,3.3780794257044757e-60,2.4328760226681565e-60,6.3222113057220263e-106,1.2745208371344568e-107,3.6021139984358721e-47,2.9503583911274424e-57,2.5277335825984161e-58,7.7352963180766529e-78,2.5751404229782776e-48,1.0223422091875382e-87,9.9005473858991038e-59,1.4241252646695443e-70,1.3644083650153994e-82,3.1903655682628136e-83,3.5397236233654434e-72,3.3850399093525429e-63,8.8906565099350354e-89,3.385040014192626e-63,2.3943527997070512e-79,4.3087016213641539e-65,2.1397109047250943e-77,2.4225367644973898e-72,2.8881694926260896e-82,2.057448978360022e-24,3.6814288757926588e-63,2.6919010586305011e-56,6.5690003770601638e-70
5.690618974807213e-22,0.38948727513195125,76.950000000000003,0.0,0.0,0.0,0.99999999999973543,9.5,1.3981887479232128e-15,1.2442217268927708e-14,1.2442059908838396e-14,1.4593738864078333e-26,1.459376948507371e-26,2.3837036581217469e-13,8.3287650030152287e-23,7.3112127709900284e-27,8.0215676823595179e-39,1.9268799625723399e-43,6.9871315028418119e-30,2.0689619436006679e-22,2.1238599204351032e-28,8.0361550276506572e-39,3.7019424484587161e-43,1.1179513971154511e-44,3.6225776730149941e-57,1.6551848885780806e-37,1.1316879510683869e-27,1.3139465090355841e-38,1.3139465090362995e-38,6.1807630626854069e-51,9.6743393225076776e-52,1.6640730374934251e-40,4.0835730204947657e-28,4.1153212273400991e-40,3.2207199634952616e-41,1.8087401882639826e-90,6.3166746629512873e-51,3.1380978769224708e-42,1.6510698349408994e-90,2.4103570396767614e-24,2.870200116863502e-63,2.870199682167777e-63,2.6376709138976529e-35,7.7797402945735053e-36,8.8027574526118968e-26,2.6374876643180656e-35,1.635297232106843e-46,1.651069834940788e-90,6.878629089332555e-54,5.2710704500776002e-52,3.4684367806406057e-65,1.1058409569226668e-77,3.2669333049395271e-43,1.9508135743057687e-90,1.3009596628041471e-31,8.386564254314452e-66,4.5513370738226719e-90,8.0837914313946806e-43,2.3950728592276419e-103,1.9946094574343704e-95,2.2638109904689664e-107,9.5816654926072975e-61,7.3799343484527627e-43,8.6143675065819659e-62,8.6405045772605027e-43,4.0565436949651059e-55,7.5665888348433196e-35,4.0644661881078953e-55,3.3601350820078673e-56,7.6105526713151804e-47,8.5845753213223717e-46,8.9284104842239451e-67,1.3778872699045299e-46,3.3414396826982811e-49,2.2951224875526626e-71,5.0227779914529843e-54,1.2382447285488951e-39,1.995920820459405e-72,1.5736009591312881e-19,4.5118027282098026e-38,1.4344703462862901e-36,4.5118027282098026e-38,1.9616841794659366e-63,5.4223290433759611e-59,3.9050942397795452e-59,1.624097679242736e-103,3.2899550141032001e-105,2.8904696303102393e-46,4.0639470413536949e-56,4.0575721441373272e-57,4.9675514980280259e-76,2.0663880127552719e-47,1.3131170893906977e-85,1.589257119469522e-57,4.5725675593349479e-69,8.7621321074932874e-81,2.048829752733637e-81,1.1365310207023641e-70,5.433738390169792e-62,1.1419339723320127e-86,5.4337387267892818e-62,1.5376360968828764e-77,6.9296921486138073e-64,6.8831370924646651e-76,7.778257501504253e-71,9.2925010203497317e-81,8.2512903288497864e-24,1.1820296045132335e-61,4.3210973652484862e-55,2.1091681632588038e-68
