Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534)
2.6151888672807627e-22,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999964817,9.5,1.0919600805078108e-15,1.2880661105222378e-14,1.2880661105225814e-14,9.1242910929180429e-27,9.1242391829532126e-27,3.2504009695614231e-13,5.3892029101360338e-23,4.4200628564751317e-27,2.8971358033214044e-39,9.8120107054850544e-44,8.4883230061588315e-42,1.4602626485183876e-22,1.7399167930082136e-28,2.8066498156032932e-39,2.0880064979185427e-43,9.8939957125376352e-57,1.8173141183934758e-57,9.1176438859380856e-38,1.0101766566895532e-27,7.0899479308159012e-39,7.0899479308181615e-39,1.946994411282414e-51,3.134551788766776e-52,2.4925145697683805e-40,2.587128825852586e-29,1.522249420838248e-41,1.2253680896635768e-42,3.0900571036377648e-91,1.6367376246834829e-52,3.8055181891350339e-44,2.8074912514432619e-91,1.7212824301215613e-24,4.489774327745726e-65,4.4897740084740611e-65,1.2618462300981096e-35,3.7037265715511455e-36,8.8763490150067382e-26,1.2617451095702517e-35,4.5692632068127001e-47,2.8074912514430929e-91,4.585904120491053e-56,1.8173141286209844e-57,1.0227508361259341e-65,1.7066144022323791e-78
5.232649836096956e-22,0.3051002908603,76.950000000000003,0.0,0.0,0.0,0.99999999999929601,9.5,2.1848688665585503e-15,2.5772513054111152e-14,2.5772513054124907e-14,3.6520942959157709e-26,3.6520527366011504e-26,6.5036259150212512e-13,2.1570856297024052e-22,1.7691770433806054e-26,2.3193381851156013e-38,7.8555747004855865e-43,6.7975427450344523e-41,5.8448561452118441e-22,6.9642015260469097e-28,2.2466919259588209e-38,1.6716746855915248e-42,1.5847587950388125e-55,2.9100703645704201e-56,7.2996590228793156e-37,4.0433392230709738e-27,5.6762693364776874e-38,5.6762693364813061e-38,3.117727799013773e-50,5.0193668801977974e-51,1.9955272090612161e-39,1.0355257555874813e-28,1.2187251267769763e-40,9.8103954720186259e-42,3.9633052463535066e-89,2.6209127101159485e-51,3.0467284699543027e-43,3.6008864667433302e-89,6.8896155082437701e-24,1.4379366478342702e-63,1.4379364433257298e-63,1.0102442397843067e-34,2.9652332791091199e-35,3.5528528462399557e-25,1.0101632818790494e-34,7.3167744385524854e-46,3.6008864667428983e-89,7.3434215890320793e-55,2.9100703973259859e-56,3.2755565455479503e-64,1.093167082618463e-76
1.0467571773729342e-21,0.3051002908603,76.950000000000003,0.0,0.0,0.0,0.99999999999859157,9.5,4.3706864386584756e-15,5.1556216951770858e-14,5.1556216951825877e-14,1.4613134255692749e-25,1.4612801658401479e-25,1.3010075793657996e-12,8.6311522436467354e-22,7.0790126266649641e-26,1.8559641327556763e-37,6.2868472515629905e-42,5.4407892865503005e-40,2.3387037833309539e-21,2.7865877396671126e-27,1.7975012006692279e-37,1.3378476283367678e-41,2.5369904452074822e-54,4.6580077208854232e-55,5.8419457277986124e-36,1.6178623585262813e-26,4.5427406032434347e-37,4.5427406032492288e-37,4.9903948675991695e-49,8.0342558450679372e-50,1.597028244994937e-38,4.143451857239121e-28,9.7535049252952076e-40,7.8512979444861805e-41,5.078177653319524e-87,4.1951671908085361e-50,2.4383087400158782e-42,4.6138109610496654e-87,2.7567436143019118e-23,4.6033321798481805e-62,4.603330870434566e-62,8.0850242435887069e-34,2.373087814298759e-34,1.4216039165479577e-24,8.084376334341286e-34,1.1711604110365497e-44,4.6138109610485582e-87,1.175425692765329e-53,4.6580078257473181e-55,1.0486189432067312e-62,6.9992593077760592e-75
2.0937415648994114e-21,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999718281,9.5,8.7423215828521054e-15,1.031236247466189e-13,1.03123624746839e-13,5.8462052515664347e-25,5.8459391288538465e-25,2.6022975501799862e-12,3.453022916890374e-21,2.832066002946063e-25,1.4847152442797779e-36,5.0304330278110575e-41,4.3537337485133487e-39,9.3563379855854298e-21,1.1148165475566148e-26,1.4374183917804214e-36,1.0704810865263863e-40,4.0602861371386345e-53,7.4543287529213554e-54,4.6744441686046529e-35,6.4725029226031894e-26,3.6348826836115912e-36,3.6348826836208637e-36,7.9862564527347682e-48,1.2857425047971333e-48,1.2778652344854607e-37,1.6576505483811905e-27,7.8042857692302321e-39,6.2822312221097066e-40,6.5033634726990397e-85,6.7136333131274521e-49,1.9510174580783245e-41,5.9086727016323741e-85,1.1028769517052312e-22,1.4733757681812358e-60,1.4733749299780042e-60,6.4692477716605657e-33,1.8988308001821057e-33,5.6873413393703043e-24,6.4687293458901535e-33,1.8742379489827244e-43,5.9086727016295361e-85,1.8810637956535256e-52,7.4543290885499693e-54,3.3562861252644207e-61,4.4804829624201652e-73
4.187710339952366e-21,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999436517,9.5,1.7485591871214486e-14,2.0625844033442957e-13,2.0625844033530996e-13,2.3386724235168995e-24,2.3384595141778712e-24,5.2048774721557064e-12,1.3813215741770271e-20,1.1329185949959458e-24,1.1873444056791591e-35,4.0247285952836655e-40,3.483428002584468e-38,3.74283977426391e-20,4.4596291194104628e-26,1.1486770584478797e-35,8.564657330180053e-40,6.4973391248041182e-52,1.1928138991949995e-52,3.7399103960241306e-34,2.5892118816246712e-25,2.9081822566579031e-35,2.9081822566727401e-35,1.277931005229316e-46,2.0573972812294171e-47,1.0223892462256452e-36,6.6311418435481619e-27,6.2440213269884201e-38,5.0262621510931742e-39,8.3264153851495411e-83,1.0742906031130475e-47,1.5609621707801407e-40,7.5650182395320015e-83,4.4118668300798094e-22,4.7152964153839541e-59,4.7152910503170319e-59,5.1758895952452464e-32,1.5192088675286035e-32,2.2751216717472669e-23,5.1754748153568506e-32,2.9990857752945282e-42,7.5650182395247332e-83,3.0100082642282891e-51,1.1928140066074425e-52,1.0741244311520241e-59,2.8678153133907534e-71
8.375647890058275e-21,0.3051002908603,76.950000000000003,0.0,0.0,0.0,0.99999999998873002,9.5,3.497213244783974e-14,4.1252807150250953e-13,4.1252807150603045e-13,9.3550703492337034e-24,9.3533671383862099e-24,1.0410037237496537e-11,5.5255110837893283e-20,4.5318587485512516e-24,9.4905680670320703e-35,3.2199358201510351e-39,2.7869188499109927e-37,1.4971968181896511e-19,1.7839242361529255e-25,9.1680574961932269e-35,6.8520439217982791e-39,1.0396447822261623e-50,1.9085991930071532e-51,2.9920703307234114e-33,1.0357268965697682e-24,2.3266562549198069e-34,2.326656254943547e-34,2.0447935400389925e-45,3.2920030530096421e-46,8.1795021110497811e-36,2.6525646717648629e-26,4.9954540255847613e-37,4.0212005617446665e-38,1.065916238950996e-80,1.7189523720913376e-46,1.2488290248131295e-39,9.6844505308403653e-81,1.7648185278177886e-21,1.5089730836988617e-57,1.5089696498813426e-57,4.1409081973924887e-31,1.21542477602204e-31,9.1008568775987964e-23,4.1405763579019089e-31,4.7987812559095908e-41,9.6844505308217547e-81,4.8162582013416408e-50,1.908599536745016e-51,3.4373786246263833e-58,1.8354997117098647e-69
1.6751522990270093e-20,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.9999999999774597,9.5,6.9945213600692189e-14,8.2506733380850903e-13,8.2506733382258634e-13,3.7421042687477348e-23,3.7407418992366072e-23,2.0820356453735757e-11,2.2102493631198609e-19,1.8127803532841965e-23,7.5788497783384712e-34,2.5760099417974857e-38,2.2296057181260839e-36,5.9889090143681026e-19,7.1358421237131023e-25,7.2999859613388588e-34,5.4817537001566035e-38,1.6634881123555997e-49,3.0538359843128629e-50,2.3937130426365771e-32,4.1429918748408393e-24,1.8613691846123088e-33,1.8613691846502937e-33,3.2717526422585466e-44,5.2673387274745301e-45,6.5437567670169437e-35,1.0610474563577084e-25,3.9964577952975713e-36,3.2170367258830835e-37,1.3644592366579907e-78,2.750393669621765e-45,9.9908694103256963e-39,1.2396882134378807e-78,7.0594176140177209e-21,4.8288338722295377e-56,4.8288118953218686e-56,3.3128051037414671e-30,9.7236287497666773e-31,3.6404167148209996e-22,3.3125396261245808e-30,7.67824508290401e-40,1.2396882134331173e-78,7.7062091442855172e-49,3.0538370843027921e-50,1.0999899291051434e-56,1.1747510390798662e-67
3.3503273190693734e-20,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999995491895,9.5,1.3989137590480489e-13,1.650145858299902e-12,1.6501458583561572e-12,1.4968569307781691e-22,1.4957673924709736e-22,4.1640993628444547e-11,8.841087083587123e-19,7.2511949574735144e-23,6.0412115555178174e-33,2.0608326383941795e-37,1.7837129212598943e-35,2.3955878922638231e-18,2.8543658853555419e-24,5.7853958881623919e-33,4.3854365238984865e-37,2.6616262803400535e-48,4.8861984671369105e-49,1.9149930992022348e-31,1.6572136071758798e-23,1.4891130196512286e-32,1.4891130197120053e-32,5.2348700680597734e-43,8.4278487711215203e-44,5.2350671537645623e-34,4.2442330043055003e-25,3.1972037253952232e-35,2.5736597926696518e-36,1.7465631524113723e-76,4.4006856001931049e-44,7.9927904986267336e-38,1.5868511833157542e-76,2.8237956733064873e-20,1.5452427319574725e-54,1.5452286666912337e-54,2.65027539814284e-29,7.7789949095710611e-30,1.4561814182893681e-21,2.6500630139718332e-29,1.2285347729885383e-38,1.5868511833035582e-76,1.2330091557161435e-47,4.8862019871500574e-49,3.5200131459128765e-55,7.5185051713345072e-66
6.700677359154102e-20,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999990983746,9.5,2.7978370050666141e-13,3.3003029068005475e-12,3.3003029070251343e-12,5.9874581484701513e-22,5.9787477082733706e-22,8.3282262946784114e-11,3.5364525766155683e-18,2.9004925606903463e-22,4.7982596867960896e-32,1.6486762573380115e-36,1.4269818214737204e-34,9.5823996461276005e-18,1.1417521611754565e-23,4.543220094681234e-32,3.50834046587357e-36,4.2586387089385673e-47,7.8179632883769139e-48,1.5320034711659e-30,6.6288881383497655e-23,1.1912974836804682e-31,1.1912974837777113e-31,8.3758430435954587e-42,1.3484642620562295e-42,4.1880779521190586e-33,1.6977018400851536e-24,2.5577774300306272e-34,2.0589398405394091e-35,3.9135470110417428e-74,7.0411409949164041e-43,6.3942705222957476e-37,3.5556783034418152e-74,1.1295239364035709e-19,4.94478099882629e-53,4.9446909823449098e-53,2.1202326788961089e-28,6.2232321988288456e-29,5.8247546537938878e-21,2.1200627712599833e-28,1.9656679361930671e-37,3.5556783033872528e-74,1.9728272373163948e-46,7.8179745524873617e-48,1.1264110447957389e-53,4.8118730498696919e-64
1.3401377439323558e-19,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999981967447,9.5,5.5956834968489898e-13,6.6006170018755578e-12,6.6006170027704323e-12,2.3949893274076757e-21,2.3880304047360378e-21,1.6656478145915607e-10,1.4145844327937158e-17,1.1601998348458306e-21,3.7841823388527577e-31,1.3189455006539941e-35,1.1415902840545634e-33,3.832969076945068e-17,4.5670202574620825e-23,3.5054197765070711e-31,2.8066333862241261e-35,6.8138526054630227e-46,1.2508768340063999e-46,1.2256062547965041e-29,2.6515619932978376e-22,9.530408127419907e-31,9.5304081289757985e-31,1.3401384055853965e-40,2.157549311176685e-41,3.3504713059814362e-32,6.7908246575035301e-24,2.0462268502523125e-33,1.6471564214687725e-34,5.0261492072238621e-72,1.1265859063599462e-41,5.1154318832374199e-36,4.566540185266308e-72,4.5181066119261332e-19,1.5823170507144873e-51,1.5822594423080619e-51,1.6961908220672583e-27,4.9785994788172029e-28,2.3299072702842329e-20,1.6960548966893268e-27,3.145078062388946e-36,4.5665401851259275e-72,3.1565337589816272e-45,1.2508804385299864e-46,3.6045235861172661e-52,3.0796059816673959e-62
