Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663)
0.0,0.437365317538088,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2133360423430206e-27,0.437365317538088,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,1.3870306840516434e-19,1.3020255820881541e-18,1.3018303197517932e-18,1.3527838734972679e-35,1.3529867224784037e-35,4.7433805532406395e-16,1.6715631847490369e-30,5.6372630521996308e-36,2.5573951808828292e-52,1.040562031726578e-56,2.3431444425136275e-38,6.7218770420948213e-30,9.1529832826839016e-37,2.1314135295020602e-52,3.2199258726318317e-56,6.5000264778629687e-57,1.2067386013531187e-73,9.3234497118078213e-49,3.0753148549453672e-35,1.6079178643812659e-50,1.6079178643812659e-50,6.9616573533913897e-68,1.2861296983293056e-68,2.1731417256952976e-49,1.0123346538278284e-35,8.766028592667382e-53,8.0973891252640401e-54,4.7487524823987034e-119,1.3937216183909821e-67,2.2798137015480231e-53,4.226322750790581e-119,8.3008610316917994e-32,7.2413586602822813e-85,7.2413586602689792e-85,7.1718046596522364e-47,2.0526436179507908e-47,2.0348101555563073e-32,7.170799019134334e-47,1.7672368126829274e-62,4.226322750790581e-119,4.7780457932401457e-70,3.4125606557712681e-62,4.7446463370046312e-86,3.4856370572497998e-103,1.4042442641532201e-54,6.5812050939095661e-121,3.022460625841383e-38,9.4766545394946694e-81,2.1754464472049398e-119,4.5226599917007435e-54,1.1448673026599518e-137,6.0278265289188749e-125,5.0638987436593077e-142,2.2792795793865296e-80,2.8626261317272087e-53,8.657934169228053e-81,7.4488263701413143e-54,3.8701863150189583e-71,2.3217533819024407e-41,3.225051355081788e-71,3.1349783072091126e-72,2.4126265585967755e-58,4.3979477156138544e-56,3.7103081919199048e-87,2.4149834482387604e-57,1.2463886715858668e-58,3.0510560462821597e-95,2.0017144780137177e-69,3.4625676040793803e-51,2.4973797588641731e-96,1.9526233636098979e-22,8.9339630173025997e-50,8.79145270714662e-44,8.9339630173025997e-50,5.4571135541060899e-82,5.2573963777971077e-75,4.5609942918559868e-75,2.1740097070758022e-137,2.1849384165242806e-137,6.3267291638746e-58,1.0888727530958688e-71,2.087499619884997e-73,1.1166501493484882e-98,4.21916060205043e-59
8.997340918560458e-27,0.437365317538088,76.950000000000003,0.0,0.0,0.0,0.99999999999999867,9.5,3.8836859153445994e-19,3.6456716298468284e-18,3.645124895305017e-18,8.1708145959234652e-35,8.1720398019233463e-35,1.32814655490735e-15,1.0096241635883999e-29,3.4049068835285124e-35,3.0361395444092605e-51,1.2371682851199244e-55,1.4152592432782319e-37,4.0600137334251992e-29,5.5284019027410697e-36,2.5304141130904389e-51,3.8226959959802585e-55,7.7168314345189212e-56,2.7032106286385911e-72,1.1068799497858061e-47,1.8574901723870002e-34,1.9089200885934372e-49,1.9089200885934372e-49,1.5572949033241353e-66,2.8770206899746469e-67,2.5799538567453625e-48,6.1145013091199949e-35,1.0407029145213852e-51,9.6132203695129371e-53,5.0601642731884574e-117,3.1176995114763529e-66,2.7065948264777656e-52,4.5034748536128328e-117,5.0137200631417555e-31,2.988166926966655e-83,2.9881669269566413e-83,8.514366491938929e-46,2.436898503231119e-46,1.2290253339559779e-31,8.513172595516079e-46,3.9532380604991115e-61,4.5034748536128328e-117,1.0688297317646287e-68,4.051392010550084e-61,1.960570076660688e-84,2.6274425000466254e-101,1.6671187904026804e-53,8.9953499879807644e-119,1.8255662180081916e-37,2.1198897138760133e-79,2.9734527177746503e-117,5.3693019421470456e-53,2.8281467510357627e-135,8.238978807225899e-123,1.2552826290227995e-139,9.4055110041665295e-79,3.3985097435789712e-52,3.5727207771475391e-79,8.8432466666317517e-53,8.6574519792434185e-70,1.4023390426690705e-40,7.2143108792632843e-70,7.0128210740944555e-71,2.8642702503660775e-57,5.2212435279762604e-55,1.5310687143539165e-85,2.8670683497483667e-56,1.4797126721562418e-57,2.2967588372822093e-93,4.4777552187374929e-68,4.1107602595624711e-50,1.8799651478741191e-94,5.4673454181080049e-22,1.0606400894141176e-48,5.3100374351247568e-43,1.0606400894141176e-48,2.2518931880197796e-80,1.1760585354996826e-73,1.0202761732396108e-73,5.3704202011007706e-135,3.8750874527920431e-135,7.5110928633517932e-57,2.4356906459436015e-70,4.6696531496960812e-72,8.4058636084179587e-97,5.0089874667543085e-58
2.0565350670995334e-26,0.437365317538088,76.950000000000003,0.0,0.0,0.0,0.999999999999997,9.5,8.8769963779305041e-19,8.3329637253641596e-18,8.3317140464114475e-18,3.9338955041300058e-34,3.9344853861978807e-34,3.0357635540738075e-15,4.8609057412499254e-29,1.6393160955795549e-34,2.9808997783990392e-50,1.2154536224792238e-54,6.8138640388296415e-37,1.9547218438410642e-28,2.6616875386044668e-35,2.4843755196709384e-50,3.7531455971140779e-54,7.5764308625970877e-55,5.3447377096767397e-71,1.0867412984082623e-46,8.9430155981811022e-34,1.8741890627227987e-48,1.8741890627227987e-48,3.0769523023324446e-65,5.6845080639384915e-66,2.5330139954701448e-47,2.9438691733311937e-34,1.0217682927610419e-50,9.4383167644061146e-52,1.1515749952641189e-114,6.1600488573780032e-65,2.6573508505242249e-51,1.0248855083025746e-114,2.413890388015839e-30,1.182089120086611e-81,1.1820891200786934e-81,8.3594555112900086e-45,2.3925614010832547e-45,5.9172279323572639e-31,8.3582833367023501e-45,7.810932229956944e-60,1.0248855083025745e-114,2.1118274367525986e-67,3.977680700423805e-60,7.7612417630820134e-83,2.0789108476407341e-99,1.6367871142969233e-52,1.4220586829747859e-116,8.7893154999466831e-37,4.188544842688991e-78,4.7006778628694631e-115,5.2716124863261505e-52,8.9340160181467039e-133,1.3024853249099975e-120,3.9706648892374048e-137,3.7207266189078525e-77,3.3366770191177635e-51,1.4133328100481947e-77,8.6823520170366623e-52,1.7105666205545665e-68,6.7516588345722405e-40,1.4254262582063393e-68,1.3856152680987782e-69,2.8121575167003551e-56,5.1262478573179319e-54,6.0567525152662976e-84,2.8149047072649623e-55,1.4527907634739379e-56,1.815978150984539e-91,8.8472897459353385e-67,4.0359687993131618e-49,1.4864319134139963e-92,1.2496789527105372e-21,1.0413427292966441e-47,2.5565544472503021e-42,1.0413427292966441e-47,8.9082655093283095e-79,2.3236934633219575e-72,2.0158937616926839e-72,1.6964968343035328e-132,1.7658220512335379e-132,7.3744355134118237e-56,4.8121936705112865e-69,9.2264477199346981e-71,6.6462635977518335e-95,4.9178535977500947e-57
4.3701370175865087e-26,0.43736531753808794,76.950000000000003,0.0,0.0,0.0,0.99999999999999356,9.5,1.8863617303102279e-18,1.7707547916398759e-17,1.7704892348624245e-17,1.7180355193414799e-33,1.7182931346859451e-33,6.4509975524062685e-15,2.1228852446309955e-28,7.1593240762925237e-34,2.6365720423631921e-49,1.0753704809418756e-53,2.9757934419923199e-36,8.5367838434592936e-28,1.1624288769008426e-34,2.1974019027104607e-49,3.3196147775947855e-53,6.7012672976176266e-54,9.5136363964304529e-70,9.612103714884196e-46,3.9056498657805924e-33,1.6576990014625003e-47,1.6576990014625003e-47,5.4752722210682341e-64,1.0115278377676853e-64,2.2404221935222071e-46,1.2856650103612075e-33,9.0374248378907404e-50,8.3480842925787575e-51,1.946110832646612e-112,1.0961477811563678e-63,2.3503967337476342e-50,1.7320112004279118e-112,1.0542093510247189e-29,4.2187921050313558e-80,4.2187921049747652e-80,7.3938437319137349e-44,2.1161934643621569e-44,2.5842088975560194e-30,7.392806956765414e-44,1.3899136566699203e-58,1.7320112004279113e-112,3.7578840891939292e-66,3.518213533792932e-59,2.7708191171677738e-81,1.486401033490841e-97,1.4477196665712566e-51,2.0348736618985702e-114,3.8385249948184924e-36,7.4532917546137309e-77,6.7263648756134813e-113,4.6626815450432982e-51,2.55763962063367e-130,1.8637719486903946e-118,1.1374636767705967e-134,1.3279009017313765e-75,2.9512530367161908e-50,5.044084409137266e-76,7.6794420345607721e-51,3.0438619060508305e-67,2.9486267950160389e-39,2.5364698662446886e-67,2.4656283364419909e-68,2.4873214768508324e-55,4.5341081768859461e-53,2.1616097599915286e-82,2.4897513357917444e-54,1.2849771333924125e-55,1.2979852493668195e-89,1.5743279394013391e-65,3.5697686970979769e-48,1.0624393783336789e-90,2.6555677745104738e-21,9.2105585123152031e-47,1.1165144938199816e-41,9.2105585123152031e-47,3.1792966843051337e-77,4.1348882919692327e-71,3.5871751493727817e-71,4.8567492053684881e-130,6.0043775578139056e-130,6.522604698787298e-55,8.5618955709899163e-68,1.6417970750384786e-69,4.7504713141009352e-93,4.3497858142901449e-56
8.997340918560458e-26,0.437365317538088,76.950000000000003,0.0,0.0,0.0,0.99999999999998668,9.5,3.8836859153445686e-18,3.6456716298467692e-17,3.645124895304957e-17,7.1724600972820601e-33,7.1735355768258425e-33,1.3281465549069363e-14,8.8626280055368652e-28,2.9888768702753361e-33,2.2161975761214473e-48,9.0403878289325367e-53,1.2423351834207363e-35,3.5639392077176586e-27,4.8529117364788862e-34,1.8470485179435753e-48,2.7903362423113029e-52,5.6328189452924382e-53,1.6048507173264386e-68,8.0795523450551031e-45,1.630531936092011e-32,1.3933958945869569e-46,1.3933958945869569e-46,9.2348468834380194e-63,1.7060895464117326e-63,1.883209849218815e-45,5.3673983345939347e-33,7.5965001219378624e-49,7.0170678577215366e-50,2.8495349428589219e-110,1.8488134492504933e-62,1.9756500767417173e-49,2.536045920021138e-110,4.401116519001736e-29,1.4254345028119263e-78,1.4254345027736538e-78,6.214971169177654e-43,1.7787881170175589e-43,1.0788563444755125e-29,6.2140996971951152e-43,2.3442925360242523e-57,2.5360459200211374e-110,6.3382207803100099e-65,2.9572704635364716e-58,9.3633965942538388e-80,1.0054090532899456e-95,1.216895611406687e-50,2.753908320416006e-112,1.6025086238210428e-35,1.2571065940656359e-75,9.1031657365023381e-111,3.9192647862470873e-50,6.9241880419955676e-128,2.5223468037156138e-116,3.0804017908018673e-132,4.4866770263519078e-74,2.4807060036472603e-49,1.7042821198440199e-74,6.455033751142322e-50,5.1339180047566351e-66,1.2309936430846184e-38,4.2781271676487577e-66,4.1586425732230828e-67,2.0907435736548458e-54,3.8111911231815013e-52,7.3035760203174919e-81,2.0927860165003941e-53,1.0801009677754146e-54,8.7782805266979469e-88,2.6553341784090976e-64,3.0006056846068114e-47,7.1852826603184346e-89,5.4673454181121981e-21,7.7420294073805528e-46,4.6612282254399257e-41,7.7420294073805528e-46,1.0742124939315859e-75,6.9740932309305887e-70,6.0502948956356403e-70,1.3148468806703728e-127,1.76444095207623e-127,5.4826422657455429e-54,1.4437022524639909e-66,2.7691307371479851e-68,3.2127460500462196e-91,3.6562570711676863e-55
1.8251748720508357e-25,0.437365317538088,76.950000000000003,0.0,0.0,0.0,0.99999999999997291,9.5,7.8783342854131953e-18,7.3955053062604518e-17,7.3943962161899147e-17,2.9301839813496365e-32,2.9306233385515143e-32,2.6942401542388251e-14,3.6206727206916643e-27,1.2210537261578792e-32,1.8169725209068561e-47,7.4123539536059574e-52,5.0753445882623066e-35,1.4559854548250472e-26,1.982572790962362e-33,1.5143216661196503e-47,2.2876862363759298e-51,4.6181252919370646e-52,2.6361614182889487e-67,6.6241051584661386e-44,6.6612549884056709e-32,1.1423901398164129e-45,1.1423901398164131e-45,1.5168263736537927e-61,2.802257203046113e-62,1.5439692131353035e-44,2.1927573535762039e-32,6.2280697611614954e-48,5.7530161831375432e-49,3.896498003202166e-108,3.0366816420410343e-61,1.6197572966623621e-48,3.4678282812974318e-108,1.7979997029075086e-28,4.686516778542526e-77,4.6865167782907532e-77,5.0954088572319154e-42,1.4583579681817473e-42,4.4074801893374464e-29,5.0946943718485346e-42,3.8505075298880296e-56,3.4678282812974303e-108,1.041054666414118e-63,2.4245489969524539e-57,3.0787081466040886e-78,6.6144145037098528e-94,9.9768454396705593e-50,3.6242634410476844e-110,6.5467706139969723e-35,2.0648013557637283e-74,1.1980163076605288e-108,3.2132500637692132e-49,1.8226989396170988e-125,3.3195183874807292e-114,8.1100499947390997e-130,1.4751212435784524e-72,2.0338326596551587e-48,5.6033067351781813e-73,5.2922266658987744e-49,8.4324757389794281e-65,5.0290106953354874e-38,7.0268367192665278e-65,6.8305829141399749e-66,1.714117899088283e-53,3.1246447452478545e-51,2.4012462642649437e-79,1.715792417125255e-52,8.8553245913623029e-54,5.7746461344393748e-86,4.3613943615049949e-63,2.4600778291942879e-46,4.7267189300998522e-87,1.1090900705323047e-20,6.3473834618805474e-45,1.9042638222723966e-40,6.3473834618805474e-45,3.5317756562573352e-74,1.1454968280464219e-68,9.9376265276365422e-69,3.461156745900337e-125,4.8341006058234609e-125,4.4950013767503051e-53,2.3700162889085914e-65,4.5483055509126441e-67,2.1134516608822124e-89,2.997620448691444e-54
3.676056432440416e-25,0.437365317538088,76.950000000000003,0.0,0.0,0.0,0.99999999999994538,9.5,1.586763102555023e-17,1.4895172659087392e-16,1.4892938857959401e-16,1.1844272148724687e-31,1.1846048009556505e-31,5.4264273528996789e-14,1.4635338032788904e-26,4.9356943908209506e-32,1.4714312142655556e-46,6.0029149955643738e-51,2.0515354303539935e-34,5.8853260004449636e-26,8.0138762071864795e-33,1.2263364561223637e-46,1.8526276263492837e-50,3.7398775943944107e-51,4.2734825777126441e-66,5.3643720988466854e-43,2.6925857706175467e-31,9.2513715368780707e-45,9.2513715368780744e-45,2.4588409161726398e-60,4.5425796835939418e-61,1.2503462989004473e-43,8.863475814888039e-32,5.0436523661868575e-47,4.6589416621129162e-48,5.1534916205209846e-106,4.9225918012693604e-60,1.311721453880191e-47,4.5865348768010178e-106,7.2678022745669584e-28,1.5200604833736719e-75,1.5200604832103142e-75,4.1263941999787594e-41,1.1810160931162259e-41,1.7815739620739393e-28,4.1258155911910521e-41,6.2418386355769925e-55,4.586534876801011e-106,1.6875944763472049e-62,1.9634626387167306e-56,9.9860812730449574e-77,4.2918172558529443e-92,8.0795081042271633e-49,4.7037710013977365e-108,2.6463093560337617e-34,3.347131976529961e-73,1.5548523055339454e-106,2.6021732107727583e-48,4.731454248096937e-123,4.3082558942073816e-112,2.1054176285658192e-127,4.7845203945396073e-71,1.6470504183338479e-47,1.817419108295301e-71,4.2857823642865972e-48,1.3669406552855634e-63,2.0328065300175263e-37,1.1390805128854833e-63,1.1072669253618088e-64,1.3881371161890873e-52,2.5304183265788672e-50,7.7883215349693702e-78,1.3894931842988889e-51,7.1712783891477104e-53,3.7467874398831584e-84,7.0700082052371095e-62,1.9922348078968563e-45,3.0668565149892527e-85,2.2338011279774357e-20,5.1402756944522948e-44,7.6973388356060583e-40,5.1402756944522948e-44,1.1455229683568065e-72,1.8568994638971564e-67,1.6109317580003583e-67,8.9846460282570767e-123,1.2798721601951062e-122,3.6401686556708338e-52,3.8377907802323525e-64,7.3729992977174923e-66,1.3712795474292227e-87,2.4275507579093675e-53
7.377819553219576e-25,0.437365317538088,76.950000000000003,0.0,0.0,0.0,0.99999999999989042,9.5,3.1846224505823421e-17,2.9894507364739597e-16,2.9890024141496673e-16,4.7625297379994993e-31,4.7632437304661681e-31,1.0890801750209703e-13,5.8848050544221058e-26,1.9846210065739523e-31,1.1843354643286584e-45,4.831747554700626e-50,8.2491337356475076e-34,2.3664637001719144e-25,3.2223443766013123e-32,9.8706147908285375e-46,1.4911558884230531e-49,3.0101788499660547e-50,6.8824329491605506e-65,4.3177133549720094e-42,1.0826768959428071e-30,7.4463086640127067e-44,7.4463086640127117e-44,3.9598874936350681e-59,7.3156845404849944e-60,1.0063874790220852e-42,3.5639646421801808e-31,4.0595702121227835e-46,3.7499215684182564e-47,6.7048338864738181e-104,7.9276823409759701e-59,1.0557875432688363e-46,5.9672076192027443e-104,2.9223513296441421e-27,4.8970773273316707e-74,4.8970773262789977e-74,3.3212810403194349e-40,9.5058449781629836e-41,7.1636305450172684e-28,3.3208153256293208e-40,1.0052288697416338e-53,5.9672076192027281e-104,2.7178188785145203e-61,1.5803655495223046e-55,3.2172075357559791e-75,2.7656813874853282e-90,6.5030910235950187e-48,6.0626229787161853e-106,1.0640693531696298e-33,5.3904528635023649e-72,2.0040268357535906e-104,2.0944553839807669e-47,1.2196936568732139e-120,5.5528492315487377e-110,5.427650574111867e-125,1.5413969775684375e-69,1.3256894666178121e-46,5.8550577476855283e-70,3.4495705014163285e-47,2.2014157848798767e-62,8.173825651119636e-37,1.834454050097843e-62,1.7832192481569461e-63,1.1172935163083071e-51,2.0367008106359642e-49,2.5090708392754618e-76,1.1183849978800644e-50,5.7720799150790833e-52,2.4144152570159412e-82,1.1386030258311549e-60,1.6035238938911363e-44,1.9762704129021536e-83,4.4832232428795439e-20,4.1373410727609467e-43,3.0950660919854317e-39,4.1373410727609467e-43,3.6904548325795421e-71,2.9904785132371145e-66,2.5943548831045186e-66,2.3160988556705483e-120,3.3318153156755589e-120,2.9299244215960554e-51,6.1674545539642503e-63,1.187398807173629e-64,8.8364720819439906e-86,1.9539040421092935e-52
1.4781345794777895e-24,0.43736531753808794,76.950000000000003,0.0,0.0,0.0,0.99999999999978051,9.5,6.380341146636629e-17,5.9893176776037323e-16,5.9884194708564384e-16,1.9099874342854796e-30,1.9102737183546648e-30,2.1819550544782996e-13,2.360070031156564e-25,7.9592178797809725e-31,9.5035399973189791e-45,3.877204827781999e-49,3.3082715795188051e-33,9.4905778644252239e-25,1.2923042178916185e-31,7.92053406691982e-45,1.1965586903828484e-48,2.4154789526556427e-49,1.1047925892008089e-63,3.4646930472679961e-41,4.3420185918071921e-30,5.9751937507301206e-43,5.9751937507301278e-43,6.3564964100151379e-58,1.174329386716388e-58,8.075625718415076e-42,1.4293092237260766e-30,3.2575494323891521e-45,3.0090758968211618e-46,8.6522329477425376e-102,1.2725685874324058e-57,8.4720301229414941e-46,7.7003653249405154e-102,1.1719935885422417e-26,1.5723488285573376e-72,1.5723488278813187e-72,2.6651188678736163e-39,7.6278419377437612e-40,2.8729362497489353e-27,2.6647451611645844e-39,1.6136149605429257e-52,7.7003653249404726e-102,4.3627012060914026e-60,1.2681438263387275e-54,1.0329872182026767e-73,1.7761169725390584e-88,5.2183209960578756e-47,7.787028225218001e-104,4.2673940228590157e-33,8.6528706563860764e-71,2.5740366156521748e-102,1.6806685414484729e-46,3.1332701082403394e-118,7.1322584094391956e-108,1.3943368408731606e-122,4.9491024347164143e-68,1.0637823076250432e-45,1.8799362510866008e-68,2.7680630810239104e-46,3.5337598747053439e-61,3.2780696693852005e-36,2.9447050206679709e-61,2.8624618167805985e-62,8.9655768214888427e-51,1.6343241335764433e-48,8.0558391215842238e-75,8.9743352734178906e-50,4.6317485620694688e-51,1.5505200634707797e-80,1.8277100189874796e-59,1.2867269384154764e-43,1.2691466048141187e-81,8.9820674727311411e-20,3.3199556502305064e-42,1.2412599333526293e-38,3.3199556502305064e-42,1.1849276508860574e-69,4.8003776454686045e-65,4.1645107764797393e-65,5.9498245899599863e-118,8.6010260336893971e-118,2.3510798281302553e-50,9.8580529662180391e-62,1.906038054574894e-63,5.674718635731596e-84,1.5678849412158234e-51
