Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520)
0.0,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.150464607622838e-27,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,1.6779710465770527e-19,1.2961393371637404e-18,1.2961393371637404e-18,2.4600143637261272e-35,2.4600143626362186e-35,3.0413255644498572e-16,2.297639773677551e-30,1.0666079591139299e-35,7.9200244828959316e-52,2.3257011898876555e-56,2.0494365211634127e-53,8.3171221782083578e-30,1.1776368978682405e-36,6.867895708350212e-52,6.6046113332348012e-56,6.877790288619612e-72,0.0,1.3955890205877497e-48,3.2805827945541572e-35,2.7414909146483495e-50,2.7414909146483495e-50,2.2560043859178871e-67,4.0111190196804297e-68,1.0127278891867048e-49,1.1089830049585153e-36,1.8251897241218624e-53,1.6225706968144103e-54,2.6111801859322716e-118,3.9748106398186662e-68,5.0588101387481139e-55,2.3364639737866379e-118
2.0021300901343946e-26,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,4.6983189304157461e-19,3.6291901440584707e-18,3.6291901440584707e-18,1.4858486756905728e-34,1.4858486743966329e-34,8.5157115804592502e-16,1.3877744233011931e-29,6.4423120730479112e-35,9.4026529968738171e-51,2.7610724526371801e-55,3.0971084707820491e-52,5.0235417956376773e-29,7.1129268631241646e-36,8.1535656359325793e-51,7.8409945747831477e-55,1.9396469060352876e-70,0.0,1.6568432852417246e-47,1.9814720079107095e-34,3.254698013870519e-49,3.254698013870519e-49,5.0465915711222045e-66,8.9727128022638962e-67,1.2023105500423698e-48,6.6982573499495135e-36,2.1668652404771956e-52,1.9263159312579498e-53,2.7824151156932644e-116,8.8914924088480783e-67,6.0058193967218245e-54,2.4896836736740303e-116
4.5762973488786163e-26,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.999999999999998,9.5,1.0739014698093128e-18,8.2952917578479209e-18,8.2952917578479209e-18,7.1537217697154571e-34,7.1537217570114823e-34,1.9464483612476638e-15,6.6815364618536041e-29,3.1016959451029679e-34,9.2315803226807765e-50,2.7108373069406881e-54,3.3317279637246261e-51,2.4186191294227326e-28,3.4245680990008337e-35,8.0052187756885704e-50,7.6983349699155367e-54,4.2191556925082784e-69,0.0,1.6266985623969193e-46,9.5399347665634621e-34,3.1954818101141083e-48,3.1954818101141083e-48,9.9712145211212371e-65,1.77285684658459e-65,1.1804356276357558e-47,3.2249225784194875e-35,2.12744114243558e-51,1.8912684042065127e-52,6.3321257980787102e-114,1.7568090655262081e-65,5.8965490977250102e-53,5.6659375267944976e-114
9.72463186636706e-26,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999999999578,9.5,2.2820406233447864e-18,1.7627494985426778e-17,1.7627494985426775e-17,3.1242182419320582e-33,3.1242182306955357e-33,4.1362027676505789e-15,2.918002512569751e-28,1.3545921080743396e-33,8.1652279902626969e-49,2.3977048987423832e-53,3.0624320048434064e-50,1.0562745166321944e-27,1.4955988602926549e-34,7.0805247893554893e-49,6.8090900998955593e-53,7.8216035894337543e-68,0.0,1.4387964566648054e-45,4.1663401490837508e-33,2.8263674733658453e-47,2.8263674733658453e-47,1.7743243480377066e-63,3.1547040351187238e-64,1.0440819446353627e-46,1.4084084162974413e-34,1.8816975979788603e-50,1.6728054855870171e-51,1.070101266526345e-111,3.1261478661546075e-64,5.2154309006441844e-52,9.5751839379464322e-112
2.0021300901343946e-25,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999999999134,9.5,4.6983189304157226e-18,3.6291901440584317e-17,3.6291901440584311e-17,1.3042996156474815e-32,1.3042996062025071e-32,8.5157115804541648e-15,1.2182086080031722e-27,5.6551553992188923e-33,6.8633656789258114e-48,2.0154154399660978e-52,2.6199750554158512e-49,4.4097381788836645e-27,6.2438308324973112e-34,5.9516067744408574e-48,5.7234505072077115e-52,1.3443338141880021e-66,0.0,1.2093951158163947e-44,1.7393649976725872e-32,2.3757321627795913e-46,2.3757321627795913e-46,2.9926573536608131e-62,5.3208694564607864e-63,8.7761378512195027e-46,5.8798278922911824e-34,1.5816802118851252e-49,1.4060938047268246e-50,1.5668639731158167e-109,5.2727053036441323e-63,4.3838839252776709e-51,1.4020178479955287e-109
4.061463897129772e-25,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999999998246,9.5,9.530875544557552e-18,7.3620714350898717e-17,7.3620714350898668e-17,5.3284895124044006e-32,5.3284894349687942e-32,1.7274729206052361e-14,4.9767796553708885e-27,2.3103155037564583e-32,5.6270011311050207e-47,1.6523593439812005e-51,2.1662460411666722e-48,1.8015219322866049e-26,2.5508086262584395e-33,4.8794852655035334e-47,4.6924305217782875e-51,2.2281347082385307e-65,0.0,9.9153518452096745e-44,7.1058735563158522e-32,1.947768762738197e-45,1.9477687627381973e-45,4.9154486897636976e-61,8.739544059799901e-62,7.195208042336244e-45,2.4021015480613024e-33,1.2967569987938729e-48,1.1528006537232821e-49,2.1425539482627906e-107,8.6604342941664839e-62,3.5941729050539887e-50,1.9171408158579876e-107
8.180131511120527e-25,0.5145304131600793,76.950000000000003,0.0,0.0,0.0,0.99999999999996481,9.5,1.9195988772841043e-17,1.4827834017152476e-16,1.4827834017152456e-16,2.1538606561309101e-31,2.1538605934215487e-31,3.4792764457212847e-14,2.0116939085591988e-26,9.3386646538407953e-32,4.5568902403497594e-46,1.3381234371053461e-50,1.761555304571211e-47,7.2820396888692026e-26,1.0310776306546726e-32,3.9515311681122944e-46,3.800051895453816e-50,3.6279397661367487e-64,0.0,8.0297089970986054e-43,2.8723077046061075e-31,1.5773536433807201e-44,1.5773536433807206e-44,7.9681541471328126e-60,1.4167177533430819e-60,5.8268660210353932e-44,9.7096785202620632e-33,1.0501474383141708e-47,9.3356785775842802e-49,2.833732703009795e-105,1.4038937194254318e-60,2.9106544037391617e-49,2.5356022566323786e-105
1.6417466739102037e-24,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.9999999999999295,9.5,3.8526215229407331e-17,2.9759359181276579e-16,2.9759359181276495e-16,8.660578968066104e-31,8.6605784633266263e-31,6.9828834959390216e-14,8.0889327287851839e-26,3.7550359843610792e-31,3.6677798297639425e-45,1.0770381563553964e-49,1.4207581698573342e-46,2.9280761313133644e-25,4.1459178044204882e-32,3.1805320204547003e-45,3.0586123616043533e-49,5.8555094092856683e-63,0.0,6.4630083697454528e-42,1.1549422951538098e-30,1.2695914388582999e-43,1.2695914388583015e-43,1.2832466609330064e-58,2.2815802667761361e-59,4.6899686995928877e-43,3.904219028283041e-32,8.4525001911001338e-47,7.5141663048882449e-48,3.6867639362588112e-103,2.260927555490348e-59,2.3427478853412463e-48,3.2988880519747086e-103
3.2892137195065056e-24,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999999985878,9.5,7.7186668142537166e-17,5.9622409509520358e-16,5.9622409509520053e-16,3.4732795200536818e-30,3.4732791150320587e-30,1.3990097596317041e-13,3.2440238105864202e-25,1.5059373778108034e-30,2.9431593136791681e-44,8.6425529108569219e-49,1.1412302261687459e-45,1.1742894900569753e-24,1.6626984702783244e-31,2.5521701612988235e-44,2.4543437940646651e-48,9.4096464252966929e-62,0.0,5.1861571906479701e-41,4.6318351641329585e-30,1.0187671736076571e-42,1.0187671736076596e-42,2.0598950870243948e-57,3.6624416219582901e-58,3.7634045174738879e-42,1.5657664508080431e-31,6.7825990833680978e-46,6.0296452339570873e-47,4.7575735566242806e-101,3.629289446445028e-58,1.8799076368809154e-47,4.2570402753440292e-101
