Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837)
0.0,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.655383369909082e-21,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.9114315381682189e-17,2.6606128618536443e-16,2.6606128618915495e-16,5.2372267284784799e-27,5.2371277841561213e-27,8.6683687115363797e-18,2.5748173793860295e-26,3.7908918235865356e-27,3.2130407329878832e-39,6.9009310104921952e-44,1.4084921573277636e-44,2.5154748466850902e-26,4.7412274044181938e-30,4.6511988059178429e-39,2.5595290461149899e-44,8.2014569761299641e-61,2.9424800757556743e-60,7.3236328021006421e-43,2.720155587008602e-31,2.2588166545386866e-42,2.2588166545747306e-42,3.2184048906995156e-53,3.8601783364000017e-54,1.0628431853901264e-50,2.4566727436673304e-33,7.0006280117678542e-44,4.1983021885542176e-45,2.8781632760811652e-96,1.4130932337081607e-55,9.9812214749957405e-50,2.769972830918896e-96,2.5198484394529572e-28,1.3907858507450672e-66,1.3907835342536698e-66,6.4917406748558941e-40,1.9937987650067623e-40,2.1854818231749048e-31,6.4916678170588157e-40,4.5004179993965087e-51,2.7699728309188935e-96,5.0274347901517376e-60,2.9424801029222008e-60,2.7167151802148814e-68,3.4817870843220724e-80,7.1524372853776674e-50,1.620578014288463e-91,3.3883097654691401e-37,6.247471926651792e-73,1.5271434597650104e-93,4.8256571152723844e-48,2.4682448765017559e-105
1.303507343574543e-20,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,8.1520083068709845e-17,7.44971601289769e-16,7.4497160131266342e-16,3.1632849438870194e-26,3.163167479149815e-26,2.4271432222665847e-17,1.5551896880793214e-25,2.289698656860251e-26,3.8144454906326577e-38,8.1927852965941052e-43,2.1285145725212528e-43,1.5193467985369895e-25,2.8637013521747602e-29,5.5215526280504377e-38,3.0386711071838589e-43,2.3129433738390413e-59,6.5822101796479715e-59,8.6946168162105799e-42,1.6429739745086113e-30,2.68166713216385e-41,2.6816671322444798e-41,7.1994428923197705e-52,8.6350645080617795e-53,1.2618074147144178e-49,1.4838303370841546e-32,8.3111454396793188e-43,4.9842243438658791e-44,3.0669063160004697e-94,3.1610330313035694e-54,1.184970613403021e-48,2.9516210011066568e-94,1.5219884485533798e-27,5.7391140497153952e-65,5.73909661178615e-65,7.7069944412566704e-39,2.3670378667656643e-39,1.3200310047599843e-30,7.7069079444786132e-39,1.0067254938186787e-49,2.9516210011066536e-94,1.1246170526944215e-58,6.5822102917514047e-59,1.1210601175053902e-66,2.6210023922544808e-78,8.4913735388951901e-49,2.2120809870178853e-89,2.0465390982482436e-36,2.5780367837288949e-71,2.0845432814823601e-91,5.7290201255719958e-47,6.0891381713986619e-103
2.979445356741813e-20,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,1.8633161844276401e-16,1.7027922313815783e-15,1.7027922314917983e-15,1.5229855324705693e-25,1.5228702090513424e-25,5.5477558566380698e-17,7.48756880320697e-25,1.1023913354199436e-25,3.744883238887052e-37,8.0437251886023845e-42,2.2897622440695588e-42,7.3150007212481684e-25,1.378748929064071e-28,5.4203506307188495e-37,2.9833815494304191e-42,5.0311642660493248e-58,1.3005337898631881e-57,8.5364262501542657e-41,7.9102124463522561e-30,2.6328766922064102e-40,2.6328766923657206e-40,1.4224885461117298e-50,1.7061432234218689e-51,1.2388499704504376e-48,7.1440043372206441e-32,8.1599315892527804e-42,4.8935409863830074e-43,6.9795612062725623e-92,6.2456685522991266e-53,1.1634111747869833e-47,6.7171988030630044e-92,7.3277191287860991e-27,2.2703340790788691e-63,2.2703202915025739e-63,7.5667726580220682e-38,2.323971756635755e-38,6.35538089522775e-30,7.5666877349695594e-38,1.9891198805758334e-48,6.7171988030629881e-92,2.222053781404832e-57,1.3005338342101911e-57,4.4348022659238503e-65,2.0723477459700007e-76,8.3368808802898937e-48,3.4945457483619368e-87,9.8532047965575319e-36,1.0198457142419266e-69,3.2930674348592385e-89,5.6247859283554324e-46,1.9221598504222741e-100
6.331321383076352e-20,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999999999234,9.5,3.9595468919086764e-16,3.6184334910972322e-15,3.6184334915785399e-15,6.6512779434009569e-25,6.6502579947473968e-25,1.1788980853963423e-16,3.2700179312377367e-24,4.8144325448717478e-25,3.3120187330977807e-36,7.1145838402908593e-41,2.1046924079429667e-41,3.1946529179475892e-24,6.0213588021568555e-28,4.7929184649623078e-36,2.6387605012965069e-41,9.3269581365873158e-57,2.3142303134750362e-56,7.5503721713077722e-40,3.4545975948098735e-29,2.3287496174830503e-39,2.3287496177665347e-39,2.5312421914200142e-49,3.0359906711271467e-50,1.0957487128851908e-47,3.1199743830479974e-31,7.2173665703579961e-41,4.3282815306605753e-42,1.1795149879774923e-89,1.1113833348410856e-51,1.0290240084734446e-46,1.1351769017109304e-89,3.2002073805240545e-26,8.1026441226584946e-62,8.1025455758314569e-62,6.692724393710532e-37,2.0555265986735103e-37,2.7755616606484375e-29,6.6926492802271613e-37,3.5395323795598677e-47,1.1351769017109254e-89,3.9540259782078869e-56,2.3142304717463338e-56,1.5827493752848756e-63,1.4812274670720319e-74,7.3738767026854793e-47,4.9988335946401405e-85,4.3031534006715666e-35,3.6397569154306834e-68,4.7106254455772402e-87,4.9750594486285409e-45,5.5009747852737251e-98
1.303507343574543e-19,0.20632031604543977,76.950000000000003,0.0,0.0,0.0,0.99999999999998412,9.5,8.1520083068705659e-16,7.4497160086569815e-15,7.4497160106659136e-15,2.7767776098492529e-24,2.7759204058930044e-24,2.4271429762943765e-16,1.3651680480262105e-23,2.0099307808908541e-24,2.783466798316119e-35,5.9802364090767574e-40,1.8006196935421993e-40,1.3337046401042127e-23,2.5137987685138115e-27,4.0265174599130606e-35,2.2180259384449875e-40,1.6030752987706302e-55,3.9032874143281841e-55,6.3465424596337524e-39,1.4422264916100153e-28,1.9574543705227606e-38,1.9574543710008978e-38,4.2693093457459517e-48,5.1206418948554461e-49,9.2104272203061743e-47,1.3025278874238607e-30,6.0666306199345853e-40,3.6381813338558865e-41,1.7270697617253923e-87,1.8745103916458391e-50,8.6495668177428011e-46,1.6621490367971282e-87,1.3360235187748823e-25,2.7376888684549236e-60,2.7376222225451724e-60,5.6256375624116804e-36,1.7277937894828105e-36,1.1587422333420299e-28,5.6255744249943176e-36,5.9699381345025064e-46,1.6621490367971128e-87,6.669042738340117e-55,3.9032879490910925e-55,5.3477520633501173e-62,1.0017547869438638e-72,6.1981876380398582e-46,6.7641477930216244e-83,1.7964818363250007e-34,1.2297916001791364e-66,6.3741603133789837e-85,4.1818372257463711e-44,1.4890226011360095e-95
2.644257754108359e-19,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999999996769,9.5,1.6536931136793611e-15,1.5112281036292604e-14,1.5112281044496218e-14,1.1344042569491303e-23,1.1337016731824838e-23,4.9236323238223706e-16,5.5771563652066595e-23,8.2112227839105556e-24,2.2812600969792422e-34,4.9029591278064322e-39,1.4888054362861209e-39,5.4486180903642548e-23,1.0269688195987401e-26,3.2975486343676515e-34,1.8184532064421392e-39,2.6570112675056069e-54,6.4111604303823253e-54,5.2032784675592032e-38,5.891965802418311e-28,1.6048393562802189e-37,1.6048393570655605e-37,7.0123515010252904e-47,8.4106692887282099e-48,7.5512631484844656e-46,5.3212514189534678e-30,4.9737888999699925e-39,2.9828007176085182e-40,2.3616218104144748e-85,3.0788887967264604e-49,7.091437450597578e-45,2.2728482105667546e-85,5.4580914654240723e-25,9.0008467255377575e-59,9.0004083243372002e-59,4.6122366462862767e-35,1.4165494563245756e-35,4.7338391068184804e-28,4.6121848824027152e-35,9.8056394315534251e-45,2.2728482105667126e-85,1.0953922702270876e-53,6.4111621885655337e-54,1.7582236421036646e-60,6.5898767131584701e-71,5.0816486388440284e-45,8.901237010070152e-81,7.3392144731650701e-34,4.0432857259472181e-65,8.3880354818022215e-83,3.4285227961732719e-43,3.9193518109110101e-93
5.3257585751759895e-19,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999999993483,9.5,3.3306776796636758e-15,3.0437411061647208e-14,3.043741109477905e-14,4.5854433765922376e-23,4.5797569696778894e-23,9.916609281806675e-16,2.2543753257066581e-22,3.3191073088091165e-23,1.8461385865800073e-33,3.9705434340411229e-38,1.2107015476488532e-38,2.20241811019422e-22,4.1511721623735791e-26,2.6645737561394139e-33,1.4726006458371904e-38,4.3263567430602673e-53,1.0392764517549356e-52,4.2137490251581029e-37,2.3816267795626609e-27,1.299640517226708e-36,1.2996405184997801e-36,1.1367317743301929e-45,1.3634056060855377e-46,6.1152061550230801e-45,2.1509348985396594e-29,4.0279009173514049e-38,2.4155491132360874e-39,3.1234709152129917e-83,4.9910109303538326e-48,5.7428298869579709e-44,3.0060593313882264e-83,2.2062473990985906e-24,2.919354212326023e-57,2.9190697858356873e-57,3.7351073359397199e-34,1.1471580208039297e-34,1.9134926423173623e-27,3.735065416181736e-34,1.5895357973894876e-43,3.0060593313881159e-83,1.7756780667793827e-52,1.039277022017293e-52,5.7027547173603604e-59,4.2757357227683981e-69,4.1152507122133839e-44,1.1552085691661905e-78,2.966627829300179e-33,1.3114300379271474e-63,1.088604927261511e-80,2.7765066225240554e-42,1.0173666908939981e-90
1.0688760217311253e-18,0.20632031604543968,76.950000000000003,0.0,0.0,0.0,0.99999999999986922,9.5,6.684646811631127e-15,6.1087670992840492e-14,6.1087671125833656e-14,1.8437866096860182e-22,1.8392149957727542e-22,1.9902556249493359e-15,9.0647404294772819e-22,1.334598268676599e-22,1.4838685689408103e-32,3.1958388086005025e-37,9.765225546017908e-38,8.8558228341292169e-22,1.6691680652508148e-25,2.1352967707335023e-32,1.1852289716701159e-37,6.9830886757437527e-52,1.6737217795029858e-51,3.3915905445170972e-36,9.5764165151536122e-27,1.0460637516018985e-35,1.0460637536521401e-35,1.8306694748068901e-44,2.1957222795465102e-45,4.9220458640621888e-44,8.6488145893722676e-29,3.2420013945262923e-37,1.9442436844475141e-38,4.0637212760219484e-81,8.0378676689587506e-47,4.6223290782126672e-43,3.9109655871850956e-81,8.8712202302751506e-24,9.4047737445477761e-56,9.4029412098126063e-56,3.0063369476237743e-33,9.2333184245631539e-34,7.6940632243252287e-27,3.0063032069185763e-33,2.55989643479506e-42,3.9109655871848072e-81,2.8596747631725437e-51,1.6737236166781525e-51,1.8372174161864865e-57,2.7552660150277176e-67,3.3123116210211862e-43,1.4889032780415945e-76,1.1928679986839526e-32,4.2249465863771449e-62,1.4030604414073547e-78,2.2347740349150166e-41,2.6225591802948026e-88
2.141476350158178e-18,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999999973788,9.5,1.3392585075561321e-14,1.2238819037836309e-13,1.2238819090989853e-13,7.3944089222326686e-22,7.3578093899516829e-22,3.9874422391777738e-15,3.63536345178318e-21,5.3523345094566331e-22,1.1874113365311617e-31,2.5644594145784114e-36,7.8447295838163439e-37,3.5515782186072841e-21,6.6941104655324633e-25,1.698570782354861e-31,9.5099435466209596e-37,1.1222701190403839e-50,2.6866912178851078e-50,2.7215357968308858e-35,3.8405713240633519e-26,8.394002773218757e-35,8.3940028061296101e-35,2.938623504638208e-43,3.5246191971192574e-44,3.9496253098420359e-43,3.4685614490992392e-28,2.6014960339226547e-36,1.5601324868372905e-37,5.2440169887155454e-79,1.2902552687293901e-45,3.7091279334819651e-42,5.04689386611695e-79,3.5577532582181469e-23,3.0194735303824986e-54,3.0182970730373405e-54,2.4123922430299433e-32,7.4091447750351773e-33,3.0856582391172803e-26,2.4123651681794971e-32,4.109194403306163e-41,5.0468938661162039e-79,4.5904112458547481e-50,2.686697116662987e-50,5.8989135316459008e-56,1.7694100882839367e-65,2.6579211995363483e-42,1.9123755824120052e-74,4.7839341677433109e-32,1.3565417626237325e-60,1.8021174170909782e-76,1.7932653488442648e-40,6.7370205008554332e-86
