Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954)
0.0,0.16772762601507865,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0331031324317087e-21,0.16772762601507865,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,2.8650333063882073e-17,3.5267843631815677e-16,3.5267834364630038e-16,3.8927971892309092e-27,3.8927548026124711e-27,2.0373141254314268e-17,2.777863135349547e-26,2.6825248475384771e-27,1.4713083801992892e-39,4.1697143400698755e-44,1.8110197462913831e-31,3.0693633075754302e-26,5.0076059396597266e-30,2.0276809630562277e-39,1.9967058427627029e-44,1.0377263783242991e-47,2.6217730473206078e-60,8.7938281056032121e-43,4.0585400097439734e-31,2.1937522232183427e-42,2.1937522232370953e-42,1.6686006832489448e-53,2.0662589211110956e-54,5.767326100817687e-50,2.5129075457090435e-31,3.8227099698663545e-42,2.3668660385209239e-43,1.458377535506554e-96,6.4362615590504596e-54,2.7139272641542672e-47,1.3934914040410452e-96,3.143384543734389e-28,3.5521111875576733e-65,3.5521084379267847e-65,6.1070949106406777e-40,1.8676130836242211e-40,4.4789417772327141e-31,6.1070056650894604e-40,2.6191478740745058e-51,1.3934914040410443e-96,9.9052703112460971e-58,2.5755301590250457e-58,1.557712864182528e-68,1.0450482969311125e-80,7.1995683640383423e-48,2.6659429291942725e-92,9.406130526396966e-37,3.1742060798374668e-71,3.8961651180638788e-94,7.4928247659639896e-48,3.3828840655270459e-106,9.6902251590329145e-99,2.8555869051838298e-109,5.3686879960005994e-67,1.8324438315306781e-49,3.5489596364894861e-69,4.0340631927036769e-48,2.2263615091509883e-59,3.6510590744286908e-40,3.068368689162698e-59,2.00416351091443e-60,4.0299702998508902e-51,1.4225533677315359e-52,2.9012118397564121e-71,1.7808181156486469e-52,2.0440653073143138e-57,4.8389809004909762e-78,1.2298119838765128e-59,5.5321238368429055e-44,4.525111743114595e-79,9.2674538994054651e-23,3.4976707829749039e-42,6.0445674256940041e-40,3.4976707829749008e-42,1.1286519787787947e-71,2.9076709219200348e-63,1.5231481410560105e-63,2.188488867642772e-107,9.4356971152878706e-113,2.4332168874369257e-50,6.3191668000834995e-61,5.9260994805237617e-61,7.2746014523108899e-85,2.1663040486593068e-51,9.9188666808683081e-94,3.2542535478744003e-65,4.8192679045476039e-77,1.3298018593266726e-87,3.665607097400888e-88,3.0659885806352301e-77,1.3611567490044505e-65,9.2755026372421264e-95,1.3611572506438001e-65,3.3441689327563434e-87
5.692688770808784e-21,0.16772762601507865,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,8.0220932578869603e-17,9.8749962166953303e-16,9.8749936219702504e-16,2.3512495022406694e-26,2.3511985847867379e-26,5.7044795317384156e-17,1.6778293289727327e-25,1.6202450060766078e-26,1.7467100593012508e-38,4.9502851736767271e-43,1.0938559267426891e-30,1.8538954324957369e-25,3.02459398750002e-29,2.4071465965659349e-38,2.3704884758362711e-43,1.2319887563224486e-46,5.8648017563846832e-59,1.0440032699737169e-41,2.4513581658462587e-30,2.6044226393470884e-41,2.6044226393890364e-41,3.7325929538634737e-52,4.62213854914905e-53,6.8469695067368079e-49,1.5177961533330781e-30,4.5383212256049256e-41,2.8099433491912941e-42,1.5540144341402773e-94,1.4397659599529709e-52,3.2219744340280929e-46,1.4848732259017446e-94,1.8986042590084226e-27,1.4657882791304938e-63,1.4657862092792578e-63,7.250343038709922e-39,2.21723024086444e-39,2.7052808174870114e-30,7.2502370863924906e-39,5.8589289981218053e-50,1.4848732259017425e-94,2.2157693347454018e-56,3.0851917513372499e-57,6.4279460927148315e-67,7.8668631490754573e-79,8.5473275367074151e-47,3.6389991505971843e-90,5.6813028377933275e-36,7.1616277644937524e-70,5.3182464635641112e-92,8.8954815604965037e-47,8.3455454161401579e-104,1.3227110301080482e-96,7.0447088787046253e-107,2.2154041227083565e-65,2.1754772927299098e-48,1.4644881218475636e-67,4.7892398222040925e-47,4.9802816226304282e-58,2.205239680902457e-39,6.863817995852994e-58,4.4832336066970314e-59,4.7843807399138413e-50,1.6888554844304539e-51,1.1971723091145696e-69,2.1141871216549815e-51,2.5099691040938209e-56,3.6426640175223369e-76,2.7510402025933293e-58,6.5677368654606524e-43,3.4063911521568161e-77,2.5948871115759787e-22,4.152434706449736e-41,3.6509187490130341e-39,4.1524347064497304e-41,4.657413969270039e-70,6.5042165273423703e-62,3.4071598778281328e-62,5.39898211372406e-105,1.7708693470745013e-110,2.8887150885671687e-49,1.3618361277282766e-59,1.3256446058249061e-59,5.4761383651672496e-83,2.5718361665070808e-50,1.3539204053684068e-91,7.2796350161854945e-64,1.9886843969967091e-75,1.0010416488944156e-85,2.7593775110526165e-86,1.2651887725121176e-75,3.0448513053790981e-64,1.2661015311340635e-92,3.0448533754060346e-64,2.5174068896152457e-85
1.3011860047562935e-20,0.16772762601507865,76.950000000000003,0.0,0.0,0.0,0.99999999999999523,9.5,1.8336213160884375e-16,2.2571419922870642e-15,2.25714139924801e-15,1.132025422546148e-25,1.1319751234259294e-25,1.3038810266474064e-16,8.0780259259205694e-25,7.8007822290924182e-26,1.7148725767482089e-37,4.8602194746123245e-42,5.2664454219557167e-30,8.9257084192319965e-25,1.4562118071713661e-28,2.3631046144981961e-37,2.3273581581815556e-42,1.2095738664999029e-45,1.1587860178965107e-57,1.0250085955462701e-40,1.1802234347748951e-29,2.5570375912043402e-40,2.557037591287223e-40,7.3749745490783064e-51,9.1325668458027455e-52,6.7223951786358463e-48,7.3075350787941238e-30,4.4557505839529459e-40,2.7588190181036701e-41,3.5365732570803987e-92,2.8447348906430611e-51,3.1633535757730291e-45,3.3792240441990304e-92,9.1409621720723671e-27,5.7985096191983906e-62,5.7984932535469141e-62,7.1184297063144287e-38,2.1768897730282623e-38,1.3024762448769505e-29,7.1183256817029475e-38,1.1576256255427667e-48,3.3792240441990222e-92,4.3779867610437588e-55,3.0873572270701378e-56,2.5428315993409006e-65,6.2200922635929937e-77,8.3918168073784701e-46,5.7487268983549051e-88,2.7353027568505828e-35,1.4414184897154155e-68,8.4015261427859516e-90,8.7336365420742074e-46,2.6344406156143407e-101,2.0895592958384287e-94,2.2238053122906648e-104,8.7639182980085008e-64,2.1358964554359002e-47,5.7933692913155192e-66,4.7021040568769018e-46,9.8401971554462762e-57,1.0617279787651549e-38,1.3561747590552612e-56,8.8581141144263054e-58,4.6973333812918761e-49,1.658128596832555e-50,4.7357120406049857e-68,2.0757211453465437e-50,2.6406523016738923e-55,2.8801448655603905e-74,5.4355917947963325e-57,6.4482418279427165e-42,2.6933310192002285e-75,5.9311706338166322e-22,4.0768849186315296e-40,1.7577602432121494e-38,4.0768849186315198e-40,1.842426629502698e-68,1.2850686589718382e-60,6.7317074622492567e-61,1.7042976086344906e-102,8.0465849696783352e-108,2.8361576033969987e-48,2.4909980576941912e-58,2.6192497300784858e-58,4.3298178823906069e-81,2.5250439989274168e-49,2.1388623811926603e-89,1.4383332067407933e-62,7.8670377267287457e-74,7.9149353312278256e-84,2.1817567935441467e-84,5.00496096521652e-74,6.0161048800383537e-63,2.0001300855873132e-90,6.0161130688425619e-63,1.9904379092542293e-83
2.7650202601071234e-20,0.16772762601507865,76.950000000000003,0.0,0.0,0.0,0.99999999999998979,9.5,3.8964452966878864e-16,4.7964267331812547e-15,4.7964254731481188e-15,4.9438524294738447e-25,4.9434062266567444e-25,2.7707471424432048e-16,3.5278861078288134e-24,3.4068065279060917e-25,1.5166827097339327e-36,4.2988091406647853e-41,2.2999950775217658e-29,3.8980913187835269e-24,6.359659542523821e-28,2.0897014554964907e-36,2.058519294160719e-41,1.0698543868399243e-44,2.0619977878540168e-56,9.0660848464530348e-40,5.1543458117687644e-29,2.261670791673363e-39,2.2616707918208476e-39,1.3123372694618911e-49,1.6250914642411732e-50,5.9458822554967752e-47,3.1913925167851127e-29,3.9410607409945405e-39,2.4401441346412565e-40,5.9766524571030494e-90,5.0620536552411138e-50,2.7979503612695637e-44,5.7107392435410055e-90,3.9920982867318612e-26,2.0694447145336765e-60,2.0694330171074281e-60,6.296170313864584e-37,1.9254343064805533e-37,5.6882558096815434e-29,6.2960783052774385e-37,2.0599329021608744e-47,5.7107392435409767e-90,7.7903933284739533e-54,2.8344390470269805e-55,9.0751852894822047e-64,4.4458618317147272e-75,7.4224668373252511e-45,8.223366341977973e-86,1.1945785766192419e-34,2.6593162139939003e-67,1.2018109144177129e-87,7.724802609938075e-45,7.5394311097406233e-99,2.9890464445962587e-92,6.3642457220772226e-102,3.1277801199556295e-62,1.8891761359027382e-46,2.0676122915565698e-64,4.1589577880189327e-45,1.7510104786525379e-55,4.6368450237111275e-38,2.4132404817716909e-55,1.5762540768937668e-56,4.1547381798842123e-48,1.4665964419463085e-49,1.6900112635148137e-66,1.8359512989770157e-49,2.6493380582007604e-54,2.0586070610877587e-72,9.6723449774900666e-56,5.7033947866419098e-41,1.9250803404849428e-73,1.2603737994177096e-21,3.6059583638073745e-39,7.6766010006793922e-38,3.6059583638073582e-39,6.5754896253231646e-67,2.2865146910743045e-59,1.1977761805508483e-59,4.8774779329963246e-100,2.7262487364105526e-105,2.5085492810610763e-47,3.8556294682312433e-57,4.6608127292926387e-57,3.0947726902596815e-79,2.2333728216070724e-48,3.0595728159109977e-87,2.5594370911331396e-61,2.8076898985991657e-72,5.6572648476085391e-82,1.5594284822954504e-82,1.7862350175865571e-72,1.0705307885716499e-61,2.8611207969574332e-88,1.0705337110858918e-61,1.422681758222948e-81
5.692688770808784e-20,0.16772762601507865,76.950000000000003,0.0,0.0,0.0,0.99999999999997891,9.5,8.0220932578866438e-16,9.874996213606282e-15,9.8749936201408938e-15,2.0639610689657582e-24,2.0635854911886813e-24,5.7044792494294841e-16,1.4728229677037307e-23,1.4222746485439311e-24,1.2746905293156651e-35,3.6134081298942207e-40,9.6020266924223364e-29,1.6273763520229521e-23,2.6550326684479944e-27,1.7557839107666462e-35,1.7303050602119395e-40,8.9927707554840942e-44,3.4778605284181092e-55,7.6205904133938319e-39,2.1518379126207774e-28,1.9010705759235962e-38,1.9010705761723502e-38,2.2134484608767395e-48,2.7409542461817162e-49,4.9978720474926846e-46,1.3323435210960991e-28,3.3126986986490294e-38,2.0510881004556315e-39,8.7511357148032815e-88,8.5378930743272455e-49,2.3518457792108314e-43,8.3617801956511984e-88,1.666622409658242e-25,6.9921712280648892e-59,6.9920921190871918e-59,5.2923102730196524e-36,1.6184434745592791e-36,2.3747347076251882e-28,5.2922329342643919e-36,3.4743777677027976e-46,8.3617801956511102e-88,1.3139636348539007e-52,2.5569796589886473e-54,3.0662998890704893e-62,3.0067384021921459e-73,6.239030454974768e-44,1.1127409210966127e-83,4.9871304029971856e-34,4.803866347438458e-66,1.6262247458102392e-85,6.4931620374299303e-44,2.0407989677280503e-96,4.0446140906122016e-90,1.7226957977674584e-99,1.0568061638982414e-60,1.5879662210915066e-45,6.9859942384551196e-63,3.4958546157342801e-44,2.953335006818685e-54,1.9357915205301397e-37,4.0702826579930885e-54,2.6585828872952528e-55,3.4923077815094936e-47,1.2327634788739942e-48,5.7092827551866577e-65,1.5432267704668722e-48,2.7546760892726912e-53,1.3922368724404087e-70,1.6313822873313925e-54,4.7940434640013683e-40,1.3019326939139097e-71,2.5948873978414611e-21,3.0310249815182598e-38,3.2048299821052616e-37,3.0310249815182327e-38,2.2217092317872395e-65,3.8558788421362912e-58,2.019903413762335e-58,1.3202506535961558e-97,7.9948951551134792e-103,2.1085868211064235e-46,5.1539770495754371e-56,7.8611344170073551e-56,2.0929961527839614e-77,1.8772844269799924e-47,4.1400463754224042e-85,4.3168647479895754e-60,9.4865496923541892e-71,3.8260109915835563e-80,1.0546421752315605e-80,6.0352844128125111e-71,1.8055967559537889e-60,3.8715119748787181e-86,1.8056066303890357e-60,9.6216031933927025e-80
1.1548025792212105e-19,0.16772762601507862,76.950000000000003,0.0,0.0,0.0,0.99999999999995715,9.5,1.62733891802836e-15,2.0032135169003949e-14,2.0032129910896677e-14,8.4319544172892252e-24,8.4288735009046742e-24,1.1571942964980814e-15,6.016962101316416e-23,5.8104559038385041e-24,1.0447852485758959e-34,2.9624903115153945e-39,3.9227412092128054e-28,6.6483630751407281e-23,1.0846674763109972e-26,1.4382920963433451e-34,1.4186013451720068e-39,7.3728167831586998e-43,5.7123958840270869e-54,6.2478201544637514e-38,8.7909599980874484e-28,1.5586125153883996e-37,1.5586125157969795e-37,3.6355952201623264e-47,4.5020254596091709e-48,4.0975570458315919e-45,5.4430577553654962e-28,2.7159500117620876e-37,1.6816058242280245e-38,1.196643785776643e-85,1.4023514024852283e-47,1.9281851170502608e-42,1.1434027119743651e-85,6.8086960184720678e-25,2.2988632245174868e-57,2.2988111850061921e-57,4.3389553022155451e-35,1.3268976177879124e-35,9.7015651619388188e-28,4.3388918952414898e-35,5.7066753975714216e-45,1.1434027119743413e-85,2.1581889964593463e-51,2.3824702446077202e-53,1.008132234100799e-60,1.9779327882382893e-71,5.1151338526278268e-43,1.4643043700091447e-81,2.0374054947630925e-33,8.9368437823445079e-65,2.1400201581977026e-83,5.3234865213979147e-43,5.3717180178899163e-94,5.3224844454710098e-88,4.5344182773050788e-97,3.4745471405350945e-59,1.3019103987830599e-44,2.2968418039857034e-61,2.8661128228130266e-43,4.8508612934123175e-53,7.9083399913787935e-37,6.6854510243084304e-53,4.3667303640436462e-54,2.8632049149119783e-46,1.0106952929226387e-47,1.8765066987137322e-63,1.2652290344183371e-47,3.1239097350933203e-52,9.1585981188706264e-69,2.6795500852750232e-53,3.9304407204548283e-39,8.5645471656736565e-70,5.2639151000955871e-21,2.4850169170649562e-37,1.3092777646000621e-36,2.4850169170649111e-37,7.3044932211070041e-64,6.3311175839939451e-57,3.3166427508996875e-57,3.4751073952206871e-95,2.1880722426590581e-100,1.728746869796388e-45,5.9714012764869846e-55,1.2911912281305105e-54,1.3768426247068762e-75,1.5391111933493703e-46,5.4480676414302245e-83,7.0904633067195939e-59,3.1189700476307266e-69,2.5168778701412211e-78,6.937787668597253e-79,1.9842694691904933e-69,2.9656655997343833e-59,5.0946915168850957e-84,2.9656980641919718e-59,6.3294113913076267e-78
2.3258699835018746e-19,0.16772762601507865,76.950000000000003,0.0,0.0,0.0,0.99999999999991374,9.5,3.2775981025075275e-15,4.0346413057998015e-14,4.0346402479489156e-14,3.4083307881126349e-23,3.405835738208358e-23,2.3306868402398881e-15,2.4321520481841945e-22,2.3486790867761193e-23,8.4563607136466865e-34,2.3991014738653498e-38,1.5856347151447229e-27,2.6873743922598421e-22,4.3843993599685896e-26,1.1628182168669877e-33,1.1488083516860222e-38,5.9706981801186063e-42,9.2600383018404867e-53,5.0596462882000733e-37,3.5534465846523145e-27,1.2622048237478328e-36,1.2622048244101588e-36,5.8934548233955606e-46,7.2979768853980907e-47,3.3183072559743678e-44,2.2001707604748878e-27,2.1994458829779543e-36,1.3618077973535514e-37,1.5826759592850197e-83,2.2732717347119403e-46,1.5614940640476066e-41,1.5122595425092689e-83,2.7521835251660413e-24,7.4562448697558877e-56,7.4559072328419888e-56,3.5137978386830659e-34,1.0745558907423264e-34,3.9215269644286524e-27,3.513746490087928e-34,9.2507650548368334e-44,1.5122595425092052e-83,3.498516654699413e-50,2.3927859253242896e-52,3.2698521837666803e-59,1.2833500638898659e-69,4.142367590399837e-42,1.9003843149460615e-79,8.235518755513883e-33,1.7879828643155124e-63,2.7773329274389271e-81,4.31109737785651e-42,1.3943651337312815e-91,6.9075574029595367e-86,1.1770228400646986e-94,1.1269608348106381e-57,1.0543203900826061e-43,7.4497496675334854e-60,2.3210524699828985e-42,7.863454145282618e-52,3.1966774654013622e-36,1.0837402702546776e-51,7.0786580578551844e-53,2.3186975725328937e-45,8.184893781128135e-47,6.0826420673047649e-62,1.0246128298769948e-46,3.931598965030536e-51,5.9424095833681733e-67,4.3436654433139592e-52,3.1829634773110981e-38,5.556969180436126e-68,1.0601972526230179e-20,2.0124303348537055e-36,5.2923112394235469e-36,2.0124303348536324e-36,2.3691944444087578e-62,1.025596996774312e-55,5.3730046487557145e-56,9.0204718522364348e-93,5.7900257550353721e-98,1.3999840335236164e-44,6.0762580916017771e-54,2.0930686453047268e-53,8.9334227362301438e-74,1.2464121474958408e-45,7.0705393579138045e-81,1.1493946554130133e-57,1.0116304990614119e-67,1.6330362976875655e-76,4.501472286504894e-77,6.4359304499775268e-68,4.8073663907275183e-58,6.6119254340592375e-82,4.8074716850113021e-58,4.1067373386274695e-76
4.668004792063203e-19,0.16772762601507865,76.950000000000003,0.0,0.0,0.0,0.99999999999982681,9.5,6.5781164714649679e-15,8.0974968748847314e-14,8.0974947564997787e-14,1.370474817339125e-22,1.3684675979897957e-22,4.6776711302499395e-15,9.7795745169827632e-22,9.4439345794473423e-23,6.7990517807414169e-33,1.9310055982658916e-37,6.375767443977237e-27,1.0805812138166977e-21,1.7629476971930544e-25,9.3281656482526641e-33,9.2464191488630597e-38,4.8057373278172497e-41,1.4913001058866117e-51,4.0724427738387608e-36,1.4288252415089903e-26,1.0159322499254411e-35,1.0159322509920955e-35,9.4912218422995192e-45,1.1753165533428848e-45,2.6708612774725937e-43,8.8467881619760546e-27,1.7703040220613846e-35,1.0961010716867699e-36,2.0591048085616293e-81,3.6610330165217571e-45,1.2568258908533561e-40,1.9674911200317506e-81,1.1066406760577139e-23,2.4020880823327604e-54,2.401870527417137e-54,2.8282091315159604e-33,8.6489573948236483e-34,1.5768281106166346e-26,2.8281678017257476e-33,1.4898066518103123e-42,1.9674911200315856e-81,5.6342509282731583e-49,2.6718952245503085e-51,1.0534260788729668e-57,8.269855116793742e-68,3.3341371348443507e-41,2.4493317070919152e-77,3.3114658644915222e-32,3.9723008530135861e-62,3.5795967941162326e-79,3.4699461818157517e-41,3.5943832369003184e-89,8.9028840223293521e-84,3.0341200512441081e-92,3.6306531474966445e-56,8.4860812152365849e-43,2.4000350155555939e-58,1.868184950137579e-41,1.266384710496926e-50,1.2853699472563326e-35,1.7453298111261504e-50,1.1399960458790394e-51,1.8662895266331565e-44,6.5879488064144123e-46,1.9571844480800158e-60,8.2469360813433973e-46,5.4210427446498768e-50,3.8292638724979767e-65,6.9953369871249447e-51,2.5619109123634639e-37,3.5808877356940184e-66,2.1278095465003613e-20,1.6197777344159849e-35,2.1280160214176507e-35,1.6197777344158673e-35,7.6326727682122665e-61,1.6494279533326196e-54,8.642075643309614e-55,2.3252655405691945e-90,1.5068788751712791e-95,1.1268289422611002e-43,5.5981109503304587e-53,3.3707968356861247e-52,5.7566603166441302e-72,1.0032209300519638e-44,9.1129431516005854e-79,1.8510646538918186e-56,3.259102667562495e-66,1.0523223188504074e-74,2.9007298631051032e-75,2.0734207182290965e-66,7.7417760785316769e-57,8.5218535600770696e-80,7.7421152761470784e-57,2.6463646336060876e-74
9.35227440918586e-19,0.16772762601507865,76.950000000000003,0.0,0.0,0.0,0.99999999999965294,9.5,1.317915320937627e-14,1.6223207978251881e-13,1.622320375293098e-13,5.4962169599081436e-22,5.4801308604869293e-22,9.371636520377963e-15,3.9220452604347785e-21,3.7874395712886659e-22,5.4440311858371135e-32,1.5495104045503398e-36,2.5569679026981683e-26,4.333612286306509e-21,7.0702087460582212e-25,7.4356639318829388e-32,7.4193642900583141e-37,3.8563015403135963e-40,2.3938652853716634e-50,3.2678776678258235e-35,5.7302282636962961e-26,8.1522164687569524e-35,8.1522164858791001e-35,1.523549549818769e-43,1.8866429581037372e-44,2.1431962235506542e-42,3.5479563725777208e-26,1.4205552859227402e-34,8.7955156928435264e-36,2.6571656629261944e-79,5.87676547750307e-44,1.0085230173444976e-39,2.5389430516341178e-79,4.4381223446893972e-23,7.7123408548491173e-53,7.7109439511605702e-53,2.2694580083772341e-32,6.9402383909727108e-33,6.3237808896989496e-26,2.2694248438657862e-32,2.3914678792969475e-41,2.5389430516336905e-79,9.0442131835600259e-48,3.3412218419582219e-50,3.3823279105291432e-56,5.3108377148908188e-66,2.6754339831842816e-40,3.145969253725301e-75,1.3280459158047007e-31,9.8848278896943836e-61,4.5977037025530073e-77,2.7844132093126916e-40,9.2335162325702354e-87,1.1435039706185188e-81,7.7942710686014512e-90,1.1657257496152198e-54,6.8095352732866057e-42,7.7060022010784724e-57,1.4991007607585026e-40,2.0328268373795542e-49,5.1549083675633146e-35,2.8016393243970056e-49,1.8299460860098499e-50,1.4975798073158495e-43,5.2864689441568084e-45,6.2686275146395025e-59,6.6175836538867022e-45,7.9715130255313124e-49,2.4591233837617148e-63,1.1229057708671414e-49,2.0557480817002945e-36,2.2996182257797539e-64,4.2630373688558522e-20,1.2997675731183816e-34,8.5343036319522165e-35,1.299767573118193e-34,2.4506894047800067e-59,2.6404567970923243e-53,1.3837317775223983e-53,5.9731876902062584e-88,3.8894601563236653e-93,9.0420925497649381e-43,4.8368263596095066e-52,5.4107929601907825e-51,3.6968824494164514e-70,8.0502161305934886e-44,1.1704838618265563e-76,2.9713687031150106e-55,1.0464296839622655e-64,6.757939040054755e-73,1.8628260304396598e-73,6.6573190494188709e-65,1.2426176016977751e-55,1.0945631976403226e-77,1.2427264968480278e-55,1.6994750747166626e-72
