Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234)
0.0,0.4687683400455761,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.775246255122645e-26,0.4687683400455761,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,6.3927050311379307e-19,5.1213257866182607e-18,5.1213257866182607e-18,1.0932042064308078e-33,1.0932042024898907e-33,3.8723008067233547e-16,2.9832439660863854e-29,5.0717542178027273e-34,2.4218932411797376e-49,6.1299412063065759e-54,1.2774257439948851e-51,9.0446389220139584e-29,2.9669198145225103e-35,2.2472007083369429e-49,1.478248336238349e-53,1.6332411961082393e-69,1.666215366586235e-70,5.7819708741584506e-47,4.0153026888653749e-34,2.0886083262657719e-48,2.0886083262657719e-48,2.0683917660038687e-64,3.4571881916578933e-65,5.6994902058045307e-49,1.1459675863405879e-35,2.2697505222839609e-51,1.8968734145584104e-52,1.8088805917127721e-113,2.3317519871446647e-65,1.9019282644847739e-53,1.6336504889147381e-113,1.0816197988457429e-30,2.4886925640321028e-81,2.4886925639260001e-81,6.7075258866498602e-45,1.9557546537750077e-45,8.7055838221757827e-32,6.7068854561214532e-45,1.844680694767829e-59,1.6336504889147381e-113,8.4463030957816253e-69,1.6662153665936339e-70,7.3989233428443899e-82,8.5566226052311712e-98,7.3260377876951973e-54,3.4986214907173593e-114,1.1411312994457537e-37,7.1119605719763415e-88,2.7933746467684544e-113,2.4621947270725732e-52,3.3187918783951009e-130,8.6580395245770992e-119,1.9617875521388676e-134,1.0047452313073964e-76
2.1770689514343404e-25,0.4687683400455761,76.950000000000003,0.0,0.0,0.0,0.99999999999999889,9.5,1.7899574087186194e-18,1.4339712202531111e-17,1.4339712202531111e-17,6.6029534068418915e-33,6.6029533600553247e-33,1.0842442258821402e-15,1.8018793555156231e-28,3.0633395475519734e-33,2.8752715332597991e-48,7.2774662001440097e-53,1.9304457843248769e-50,5.4629619088947525e-28,1.7920195679715936e-34,2.6678763893185535e-48,1.754976424716977e-52,4.6060014916161606e-68,3.7272571264330024e-69,6.864355821798971e-46,2.425242824074673e-33,2.4795958049427115e-47,2.4795958049427115e-47,4.6269096448744749e-63,7.7335916972079965e-64,6.7664347723267644e-48,6.9216442214973229e-35,2.6946478200521982e-50,2.2519681177626293e-51,1.9275026396038703e-111,5.2160359251604248e-64,2.2579692355970539e-52,1.7407813672165916e-111,6.5329835850262771e-30,1.0269659548627749e-79,1.0269659547829032e-79,7.9631747326271917e-44,2.3218719249606446e-44,5.2581726285916573e-31,7.962414413503881e-44,4.1264769269661029e-58,1.7407813672165912e-111,1.8894042173144991e-67,3.7272571264635352e-69,3.0531864344055086e-80,6.4412119239082446e-96,8.6974720615521856e-53,4.7756010936154137e-112,6.8924330486523278e-37,2.9347704435219677e-86,3.8129426270830637e-111,2.9231175799801586e-51,8.1874301249771955e-128,1.1818181284383848e-116,4.8397124892914622e-132,4.1461093298547419e-75
4.976157603278492e-25,0.4687683400455761,76.950000000000003,0.0,0.0,0.0,0.99999999999999745,9.5,4.0913312199282692e-18,3.2776485034356733e-17,3.2776485034356733e-17,3.1790378323005069e-32,3.179037786365178e-32,2.4782725163001535e-15,8.6752734533709074e-28,1.4748661265357215e-32,2.8229583816459033e-47,7.1450594701212622e-52,2.0766854834971956e-49,2.6301809985191422e-27,8.6278028206314163e-34,2.619336241618645e-47,1.7230462605173272e-51,1.0019059320840955e-66,7.3644319852603518e-68,6.7394652509130763e-45,1.1676500219220306e-32,2.4344818650953433e-46,2.4344818650953441e-46,9.1419937572879044e-62,1.5280273972009111e-62,6.6433257838722033e-47,3.3324737410786832e-34,2.645621208763893e-49,2.2109956520058244e-50,4.3865450274694993e-109,1.0306008010876219e-62,2.2168875850856329e-51,3.961611098932053e-109,3.1453503750404103e-29,4.0625751892460614e-78,4.0625751886145416e-78,7.8182921734681646e-43,2.2796276244369165e-43,2.5315837754849481e-30,7.8175456876443019e-43,8.1532230368428056e-57,3.9616110989320516e-109,3.7331443415741211e-66,7.3644319853811316e-68,1.207810190632767e-78,5.0928725862569653e-94,8.5392296453388994e-52,7.5442792872966922e-110,3.3184098187882115e-36,1.1609660022521816e-84,6.0235148458298951e-109,2.8699341738745502e-50,2.5845282665499144e-125,1.8669829940173857e-114,1.5277533413632632e-129,1.6401596193599383e-73
1.0574334906966796e-24,0.4687683400455761,76.950000000000003,0.0,0.0,0.0,0.99999999999999456,9.5,8.6940788423475549e-18,6.9650030698007674e-17,6.9650030698007686e-17,1.3883693421668345e-31,1.3883693015375569e-31,5.2663290971298005e-15,3.788719836921134e-27,6.4411278565959118e-32,2.4968742573530872e-46,6.3197241861579609e-51,1.9088317407359904e-48,1.1486691430931727e-26,3.7679881644435433e-33,2.3167721438282469e-46,1.5240149043038959e-50,1.8573647444626009e-65,1.3104613237583129e-66,5.9609806924097716e-44,5.0994344148588165e-32,2.1532716400468757e-45,2.1532716400468776e-45,1.6267689436155887e-60,2.7190431111237341e-61,5.8759464225477706e-46,1.4553788346528068e-33,2.340021998432257e-48,1.9556006154658741e-49,7.4130671740508562e-107,1.8338990607417117e-61,1.9608119635577356e-50,6.6949476204945065e-107,1.3736571445309843e-28,1.4499042281613003e-76,1.4499042277099165e-76,6.9151908880776279e-42,2.0163048178490941e-42,1.1056091454124303e-29,6.9145306298201668e-42,1.4508224768999488e-55,6.6949476204945029e-107,6.6429308947019687e-65,1.3104613238014188e-66,4.310588778814714e-77,3.6401723722479139e-92,7.5528519176051285e-51,1.0791845552352123e-107,1.4492367502960664e-35,4.1434051979252355e-83,8.6164416007180528e-107,2.5384242758201351e-49,7.3965884214389186e-123,2.6706583033596885e-112,4.3722341217578365e-127,5.8536131799089305e-72
2.1770689514343405e-24,0.4687683400455761,76.950000000000003,0.0,0.0,0.0,0.99999999999998879,9.5,1.7899574087186069e-17,1.4339712202530835e-16,1.4339712202530845e-16,5.7961687024935227e-31,5.7961683609799718e-31,1.0842442258763571e-14,1.5817159508112852e-26,2.6890440862668095e-31,2.0987724836743926e-45,5.312108970513696e-50,1.6330457420130316e-47,4.7954675564284081e-26,1.5730608856597951e-32,1.9473847343262182e-45,1.2810263554408057e-49,3.1923354369871522e-64,2.2102845635395874e-65,5.0105634479888299e-43,2.1289134856362357e-31,1.8099545578085472e-44,1.8099545578085502e-44,2.7437835969262382e-59,4.5860636305903419e-60,4.9390870204552687e-45,6.0759201427801235e-33,1.9669294865637047e-47,1.643800151068502e-48,1.0854363272563249e-104,3.0931388142485831e-60,1.6481806031584054e-49,9.8028780607853636e-105,5.7347481734521547e-28,4.8988986912035571e-75,4.8988986881508471e-75,5.8126346129150163e-41,1.6948256908746479e-41,4.6157005424825581e-29,5.8120796260661797e-41,2.4470241639539242e-54,9.8028780607853512e-105,1.1204273905132322e-63,2.2102845636852325e-65,1.4564505241667345e-75,2.4618503379962194e-90,6.3486271302172764e-50,1.4602935206190994e-105,6.0502781496610216e-35,1.3999629707681671e-81,1.165929754950947e-104,2.133698555360734e-48,2.0021338917834366e-120,3.6137887608949923e-110,1.1834913096947237e-124,1.9778035952166577e-70
4.4163398729096625e-24,0.4687683400455761,76.950000000000003,0.0,0.0,0.0,0.99999999999997735,9.5,3.6310564576862901e-17,2.9089130467990509e-16,2.9089130467990533e-16,2.36792403929517e-30,2.3679237593017427e-30,2.1994668581929038e-14,6.461825760236432e-26,1.0985622505826165e-30,1.7206992094290202e-44,4.3551878782971511e-49,1.3502337995038036e-46,1.959104969044108e-25,6.4264669950480118e-32,1.5965806297702058e-44,1.0502628018651393e-48,5.2910618719994697e-63,3.630399032575651e-64,4.1079626401337588e-42,8.6973062361883824e-31,1.483910099339731e-43,1.4839100993397362e-43,4.5066727969227217e-58,7.5326232842793597e-59,4.0493619463925843e-44,2.4822116307191361e-32,1.6126076299245492e-46,1.3476866780563451e-47,1.4842423646552777e-102,5.0804897904712224e-59,1.3512780373541353e-48,1.3404606560520861e-102,2.3428317490681518e-27,1.6106507074307682e-73,1.610650705422593e-73,4.7655490402224934e-40,1.3895204984234561e-40,1.8856642781888966e-28,4.7650940284730947e-40,4.019244537218053e-53,1.3404606560520831e-102,1.8403053533592924e-62,3.6303990330544996e-64,4.7884906707997823e-74,1.6194873807280268e-88,5.2049880892519621e-49,1.9216641686888245e-103,2.471736039851173e-34,4.6027719542751401e-80,1.534298003560152e-102,1.7493349883174591e-47,5.26994561467983e-118,4.7555428265576712e-108,3.1151437290918164e-122,6.5025855032003886e-69
8.894881715860305e-24,0.4687683400455761,76.950000000000003,0.0,0.0,0.0,0.99999999999995437,9.5,7.3132545556215695e-17,5.8587966998907963e-16,5.8587966998908052e-16,9.5715275653025751e-30,9.571525297843463e-30,4.4299121227851635e-14,2.6119732879652729e-25,4.4405642618038101e-30,1.3934647665427803e-43,3.5269440599819951e-48,1.0979877016396634e-45,7.919015518728587e-25,2.5976807097652862e-31,1.2929474781346416e-43,8.5053004575472823e-48,8.6151226402671211e-62,5.8850332759722831e-63,3.3267346520714632e-41,3.5155902386294084e-30,1.201708871412496e-42,1.2017088714125046e-42,7.3055108092183834e-57,1.2210706946420588e-57,3.2792782909132946e-43,1.0033496282869482e-31,1.3059314683331934e-45,1.0913916130079288e-46,1.9630526135994534e-100,8.2356928833706392e-58,1.0942999889098765e-47,1.7728875397661778e-100,9.4701005162031415e-27,5.2241069574960595e-72,5.2241069444663345e-72,3.8592651679154527e-39,1.1252697253574963e-39,7.622156504094343e-28,3.8588966876040881e-39,6.5153685957387026e-52,1.7728875397661694e-100,2.9832142819641792e-61,5.885033277525416e-63,1.5531354708588811e-72,1.0507786686064096e-86,4.2151343031129274e-48,2.4939494339464909e-101,9.9911522696687842e-34,1.4928980505236956e-78,1.9912228680914924e-100,1.4166568281050999e-46,1.3679477630123557e-115,6.1717773267582587e-106,8.0861439711063332e-120,2.1090980210818296e-67
1.785196540176159e-23,0.4687683400455761,76.950000000000003,0.0,0.0,0.0,0.99999999999990852,9.5,1.4677650751491788e-16,1.1758564006073533e-15,1.1758564006073572e-15,3.8486691368931293e-29,3.848667311845174e-29,8.8908026518063522e-14,1.0502629711929974e-24,1.7855313593254321e-29,1.1215783479895454e-42,2.8387914171003037e-47,8.8556685870631587e-45,3.1842013109185837e-24,1.0445159883816907e-30,1.0406687103425849e-42,6.8458057349812951e-47,1.3904842674915778e-60,9.4776646643667952e-62,2.6776454673082856e-40,1.4136033728247626e-29,9.6723984602144438e-42,9.672398460214584e-42,1.1765299940904628e-55,1.9664967101543561e-56,2.6394484591721074e-42,4.0344247264286208e-31,1.0511272590945724e-44,8.7844691904296236e-46,2.55398526936085e-98,1.3263329495917714e-56,8.8078783304064227e-47,2.3065752947366469e-98,3.8078857664704062e-26,1.6830156415429227e-70,1.683015633146618e-70,3.106272355524506e-38,9.0571497119306063e-39,3.0648356067343507e-27,3.1059757705133016e-38,1.049280026550315e-50,2.3065752947366261e-98,4.8043746338197058e-60,9.477664669370422e-62,5.0036328050645671e-71,6.7711768805961293e-85,3.3927067955538321e-47,3.214355870827995e-99,4.0173983849487089e-33,4.8095699327679226e-77,2.5664108618482891e-98,1.1402486616067587e-45,3.5262859345058028e-113,7.9545673349525985e-104,2.084440394972005e-117,6.7947402182915523e-66
3.5766132773564166e-23,0.4687683400455761,76.950000000000003,0.0,0.0,0.0,0.99999999999981681,9.5,2.9406443143230874e-16,2.3558098618435979e-15,2.3558098618436144e-15,1.5434884598225084e-28,1.5434869953371107e-28,1.78125837091954e-13,4.2120242559025417e-24,7.1607793490354566e-29,8.9999065384785677e-42,2.2779513320715635e-46,7.1133546010108979e-44,1.2770071425093757e-23,4.1889762846036992e-30,8.3505841644510376e-42,5.4933279401793284e-46,2.2344708892907447e-59,1.5213750768818266e-60,2.1486418552093006e-39,5.6691817745844504e-29,7.7614906179387198e-41,7.76149061793894e-41,1.8885912022861311e-54,3.1566627329491104e-55,2.1179911616376886e-41,1.6179847593593307e-30,8.4346342759642463e-44,7.0489832982885256e-45,3.2957826949549691e-96,2.1290581223785102e-55,7.0677676596470585e-46,2.9765132290319686e-96,1.5271325041442534e-25,5.4038102465095513e-69,5.4038101925890904e-69,2.4925879389555344e-37,7.267792244005797e-38,1.229136156343278e-26,2.4923499481630257e-37,1.6843268229858319e-49,2.9765132290319133e-96,7.7120852960464768e-59,1.5213750784883863e-60,1.606561557643717e-69,4.3484009529018563e-83,2.7224335382404065e-46,4.1285839427865492e-97,1.6111564348980164e-32,1.5442520400334774e-75,3.2963502177819302e-96,9.1497774056961916e-45,9.058588961355389e-111,1.0217007808776108e-101,5.3546675196927412e-115,2.181648585350507e-64
