Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692)
0.0,0.31639261364105,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.844841563653264e-24,0.31639261364105,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,7.4983791121992146e-18,7.607942627764165e-17,7.6078973606826573e-17,2.1546769308106851e-30,2.1546893446329478e-30,4.7261790589536833e-16,3.2200180234728423e-27,1.1454444995274031e-30,1.8998436668239128e-44,4.7829240613874351e-49,6.7428933863489521e-34,6.8663756942341782e-27,1.9595691428695102e-32,2.0199416130975073e-44,7.4251906010712761e-49,1.0112154184796102e-50,5.9033318145474183e-65,5.1486688082155984e-44,4.6836749702998272e-32,8.0707603425225046e-45,8.0707603425226465e-45,1.2151258878973654e-58,1.8130528004452857e-59,8.7769558361160532e-48,1.8009076749509904e-32,5.4228584288772134e-46,4.0456420025279593e-47,4.0376321711245405e-104,1.0128562797977598e-58,1.0928331266410982e-48,3.7165863539805812e-104,7.8274565804540462e-29,1.4342846334622561e-72,1.4342846278379514e-72,1.0606813095389446e-41,3.1536502842755968e-42,1.5567280562031704e-30,1.0606247546909734e-41,1.1105608418570071e-54,3.7165863539805794e-104,7.6208134221936764e-62,1.1112794163188275e-58,9.7161088384247588e-75,6.6750328058263968e-89,1.3503993724079032e-49,3.8666832757481715e-103,2.6490692783158789e-36,4.7881514473058137e-74,3.2993341212542656e-103,2.9633098412298807e-49,5.8597500366970214e-118,2.0471901987983645e-108,8.5832526467627859e-122,6.5351603247327092e-71,1.4097711331483857e-49,3.6522921701469373e-72,2.7737921398234446e-49,3.9279091514417156e-63,1.4172810410587863e-39,4.1761946753430635e-63,3.2924775580830081e-64,4.0139641986785528e-53,1.5084859552568813e-52,1.4685888395257056e-76,3.4919244999051217e-53,3.1241331044351151e-56,2.4883625176519811e-83,2.5878674337264824e-62,5.8911859246200589e-46,2.1991626763310869e-84,4.5267081620434442e-22,2.3871606129543398e-44,5.972771475833459e-41,2.3871606129543398e-44,5.8473542744356757e-74,5.2157430968948991e-67,3.5392322571000059e-67,2.4236959380370281e-118,7.8287540712640248e-121,1.6893647844864854e-52,4.207796371491776e-64,4.7484283208412272e-65,2.1492127120435033e-88,1.2479717597296997e-53,1.4642914673145395e-99,3.4755301663782118e-66,1.6306944109195446e-79,1.0202822121427547e-92
2.196555637822914e-23,0.31639261364105,76.950000000000003,0.0,0.0,0.0,0.99999999999999822,9.5,2.0995461514157784e-17,2.1302239357738559e-16,2.1302112609910698e-16,1.3014248662086652e-29,1.3014321272099427e-29,1.323330136473586e-15,1.9448908861365804e-26,6.9184847770370354e-30,2.25549192903498e-43,5.6783619406721314e-48,4.0727076053550402e-33,4.1472909192299811e-26,1.1835797622931323e-31,2.3980674939213704e-43,8.8151862599070571e-48,1.2005149448189677e-49,1.3205682636053621e-63,6.1124996089952992e-43,2.8289396820605383e-31,9.5816066786408436e-44,9.5816066786411563e-44,2.7181880059763243e-57,4.0557265923987067e-58,1.0420001968171296e-46,1.0877482356486342e-31,6.438017526111232e-45,4.8029861851969654e-46,4.3024103985887088e-102,2.2657189835682608e-57,1.2974114879098095e-47,3.9603111672665418e-102,4.72778377449454e-28,5.9186156894773989e-71,5.9186156471390385e-71,1.2592408506426621e-40,3.7440136173661324e-41,9.4026374591263134e-30,1.2591737087272079e-40,2.4842801807213843e-53,3.9603111672665378e-102,1.704745479235953e-60,1.3193115428495214e-57,4.0094285477625588e-73,5.0248587191008782e-87,1.6031941348881611e-48,5.2780668368032953e-101,1.6000378441023503e-35,1.071090806847255e-72,4.503628760635876e-101,3.518041443490429e-48,1.4456123815061625e-115,2.7944380047346281e-106,2.117566518841386e-119,2.6967522063661138e-69,1.6736802883438753e-48,1.5071285903728894e-70,3.2930460283974733e-48,8.7865756546358024e-62,8.5603774879934179e-39,9.3419804404409436e-62,7.3651405983125441e-63,4.7653782966671291e-52,1.7908745260195902e-51,6.0601219923576713e-75,4.1456127646756166e-52,3.7093302582449178e-55,1.8731771936815285e-81,5.7889559343998594e-61,6.9940159273271857e-45,1.655474771579749e-82,1.2674782854318156e-21,2.8340370795047672e-43,3.6075539716157064e-40,2.8340370795047672e-43,2.4129271138629398e-72,1.166739563081118e-65,7.917110626295532e-66,5.9793077056104686e-116,1.434234327708151e-118,2.0056138721369041e-51,9.3725690102508651e-63,1.0622044209671173e-63,1.6178736852181924e-86,1.4815920731508748e-52,1.9987506367766976e-97,7.7746219609790128e-65,6.7291061461409232e-78,7.6804298305667944e-91
5.0206986007380886e-23,0.31639261364105,76.950000000000003,0.0,0.0,0.0,0.99999999999999589,9.5,4.7989626318074854e-17,4.8690832817682941e-16,4.86905431083638e-16,6.2658005147826371e-29,6.2658330599685328e-29,3.0247545974962399e-15,9.3638124116437772e-26,3.3309526044629733e-29,2.2144501141906572e-42,5.575082068950351e-47,1.9608333967506836e-32,1.9967420517521038e-25,5.6984270674637595e-31,2.3544216580080776e-42,8.654802097385922e-47,1.178672691779754e-48,2.6092363105365369e-62,6.0012883624894981e-42,1.3620126813623537e-30,9.407278255238418e-43,9.4072782552390361e-43,5.3706814450267309e-56,8.0134322978270042e-57,1.0230419721133253e-45,5.2370395184310186e-31,6.3208837826787118e-44,4.7156003175134818e-45,9.7912794266928312e-100,4.4766789048462952e-56,1.2738062922935044e-46,9.0127416176010507e-100,2.2762243734464801e-27,2.3413454991467219e-69,2.3413454656710549e-69,1.2363301342684784e-39,3.675894770961481e-40,4.5269651869275681e-29,1.2362642139378607e-39,4.9085189997486334e-52,9.0127416176010304e-100,3.368289792549283e-59,1.2953092090242344e-56,1.5860999851255512e-71,3.9730298771441121e-85,1.574025508371696e-47,8.3381052587865546e-99,7.7034934613359765e-35,2.1162970186737435e-71,7.1146750910492117e-99,3.4540339508827301e-47,4.5633977568021479e-113,4.4145553567068649e-104,6.6846495507682116e-117,1.0668083545584848e-67,1.6432292299151079e-47,5.9620508246393569e-69,3.2331321181753611e-47,1.7360792825583073e-60,4.1214532673964743e-38,1.8458179089741937e-60,1.455227668985264e-61,4.6786766699671702e-51,1.758291229257143e-50,2.3972794256991915e-73,4.0701871920930036e-51,3.6426038001728731e-54,1.4810648820042119e-79,1.1438001403222323e-59,6.8667663063537222e-44,1.3089341230107166e-80,2.897093224125362e-21,2.7824744098562434e-42,1.7368819454887975e-39,2.7824744098562434e-42,9.5452997050789022e-71,2.3052751223989826e-64,1.5642831636776561e-64,1.887501772953357e-113,6.5247873036975613e-116,1.9691235927806771e-50,1.8347513356191229e-61,2.0987369360859064e-62,1.2792040746637883e-84,1.4546358831402417e-51,3.157536136839769e-95,1.5361342859032695e-63,2.6619674729661056e-76,6.0726849227973993e-89
1.0668984526568438e-22,0.31639261364104987,76.950000000000003,0.0,0.0,0.0,0.99999999999999134,9.5,1.0197795592590874e-16,1.0346801973755411e-15,1.0346740410525808e-15,2.7364397021142433e-28,2.7364517949882912e-28,6.4276035190064257e-15,4.0894228891747555e-25,1.4547145142316645e-28,1.9586467327183986e-41,4.9311099184928426e-46,8.563474600667391e-32,8.720297130321728e-25,2.4886528114434782e-30,2.0824322049700538e-41,7.6550743609126664e-46,1.0425226478355715e-47,4.6430095503353131e-61,5.3080715937480874e-41,5.9482672122721387e-30,8.3206310827147905e-42,8.3206310827158878e-42,9.556840673699382e-55,1.4259474616618325e-55,9.048690385770616e-45,2.2871527468504135e-30,5.590750121592059e-43,4.1708950775967004e-44,1.6546829373765033e-97,7.9660109217725575e-55,1.1266672399912506e-45,1.5231134894355359e-97,9.9408698556312296e-27,8.3560957136038019e-68,8.3560954743337386e-68,1.0935200026090292e-38,3.2512872962574485e-39,1.9770446308497363e-28,1.0934616968233376e-38,8.7344472976665028e-51,1.5231134894355297e-97,5.9936917179567186e-58,1.1456886619063785e-55,5.6606944201891105e-70,2.8397638865532542e-83,1.3922077367530429e-46,1.1927422646924668e-96,3.3643179834543481e-34,3.7658449026179743e-70,1.0177340555534978e-96,3.0550539137992395e-46,1.3059897474827411e-110,6.3148960015866873e-102,1.9130776125721919e-114,3.8073632408220328e-66,1.4534176413770944e-46,2.1278135901366648e-67,2.8596687444664029e-46,3.0892603237569318e-59,1.799946922142099e-37,3.2845343465517582e-59,2.5894998844173049e-60,4.1382365302432864e-50,1.5551886800320513e-49,8.5554008458324668e-72,3.6000344719297302e-50,3.2231961979939034e-53,1.0586032485003556e-77,2.0353312364661543e-58,6.073577025341121e-43,9.3557137945555605e-79,6.1563231024668738e-21,2.4610671042644062e-41,7.5854197775688284e-39,2.4610671042644062e-41,3.406649663405507e-69,4.1020937398186015e-63,2.7835422891262305e-63,5.4018038487102745e-111,2.2140119609299279e-113,1.7416675181794838e-49,3.2053141030162955e-60,3.7345902319873971e-61,9.1432158403125743e-83,1.286608965409468e-50,4.5167524969968924e-93,2.7334688864211925e-62,9.5003728300188163e-75,4.3405012607416299e-87
2.1965556378229134e-22,0.31639261364105,76.950000000000003,0.0,0.0,0.0,0.99999999999998224,9.5,2.0995461514157541e-16,2.1302239357722595e-15,2.1302112609899894e-15,1.1424097087020302e-27,1.142412985103178e-27,1.32333013598863e-14,1.7072535554731233e-24,6.0731467349810562e-28,1.6463449252705312e-40,4.1449001486244968e-45,3.5750820734460109e-31,3.6405523918628516e-24,1.0389635595486947e-29,1.7503641755617102e-40,6.4345511157200805e-45,8.7630310220743027e-47,7.8311245932751356e-60,4.4617540091019519e-40,2.4832844692451889e-29,6.9939917806423635e-41,6.9939917806442151e-41,1.6119008642198169e-53,2.4050688145097936e-54,7.6059694907846291e-44,9.5484124895540429e-30,4.6993623410317588e-42,3.5058886267065477e-43,2.4228203092529126e-95,1.3435841751584221e-53,9.4703170176238556e-45,2.2301736557172732e-95,4.150117477565867e-26,2.8233358400867262e-66,2.8233356782682758e-66,9.1916945144975963e-38,2.7329028764622025e-38,8.2537721492345996e-28,9.1912044192406214e-38,1.4731922017045316e-49,2.2301736557172542e-95,1.0109237135858512e-56,9.6302428209350218e-55,1.9126233129708552e-68,1.9205363482055724e-81,1.1702344893312254e-45,1.6139558517883589e-94,1.4045365313569435e-33,6.3516729342956199e-69,1.3771439842046303e-94,2.567956895243499e-45,3.5351027310223179e-108,8.5449838287358616e-100,5.1784061328626099e-112,1.286421988011015e-64,1.2216850966653643e-45,7.1894012087906153e-66,2.4037238876859206e-45,5.2104890677632502e-58,7.5144240796706491e-37,5.5398472504080642e-58,4.3675700442424134e-59,3.4784371510998381e-49,1.3072297923253706e-48,2.8904609365073518e-70,3.0260458817894701e-49,2.7115690685250735e-52,7.1593388930066549e-76,3.4328836197907201e-57,5.1052074351701286e-42,6.3272737674639246e-77,1.2674782862967568e-20,2.0686751903177242e-40,3.1667634394171632e-38,2.0686751903177242e-40,1.1510299268186923e-67,6.9187125984098132e-62,4.6947968544572857e-62,1.4621808067481157e-108,6.4983531341110091e-111,1.4639764923382457e-48,5.2157870812768969e-59,6.2989322493491132e-60,6.1835612982148087e-81,1.0814723594309455e-49,6.1118224601717423e-91,4.610394809148567e-61,3.2099612602707557e-73,2.935483104427541e-85
4.455870008155053e-22,0.31639261364105,76.950000000000003,0.0,0.0,0.0,0.99999999999996403,9.5,4.259079335729046e-16,4.3213114125628779e-15,4.3212857008629007e-15,4.6671164190963775e-27,4.6671153222302196e-27,2.6844697033084059e-14,6.9746878347186795e-24,2.481078602475132e-27,1.34974733951414e-39,3.3982416122658248e-44,1.4605376790599426e-30,1.487284439840874e-23,4.2445051462149818e-29,1.4349795806878646e-39,5.275433538450951e-44,7.1844622719280546e-46,1.2862653908700137e-58,3.6580155032554158e-39,1.0145027332602373e-28,5.734097020936204e-40,5.7340970209392481e-40,2.6475520060386851e-52,3.9503327483384181e-53,6.2358333170253139e-43,3.9008380576802693e-29,3.8528211639159153e-41,2.8743393109200573e-42,3.3130018358701176e-93,2.2068410407042068e-52,7.76433805949964e-44,3.0495738323989215e-93,1.6954584039750671e-25,9.2825102412604545e-65,9.2825091767647649e-65,7.5359064974135247e-37,2.2405988918525162e-37,3.3719352348327454e-27,7.5355046877175069e-37,2.41972261366376e-48,3.0495738323988713e-93,1.6604452342344229e-55,7.8955193289189571e-54,6.2882911592781147e-67,1.263393807424785e-79,9.5942893658491319e-45,2.1238765962248876e-92,5.737990019551379e-33,1.043272425623306e-67,1.8122452819596917e-92,2.1053662119574809e-44,9.3049779961088094e-106,1.1244725919212597e-97,1.3630445259033014e-109,4.2294740417704702e-63,1.0016112436843844e-44,2.3637178210906822e-64,1.970718069995683e-44,8.5582439266668442e-57,3.0698874261554698e-36,9.0992157350971646e-57,7.173746912374207e-58,2.8518329347503168e-48,1.071745962607692e-47,9.5017859664813177e-69,2.4809352231279057e-48,2.2268446105720292e-51,4.7096522498952463e-74,5.638521651257695e-56,4.1855574742349453e-41,4.1622920191884914e-75,2.571170239923964e-20,1.6960249030899352e-39,1.2937261952307185e-37,1.6960249030899352e-39,3.7843345668465201e-66,1.1363782604797886e-60,7.7110403139197861e-61,3.8487028831724117e-106,1.7792877620539995e-108,1.2002563781046185e-47,8.0022231157917129e-58,1.0346015015563422e-58,4.0677531569017598e-79,8.8665638006697943e-49,8.0428147172190671e-89,7.5725873181344284e-60,1.0553650326853982e-71,1.9310588343587922e-83
8.974498748819331e-22,0.31639261364105004,76.950000000000003,0.0,0.0,0.0,0.99999999999992761,9.5,8.5781457043554588e-16,8.7034863661328417e-15,8.7034345806010981e-15,1.8865230773213576e-26,1.8865109258553738e-26,5.4067488345231597e-14,2.8192803364306592e-23,1.0028916396183255e-26,1.093018769274563e-38,2.7519849800119761e-43,5.903726818657489e-30,6.0118414978378713e-23,1.7156968438961031e-28,1.1619626589587247e-38,4.2721824891775231e-43,5.8181638175661464e-45,2.0850922798418468e-57,2.9623557930015605e-38,4.1007822528418949e-28,4.6436204340272265e-39,4.6436204340321603e-39,4.291795880626352e-51,6.4036596117062472e-52,5.0499394871829251e-42,1.5767811108734844e-28,3.1201144586989566e-40,2.3277144928235281e-41,4.3817620811561836e-91,3.5773844212412389e-51,6.2877622581580834e-43,4.033353328640384e-91,6.8533139444166584e-25,3.0107597571612433e-63,3.0107590664802831e-63,6.1027724561084861e-36,1.8144950719522801e-36,1.3629901328412178e-26,6.1024470602086785e-36,3.9224746252813387e-47,4.0333533286402488e-91,2.6916532750753272e-54,6.394100613673048e-53,2.0395928237820136e-65,8.197332779173501e-78,7.7697042714051642e-44,2.7563830744743531e-90,2.3193873084481823e-32,1.6912162711004481e-66,2.3519456031036294e-90,1.7049801434506114e-43,2.4153433447302541e-103,1.4593490204993564e-95,3.538130759286891e-107,1.3718197657872621e-61,8.1113073800404491e-44,7.6666620836657086e-63,1.5959385873834053e-43,1.3873282161924451e-55,1.2408975809208955e-35,1.4750220789828274e-55,1.162895288177912e-56,2.3094882492545411e-47,8.6792766637676382e-47,3.0809631387037675e-67,2.0091256391410411e-47,1.8094084136118585e-50,3.0557830660021572e-72,9.1402865688051947e-55,3.3895729204391647e-40,2.7006370736423914e-73,5.1785541532866529e-20,1.3734849356603681e-38,5.2294481405103952e-37,1.3734849356603681e-38,1.2274398442650725e-64,1.8420456358676787e-59,1.2499352821660851e-59,9.9902855010105515e-104,4.7093722632242923e-106,9.7199873366932035e-47,1.145714654682415e-56,1.6771335796257364e-57,2.6392970343512536e-77,7.1803732469348687e-48,1.0438022163721605e-86,1.2275490367503205e-58,3.4230511868516425e-70,1.2529368584138053e-81
1.801175623014789e-21,0.31639261364105,76.950000000000003,0.0,0.0,0.0,0.99999999999985478,9.5,1.7216278441607608e-15,1.7467836273227675e-14,1.7467732340046989e-14,7.585626321216969e-26,7.5854833060139107e-26,1.0851307083253489e-13,1.1336202220034786e-22,4.0325831698179638e-26,8.7968960291204711e-38,2.2150372568645159e-42,2.3738625882591344e-29,2.4173350217655233e-22,6.8987415501971876e-28,9.3505389572039094e-38,3.4386235510175504e-42,4.6829644091826919e-44,3.3579773356985514e-56,2.3843616581317449e-37,1.6489065079499898e-27,3.7375897111017265e-38,3.7375897111096712e-38,6.9118049186489747e-50,1.0312896375544036e-50,4.0646306214690509e-41,6.3401674888209698e-28,2.5113395425175763e-39,1.8735471248730336e-40,5.7007925978853255e-89,5.7612673096111824e-50,5.0609380778829707e-42,5.2475032589001762e-89,2.7556873911181626e-24,9.6995623883297188e-62,9.6995579376105825e-62,4.9120421905041802e-35,1.4604634879995676e-35,5.480523364126736e-26,4.9117802835907417e-35,6.3170244467086745e-46,5.247503258899826e-89,4.3348246106015721e-53,5.1466964384790926e-52,6.5708209781901404e-64,5.2823301949895498e-76,6.2537339372701184e-43,3.5525970964394743e-88,9.3261543567356097e-32,2.7237377036774224e-65,3.0313330531112114e-88,1.3723163488899116e-42,6.2262557426892782e-101,1.8808993478883014e-93,9.120572825403192e-105,4.4195000997548745e-60,6.5286855952111437e-43,2.4699173078989555e-61,1.2845502186204589e-42,2.2342493093917609e-54,4.9895945961589749e-35,2.3754775765963934e-54,1.8728070112528378e-55,1.858877063827093e-46,6.9858369223681563e-46,9.9198260310166269e-66,1.6171190606758392e-46,1.4661115711902653e-49,1.9691347195511501e-70,1.4720149713068248e-53,2.7282231079934324e-39,1.7402800242878674e-71,1.0393322004445126e-19,1.1055001614331903e-37,2.1027381056867549e-36,1.1055001614331908e-37,3.9543609513917466e-63,2.966324236441709e-58,2.0127967956591788e-58,2.5752889204280097e-101,1.2257730617089672e-103,7.8234914274941917e-46,1.4944977429153558e-55,2.7009718032234103e-56,1.7007527417143012e-75,5.7793890674266245e-47,1.3453166801874955e-84,1.9769298804152818e-57,1.1027815372291029e-68,8.0738763953741924e-80
3.6086271192805e-21,0.31639261364104987,76.950000000000003,0.0,0.0,0.0,0.99999999999970912,9.5,3.4492543916109192e-15,3.4996536087236973e-14,3.4996327858816763e-14,3.0421754299223058e-25,3.0420425564021171e-25,2.1740423525917424e-13,4.5463241011971769e-22,1.6172462093300394e-25,7.0578801358583424e-37,1.7774280335307638e-41,9.5202507149984717e-29,9.6945945889160056e-22,2.7667039153698711e-27,7.5000951787522945e-37,2.7592778994805198e-41,3.7577840155609024e-43,5.390297629496098e-55,1.9133000636544372e-36,6.6128525881625203e-27,2.9991803578993981e-37,2.9991803579121509e-37,1.1094977505022334e-48,1.6554482595709005e-49,3.2616100719769991e-40,2.5426907270019283e-27,2.0151917958778591e-38,1.5034035669503486e-39,7.3565708526978235e-87,9.2481099077102214e-49,4.0610840640052426e-41,6.7716249733868711e-87,1.105153891791447e-23,3.1143252814879592e-60,3.1143224232709423e-60,3.9416044900102653e-34,1.1719299668672865e-34,2.1979349805498611e-25,3.9413943262314782e-34,1.0140223201416112e-44,6.7716249733859648e-87,6.9583534871978104e-52,4.1301693680644369e-51,2.1097529471532045e-62,3.3922745708922341e-74,5.0182276232446419e-42,4.5630281402640905e-86,3.7402050193593519e-31,4.3724784463384726e-64,3.8935059757049925e-86,1.1011974437501027e-41,1.5994475864057645e-98,2.4158655018566919e-91,2.3429620360871083e-102,1.4190087904581812e-58,5.2388586234084954e-42,7.930386444986196e-60,1.0307706522559644e-41,3.586464908722902e-53,2.0010505980798375e-34,3.8131675697999114e-53,3.0062700163166848e-54,1.4916317755567864e-45,5.6056941508587332e-45,3.1812648096015704e-64,1.2976361334820108e-45,1.1920973300790185e-48,1.2645641064568151e-68,2.3629100225297067e-52,2.1892271230713025e-38,1.1175952734257564e-69,2.0822857804494457e-19,8.8709424911589973e-37,8.4329203432701916e-36,8.8709424911590006e-37,1.2696623654310617e-61,4.7608579630162499e-57,3.2303894318780505e-57,6.6155960033792187e-99,3.1640673923337097e-101,6.2778591632807764e-45,1.7353435510565975e-54,4.3356575225883013e-55,1.0922111379493686e-73,4.6375957533019263e-46,1.7279520490898469e-82,3.1734102818542243e-56,3.5408002446292265e-67,5.1849851858900691e-78
