Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987),C7H10(986),S(4381),S(4372),S(4886),S(3690),S(1588)
0.0,0.2453990341800018,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.808891290913789e-21,0.2453990341800018,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,5.1382627736904517e-17,3.871045446991704e-16,3.8710449381226065e-16,1.3373086846442566e-26,1.3372590322265593e-26,1.2649422046387899e-17,7.8311199611502274e-26,9.7840352340016485e-27,1.6038027760751371e-38,2.8550580125674511e-43,3.9727701679515117e-31,7.4488612121333304e-26,1.1225517853708052e-29,2.3465369048077022e-38,1.002820630794564e-43,4.0826274124001421e-47,1.966005410791795e-59,3.8274206272620506e-42,6.7826173490318555e-31,1.0880978232087065e-41,1.0880978232394839e-41,2.750158124919907e-52,3.2761234658892708e-53,3.997951861963793e-50,4.8508348056180183e-31,2.4520888595235648e-41,1.4605243568644336e-42,1.183104112240275e-94,9.0560420308853443e-53,7.9278781712150035e-47,1.1404201220018136e-94,7.425575994530333e-28,1.564268790145585e-63,1.5642633762322822e-63,3.5793610459779434e-39,1.100312642693451e-39,5.7815952404036236e-31,3.5793231394462492e-39,4.8471332591638019e-50,1.1404201220018127e-94,9.849164010140018e-57,2.7619683267290956e-58,3.5126281498983955e-67,9.1200136960544179e-79,2.4924872598438333e-47,7.4868524573159835e-90,7.3768390314106337e-37,1.0223422220116737e-70,7.2917194126324233e-92,2.097451315371909e-47,2.0877186552262573e-103,1.5220361739798232e-96,1.5983892468357518e-106,1.7602766318421263e-65,2.529909044598356e-49,7.0326880886345873e-68,9.9897439885003891e-48,1.7255510363078091e-58,2.7013562498488638e-40,2.5248994699000719e-58,1.58486028516118e-59,9.3322274249204603e-51,1.8528779539934434e-52,6.7904724338129119e-70,3.4797783316339958e-52,1.7102221729557001e-57,4.3538608979606678e-76,9.1412600185649183e-59,2.1542308588723543e-43,4.1141003478606841e-77,5.0896693848298195e-23,1.5040696540725194e-41,6.6626848280322616e-40,1.5040696540725168e-41,1.5238613616086698e-70,2.2673046169279284e-62,1.1191824326678154e-62,1.499915231181456e-104,1.3491218262053453e-110,5.9790231469268208e-50,3.3658632990472146e-60,5.4706493217689444e-60,2.5539789815661451e-83,5.6023595816463602e-51,1.5811406797388864e-91,9.4741768941992172e-65,4.1869158589342741e-76,3.7134076389184766e-86,1.0582394732757043e-86,2.8530505582420679e-76,8.3182303495144586e-65,1.4940696478835111e-92,8.3182443244965215e-65,8.0944440110799859e-86,1.3861571218365084e-70,3.324910129205335e-82,6.6862863462049517e-79,2.959435803906051e-87,3.2044501444647499e-27,2.4905844384677887e-66,8.606475123446144e-58,5.2510592127468862e-70,5.9301184057124605e-89,1.1213264100015922e-86,3.2053482158461839e-94,4.0328733457916595e-97,1.9843963042651414e-102,4.807983848136477e-52,1.4451953552468315e-52,1.4451953552468315e-52,1.3980292914108279e-97,4.2958701858116674e-100,6.5260912405360694e-104,6.3031342427112878e-88,8.3419370950953189e-93
2.746489561455861e-20,0.2453990341800018,76.950000000000003,0.0,0.0,0.0,0.99999999999999756,9.5,1.4387135766333171e-16,1.0838927250826492e-15,1.0838925826309954e-15,8.0773444547238721e-26,8.0767539752702977e-26,3.5418381210196383e-17,4.7299963986226249e-25,5.9095572578243754e-26,1.903963787053613e-37,3.389524932875862e-42,2.3995531813179343e-30,4.4991121170432146e-25,6.7802127832480285e-29,2.7854785950049534e-37,1.1905472327595722e-42,4.846895263684007e-46,4.3978754721615793e-58,4.5439137177303297e-41,4.0967008786142262e-30,1.2917897356230207e-40,1.2917897356918696e-40,6.1519935256219359e-51,7.3285571088266333e-52,4.746368333837827e-49,2.9299041870079456e-30,2.9111197657122627e-40,1.7339344874080943e-41,1.2606892403720567e-92,2.0258003456422447e-51,9.4119767913621687e-46,1.2152061364989675e-92,4.4850478457832213e-27,6.4549926697999938e-62,6.4549519154044459e-62,4.2494173321990312e-38,1.3062911381304691e-38,3.4920834340867438e-30,4.2493723295624687e-38,1.0842842967762892e-48,1.2152061364989654e-92,2.2032185347789269e-55,3.4853922610277e-57,1.4494958441245256e-65,6.8653186874671933e-77,2.9590808378149219e-46,1.0219516727593607e-87,4.4556107745961503e-36,2.4244457195698741e-69,9.9531610827763289e-90,2.4900942002101143e-46,5.1503834128827954e-101,2.0775718874410431e-94,3.9432122513146785e-104,7.2638306471531207e-64,3.003507930278263e-48,2.9020583499325872e-66,1.1859824061769457e-46,3.85998860072268e-57,1.6316191747803916e-39,5.6480990400280169e-57,3.545269061660541e-58,1.1079220398351262e-49,2.1997382357649991e-51,2.8020338277037874e-68,4.1311915762259821e-51,2.3904961455906873e-56,3.2774777188673921e-74,2.0448632582751084e-57,2.5575018524283133e-42,3.0969919680392759e-75,1.4251074690194711e-22,1.7856314045362424e-40,4.0242617347724187e-39,1.7856314045362365e-40,6.2882564372387468e-69,5.0716223507050921e-61,2.5034591791658626e-61,3.7002750609389112e-102,2.5420962119124077e-108,7.0982962785762339e-49,6.9842000096907503e-59,1.2237617956317935e-58,1.9225715768179873e-81,6.6511212948221121e-50,2.1582491757780051e-89,2.1193354742758843e-63,1.7277425616378413e-74,2.7953605980354854e-84,7.9661624217982759e-85,1.1773193012415032e-74,1.860749574767533e-63,2.0393976502629083e-90,1.8607553415590531e-63,6.093295280463466e-84,3.6261660180946249e-69,1.5988733387003218e-80,2.7591148653922132e-77,1.423146456421643e-85,1.9354848031973711e-26,1.0277466192647401e-64,1.9252340590857229e-56,2.1668615196545501e-68,4.4640452526125917e-87,8.4420664438683351e-85,4.3757986306990462e-92,5.5064713060317529e-95,4.8960609807670699e-100,5.708038322333761e-51,1.7157358950403926e-51,1.7157358950403926e-51,1.9085297386756508e-95,5.8652512479660975e-98,1.6101693319768258e-101,4.7448421322783033e-86,1.1386703046518689e-90
6.277690426184825e-20,0.2453990341800018,76.950000000000003,0.0,0.0,0.0,0.99999999999999456,9.5,3.2884881751618232e-16,2.4774690855495175e-15,2.477468760095127e-15,3.8888936541543422e-25,3.8883134278264661e-25,8.0956297459054743e-17,2.2772895978343245e-24,2.8451974107787736e-25,1.8691728399958644e-36,3.3278557060606692e-41,1.1552815646531245e-29,2.166128757860405e-24,3.2643805912708731e-28,2.7341006138602069e-36,1.1688833248939729e-41,4.7587105109095104e-45,8.6894606149577505e-57,4.4612413251756125e-40,1.9723851247969419e-29,1.2682868224519672e-39,1.2682868225880009e-39,1.2155301670333034e-49,1.4479993709048611e-50,4.6600123285797025e-48,1.4106227080957167e-29,2.8581543768869503e-39,1.7023871002709683e-40,2.8690337453165632e-90,4.0026399659035258e-50,9.2407342585048087e-45,2.7655248426668178e-90,2.159357416839777e-26,2.5535254056499401e-60,2.5534931827134695e-60,4.1721029202753622e-37,1.2825243193703848e-37,1.6812877592338154e-29,4.1720587364153969e-37,2.1423629458080912e-47,2.7655248426668078e-90,4.3531883014297789e-54,3.8591390175655128e-56,5.7340612758032985e-64,5.4282009241135289e-75,2.9052430351517786e-45,1.6144331375749931e-85,2.1451847897704189e-35,5.3848998971390027e-68,1.5723554747386254e-87,2.4447892488593221e-45,1.6258228774258404e-98,3.2820543399254327e-92,1.2447548616235436e-101,2.8734990263378644e-62,2.9488617112302717e-47,1.1480253521827183e-64,1.1644045588723687e-45,7.6266868147557895e-56,7.8555439726357181e-39,1.1159691579028954e-55,7.0048542289859114e-57,1.0877644284892998e-48,2.159719282404899e-50,1.1083923370781491e-66,4.056025720176428e-50,3.1098078562041866e-55,2.5914029180649739e-72,4.0403050241833664e-56,2.5109683171068861e-41,2.448698274019394e-73,3.2573886951609303e-22,1.7531433135731287e-39,1.9375088959130965e-38,1.753143313573117e-39,2.4875715901486075e-67,1.0019601552879177e-59,4.9459501735514431e-60,1.1680650153302079e-99,1.1548678737141737e-105,6.9691493756743325e-48,1.1908763721787953e-57,2.4179446000984445e-57,1.5201194420615256e-79,6.530110326790834e-49,3.4095045250924356e-87,4.1874497575207055e-62,6.8347778356429237e-73,2.2102075954945728e-82,6.2986047453279624e-83,4.6573580742590331e-73,3.6765047587388533e-62,3.221748257515638e-88,3.6765275713831336e-62,4.8177851225520878e-82,9.4365583106764247e-68,8.3084920386414647e-79,1.0914784749701367e-75,7.39538633569276e-84,9.3184947593589082e-26,4.0656632199108397e-63,3.8039380705103972e-55,8.5718644865911093e-67,3.529586584256676e-85,6.6752120388619198e-83,6.9130251982211041e-90,8.7027300230112985e-93,1.5456164585219069e-97,5.6041856566489167e-50,1.6845196108789107e-50,1.6845196108789107e-50,3.0151642161183743e-93,9.2686535845007804e-96,5.0830744074621921e-99,3.7516040015299007e-84,1.7988199654025797e-88
1.3340092155642755e-19,0.2453990341800018,76.950000000000003,0.0,0.0,0.0,0.99999999999998856,9.5,6.988037372218685e-16,5.2646218052830863e-15,5.2646211143300399e-15,1.6983820286806804e-24,1.6978686695325859e-24,1.7203212164173967e-16,9.9455214530232761e-24,1.2425724382737291e-24,1.6529952629930041e-35,2.9434506976975171e-40,5.0454181113643647e-29,9.4600528855871463e-24,1.425640766813964e-27,2.4170388709216552e-35,1.0338587126138456e-40,4.2090255550215118e-44,1.5462429930521424e-55,3.9459172381639677e-39,8.6139240301547345e-29,1.1217853312270366e-38,1.1217853314691008e-38,2.1629706875688569e-48,2.5766374532604054e-49,4.121727691987177e-47,6.1605596515622776e-29,2.5280046952897599e-38,1.505742001763528e-39,4.8485401916650036e-88,7.1224834566726091e-49,8.1733241498827158e-44,4.673614722242157e-88,9.4304806619006873e-26,9.1133113895602554e-59,9.1130810783360541e-59,3.6901774026367972e-36,1.1343781185097537e-36,7.342624542998689e-29,3.6901383225049742e-36,3.8122200131888763e-46,4.6736147222421246e-88,7.7462651014529789e-53,4.1910352112383433e-55,2.0464456154869372e-62,3.8798508129146109e-73,2.5696544240720288e-44,2.3093938288521423e-83,9.3685855640659716e-35,1.1707930241521676e-66,2.2492031076923435e-85,2.1623883989857247e-44,4.6528962774107572e-96,4.6948715071967966e-90,3.5623285860717629e-99,1.0255312904721192e-60,2.608234459196773e-46,4.0972204274018634e-63,1.0299026453412727e-44,1.3571280991812335e-54,3.4307224353192407e-38,1.9858073696541627e-54,1.2464763804260485e-55,9.6211531826483234e-48,1.910253007831518e-49,3.9553125368483043e-65,3.587504072122071e-49,4.1075524955097174e-54,1.8522262156071782e-70,7.1895062556150389e-55,2.2209191850850278e-40,1.7502269203703599e-71,6.9219518077177545e-22,1.5506350726137239e-38,8.4616112599341539e-38,1.5506350726137035e-38,8.8779654374822484e-66,1.7825522966719216e-58,8.799398187888207e-59,3.3428418668510869e-97,3.9118185717267146e-103,6.1641336947145739e-47,1.6597104696045755e-56,4.3025943359897431e-56,1.0865176811233761e-77,5.7758086309843598e-48,4.8771844532141215e-85,7.4513431050783464e-61,2.4392837185709005e-71,1.5797640076449274e-80,4.5019788081076776e-81,1.6621780142003525e-71,6.5420621362738394e-61,4.6086052731730499e-86,6.5421435514805895e-61,3.4435510184929619e-80,2.4914070489113629e-66,4.3858125523942048e-77,3.8954096687270295e-74,3.9038275721665409e-82,4.069603881001485e-25,1.451006181078712e-61,6.7689045508513676e-54,3.0592202179311169e-65,2.5228012391156494e-83,4.771252048659241e-81,9.8890345595566501e-88,1.2459029846934579e-90,4.4234358096505956e-95,4.9568383629230545e-49,1.4899384035320283e-49,1.4899384035320283e-49,4.3131958891121835e-91,1.3266034186101618e-93,1.4547369334843508e-96,2.681489672956912e-82,2.5731531587045753e-86
2.7464895614558613e-19,0.2453990341800018,76.950000000000003,0.0,0.0,0.0,0.99999999999997646,9.5,1.4387135766331809e-15,1.0838927239951036e-14,1.0838925820026465e-14,7.0904106386261627e-24,7.0860958354385128e-24,3.5418373674700454e-16,4.152058995528373e-23,5.1874951530683453e-24,1.3889932526683119e-34,2.4741476751956205e-39,2.1063627413074811e-28,3.9493854462333973e-23,5.9517695605742818e-27,2.0295802702922013e-34,8.690115407759171e-40,3.537939589798431e-43,2.6079644732791479e-54,3.3167808750240228e-38,3.5961437156525393e-28,9.4292816296031038e-38,9.4292816336858688e-38,3.6481652015022532e-47,4.3458754684614973e-48,3.4645597381752177e-46,2.5719121175235036e-28,2.1249394567243336e-37,1.2656666960254254e-38,7.0993308565349365e-86,1.2013107698184336e-47,6.8701703278651859e-43,6.8432014374599387e-86,3.9370396262626988e-25,3.0791553130686006e-57,3.0789995600396102e-57,3.1018158128362516e-35,9.535129617646905e-36,3.0654005253798276e-28,3.1017829636171556e-35,6.4298649659595921e-45,6.843201437459843e-86,1.3065205304653079e-51,4.8310726459066632e-54,6.9144763330703263e-61,2.6239446514467933e-71,2.1599491417311554e-43,3.1249450367269245e-81,3.9112000492115323e-34,2.6921174278839397e-65,3.0434982550143404e-83,1.8176177341521783e-43,1.2594617449611702e-93,6.3528427310910717e-88,9.6426318916184138e-97,3.4650377635838333e-59,2.1923776664099428e-45,1.3843578361788276e-61,8.6569522882547021e-44,2.2889946641267204e-53,1.4322590818801498e-37,3.3493539728538423e-53,2.1023645948674595e-54,8.0871589647248393e-47,1.6056924453456141e-48,1.3360992413625669e-63,3.0155053546973346e-48,5.7354252046537679e-53,1.2526611702244013e-68,1.2126150905482203e-53,1.8668099093645454e-39,1.18367902087164e-69,1.4251080673926846e-21,1.3034016485407452e-37,3.532556871242359e-37,1.3034016485407107e-37,2.9996632785403505e-64,3.00524575282597e-57,1.4835886071249732e-57,9.0484625338424148e-95,1.1470032564051737e-100,5.1813257794416167e-46,1.9484334526617525e-55,7.2569242285487463e-55,7.3481225248076756e-76,4.8549151696972094e-47,6.5995376256103103e-83,1.2567779244935339e-59,8.2417887639203887e-70,1.0683952114653314e-78,3.0446897779869064e-79,5.6161238322690575e-70,1.1033868471360222e-59,6.236111073763852e-84,1.1034143544802647e-59,2.3288747651456479e-78,6.9431766566454135e-65,2.4420640762485726e-75,1.3161712378645261e-72,2.1736983825451488e-80,1.6989564449145152e-24,4.9026209725068206e-60,1.1416746882181248e-52,1.0336296556313057e-63,1.7061721516443188e-81,3.2268022276307036e-79,1.3381284119565681e-85,1.6885474568934873e-88,1.1973493390178899e-92,4.166520668278547e-48,1.252382809031573e-48,1.252382809031573e-48,5.8364396002890451e-89,1.7970578793354781e-91,3.9377271391105384e-94,1.8134927663108645e-80,3.4818496924000228e-84
5.571450253239033e-19,0.2453990341800018,76.950000000000003,0.0,0.0,0.0,0.99999999999995237,9.5,2.9185332554555663e-15,2.1987538090102059e-14,2.1987535220325713e-14,2.8966640970574097e-23,2.8931282000932278e-23,7.1848683391728746e-16,1.6962512240659167e-22,2.1192608901212728e-23,1.138045176469165e-33,2.0284557531254917e-38,8.6051790798586108e-28,1.6134524833811074e-22,2.4314920645618417e-26,1.660560970644219e-33,7.1245340281156286e-39,2.9006166257251797e-42,4.2835883562225037e-53,2.7192968231098294e-37,1.4691420458955158e-27,7.7306947637563874e-37,7.730694770462339e-37,5.9921189817074946e-46,7.138112830992181e-47,2.8404541802556272e-45,1.050709801938209e-27,1.7421524161923909e-36,1.0376697236606125e-37,9.7077344222670323e-84,1.9731559897043714e-46,5.6325789093598608e-42,9.3574991073763881e-84,1.6084088141414674e-24,1.0123413852407482e-55,1.0122389343305434e-55,2.54305495116297e-34,7.8174720976588877e-35,1.2523155792700698e-27,2.5430280193662782e-34,1.0561068269510051e-43,9.3574991073761229e-84,2.1459629067051169e-50,6.1062291673833232e-53,2.2733279523320682e-59,1.7261179925284957e-69,1.7708564196501199e-42,4.1122509207640118e-79,1.5978528371221201e-33,6.7786451797652215e-64,4.0050715629951748e-81,1.4901928197498215e-42,3.3151095628972058e-91,8.3599821539886123e-86,2.5380986371990992e-94,1.1392281555058532e-57,1.7974427595370305e-44,4.5514634208653821e-60,7.0974925026172292e-43,3.7596798301410165e-52,5.8512456762733616e-37,5.5013226182625134e-52,3.4531401287619745e-53,6.630341519505402e-46,1.316459570742183e-47,4.3907552983058563e-62,2.4722803904776024e-47,8.4457958001701223e-52,8.2404194185461237e-67,1.991723193253108e-52,1.5305129150372973e-38,7.7866321072899949e-68,2.8909348970725318e-21,1.0686064968029379e-36,1.4431653489798617e-36,1.0686064968028811e-36,9.8622326877494494e-63,4.9318950895232131e-56,2.4349659409764434e-56,2.3816744552097972e-92,3.1389316058887477e-98,4.2479639040977927e-45,1.9853692964290141e-54,1.1919421284029029e-53,4.8338380454930732e-74,3.9803527724552528e-46,8.6846161210779828e-81,2.064261510583923e-58,2.7097200787693395e-68,7.0282611896671747e-77,2.0028977504439952e-77,1.8464586381159096e-68,1.8122256987186208e-58,8.2063674920290005e-82,1.8123161301806635e-58,1.5320110072988884e-76,2.0409145671658324e-63,1.4342978205402157e-73,4.3272853799905932e-71,1.2766850226597548e-78,6.9406029498501365e-24,1.6118738751854212e-58,1.8752041014257592e-51,3.3982711354464412e-62,1.12237762404247e-79,2.1226625027869386e-77,1.7608651294628751e-83,2.2289924337443416e-86,3.1515549612760456e-90,3.4159643123012787e-47,1.0267787734003601e-47,1.0267787734003601e-47,7.6804404734387439e-87,2.3699703742121942e-89,1.0364530510027269e-91,1.1929761169566369e-78,4.5819172616944132e-82
1.1221371636805376e-18,0.2453990341800018,76.950000000000003,0.0,0.0,0.0,0.99999999999990408,9.5,5.8781726130993755e-15,4.4284759713759451e-14,4.4284753976549801e-14,1.1708779390988136e-22,1.1680175945257141e-22,1.4470924960982586e-15,6.856515793309068e-22,8.5663901967444078e-23,9.2042958104644666e-33,1.6426960699578288e-37,3.4783509628994604e-27,6.5218301847614727e-22,9.8284796677777108e-26,1.3392724245562295e-32,5.769393291105597e-38,2.3489945417380417e-41,6.9438776698858303e-52,2.2021562119454375e-36,5.9385070351805944e-27,6.2605170362735257e-36,6.2605170471441516e-36,9.7134723347338493e-45,1.1571186310162226e-45,2.3002714742641844e-44,4.2471352551052152e-27,1.4108380345406049e-35,8.4033135631380909e-37,1.2839408043276091e-81,3.1985690824009191e-45,4.5614055139482862e-41,1.2376188313189405e-81,6.5014428757911883e-24,3.2833914109842051e-54,3.282726786548111e-54,2.0594301221837226e-33,6.3307863204785222e-34,5.0620552970871572e-27,2.059408312080535e-33,1.711993301018216e-42,1.2376188313188712e-81,3.4786951449553169e-49,8.4199061367494488e-52,7.3734809086526775e-58,1.1199636729959852e-67,1.4340848170041815e-41,5.3369057810009698e-77,6.4587766237875736e-33,1.8629637057254839e-62,5.19780771969215e-79,1.206796757733158e-41,8.6052015109827257e-89,1.0849639922723454e-83,6.5882740856372558e-92,3.6950562916525278e-56,1.4556142757997237e-43,1.4762547813445654e-58,5.7477334203534692e-42,6.0946004943045469e-51,2.3651670493872086e-36,8.9178766890522168e-51,5.5976888531640271e-52,5.3694224570682588e-45,1.0661288323240824e-46,1.4228051305671284e-60,2.0020955594727447e-46,1.2902976088099608e-50,5.3466598772992574e-65,3.2286667449843849e-51,1.239431812218392e-37,5.052227586409527e-66,5.8225927821831781e-21,8.6538375182585209e-36,5.833509954537209e-36,8.6538375182576015e-36,3.198789012335642e-61,7.9811346338547131e-55,3.9412557180643931e-55,6.1820848101416917e-90,8.3058611197154433e-96,3.4401112857616685e-44,1.8258387927518292e-53,1.9321576034199504e-52,3.1363559550202018e-72,3.2233928641987653e-45,1.1270945348252608e-78,3.3462568499031375e-57,8.7889137631856066e-67,4.5601764820838905e-75,1.2995472545075245e-75,5.9889443040531701e-67,2.9374025467540109e-57,1.0650271599836322e-79,2.9376958157883232e-57,9.9402023417008854e-75,6.2279158622049698e-62,8.7479287545863082e-72,1.4035461396189634e-69,7.7867001631263628e-77,2.8053503125090102e-23,5.22807014123195e-57,3.0397866492862636e-50,1.1021711327115027e-60,7.2823766914934657e-78,1.377196957630071e-75,2.2851474003785518e-81,2.9108358948561545e-84,8.1802442799601237e-88,2.7663347446388266e-46,8.3151155469045937e-47,8.3151155469045937e-47,9.9676760311457386e-85,3.0890853177657767e-87,2.6902400856556685e-89,7.7404361186574276e-77,5.9464417907178143e-80
2.2521214403938064e-18,0.2453990341800018,76.950000000000003,0.0,0.0,0.0,0.99999999999980749,9.5,1.1797451328383154e-14,8.8879202655250979e-14,8.8879191311500317e-14,4.7080486750772713e-22,4.6850779942359374e-22,2.9043016918329487e-15,2.7569725431506778e-21,3.4445068874821838e-22,7.3893506847545181e-32,1.3221847234299768e-36,1.398629618897264e-26,2.6223970442845021e-21,3.9519884316871059e-25,1.0692246468441944e-31,4.6433248244682762e-37,1.8906751565141825e-40,1.1182889162668359e-50,1.7724855215427066e-35,2.387847552355427e-26,5.0390087389756477e-35,5.0390087564824169e-35,1.5643213112130699e-43,1.8635031775497102e-44,1.8514554389262735e-43,1.7077529924235899e-26,1.1355617125036318e-34,6.7637099505542411e-36,1.6704421738432395e-79,5.1511910838847472e-44,3.6714112882601996e-40,1.6101760174743069e-79,2.6141994038576334e-23,1.0577150875919706e-52,1.0572869505059587e-52,1.6576057753087644e-32,5.0955591198247454e-33,2.0354265504539337e-26,1.6575882205823733e-32,2.7571080008157837e-41,1.6101760174741259e-79,5.6023209732788207e-48,1.2370944955810399e-50,2.3754626354969758e-56,7.2169949467708979e-66,1.1542752184913665e-40,6.8785263395161759e-75,2.5970456587967186e-32,5.4614238205932939e-61,6.699248363396693e-77,9.7133498165202938e-41,2.2182404096949778e-86,1.398367381520852e-81,1.6983188633328676e-89,1.19040972108931e-54,1.1716026339931401e-42,4.7559419566975449e-57,4.626275860915503e-41,9.8151580741140759e-50,9.5102326309128095e-36,1.4361951495675867e-49,9.0149050042275998e-51,4.3217783087698208e-44,8.5815467176179182e-46,4.5752372680123459e-59,1.6114265600231412e-45,2.0145994073411356e-49,3.4453598749386799e-63,5.1996605912333741e-50,9.9757481899189783e-37,3.2556293666241068e-64,1.1685925455398942e-20,6.9653372389397048e-35,2.3456326138005363e-35,6.9653372389382251e-35,1.0305308663141319e-59,1.2809531103849659e-53,6.3282582704319496e-54,1.5935339858179669e-87,2.161595514423536e-93,2.7689008142869453e-43,1.574733718367436e-52,3.1115773480459036e-51,2.0210515905818486e-70,2.594466992202977e-44,1.4526660595224198e-76,5.3890434529384532e-56,2.8314666989467244e-65,2.9385610519797356e-73,8.3742172346605311e-74,1.9294181651832567e-65,4.7296514829786181e-56,1.3726699852884281e-77,4.7305960096922918e-56,6.4054177002137155e-73,1.9433324896725338e-60,5.4572130878558014e-70,4.5217205088408642e-68,4.8576518721810238e-75,1.1278965046310231e-22,1.6842897719073667e-55,4.8954826642276332e-49,3.5504692287632131e-59,4.6927451689072793e-76,8.8738045765527828e-74,2.9449268238829107e-79,3.7981191766730147e-82,2.1084743299988239e-85,2.2265840988390576e-45,6.692720067552415e-46,6.692720067552415e-46,1.2846757345731837e-82,4.0157178185473977e-85,6.9341482141543151e-87,4.987906981246358e-75,7.664133148717433e-78
4.512089993820344e-18,0.2453990341800018,76.950000000000003,0.0,0.0,0.0,0.99999999999961431,9.5,2.3636008758935341e-14,1.7806808732093279e-13,1.7806806527141069e-13,1.8881380745228947e-21,1.8697889715077502e-21,5.8187115688823276e-15,1.1056674525876495e-20,1.3814005718950343e-21,5.8991154053288083e-31,1.0609699960257946e-35,5.6091302846743876e-26,1.0516967486041905e-20,1.5849241057237504e-24,8.4428666162559802e-31,3.7253583017131249e-36,1.5171477288006343e-39,1.7950975992112195e-49,1.4223057873360535e-34,9.5763366117958086e-26,4.0434871280389529e-34,4.0434871561410836e-34,2.5110710306525986e-42,2.9913330379875931e-43,1.4856713135072843e-42,6.8488419687409625e-26,9.1121117766851845e-34,5.4274386305148651e-35,2.1556171012587931e-77,8.2687838315690705e-43,2.9460687942607584e-39,2.0778468202482363e-77,1.0484091336336039e-22,3.395631409740306e-51,3.3928837962700161e-51,1.330119823488386e-31,4.0888516823334584e-32,8.1629417923535359e-26,1.3301057368330773e-31,4.4257547178979414e-40,2.0778468202477692e-77,8.9929327720301928e-47,1.890437612538103e-49,7.6270965556558522e-55,4.6346925781982972e-64,9.262315565693127e-40,8.8349007992547063e-73,1.0415314529670866e-31,1.6668272709353783e-59,8.6046330036813086e-75,7.7943508940533839e-40,5.6983714347932675e-84,1.7960885319731607e-79,4.3627606679791579e-87,3.8221438680963209e-53,9.4013352411050493e-42,1.5270271420442349e-55,3.7122949659630014e-40,1.575547631919535e-48,3.8140285998798288e-35,2.3054067932133341e-48,1.4470917984190153e-49,3.4679548945337407e-43,6.8868157940082933e-45,1.4635723583607323e-57,1.2930135679379044e-44,3.1829981656863456e-48,2.2125763222610343e-61,8.346582184661095e-49,8.0044646487210696e-36,2.0907334198143156e-62,2.3412658413733636e-20,5.5892058554544578e-34,9.4070673153901646e-35,5.5892058554520844e-34,3.308808063447395e-58,2.0422795854917416e-52,1.0097753931897052e-52,4.093182253949644e-85,5.5793202352787802e-91,2.2218684739573236e-42,1.3099568979488431e-51,4.9944404089145679e-50,1.2978996278763599e-68,2.0818963454169547e-43,1.8658263254399693e-74,8.6506080924889647e-55,9.091252545245309e-64,1.8871240726694676e-71,5.377842974065211e-72,6.1949569745367288e-64,7.5891067664731976e-55,1.7630782241686132e-75,7.5921376561834182e-55,4.1135001554982655e-71,6.138333111932996e-59,3.4466959161860456e-68,1.4518358295109166e-66,3.0681232566599415e-73,4.5223870408736062e-22,5.4078841173170467e-54,7.8583337879617235e-48,1.1397745603208628e-57,3.0136598745631924e-74,5.6976544015811134e-72,3.7817137103969145e-77,4.9976293600577526e-80,5.4152490888067258e-83,1.7866890695469064e-44,5.3704730036440831e-45,5.3704730036440831e-45,1.6500088838167513e-80,5.2459770476460306e-83,1.780915490051963e-84,3.2031979443941775e-73,9.8439480810489224e-76
