Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146)
4.023833385087763e-18,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999999939482,9.5,5.4943221904498648e-14,2.5625373865646153e-13,2.5625373769563461e-13,1.3994910841251457e-21,1.4169568914355201e-21,3.7772781372670378e-14,6.7838413222721263e-20,1.2233229363908424e-17,9.782927323004531e-22,7.4598467669305986e-20
8.049413983977128e-18,0.4411234589463145,76.950000000000003,0.0,0.0,0.0,0.9999999999987893,9.5,1.099103010479362e-13,5.1261874401217028e-13,5.1261874023591802e-13,5.5314853223537519e-21,5.6696731307677639e-21,7.5561672934592681e-14,2.7144111936473549e-19,2.4471711418634173e-17,3.9144401211952385e-21,2.9849005312921426e-19
1.6100575181755858e-17,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999999757827,9.5,2.1984445933399284e-13,1.0253487462150683e-12,1.0253487316358639e-12,2.1601319007146308e-20,2.2682383537990162e-20,1.5113858178273437e-13,1.0859340509879785e-18,4.8948497962911694e-17,1.5660268667016227e-20,1.1941466839396418e-18
3.220289757731332e-17,0.4411234589463145,76.950000000000003,0.0,0.0,0.0,0.99999999999515632,9.5,4.3971277590283234e-13,2.0508087165867899e-12,2.0508086622203841e-12,8.2457469601191347e-20,9.0736911579764474e-20,3.0228890245711329e-13,4.3440323003593296e-18,9.7901360801075825e-17,6.2645846940787786e-20,4.7769123379845635e-18
6.440754236842823e-17,0.44112345894631466,76.950000000000003,0.0,0.0,0.0,0.9999999999903123,9.5,8.7944940902741584e-13,4.1017285211939684e-12,4.1017283316037512e-12,3.0196159940248477e-19,3.6296236067742343e-19,6.0457555636548196e-13,1.7376376827697312e-17,1.9580424555827718e-16,2.5059097791029695e-19,1.9107921654005698e-17
1.2881683195065804e-16,0.4411234589463145,76.950000000000003,0.0,0.0,0.0,0.99999999998062428,9.5,1.7589226752242014e-12,8.2035675858635651e-12,8.2035670044818882e-12,1.0308967570717113e-18,1.4518785437676746e-18,1.2090929195980101e-12,6.9503246092728711e-17,3.9159865205563045e-16,1.0023634648592279e-18,7.6429200069103587e-17
2.576354111151177e-16,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999996124833,9.5,3.5178692074082459e-12,1.640724353702601e-11,1.6407242163671435e-11,3.171596273181242e-18,5.807569752238266e-18,2.4179039091373398e-12,2.7798641380267082e-16,7.831420182571887e-16,4.0093280527144206e-18,3.0568758196864275e-16
3.864539902795774e-16,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999994187239,9.5,5.2768157393827641e-12,2.4610917310014006e-11,2.461091541718686e-11,5.7143416226241655e-18,1.2341117505711726e-17,3.6264912031543924e-12,5.9067972260095193e-16,1.174639942940036e-15,8.5196030278396954e-18,6.4954057880039687e-16
5.152725694440371e-16,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999992249644,9.5,7.0357622711477565e-12,3.2814588904829847e-11,3.2814586930461038e-11,8.4938091068804749e-18,2.1052519506903251e-17,4.8348548430449536e-12,1.0075638879653735e-15,1.5660924313779975e-15,1.4533079201777694e-17,1.1079669843522611e-15
7.729097277729563e-16,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999988374455,9.5,1.0553655334185997e-11,4.922192698243195e-11,4.9221926142390773e-11,1.4339034019930037e-17,4.3586606964403712e-17,7.2510573486657162e-12,2.0858019726307937e-15,2.3488907885262075e-15,3.008761411846656e-17,2.2936508038643357e-15
