Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109),C7H11(46),C2H4(115),C5H7(210),S(340),S(339),S(204)
1.7061732795587965e-16,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999980775101,9.5,1.3502082356608824e-11,5.9031079261070413e-11,5.9031077522305824e-11,5.4245773850619675e-18,9.6436106217997697e-18,6.0595168651700119e-11,4.2321357510908804e-15,7.9219221201187473e-14,5.9811992668680611e-18,6.0945673565377948e-15,9.0426703350880769e-26,3.2924515938960248e-20,5.0357383188293772e-30,2.5515558920471461e-30,2.340138081912735e-20,1.0090706033552446e-26,1.0090705329349809e-26,6.2150157073458982e-34,8.2701065895696969e-35,4.7654382204453053e-26
2.1420432422135585e-16,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999975863785,9.5,1.6951410863460913e-11,7.411153453632205e-11,7.4111532593616029e-11,7.5698131596376377e-18,1.4722545389264957e-17,7.6072344096854137e-11,6.4608933623050091e-15,9.9454647802923668e-14,9.1311643730301525e-18,9.3041320260036413e-15,1.459770160129755e-25,5.0264516388663583e-20,9.3995007370023434e-30,4.622831213450484e-30,3.572603281535709e-20,1.8282019089539999e-26,1.8282017604979218e-26,1.3102088650146615e-33,1.7435191553378562e-34,7.4326527747205554e-26
2.5779132048683205e-16,0.5724075743454521,76.950000000000003,0.0,0.0,0.0,0.99999999970952491,9.5,2.0400739369877177e-11,8.9191988680072022e-11,8.9191986813694558e-11,9.8657375688950832e-18,2.0928789410661035e-17,9.1548289191659684e-11,9.1842418427577173e-15,1.1968902989140049e-13,1.298021567962716e-17,1.3225941657331043e-14,2.1638566004393447e-25,7.1453180667750905e-20,1.5867041392414469e-29,7.6274844933764012e-30,5.0786241542521049e-20,3.0164566874382525e-26,3.0164564074656053e-26,2.4709052673054151e-33,3.2882120738612597e-34,1.0729784766687919e-25
3.4496531301778445e-16,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999961129893,9.5,2.7299396381377831e-11,1.1935289350979572e-10,1.1935289288702922e-10,1.4683766379770403e-17,3.678624202751435e-17,1.2249642007062896e-10,1.6142151215780319e-14,1.6015460241686303e-13,2.2814508714816766e-17,2.3245811016381746e-14,4.0288245129093789e-25,1.2559152531510412e-19,3.7584251656021692e-29,1.7522988971161242e-29,8.9266304447181365e-20,6.9298384295379399e-26,6.9298375864628269e-26,7.4404795723356645e-33,9.9027155868919957e-34,1.9248902350185944e-25
4.3213930554873686e-16,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999951307283,9.5,3.419805339110752e-11,1.4951379374177214e-10,1.4951379592086526e-10,1.9695071327508568e-17,5.7224406410022041e-17,1.5343955277686212e-10,2.5109285522802216e-14,2.0061593134147523e-13,3.5489104503379593e-17,3.615910284953821e-14,6.5014369020213159e-25,1.9536811822919089e-19,7.3236929189987097e-29,3.3582872255214291e-29,1.38862056316017e-19,1.3281036994543813e-25,1.3281035018583771e-25,1.7438441987347396e-32,2.3211584703518922e-33,3.0327312328513164e-25
6.064872906106417e-16,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.9999999993166212,9.5,4.7995367405249673e-11,2.0983558040122453e-10,2.0983559329133904e-10,2.9870463748878876e-17,1.1185408732440946e-16,2.1531081555599606e-10,4.9074491151757753e-14,2.8152585025632748e-13,6.9364938077582464e-17,7.06706517501171e-14,1.3271878481056818e-24,3.8187292951473896e-19,2.0428576417843874e-28,9.2123181126255836e-29,2.7142791157576585e-19,3.6431863295668092e-25,3.643185557051705e-25,6.8174702849950075e-32,9.0768075952061789e-33,6.0167157987535628e-25
9.551832607344513e-16,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999892371916,9.5,7.5589995412264101e-11,3.3047909849989566e-10,3.3047915370862164e-10,5.0373714001210638e-17,2.761290805240139e-16,3.3899335463816591e-10,1.2111897964978948e-13,4.4329474480181597e-13,1.7121670679350431e-16,1.7441968384363172e-13,3.4113192128437032e-24,9.4268756870979075e-19,8.2029052173292863e-28,3.6572518892729881e-28,6.7006284277592211e-19,1.4463181033458797e-24,1.4463175919592346e-24,4.5126798092484394e-31,6.0118664077288775e-32,1.5057312225194271e-24
1.6525752009820703e-15,0.5724075743454521,76.950000000000003,0.0,0.0,0.0,0.99999999813791973,9.5,1.3077925134120952e-10,5.7176591380796044e-10,5.7176613789439743e-10,9.1402431759581056e-17,8.2474989792531994e-16,5.8611869173884262e-10,3.6158192123278327e-13,7.6662887031645005e-13,5.1126241222661701e-16,5.2070290364234003e-13,1.049981817929102e-23,2.8154919620320686e-18,4.3966575201678012e-27,1.9500089215447302e-27,2.0013691436793548e-18,7.7114938918899317e-24,7.7114888539111745e-24,4.4450334636109208e-30,5.929452958705707e-31,4.5423766606658979e-24
2.3499671412296893e-15,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999735212663,9.4999999999999964,1.8596850715671046e-10,8.1305243459937419e-10,8.1305294000789385e-10,1.3241859664786757e-16,1.6667961053471979e-15,8.3292465480281173e-10,7.3043063709422885e-13,1.0896915991052904e-12,1.0330137455479494e-15,1.051870492786406e-12,2.1481923492575708e-23,5.6897596983011574e-18,1.2306734008417963e-26,5.4519199694553424e-27,4.0447226689187813e-18,2.1559847366413875e-23,2.1559828590526806e-23,1.6564535373910851e-29,2.2113516928075186e-30,9.2163007189016171e-24
3.0473590814773085e-15,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999656634009,9.4999999999999947,2.4115776285876672e-10,1.0543386608768858e-09,1.0543395601693954e-09,1.7341881225122101e-16,2.8022649521705545e-15,1.0794116351931223e-09,1.2275078023503047e-12,1.412483146732757e-12,1.7363538199590524e-15,1.7676958926277862e-12,3.635759847215137e-23,9.565348225532537e-18,2.6237945155382783e-26,1.1618994243455955e-26,6.8001229298966855e-18,4.5947205571080222e-23,4.5947156181641404e-23,4.3568831653744223e-29,5.8206071655822911e-30,1.5526450176160239e-23
