Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134)
0.0,0.1787698340034774,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8470133365787262e-21,0.1787698340034774,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,2.5091066514537547e-17,2.8859671421290343e-16,2.885967142147747e-16,2.7098985772131607e-27,2.7098714931382586e-27,1.7155508308879258e-17,2.1202672956872965e-26,1.8715470624848206e-27,9.1613016303125283e-40,2.427837965566898e-44,7.5795878798689668e-45,2.3297346829010976e-26,3.4305211712891736e-30,1.2653791071013344e-39,1.1472800526977751e-44,3.8035988729117305e-61,1.3128362524101548e-60,5.8455527889859471e-43,2.8909512792023743e-31,1.3942063982371944e-42,1.3942063982473541e-42,9.0414157217014675e-54,1.1179772426629231e-54,3.5813834525111889e-50,2.9460496675028374e-33,3.8210210214889584e-44,2.3623593236153381e-45,5.0207655964490273e-97,5.6763753142001728e-56,1.077158260954105e-49,4.7989399582612825e-97,2.3835612756522535e-28,2.6650333650523134e-67,2.6650314960660911e-67,4.1043038291264996e-40,1.2553906281258973e-40,3.3208262270651827e-31,4.1042445566961718e-40,1.5741021576711539e-51,4.7989399582612805e-97,2.5355852350763992e-60,1.3128362593739027e-60,6.9638854983771453e-69,4.2096214063889293e-81,7.3919573867790576e-50,9.1450371052724606e-93,6.5152356927698885e-37,1.3740949182681108e-73,1.3834792187181792e-94,4.6625404783891223e-48,1.0238666227749974e-106,3.2523882608794281e-99,8.193173156883067e-110,2.8242993900591775e-67,1.1108650885133638e-49,1.8325196458823203e-69,2.4987903181557473e-48,1.173171413179677e-59,2.5231481765267371e-40,1.6204632398162291e-59,1.0018569408247561e-60
5.171637342420434e-21,0.1787698340034774,76.950000000000003,0.0,0.0,0.0,0.99999999999999822,9.5,7.0254986240704948e-17,8.0807079978128485e-16,8.0807079979258686e-16,1.636778740603545e-26,1.636746586673982e-26,4.8035423116684542e-17,1.2806414432987156e-25,1.1304144245911696e-26,1.0876147106242623e-38,2.882329232982648e-43,1.1454275707294995e-43,1.4071597448501893e-25,2.0720347874268967e-29,1.5021937972222475e-38,1.362050515209416e-43,1.0726759658504071e-59,2.9367621702873356e-59,6.939840254721514e-42,1.746134572614157e-30,1.6552018359556313e-41,1.6552018359783578e-41,2.0225285163760497e-52,2.5008703693377848e-53,4.2518184122956049e-49,1.779413999121746e-32,4.5363161215527286e-43,2.8045929848974424e-44,5.3500153543120598e-95,1.26978245050175e-54,1.2788022873556761e-48,5.1136429231586998e-95,1.4396710067882056e-27,1.0997332465430886e-65,1.0997318396183011e-65,4.8726294821504743e-39,1.4903997464194225e-39,2.0057790304618404e-30,4.8725591139217223e-39,3.5212035461991997e-50,5.1136429231586938e-95,5.6720027471719668e-59,2.9367621990234368e-59,2.8736668374624055e-67,3.1688979091658339e-79,8.7757318065782311e-49,1.2482930529466932e-90,3.9352023583303194e-36,5.6702411553703896e-72,1.8884423078280676e-92,5.5353680550113695e-47,2.5258698657062858e-104,4.4394939357855183e-97,2.0212485419067857e-107,1.1654550460416183e-65,1.3188190204916123e-48,7.5619435946096695e-68,2.9665638656132291e-47,2.6243375155293622e-58,1.5239814986053143e-39,3.6249114361034098e-58,2.2411139020705505e-59
1.1820885354103848e-20,0.1787698340034774,76.950000000000003,0.0,0.0,0.0,0.999999999999996,9.5,1.605828256930391e-16,1.8470189708586699e-15,1.8470189709130828e-15,7.8803850620378179e-26,7.8800693788695591e-26,1.0979525213958564e-16,6.165737246412485e-25,5.4424588404609305e-26,1.0677947607082145e-37,2.8298879334407558e-42,1.2321994062038789e-42,6.7748684035452872e-25,9.9759555656324609e-29,1.4747266410933707e-37,1.3372685030296682e-42,2.333305799278312e-58,5.8025471058685513e-58,6.8135762801179559e-41,8.4068863195593449e-30,1.6250869776874198e-40,1.6250869777323228e-40,3.9961754586998657e-51,4.9412984023675348e-52,4.1744604824174401e-48,8.5671124323484618e-32,4.4537819936546203e-42,2.7535660149000316e-43,1.2175383195651055e-92,2.5088761378353847e-53,1.255535668814214e-47,1.1637454846743337e-92,6.9313961340104226e-27,4.3504333159436252e-64,4.3504221918368422e-64,4.7839764694854825e-38,1.4632832935394545e-38,9.6569625080226116e-30,4.7839073815423504e-38,6.9573047627191586e-49,1.163745484674331e-92,1.1206921612955394e-57,5.8025472195457105e-58,1.1367940125548159e-65,2.505552266989491e-77,8.6160655207112439e-48,1.9719970639615874e-88,1.8946305393034458e-35,2.2430910129995803e-70,2.9832759845320711e-90,5.4346571787205586e-46,7.9734201142648136e-102,7.0133123071051143e-95,6.380480642554205e-105,4.6104242155480685e-64,1.2948243081376742e-47,2.9914296549666029e-66,2.912589994528394e-46,5.1852486535192769e-57,7.3373148970872338e-39,7.1622140924150291e-57,4.4280634093021328e-58
2.5119381377470678e-20,0.1787698340034774,76.950000000000003,0.0,0.0,0.0,0.99999999999999156,9.5,3.4123850459770472e-16,3.9249153127759384e-15,3.9249153130135606e-15,3.4415711925460587e-25,3.4412919850652373e-25,2.3331490781455004e-16,2.6927394144284895e-24,2.3768647515359712e-25,9.4439578817808893e-37,2.50300383058202e-41,1.1326048550259417e-41,2.9587629911422544e-24,4.3567618870449228e-28,1.304136902574872e-36,1.1827974777027394e-41,4.3255605600746814e-57,1.0325322346217686e-56,6.0265309968124248e-40,3.6715081242138168e-29,1.4373710281211242e-39,1.4373710282010267e-39,7.1109804834867128e-50,8.792776441743755e-51,3.6922629375587756e-47,3.7414830769537053e-31,3.9393196034290373e-41,2.435497941591783e-42,2.0575859343038255e-90,4.4644110109669603e-52,1.1105070803885513e-46,1.9666784214488517e-90,3.027122762639153e-26,1.5526372859039617e-62,1.5526293348926243e-62,4.231372920813092e-37,1.2942574745040843e-37,4.2174491427470817e-29,4.2313118133118029e-37,1.2380151843971602e-47,1.9666784214488421e-90,1.994211822226527e-56,1.0325322751923381e-56,4.0571370063326928e-64,1.7908639599083448e-75,7.6208123679048166e-47,2.8208774533096462e-86,8.2743493282260528e-35,8.0054325000073554e-69,4.2674789509749262e-88,4.8068927255314727e-45,2.2818905310947399e-99,1.0032314464966822e-92,1.826011693885017e-102,1.6454276211742488e-62,1.1452573896833877e-46,1.067619973829044e-64,2.5761528657465704e-45,9.2268727946212207e-56,3.204398183928028e-38,1.2744777103385468e-55,7.8795022420538504e-57
5.1716373424204336e-20,0.1787698340034774,76.950000000000003,0.0,0.0,0.0,0.99999999999998268,9.5,7.0254986240702542e-16,8.0807079956605494e-15,8.0807079966524552e-15,1.4367882251752283e-24,1.4365535524733622e-24,4.8035420968112777e-16,1.1241656741884659e-23,9.9229423649169076e-25,7.9372638868382927e-36,2.1039255384353361e-40,9.6896955349893265e-41,1.2352252783462374e-23,1.8188623245744463e-27,1.095798569606579e-35,9.9421024563703566e-41,7.4345501564631413e-56,1.7415164643528404e-55,5.0656623248319303e-39,1.5327823678972196e-28,1.2081969570371556e-38,1.2081969571719229e-38,1.1993707170496732e-48,1.4830302470344267e-49,3.1035693317601901e-46,1.5619955330125604e-30,3.3112352656227552e-40,2.0471827436858122e-41,3.0127590463028727e-88,7.5298816089733988e-51,9.3344811382036675e-46,2.8796504226662433e-88,1.2637641366555376e-25,5.2460005856981582e-61,5.2459468134441304e-61,3.5567237484937434e-36,1.0879013459622696e-36,1.7607019165268354e-28,3.5566723839602971e-36,2.0880934748972331e-46,2.8796504226662154e-88,3.3635297168055095e-55,1.7415166014316201e-55,1.3708148463269979e-62,1.2111621174671661e-73,6.4057519645607802e-46,3.8170569550007025e-84,3.4543779628740967e-34,2.7048547118187178e-67,5.7745189147837493e-86,4.0404829669142673e-44,6.1766992261410901e-97,1.3575178915441387e-90,4.9427108239549459e-100,5.5595278221848998e-61,9.6265776314665091e-46,3.6072464506264818e-63,2.1654117078725804e-44,1.5562469132030277e-54,1.3377731629596556e-37,2.1495928730966254e-54,1.3289932209042319e-55
1.0491035751767165e-19,0.1787698340034774,76.950000000000003,0.0,0.0,0.0,0.99999999999996481,9.5,1.4251725780256241e-15,1.6392293357630714e-14,1.6392293361682013e-14,5.8697487102651402e-24,5.8678250169425691e-24,9.7443277548088215e-16,4.5925833838113819e-23,4.0538456634384938e-24,6.5058882336077599e-35,1.7249252727554681e-39,8.0116649689476852e-40,5.0462980847480183e-23,7.4306460741081856e-27,8.9773502102742715e-35,8.1510984989583132e-40,1.2322277206777557e-54,2.8604458006518646e-54,4.153135858229214e-38,6.2619161059597306e-28,9.9055286123644969e-38,9.9055286145780577e-38,1.9699697487595653e-47,2.4358815755777051e-48,2.5444934137762967e-45,6.3812614158928887e-30,2.7147503616763654e-39,1.6784040562377415e-40,4.1196931559587133e-86,1.2367852847855433e-49,7.6529715974907573e-45,3.9376783723795048e-86,5.1628886278270609e-25,1.724763713568544e-59,1.7247283410076126e-59,2.9160167699236355e-35,8.9192717585169931e-36,7.1930411788045607e-28,2.9159746581813614e-35,3.4296995211531386e-45,3.9376783723794269e-86,5.5246076549489055e-54,2.8604462513368669e-54,4.5069389546876135e-61,7.9674283471257329e-72,5.2518224485310618e-45,5.0230319616121595e-82,1.4112261107839455e-33,8.8929705176200695e-66,7.5989416492488669e-84,3.3126320422846893e-43,1.6258086777287887e-94,1.7864171242550622e-88,1.3010026666271376e-97,1.827850965008316e-59,7.8924486466772048e-45,1.1859836145681721e-61,1.7753353457261386e-43,2.5561400755600206e-53,5.4652398742960779e-37,3.5307125288808081e-53,2.1828753513079018e-54
2.1129832570460628e-19,0.17876983400347737,76.950000000000003,0.0,0.0,0.0,0.99999999999992917,9.5,2.8704180092626515e-15,3.3015464066379985e-14,3.3015464082748199e-14,2.372646276255977e-23,2.3710888975622952e-23,1.9625897553468111e-15,1.8563954699416153e-22,1.6386291757698339e-23,5.2661116037069838e-34,1.3968892116652197e-38,6.5150136082687029e-39,2.0397941902421911e-22,3.0035859473949394e-26,7.2593132615298635e-34,6.6009097189439049e-39,2.0063815018269196e-53,4.6369051897204713e-53,3.3633168198119586e-37,2.5311666082638414e-27,8.0217538831500815e-37,8.021753886738355e-37,3.1934050262019964e-46,3.948668813812906e-47,2.0605963576531616e-44,2.5794078894258609e-29,2.1984746355622373e-38,1.3592150512941193e-39,5.4486885706499855e-84,2.0048821442209748e-48,6.1975748079064796e-44,5.2079565953760562e-84,2.0869219477421644e-24,5.5941875755042562e-58,5.5939580743547865e-58,2.3614655825922617e-34,7.2230562900742201e-35,2.9075417233021319e-27,2.3614314794205529e-34,5.559689806858074e-44,5.2079565953758513e-84,8.9556270641248011e-53,4.6369066515062506e-53,1.4618146238908271e-59,5.1695385739291116e-70,4.2530619309005324e-44,6.5189256442713483e-80,5.7044015703582294e-33,2.8844136787462542e-64,9.861959065493457e-82,2.6826552979327701e-42,4.2201972694416254e-92,2.3184246103512833e-86,3.3770812009096733e-95,5.9285898331560383e-58,6.3915074195818249e-44,3.8467087994534958e-60,1.4377125899413705e-42,4.143612719635311e-52,2.2091373380268381e-36,5.7234364447677438e-52,3.5385349955741589e-53
4.2407426207847554e-19,0.1787698340034774,76.950000000000003,0.0,0.0,0.0,0.99999999999985778,9.5,5.7609088717360235e-15,6.6261805423155589e-14,6.6261805488908786e-14,9.5403063108571784e-23,9.5277788606998565e-23,3.9389031081445317e-15,7.4644832274721801e-22,6.5888553893995108e-23,4.2345651240208498e-33,1.1243379707310299e-37,5.2546924299998793e-38,8.2019212862208323e-22,1.2077286979357048e-25,5.8256515811137431e-33,5.3128879289166996e-38,3.2383662390493023e-52,7.4675905472164428e-52,2.7070895350390073e-36,1.0177709597509296e-26,6.4566053934189179e-36,6.4566053991977158e-36,5.1428776796082673e-45,6.3592087837230187e-46,1.6585466059294064e-43,1.0371685657042905e-28,1.769522696714439e-37,1.0940144112264078e-38,7.0888931965264769e-82,3.2288005669609921e-47,4.9883473686590221e-43,6.7756942974691756e-82,8.3914198931207242e-24,1.8022148638384112e-56,1.8020669846216798e-56,1.9007122989633872e-33,5.8137421176024713e-34,1.1691093144865273e-26,1.9006848497783844e-33,8.9537060984459772e-43,6.7756942974686418e-82,1.4422761248474973e-51,7.4675952565526135e-52,4.7094290969818387e-58,3.3312295475028319e-68,3.4232341685419065e-43,8.4019909599833297e-78,2.2937147784932512e-32,9.2925229376561268e-63,1.2710697352475546e-79,2.1592343442482813e-41,1.0878790987784855e-89,2.9881280146129229e-84,8.7054131509791522e-93,1.9099735697051668e-56,5.1444378070489907e-43,1.2392680766341205e-58,1.1571961678095451e-41,6.6731589520737506e-51,8.8828440681361221e-36,9.2174156531527457e-51,5.6987014738790221e-52
8.49626134826214e-19,0.1787698340034774,76.950000000000003,0.0,0.0,0.0,0.99999999999971512,9.5,1.1541890596680044e-14,1.3275448789414488e-13,1.32754488157343e-13,3.8260895207003533e-22,3.8160493479764521e-22,7.8915273860049224e-15,2.993590580710429e-21,2.6424253384886129e-22,3.391474699684929e-32,9.0221042372046516e-37,4.221012045136292e-37,3.2893361211924075e-21,4.8435322384822128e-25,4.6472305003012002e-32,4.2630999307615625e-37,5.2041553164166369e-51,1.1987129224347333e-50,2.1722681535690505e-35,4.081716750114509e-26,5.1810191916832578e-35,5.1810192009595015e-35,8.25544908624099e-44,1.0207936491019278e-44,1.3308782197989749e-42,4.1595098175345274e-28,1.4199289940942991e-36,8.7787748810100439e-38,9.1478411029594273e-80,5.1829389565608413e-46,4.002834586440134e-42,8.7436745169315863e-80,3.3653335114193438e-23,5.7863594299226567e-55,5.785409894217212e-55,1.525200882464373e-32,4.6651587409005888e-33,4.6886478421734194e-26,1.525178856245362e-32,1.4372671796691939e-41,8.743674516930214e-80,2.3151725797667699e-50,1.1987144345028924e-50,1.5120979954089528e-56,2.1392902934348739e-66,2.7469297017497562e-42,1.0791681270651112e-75,9.1988221180762343e-32,2.9836342665809723e-61,1.6325867910048282e-77,1.7326495368875806e-40,2.7946241032100175e-87,3.8380106566747957e-82,2.2363108007605112e-90,6.1325206114478379e-55,4.1280818776636919e-42,3.9790273054866465e-57,9.2857704259659431e-41,1.0711892887451561e-49,3.5624177608840709e-35,1.4795986097208756e-49,9.1476777785568629e-51
