Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115)
0.0,0.3876713891279454,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.421686465336961e-26,0.3876713891279454,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,5.4921693241310869e-19,5.4458027119333034e-18,5.4455339829040048e-18,8.1813978608558832e-34,8.1818015364988832e-34,5.122893593986188e-16,2.3018557518693733e-29,3.6965394001118329e-34,1.2335730309217978e-49,4.1391330460721327e-54,8.1123560964040773e-37,7.4789821649024017e-29,2.7663152272342428e-35,1.1147119705705024e-49,1.0776715807921035e-53,8.9108866598196487e-55,1.1495609899016005e-70,4.1075836421800452e-47,3.9765268717222813e-34,1.4627665275462258e-48,1.4627665275462258e-48,9.9290671885469926e-65,1.6994286954456813e-65,8.8649458376220245e-49,1.3405680075055549e-34,1.8199199348193358e-50,1.5574595789888741e-51,6.101185509055079e-114,1.476771181654055e-64,9.4918341508823101e-52,5.4900844457622049e-114,9.019688070706815e-31,1.1093542485719961e-80,1.1093542485447478e-80,4.2892972652457892e-45,1.245302383770932e-45,9.5449402959663549e-32,4.2888437071208137e-45,8.1153638829515517e-60,5.4900844457622042e-114,3.0590433137005212e-67,5.6869119013001562e-61,3.5161700516264281e-82,2.5683082863695941e-98,7.3628897082720194e-53,7.2961961558910643e-115,1.5390075587434276e-37,1.8226887402631934e-78,6.9344865143617049e-114,2.1470907442852102e-52,5.6654374997389534e-131,2.4724595289257424e-119,3.6916902782551058e-135,3.8723004539551786e-77,5.9108405012978586e-52,7.862800797109634e-78,2.9121150619405237e-52,2.187588203559693e-68,1.0409963251760141e-40,1.9767054800805741e-68,1.7840372148756469e-69,1.563998147374158e-56,7.9962742297023393e-55,1.579117349169612e-83,6.9407381277825286e-56,9.3857540468851361e-58,3.5329725237894217e-91,5.6299112186796072e-67,2.1836951472385007e-49,2.9762862866204857e-92,2.6872902929982786e-22,6.5778939140633293e-48,8.0042682687414407e-43,6.5778939140633293e-48,3.2233746582377867e-79,2.9506039773034577e-72,2.3581617097322386e-72,6.3505093889766815e-131,1.0074595071178249e-131,4.8833533756148659e-56,4.6292319682643787e-69,1.5572273297315974e-70,3.7517882653597101e-95,3.3351743921376754e-57,1.6857818749755469e-108,7.5193825333059893e-70,7.7754472511445341e-85,2.3663395343565117e-100,5.2778715347776657e-101,8.8065822859437688e-87,2.4639523688741122e-75,1.4201578279571243e-109,2.4639523688962444e-75,2.0506816623776333e-96,2.9781500062920104e-76,8.9807774215588653e-92,2.480165105353719e-86,2.2497354761333926e-96,2.8976565991174853e-30
1.238072210294349e-25,0.3876713891279454,76.950000000000003,0.0,0.0,0.0,0.99999999999999856,9.5,1.5378074107567035e-18,1.5248247593413229e-17,1.524749515213119e-17,4.941564307956847e-33,4.9418081170567914e-33,1.4344102063157984e-15,1.3903208741288311e-28,2.2327097976671413e-33,1.4644978566660751e-48,4.9155424490653175e-53,4.8998630822280823e-36,4.517305227600172e-28,1.6708543972494803e-34,1.3233859470938283e-48,1.2794117006869923e-52,1.0579004642537912e-53,2.5723036655768837e-69,4.8765232999952768e-46,2.4018222305202481e-33,1.7365964215028728e-47,1.7365964215028728e-47,2.2210926138075744e-63,3.8015540145632122e-64,1.0524463698420644e-47,8.0970307653321406e-34,2.1606089466155065e-49,1.8490160121746573e-50,6.501286611893682e-112,3.3034780625127748e-63,1.1268705503924753e-50,5.8501110075126219e-112,5.4478915947058565e-30,4.5777813685877353e-79,4.5777813683826182e-79,5.092253713298413e-44,1.4784229900124408e-44,5.7651439387619822e-31,5.0917152490924501e-44,1.8153744391602587e-58,5.8501110075126209e-112,6.842957531013802e-66,6.7515018104565978e-60,1.4513878029743977e-80,1.9339242314688976e-96,8.7412226616589317e-52,9.9621653383357581e-113,9.2956056548102284e-37,4.0772818051305114e-77,9.4682900125640209e-112,2.5490261316151468e-51,1.3980628317708066e-128,3.3758756060803775e-117,9.1164596625443317e-133,1.5979156247654705e-75,7.0173498430382875e-51,3.2446067647685652e-76,3.457263001535763e-51,4.8935473078281576e-67,6.2876178040630655e-40,4.4218110907182128e-67,3.9908198881880678e-68,1.8567786005625504e-55,9.4931767654948214e-54,6.5162667430723493e-82,8.2400443052798886e-55,1.1142772135000833e-56,2.6595335329134662e-89,1.2593886199735137e-65,2.5924828787965707e-48,2.2404740284615151e-90,7.5244128203991795e-22,7.8092756547718653e-47,4.8345780343397748e-42,7.8092756547718653e-47,1.3301345781705286e-77,6.6003828896135335e-71,5.2751132189759987e-71,1.5671183628648506e-128,1.8075984573347126e-129,5.7975171275294218e-55,1.0353667148052236e-67,3.4834552474997447e-69,2.8242525615268646e-93,3.9595190383458794e-56,2.3010839518077198e-106,1.6820557951704025e-68,3.2085600794372082e-83,1.7813213376284555e-98,3.9730499557044923e-99,3.6340608387250313e-85,5.5117628909919576e-74,1.9385084366231079e-107,5.5117628910832856e-74,1.5437019704232034e-94,6.6620052541504186e-75,3.7059444777363408e-90,1.0234470751865872e-84,1.0741118464359896e-94,1.7501845858496101e-29
2.829879337815655e-25,0.3876713891279454,76.950000000000003,0.0,0.0,0.0,0.99999999999999667,9.5,3.5149883674438891e-18,3.4853137356372992e-17,3.4851417490585481e-17,2.3791504979367342e-32,2.3792678703310741e-32,3.2786519001488204e-15,6.6937965264320831e-28,1.0749536575519119e-32,1.4378525833451811e-47,4.8267939279311065e-52,2.3590731528343336e-35,2.1748880135523006e-27,8.0444446807971381e-34,1.2993079493578674e-47,1.2561339944801583e-51,1.0386529490685861e-52,5.083192276581772e-68,4.7877994933223539e-45,1.1563740142968251e-32,1.7050006645078608e-46,1.7050006645078612e-46,4.3885047187599634e-62,7.5112301161317253e-63,1.0332980868319136e-46,3.8983717658240354e-33,2.1212986760191883e-48,1.8153748852665351e-49,1.4795407214289116e-109,6.5271159678602514e-62,1.1063681886259965e-49,1.3313483895110599e-109,2.6229252909599531e-29,1.8109247850092975e-77,1.8109247848471168e-77,4.9996048923661915e-43,1.4515244585221279e-43,2.7756686380644722e-30,4.9990762250157434e-43,3.5868739750217048e-57,1.3313483895110596e-109,1.3520530944308294e-64,6.6286645159764862e-59,5.7424169572456505e-79,1.5293307563411737e-94,8.5821842439568644e-51,1.574021670227044e-110,4.4754339808257753e-36,8.0560217692646265e-76,1.4959893912240519e-109,2.5026489715380519e-50,4.4139551272683113e-126,5.3338819218986954e-115,2.8790708983406274e-130,6.3211953047493984e-74,6.8896756879949331e-50,1.2835341697232342e-74,3.3943613161977926e-50,9.6688248469901206e-66,3.0272173136117612e-39,8.7367535763491885e-66,7.8851875883904294e-67,1.8229962405791639e-54,9.3204572421168773e-53,2.5777657629770293e-80,8.0901243616703767e-54,1.0940050201719594e-55,2.1028131944810012e-87,2.4883396879333273e-64,2.5453150636057669e-47,1.771475445087019e-88,1.7198657875216975e-21,7.6671931462194485e-46,2.3276412125794157e-41,7.6671931462194485e-46,5.261880114258496e-76,1.3041243536940801e-69,1.0422733926602625e-69,4.9476961804211107e-126,8.2320483140441979e-127,5.692036694614993e-54,2.0449583221589951e-66,6.8827205565732915e-68,2.2330515774398745e-91,3.8874792714757659e-55,3.6351486767206175e-104,3.3234588006126809e-67,1.2692744594780852e-81,1.4084372187906889e-96,3.1413711336175948e-97,1.4375983284039714e-83,1.0890314660748977e-72,3.0623682254909336e-105,1.0890314661110258e-72,1.2205587301608975e-92,1.3163011915485061e-73,1.4660361177228076e-88,4.0486548513994476e-83,4.5021697854483983e-93,8.4263853899733813e-29
6.013493592858267e-25,0.3876713891279453,76.950000000000003,0.0,0.0,0.0,0.99999999999999289,9.5,7.4693502808182454e-18,7.4062916882292163e-17,7.4059262167493698e-17,1.0390375283285354e-31,1.0390887781031309e-31,6.9671352878095193e-15,2.9233568048699148e-27,4.6946050381357343e-32,1.2717641548149169e-46,4.269516691612582e-51,1.0302692242433464e-34,9.4983073494124385e-27,3.5132203385874436e-33,1.1492227737474593e-46,1.1110362927420808e-50,9.1867677108078215e-52,9.0458806961355386e-67,4.2347544317362571e-44,5.0501891270871493e-32,1.5080537792390148e-45,1.5080537792390157e-45,7.8091096701006256e-61,1.3365832668156296e-61,9.139404560727304e-46,1.7025213695298666e-32,1.8762646559882627e-47,1.605678527548287e-48,2.5003584110074602e-107,1.1614654122337947e-60,9.7857013361758643e-49,2.2499199214201411e-107,1.145500384978124e-28,6.4630619261662494e-76,6.4630619250070516e-76,4.4220939085687655e-42,1.2838569455698113e-42,1.2122074175850989e-29,4.4216263082842914e-42,6.3826505926026729e-56,2.2499199214201399e-107,2.4059062416173385e-63,5.8629787017871298e-58,2.049570358691416e-77,1.0931787596531502e-92,7.590844773629621e-50,2.2517465514842715e-108,1.9545395996040365e-35,1.4335260317804547e-74,2.1401159948833527e-107,2.213564673726622e-49,1.2633073480246868e-123,7.6304859402634945e-113,8.2412775904430241e-128,2.2559897044121299e-72,6.0938401225505474e-49,4.5808422814916497e-73,3.0022741442580309e-49,1.72051572117854e-64,1.3220653329734464e-38,1.5546586186117133e-64,1.4031270009581988e-65,1.6124195300165361e-53,8.2438388798031634e-52,9.1998302597367848e-79,7.155623380065501e-53,9.6763690899842776e-55,1.5030029447911001e-85,4.4278675231942417e-63,2.2513023489646026e-46,1.2661765760172687e-86,3.6547147984916548e-21,6.7815455096159212e-45,1.0165420701603096e-40,6.7815455096159212e-45,1.8779276373092066e-74,2.3206193246894847e-68,1.8546695057912047e-68,1.4160680750451766e-123,2.7970610939300468e-124,5.0345419961203441e-53,3.6362090941019911e-65,1.2247433487816424e-66,1.5960918951682153e-89,3.4384313913184477e-54,5.1999616643676662e-102,5.9139173639676499e-66,4.5299503885096635e-80,1.0066920318711564e-94,2.2453207336224907e-95,5.1306863205540708e-82,1.9378733070213896e-71,4.3806179033920438e-103,1.9378733071503291e-71,8.7240434411301795e-91,2.3422919941658015e-72,5.2321883431834032e-87,1.4449361586132672e-81,1.6491122714697877e-91,3.6800238806102651e-28
1.2380722102943491e-24,0.3876713891279454,76.950000000000003,0.0,0.0,0.0,0.99999999999998535,9.5,1.5378074107566898e-17,1.5248247593412906e-16,1.5247495152130868e-16,4.337777145824328e-31,4.3379910213616612e-31,1.4344102063109537e-14,1.2204439196373719e-26,1.9599051899336271e-31,1.0689941123239622e-45,3.5888939303046334e-50,4.3011712023136934e-34,3.9653563438190043e-26,1.466700333479553e-32,9.6599032562208378e-46,9.3389294882198601e-50,7.7220318052134284e-51,1.5257689250032497e-65,3.559566262964645e-43,2.1083545473870195e-31,1.2676100685070418e-44,1.2676100685070433e-44,1.3171204862004198e-59,2.2543430385968049e-60,7.682220223699956e-45,7.1076915757747543e-32,1.5771134967717477e-46,1.3496695517874587e-47,3.661075485689148e-105,1.9589811810853746e-59,8.2254716057759595e-48,3.2943783710416445e-105,4.7822386150739837e-28,2.1837225520852943e-74,2.183722551301329e-74,3.7170363812893688e-41,1.0791591209329076e-41,5.0607273448977095e-29,3.7166433350752871e-41,1.0765273132222681e-54,3.2943783710416414e-105,4.0579125311276527e-62,4.9281868776305364e-57,6.9252639944162984e-76,7.3934213758111182e-91,6.3805624149341446e-49,3.0470433056017118e-106,8.1598180764565951e-35,2.4178511848760565e-73,2.8959858342504834e-105,1.8606344855426444e-48,3.4196796460760299e-121,1.0325505368295637e-110,2.2310093079025564e-125,7.6224793320452009e-71,5.1222398037656748e-48,1.5477630747040506e-71,2.5235923188363552e-48,2.9019012395969887e-63,5.5193625160824013e-38,2.6221589939546568e-63,2.3665787724690877e-64,1.3553357705434942e-52,6.9294433069802733e-51,3.1083926521379797e-77,6.0147326094483895e-52,8.133602519559646e-54,1.0164816193577674e-83,7.4682457685774589e-62,1.8923552754157424e-45,8.563158314787818e-85,7.5244128204571594e-21,5.7002976195760149e-44,4.243863036357012e-40,5.7002976195760149e-44,6.3450930536032731e-73,3.9140627228153551e-67,3.1281701663035322e-67,3.8331916465827973e-121,8.2159050163756844e-122,4.2318359016473791e-52,6.1239566594945659e-64,2.0657086698845553e-65,1.0794377215749298e-87,2.8902087654365729e-53,7.0363037435928382e-100,9.9746860306645657e-65,1.5305678542842138e-78,6.8082630862368796e-93,1.5185114993914391e-93,1.7335429484108881e-80,3.2685065773669033e-70,5.9276125753227022e-101,3.2685065778025598e-70,5.9000748036661354e-89,3.9506324968258752e-71,1.767844658107559e-85,4.8821127080705707e-80,5.6420417656838372e-90,1.5363375286100442e-27
2.511517912311394e-24,0.3876713891279454,76.950000000000003,0.0,0.0,0.0,0.99999999999997025,9.5,3.1195521761063968e-17,3.0932159403779709e-16,3.0930633022893292e-16,1.7721235022515912e-30,1.7722108102262353e-30,2.9098035613624035e-14,4.9859116327472187e-26,8.0068522021702548e-31,8.7642548470046075e-45,2.942435011077158e-49,1.7571687799057205e-33,1.6199774528361497e-25,5.9919494347980935e-32,7.9197614669207588e-45,7.6566186257411625e-49,6.3309882194248763e-50,2.5061191397201319e-64,2.9183474823045804e-42,8.6133162652241947e-31,1.0392633199365347e-43,1.0392633199365373e-43,2.1633743536213763e-58,3.7027652102471242e-59,6.2983482795415454e-44,2.9037239269606557e-31,1.2930129298166336e-45,1.1065406421453296e-46,5.0062110504412282e-103,3.2176324723832968e-58,6.743738584449026e-47,4.5047837636538621e-103,1.9537005148548734e-27,7.179601979259794e-73,7.1796019741026086e-73,3.0474509992456576e-40,8.8475984738438317e-41,2.0674722478474735e-28,3.047128756212583e-40,1.7681993445686307e-53,4.5047837636538512e-103,6.6651335174960676e-61,4.0404253636001284e-56,2.2769119542238171e-74,4.8637190791364544e-89,5.2311705650901169e-48,4.0098037581922696e-104,3.3335519325397148e-34,3.9713278436951454e-72,3.811017342780204e-103,1.5254605660458896e-47,9.0013080455959263e-119,1.3588008468490122e-108,5.8726860780459219e-123,2.506104434384482e-69,4.1995216627551066e-47,5.0887063590748722e-70,2.0689934520076429e-47,4.7663814997865077e-62,2.2548396801835541e-37,4.306904021372519e-62,3.887112740168908e-63,1.1111861506292364e-51,5.6811762823119475e-50,1.0219569882656627e-75,4.9312411878191847e-51,6.6684700116718637e-53,6.6867556078489654e-82,1.2266616100585359e-60,1.5514671860241668e-44,5.6331315581060398e-83,1.526380886449053e-20,4.6734483859616874e-43,1.7337565243109044e-39,4.6734483859616874e-43,2.0861277735928987e-71,6.4288566310497949e-66,5.138025476775631e-66,1.0089757631476579e-118,2.2504448866190729e-119,3.4695147489208831e-51,1.0029042888887312e-62,3.3929326929348175e-64,7.100901876255321e-86,2.3695677649638089e-52,9.2593801132835123e-98,1.6383451757471003e-63,5.0321722364558918e-77,4.4787028613976158e-91,9.9892758420007426e-92,5.6995099376162648e-79,5.3685318665844587e-69,7.800404871552391e-99,5.3685318680168016e-69,3.8812662746585394e-87,6.4889740058216596e-70,5.8123290017954801e-84,1.6051318441095307e-78,1.8664185351498413e-88,6.2764400979031137e-27
5.058409316345484e-24,0.3876713891279454,76.950000000000003,0.0,0.0,0.0,0.99999999999994005,9.5,6.2830417068057154e-17,6.2299983024511042e-16,6.2296908764415842e-16,7.1632065342664709e-30,7.1635589040876297e-30,5.8605902714310945e-14,2.0153851998114715e-25,3.2364976786496471e-30,7.0975131185518918e-44,2.3828772873713211e-48,7.1027571554961378e-33,6.5482078764306685e-25,2.4220417645741856e-31,6.4136105971508679e-44,6.2005282694195534e-48,5.1269984020447077e-49,4.062558376088734e-63,2.3633534544235577e-41,3.4816401494817633e-30,8.4162238120563595e-43,8.4162238120564009e-43,3.5069230532589554e-57,6.0023419687420438e-58,5.1005657324080959e-43,1.1737316378217556e-30,1.0471153941557269e-44,8.9610530099706442e-46,6.6211933581901307e-101,5.2159208949232071e-57,5.4612543488707891e-46,5.9580077698402872e-101,7.8971698508283484e-27,2.3286866911495672e-71,2.3286866878034094e-71,2.4679048296684871e-39,7.1650146335307695e-40,8.3570533860880497e-28,2.4676438689057227e-39,2.8663273344019274e-52,5.9580077698402606e-101,1.0804468651866486e-59,3.2720412352911162e-55,7.3851680261357586e-73,3.1557723590389486e-87,4.2363375508385874e-47,5.2039941880537335e-102,1.3474749900419517e-33,6.4376936102651113e-71,4.946005664712528e-101,1.2353575166156624e-46,2.3365364014425154e-116,1.763475755757428e-106,1.5244434250897155e-120,8.1284896609400361e-68,3.4008815207244393e-46,1.6505097097997861e-68,1.6755245397130377e-46,7.7265098081019363e-61,9.1144225051463323e-37,6.9816770155811312e-61,6.3011772588642043e-62,8.9986735422515937e-51,4.6007638477267937e-49,3.3145989070554842e-74,3.9934469645613515e-50,5.4003829237695668e-52,4.3385951868686768e-80,1.9884713303287481e-59,1.2564183516617155e-43,3.654967954321632e-81,3.0742600952966728e-20,3.784679670214245e-42,7.0081210760373698e-39,3.784679670214245e-42,6.766305428614164e-70,1.0421443442734998e-64,8.3289496395739483e-65,2.6190733463233772e-116,5.9575962147469259e-117,2.8097029969114324e-50,1.6162454594984376e-61,5.5000901057176133e-63,4.6073074162731128e-84,1.9189374112611792e-51,1.2016889407379178e-95,2.6558281309716191e-62,1.6321730026612723e-75,2.905935227421124e-89,6.4813829949317442e-90,1.8486223864052359e-77,8.7026214967706201e-68,1.0123420955570089e-96,8.7026215014163872e-68,2.5182979857231042e-85,1.0519062979441243e-68,1.8852425799715808e-82,5.2062066609957701e-77,6.0722387525115585e-87,2.537037438358383e-26
1.0152192124413664e-23,0.3876713891279454,76.950000000000003,0.0,0.0,0.0,0.99999999999987976,9.5,1.2610020768203967e-16,1.2503563026596453e-15,1.2502946024745176e-15,2.8802938424975037e-29,2.8804350921958628e-29,1.1762163691431641e-13,8.1037752484732593e-25,1.301381481934958e-29,5.7126836560265699e-43,1.9179537882957328e-47,2.8559874131648501e-32,2.6330055870133659e-24,9.7389234100847968e-31,5.1622034925063669e-43,4.9907245770301076e-47,4.1266543527464711e-48,6.5426500154967563e-62,1.902232467200137e-40,1.3999521912965568e-29,6.7741091188648601e-42,6.7741091188649263e-42,5.6477914645667924e-56,9.666586698594006e-57,4.1053790405175424e-42,4.7195232930323421e-30,8.4280956614252214e-44,7.2126350561637594e-45,8.6143540857029462e-99,8.4000798033669997e-56,4.3956926182876627e-45,7.7515314533584021e-99,3.1754172639611884e-26,7.5021743621395962e-70,7.5021743405770849e-70,1.9863845097473778e-38,5.7670271191397284e-39,3.3603344108225527e-27,1.9861744658226459e-38,4.6161318080214596e-51,7.7515314533583355e-99,1.7400263680311779e-58,2.6336234807129628e-54,2.3792396433246352e-71,2.0335755905639098e-85,3.4097730139085994e-46,6.7072558250688725e-100,5.41813767085259e-33,1.0367707223525863e-69,6.3747429583291603e-99,9.9432320304036063e-46,6.023131216589828e-114,2.2728855218562635e-104,3.9297496422692412e-118,2.6187012202232603e-66,2.7373253151054008e-45,5.3173368870723725e-67,1.3486079169008738e-45,1.2443305849716732e-59,3.6648692026304959e-36,1.1243775599976412e-59,1.0147851720900727e-60,7.2429153336954383e-50,3.7030950018478894e-48,1.0677816003781559e-72,3.2142735384752248e-49,4.3468316383694138e-51,2.7957738678820056e-78,3.2023717762958028e-58,1.0112747952086683e-42,2.3552471375125959e-79,6.1700185131556939e-20,3.0462394581666806e-41,2.8179346626055409e-38,3.0462394581666806e-41,2.179855424736565e-68,1.6783380553672373e-63,1.3413480968903338e-63,6.7514558799404109e-114,1.5508193052925485e-114,2.2614934105362111e-49,2.5728190332343205e-60,8.8577255539487423e-62,2.9689309836476952e-82,1.5445277723655265e-50,1.5488108336683083e-93,4.2771293303076366e-61,5.2582627425989363e-74,1.8725733609070739e-87,4.1765779991294001e-88,5.9555832645697983e-76,1.4015303618518975e-66,1.3047689396394547e-94,1.4015303633485937e-66,1.6227814296665106e-83,1.6941130680640603e-67,6.0737379339969381e-81,1.6772488254144372e-75,1.9592804525763535e-85,1.0201315949783915e-25
2.0339757740550022e-23,0.3876713891279454,76.950000000000003,0.0,0.0,0.0,0.99999999999975908,9.5,2.5263978890998946e-16,2.505069247488349e-15,2.5049456321348692e-15,1.1551266551288769e-28,1.155182952336912e-28,2.3565310530885364e-13,3.2499763247583282e-24,5.2191217995236256e-29,4.5840490071590175e-42,1.5390398617510218e-46,1.1453786898387684e-31,1.0559530044175429e-23,3.9057438714386939e-30,4.1422978011569954e-42,4.0047421554257373e-46,3.3113802304666487e-47,1.050242224211455e-60,1.5264217564738677e-39,5.6144344310173408e-29,5.4357959493954803e-41,5.4357959493955884e-41,9.0659560968233928e-55,1.551701247671253e-55,3.2943081320905753e-41,1.8927399262994235e-29,6.7630159844949545e-43,5.7876853962753681e-44,1.1116367609664725e-96,1.3483988421348211e-54,3.5272664950055921e-44,1.0002940709906501e-96,1.2734843468230497e-25,2.4087908480688257e-68,2.4087908342215371e-68,1.593948470885108e-37,4.6276760682495776e-38,1.3476443933157075e-26,1.5937799238639582e-37,7.4099138705873954e-50,1.0002940709906328e-96,2.7931276783022315e-57,2.1133170370562839e-53,7.6392545452531461e-70,1.3059501859496773e-83,2.736128103587816e-45,8.6149529129382528e-98,2.1729155381396614e-32,1.664246660302007e-68,8.1878657755796921e-97,7.9788175014076821e-45,1.5472704507368168e-111,2.9193461966167422e-102,1.0095101485009372e-115,8.408100426420857e-65,2.1965311701851242e-44,1.707285359707475e-65,1.0821729209518393e-44,1.9974261661476794e-58,1.4697764655343017e-35,1.8048749957009507e-58,1.6289549422101236e-59,5.8119834123938487e-49,2.971500525866509e-47,3.4280341189534732e-71,2.57925208572611e-48,3.4882731093329348e-50,1.795425812634497e-76,5.1405159191832808e-57,8.1148433507643397e-42,1.512522723834114e-77,1.2361535349528863e-19,2.444415319539624e-40,1.1301178355283891e-37,2.444415319539624e-40,6.999058611467249e-67,2.6940937330303781e-62,2.1531493114517702e-62,1.7343683543978794e-111,4.0033026690707507e-112,1.8147060380526886e-48,4.0365537651798869e-59,1.4218611194829565e-60,1.9066260634587798e-80,1.2393862663630854e-49,1.9893240812192498e-91,6.8657398163956173e-60,1.6883178908941176e-72,1.2025531059351558e-85,2.6821682661697759e-86,1.9122128863489976e-74,2.2497666180602475e-65,1.6758717176090449e-92,2.2497666228658249e-65,1.0421385293759129e-81,2.7195884819733083e-66,1.9502640728166909e-79,5.3852942275112791e-74,6.2959769544672707e-84,4.0911839553404954e-25
