Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987),C7H10(986),S(4381),S(4372),S(4886)
0.0,0.22674969790400443,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1565413499098467e-24,0.22674969790400443,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,3.0001154507154073e-18,4.6043620868883535e-17,4.6043012248665999e-17,2.8340281770744539e-31,2.8340655293284254e-31,5.4152656934351348e-16,5.7823857128993494e-28,1.4149403274659693e-31,5.664874112275064e-46,2.3602098310838277e-50,1.3904104946057903e-34,1.4491849758480845e-27,4.2391837098346765e-33,5.6565804603462644e-46,4.5872854963783754e-50,8.3427840154072069e-52,1.8258652885331389e-66,4.34772223698643e-45,1.3603789376999532e-32,5.7697496023041001e-46,5.7697496023041203e-46,1.7730689371319099e-60,2.783155288812891e-61,4.8416692712320186e-48,4.8935705359654115e-33,3.0076306623491769e-47,2.3605126144297846e-48,4.2449090348500534e-107,1.8340963272592008e-60,1.4241870439654514e-49,3.8730143504347393e-107,1.690367420860565e-29,5.6445923199004171e-75,5.6445923164774221e-75,6.8283986571904023e-43,2.0130408473587334e-43,6.3943930036710431e-31,6.8279171767863064e-43,1.6507943203586952e-56,3.8730143504347381e-107,2.0403795793171879e-63,4.2825322390522537e-59,7.0484291209770949e-77,9.0969446040543674e-92,1.4681483687916336e-50,1.1113105596001027e-106,1.6288510911527391e-36,4.496821062302286e-75,1.581017799270556e-106,3.655907747471204e-50,5.7762523481248916e-122,1.1810408892313371e-111,9.2552659125865164e-126,4.0227542941223291e-73,3.4643946558879951e-50,3.7167710292147291e-74,3.938094239231076e-50,1.2119830444483935e-64,9.5201504678647582e-40,1.210193344320999e-64,1.0032875423219312e-65,5.8598196218710537e-54,4.0496714019409686e-53,1.0774961529032442e-78,6.3656717712492395e-54,1.6283117819732518e-56,3.9687443455332821e-86,8.95269525040318e-64,5.5193168469935523e-47,3.4479941969768487e-87,6.0862021766598002e-22,1.9986444127995858e-45,3.0004573981372075e-41,1.9986444127995858e-45,8.6355149304730445e-76,1.6207620769021992e-68,1.1713058380956523e-68,2.3186039333902458e-122,3.4661301133084661e-124,2.2119203495165684e-53,1.7157934711585129e-65,1.1989443003587033e-66,9.0572498077589497e-91,1.578517611550208e-54,9.6712736725140064e-103,2.9747268769791595e-67,3.4623107093261843e-81,4.557687828511006e-95,1.0639830135705484e-95,1.4401471693708927e-82,2.7710915889168747e-71,8.402280619906369e-104,2.7710915895916206e-71,2.8585352384857097e-92,2.2111879873305672e-73,8.8397892860131919e-88,6.0147874892399634e-83,1.9720576555113887e-92,5.7744029021845456e-29,4.9525735464613636e-74,1.2740113605188843e-64,4.2599877098314009e-80,7.9176960221997047e-97,3.6322576283452362e-99,7.786912730225904e-110,1.5440699158817807e-112,8.3148150927086411e-122,1.3968295315671653e-49,4.1301866972409365e-50,4.1301866972409365e-50,5.3538101504744045e-113,3.743030274755416e-115,3.0321397124494528e-123
3.2383157797475706e-24,0.22674969790400443,76.950000000000003,0.0,0.0,0.0,0.99999999999999822,9.5,8.4003232620031331e-18,1.2892213843287231e-16,1.2892043429626362e-16,1.7117530189526136e-30,1.71177551674214e-30,1.5162743941549324e-15,3.4925609705779346e-27,8.5462395778681229e-31,6.7253364703643318e-45,2.8021692794240941e-49,8.3980793874191627e-34,8.7530772540891644e-27,2.5604669607401169e-32,6.7154868226005596e-45,5.4460253389079835e-49,9.9045531830914676e-51,4.0845660877073832e-65,5.1616158397322761e-44,8.2166887837073223e-32,6.8498467278551035e-45,6.8498467278551495e-45,3.9662842895501237e-59,6.2258070548368792e-60,5.7480297587611193e-47,2.9557166037126112e-32,3.5706591222759731e-46,2.8024005758278033e-47,4.5232799815736098e-105,4.1028001201980771e-59,1.6907948585871081e-48,4.1269973363016275e-105,1.0209819221959017e-28,2.3292568249648085e-73,2.3292568223880639e-73,8.1066748857703197e-42,2.389882093970536e-42,3.8622133741934594e-30,8.1061032722346862e-42,3.6927608628495367e-55,4.1269973363016251e-105,4.5642475037245718e-62,5.0842224659811981e-58,2.9086780249931794e-75,6.8482409370965789e-90,1.742985743422771e-49,1.5169967883920637e-104,9.8382605905618384e-36,1.0059209206001903e-73,2.158171631831977e-104,4.3402936777925861e-49,1.4250556008285306e-119,1.6121823198216093e-109,2.2835890989475288e-123,1.6600008231728082e-71,4.1129293348551266e-49,1.5337359721546971e-72,4.6753054808147987e-49,2.711157591056557e-63,5.750170882589954e-39,2.7071541034829972e-63,2.2443141006713289e-64,6.9567778550836305e-53,4.8077698883340124e-52,4.446301335776958e-77,7.5573255263488747e-53,1.9331574758150802e-55,2.9875716834365952e-84,2.0026821167257959e-62,6.5525329604204767e-46,2.5955639695326076e-85,1.7041366094804531e-21,2.3727906468485272e-44,1.8122762685093136e-40,2.3727906468485272e-44,3.5634694154826313e-74,3.6255788511120018e-67,2.6201633358739622e-67,5.7202132488610136e-120,6.3020355930829153e-122,2.6259918389439565e-52,3.8329593697405634e-64,2.6819904418451314e-65,6.8180715862834399e-89,1.8740161084323701e-53,1.3201240902852425e-100,6.6543450347267724e-66,1.4287322086746867e-79,3.4309136374113808e-93,8.0093985558980473e-94,5.9428076185286717e-81,6.1988210381860332e-70,1.1469071639660169e-101,6.1988210409703935e-70,2.1518339784812421e-90,4.9464019685992453e-72,3.6478090543087829e-86,2.4820188988454524e-81,8.39395265140233e-91,3.4877393520743981e-28,2.0436933411423836e-72,2.8499124530262889e-63,1.7578958559117933e-78,5.9602439398322648e-95,2.7670020781784345e-97,1.0755395514427255e-107,2.1326915431136212e-110,2.0755323439030408e-119,1.6583160198670649e-48,4.9033576469364888e-49,4.9033576469364888e-49,7.3947593457151194e-111,5.1699271183355064e-113,7.5687841211839549e-121
7.401864639423019e-24,0.22674969790400443,76.950000000000003,0.0,0.0,0.0,0.99999999999999589,9.5,1.920073888457856e-17,2.9467917356084357e-16,2.9467527839145424e-16,8.2413539389271661e-30,8.2414616147036998e-30,3.4657700437501484e-15,1.6815177652912215e-26,4.1146464722315436e-30,6.6029708305132493e-44,2.7512425776478723e-48,4.0433137183139253e-33,4.2142299097163328e-26,1.2327546228198823e-31,6.593293134849126e-44,5.3469399671621326e-48,9.7243490483587501e-50,8.0705863576535259e-64,5.0677050393755433e-43,3.9559819508308726e-31,6.725220136444656e-44,6.7252201364447476e-44,7.8367093798403146e-58,1.230114560202756e-58,5.6434497024068925e-46,1.4230503118429945e-31,3.5056942998327976e-45,2.7514135033073197e-46,1.0293926920431458e-102,8.1064416564401526e-58,1.6600324184192331e-47,9.3920803385523262e-103,4.9155884598043249e-28,9.2143083574285669e-72,9.2143083370550165e-72,7.959181474678141e-41,2.3464004116387081e-41,1.8594894854317633e-29,7.9586202611194706e-41,7.2962731814769906e-54,9.3920803385523163e-103,9.0181839257662477e-61,4.9917201723463617e-57,1.1506692022940236e-73,5.4148178438787323e-88,1.7112737386428919e-48,2.3965364855946265e-102,4.7366989730711062e-35,1.9875303836708295e-72,3.4094581461464323e-102,4.2613260704362324e-48,4.4985774417492009e-117,2.5469096446726375e-107,7.2090699322874322e-121,6.5667981754313142e-70,4.0380984089962355e-48,6.0673069813702979e-71,4.5902426452467067e-48,5.3567905305713601e-62,2.768459756054532e-38,5.3488803138726202e-62,4.4343864636496758e-63,6.8302057512476836e-52,4.7202969859464471e-51,1.7588979817400128e-75,7.4198270150856333e-52,1.8980399706629483e-54,2.3621830962246123e-82,3.9569623818137187e-61,6.4333157158318506e-45,2.052234384200975e-83,3.8951693931722343e-21,2.3296199274750628e-43,8.7253301142937381e-40,2.3296199274750628e-43,1.4096730633585147e-72,7.163528158231685e-66,5.1769970145583411e-66,1.8057416330002534e-117,2.8680926875769283e-119,2.5782143593899768e-51,7.5508833856742306e-63,5.2991611578090269e-64,5.3908441893797312e-87,1.8399201280228057e-52,2.0854725165790297e-98,1.314786443557429e-64,5.6519225353758922e-78,2.7127202483360985e-91,6.332790601926181e-92,2.3509155948576611e-79,1.2247825769711775e-68,1.811832226321468e-99,1.2247825780726435e-68,1.7013904228826079e-88,9.7735286902304466e-71,1.4430765563378745e-84,9.8186199362504566e-80,3.365126463203812e-89,1.6791963626876654e-27,8.084647619694485e-71,5.6309467558573102e-62,6.954061185213906e-77,4.7125856636018595e-93,2.1988789905368273e-95,1.7077970151725105e-105,3.3863974446290785e-108,6.5856239434200891e-117,1.6281445019653204e-47,4.8141456142173852e-48,4.8141456142173852e-48,1.1741779208217689e-108,8.2090762903364852e-111,2.4015605479514614e-118
1.5728962358773915e-23,0.22674969790400443,76.950000000000003,0.0,0.0,0.0,0.99999999999999134,9.5,4.0801570129729315e-17,6.2619324381676094e-16,6.2618496658181703e-16,3.5992157848790325e-29,3.5992622461777711e-29,7.3647613428300929e-15,7.3436298551764454e-26,1.7969742158409714e-29,5.840245101824041e-43,2.4334652077341947e-47,1.7658213281496509e-32,1.8404649192755083e-25,5.3837633114896108e-31,5.8316723870878157e-43,4.7293078397716044e-47,8.6010766085244453e-49,1.43613168533235e-62,4.4823277173262718e-42,1.7276812508783292e-30,5.948381049989334e-43,5.9483810499894949e-43,1.3945005626777174e-56,2.1889231350718287e-57,4.991567351572955e-45,6.2148345805133468e-31,3.1007469072325603e-44,2.4335940848212505e-45,1.7396281416932394e-100,1.4424979801690602e-56,1.468279874790136e-46,1.587220056280042e-100,2.1467666244327804e-27,3.2885211985630193e-70,3.2885211840008594e-70,7.0398058793167339e-40,2.0753645919034338e-40,8.1208791142925397e-29,7.0393094922800512e-40,1.2983328287748029e-52,1.5872200562800387e-100,1.6047376455799042e-59,4.415120685632261e-56,4.1066977203429745e-72,3.8703246255548948e-86,1.5136022422460866e-47,3.4282023093670762e-100,2.0686408857628858e-34,3.5367046847577423e-71,4.8771685140493616e-100,3.7690946512988891e-47,1.2874483575150808e-114,3.6433084077587031e-105,2.063206047123902e-118,2.3436436243732299e-68,3.571652310429985e-47,2.1653787651251138e-69,4.0600176368754991e-47,9.532122536116818e-61,1.2090591094182666e-37,9.5180467285046771e-61,7.8907537836873375e-62,6.0412396373532276e-51,4.1750492282175747e-50,6.2772773368408691e-74,6.5627529661739076e-51,1.6788918056923835e-53,1.6883897052619981e-80,7.0412031386188744e-60,5.6901948944264261e-44,1.4668513260566609e-81,8.277234960807139e-21,2.0605224436431798e-42,3.8105808961592824e-39,2.0605224436431798e-42,5.0310230330382946e-71,1.2747098846970103e-64,9.2121745593948597e-65,5.1678539017377015e-115,9.7368090031142888e-117,2.2804014035239491e-50,1.3357013390155543e-61,9.4295741428170222e-63,3.8531500147530344e-85,1.6273885168035558e-51,2.9832004416841213e-96,2.3395922275394884e-63,2.0171310069199468e-76,1.9389390043456969e-89,4.5264139239297969e-90,8.3902507710175004e-78,2.1794351518845015e-67,2.5917669280539917e-97,2.1794351558155543e-67,1.2160827326403659e-86,1.7392444329938581e-69,5.1505211284615949e-83,3.5041957130039923e-78,1.2084921519601514e-87,7.3334916726758343e-27,2.8853533096373367e-69,1.0019968891716644e-60,2.4818550386363294e-75,3.3683591812364109e-91,1.5754476136762647e-93,2.448862694180319e-103,4.8558598714690942e-106,1.8892990509811756e-114,1.4400753738028133e-46,4.2580572772055514e-47,4.2580572772055514e-47,1.6836898548287812e-106,1.1771247457441834e-108,6.8896525266527371e-116
3.2383157797475707e-23,0.22674969790400443,76.950000000000003,0.0,0.0,0.0,0.99999999999998213,9.5,8.4003232620030419e-17,1.2892213843284956e-15,1.289204342962469e-15,1.5026017394799042e-28,1.5026206651877932e-28,1.5162743940548034e-14,3.0658209047940813e-25,7.5020136158572858e-29,4.9090647513922842e-42,2.0454829779367425e-46,7.3719564424025767e-32,7.6835787414825146e-25,2.2476152029539606e-30,4.9018371628463361e-42,3.9752681863367054e-46,7.2297231432080581e-48,2.4222571669136953e-61,3.7676665268039102e-41,7.2127291276796576e-30,4.9999726893592886e-42,4.999972689359562e-42,2.3520290231485198e-55,3.6919388068943877e-56,4.1957131232035641e-44,2.5945710980224068e-30,2.6063646091338512e-43,2.0455824631885532e-44,2.5471987998703516e-98,2.432983683347141e-55,1.2341777052052745e-45,2.3240397907979035e-98,8.9623280648614773e-27,1.1111169857362208e-68,1.111116975887825e-68,5.9173810213978918e-39,1.7444689895050952e-39,3.3903071702136725e-28,5.9169637781847019e-39,2.1898280839398002e-51,2.3240397907978934e-98,2.7066245925262767e-58,3.7111761829028979e-55,1.3875669412385382e-70,2.6175150510401959e-84,1.2722738859423041e-46,4.6388784338055446e-98,8.6361684852819937e-34,5.9651712775380754e-70,6.599549792044739e-98,3.1681511593728588e-46,3.4849263226270382e-112,4.9299496594590723e-103,5.5848401232373035e-116,7.9186421164629888e-67,3.0021889712130971e-46,7.3163254468987452e-68,3.4126894582058847e-46,1.6077317898730102e-59,5.0475837780568761e-37,1.6053576993050638e-59,1.3308909592948729e-60,5.0780259271796354e-50,3.5093804415854609e-49,2.120879434097877e-72,5.5163893005680039e-50,1.4113728137056051e-52,1.1418587751625149e-78,1.1876018256729343e-58,4.7829516666342631e-43,9.920322620494815e-80,1.7041366097082312e-20,1.731993269500967e-41,1.590842512963701e-38,1.731993269500967e-41,1.6998689759825176e-69,2.1499788783624483e-63,1.5537628178258349e-63,1.3988592219947444e-112,2.8586397776347109e-114,1.9168147841409446e-49,2.2265287049895527e-60,1.5904355032511692e-61,2.6058872206438087e-83,1.3679181058871772e-50,4.0367036892400077e-94,3.9460642537315442e-62,6.8154297780518833e-75,1.311305387519349e-87,3.0612159282349078e-88,2.834876106381236e-76,3.6759359232490233e-66,3.5070372657490168e-95,3.6759359365311622e-66,8.2243734090998043e-85,2.933818052151918e-68,1.7404362403501001e-81,1.1839885326680014e-76,4.0959826722550526e-86,3.0615884069495609e-26,9.7489567103788683e-68,1.6900142085319962e-59,8.3856272264595918e-74,2.2780229453750042e-89,1.0667401628725514e-91,3.3176256494138367e-101,6.57853448681123e-104,5.1201494805771738e-112,1.2104701226717108e-45,3.5791537085117034e-46,3.5791537085117034e-46,2.2809987137217936e-104,1.5947237418364106e-106,1.8671501892547871e-113
6.569154867487929e-23,0.22674969790400443,76.950000000000003,0.0,0.0,0.0,0.99999999999996381,9.5,1.7040655760063099e-16,2.6152776653515632e-15,2.6152430957234775e-15,6.1386183926282591e-28,6.1386918615047972e-28,3.0758709134216111e-14,1.2524878748000873e-24,3.0648173465934229e-28,4.0247262988241434e-41,1.6770140475438169e-45,3.0116847477381926e-31,3.1389926246931077e-24,9.1822414828470459e-30,4.0187650913357578e-41,3.2591650098764293e-45,5.9273638342764726e-47,3.9785735950043956e-60,3.0889606513102134e-40,2.9466351942109542e-29,4.0992796963593725e-41,4.0992796963598201e-41,3.8632147322544743e-54,6.0640205760764625e-55,3.4398991122386452e-43,1.0599669522482539e-29,2.1368551758095734e-42,1.6770920919672398e-43,3.4830789011072812e-96,3.9961830052102831e-54,1.0118534485133016e-44,3.177927832360348e-96,3.6614034478225685e-26,3.6531095315809815e-67,3.6531094667949458e-67,4.8514264739652767e-38,1.4302210738303473e-38,1.3850511018854635e-27,4.8510843927714875e-38,3.5967992031695265e-50,3.1779278323603209e-96,4.4456390202839165e-57,3.0426484481256942e-54,4.5620270848644983e-69,1.721892877785496e-82,1.0430869991768106e-45,6.1045176661732368e-96,3.5281566174721587e-33,9.797817948236206e-69,8.6846570500272914e-96,2.5974417320302922e-45,9.1729209293938538e-110,6.4875519469793547e-101,1.4700326205170124e-113,2.6034762780091754e-65,2.4613758968240135e-45,2.4054477349418999e-66,2.7979290038461854e-45,2.6407042916791126e-58,2.0621026719371301e-36,2.6368048411936698e-58,2.1859923970377523e-59,4.1632724564883577e-49,2.8772021133244454e-48,6.9725227976512051e-71,4.5226692298378576e-49,1.1573961579079165e-51,7.5115284151056496e-77,1.9506395646689332e-57,3.9213527466415811e-42,6.5259195684369972e-78,3.4569628373654148e-20,1.4199927246805375e-40,6.4991107466470755e-38,1.4199927246805375e-40,5.5887972831774853e-68,3.5313281770350843e-62,2.5520434393450192e-62,3.6820362394472126e-110,7.8282354158016073e-112,1.5715205690893265e-48,3.573508769164673e-59,2.6122950849812315e-60,1.7142396529768288e-81,1.1215019093367972e-49,5.3120750924020241e-92,6.4814223860341345e-61,2.2407641982771249e-73,8.6262048290038468e-86,2.0137700850345544e-86,9.3204524035566755e-75,6.0377357482467865e-65,4.6150638595001307e-93,6.0377357919155551e-65,5.4102675308909049e-83,4.8198828517156141e-67,5.7234332245810317e-80,3.8926952542040552e-75,1.3489753596494179e-84,1.2507587562436948e-25,3.2052436715180964e-66,2.7758534123080367e-58,2.7570107510358662e-72,1.4985595819349899e-87,7.0215147935308687e-90,4.3684044799977732e-99,8.6621310605271539e-102,1.3485117228127617e-109,9.9241653999220219e-45,2.9344064533061782e-45,2.9344064533061782e-45,3.0034506841658144e-102,2.0998147152405904e-104,4.9175789262681866e-111
1.3230833042968646e-22,0.2267496979040044,76.950000000000003,0.0,0.0,0.0,0.99999999999992717,9.5,3.4321320756182581e-16,5.267390227396093e-15,5.2673206012443157e-15,2.4813277023465618e-27,2.4813542880194603e-27,6.1950639514481068e-14,5.0627562448680974e-24,1.2388481735763818e-27,3.2592927564208684e-40,1.3580908593882996e-44,1.217371127732975e-30,1.2688310069106654e-23,3.7116088187756547e-29,3.2544075684918843e-40,2.6393562842753883e-44,4.8001329102828776e-46,6.449446375640369e-59,2.5015204218408648e-39,1.1910770581414921e-28,3.3197029791096537e-40,3.319702979110378e-40,6.2624375550703933e-53,9.8300386687609002e-54,2.7857194857314002e-42,4.2845558946034582e-29,1.7304807219883929e-41,1.3581526572325848e-42,4.6067052814265509e-94,6.4779848570874718e-53,8.1942515653220864e-44,4.203113780935628e-94,1.4799978142226791e-25,1.1848773073218115e-65,1.1848772652864228e-65,3.9288109395657915e-37,1.1582301063416769e-37,5.598598003260971e-27,3.9285339133478794e-37,5.8305665038232407e-49,4.2031137809355583e-94,7.2065724260918031e-56,2.464018828232799e-53,1.4796842391944075e-67,1.1172241450975301e-80,8.4471889567801559e-45,7.9224957328522379e-94,1.4261373151497547e-32,1.5882705252753251e-67,1.1271022901863571e-93,2.1034756577347117e-44,2.3810665820120657e-107,8.4196009438367082e-99,3.8158557640087415e-111,8.4443129001958319e-64,1.9932860063710851e-44,7.8020120673947897e-65,2.2658354485171449e-44,4.2806954495551199e-57,8.3353487018031129e-36,4.2743742735807382e-57,3.543587876342692e-58,3.3715259753635574e-48,2.3300328670254125e-47,2.2612197837364171e-69,3.6625747923890148e-48,9.3772260845591184e-51,4.8737359238062152e-75,3.1620707926270346e-56,3.1756131166051245e-41,4.234239275961652e-76,6.9626152942883704e-20,1.1499469237868877e-39,2.62704447730104e-37,1.1499469237868877e-39,1.8127130019792139e-66,5.7243748908264171e-61,4.1369183948984634e-61,9.5576681403509909e-108,2.0721051351831318e-109,1.2726581012389615e-47,5.5393708014799021e-58,4.2346428883512492e-59,1.1122571755530316e-79,9.0822132308085357e-49,6.8940488577958948e-90,1.0506664991183152e-59,7.2678649656927945e-72,5.5969760143881571e-84,1.3066027393506674e-84,3.0230663957308384e-73,9.7874296894877037e-64,5.9894627196576609e-91,9.7874298311263007e-64,3.5103661688463017e-81,7.8167324684850862e-66,1.8571989825831802e-78,1.2625863749203199e-73,4.3805498850921204e-83,5.055766830099391e-25,1.039613101616889e-64,4.4997780009929095e-57,8.9422981916658003e-71,9.7231658689364498e-86,4.5571396947259365e-88,5.6710283371899287e-97,1.1245117190778054e-99,3.5014458658012904e-107,8.0368464406253037e-44,2.3763584250416568e-44,2.3763584250416568e-44,3.8990560760442931e-100,2.7259635895010817e-102,1.2768621963312266e-108
2.655418939393008e-22,0.22674969790400445,76.950000000000003,0.0,0.0,0.0,0.99999999999985378,9.5,6.8882650748418938e-16,1.0571615351478727e-14,1.0571475612281263e-14,9.9773095582368645e-27,9.9773914345305205e-27,1.2433450024672619e-13,2.0357120187231386e-23,4.9813540183822786e-27,2.6233061047790694e-39,1.0931102361401034e-43,4.8949957626945894e-30,5.1019136722509219e-23,1.4924215817799662e-28,2.6192812910595776e-39,2.1243834915473366e-43,3.8635645683217892e-45,1.038664024951394e-57,2.0134412623675423e-38,4.7892684652991569e-28,2.671985765210696e-39,2.6719857652118634e-39,1.0085462612139499e-51,1.5830974228176912e-52,2.2421893930005336e-41,1.7228010806414439e-28,1.3928414317156622e-40,1.0931594145217036e-41,5.9934498685787588e-92,1.0432594902021277e-51,6.5954465411940241e-43,5.4683662615770017e-92,5.9510061167789948e-25,3.8172399961893522e-64,3.817239725314962e-64,3.1622488417392446e-36,9.3224435295298142e-37,2.251171632634896e-26,3.1620258669413489e-36,9.3899476044680842e-48,5.468366261576817e-92,1.160596272152974e-54,1.9832619156670063e-52,4.7670025755190139e-66,7.1993530864890426e-79,6.799032559442726e-44,1.0211007120126981e-91,5.7344354203913537e-32,2.5578672049447843e-66,1.4526797991860552e-91,1.6930602074496135e-43,6.1378999321961024e-105,1.0851707388277812e-96,9.8365036772271573e-109,2.7204478827144509e-62,1.6043699732189757e-43,2.5135221135249862e-63,1.823741492186499e-43,6.8939280455841328e-56,3.3516070527853193e-35,6.8837479907396472e-56,5.7068390319217102e-57,2.7136974210577606e-47,1.875413158296694e-46,7.2828820835754165e-68,2.9479588167584838e-47,7.5545808073555242e-50,3.1406164763163116e-73,5.0924175288120679e-55,2.5560096993893819e-40,2.7285273235224825e-74,1.3973920214568638e-19,9.255773266494234e-39,1.056323031500855e-36,9.255773266494234e-39,5.8398963971234579e-65,9.2187352026468815e-60,6.66220563155897e-60,2.463770255450996e-105,5.3935466070077857e-107,1.0243459585836003e-46,8.2018985139916143e-57,6.8197617739344639e-58,7.1673419863990947e-78,7.3101553428380265e-48,8.885475426900722e-88,1.6920660065770928e-58,2.3414395108429582e-70,3.6066695797837066e-82,8.4196972380650403e-83,9.7392110829643367e-72,1.5762353327524593e-62,7.7195890130790458e-89,1.5762353783832188e-62,2.2620663084372138e-79,1.2599862791270515e-64,5.9884789406453024e-77,4.067590190978973e-72,1.413021897761084e-81,2.032901572731443e-24,3.3492520878403726e-63,7.2467537501647346e-56,2.8808804188239524e-69,6.2655702787663879e-84,2.9370348840210805e-86,7.3102541979890403e-95,1.4495565770910375e-97,9.0273446629740943e-105,6.4687532026858559e-43,1.9126999982264989e-43,1.9126999982264989e-43,5.0260886841404368e-98,3.5139122876014756e-100,3.2919758225401174e-106
5.320090209585295e-22,0.22674969790400443,76.950000000000003,0.0,0.0,0.0,0.99999999999970712,9.5,1.3800531073288137e-15,2.1180065599618304e-14,2.117978563433628e-14,4.0013473788161472e-26,4.0013601438610557e-26,2.4910222159807725e-13,8.1641156853032315e-23,1.9977457570359903e-26,2.1049476580991851e-38,8.7715234778947677e-43,1.9631122348831286e-29,2.0460955701785726e-22,5.9852780447958344e-28,2.1015691168437365e-38,1.7046838588998834e-42,3.1002672472822675e-44,1.6672862396584947e-56,1.6156598101648905e-37,1.920710859839939e-27,2.1441003007818634e-38,2.1441003007837375e-38,1.6189401053075092e-50,2.5412219653205031e-51,1.7992157777467533e-40,6.909202871642163e-28,1.1176675280363132e-39,8.7719158436760894e-41,7.7342295575126247e-90,1.6746625271896348e-50,5.2924304788191965e-42,7.0566369785388463e-90,2.3866196168456873e-24,1.2256356555711479e-62,1.2256354816175948e-62,2.53750554201351e-35,7.4806738194795284e-36,9.0282051003854553e-26,2.5373266187855001e-35,1.5072945453353574e-46,7.0566369785383737e-90,1.8630140486817675e-53,1.5914511278548538e-51,1.5305849812112931e-64,4.6233739369134607e-77,5.4557954379428899e-43,1.311522861749185e-89,2.2997650824472909e-31,4.1059641742874602e-65,1.865851962529896e-89,1.3585741910434835e-42,1.576750427636517e-102,1.39381573804279e-94,2.5268774794490111e-106,8.7347876152032652e-61,1.2874058370603625e-42,8.0703923659687804e-62,1.4634376922378262e-42,1.1066281257623771e-54,1.3441443324447162e-34,1.1049940028512117e-54,9.1607405197944702e-56,2.1775712776316535e-46,1.5049009479496773e-45,2.337138478863284e-66,2.3655512736852303e-46,6.0732668569690856e-49,2.0168812464852521e-71,8.1744579292794684e-54,2.0510367975254493e-39,1.7522405653959847e-72,2.7996530080866605e-19,7.4271751263164126e-38,4.2363278190852693e-36,7.4271751263164126e-38,1.875068257980152e-63,1.4797488577158473e-58,1.0693757211269419e-58,6.3291203686943916e-103,1.3922521583435749e-104,8.2197312064690931e-46,1.1332700804051812e-55,1.094722783303364e-56,4.6028153233345619e-76,5.8659392851082308e-47,1.1412685034688965e-85,2.7161406766193815e-57,7.5178712258879347e-69,2.3161771897891009e-80,5.4070688273842588e-81,3.1270564288954709e-70,2.5302066455786124e-61,9.9151968553969675e-87,2.5302067920893987e-61,1.4526826664728297e-77,2.0261707406948408e-63,1.9261559799407593e-75,1.3060179056460349e-70,4.5457658191956477e-80,8.1528442747525334e-24,1.0753746044151532e-61,1.1632644682852973e-54,9.2499024641649837e-68,4.0237040422813787e-82,1.8862811517685052e-84,9.3901339307408012e-93,1.8619822031383997e-95,2.3191846297609082e-102,5.190767053187755e-42,1.534821289722535e-42,1.534821289722535e-42,6.4560883415695153e-96,4.5136786195003032e-98,8.4573039085156491e-104
