Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),S(118),S(196),S(362),S(361),C7H10(38),S(410),S(340),S(358),S(336),C7H8(308),S(197)
5.509112228761863e-20,0.5587030993282504,76.950000000000003,0.0,0.0,0.0,0.9999999999995387,9.5,1.1594398927391031e-20,7.0149699221033926e-21,1.0389773291035191e-13,1.3920076735940043e-35,1.3920076736452826e-35,1.0389773291450483e-13,1.0554043853898105e-14,4.7257506301615108e-26,2.4258384532782396e-13,6.9970023931077238e-35,7.1522955562552745e-24,4.5388809428277593e-26,4.2334028387201611e-35,2.6894513726441354e-30,9.9019699258882219e-39,7.3747295966688046e-52,1.2793826206423945e-82,7.1491413318476773e-24,1.2793826206420292e-82,3.1559239247134095e-53,2.2091117496976436e-65,4.2014745854737943e-24,1.2695745075562574e-34,4.5047280762118522e-46,6.2311011405570868e-47,3.2214473441155663e-16,1.3702625064120872e-82,1.4871907540551352e-34,1.4385938349916546e-39,1.4739000600681979e-39,1.1155358706914773e-52,3.1559239247156183e-53
1.1023010827835422e-19,0.5587030993282506,76.950000000000003,0.0,0.0,0.0,0.99999999999907707,9.5,4.640780842220377e-20,2.8078159313924988e-20,2.0788573315921446e-13,1.1144525387108438e-34,1.1144525387929558e-34,2.0788573317582439e-13,2.11172571637857e-14,1.8915317878310789e-25,4.8537841126559761e-13,5.6018560348415638e-34,2.8627821612053215e-23,1.8167352429756331e-25,3.3892961453504453e-34,1.0764814442054719e-29,7.9296158808934945e-38,1.1809175947704823e-50,1.6409353223531298e-80,2.860257903052866e-23,1.6409353223521927e-80,5.0535901672626587e-52,7.0751059328300347e-64,1.6816847021093202e-23,1.0148321908146657e-33,7.2134324097045767e-45,9.9778797992188653e-46,6.4456931823013757e-16,1.7574978050866704e-80,1.1853101890273589e-33,1.1517497994294417e-38,1.1800071079161187e-38,1.7867980667049537e-51,5.0535901672697344e-52
2.205080802598254e-19,0.5587030993282504,76.950000000000003,0.0,0.0,0.0,0.99999999999815381,9.5,1.8569165734637277e-19,1.1234919543719154e-19,4.158617335884767e-13,8.919007351695436e-34,8.9190073530097691e-34,4.1586173365483714e-13,4.2243683783534817e-14,7.5685907423694183e-25,9.7096742730477074e-13,4.4831867754306494e-33,1.1454857564763617e-22,7.2693073738053645e-25,2.7124666471800557e-33,4.3073279899847871e-29,6.346921168487813e-37,1.8902372286154466e-49,2.1025282072829654e-78,1.1434672442699028e-22,2.1025282072805638e-78,8.0890354680522602e-51,2.2649861542303927e-62,6.7289287603739369e-23,8.0962587572472903e-33,1.1546184003081798e-43,1.5971103965478507e-44,1.2894183866054791e-15,2.2518795585794912e-78,9.4016108253325614e-33,9.2174988749861064e-38,9.4434969419970204e-38,2.8604350910692947e-50,8.0890354680749083e-51
4.410640242227677e-19,0.5587030993282506,76.950000000000003,0.0,0.0,0.0,0.99999999999630718,9.5,7.4288734200047665e-19,4.4946981661396499e-19,8.3181373417367674e-13,7.1365609795813066e-33,7.1365609816846611e-33,8.3181373443835666e-13,8.4496537022928783e-14,3.0279289393845552e-24,1.9421449960378417e-12,3.5872296596277611e-32,4.5826889002304659e-22,2.9081962941214523e-24,2.1703848835358898e-32,1.7232116972714857e-28,5.078846101827652e-36,3.0249949999689228e-48,2.6926007800957604e-76,4.5665642612368185e-22,2.6926007800896109e-76,1.2945090522303454e-49,7.2494797960439684e-61,2.6920092305557077e-22,6.4378258098820518e-32,1.8477635666573267e-42,2.5558960403490619e-43,2.5791161263090049e-15,2.8838674481821591e-76,7.3909723923702509e-32,7.3753996832262121e-37,7.5559983909023849e-37,4.5779582815480625e-49,1.294509052237595e-49
8.821759121486524e-19,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999999261391,9.5,2.9717895950734978e-18,1.7980246112630625e-18,1.6637177342549749e-12,5.7097908678639062e-32,5.7097908712296127e-32,1.663717735307372e-12,1.6900224350129967e-13,1.21126999448672e-23,3.8844982801246489e-12,2.8700547560737163e-31,1.8332247328610863e-21,1.1633731907482073e-23,1.7364718873565559e-31,6.8934079811521928e-28,4.0636285562097777e-35,4.8404844700451639e-47,6.0351313329320435e-74,1.8203660398619375e-21,6.0351313329045211e-74,2.071425261802352e-48,2.3200774789262364e-59,1.0768909826467952e-21,5.0872431092009741e-31,2.9567167591556494e-41,4.089847875695317e-42,5.1585100175284028e-15,6.4638318921261973e-74,5.7129080283980159e-31,5.900880187223473e-36,6.0449983371474088e-36,7.3257918463035611e-48,2.0714252618255531e-48
1.7643996880004218e-18,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999998522737,9.5,1.1887629128629029e-17,7.1923832623500039e-18,3.3275257300943211e-12,4.5680495187521235e-31,4.5680495241375089e-31,3.3275257342533101e-12,3.3801365645637311e-13,4.8452758882643518e-23,7.769197434795076e-12,2.2961504677120672e-30,7.3331971859070175e-21,4.6536820954349729e-23,1.3892420441799622e-30,2.7574755545181309e-27,3.2511682303069528e-34,7.7451693491148103e-46,7.7515842476090707e-72,7.2309922924393564e-21,7.7515842475382526e-72,3.3144492123175341e-47,7.4246386228252847e-58,4.3077364291134775e-21,3.9719281868278776e-30,4.7309691568187869e-40,6.5440836214530461e-41,1.0317291447224408e-14,8.3022116176143881e-72,4.279524644162055e-30,4.720928574042662e-35,4.8356293908225983e-35,1.1722269841352701e-46,3.31444921239178e-47
3.528847239703961e-18,0.5587030993282504,76.950000000000003,0.0,0.0,0.0,0.99999999997045441,9.5,4.7551380244439677e-17,2.8770055632688361e-17,6.65514170473886e-12,3.6545263138219459e-30,3.6545263224387215e-30,6.6551417209768145e-12,6.7603648235984697e-13,1.9381487907768792e-22,1.5538566090236359e-11,1.8369602335774372e-29,2.9333384450509393e-20,1.8615106889372086e-22,1.1114177514702442e-29,1.1030127903374185e-26,2.6011122356513921e-33,1.2392586954581144e-44,9.9227611237362261e-70,2.852623869924143e-20,9.9227611235549137e-70,5.3032542918971492e-46,2.3759470981347167e-56,1.7231274014111091e-20,3.0312230482695847e-29,7.5696846437799241e-39,1.047078143714774e-39,2.063482889570785e-14,1.0627616242332349e-69,3.0350191929417234e-29,3.776833009101556e-34,3.8676374785209204e-34,1.8756932926406133e-45,5.3032542921347431e-46
7.057742343111039e-18,0.5587030993282506,76.950000000000003,0.0,0.0,0.0,0.99999999994090838,9.5,1.9020662618750891e-16,1.1508089121661368e-16,1.3310373587864586e-11,2.9236556778002435e-29,2.9236556915870653e-29,1.3310373649750337e-11,1.3520821341401019e-12,7.752666057011185e-22,3.107718478642609e-11,1.4695796398524396e-28,1.1733472273761801e-19,7.4461183267540841e-22,8.8914113051262356e-29,4.4120970645632238e-26,2.0810751457446077e-32,1.9828393939399445e-43,1.2701440081731539e-67,1.1103955492008706e-19,1.270144008126737e-67,8.4853169536230305e-45,7.6031325468663694e-55,6.8925619045946636e-20,2.219628976007987e-28,1.2111462192513833e-37,1.6753403675700672e-38,4.1269802149541113e-14,1.360367635007959e-67,1.975371021997788e-28,3.021503072429021e-33,3.0926152096899263e-33,3.0013728637248967e-44,8.4853169543833449e-45
1.0586637446518116e-17,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999991136235,9.5,4.041890713628319e-16,2.4454688821689309e-16,1.9965605406707307e-11,8.3598533183738407e-29,8.3598533691183031e-29,1.9965605533850382e-11,2.0281277858936638e-12,1.6474452955653579e-21,4.6615684868828438e-11,4.2020822552655443e-28,2.4933701911625623e-19,1.5823048528804442e-21,2.5423897184252555e-28,9.3757360403250365e-26,6.1784365098568897e-32,7.298186951826885e-43,6.5534788728377269e-67,2.3159547082749936e-19,6.5534788725527502e-67,3.1231694366803264e-44,3.4713283862759829e-54,1.464671170552723e-19,6.0413486668308787e-28,4.4578018709385326e-37,6.1663720208311925e-38,6.1904673760741401e-14,7.018999810858529e-67,5.0596211779670497e-28,8.6396382738167515e-33,8.8404593536364408e-33,1.1355182865130848e-43,3.1231694370274591e-44
1.7644427653332274e-17,0.5587030993282506,76.950000000000003,0.0,0.0,0.0,0.99999999985227039,9.5,1.1174584028754385e-15,6.7609689250794516e-16,3.3276068800950339e-11,3.8418912838274986e-28,3.841891322869928e-28,3.3276069123356598e-11,3.380219089294018e-12,4.5547063451403931e-21,7.7692210585726955e-11,1.9311139897034927e-27,6.8934539902196662e-19,4.3746198271471362e-21,1.1683836854071594e-27,2.5921238158268404e-25,2.8944602917624084e-31,5.6153099899281501e-42,4.4177913397277225e-65,6.1118901525973647e-19,4.4177913394032404e-65,2.4030034858101551e-43,4.5189070210068258e-53,4.0493779013299423e-19,2.4296765474922536e-27,3.4297925235698238e-36,4.744447880518702e-37,1.0317401041661547e-13,4.7316054795947195e-65,1.7881630844959153e-27,3.9704729991488203e-32,4.0592739603151768e-32,8.9626670328453358e-43,2.4030034862620463e-43
