Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987),C7H10(986),S(4381),S(4372),S(4886),S(3690),S(1588),S(206),S(2669),C7H9(279),S(6788),C7H8O(364),S(4083),C6H7(1171),CH2O(6985),C6H7(7018),S(7026),S(7027),S(1436),C7H8(3538),C6H6(7011),S(4021),C7H8(8697),C7H10(194),S(4081),S(8888),S(3479),S(8086),S(9026),S(9133),S(9134),S(9132),S(1976),S(1202),S(9091),S(9284),S(6877),C5H7(508),S(9694),C7H9(1172),C7H9(9429),C7H9(4235),S(3577),C7H9(1219),C7H9(4234),S(4032),C7H9(9398),C7H9(1955),C7H9(9397),S(10300),S(8791),H(4),CH3(908),S(10163),S(8836),S(8837),S(9703),S(10413),S(8792),S(9108),S(2077),S(11922),S(2076),S(3464),S(3463),S(9222),S(12085),S(9698),S(3108),C5H6(9685),S(12412),S(3515),S(2491),S(11890)
0.0,0.21117989797117095,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3591320626038973e-21,0.21117989797117095,76.950000000000003,0.0,0.0,0.0,0.99999999999999889,9.5,4.4690929734537912e-17,4.8053117921536258e-16,4.8053083674362428e-16,2.9456611240209723e-27,2.9456332732745489e-27,7.8629647742393891e-17,7.5493278924758084e-26,1.9278956044370028e-27,1.0663664085995155e-39,2.605218557821214e-44,2.01326576754167e-31,9.4944308112701349e-26,5.5139399312782134e-30,1.3957844286778783e-39,1.614479190942799e-44,1.7994943790738869e-47,3.8779252497887508e-60,4.2431494025556175e-42,9.9232897942521917e-31,5.4499921339695624e-42,5.4499921339942305e-42,2.1865419482052886e-53,2.8026479068997567e-54,1.3437937385977481e-48,5.5694129173895752e-31,4.4689073565517318e-42,2.86405981352285e-43,4.7790419383886349e-96,9.8779324291842899e-54,1.0778243613646001e-46,4.5322672639013978e-96,9.9458116472091034e-28,3.0275929238410218e-65,3.0275912568504449e-65,2.2913665080892006e-39,6.9735337471680504e-40,2.3865150508306295e-30,2.2913225911910747e-39,9.4664156260119372e-51,4.5322672639013912e-96,2.0391942062258648e-57,3.3355937276791294e-55,2.2989335451370647e-68,1.2480598124856339e-80,2.4890250210503261e-47,1.7262120932568253e-92,4.3865727588152622e-36,2.3846472280157736e-68,6.2538056722106412e-94,3.0249993716450962e-47,2.8830250461074977e-106,1.044872344767318e-98,1.5267065197942612e-109,3.0662110025883096e-66,1.3513706086874865e-48,3.1172988094541603e-68,1.8122773750002495e-47,5.5546435091490692e-59,1.8002495677752223e-39,7.2708738283967934e-59,4.9193533634019982e-60,1.1035556430257689e-50,1.109205112919433e-51,7.2313235735912436e-71,9.8359742346813802e-52,2.6849374183737892e-56,2.9929564135512509e-77,5.5636885553746337e-59,1.69161094059667e-43,2.7719064542567253e-78,2.3058055925035849e-22,9.8112133379934624e-42,1.2348350648756538e-39,9.8112133379934599e-42,1.3760495258438401e-70,7.2455721400327682e-63,3.9949914329065581e-63,2.9819151461747186e-107,4.9135938263476686e-112,6.2824090406726579e-50,2.0397033307537764e-60,1.2694884810583582e-60,1.0097059171019755e-83,7.0980233237515908e-51,9.694309033542058e-93,3.2726716889223427e-64,4.9036952731538967e-76,7.3407764028521242e-87,1.9673671362782167e-87,1.683677700330578e-76,3.1670840645943525e-65,8.9783191223742056e-94,3.1670848788064312e-65,6.3779711044150728e-86,3.8453426032519188e-70,2.7841844442945912e-82,1.5806511993428713e-78,3.4019492875778556e-87,4.0101853187119064e-27,4.2306291558141301e-67,1.7309945575075455e-58,2.5356901361049646e-71,2.3662174231224515e-89,2.2447215363825446e-88,1.5875575320747358e-96,2.2137569129701454e-99,1.5242332501547079e-105,1.997348898282142e-50,6.3275962573165194e-51,6.3275962573165194e-51,7.6756154804326738e-100,3.0085251873971245e-102,5.1432861162723253e-107,1.2608579035501768e-88,1.8384812924601601e-95,2.6926742861662644e-43,8.2530602280124827e-55,1.7562142861587805e-48,8.2530636523847651e-55,3.3211165563338794e-55,1.3220257321735932e-102,5.7868636320052774e-59,3.1524861130065126e-102,3.5655132158009732e-71,3.5473556650621673e-70,2.321695118783601e-70,1.8017678234605701e-108,3.9427092760744113e-66,2.5866342344230869e-73,1.3596194758585415e-76,1.179765782194666e-63,1.1717278164003341e-36,6.0153928504860073e-85,3.0376821668744943e-95,2.1185718990927705e-94,3.152486109935921e-102,2.5109881717510572e-111,1.0074108062949578e-122,1.3694967630315735e-123,6.4563540375788944e-124,1.3703182074052384e-82,1.0240133692207976e-55,2.2382694826587041e-125,2.2265992601226988e-134,2.6290329380838964e-59,1.2337167376357874e-59,7.5627018162308174e-71,2.1450294016523942e-49,6.6081779349712108e-62,6.6081551595371896e-62,2.4109593917081279e-60,4.2199342886569215e-62,1.3000346331237017e-74,8.6058780555810662e-61,1.3000333536096331e-74,5.2048515656177381e-72,3.2069135473885354e-84,1.0920846470035815e-82,6.5745304224011063e-61,1.1189310685064309e-22,5.7868636320670939e-59,1.6930415901418865e-73,1.2934128707017366e-73,1.293412825861016e-73,4.3273339735699256e-113,4.6577734337371805e-72,2.1295151201287911e-76,2.4078601044499277e-126,1.2506636065633667e-79,2.6295487925367589e-140,1.2506636065633667e-79,1.8880521958993137e-96,1.8880521958993266e-96,2.7597186467851775e-140,2.5246617038346548e-149,2.9675420221974399e-113,1.2476665647188209e-93,5.2423548632784143e-75,6.3828073204171702e-163,9.4178826124147852e-119,8.9719458542292253e-125,0.0
3.805569775290912e-21,0.21117989797117095,76.950000000000003,0.0,0.0,0.0,0.99999999999999689,9.5,1.2513460325670574e-16,1.3454873017872208e-15,1.3454863428725965e-15,1.7791793188720189e-26,1.779145030435369e-26,2.2016301309870686e-16,4.5597940370318954e-25,1.1644489439336988e-26,1.2659661847412523e-38,3.0929160402581832e-43,1.216012523586166e-30,5.7346361974010793e-25,3.3304197184594135e-29,1.6569803066678205e-38,1.9167092544419687e-43,2.1363597268123506e-46,8.6747651462985926e-59,5.0374669605696155e-41,5.9936670356605814e-30,6.4702306613557997e-41,6.4702306614109824e-41,4.8912068440861033e-52,6.2694112535785781e-53,1.5953519192607957e-47,3.3639253948346687e-30,5.3054867663559057e-41,3.4002117991289175e-42,5.0924400389252409e-94,2.209653965538874e-52,1.279593077608282e-45,4.829482473548862e-94,6.0072702217089183e-27,1.2493444695884892e-63,1.2493432147205999e-63,2.7203103075718634e-38,8.2789792315800359e-39,1.4414550844405049e-29,2.7202581694314947e-38,2.1175993018203211e-49,4.8294824735488503e-94,4.5615958526616901e-56,7.4464328922160779e-54,9.4866152229301977e-67,9.3950842954312716e-79,2.9549704983133575e-46,2.35627138460237e-90,2.6494899462768787e-35,9.820809159361957e-67,8.5364153153033723e-92,3.5912792533730666e-46,7.1123983698259818e-104,1.4262458359558396e-96,3.7663735469776535e-107,1.2652805509119775e-64,1.6043471667298871e-47,1.2863620762276556e-66,2.1515356995509895e-46,1.2425515298675701e-57,1.087350738920325e-38,1.6264653863273453e-57,1.1004396698412815e-58,1.3101412593731511e-49,1.3168483473028374e-50,2.9839324975815357e-69,1.1677268034285208e-50,3.2534623869596258e-55,2.2530228732413021e-75,1.2445748709357867e-57,2.0082803939298413e-42,2.0866219824453819e-76,6.4562556894038802e-22,1.1647872377986374e-40,7.4584038225117205e-39,1.1647872377986368e-40,5.6783068767388401e-69,1.6207685179283616e-61,8.9364383457463683e-62,7.3563586657874886e-105,9.186037966531838e-110,7.4584760126270179e-49,4.3471206058736644e-59,2.839794727515168e-59,7.6008140866893247e-82,8.4267732898235863e-50,1.3232683995535633e-90,7.3208356610785745e-63,2.0235235864144162e-74,5.5259532541583834e-85,1.4809848666000538e-85,6.9477431731701211e-75,7.0846372918960923e-64,1.2255361300867575e-91,7.0846406517628997e-64,4.8011774356722914e-84,8.7717761342908533e-69,1.171043878058839e-80,6.5226014556765703e-77,1.4310857891465128e-85,2.4221513555661404e-26,1.7457809604277423e-65,3.8721655853098415e-57,1.0463594114725851e-69,1.7812296921300576e-87,1.690575213137253e-86,2.1680327580143961e-94,3.0232680629790575e-97,3.7620405361052218e-103,2.3712526042991725e-49,7.5121222521676685e-50,7.5121222521676685e-50,1.0482132746468625e-97,4.1086204898546774e-100,1.2694415937702588e-104,9.4914235834641271e-87,2.5095183132424423e-93,3.1967429096317454e-42,1.8461753617155182e-53,2.0849775963672255e-47,1.8461767747910225e-53,7.4292048854075907e-54,1.0142575273383435e-100,1.2944982420897154e-57,4.3843592988362201e-100,1.4713180805371494e-69,1.4638261452657289e-68,9.580539852017379e-69,2.8690746812257131e-106,8.8196830599414533e-65,1.067381855439791e-71,5.6105060331365369e-75,2.6390890971655392e-62,1.3910749601976531e-35,2.5301086969349584e-83,2.3301763667699486e-93,2.8918401826230029e-92,4.3843592917467872e-100,6.3110483724774511e-109,4.5676714124069707e-120,6.2093946245869094e-121,2.9273563203513883e-121,1.0315413396138497e-80,2.2906769376996611e-54,1.0148471205168405e-122,1.8194269696381914e-131,5.8810415099620526e-58,2.75977499336962e-58,3.1207700797178439e-69,2.5465791410222934e-48,1.4782212076880701e-60,1.4782118093908406e-60,5.3932201079117372e-59,9.4398284425100246e-61,5.3646097163476559e-73,1.9251006561887318e-59,5.3646230079334932e-73,1.1871467870549956e-70,1.3486745481123599e-82,4.5927880064035694e-81,1.4706961872961764e-59,3.133006992131742e-22,1.2944982421152238e-57,6.9863865460051471e-72,5.3373064097253675e-72,5.3373060721755222e-72,6.9006118543216723e-111,1.9220432420638763e-70,8.7875033866830226e-75,1.0917407042707905e-123,9.4146833875673886e-78,2.148690109569539e-137,9.4146833875673886e-78,2.5771819314162375e-94,2.5771819314162689e-94,2.255056182119617e-137,3.7158948669583642e-146,4.7322105900875787e-111,9.3921224364810954e-92,2.1632724128900049e-73,1.6916416201034042e-159,3.5825495294483001e-116,2.5111460003833768e-122,0.0
8.698445200664943e-21,0.21117989797117095,76.950000000000003,0.0,0.0,0.0,0.99999999999999301,9.5,2.8602195030103988e-16,3.0753995468677634e-15,3.0753973550923373e-15,8.5659825481032645e-26,8.5656395644600502e-26,5.0322974149134858e-16,2.1953445360967258e-24,5.6063204005090524e-26,1.2428822406320298e-37,3.0366435586344506e-42,5.8545768518761028e-30,2.7609804610082312e-24,1.6034537319667662e-28,1.6266319676342994e-37,1.881835577723085e-42,2.0974906481735921e-45,1.7139875389329215e-57,4.9458149121711426e-40,2.885692672066923e-29,6.3525108310670396e-40,6.3525108311760685e-40,9.6642003450882745e-51,1.2387300115286942e-51,1.5663259593819369e-46,1.6195852654739367e-29,5.2089582680355377e-40,3.3383480830374639e-41,1.158920204328346e-91,4.3659038464890121e-51,1.2563120625748721e-44,1.09907721490371e-91,2.8922420072003366e-26,4.9422804880034239e-62,4.9422705661581091e-62,2.6708167682507032e-37,8.1283508332196775e-38,6.9399856738975456e-29,2.6707655787176187e-37,4.1840193395591853e-48,1.0990772149037041e-91,9.0129446284991611e-55,1.469585768635965e-52,3.7528109302702523e-65,7.4284112308766285e-77,2.9012075438357345e-45,3.7223315884727385e-88,1.2756153581921707e-34,3.8804424091439272e-65,1.3485445092759504e-89,3.5259392655931556e-45,2.2451728817483015e-101,2.2531190497566747e-94,1.1889324384643197e-104,5.0053239908504646e-63,1.5751575197840566e-46,5.0887203977345441e-65,2.1123905081474407e-45,2.4550724154806058e-56,5.2351257428517148e-38,3.2136214963531215e-56,2.1742833470648577e-57,1.2863044574270085e-48,1.2928895950780399e-49,1.180332345724971e-67,1.1464809778846378e-49,3.3338675681320817e-54,1.7813974205183935e-73,2.4590701982324161e-56,1.9717413566452921e-41,1.6498292417346486e-74,1.475715600477984e-21,1.1435949966438847e-39,3.5909004146135776e-38,1.1435949966438838e-39,2.246281713369155e-67,3.2022055398635103e-60,1.7656041467266417e-60,2.3221833742371686e-102,4.1748049986467654e-107,7.3227759764397833e-48,7.7830694208482725e-58,5.610954862017158e-58,6.0097350871262531e-80,8.2734559857485059e-49,2.090439732844829e-88,1.4464737599222704e-61,8.0048580898897195e-73,4.3692050839904246e-83,1.1709701877585289e-83,2.7484581063690141e-73,1.3998036118814933e-62,1.9360467020585903e-89,1.3998049410095215e-62,3.7961466000026741e-82,1.8066221372920884e-67,4.8261481872816361e-79,2.5802762914198023e-75,5.8982191464231396e-84,1.1661610252780521e-25,6.9061358113032966e-64,7.6507466806375764e-56,4.1392918241857247e-68,1.4083652444170094e-85,1.3369592812007479e-84,3.4256652880118841e-92,4.7772601437341424e-95,1.1878102512359133e-100,2.328109851839366e-48,7.3754461215207757e-49,7.3754461215207757e-49,1.6562615394149463e-95,6.4921499507269249e-98,4.0080794581720807e-102,7.5045832205071963e-85,3.964424195940325e-91,3.1385811389503885e-41,3.6477262227100862e-52,2.0470433590491616e-46,3.6477318126848306e-52,1.4678856897582667e-52,8.3529746571032219e-99,2.5577103634174105e-56,7.2129794116672136e-98,5.8203798652059127e-68,5.7907497621287494e-67,3.7899662353395248e-67,1.3130830328409416e-103,1.7426207991837561e-63,4.222456438207799e-70,2.2194588154383189e-73,5.2143963391001368e-61,1.3657650021549031e-34,1.0427176041257564e-81,1.9189049220595368e-91,4.5683986661962517e-90,7.2129793896406801e-98,2.0745879281143168e-106,3.0009434431341177e-117,4.0795496463071174e-118,1.9232624369155457e-118,8.1560871298332023e-79,4.5259915791420483e-53,6.6675085779067318e-120,2.3896074710172588e-128,1.1619946934938744e-56,5.4528503248115383e-57,1.2345456083528518e-67,2.5002470002457956e-47,2.9207083785103552e-59,2.9206712002130115e-59,1.0656095771526246e-57,1.8651528573108839e-59,2.1221691180777748e-71,3.8036751755278684e-58,2.1221906150108085e-71,2.4443760017527116e-69,5.5567336682162867e-81,1.8922967219647468e-79,2.9058479620016289e-58,7.1611588406373094e-22,2.5577103635183206e-56,2.7637476805090687e-70,2.1113870722842307e-70,2.1113868053935564e-70,3.1628001822734869e-108,7.603411863113533e-69,3.4762486164327051e-73,7.1726966704104666e-121,7.443906927264349e-76,2.822056385525591e-134,7.4439069272643502e-76,4.0713157751343716e-92,4.0713157751344718e-92,2.9617560528851738e-134,9.7578819822770604e-143,2.1689433970282018e-108,7.426068717678122e-90,8.5576905356146505e-72,8.8827884448202114e-156,1.295087798202881e-113,2.2911398082184844e-119,0.0
1.8484196051413002e-20,0.21117989797117095,76.950000000000003,0.0,0.0,0.0,0.99999999999998523,9.5,6.0779664438970185e-16,6.535224036776158e-15,6.5352193793789991e-15,3.7409896269385906e-25,3.7406835402650331e-25,1.0693631889966956e-15,9.5876462680801384e-24,2.4484273998681229e-25,1.0992247900855918e-36,2.6858769386936515e-41,2.5568475246383324e-29,1.2057926934918793e-23,7.0027037122176532e-28,1.4383799023136196e-36,1.6644605954934885e-41,1.8552067248926527e-44,3.0499493006901338e-56,4.3745172420186021e-39,1.2602578037650273e-28,5.6187238898327088e-39,5.6187238900267218e-39,1.7196927657399219e-49,2.2042538576862708e-50,1.3853975458567787e-45,7.0731542924209245e-29,4.6072644201121454e-39,2.9527310305795005e-40,1.9585239110476015e-89,7.7688925150832117e-50,1.1111937762258545e-43,1.8573919044966251e-89,1.2631180587272172e-25,1.7638633749070721e-60,1.7638562832123545e-60,2.3623071446657e-36,7.189434136773637e-37,3.0308740175063807e-28,2.3622618681074873e-36,7.4452387389076973e-47,1.8573919044966056e-89,1.6038053114486194e-53,2.6135431861295873e-51,1.3393515898481474e-63,5.3095178417538298e-75,2.5660851922309399e-44,5.3246740833871117e-86,5.5709474029585459e-34,1.3840859231297264e-63,1.9290489920811012e-87,3.1186533479988588e-44,6.4253969634371518e-99,3.2230134240630568e-92,3.4025724957558617e-102,1.7863645497872598e-61,1.3932089131580959e-45,1.8161281273102696e-63,1.8683854822092752e-44,4.3686701189133049e-55,2.2863169508279508e-37,5.7184676632086931e-55,3.8690210424580618e-56,1.1377217255578117e-47,1.1435463456796281e-48,4.2119375222674871e-66,1.0140492239881611e-48,3.1971025305441209e-53,1.273268362238749e-71,4.3757839660229167e-55,1.7439824683179245e-40,1.1792289323194455e-72,3.1358957121833224e-21,1.0114967872252463e-38,1.568240579860905e-37,1.0114967872252449e-38,8.016819748424755e-66,5.6975819828008209e-59,3.1414926897496524e-59,6.6457881080972808e-100,1.4148001686420434e-104,6.4769124218794675e-47,1.1644986851953575e-56,9.9843909056456312e-57,4.2955072630186421e-78,7.3177781249806004e-48,2.9903058202921671e-86,2.5739227707175396e-60,2.8568770032921928e-71,3.1229251107024986e-81,8.3696050705511053e-82,9.8090517555365533e-72,2.4908709788896554e-61,2.7694516292108379e-87,2.4908757224398027e-61,2.7133268140491474e-80,3.4774419554478165e-66,1.8610836488151083e-77,9.2088229516763759e-74,2.2745717145495087e-82,5.0929264122710227e-25,2.4647507757498461e-62,1.3614094939558735e-54,1.4772824531006836e-66,1.006641285350772e-83,9.5569469146031e-83,4.9007771275029195e-90,6.8351064108083468e-93,3.3996909177177599e-98,2.0591867697765307e-47,6.5234984778275888e-48,6.5234984778275888e-48,2.3694595136910524e-93,9.2882835092587801e-96,1.1471723984633855e-99,5.3639622799248703e-83,5.6709796723746035e-89,2.7760394631554598e-40,6.4909153794673406e-51,1.8105866533734543e-45,6.4909353296083221e-51,2.6120241461234694e-51,6.4477353632723142e-97,4.5513088574631391e-55,1.1139619014594781e-95,2.0772463985450731e-66,2.0666768160269201e-65,1.352611989502418e-65,4.4941518639229208e-101,3.1009007862862015e-62,1.5069646855543121e-68,7.9210795694325972e-72,9.2787432837844668e-60,1.2080025342510972e-33,4.0209810805890744e-80,1.481172911014112e-89,6.5349451519427327e-88,1.1139618948525107e-95,6.4091784742936733e-104,1.8543861084606628e-114,2.5208940145689487e-115,1.1884499964170805e-115,5.8296299481187401e-77,8.0537600575903744e-52,4.1200827951456108e-117,2.953382291042035e-125,2.067707454597598e-55,9.70305580752121e-56,4.4060055836832952e-66,2.2114410442550369e-46,5.1972172418719867e-58,5.1970845582625047e-58,1.8961959055800069e-56,3.3189464037294291e-58,7.5737481153266827e-70,6.7684391981843715e-57,7.5739411349863417e-70,4.7027668846081709e-68,2.1418030723852482e-79,7.2937358315051414e-78,5.170801652172645e-57,1.5217462542668212e-21,4.5513088578232769e-55,9.8636380681075168e-69,7.5354029076139952e-69,7.5354009999887314e-69,1.0832889625242286e-105,2.7136036417569071e-67,1.2406481993688856e-71,4.4322559501089627e-118,5.3205932194137011e-74,3.4878573246922471e-131,5.3205932194137027e-74,5.823884360193182e-90,5.8238843601934698e-90,3.6605162721834573e-131,2.4120643694703161e-139,7.4288361797536109e-106,5.3078432933941812e-88,3.054178966121129e-70,4.3915495281042051e-152,3.9361851037658692e-111,1.5705433008566938e-116,0.0
3.805569775290912e-20,0.21117989797117095,76.950000000000003,0.0,0.0,0.0,0.99999999999996958,9.5,1.2513460325670008e-15,1.3454873015582278e-14,1.3454863427341047e-14,1.5617895274446805e-24,1.561531135398717e-24,2.2016300468876493e-15,4.0026535087629573e-23,1.0221702334823282e-24,9.2381249931644827e-36,2.2576414442640256e-40,1.0674335098249615e-28,5.0339470402805861e-23,2.9234909511086199e-27,1.2084437421628836e-35,1.399076626035249e-40,1.5594130367098628e-43,5.1441851583310352e-55,3.6770452620485864e-38,5.2613282479675017e-28,4.7228759823270506e-38,4.7228759826542826e-38,2.9005130361117096e-48,3.7177962685154919e-49,1.1645100681008466e-44,2.9529026274025057e-28,3.8726830535100607e-38,2.4819482737877166e-39,2.8677104233775788e-87,1.3103372379287639e-48,9.3402529671795233e-43,2.719630888741928e-87,5.2732691511352328e-25,5.9596860525355093e-59,5.9596380917139993e-59,1.985661426113538e-35,6.0431523783093839e-36,1.2653301926067356e-27,1.9856233684451364e-35,1.2557482931838136e-45,2.7196308887418717e-87,2.7050519762786551e-52,4.4068631201514027e-50,4.5253662072619046e-62,3.5908294052885823e-73,2.1569491799728763e-43,7.2050576058399631e-84,2.3257608760607159e-33,4.6751397669096774e-62,2.610283539452824e-85,2.6214160478715555e-43,1.7392484220394512e-96,4.3612054526054374e-90,9.2101999614497205e-100,6.0357218763546836e-60,1.1710759124739674e-44,6.1362862256920401e-62,1.570490576154874e-43,7.3684004561495279e-54,9.5449232061250635e-37,9.6450312511797448e-54,6.5256694889382395e-55,9.563236630364741e-47,9.612198434735129e-48,1.422723435570264e-64,8.5236910797271787e-48,3.1051238499574627e-52,8.6111197348846967e-70,7.3803990203543612e-54,1.4659216200759183e-39,7.9751306543276083e-71,6.4562561301145829e-21,8.5022393550484983e-38,6.5470959411121744e-37,8.5022393550484753e-38,2.7087021147423189e-64,9.6078760680486448e-58,5.2975557161468783e-58,1.7989030198736404e-97,4.1495626677622673e-102,5.4442351516378506e-46,1.4875586028848154e-55,1.6840122871203808e-55,2.9050535238037777e-76,6.1510334424036683e-47,4.046318130337492e-84,4.3412969643729682e-59,9.6527417754206004e-70,2.1120357777804853e-79,5.6603676855800144e-80,3.3142568916208282e-70,4.2012019247952783e-60,3.7474703328011979e-85,4.2012179520887085e-60,1.8350241782893289e-78,6.7516110132088104e-65,7.2254582698678144e-76,3.1114532444340923e-72,8.830931575372021e-81,2.1261922077523753e-24,8.3278355354320124e-61,2.2962160990784142e-53,4.9913940818208763e-65,6.8079293263993837e-82,6.4636664131304395e-81,6.6317701487150487e-88,9.2512946136541527e-91,9.2028267731289149e-96,1.7308705062354203e-46,5.4833933854623641e-47,5.4833933854623641e-47,3.2063764129562121e-91,1.2570535112943934e-93,3.105349616659902e-97,3.6276502725419194e-81,7.6736593794538677e-87,2.3334284192940635e-39,1.0947814963515729e-49,1.5219071518170352e-44,1.0947882369980079e-49,4.4055604702665227e-50,5.0062308977991751e-95,7.6764473639121015e-54,1.7297409804458167e-93,7.0185066742862505e-65,6.9828295295146717e-64,4.5701699398189231e-64,1.3255908510051343e-98,5.2301230275025685e-61,5.0916929133729853e-67,2.6763461277594061e-70,1.5649968915268674e-58,1.0153969942137805e-32,1.5611035079796352e-78,1.1500105085595579e-87,8.8427298612867908e-86,1.7297409602348988e-93,1.9903789321921073e-101,1.1517545924073073e-111,1.5657210632848295e-112,7.3814336457447021e-113,3.9425814279443685e-75,1.3583843044893856e-50,2.5589732283386782e-114,3.6686619457497278e-122,3.4874907861473477e-54,1.6365621845116542e-54,1.4886897046925273e-64,1.8588509390813245e-45,8.7657745087489307e-57,8.7653262217252865e-57,3.1982135678314073e-55,5.597910318227936e-57,2.5589153622175594e-68,1.1415970281629566e-55,2.5590591840933327e-68,9.1236360375650427e-67,8.3089812394558842e-78,2.8295667650137929e-76,8.7213143279864942e-56,3.1330069966809118e-21,7.6764473651289274e-54,3.332713153678332e-67,2.5460507287285685e-67,2.5460494385975352e-67,3.196404240028465e-103,9.1686530984798775e-66,4.1918682441460029e-70,2.7528632806648333e-115,3.5983195080757678e-72,4.33257999819866e-128,3.5983195080757698e-72,7.8805614945509237e-88,7.8805614945517017e-88,4.5470558265352643e-128,5.9924702511811521e-136,2.1919879445748764e-103,3.5896968355764923e-86,1.031938044608975e-68,2.18204817159574e-148,1.0964653557751239e-108,9.2733167695956666e-114,0.0
