Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995)
0.0,0.38558844889986,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0336493618049883e-26,0.38558844889986,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.445937475627177e-19,2.5224599538131509e-18,2.5222403142106487e-18,9.2385822675483169e-35,9.2393866251607199e-35,4.4719930195988486e-16,4.8863071124600181e-30,4.0038225324947514e-35,4.315380477474052e-51,1.6988407161194218e-55,1.2228408052737807e-37,1.7712994119450003e-29,4.4435721282682148e-36,3.740404486733702e-51,4.8702487518080576e-55,5.9819843046905137e-56,2.7367950745286727e-72,4.3324876122326587e-48,9.3211306874816693e-35,1.1310806998328937e-49,1.1310806998328937e-49,1.7953293511019725e-66,3.1936841521640456e-67,3.1944204644850645e-49,3.0969470355450799e-35,9.8313761565266943e-52,8.7444429641250517e-53,8.573860597215796e-117,3.1156281669081721e-66,1.0994238444727446e-52,7.6712590994349457e-117,2.1633110790355541e-31,5.7060357269784987e-83,5.7060357269451783e-83,3.8531119238484461e-46,1.1107236971775177e-46,3.5259190538826865e-32,3.8526378885556496e-46,2.3007883942324748e-61,7.6712590994349457e-117,8.365505348654236e-69,1.1223353337951546e-61,2.63468410009095e-84,5.3138139447575392e-101,7.5753356821604591e-54,3.6058064180741228e-118,5.8427785345683953e-38,9.7954377976471054e-80,6.0719553732193354e-117,2.3299129549728032e-53,1.165930726637262e-134,2.0255094215231383e-122,6.6319607462681906e-139,5.0549346877156095e-79,9.8874237633488995e-53,1.4191211371112901e-79,3.4892967964462544e-53,6.3903813664604085e-70,4.2129881948429251e-41,5.5384526977532922e-70,4.9261347500025287e-71,1.5431534104450274e-57,1.4258832281994066e-55,1.3972157371457991e-85,9.748093422746738e-57,2.6326644757779094e-58,1.5505976139316571e-93,2.2019583720009602e-68,2.0401766405650526e-50,1.2876366933796448e-94,2.1963960250254304e-22,5.6784168764517797e-49,2.3719601183295635e-43,5.6784168764517797e-49
2.8942182130539673e-26,0.38558844889986,76.950000000000003,0.0,0.0,0.0,0.99999999999999878,9.5,6.8486249317560949e-19,7.0628878706768172e-18,7.0622728797898091e-18,5.5801036895991396e-34,5.5805895181382478e-34,1.2521580454876022e-15,2.9513294959257024e-29,2.4183088096267072e-34,5.1232196480676684e-50,2.0182807085181163e-54,7.3859584638536493e-37,1.0698648448147264e-28,2.6839175654739979e-35,4.4406080887794593e-50,5.7819593181110687e-54,7.1018117665285876e-55,6.1262101004694157e-71,5.1435292932423747e-47,5.6299629352389181e-34,1.3428190068416094e-48,1.3428190068416094e-48,4.0160799452402881e-65,7.1441437010243753e-66,3.7924159754362729e-48,1.8705560094691473e-34,1.1671809773025664e-50,1.0381402687007759e-51,9.1361137979157811e-115,6.9695355842457519e-65,1.3052359881579663e-51,8.174321860154059e-115,1.306639891737409e-30,2.3546116196290608e-81,2.3546116196039778e-81,4.5744144759925593e-45,1.3186511732890557e-45,2.1296551085449839e-31,4.5738517012929534e-45,5.1467716063619391e-60,8.174321860154059e-115,1.8713300844724454e-67,1.3324365083131044e-60,1.087921793847736e-82,4.002691407620224e-99,8.9934385218604977e-53,4.9250652689834673e-116,3.5290382348792981e-37,2.1912002536319478e-78,8.2935058225983305e-115,2.7660726601436221e-52,2.8781783800134568e-132,2.7665839336280857e-120,1.6397636708893258e-136,2.0859329527028384e-77,1.1738349491788955e-51,5.8560431076811433e-78,4.1424931567409801e-52,1.4295027501511388e-68,2.5446448696851161e-40,1.2389297146763999e-68,1.1019566390365533e-69,1.8320317288803183e-56,1.6928085685179159e-54,5.7656477826872449e-84,1.1572936511476614e-55,3.1254995670921624e-57,1.1672511808511895e-91,4.9256927998310296e-67,2.4220977076777506e-49,9.6930076336425637e-93,6.149908870072112e-22,6.7414165157226607e-48,1.4326639114742572e-42,6.7414165157226607e-48
6.615355915551925e-26,0.38558844889986,76.950000000000003,0.0,0.0,0.0,0.99999999999999711,9.5,1.5653999844013915e-18,1.6143743704404114e-17,1.6142338010948099e-17,2.6865797234029851e-33,2.6868136254084945e-33,2.8620755325427343e-15,1.4209381083031505e-28,1.164311592449289e-33,5.0300073146962326e-49,1.982180893397496e-53,3.5560210617361711e-36,5.1509386899352516e-28,1.2921907749003912e-34,4.3598151043373659e-49,5.6767619449975516e-53,6.9726009055472863e-54,1.2108320563156241e-69,5.0499475608176451e-46,2.7105848039196572e-33,1.3183876637252154e-47,1.3183876637252154e-47,7.9350972044392573e-64,1.411562406204397e-64,3.7234164934025605e-47,9.0059219793638788e-34,1.1459452048038753e-49,1.0192522718979506e-50,2.0791657415773903e-112,1.3770627847270838e-63,1.281488433117194e-50,1.8602843997123534e-112,6.2909086178344059e-30,9.3146094097299975e-80,9.3146094095316727e-80,4.4911872584367663e-44,1.2946595414298251e-44,1.0253372608688472e-30,4.49063472289949e-44,1.0169153388976636e-58,1.8602843997123532e-112,3.6974329008274372e-66,1.3081940651691176e-59,4.3051516316673291e-81,3.1658813262197795e-97,8.8298112711249897e-52,7.7830552542497589e-114,1.6990799978524702e-36,4.3294424525669754e-77,1.3106184495712904e-112,2.7157465403160196e-51,9.0886724094349239e-130,4.3720183277308739e-118,5.181316696210898e-134,8.251743322547463e-76,1.152478113837701e-50,2.3165924172080001e-76,4.0671243459377124e-51,2.8244565424801159e-67,1.2251369670603061e-39,2.4479163386867165e-67,2.17728062316064e-68,1.7986996152146662e-55,1.6620094907879266e-53,2.2808311079677748e-82,1.1362377693527819e-54,3.0686346474574764e-56,9.2291041041323929e-90,9.7323389222371791e-66,2.3780298922392759e-48,7.6639696751308903e-91,1.4056934560169098e-21,6.6187627111894272e-47,6.8976600241495101e-42,6.6187627111894272e-47
1.4057631320547842e-25,0.38558844889986,76.950000000000003,0.0,0.0,0.0,0.99999999999999389,9.5,3.3264749668529494e-18,3.4305455371858592e-17,3.4302468273264543e-17,1.1732999479785686e-32,1.1734020960342274e-32,6.0819105066517929e-15,6.2056100328219229e-28,5.0848546162664221e-33,4.44898430037687e-48,1.7534631494912875e-52,1.5530078226977176e-35,2.2495502531693158e-27,5.6433366029005727e-34,3.8562066423042426e-48,5.021031652933201e-52,6.1671865387637759e-53,2.1549324482580705e-68,4.4666214287058279e-45,1.1837835973101587e-32,1.1660989582997079e-46,1.1660989582997081e-46,1.4120081504670699e-62,2.5117998823499475e-63,3.293319722062939e-46,3.9331227351409961e-33,1.0135755562314361e-48,9.0151709182845893e-50,3.5136981865635468e-110,2.4504096492377796e-62,1.1334620066971225e-49,3.143798395217293e-110,2.7474050703741353e-29,3.324317936018183e-78,3.3243179358764295e-78,3.9724042690087295e-43,1.1451117028415256e-43,4.4779171984285515e-30,3.9719155575832844e-43,1.8095465119897799e-57,3.1437983952172924e-110,6.5793842939387542e-65,1.1570828359340181e-58,1.5367138456399005e-79,2.2631917141069729e-95,7.809868074877538e-51,1.1135151209392366e-111,7.4203287389016667e-36,7.7040115238829932e-76,1.8750907114307282e-110,2.4020470600581719e-50,2.6014704238280787e-127,6.2550095792238659e-116,1.4835203992804728e-131,2.9449885791611735e-74,1.0193538402678998e-49,8.2677537879867692e-75,3.5973254252641421e-50,5.0259695072002186e-66,5.3504950074503414e-39,4.3559363330214462e-66,3.8743545372568191e-67,1.5909294400322832e-54,1.4700285729417261e-52,8.140111197820054e-81,1.0049894395060831e-53,2.7141737303785566e-55,6.5965777096693451e-88,1.731817711524392e-64,2.1033405093499143e-47,5.4778850640463929e-89,2.9870985940377553e-21,5.8542206629409128e-46,3.0123893503268527e-41,5.8542206629409128e-46
2.8942182130539673e-25,0.38558844889986,76.950000000000003,0.0,0.0,0.0,0.99999999999998734,9.5,6.8486249317560429e-18,7.0628878706767051e-17,7.0622728797896938e-17,4.89829631825351e-32,4.8987227404095575e-32,1.2521580454865077e-14,2.5907200310242307e-27,2.1228267067269963e-32,3.7396390285724063e-47,1.4739892033081873e-51,6.4835019495617295e-35,9.3914294821248817e-27,2.3559819424077526e-33,3.2413732895602433e-47,4.2204796439180364e-51,5.1838918866960027e-52,3.6348657313654677e-67,3.7544644449562073e-44,4.9420634905026625e-32,9.801764371839664e-46,9.8017643718396656e-46,2.3815581292086578e-61,4.2365176339694455e-62,2.768233663790638e-45,1.6420013182448705e-32,8.519713275194145e-48,7.5777943616056037e-49,5.144828132761785e-108,4.1329740328373163e-61,9.5274311283766421e-49,4.6032133577369376e-108,1.1469875341037342e-28,1.1232118972049799e-76,1.1232118971091117e-76,3.3390451434125357e-42,9.6253538439377916e-43,1.869442282366386e-29,3.3386343520123939e-42,3.0520646813474527e-56,4.6032133577369338e-108,1.109709327474691e-63,9.7259784327254432e-58,5.1925875876934558e-78,1.5307110010034308e-93,6.5646646967846055e-50,1.5068601722547997e-109,3.0978411790279864e-35,1.2993941479599146e-74,2.5374594913777746e-108,2.0190652881710811e-49,7.0422765205986582e-125,8.4645683164258405e-114,4.0165663632466069e-129,9.9504508083082723e-73,8.5682832338427311e-49,2.7934871443879023e-73,3.023768775051419e-49,8.4770321850091219e-65,2.2337263409055617e-38,7.3469233026682285e-65,6.5346652146470269e-66,1.3372720550368709e-53,1.2356475914209942e-51,2.7503507991120585e-79,8.4475417905593223e-53,2.2814284724872573e-54,4.4612686993056881e-86,2.9209636982827893e-63,1.7679844338746671e-46,3.7046963213679702e-87,6.1499088700852452e-21,4.9208252104525401e-45,1.2576132547816382e-40,4.9208252104525401e-45
5.871128375052333e-25,0.38558844889986,76.950000000000003,0.0,0.0,0.0,0.99999999999997435,9.5,1.3892924861562137e-17,1.4327572537658195e-16,1.4326324984715969e-16,2.0011138734795215e-31,2.0012880597040884e-31,2.5400920351272329e-14,1.0583936657855362e-26,8.6724397582703574e-32,3.0659814455423258e-46,1.2085043110083526e-50,2.6487220978553402e-34,3.8367053782429924e-26,9.624954972713612e-33,2.6574724330029112e-46,3.4602042023552281e-50,4.2500677662692925e-51,5.970483397252939e-66,3.0781367871600346e-43,2.0189941914311792e-31,8.036078629693809e-45,8.0360786296938152e-45,3.9117163785831888e-60,6.95849293525205e-61,2.2695652072048148e-44,6.7081111568624927e-32,6.9849756823699286e-47,6.2127336486800422e-48,7.0351172904064672e-106,6.7884222594595621e-60,7.8111636621786074e-48,6.2945048986624624e-106,4.6858183296264115e-28,3.6928749735456816e-75,3.6928749729150295e-75,2.7375509451766735e-41,7.8914466206351804e-42,7.6372817074533061e-29,2.7372141535678931e-41,5.0130254038838069e-55,6.2945048986624566e-106,1.8227009026237052e-62,7.9739447412788028e-57,1.7072698557840923e-76,1.0069891631423819e-91,5.3821087387550944e-49,1.9830153744918344e-107,1.2655692017015021e-34,2.1342587907059889e-73,3.3392754524948087e-106,1.6553517100283096e-48,1.8537106415731551e-122,1.1139301058559237e-111,1.0573466661707927e-126,3.2714905227848909e-71,7.0247962683608338e-48,9.1843745519089299e-72,2.4790683302015208e-48,1.3923550818710475e-63,9.1255009495562351e-38,1.2067343586024074e-63,1.0733207237426683e-64,1.0963764252935105e-52,1.0130585501255669e-50,9.0424938268966287e-78,6.9258051387917762e-52,1.8704560335051245e-53,2.9347715615556924e-84,4.7976916455302285e-62,1.4495004559995569e-45,2.437072981021708e-85,1.2475529422203417e-20,4.0343898112564242e-44,5.1377604950724941e-40,4.0343898112564242e-44
1.1824948699049066e-24,0.38558844889986,76.950000000000003,0.0,0.0,0.0,0.99999999999994826,9.5,2.7981524721173967e-17,2.885694187162037e-16,2.8854429194567697e-16,8.0888222271831626e-31,8.0895261448437302e-31,5.1159600144009527e-14,4.2781964196857194e-26,3.5055388106687237e-31,2.4829103430349477e-45,9.7869364444487159e-50,1.0706558213759461e-33,1.5508576575243926e-25,3.8905606897605886e-32,2.1520880912602375e-45,2.8021630743224088e-49,3.441815067572955e-50,9.6785751593430332e-65,2.4927549763236698e-42,8.1610973311623808e-31,6.5078248237339932e-44,6.5078248237340002e-44,6.3410608169419471e-59,1.1280016909831848e-59,1.8379527472393904e-43,2.7115257830695491e-31,5.6566144052596269e-46,5.0312327846730698e-47,9.3046160874959012e-104,1.1004325015493611e-58,6.3256828517132701e-47,8.3250853006793271e-104,1.8940826886210372e-27,1.1977751456051166e-73,1.1977751451959283e-73,2.2169397311999614e-40,6.3906980729448486e-41,3.0871113757734558e-28,2.2166669886233019e-40,8.1263302056062588e-54,8.3250853006793085e-104,2.9546767086606112e-61,6.4575071952529623e-56,5.5375859342085937e-75,6.5338056334836711e-90,4.3585711972293192e-48,2.5736176583075306e-105,5.1156330603830489e-34,3.4597254739303212e-72,4.3338132326364214e-104,1.3405467326707138e-47,4.81186183245852e-120,1.4456923673451105e-109,2.744766407332454e-124,1.0611001092230919e-69,5.6888621472699957e-47,2.978929870741873e-70,2.0076138079838375e-47,2.2570675883338399e-62,3.6886733880172339e-37,1.9561683969958372e-62,1.7398991457159889e-63,8.8787405468075791e-52,8.2040107920121472e-50,2.9328736650011279e-76,5.6086965648776419e-51,1.5147488663362573e-52,1.9041799219798127e-82,7.7772649039591819e-61,1.1738430500873992e-44,1.5812561017203612e-83,2.5126770526532519e-20,3.2671534677597884e-43,2.0767649379839261e-39,3.2671534677597884e-43
2.3732589347042533e-24,0.38558844889986,76.950000000000003,0.0,0.0,0.0,0.99999999999989608,9.5,5.6158724440396142e-17,5.7915680539541506e-16,5.7910637614267884e-16,3.2524798416160218e-30,3.2527627463665452e-30,1.0267695972917476e-13,1.7202439641582996e-25,1.4095617378451809e-30,1.9984607673659113e-44,7.8774398924467997e-49,4.3050599685993469e-33,6.2359304316864443e-25,1.5643773420450199e-31,1.7321845284945046e-44,2.2554246239314523e-48,2.7702721975264651e-49,1.558717829215717e-63,2.0063860697205049e-41,3.2815413430500047e-30,5.2380635861045865e-43,5.2380635861045976e-43,1.021208296153198e-57,1.8166119489646171e-58,1.4793442692427317e-42,1.0902925916454004e-30,4.5529353876075548e-45,4.0495738524240234e-46,1.2105560625275636e-101,1.7722126192807113e-57,5.0914598810086103e-46,1.083116421680237e-101,7.6160231861360468e-27,3.8587921808645866e-72,3.858792178227793e-72,1.7843859650587992e-39,5.1437897872476645e-40,1.2413139065831073e-27,1.7841664381051055e-39,1.308720427526559e-52,1.0831164216802324e-101,4.7584157516695094e-60,5.1975635896796727e-55,1.7840226058707567e-73,4.2103961902450975e-88,3.5081572866436207e-47,3.317066767992535e-103,2.0569735542079358e-33,5.5717812271999881e-71,5.5857356302569441e-102,1.0789886353808894e-46,1.2404093955710827e-117,1.8633141155428435e-107,7.0756391892426346e-122,3.4184753462766189e-68,4.5788911743488564e-46,9.5970193885540088e-69,1.6159022511189393e-46,3.634937769389219e-61,1.4831993459463381e-36,3.1503488980104261e-61,2.8020539360711328e-62,7.146382825035799e-51,6.6033016181057085e-49,9.4484013626357109e-75,4.5143669407613992e-50,1.2192098383435658e-51,1.2270461373847397e-80,1.2525045368064822e-59,9.4481100871840633e-44,1.0189552832897634e-81,5.0429252735561778e-20,2.6296893467566859e-42,8.3505804774219111e-39,2.6296893467566859e-42
4.754787064302946e-24,0.38558844889985994,76.950000000000003,0.0,0.0,0.0,0.99999999999979183,9.5,1.125131238788346e-16,1.1603315787537094e-15,1.1602305445365513e-15,1.3043898872030211e-29,1.3045032344179123e-29,2.0571167889826849e-13,6.8989476941453766e-25,5.6529730106157943e-30,1.603636523869665e-43,6.3211741924420952e-48,1.7265215959218554e-32,2.5008870118945143e-24,6.2738528264665573e-31,1.3899638677401638e-43,1.809836217481216e-47,2.2229689728662611e-48,2.5020978272324473e-62,1.6099984631592661e-40,1.316044849086587e-29,4.2032161461260639e-42,4.203216146126083e-42,1.6392654788030579e-56,2.916064496917791e-57,1.1870806102021892e-41,4.3725609377524328e-30,3.6534439145768694e-44,3.2495279832518919e-45,1.5621584705355263e-99,2.8447937397699637e-56,4.085575905532876e-45,1.3977043650264991e-99,3.0543659325821111e-26,1.2389772424236546e-70,1.2389772407303244e-70,1.4318573602430714e-38,4.1275673596600623e-39,4.9782239565618867e-27,1.4316812036881689e-38,2.100786124014676e-51,1.3977043650264871e-99,7.638311111487875e-59,4.1707174632554324e-54,5.7281472977861399e-72,2.703897985228214e-86,2.8150752864853344e-46,4.2605268368916167e-101,8.2493839562777984e-33,8.9439428614059503e-70,7.1744641338351172e-100,8.6582042755849937e-46,3.186471316773356e-115,2.3932891188566979e-105,1.8176691641413562e-119,1.0976007417546329e-66,3.6742717963609338e-45,3.0814016578965817e-67,1.2966597905532021e-45,5.8348801368142676e-60,5.9482927543623602e-36,5.0570076782163236e-60,4.4979171287251382e-61,5.7345221536131723e-50,5.2987336869370497e-48,3.0335282490024337e-73,3.6224951646999025e-49,9.7835222482660584e-51,7.8800017903848609e-79,2.0105471694730017e-58,7.5815133233058162e-43,6.5436573345062709e-80,1.0103421715510448e-19,2.1101600886830762e-41,3.3489562612721257e-38,2.1101600886830762e-41
