Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987),C7H10(986)
0.0,0.272966669297754,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3835643031559834e-24,0.272966669297754,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,3.2704073888375902e-18,4.1405382336553743e-17,4.1404874873496283e-17,2.5196106270001821e-31,2.5196413949541545e-31,5.3531349234151851e-16,6.7992448801050878e-28,1.2653690730938693e-31,5.7878744639040098e-46,1.9696379459063016e-50,1.1855055000252595e-34,1.6783936549090982e-27,3.5959058728661953e-33,5.8134320281254945e-46,3.7532787291729403e-50,7.754171893580252e-52,1.5939347987564319e-66,5.4890310103927805e-45,1.3107553913861041e-32,6.3388673866585573e-46,6.3388673866585798e-46,1.9371893934454442e-60,3.0260435004986431e-61,5.1306241220598677e-48,4.7403660430392847e-33,2.8973588685420629e-47,2.2629521931160104e-48,5.0915858254458029e-107,1.9628447202504565e-60,1.4787700832357799e-49,4.6493366616283343e-107,1.9536421382541285e-29,5.9722489527851509e-75,5.9722489484703268e-75,8.8385249264653558e-43,2.6077971916185229e-43,6.9581838956505123e-31,8.8379173501533343e-43,2.4510079061899675e-56,4.6493366616283325e-107,2.105182389878986e-63,3.4413466771223393e-59,7.0491921793752108e-77,1.0638468063945428e-91,1.5503135083810195e-50,1.2885095261154689e-106,1.4636927717634104e-36,3.5316599240446541e-75,2.0384227140386512e-106,3.8187148854399912e-50,7.400804448463378e-122,1.2817004068557497e-111,1.0072721795054598e-125,6.4883887825943509e-73,3.3947186979624175e-50,5.7208897770267631e-74,4.0592397662135935e-50,1.2350844772559147e-64,8.4834626629710268e-40,1.2405238571719953e-64,1.0235113844483515e-65,5.1624410737697089e-54,3.9351112318305014e-53,1.2563077375299033e-78,6.4109635400163998e-54,1.4865936331802606e-56,7.2663464177250678e-86,1.0532614429000795e-63,5.9103767071438717e-47,6.3234540007482885e-87,5.0746305758201366e-22,2.1630973508508588e-45,2.3491273182939204e-41,2.1630973508508588e-45,1.2842488208193956e-75,1.650640019873787e-68,1.1858799736349054e-68,3.4756610179986987e-122,4.5087721192420727e-124,1.9692536174268764e-53,1.7049500238592623e-65,1.2451704402824654e-66,1.5144527602765201e-90,1.4095914503106345e-54,1.9235711658987646e-102,3.2183333411703002e-67,4.2670572519914111e-81,5.5704309059716199e-95,1.3040339141945832e-95,1.5417069049997893e-82,2.3712550523958172e-71,1.6739659438237685e-103,2.3712550530867569e-71,4.623245494160102e-92,2.0000644576933929e-73,9.1888218209276619e-88,7.1505725398139311e-83,1.6622576352183278e-92,6.6978769958066875e-29,8.0157943665030228e-74,1.3281382021753088e-64,4.3060849073996151e-80,9.3347166253002615e-97,3.4410967057375108e-99,8.6089719674277842e-110,1.6905878406890256e-112,1.0934622311944539e-121,1.456363784739719e-49,4.3240561404406888e-50,4.3240561404406888e-50
3.8739800488367535e-24,0.272966669297754,76.950000000000003,0.0,0.0,0.0,0.99999999999999822,9.5,9.1571406887452467e-18,1.1593507054234906e-16,1.1593364964578854e-16,1.5218448187077535e-30,1.5218633374659973e-30,1.4988777785482206e-15,4.1067439075651102e-27,7.6428292014595489e-31,6.8713621727184934e-45,2.338449423483026e-49,7.1604532201527583e-34,1.0137497675605627e-26,2.1719271472111583e-32,6.9017001136299321e-45,4.4558925049744456e-49,9.2057528720585141e-51,3.565707139642798e-65,6.5165776155115582e-44,7.9169625639716472e-32,7.5255033614406492e-45,7.525503361440699e-45,4.3334151854892686e-59,6.7691382688425516e-60,6.0910769576526909e-47,2.8631810899837476e-32,3.439744448659589e-46,2.6865768436413606e-47,5.4254798040722429e-105,4.3908051253763009e-59,1.755595842806889e-48,4.9542290014896796e-105,1.1799998515002182e-28,2.4644652517883844e-73,2.4644652485402922e-73,1.0493096792629149e-41,3.0959768258684744e-42,4.2027430729422472e-30,1.0492375478031677e-41,5.4828066457955468e-55,4.9542290014896765e-105,4.7092087988334349e-62,4.0855669424953756e-58,2.9089793445026809e-75,8.0086732722721966e-90,1.8405321971416663e-49,1.7588745679479133e-104,8.8407043414502946e-36,7.9001822929477105e-74,2.7825404452065201e-104,4.5335783119881241e-49,1.8258395224611539e-119,1.7495798081275592e-109,2.4852446782789783e-123,2.677451798609395e-71,4.0302100375391696e-49,2.3607411849639191e-72,4.8191294504483992e-49,2.7628345721804782e-63,5.1240114484341557e-39,2.7750022475044762e-63,2.2895540265542537e-64,6.1288500427777395e-53,4.6717640543736876e-52,5.1841680238733326e-77,7.6110959141367138e-53,1.7649122619301865e-55,5.4699242152094513e-84,2.3561037172980663e-62,7.0167992262981405e-46,4.7601383383158895e-85,1.4208965612447714e-21,2.5680291748953815e-44,1.4188729002787135e-40,2.5680291748953815e-44,5.2994887180450635e-74,3.6924144477667711e-67,2.6527649573620562e-67,8.5747425118108911e-120,8.2037762231563009e-122,2.3378978946070832e-52,3.808144394741779e-64,2.7853964677431944e-65,1.1400422371869048e-88,1.6734669698087453e-53,2.625665162071428e-100,7.1992829508636854e-66,1.7608131227964055e-79,4.1932813480555353e-93,9.8164418190468735e-94,6.3618967112737054e-81,5.3044026993891477e-70,2.2849552639980602e-101,5.3044027022403296e-70,3.4802638117747034e-90,4.4741327255032382e-72,3.7918497300024334e-86,2.9507037801653717e-81,7.0531865353918803e-91,4.0455177042992227e-28,3.3077399895409986e-72,2.9709920327380329e-63,1.7769179934591725e-78,7.026941681017641e-95,2.6193871892158161e-97,1.1881868525161679e-107,2.3333033184988123e-110,2.727434819009785e-119,1.7289950852313728e-48,5.1335194498967498e-49,5.1335194498967498e-49
8.854811540198294e-24,0.272966669297754,76.950000000000003,0.0,0.0,0.0,0.999999999999996,9.5,2.0930607288560533e-17,2.6499444695393414e-16,2.6499119919036895e-16,7.3270277033111856e-30,7.3271162002320827e-30,3.4260063509294952e-15,1.977220411107014e-26,3.6796932645158393e-30,6.7463390635640595e-44,2.2959452506017533e-48,3.447449994073741e-33,4.880768748407665e-26,1.0456894278294548e-31,6.7761165625235859e-44,4.3748216795950076e-48,9.0382627591572638e-50,7.0453702150403668e-64,6.3980145456308923e-43,3.811676678150154e-31,7.3885838258879959e-44,7.3885838258880954e-44,8.5620981632997478e-58,1.337467652173269e-58,5.980255476496947e-46,1.3784984452978523e-31,3.377161496944624e-45,2.6376970762155207e-46,1.2347122627586255e-102,8.675491013645656e-58,1.723654408986672e-47,1.12746660600644e-102,5.6811913379638655e-28,9.7491794464337104e-72,9.7491794207520227e-72,1.0302184654069403e-40,3.0396484064853374e-41,2.0234398768091753e-29,1.0301476463120613e-40,1.0833101999999641e-53,1.1274666060064388e-102,9.3046030168102926e-61,4.0112342058378586e-57,1.1507856568761149e-73,6.3323417615746681e-88,1.807045425343246e-48,2.778645833984321e-102,4.2564185802869447e-35,1.5609430253548608e-72,4.3958190975424154e-102,4.4510940704495294e-48,5.7637473121033167e-117,2.7639621006562634e-107,7.8456224681536797e-121,1.059173305243947e-69,3.9568841122313792e-48,9.3388573605542022e-71,4.7314498714973943e-48,5.4588955369163715e-62,2.4669909423914591e-38,5.4829368130443505e-62,4.5237729336139793e-63,6.0173413155808343e-52,4.5867656516496355e-51,2.0507869262537339e-75,7.4726191004737749e-52,1.7328612707524819e-54,4.3249046007482095e-82,4.6552639078968851e-61,6.8891350885353966e-45,3.7636982505884059e-83,3.2477635686308185e-21,2.5213062720440096e-43,6.831262242031772e-40,2.5213062720440096e-43,2.0964250353676256e-72,7.2955833138174618e-66,5.2414117334566247e-66,2.706845179066966e-117,3.7334467420441163e-119,2.2953620164662624e-51,7.4994600279849196e-63,5.5034740392934066e-64,9.0139711679400375e-87,1.6430197944819497e-52,4.1479074380352824e-98,1.4224569927967651e-64,6.9656016074236741e-78,3.3155014733689599e-91,7.7615653737116118e-92,2.5167030722608544e-79,1.0480605854367293e-68,3.6096693028648017e-99,1.0480605865646288e-68,2.7517399472542708e-88,8.8404286719177143e-71,1.500067603482049e-84,1.1672690717789351e-79,2.8239038183538889e-89,1.9477426286285572e-27,1.3085090455892933e-70,5.8701796017134211e-62,7.0293108687840911e-77,5.5559914928407311e-93,2.0809055616348606e-95,1.8860531876007124e-105,3.7037393163637874e-108,8.6512779621640232e-117,1.6975376274565865e-47,5.0401198371909079e-48,5.0401198371909079e-48
1.8816474522921375e-23,0.272966669297754,76.950000000000003,0.0,0.0,0.0,0.99999999999999156,9.5,4.4477540488190999e-17,5.6311319977708212e-16,5.6310629827951346e-16,3.199905496284709e-29,3.1999435627541977e-29,7.2802634955635297e-15,8.6350409974488233e-26,1.6070187227867106e-29,5.9670514930480812e-43,2.0307541501608605e-47,1.5055919850323759e-32,2.1315599416642934e-25,4.5668004585397104e-31,5.9933742840132011e-43,3.8694802236572968e-47,7.9942410554057578e-49,1.2536968426860242e-62,5.658971410300375e-42,1.6646593470596933e-30,6.5351187209469444e-43,6.535118720947122e-43,1.523579620932218e-56,2.3799522263690048e-57,5.2894682445091612e-45,6.0202648744741757e-31,2.9870610986333112e-44,2.3330131928458268e-45,2.0866091393414806e-100,1.5437572728531132e-56,1.5245528049435547e-46,1.9053687205950573e-100,2.4811255155009624e-27,3.4794128899104943e-70,3.4794128715542994e-70,9.1121656577296302e-40,2.6885345925340852e-40,8.8368935470008812e-29,9.1115392708560376e-40,1.9276926198036712e-52,1.905368720595053e-100,1.6557043924914228e-59,3.5478918601078554e-56,4.1071088480294537e-72,4.5261339845880023e-86,1.5983112145465855e-47,3.9747984141988211e-100,1.8588898201384429e-34,2.7776151908403568e-71,6.2881330770275457e-100,3.9369422982526301e-47,1.6495256083093206e-114,3.9537936222970871e-105,2.245377278860134e-118,3.7801142925603632e-68,3.4998191844127412e-47,3.3329718573768804e-69,4.1849138293731072e-47,9.7138129393160943e-61,1.0773997581967876e-37,9.7565931060815891e-61,8.0498122310850821e-62,5.32227024940283e-51,4.0569422752067799e-50,7.3189811817282686e-74,6.6094469674996944e-51,1.5328028090902883e-53,3.0912609677767192e-80,8.2837933941254146e-60,6.093361967242889e-44,2.6901341348853301e-81,6.9014975836450413e-21,2.2300668446069208e-42,2.9833916946785564e-39,2.2300668446069208e-42,7.481992040622061e-71,1.2982081364269897e-64,9.3267949959737608e-65,7.7467144141417578e-115,1.2673979422932422e-116,2.030221709408829e-50,1.325711439769586e-61,9.7931379980060339e-63,6.4428096821979178e-85,1.4532324016119852e-51,5.933446354613544e-96,2.5311862170953569e-63,2.4859737365919054e-76,2.3697818194199601e-89,5.5476423881807704e-90,8.9819345018787188e-78,1.8649678100748266e-67,5.163514250611592e-97,1.8649678141002189e-67,1.9668286535249746e-86,1.5732130014181547e-69,5.3539896628781822e-83,4.1659004053683154e-78,1.0135234966901558e-87,8.5063037665702037e-27,4.6699758393527273e-69,1.0445670958755446e-60,2.5087111155648706e-75,3.9711904019832169e-91,1.4906961329778739e-93,2.7040568126504031e-103,5.3100954444501438e-106,2.4815185202951898e-114,1.5014528074395952e-46,4.4579289183245325e-47,4.4579289183245325e-47
3.8739800488367533e-23,0.272966669297754,76.950000000000003,0.0,0.0,0.0,0.99999999999998257,9.5,9.1571406887451487e-17,1.1593507054232884e-15,1.1593364964577365e-15,1.3358975544305267e-28,1.3359129596511802e-28,1.4988777784317537e-14,3.6049596351755429e-25,6.7089868251611668e-29,5.0156511664987135e-42,1.7069777978504555e-46,6.2855501611365874e-32,8.898843157695681e-25,1.9065492937933353e-30,5.037751707501479e-42,3.2525312670802278e-46,6.7196412962268172e-48,2.1145516534471457e-61,4.7567064487942249e-41,6.9496250851231949e-30,5.4931610553954726e-42,5.4931610553957702e-42,2.569739721403136e-55,4.0141372907300821e-56,4.4461167735204202e-44,2.5133420758522805e-30,2.5108048368679467e-43,1.9610381630125273e-44,3.0552554124328146e-98,2.6037722807888385e-55,1.2814784936852349e-45,2.7898795162546717e-98,1.0358210616287353e-26,1.1756149731344054e-68,1.1756149607201019e-68,7.6593242840431238e-39,2.2598753212530848e-39,3.6892291010461573e-28,7.6587977681342527e-39,3.251335360592048e-51,2.7898795162546591e-98,2.7925874606204106e-58,2.9822179461639167e-55,1.3877051305747854e-70,3.061039761955139e-84,1.3434768812490474e-46,5.3785031243695608e-98,7.7604990758798091e-34,4.684855617554508e-70,8.5087946297978684e-98,3.3092372202104987e-46,4.4650118266416978e-112,5.350080468005645e-103,6.0779448750725894e-116,1.277215184533968e-66,2.9418089001021888e-46,1.1261358616060189e-67,3.5176722335599803e-46,1.6383765319673721e-59,4.4979319039024412e-37,1.6455920325208964e-59,1.3577184912946455e-60,4.4736888354520754e-50,3.4101044310692933e-49,2.472829330096415e-72,5.5556384216203843e-50,1.288592515621113e-52,2.0906212892268546e-78,1.397182834327868e-58,5.1218378833867305e-43,1.8193390179451285e-79,1.4208965614642004e-20,1.8745055542792017e-41,1.2455073045592393e-38,1.8745055542792017e-41,2.5279960089175782e-69,2.1896112450188059e-63,1.5730945163519224e-63,2.0969163052431047e-112,3.7208670749144121e-114,1.7065236767798787e-49,2.2069525874003428e-60,1.6517558610466266e-61,4.3572753075865378e-83,1.2215293973755059e-50,8.0288151123318449e-94,4.2692155210832194e-62,8.3995433978877748e-75,1.6026845919776995e-87,3.7518732329667675e-88,3.0347926663179507e-76,3.1455407874571461e-66,6.9869850961212905e-95,3.1455408010580373e-66,1.3301671707029634e-84,2.6538112407175133e-68,1.8092320121023771e-81,1.4075635929549954e-76,3.4342347464919083e-86,3.5512143668828447e-26,1.5778792893026808e-67,1.7618150843302308e-59,8.4763678363364925e-74,2.6857179918938427e-89,1.0092792508933606e-91,3.6630772221628445e-101,7.1933744547709084e-104,6.7246031677333711e-112,1.2620615538976049e-45,3.7471578660008874e-46,3.7471578660008874e-46
7.858645241925986e-23,0.272966669297754,76.950000000000003,0.0,0.0,0.0,0.99999999999996469,9.5,1.8575913968597076e-16,2.3518257167153447e-15,2.3517968928139203e-15,5.4575774024653991e-28,5.4576363597919878e-28,3.0405806359769322e-14,1.4727436377933886e-24,2.7408400267603711e-28,4.1121090061369844e-41,1.3994861455309658e-45,2.5678523332769663e-31,3.6354677917439061e-24,7.7888759568603696e-30,4.1301867930295724e-41,2.6666216185086952e-45,5.5091679182741572e-47,3.4731643784580644e-60,3.8998353345421733e-40,2.8391486079529359e-29,4.5036253160211053e-41,4.5036253160215932e-41,4.2208052076080549e-54,6.593232553159923e-55,3.6451951534027165e-43,1.0267822462449618e-29,2.0585095009385114e-42,1.6077775667030803e-43,4.1778033442378107e-96,4.2767037892244516e-54,1.0506334926821298e-44,3.8149242533375455e-96,4.2316670165207898e-26,3.8651647979524244e-67,3.8651647162869916e-67,6.2795768042072775e-38,1.852782324060585e-38,1.5071704641713263e-27,6.2791451346561104e-38,5.340328092318564e-50,3.8149242533375114e-96,4.5868332891653088e-57,2.4450041905953847e-54,4.5624802656160207e-69,2.0136584145486716e-82,1.1014635166161706e-45,7.0778226441716855e-96,3.170417091342126e-33,7.6948947200593268e-69,1.1197118959100604e-95,2.7131126087552699e-45,1.1752670207885543e-109,7.0404199537588223e-101,1.5998255628090049e-113,4.1992040881320765e-65,2.4118726658235583e-45,3.7024883285230228e-66,2.8840002258731364e-45,2.6910383724319438e-58,1.8375519466461152e-36,2.7028898542193444e-58,2.2300566989021406e-59,3.6678003961811941e-49,2.7958096418455467e-48,8.1295368417989052e-71,4.5548480296466723e-49,1.0567601920144315e-51,1.3752805128333184e-76,2.2948770006604073e-57,4.1991921408134102e-42,1.1968219737185523e-77,2.8823901680509982e-20,1.536832905892112e-40,5.0883037398984457e-38,1.536832905892112e-40,8.311497783595438e-68,3.5964216019383346e-62,2.5837934684886518e-62,5.5194401925982503e-110,1.0189259202071891e-111,1.3991112140213751e-48,3.53305090307602e-59,2.7130139556665913e-60,2.8663612346221545e-81,1.0014836016656571e-49,1.0565469269505722e-91,7.0121993130200114e-61,2.7615860981402483e-73,1.0542994559664981e-85,2.4681075285836793e-86,9.9777343134672997e-75,5.16656014399065e-65,9.1944795449501091e-93,5.1665601887074034e-65,8.7502839380164767e-83,4.360067624238251e-67,5.9499366274359381e-80,4.6277611371662551e-75,1.130921073407814e-84,1.4507869350042423e-25,5.1877218830876719e-66,2.8937865664109083e-58,2.7868442754565945e-72,1.7667550010115523e-87,6.6430477628769641e-90,4.8230890534670805e-99,9.4713532038349096e-102,1.7710157779742471e-109,1.0347143123118267e-44,3.0721464119320222e-45,3.0721464119320222e-45
1.5827975628104451e-22,0.2729666692977539,76.950000000000003,0.0,0.0,0.0,0.99999999999992895,9.5,3.7413460528300246e-16,4.7367757392980302e-15,4.7367176855252376e-15,2.2060400452141454e-27,2.2060606606253451e-27,6.1239863502447945e-14,5.9530652545021205e-24,1.1078913609427792e-27,3.330052233263972e-40,1.133341208386128e-44,1.0379669695379695e-30,1.4695142073279423e-23,3.1483881951740135e-29,3.3446247645131926e-40,2.1594992847825906e-44,4.4614670150429651e-46,5.6301546678296576e-59,3.1581877635207698e-39,1.1476292614131906e-28,3.6471525452786513e-40,3.6471525452794434e-40,6.8421071243501138e-53,1.0687914088522392e-53,2.9519735423358444e-42,4.1504180070868452e-29,1.6670343630845187e-41,1.302019957527267e-42,5.5255448633499174e-94,6.932721136010588e-53,8.5083024170776847e-44,5.0456025272652232e-94,1.7105074663515058e-25,1.253656921508703e-65,1.2536568685213867e-65,5.085364103882764e-37,1.5004311622957186e-37,6.0922239904899765e-27,5.0850145266911575e-37,8.656901966054182e-49,5.0456025272651327e-94,7.4354544201193248e-56,1.9800306033242149e-53,1.4798310421861791e-67,1.3065316336596168e-80,8.9199371298647996e-45,9.185658159380992e-94,1.2815332789250907e-32,1.2473773121597493e-67,1.453171579725272e-93,2.1971489326596259e-44,3.0507061923096716e-107,9.1371166472570299e-99,4.1527657599594103e-111,1.3620017800920821e-63,1.9531970053257437e-44,1.2008932140878873e-64,2.3355381556609479e-44,4.3622891629874279e-57,7.4276787676055538e-36,4.3815009271758851e-57,3.6150180085139922e-58,2.9702798549465853e-48,2.2641191332922895e-47,2.6364166016546324e-69,3.6886340172078724e-48,8.5626830553284892e-51,8.9232892029211545e-75,3.7200945103837736e-56,3.4006146599157504e-41,7.7653893127260484e-76,5.805377382774217e-20,1.2445671316899999e-39,2.0567737280572265e-37,1.2445671316899999e-39,2.6958143826547091e-66,5.8298848773300351e-61,4.1883789619472681e-61,1.4327118862209695e-107,2.6970406726771987e-109,1.1330365354910498e-47,5.4506060674792846e-58,4.3979125143501107e-59,1.8597929672612472e-79,8.1102738584395385e-49,1.3711941205507544e-89,1.1367077262552095e-59,8.9571383137823835e-72,6.8406545914328786e-84,1.6013923742210928e-84,3.2362542076863649e-73,8.3752164901078528e-64,1.1932660984850515e-90,8.3752166351455648e-64,5.6774827727817434e-81,7.0716660116651381e-66,1.9308710769515216e-78,1.5010032321327752e-73,3.672524262334802e-83,5.8643126944456902e-25,1.6826251573142801e-64,4.6909527258774294e-57,9.0390624947163597e-71,1.1463309255081855e-85,4.311425163330839e-88,6.2611793393111441e-97,1.2295415529334756e-99,4.598402460722003e-107,8.3793847669456857e-44,2.4879038145772044e-44,2.4879038145772044e-44
3.1766636400461382e-22,0.2729666692977541,76.950000000000003,0.0,0.0,0.0,0.99999999999985734,9.5,7.5088553647703809e-16,9.506675784457685e-15,9.5065592709436683e-15,8.8703899964984959e-27,8.8704470265747775e-27,1.2290797775490534e-13,2.3937013555733886e-23,4.4547824344289909e-27,2.6802509481603389e-39,9.1221202015981388e-44,4.1736195330739558e-30,5.908851994281466e-23,1.2659530461642186e-28,2.6918718174822125e-39,1.7381528342539994e-43,3.5909767925658221e-45,9.0671949410634247e-58,2.5419842674821556e-38,4.6145667855569319e-28,2.9355456635299945e-39,2.9355456635312692e-39,1.1019002580386813e-51,1.7212556143643387e-52,2.3760051212267302e-41,1.6688648259719227e-28,1.3417742821287375e-40,1.0479789342903459e-41,7.1888853555646817e-92,1.1164933659099123e-51,6.8482219879639276e-43,6.5644672182218562e-92,6.8778752892512676e-25,4.0388226647566431e-64,4.0388223233084685e-64,4.093143445571599e-36,1.2076775334063866e-36,2.4496564707830128e-26,4.0928620754396383e-36,1.3941673732617895e-47,6.5644672182216205e-92,1.1974570115895359e-54,1.5937054259250123e-52,4.7674752236135539e-66,8.4192433490082653e-79,7.1795414168624864e-44,1.1839048961018312e-91,5.1529889506486387e-32,2.008868241886222e-66,1.872938137115228e-91,1.7684566084725994e-43,7.8640926176405608e-105,1.1776485675399001e-96,1.0704987285759371e-108,4.3878701588216596e-62,1.5721028557052464e-43,3.8688374527904932e-63,1.8798442948930981e-43,7.0253322040275048e-56,2.9866369643225075e-35,7.0562721628060691e-56,5.8218750576816849e-57,2.3907396357233084e-47,1.8223600508826926e-46,8.4911273426456881e-68,2.9689335454859076e-47,6.8996629335581006e-50,5.7501328609403955e-73,5.9910975227552582e-55,2.7371105136224175e-40,5.003986675035293e-74,1.165135181841914e-19,1.0017359015353802e-38,8.2701967116858754e-37,1.0017359015353802e-38,8.6849251273182636e-65,9.3886259580280086e-60,6.7450568162286849e-60,3.6932363069652208e-105,7.0201861353915615e-107,9.119663756691657e-47,8.0032670269011423e-57,7.0827024615259473e-58,1.1984433557424234e-77,6.5278539791402278e-48,1.7672795644315299e-87,1.8306327503759893e-58,2.8856614220585479e-70,4.4080912187612292e-82,1.0319310179078104e-82,1.0426024016955726e-71,1.3488027495158729e-62,1.5379549542146105e-88,1.348802796241702e-62,3.6585478204954783e-79,1.1400967099412935e-64,6.2271523872017138e-77,4.8356818552216755e-72,1.1848067599080916e-81,2.3580142958377604e-24,5.4208010768992192e-63,7.5546347510001363e-56,2.912054316220267e-69,7.3869119107329306e-84,2.7786483872741355e-86,8.0709146087348912e-95,1.5849313288231129e-97,1.1855381078937448e-104,6.7444578472866934e-43,2.0024814317784144e-43,2.0024814317784144e-43
6.3643957945175235e-22,0.2729666692977539,76.950000000000003,0.0,0.0,0.0,0.99999999999971412,9.5,1.5043873988649992e-15,1.9046475874754152e-14,1.9046242441763725e-14,3.5574231263716691e-26,3.5574252531976858e-26,2.462442061282211e-13,9.5998130390943048e-23,1.7865670003461663e-26,2.150628605461508e-38,7.3199286436094196e-43,1.6738081024647695e-29,2.3697139281267697e-22,5.0770379264499153e-28,2.1597797428238871e-38,1.3947580844136995e-42,2.8815327242167735e-44,1.4554859446260251e-56,2.0397822849132952e-37,1.8506476725387033e-27,2.3555905207573704e-38,2.3555905207594168e-38,1.7687939440844621e-50,2.7629964597807604e-51,1.9065944717384389e-40,6.6928943663650255e-28,1.0766893562162417e-39,8.4093709423042416e-41,9.2768757262823224e-90,1.792219116103067e-50,5.4952668547604921e-42,8.4710971980681942e-90,2.7583356097989166e-24,1.2967811903568829e-62,1.2967809710813676e-62,3.2844898348334076e-35,9.6908516276913395e-36,9.8242180737017384e-26,3.2842640530295998e-35,2.2379473935625946e-46,8.4710971980675855e-90,1.922183698586181e-53,1.2788555185293426e-51,1.5307366903089212e-64,5.4067787136451473e-77,5.7611298317048213e-43,1.520631871988296e-89,2.0665790422515695e-31,3.2246961957376004e-65,2.4056403812198481e-89,1.4190750545211006e-42,2.0201878708658455e-102,1.5125961252471519e-94,2.7499800176655471e-106,1.4088530847695141e-60,1.2615135044657862e-42,1.24220256790574e-61,1.5084566581768369e-42,1.1277214028274448e-54,1.197775003285456e-34,1.1326879529751611e-54,9.3453988176694274e-56,1.9184179940727192e-46,1.4623291701926988e-45,2.7247595631040249e-66,2.3823821685214964e-46,5.5488554598147052e-49,3.6926938444503506e-71,9.6170383452563375e-54,2.1963587915799399e-39,3.213524146768922e-72,2.3343300714502942e-19,8.0382997234668025e-38,3.316718784088453e-36,8.0382997234668036e-38,2.7885473165192108e-63,1.5070105124414471e-58,1.0826673157302227e-58,9.4874659121848234e-103,1.8121382660048341e-104,7.317955827794499e-46,1.0913479643866335e-55,1.1369305831484298e-56,7.696316781779767e-76,5.2381917083583707e-47,2.2699297521469936e-85,2.9385709883153885e-57,9.2652536495664455e-69,2.8308443857905681e-80,6.6269865524149351e-81,3.347577658211962e-70,2.1651269772742128e-61,1.9753805672045934e-86,2.1651271273010355e-61,2.3494930200559011e-77,1.8340459641360398e-63,2.0036424343042476e-75,1.5526360308739931e-70,3.8128869083490266e-80,9.4566916016924896e-24,1.7405055397450578e-61,1.2126861874541344e-54,9.3499952352629672e-68,4.7438215509048756e-82,1.7845507483935289e-84,1.036716551398978e-92,2.0358650693234989e-95,3.0457116365197011e-102,5.4120026662727439e-42,1.606865235628524e-42,1.606865235628524e-42
