Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533)
0.0,0.29325284033025845,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.538772289104324e-25,0.29325284033025845,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,1.6852378141405185e-18,2.0517664267450122e-17,2.0517300290997375e-17,3.9091543096478367e-32,3.909223589434165e-32,4.4345825712745978e-16,1.8995736827227298e-28,1.9079047113477878e-32,3.5809192200548306e-47,1.2337473065812183e-51,2.253611074659667e-35,5.0486634868921577e-28,7.0186593993803393e-34,3.4954111304594611e-47,2.5816081960752094e-51,7.5957412027645826e-53,6.2774526654320625e-68,8.5081986189811493e-46,3.6416577693101604e-33,7.2985875707834642e-47,7.298587570783472e-47,6.7868395889945275e-62,1.0857598489554405e-62,1.8634436777095523e-48,1.2853082581602555e-33,2.3903750926994458e-48,1.9120632406016094e-49,2.0611700463646176e-109,7.611462652989072e-62,2.2422628735330014e-50,1.8746349187152882e-109,5.9358667097444059e-30,7.2510470629117911e-77,7.2510470611597494e-77,1.214585991159764e-43,3.5689346095775395e-44,2.8352352477886308e-31,1.2144916483140811e-43,1.3557695804271977e-57,1.8746349187152877e-109,9.7537499027044023e-65,6.8629966707198736e-60,1.123837192429832e-78,6.2185043913726703e-94,2.1660878926475406e-51,2.3259109768530114e-109,5.7058100026374242e-37,2.3359619183280103e-76,5.8206211112383686e-109,5.6158050345051492e-51,6.4529819268777915e-125,3.1988441843901638e-114,7.340868988333605e-129,1.881754036337097e-74,6.8049688477156947e-51,2.0823321323668175e-75,6.3695486453211748e-51,6.0679397782908175e-66,3.4453960832774022e-40,5.9229411842925568e-66,4.7377661143340806e-67,6.5645015400764401e-55,8.2182242330908626e-54,2.3812239169743716e-80,1.1258422825992994e-54,4.2082101639085674e-57,8.9197647213781352e-88,6.8154494495275509e-65,7.7136195379868053e-48,7.6984287533120661e-89,3.6397645276144781e-22,2.6803404564511257e-46,6.791037499973288e-42
1.2708562409492106e-24,0.29325284033025845,76.950000000000003,0.0,0.0,0.0,0.99999999999999867,9.5,4.7186658795934497e-18,5.7449459948860095e-17,5.7448440814792463e-17,2.3611292030270546e-31,2.361171010008112e-31,1.2416831199545856e-15,1.1473425043627542e-27,1.152374445652524e-31,4.2512666517019858e-46,1.4648094826294679e-50,1.3611810890944579e-34,3.0493927460781472e-27,4.2392702772257101e-33,4.1497504381059261e-46,3.0648852498135877e-50,9.0176639559221596e-52,1.4043369240265671e-66,1.0100933400440069e-44,2.1995612926632902e-32,8.6648831640339502e-46,8.6648831640339688e-46,1.518188868690618e-60,2.4288013517149409e-61,2.2122803341695447e-47,7.7632618792768017e-33,2.8378533100312013e-47,2.2700014792341422e-48,2.1963366311970493e-107,1.7026537496171006e-60,2.6620144834528502e-49,1.9975689775607948e-107,3.585263492680076e-29,2.9921648730691865e-75,2.9921648717502923e-75,1.4419564887015503e-42,4.2370391684805708e-43,1.7124820896600563e-30,1.4418444848751655e-42,3.0328023206257606e-56,1.9975689775607939e-107,2.181874838230587e-63,8.1477497134636641e-59,4.6378545910601972e-77,4.6814426021780244e-92,2.5715795461471759e-50,3.175064188789587e-107,3.4463092415928872e-36,5.2254534132498741e-75,7.9456375719981178e-107,6.6670837369607661e-50,1.5920483746785058e-122,4.3666914670302984e-112,1.8113870910082576e-126,7.7651107200414008e-73,8.0788590154198881e-50,8.5928018494895492e-74,7.5619281517250497e-50,1.3573738566325937e-64,2.0810192342994859e-39,1.3249382511552815e-64,1.0598193287118574e-65,7.7933762283778348e-54,9.7566758094771737e-53,9.8261658968555644e-79,1.336599957867459e-53,4.9960124653894231e-56,6.7145762449056488e-86,1.5245887800589133e-63,9.1576091153171815e-47,5.795185012696853e-87,1.0191340677360674e-21,3.1821001898840146e-45,4.101786650026335e-41
2.9048142650267673e-24,0.29325284033025845,76.950000000000003,0.0,0.0,0.0,0.99999999999999689,9.5,1.0785522010499303e-17,1.3131305131167904e-16,1.313107218623818e-16,1.1367820732452328e-30,1.136802162792272e-30,2.8381328455996275e-15,5.5239602693310742e-27,5.5481869005762667e-31,4.1739174392205061e-45,1.4382045065252467e-49,6.553501005110589e-34,1.4681513419811634e-26,2.0410261533397779e-32,4.0742460801436585e-45,3.0091225115878704e-49,8.8535959459425306e-51,2.7748255481355378e-65,9.9171563102399242e-44,1.0589940793153238e-31,8.5072336725046515e-45,8.5072336725046851e-45,2.9996853677881565e-59,4.7989021829369407e-60,2.1720299507158203e-46,3.7376764147133041e-32,2.7862212079835681e-46,2.2287009132201591e-47,4.9983482929008935e-105,3.3641568875215204e-59,2.6135816053729177e-48,4.5459996191481255e-105,1.7261500391853538e-28,1.1836706674830819e-73,1.1836706664402721e-73,1.4157214312855212e-41,4.1599501808929282e-42,8.2448641005051706e-30,1.4156114652646239e-41,5.9923063146266423e-55,4.5459996191481224e-105,4.3110170029666331e-62,7.999509123940121e-58,1.8347516887966524e-75,3.7016036996435303e-90,2.5247920476576172e-49,5.0159977351368397e-105,1.6592495487667876e-35,1.0324615555177136e-73,1.2552596639174449e-104,6.545782348207587e-49,5.0257989781516101e-120,6.8985422680243266e-110,5.7185785905795194e-124,3.0718005796697779e-71,7.9318716870740379e-49,3.3992269593917218e-72,7.4243459009855922e-49,2.6819420035964566e-63,1.0019211810169708e-38,2.6178547130650317e-63,2.0940243987022368e-64,7.6515829951102604e-53,9.5791621659409923e-52,3.8871149119198703e-77,1.3122817644910107e-52,4.9051683793230484e-55,5.3090135350109049e-84,3.0123305142027119e-62,8.9909949329170713e-46,4.5820785330534564e-85,2.3294492977013599e-21,3.1242048359936653e-44,1.9748337050551056e-40
6.17273031318188e-24,0.2932528403302584,76.950000000000003,0.0,0.0,0.0,0.99999999999999334,9.5,2.291923427231096e-17,2.7904023403731286e-16,2.790352839575573e-16,4.9646259732490492e-30,4.964713369424534e-30,6.0310322968528774e-15,2.4124585770303534e-26,2.4230389833878188e-30,3.6917802713920642e-44,1.2720938159906649e-48,2.8620860648180611e-33,6.411802628279916e-26,8.9136974372127663e-32,3.6036182786847941e-44,2.6615347821351691e-48,7.8309053504024449e-50,4.9377288176213129e-64,8.7716124481313391e-43,4.6249053670231648e-31,7.5245518419737446e-44,7.5245518419738083e-44,5.3377798392640449e-58,8.5393900301080672e-59,1.9211358939243264e-45,1.6323414878462472e-31,2.4643811054289167e-45,1.9712607184779724e-46,8.4469876457525912e-103,5.986337435039812e-58,2.3116833320615674e-47,7.6825383847460165e-103,7.5385507212894236e-28,4.2244365330335216e-72,4.2244365255799542e-72,1.2521895734244402e-40,3.6794288250256885e-41,3.6007487646252526e-29,1.2520923097243196e-40,1.066298891907711e-53,7.6825383847460066e-103,7.6712244199505129e-61,7.0754754771937809e-57,6.54820077133912e-74,2.6457934630369145e-88,2.2331499737779573e-48,7.1753356836253299e-103,7.2463787033477147e-35,1.8372102363298262e-72,1.7956366677820742e-102,5.7896703583490343e-48,1.4383422329040375e-117,9.8682972203689385e-108,1.6366615975760184e-121,1.0963038076797454e-69,7.0156506794118788e-48,1.2131599568689594e-70,6.5667498713787009e-48,4.7723724996037218e-62,4.3756530257612884e-38,4.658332590362316e-62,3.7262045341928973e-63,6.7677385077512457e-52,8.472660455032943e-51,1.3872703811637821e-75,1.1606983594444349e-51,4.3386614363526897e-54,3.7946608847165064e-82,5.3602812017816531e-61,7.9524331977061321e-45,3.2750781412499698e-83,4.9500797576961587e-21,2.763323796886742e-43,8.6246176256118955e-40
1.2708562409492107e-23,0.29325284033025845,76.950000000000003,0.0,0.0,0.0,0.99999999999998634,9.5,4.7186658795934113e-17,5.7449459948856427e-16,5.7448440814789532e-16,2.0726336149719494e-29,2.07266981687689e-29,1.2416831199212031e-14,1.0071539665548285e-25,1.0115710779351119e-29,3.1031596674033295e-43,1.0692787245970148e-47,1.1948645917848092e-32,2.6768013806844085e-25,3.7212932135512117e-31,3.0290478004656986e-43,2.2371803502919637e-47,6.5823477944570227e-49,8.3282613713353137e-63,7.3730687918615804e-42,1.9308069492875822e-30,6.3248392114376885e-43,6.3248392114377936e-43,9.0029458847468351e-57,1.4402929429032659e-57,1.6148304759187755e-44,6.8147043846101729e-31,2.0714608090769402e-44,1.6569634111979575e-45,1.2368250592248226e-100,1.0096833065358478e-56,1.9431091299323761e-46,1.1248928483385031e-100,3.1471965294291085e-27,1.427341625896935e-70,1.4273416208560835e-70,1.0525407865239483e-39,3.0927816295893522e-40,1.5032417283178536e-28,1.0524590305234829e-39,1.798468934690078e-52,1.1248928483385001e-100,1.2938641233729988e-59,5.9473638862186367e-56,2.2125054807297646e-72,1.7893648932507657e-86,1.877097110314992e-47,9.7093455915770476e-101,3.0252204633967274e-34,3.0987238067702567e-71,2.4297757949074473e-100,4.8665667899773468e-47,3.8933837124017116e-115,1.3353341552494834e-105,4.4302750072358646e-119,3.7041627890401286e-68,5.8970771169817803e-47,4.0989933063193669e-69,5.519748943254067e-47,8.04930376458707e-61,1.8267490033527658e-37,7.8569587895264585e-61,6.284788580409253e-62,5.6886920025947786e-51,7.1217816282383726e-50,4.6871830451065381e-74,9.7563690821737841e-51,3.6470671094336143e-53,2.5663309937526739e-80,9.0408977218401991e-60,6.6844992715717961e-44,2.2149369327677587e-81,1.0191340677942603e-20,2.3227401539388683e-42,3.6006080830654134e-39
2.578022660211256e-23,0.29325284033025845,76.950000000000003,0.0,0.0,0.0,0.99999999999997236,9.5,9.572150784317973e-17,1.1654033303910022e-15,1.1653826565285189e-15,8.4673846008413714e-29,8.4675301742844379e-29,2.5188429003340968e-14,4.1145525795150816e-25,4.1325979207858514e-29,2.5441510614050141e-42,8.7666217583669596e-47,4.8814117321579678e-32,1.0935607058590666e-24,1.5202697005431711e-30,2.4833791800956798e-42,1.8341756100198165e-46,5.3966064105992892e-48,1.3679242260369555e-61,6.0448872574723108e-41,7.8879763946309434e-30,5.1854853162244649e-42,5.185485316224637e-42,1.4787365648290413e-55,2.3656854835717378e-56,1.3239355880309178e-43,2.7840290993737793e-30,1.6983087234475499e-43,1.3584787139286597e-44,1.6912536502331048e-98,1.6584078627723887e-55,1.5930782623698579e-45,1.5381958197597542e-98,1.2857324727319653e-26,4.6927869716913713e-69,4.6927869385309659e-69,8.6293652859361109e-39,2.5356492378301157e-39,6.1412329556148063e-28,8.6286950008504385e-39,2.9539906255782886e-51,1.5381958197597464e-98,2.1251757077889069e-58,4.8760089244197839e-55,7.2742602740109391e-71,1.1771083191388635e-84,1.5389576204253619e-46,1.2777000208043237e-98,1.2359012698098915e-33,5.089663850380733e-70,3.1974601732148677e-98,3.9899054799654924e-46,1.0248064214823512e-112,1.7572311776482736e-103,1.1661347083185248e-116,1.2178476827031386e-66,4.8347801007798073e-46,1.3476593183895025e-67,4.5254236728616071e-46,1.3221005601832099e-59,7.4628657322144537e-37,1.2905078403700103e-59,1.0322784115323127e-60,4.6639334000119018e-50,5.8388668582502432e-49,1.5409840345126534e-72,7.9988608249789249e-50,2.9903495758562175e-52,1.6882182458058085e-78,1.4849701655792602e-58,5.4803563613907863e-43,1.4570594955765665e-79,2.0673862519462896e-20,1.9043227120948096e-41,1.4709658871342359e-38
5.1923554987353465e-23,0.29325284033025845,76.950000000000003,0.0,0.0,0.0,0.99999999999994438,9.5,1.927912059376682e-16,2.3472207921956182e-15,2.3471791532895584e-15,3.4226522374803227e-28,3.4227092024120118e-28,5.0731624609241335e-14,1.6631679385880572e-24,1.6704621540614963e-28,2.0603086085705816e-41,7.0994490567895266e-46,1.9731446691978827e-31,4.4203472181630901e-24,6.145173199806943e-30,2.011076965059148e-41,1.4853629536630122e-45,4.3703117877736973e-47,2.2174679505978307e-60,4.8953064251450276e-40,3.1884461765993331e-29,4.1993404518612419e-41,4.1993404518615192e-41,2.3970956941664455e-54,3.8348781129319606e-55,1.0721573644136828e-42,1.1253490747073933e-29,1.3753344355115267e-42,1.1001312833423394e-43,2.2368448559394241e-96,2.688350610869937e-54,1.2901160801171078e-44,2.0344112229311971e-96,5.1971362254444028e-26,1.5220941988095775e-67,1.5220941772939757e-67,6.9882837393951639e-38,2.0534344937743077e-38,2.4823845503152054e-27,6.9877409251561527e-38,4.7885460997894784e-50,2.0344112229311759e-96,3.4450014020982372e-57,3.9487195570199933e-54,2.3593930947534596e-69,7.6374942468496471e-83,1.2462877811240913e-45,1.6582112103867919e-96,4.9957105361777948e-33,8.2505666763633292e-69,4.1496941517289705e-96,3.2311289028981512e-45,2.6601493188077168e-110,2.2805512980568103e-101,3.0270151935183317e-114,3.9500597664513989e-65,3.9153302658470251e-45,4.3711006950910742e-66,3.6648054198110901e-45,2.1431819805737149e-58,3.0166096499150029e-36,2.0919688206518107e-58,1.6733677889782099e-59,3.7769741879533401e-49,4.7284657638440002e-48,4.9977607839453325e-71,6.4776848747423818e-49,2.4220895881740376e-51,1.0953735988714963e-76,2.4072006299678503e-57,4.4381346662445748e-42,9.4538991474125844e-78,4.1638906206613099e-20,1.5421699049062463e-40,5.9458793050546476e-38
1.0421021175783528e-22,0.2932528403302584,76.950000000000003,0.0,0.0,0.0,0.99999999999988842,9.5,3.869306021266342e-16,4.7108557158038131e-15,4.710772146810806e-15,1.376233411309924e-27,1.3762548062299223e-27,1.0181801581161204e-13,6.6875251315738042e-24,6.7168548512746216e-28,1.658298092741606e-40,5.7142588206556522e-45,7.9339279327966222e-31,1.7774021748425458e-23,2.4709471161880538e-29,1.6186448207780875e-40,1.1955493133989848e-44,3.5176071353339846e-46,3.5711668361303104e-59,3.940168492601384e-39,1.2820601843129549e-28,3.3799945300155966e-40,3.3799945300160444e-40,3.8604487154828085e-53,6.1759529773798771e-54,8.6296552226659653e-42,4.5249791343050489e-29,1.1069888045063867e-41,8.8548136587321862e-43,2.9101964829301196e-94,4.3295057805102196e-53,1.0383976586906239e-43,2.6468247764653311e-94,2.0897456181952535e-25,4.9036291694561084e-66,4.9036290308104112e-66,5.6247787195095682e-37,1.652782725085035e-37,9.9815590958785137e-27,5.6243418153889448e-37,7.7118058698663369e-49,2.6468247764652757e-94,5.5480685537472796e-56,3.1782748187256633e-53,7.6011058731654855e-68,4.9215760246704255e-81,1.003120830727117e-44,2.1372068346194684e-94,2.0087532346592713e-32,1.3287290516994392e-67,5.3483866513031658e-94,2.6006936428123473e-44,6.8573200855074217e-108,2.9393178626840461e-99,7.803040458439767e-112,1.2725643705593106e-63,3.1513984080461014e-44,1.4082083141593785e-64,2.9497542327229955e-44,3.4515285069558891e-57,1.2129654726969825e-35,3.3690512927397039e-57,2.6949072370553669e-58,3.0400374157680632e-48,3.8058806126569263e-47,1.6098478479622571e-69,5.2138043237083327e-48,1.9501957491107846e-50,7.0585448764195969e-75,3.8767224042365922e-56,3.5721968834839431e-41,6.0920558483605015e-76,8.3568993597351969e-20,1.2412725048178957e-39,2.3908119192816566e-37
2.087835252987989e-22,0.29325284033025845,76.950000000000003,0.0,0.0,0.0,0.9999999999997764,9.5,7.7520939450452212e-16,9.4381255630160489e-15,9.4379581338499713e-15,5.5193115147141969e-27,5.5193852029354819e-27,2.0399079817863344e-13,2.681996684067314e-23,2.6937592135460052e-27,1.3306516697259083e-39,4.5853346655169755e-44,3.1818599546570327e-30,7.1281776821673322e-23,9.90960309401748e-29,1.2987885082298563e-39,9.5935300627722368e-44,2.8226581949478539e-45,5.7325161087827184e-58,3.1617370715438944e-38,5.1416347545120743e-28,2.7122327457094113e-39,2.712232745710131e-39,6.1968751435431905e-52,9.9137722934168051e-53,6.9247548363387105e-41,1.8147190171393065e-28,8.8828879895775708e-41,7.1054303009280385e-42,3.7554543960714961e-92,6.9498156151969631e-52,8.3324872485825128e-43,3.4155871607695791e-92,8.3808145887669411e-25,1.5744524600113868e-64,1.5744523709741258e-64,4.5135306847705857e-36,1.3262540478303367e-36,4.0030516322256783e-26,4.5131800967333856e-36,1.2379156324675622e-47,3.4155871607694381e-92,8.9058787378562644e-55,2.5503682514287933e-52,2.4405567608847718e-66,3.1606020391192377e-79,8.0494129214182171e-44,2.7450730895482891e-92,8.0559989077892987e-32,2.1329067199945349e-66,6.8695795050021905e-92,2.0868928622292086e-43,1.761560841183416e-105,3.7753212597455479e-97,2.0045066899381773e-109,4.0859373116883572e-62,2.5287987287320953e-43,4.521461567088065e-63,2.366992002716612e-43,5.5404676450564441e-56,4.8645340575612961e-35,5.4080734535802619e-56,4.3259229472716068e-57,2.439438571244968e-47,3.0539795035674173e-46,5.1672960976357125e-68,4.1837496008721454e-47,1.5660123515493439e-49,4.5329466061449789e-73,6.2229980218065556e-55,2.8664630220312821e-40,3.9122743239078512e-74,1.6742916844458347e-19,9.9604301186232637e-39,9.5882251262912751e-37
