Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456)
0.0,0.25302385596348415,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.926573422913093e-25,0.25302385596348415,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,1.6194391450108035e-18,2.3015735494001074e-17,2.3015290094693559e-17,4.4225606286981095e-32,4.4226461452417424e-32,4.7585496714602522e-16,1.7747927775101134e-28,2.1441322793489868e-32,3.6678848978621482e-47,1.4946848453128626e-51,2.6729148687419695e-35,4.7992423049518101e-28,8.3802926271845234e-34,3.5565044989782915e-47,3.1936296674331738e-51,8.6572459394442549e-53,7.6510317240026579e-68,7.7720808550308049e-46,4.0042582152728921e-33,7.3324536138534595e-47,7.3324536138534663e-47,6.8308703340422284e-62,1.0989997815234742e-62,2.0757774365873705e-48,1.4061189678309049e-33,2.6198641953473197e-48,2.1075134188669791e-49,2.0858876367727151e-109,7.8467772239379262e-62,2.4025423346045411e-50,1.8953532571641925e-109,5.6555820777679926e-30,7.5390855015512313e-77,7.5390854999686086e-77,1.0791269847415859e-43,3.1677834813201232e-44,2.8930946724289903e-31,1.0790407886835674e-43,1.0930943075646638e-57,1.8953532571641922e-109,1.0481643199658533e-64,9.2428873770330839e-60,1.2444160621707693e-78,6.1141735708784401e-94,2.2771664109883133e-51,2.2990057581118932e-109,6.7879774814247676e-37,3.2177632250014674e-76,5.434686959239557e-109,5.9709823018530702e-51,6.0411794659537381e-125,3.412690746435219e-114,7.7701322057571506e-129,1.4641086443488823e-74,7.7743917072158645e-51,1.7080725500868439e-75,6.8763846766854199e-51,6.6067444692002e-66,4.13854366323305e-40,6.4059992148808017e-66,5.4414520622402346e-67,7.9525220718284775e-55,9.4798957791808818e-54,2.4911567878261324e-80,1.2476037288362195e-54,5.212543619519054e-57,6.3705864125377587e-88,6.7144010523559496e-65,7.9811371904763036e-48,5.4874224005657119e-89,4.4539930753747028e-22,2.7397185478264261e-46,8.8957395766732037e-42,2.7397185478264261e-46,4.706396600591355e-77,8.8606100588218112e-70,6.5954854767777687e-70,3.122498884735222e-125,9.4443953834197777e-127,2.8452910298349072e-54,1.0584975147505004e-66,5.9407892252758119e-68,2.2878206952669452e-92,2.0014569202403749e-55,8.5328680512652109e-105
1.099440558415666e-24,0.25302385596348415,76.950000000000003,0.0,0.0,0.0,0.99999999999999856,9.5,4.5344296060302471e-18,6.4444059383202713e-17,6.4442812265141716e-17,2.6712266197334074e-31,2.6712782333353458e-31,1.3323939080066923e-15,1.0719748376146461e-27,1.2950558967252456e-31,4.3545123388895951e-46,1.7746343466348658e-50,1.6144405807201694e-34,2.8987423521869399e-27,5.0616967468194316e-33,4.222280588977202e-46,3.7914771405572234e-50,1.0277882379308264e-51,1.7116383315892568e-66,9.2270143910810074e-45,2.4185719620247781e-32,8.7050889303666593e-46,8.7050889303666748e-46,1.5280383702358198e-60,2.4584185512727563e-61,2.4643629727094215e-47,8.4929585656879338e-33,3.1103027726954642e-47,2.5020399308709257e-48,2.222675141861901e-107,1.7552926778821e-60,2.8522982596373073e-49,2.0196459749211734e-107,3.4159715749672072e-29,3.1110247413165743e-75,3.1110247401252154e-75,1.2811395562826187e-42,3.76079254901554e-43,1.747429182143278e-30,1.2810372243225473e-42,2.445208242245132e-56,2.0196459749211725e-107,2.3447016571863149e-63,1.0973155974445791e-58,5.1355075078188639e-77,4.6029419757864445e-92,2.7034519631216385e-50,3.138364845529953e-107,4.0999383987804284e-36,7.1980076742013557e-75,7.4188724578687353e-107,7.0887501887563306e-50,1.4904639718083288e-122,4.6586523891142056e-112,1.9173688944142769e-126,6.0416853159363289e-73,9.2297578341874878e-50,7.048409203949058e-74,8.1636438881606783e-50,1.4779023107704734e-64,2.4996803725926861e-39,1.432996400365975e-64,1.2172310605146374e-65,9.4412342036737156e-54,1.1254532268992803e-52,1.0279806381735751e-78,1.4811551468409908e-53,6.1883587230027394e-56,4.7956184415086917e-86,1.5019846578055731e-63,9.4752060723716917e-47,4.1307946170734635e-87,1.2471180611093125e-21,3.2525938599663148e-45,5.3730267043647938e-41,3.2525938599663148e-45,1.9421077351408483e-75,1.9820827643044121e-68,1.4753834694581964e-68,7.703747448288216e-123,1.7107145788005877e-124,3.3779295106187227e-53,2.3662674758716168e-65,1.3289307864869748e-66,1.7222143153886603e-90,2.3761296557093691e-54,1.1647322839974042e-102
2.5130069906643795e-24,0.25302385596348415,76.950000000000003,0.0,0.0,0.0,0.99999999999999667,9.5,1.0364410528069123e-17,1.4730070716160482e-16,1.472978566060371e-16,1.2860806308250342e-30,1.2861054414502999e-30,3.0454717897193125e-15,5.1610973969774734e-27,6.2351366683237163e-31,4.2752847402064051e-45,1.7424098432661131e-49,7.7728364383019423e-34,1.395619662274055e-26,2.436989095985228e-32,4.1454568321623525e-45,3.7224947384398399e-49,1.0090885867016358e-50,3.3820372759234956e-65,9.0591374445880485e-44,1.1644382890012843e-31,8.5467079323070702e-45,8.546707932307105e-45,3.0191463230628842e-59,4.85742077834005e-60,2.4195261800642118e-46,4.0889939584361724e-32,3.0537137060321274e-46,2.4565176410066985e-47,5.0582885807189366e-105,3.4681625393638347e-59,2.8004033451989161e-48,4.5962416997569292e-105,1.6446432682079418e-28,1.2306904493749391e-73,1.2306904484329673e-73,1.2578304134067558e-41,3.6923684258028308e-42,8.4131193073660149e-30,1.2577299432815544e-41,4.8313194338257942e-55,4.5962416997569261e-105,4.6327353585586272e-62,1.0773509776003088e-57,2.0316345954124339e-75,3.6395509866704311e-90,2.6542651686365473e-49,4.9580437901527659e-105,1.9739438515981258e-35,1.4222050414127352e-73,1.1720464742034282e-104,6.9597769710286755e-49,4.7051389303662383e-120,7.3598206985679213e-110,6.0532488198828406e-124,2.3900306286408459e-71,9.0618309720113313e-49,2.7882805872368894e-72,8.0151139791437399e-49,2.9200859181922022e-63,1.2034884972680567e-38,2.8313594065508153e-63,2.4050434545988839e-64,9.2694597269200117e-53,1.1049766520055941e-51,4.0665700655633135e-77,1.4542069062280541e-52,6.0758243504315224e-55,3.7917513013652693e-84,2.9676685777520417e-62,9.3028135087176698e-46,3.2660950940977354e-85,2.8505555682705845e-21,3.1934159393055009e-44,2.5868810689767422e-40,3.1934159393055009e-44,7.6827850647291995e-74,3.9162603937079866e-67,2.9151080322884599e-67,2.431940839326382e-120,7.7870454687073675e-122,3.3164712243716049e-52,4.6686609086100884e-64,2.6257432898900317e-65,1.3617030735993875e-88,2.3328981862321672e-53,1.8399915472707564e-100
5.3401398551618064e-24,0.2530238559634841,76.950000000000003,0.0,0.0,0.0,0.99999999999999289,9.5,2.2024372372146833e-17,3.1301400271840443e-16,3.1300794528782424e-16,5.6166519984427195e-30,5.6167600094017274e-30,6.471627553109701e-15,2.2539868274151763e-26,2.7230479947493034e-30,3.781438631144714e-44,1.5411669207016732e-48,3.3946018833026085e-33,6.0950377272275058e-26,1.0642971636524013e-31,3.6666037734041075e-44,3.2925044379043441e-48,8.9252742737297353e-50,6.0182588023084043e-64,8.0127044782272597e-43,5.0854079333958215e-31,7.5594663777372667e-44,7.5594663777373284e-44,5.3724095693962172e-58,8.643520743997958e-59,2.1400435059778581e-45,1.7857710891286138e-31,2.7009751906993828e-45,2.1727620342633307e-46,8.5482840822977324e-103,6.1714099355237064e-58,2.4769250452500083e-47,7.767445279850275e-103,7.18258923869312e-28,4.3922467949809949e-72,4.392246788248174e-72,1.1125367561723075e-40,3.2658580578515961e-41,3.674230233925414e-29,1.1124478914843863e-40,8.5970747960131284e-54,7.7674452798502651e-103,8.2437050443849656e-61,9.5290476938197898e-57,7.250888651173461e-74,2.6014458202040031e-88,2.3476674830485073e-48,7.0924489016884422e-103,8.6207314014074274e-35,2.5307379609856484e-72,1.6766047418142677e-102,6.1558439138947931e-48,1.3465749751524752e-117,1.0528174910526661e-107,1.7324559632255361e-121,8.5298495481594284e-70,8.015086870440358e-48,9.9511753624149306e-71,7.0892775462739549e-48,5.196136871649626e-62,5.2559504523047953e-38,5.0382527849117474e-62,4.2796463264760438e-63,8.1987321551654398e-52,9.7733933521740082e-51,1.4513162856232525e-75,1.2862295400637569e-51,5.3740993357715508e-54,2.7101852826330237e-82,5.2808076721513458e-61,8.2282331968402857e-45,2.3344682053735083e-83,6.0574305826634757e-21,2.8245402339810707e-43,1.1297589263198334e-39,2.8245402339810707e-43,2.741931418270298e-72,6.9687720533766076e-66,5.1872751287536875e-66,6.960029710594107e-118,2.6442393729484554e-119,2.9333812401102962e-51,8.283834212208396e-63,4.6723698906556846e-64,9.7328841901230351e-87,2.0634220264909865e-52,2.6320479186308974e-98
1.099440558415666e-23,0.25302385596348415,76.950000000000003,0.0,0.0,0.0,0.99999999999998535,9.5,4.5344296060302061e-17,6.44440593831985e-16,6.4442812265138334e-16,2.3448416453322452e-29,2.3448864506574755e-29,1.3323939079751073e-14,9.409951306154617e-26,1.1368189344893137e-29,3.1785231397558441e-43,1.2954536293834006e-47,1.4171794634072687e-32,2.5445582700302861e-25,4.4432311509329329e-31,3.0819915616914795e-43,2.7675483644066915e-47,7.5022308151878811e-49,1.0150756449502855e-62,6.7351609155394023e-42,2.1230577057370112e-30,6.3541869825055995e-43,6.3541869825057054e-43,9.0613539862553062e-57,1.4578561098095382e-57,1.7988355140237065e-44,7.4552427672897422e-31,2.2703323936143208e-44,1.8263374084814961e-45,1.2516570888646953e-100,1.0408984888294371e-56,2.0820047464294537e-46,1.1373250880871822e-100,2.9985896175675845e-27,1.484040920856403e-70,1.4840409163029936e-70,9.35154178914681e-40,2.7451504802852426e-40,1.5339187952683875e-28,9.3507948279003627e-40,1.450022321809869e-52,1.1373250880871794e-100,1.390421348238031e-59,8.009739264682002e-56,2.4499321344399863e-72,1.7593741839050496e-86,1.9733559770563461e-47,9.59719704067878e-101,3.5989856606495868e-34,4.2684597345848932e-71,2.2687094809666057e-100,5.1743577270261371e-47,3.6449869350795528e-115,1.424627382180199e-105,4.6895957936788563e-119,2.8820433780438063e-68,6.7371634558927297e-47,3.3622772470941478e-69,5.9589649386577691e-47,8.7640443167563914e-61,2.1942558502451037e-37,8.4977497279488636e-61,7.2182490558459015e-62,6.8915283870809834e-51,8.2151260033064049e-50,4.9035772221085254e-74,1.0811534293556858e-50,4.5174250636286597e-53,1.8328996189536307e-80,8.9068539980421127e-60,6.9163257891609713e-44,1.5788019776818059e-81,1.2471180611730645e-20,2.3741962578934751e-42,4.7165211242909698e-39,2.3741962578934751e-42,9.2643665547200275e-71,1.1753838902334512e-64,8.7490846625060767e-65,1.8839810499350879e-115,7.7643130538633283e-117,2.4656836817834658e-50,1.3892258766617778e-61,7.880634745905844e-63,6.5823542906064232e-85,1.7344305437695278e-51,3.561543299391559e-96
2.2302937042146367e-23,0.25302385596348415,76.950000000000003,0.0,0.0,0.0,0.99999999999997025,9.5,9.1984143436611828e-17,1.3072937760590713e-15,1.3072684773784414e-15,9.5794432241556781e-29,9.5796239221196979e-29,2.7028562132476179e-14,3.8442721476252829e-25,4.6442762821788828e-29,2.6059389478872114e-42,1.062095121006983e-46,5.7896405222921941e-32,1.0395350801750763e-24,1.8152049042184191e-30,2.5267867529104303e-42,2.2690033509306408e-46,6.1507820879856814e-48,1.6672714538210966e-61,5.5218918397218666e-41,8.6733834646039696e-30,5.2095463920637126e-42,5.2095463920638853e-42,1.4883301130580077e-55,2.3945330379615087e-56,1.4747940353868568e-43,3.0457099289536935e-30,1.8613556637737176e-43,1.4973417500490252e-44,1.7115351961815808e-98,1.7096788934568079e-55,1.7069532804972484e-45,1.5551958560209766e-98,1.2250217003178209e-26,4.8792018494236805e-69,4.8792018194698329e-69,7.6669589548301757e-39,2.2506402186638551e-39,6.2665587838154438e-28,7.6663465508717004e-39,2.3816660176362445e-51,1.5551958560209688e-98,2.283771239577668e-58,6.5668690133274642e-55,8.0548740526508281e-71,1.1573799491550618e-84,1.6178764550988066e-46,1.2629424992892405e-98,1.470303074384984e-33,7.010958795274186e-70,2.9855067160858085e-98,4.2422510861044424e-46,9.5942455936263897e-113,1.8747374466626178e-103,1.23439498406574e-116,9.4755280729073831e-67,5.5235336369754953e-46,1.1054431965270316e-67,4.8855194822062477e-46,1.4394969105038412e-59,8.9642511163003461e-37,1.3957579444272251e-59,1.1855995749228201e-60,5.6500913403256618e-50,6.7352566339904368e-49,1.612128100549516e-72,8.8639490157779663e-50,3.7039380269118705e-52,1.2057425901023549e-78,1.4629534437007666e-58,5.6704217470759779e-43,1.0385886745561998e-79,2.5298680670990523e-20,1.9465095349797027e-41,1.9268527758903648e-38,1.9465095349797027e-41,3.0459210307423783e-69,1.9305670543526363e-63,1.4370355023022607e-63,4.9589689064958147e-113,2.1263665678476747e-114,2.0215164526465311e-49,2.2560801523989222e-60,1.2943966225591788e-61,4.3300925098836387e-83,1.4219909496618876e-50,4.686790735511263e-94
4.491999995812578e-23,0.25302385596348415,76.950000000000003,0.0,0.0,0.0,0.99999999999994005,9.5,1.8526383818922851e-16,2.6330001405129457e-15,2.6329491868323177e-15,3.8721641133110452e-28,3.8722352573321748e-28,5.4437808235695845e-14,1.5539162666213458e-24,1.8772907287695748e-28,2.1103466217786863e-41,8.6011374850872403e-46,2.3402652674992172e-31,4.2019670012317571e-24,7.3373484491440343e-30,2.0462312899197094e-41,1.8374977310384724e-45,4.9810628046461339e-47,2.7027241965277688e-60,4.4717711763258423e-40,3.5059202718610388e-29,4.2188257349015914e-41,4.2188257349018723e-41,2.4126472493158917e-54,3.8816412417470514e-55,1.1943264463541162e-42,1.2311246499421426e-29,1.5073740750769934e-42,1.2125861702622596e-43,2.2636691420064108e-96,2.7714631611351649e-54,1.3823350222113932e-44,2.0568953982982458e-96,4.9517335765728852e-26,1.582557418193689e-67,1.5825573987586118e-67,6.208902140519379e-38,1.822626800732311e-38,2.5330432538835193e-27,6.2084061999175493e-38,3.8607832472819992e-50,2.056895398298225e-96,3.7020915934886388e-57,5.3180221387567877e-54,2.6125844048745996e-69,7.5094915177154954e-83,1.3101982995566504e-45,1.6390591765823307e-96,5.9432001078937715e-33,1.136506913053226e-68,3.8746199312377553e-96,3.4354849172530692e-45,2.4904344736483304e-110,2.4330526690412875e-101,3.2042056087855636e-114,3.0733648171783081e-65,4.4731007360776496e-45,3.5854785099182592e-66,3.9564203423326305e-45,2.333486523407516e-58,3.6234936272489933e-36,2.2625837748759545e-58,1.9219080018897826e-59,4.5755904558883403e-49,5.4543854446716567e-48,5.2285045966106371e-71,7.178255720756075e-49,2.9999986047313787e-51,7.8232693168121545e-77,2.3715105750578041e-57,4.5920545436699775e-42,6.7387176809280779e-78,5.0953680794012455e-20,1.5763338878716737e-40,7.7886470000115768e-38,1.5763338878716737e-40,9.8793718511087726e-68,3.1295177513827024e-62,2.3294825968351728e-62,1.2872285770362834e-110,5.6286146600480413e-112,1.6370764346861558e-48,3.5765087163712314e-59,2.0982727017104607e-60,2.8095117606548587e-81,1.151565138641142e-49,6.0825503706270583e-92
9.015412579008462e-23,0.25302385596348415,76.950000000000003,0.0,0.0,0.0,0.99999999999987976,9.5,3.7182322769445057e-16,5.2844128694195022e-15,5.2843106057391098e-15,1.5569801595559524e-27,1.5570072407034613e-27,1.0925630043321295e-13,6.2482289637830355e-24,7.5485034535236525e-28,1.6985739738693269e-40,6.9229500541864707e-45,9.4101037120164559e-31,1.6895924501158824e-23,2.9503155405690989e-29,1.6469428917913159e-40,1.4789780158399774e-44,4.0091926878506349e-46,4.352658251885104e-59,3.5992704776934743e-39,1.409715121715861e-28,3.3956779809881206e-40,3.3956779809885721e-40,3.8854940158043888e-53,6.2512635547861905e-54,9.6129782788574948e-42,4.9502980701616628e-29,1.2132657936369239e-41,9.7599484222414591e-43,2.9450956145185953e-94,4.4633559808237311e-53,1.1126234861636056e-43,2.6760773050446212e-94,1.9910702924393219e-25,5.0984194887957725e-66,5.098419363556892e-66,4.9974646042655633e-37,1.4670086139683787e-37,1.0185255515053076e-26,4.9970654281255924e-37,6.2176723975867063e-49,2.6760773050445685e-94,5.9621043813821184e-56,4.2804090546890083e-53,8.4167971688939186e-68,4.8390920975904572e-81,1.0545615760591997e-44,2.1125227572044624e-94,2.3897346242351975e-32,1.8303102489969507e-67,4.9938543386461439e-94,2.7651771417397578e-44,6.4198307923447719e-108,3.1358716126018883e-99,8.259805262204783e-112,9.9012541464854926e-64,3.6003406065816927e-44,1.1551096623532681e-64,3.184471292293106e-44,3.7580081064658573e-57,1.4569908508098633e-35,3.6438214167920357e-57,3.0951735878757149e-58,3.6828332662435512e-48,4.3901639253057724e-47,1.6841786104761716e-69,5.7776846891538963e-48,2.4153900032674055e-50,5.0412843263067017e-75,3.8192446711312932e-56,3.6960849920771525e-41,4.3424034696494863e-76,1.02263681058065e-19,1.268770650549664e-39,3.131780705089279e-37,1.268770650549664e-39,3.1827712401312951e-66,5.0399447149556006e-61,3.7515152072443544e-61,3.318212031937704e-108,1.4651157293674943e-109,1.3176615370354191e-47,5.5161843290031191e-58,3.3792034909631362e-59,1.8104384536071416e-79,9.2687980748110812e-49,7.8395661219316389e-90
1.8062237745400228e-22,0.25302385596348415,76.950000000000003,0.0,0.0,0.0,0.99999999999975919,9.5,7.4494200670484908e-16,1.0587238327227844e-14,1.0587033443548853e-14,6.2441868161361478e-27,6.2442831873771546e-27,2.1889328479255851e-13,2.5058192728815781e-23,3.0272874994399553e-27,1.362972028117773e-39,5.5552339566773861e-44,3.7738724657001424e-30,6.7760214123974807e-23,1.1832084878552204e-28,1.3215004402014731e-39,1.1867866879845147e-43,3.2171246418659188e-45,6.9869838577159507e-58,2.8881878837088081e-38,5.6535881485637194e-28,2.7248177274061611e-39,2.7248177274068858e-39,6.2370783978381632e-52,1.0034662449176678e-52,7.7138096614667685e-41,1.9852909332853857e-28,9.7356938967487688e-41,7.8317439453076647e-42,3.8004898766363748e-92,7.1646748310115429e-52,8.9281027684020585e-43,3.4533359992748753e-92,7.9850823991502339e-25,1.6369955490130319e-64,1.63699546858553e-64,4.0101506144679181e-36,1.1771820233988011e-36,4.0847430070017501e-26,4.0098303007584162e-36,9.9807412021361176e-48,3.4533359992747364e-92,9.5704979364735858e-55,3.4347621941877474e-52,2.702458411636553e-66,3.1076316274537068e-79,8.4621925065886172e-44,2.7133685167032825e-92,9.5839046780756324e-32,2.9380561982957353e-66,6.4142112047435103e-92,2.2188805113145417e-43,1.6491753495618244e-105,4.0277792565535651e-97,2.1218444670309076e-109,3.1790850574698314e-62,2.8890465683163388e-43,3.7088148761939539e-63,2.5553376610573602e-43,6.0324352773856491e-56,5.843184966808559e-35,5.8491403552169416e-56,4.968439085945558e-57,2.9552417593770123e-47,3.5228300649841739e-46,5.4059173028759345e-68,4.6362280826587827e-47,1.9393701333941471e-49,3.2374764315833869e-73,6.1307335309810724e-55,2.9658754278025706e-40,2.7886601866377779e-74,2.0488368165820485e-19,1.0181085421065037e-38,1.2559841367396306e-36,1.0181085421065037e-38,1.0219210961712478e-64,8.0900760914542152e-60,6.0218692378201284e-60,8.524077405836084e-106,3.781980481933606e-107,1.0573404000011098e-46,8.1627336981249454e-57,5.4243699548157492e-58,1.1626505163036617e-77,7.4376267265202896e-48,1.0069297895422306e-87
