Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987),C7H10(986),S(4381),S(4372),S(4886),S(3690)
0.0,0.16364860458106792,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.456296565042902e-22,0.16364860458106792,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,2.7769829892598608e-17,3.8525864397761287e-16,3.8525845928644396e-16,1.8960180786579378e-27,1.8960069988789417e-27,4.8790709421425495e-17,2.9143587443762086e-26,1.2410164471245338e-27,4.2682344099432303e-40,1.3454419070996838e-44,1.2938999247691559e-31,3.6645191155698902e-26,3.5470609436783775e-30,5.5872951546219269e-40,8.3345669743302886e-45,7.1862761617542216e-48,1.2436487602183965e-60,1.0176307247750054e-42,4.9425023560666435e-31,1.6878185703888868e-42,1.6878185703950205e-42,5.4368944850065778e-54,6.9684825246566762e-55,3.2150258734485105e-49,2.7250784082592233e-31,1.7556346432826764e-42,1.125100860893818e-43,3.6800983858612402e-97,2.4119461004470831e-54,3.3145135567423087e-47,3.4901098918935374e-97,3.8386045151116993e-28,5.9350971832975144e-66,5.93509515027656e-66,5.4974721339403018e-40,1.6731108559650937e-40,9.2034093261616304e-31,5.4973668115037043e-40,1.4123044555500796e-51,3.4901098918935332e-97,5.0416477409731205e-58,5.7732191114244845e-58,4.5843473075164064e-69,1.5480215220730768e-81,7.5675043066511835e-48,1.7190187299670037e-93,2.1826632543408417e-36,3.3133406792352164e-71,4.8210049118408025e-95,9.3612275268662785e-48,1.7844337309557198e-107,1.0396943874117502e-99,1.2198406752979422e-110,2.8424261327521862e-67,4.1781239622427692e-49,2.8878786353061481e-69,5.6073846711561116e-48,1.3798143072268327e-59,8.9568493356363986e-40,1.8062817532876028e-59,1.2220333403996728e-60,4.4080403321307092e-51,3.4290977152152517e-52,1.1169637501398617e-71,3.0423864343995501e-52,8.2203569810893225e-57,1.7249829842149151e-78,1.0703924273902533e-59,5.23710831532205e-44,1.5976059829096855e-79,1.8469240991105682e-22,3.0378876985495898e-42,7.9359703401185717e-40,3.0378876985495892e-42,1.2741376007604308e-71,1.799870631008306e-63,9.923161736170132e-64,1.4297065648970416e-108,2.3510294369513607e-113,2.5096846973918188e-50,5.1794823047790058e-61,3.1542471319071623e-61,5.8121898820670632e-85,2.1429312441992913e-51,3.4717278372953173e-94,6.2885636441444704e-65,5.8588683314721504e-77,7.041688964892371e-88,1.8872910560978132e-88,2.5974527328406214e-77,7.6735040738080251e-66,3.2153668871552242e-95,7.6735053011154804e-66,3.6695764221279002e-87,9.4519867332747567e-71,4.2556378738786107e-83,1.8875990578053305e-79,6.7092933652976779e-88,1.5478135503459874e-27,3.9219454487184591e-68,4.3013370639489504e-59,5.0575080028624377e-72,2.2686779603660714e-90,3.5922253513026886e-89,1.5800614683301305e-97,2.2031033383387959e-100,9.4379975419568923e-107,4.7778737343639487e-51,1.5135982066515553e-51,1.5135982066515553e-51,7.6387616548893039e-101,2.993544861653366e-103,3.1846425166446447e-108,1.2094730546196408e-89
2.367763038212013e-21,0.16364860458106792,76.950000000000003,0.0,0.0,0.0,0.99999999999999756,9.5,7.7755523699275933e-17,1.0787242031271491e-15,1.0787236859958955e-15,1.1451949194935018e-26,1.1451812355616537e-26,1.3661398615611319e-16,1.7602726791961544e-25,7.4957393360299304e-27,5.0671881381362247e-39,1.5973089251431069e-43,7.8151555455560048e-31,2.2133695427775502e-25,2.1424248099648882e-29,6.6330004806078423e-39,9.8947964956228716e-44,8.5315470591608813e-47,2.7819930095509681e-59,1.2081311949394485e-41,2.9852714230400743e-30,2.003778206744386e-41,2.003778206758107e-41,1.2162115437094411e-52,1.5588216655588664e-53,3.8168787062388728e-48,1.6459473563745158e-30,2.0842894369345654e-41,1.3357197392454785e-42,3.921430405723005e-95,5.3954269380025795e-53,3.934990486488422e-46,3.718982922295832e-95,2.3185171239570229e-27,2.4491341932970637e-64,2.4491326628903995e-64,6.5265989012388308e-39,1.9863172032651378e-39,5.5588592179727458e-30,6.5264738624437256e-39,3.1592685674064934e-50,3.718982922295826e-95,1.1277964301469491e-56,6.8670210793395225e-57,1.8917440703722538e-67,1.1653121563337239e-79,8.9841411002187053e-47,2.3464524811178545e-91,1.3183286056048141e-35,7.4252973710259497e-70,6.580649029407796e-93,1.1113649318638357e-46,4.4021829069430927e-105,1.4191779502469044e-97,3.0093378099782967e-108,1.1729350997632806e-65,4.9602687297088699e-48,1.1916912015049981e-67,6.6570870814830096e-47,3.0865894056498261e-58,5.4099369986647281e-39,4.040580022187104e-58,2.733639700919507e-59,5.2332254822432862e-50,4.0710248778075788e-51,4.609092537554951e-70,3.6119210638576481e-51,9.8858869394522842e-56,1.2985241311133397e-76,2.3944250394071456e-58,6.2174947709255766e-43,1.2026379042740943e-77,5.1713874945356324e-22,3.6065802570523289e-41,4.793326099289957e-39,3.6065802570523269e-41,5.2577644732634627e-70,4.0261814878345267e-62,2.2197410635575237e-62,3.5270737697287228e-106,4.3953127726464743e-111,2.979497672621476e-49,1.1232511907769594e-59,7.0559243162774309e-60,4.3752714585917783e-83,2.544087973084296e-50,4.7388913755339906e-92,1.406726532915964e-63,2.4176784229897043e-75,5.3008076944953541e-86,1.4207055953936802e-86,1.0718461430503768e-75,1.7165317034369154e-64,4.3889599432007969e-93,1.7165322098885731e-64,2.7623655316574488e-85,2.140590255077486e-69,1.7773491309134836e-81,7.7892303821182455e-78,2.8025111412817771e-86,9.3487924603235951e-27,1.6184017671215832e-66,9.6219189584751273e-58,2.0869945615497306e-70,1.7078041461061398e-88,2.70542457645749e-87,2.157795037285762e-95,3.008690546320677e-98,2.3294411362006891e-104,5.6722916859174399e-50,1.7969437872883657e-50,1.7969437872883657e-50,1.043179912023778e-98,4.0881396012502492e-101,7.860181411003039e-106,9.1046112680711706e-88
5.412029801627458e-21,0.16364860458106792,76.950000000000003,0.0,0.0,0.0,0.99999999999999456,9.5,1.7772691131262991e-16,2.4656553213855568e-15,2.4656541393902103e-15,5.5136205724988896e-26,5.5134834775947775e-26,3.1226053872997592e-16,8.4749551925398818e-25,3.6088758213347678e-26,4.9748687974396948e-38,1.5682475032297256e-42,3.7626609811541424e-30,1.0656421542677289e-24,1.0314853223963962e-28,6.5118186734961914e-38,9.7147668747443467e-43,8.3763234939121173e-46,5.4967498142669076e-58,1.1861503681060878e-40,1.4372796851079126e-29,1.967321325579254e-40,1.9673213256063646e-40,2.4030290395382023e-51,3.0799689217064735e-52,3.7474341248620656e-47,7.9245279780069843e-30,2.0463677043413389e-40,1.3114175547540788e-41,8.9242581009894606e-93,1.0660454375358334e-51,3.8633969767030475e-45,8.4635349956244768e-93,1.1162661882388172e-26,9.688528883402863e-63,9.6885167829510243e-63,6.4078534691780184e-38,1.9501779984093841e-38,2.6763514095044818e-29,6.4077307053509471e-38,6.242182274560618e-49,8.4635349956244495e-93,2.2283356834005999e-55,6.769735781246383e-56,7.4835520208610055e-66,9.2137735765998114e-78,8.8206829806561067e-46,3.7068201405557058e-89,6.3471847433673557e-35,1.4729455552242605e-68,1.0395813491444413e-90,1.0911446801417744e-45,1.3896383761623127e-102,2.2419535289859465e-95,9.4995870924127271e-106,4.6400145868938605e-64,4.870021171766366e-47,4.7142118540014668e-66,6.5359675723476317e-46,6.0985805003032071e-57,2.6046517867135813e-38,7.9835051904817975e-57,5.4012113903745076e-58,5.1380118109384554e-49,3.9969565147973986e-50,1.8232327877546263e-68,3.5462052836454984e-50,9.974353396794339e-55,1.0267039781804359e-74,4.7309803612585124e-57,6.1043727671626664e-42,9.5088962256610614e-76,1.1820314353489924e-21,3.5409618435655908e-40,2.3077801956742815e-38,3.5409618435655888e-40,2.0799193284890338e-68,7.9548091696300551e-61,4.3857022972686244e-61,1.1133922599674512e-103,1.9975497714401995e-108,2.9252884829113571e-48,2.0802058971814455e-58,1.3941315919632075e-58,3.4593955597236154e-81,2.4978006581484699e-49,7.4862868814893383e-90,2.779454575240541e-62,9.5640954224257039e-74,4.191189257110935e-84,1.1233091862895836e-84,4.2401167505494962e-74,3.3915753798630231e-63,6.9334809867088182e-91,3.3915773833336658e-63,2.1841193527444378e-83,4.3428193981597973e-68,7.2168131698749488e-80,3.081342093277638e-76,1.13801411322306e-84,4.5010397287574837e-26,6.4022364139451415e-65,1.9011290429510848e-56,8.2559405207368442e-69,1.3503093926439784e-86,2.1395335770944479e-85,3.4094888986043981e-93,4.7541295845123408e-96,7.3548757768375661e-102,5.5690895890643542e-49,1.7642500583631351e-49,1.7642500583631351e-49,1.6483081838902368e-96,6.4597121242054141e-99,2.4817393745284145e-103,7.1987423568420683e-86
1.1500563328458349e-20,0.16364860458106792,76.950000000000003,0.0,0.0,0.0,0.99999999999998845,9.5,3.7766968653933519e-16,5.2395175577397179e-15,5.2395150460804835e-15,2.4079429596492411e-25,2.4078205202241259e-25,6.6355364029565081e-16,3.7012355680481142e-24,1.5760908807146722e-25,4.3999899818917185e-37,1.3870972082060843e-41,1.643252904379773e-29,4.6539392298604782e-24,4.504767398210363e-28,5.7587396695622125e-37,8.5925959477375041e-42,7.4087632712420345e-45,9.7811728548324103e-57,1.049136562161557e-39,6.2769779918298771e-29,1.7400734331894583e-39,1.7400734332377005e-39,4.276061705079035e-50,5.4806401143309335e-51,3.3145630047084868e-46,3.4608495441713453e-29,1.8099890165139154e-39,1.1599339652692027e-40,1.5081601661897623e-90,1.8969708807248651e-50,3.4171308438838631e-44,1.430299998174704e-90,4.8750276850499869e-26,3.4577654013988699e-61,3.4577567525211668e-61,5.667673765907216e-37,1.7249103359283623e-37,1.1688329611277625e-28,5.6675651826985365e-37,1.1107629723411788e-47,1.4302999981746949e-90,3.9652042439850445e-54,6.0369483027473946e-55,2.6708266320454315e-64,6.5856202713344785e-76,7.8017941577144235e-45,5.3024855046749054e-87,2.7719823327485352e-34,2.6418778240239552e-67,1.4870872677378227e-88,9.6510511229131343e-45,3.9769669169004155e-100,3.2070415319188318e-93,2.7186602842243896e-103,1.6559882307733074e-62,4.3074784310038286e-46,1.6824687039662127e-64,5.7809892998360527e-45,1.0852098045482247e-55,1.1375198655333577e-37,1.420622079573646e-55,9.6111670801472391e-57,4.5445132604079734e-48,3.5352630381575644e-49,6.5064270470517741e-67,3.1365779953983609e-49,9.2995403287649691e-54,7.3384506355240665e-73,8.4185267007497257e-56,5.3992477498935321e-41,6.7965613328805586e-74,2.5118168343815145e-21,3.1319405801826853e-39,1.0078682546459216e-37,3.13194058018268e-39,7.4230842694441988e-67,1.4154274985246696e-59,7.803651085219702e-60,3.18638504137994e-101,6.769496166193131e-106,2.587384534883934e-47,3.2864656532183872e-57,2.4807821419198711e-57,2.4726312644180487e-79,2.2092763953302297e-48,1.0708889168089026e-87,4.9458909105724249e-61,3.4133577292556347e-72,2.9956868371615423e-82,8.0289442429703225e-83,1.513267550303392e-72,6.0351200063065835e-62,9.918118371634359e-89,6.0351271565384539e-62,1.5611171711368377e-81,8.1331416183908822e-67,2.7086956099411881e-78,1.0997091169637449e-74,4.2714530947064944e-83,1.9657210641037185e-25,2.2849126772289855e-63,3.3829575548475331e-55,2.9464847955985302e-67,9.65144701727229e-85,1.5293969383115998e-83,4.877636671035634e-91,6.8017400618630959e-94,2.1050763326200537e-99,4.9257966301882994e-48,1.5604591833786596e-48,1.5604591833786596e-48,2.3580814342174963e-94,9.2416617174616762e-97,7.1031122531306736e-101,5.1453600232273297e-84
2.3677630382120127e-20,0.16364860458106792,76.950000000000003,0.0,0.0,0.0,0.99999999999997624,9.5,7.7755523699273505e-16,1.0787242029797446e-14,1.0787236859067605e-14,1.0052687850827328e-24,1.0051653840245715e-24,1.3661398290987992e-15,1.5451929726895635e-23,6.5798691384529425e-25,3.6980780235017249e-36,1.1659388033642881e-40,6.8602574004325561e-29,1.9429279928532038e-23,1.8806517121032243e-27,4.8390707885657989e-36,7.2225856589746522e-41,6.2275119404865711e-44,1.6497377529734425e-55,8.8186248612320549e-39,2.6205147488492498e-28,1.4626365677502986e-38,1.4626365678316653e-38,7.2122028066249223e-49,9.243900553408869e-50,2.7860898549120412e-45,1.44483654117296e-28,1.5214047550537846e-38,9.7499437127549764e-40,2.2082786962853332e-88,3.1995186007978245e-49,2.8723043206695427e-43,2.0942742595083863e-88,2.0352280696845419e-25,1.1682996043925989e-59,1.1682937551785341e-59,4.7640212006744648e-36,1.4498910396992098e-36,4.8796474150780182e-28,4.7639299299552142e-36,1.8734640663535033e-46,2.0942742595083587e-88,6.6878963716896181e-53,5.1571760470955893e-54,9.0241194871754585e-63,4.453858148275105e-74,6.5578780028124866e-44,7.1750333503750475e-85,1.1572480572136186e-33,4.5262766506962612e-66,2.0122451502615135e-86,8.1122899802921252e-44,1.0764990217344697e-97,4.3395932210551939e-91,7.3589630403930332e-101,5.5952098450278268e-61,3.6206949237395553e-45,5.684681349252936e-63,4.8592698365283128e-44,1.8303649162185135e-54,4.7489215169222508e-37,2.3960867345753736e-54,1.6210638066909647e-55,3.8199372224434791e-47,2.9716020448030041e-48,2.1979954096412595e-65,2.6364820941209718e-48,8.6198368423145093e-53,4.9629975877473802e-71,1.4199075499366442e-54,4.5383916618029014e-40,4.5965176040676159e-72,5.1713877414132161e-21,2.6325846528987901e-38,4.2076516673492154e-37,2.6325846528987817e-38,2.5080923532247322e-65,2.3870274535022335e-58,1.3160406144221336e-58,8.6250112633269942e-99,1.9854706642893244e-103,2.1748526025555018e-46,4.5234421232387309e-56,4.1841998662190364e-56,1.6722416792676786e-77,1.8570299289794455e-47,1.4490682788966371e-85,8.3419679260110792e-60,1.1532964359563037e-70,2.0259844663520472e-80,5.4299787139130813e-81,5.1129890359079225e-71,1.0179087802019236e-60,1.342065502818353e-86,1.0179111960951897e-60,1.055784277319292e-79,1.5085614072339082e-65,1.0051500038011271e-76,3.7156686328194447e-73,1.5850879694306541e-81,8.2064881404357829e-25,7.720203362006864e-62,5.7058523792190412e-54,9.9554944664050262e-66,6.5272784189941955e-83,1.0343803766375107e-81,6.6004615330545015e-89,9.2053983036352127e-92,5.6983615986438157e-97,4.1404287961639431e-47,1.311659945222146e-47,1.311659945222146e-47,3.1909800686312213e-92,1.2506863187718558e-94,1.9227854842683861e-98,3.4798094662735346e-82
4.8031764489443683e-20,0.16364860458106792,76.950000000000003,0.0,0.0,0.0,0.99999999999995182,9.5,1.5773263378994926e-15,2.1882690971310832e-14,2.1882680483468158e-14,4.1068509972191351e-24,4.106001353288392e-24,2.7713121493922987e-15,6.3126173303689863e-23,2.6880912107725593e-24,3.0312869818667597e-35,9.5590708337559988e-40,2.8026389924598261e-28,7.9374946276098383e-23,7.6830758844551296e-27,3.9649100245193148e-35,5.9214973706468985e-40,5.1056905384679595e-43,2.7096990925251784e-54,7.2300413027837044e-38,1.0705657800478919e-27,1.1991578267995763e-37,1.1991578269332212e-37,1.1846063908311642e-47,1.5183134197840757e-48,2.2842046800863063e-44,5.9026285739236815e-28,1.2473394173162651e-37,7.9935926306382368e-39,3.0196343265000248e-86,5.255218723276361e-48,2.3548885354491267e-42,2.8637429024509598e-86,8.3145705494515445e-25,3.8411057616354909e-58,3.8410672838952572e-58,3.9058322422049806e-35,1.1887082217545471e-35,1.9934950961778183e-27,3.9057574129718446e-35,3.0771702264268378e-45,2.8637429024508851e-86,1.0984889372893829e-51,4.3638791579995682e-53,2.9669329226608723e-61,2.9298965280993382e-72,5.3765444656343034e-43,9.4419400737093749e-83,4.7277359134183237e-33,7.6655832097489324e-65,2.6480013674109244e-84,6.6509454366901945e-43,2.8335223141490279e-95,5.7106605447706988e-89,1.9370000355069052e-98,1.8395825056611305e-59,2.9684640538702665e-44,1.8689987591286538e-61,3.9839229955235103e-43,3.0063797503931138e-53,1.9400893927916468e-36,3.9355795083285891e-53,2.6626021664801587e-54,3.1318153251977354e-46,2.4362996237963888e-47,7.224035797147468e-64,2.1615461557801551e-47,8.3839336278364814e-52,3.2648254108907067e-69,2.3322023293403559e-53,3.7208453847996441e-39,3.023742655349157e-70,1.0490529991343245e-20,2.1583517584752402e-37,1.7189630829569506e-36,2.1583517584752272e-37,8.2460585816981825e-64,3.9197214319984394e-57,2.1610778342226562e-57,2.2702421286113631e-96,5.4342954176713301e-101,1.7830755617225593e-45,5.4223383108682876e-55,6.8725548828169245e-55,1.1000563757910006e-75,1.5225053324973603e-46,1.9068922830619876e-83,1.3701707363622213e-58,3.7917863878383057e-69,1.3327602622538057e-78,3.57202114742485e-79,1.6810389287581886e-69,1.6719102777789963e-59,1.7660826550171976e-84,1.671918220651728e-59,6.9453013371244826e-78,2.9271967456404979e-64,3.8961597427428369e-75,1.2216306006363568e-71,6.1441754219148517e-80,3.35260971900071e-24,2.5382338532867007e-60,9.3718796648184416e-53,3.2731410610108752e-64,4.2938619301170408e-81,6.8046462311018032e-80,8.6860217334077138e-87,1.2117263788887863e-89,1.4999346329212587e-94,3.3945735615181648e-46,1.0753780323231966e-46,1.0753780323231966e-46,4.1992484392951097e-90,1.646121730599114e-92,5.0611960973059354e-96,2.2891348844768795e-80
9.67400327040908e-20,0.1636486045810679,76.950000000000003,0.0,0.0,0.0,0.99999999999990308,9.5,3.176868539712837e-15,4.4073588843931619e-14,4.4073567725974507e-14,1.660054835188741e-23,1.6593661068481866e-23,5.5816565607281722e-15,2.5516607360617415e-22,1.0865694235340286e-23,2.4538098661872105e-34,7.7411834496330342e-39,1.1328714908488448e-27,3.208462088543587e-22,3.1056221134789901e-26,3.2069216475385978e-34,4.795358249682562e-39,4.1347205707761745e-42,4.3925385473459608e-53,5.8550746436527833e-37,4.3273980505004141e-27,9.7110909804982686e-37,9.7110909826647098e-37,1.9202977293686752e-46,2.4612514110897223e-47,1.8498079914580236e-43,2.3859367350879916e-27,1.0101276047838739e-36,6.4734180874429378e-38,3.9937554636405844e-84,8.5189354098107755e-47,1.9070496546364806e-41,3.7875741319962294e-84,3.3608821979726943e-24,1.2458484329321462e-56,1.2458234677072909e-56,3.1630439429333629e-34,9.626466541997405e-35,8.0580251685715523e-27,3.1629833443075812e-34,4.9882251256017279e-44,3.7875741319960328e-84,1.7806977423084201e-50,3.7537982567490785e-52,9.6231748472629768e-60,1.9010166441155639e-70,4.3540648918176183e-42,1.2253815804171574e-80,1.9110264453549638e-32,1.3175692015706616e-63,3.4365946780314816e-82,5.386108030868063e-42,7.355123582168049e-93,7.411335420704707e-87,5.0279734015574657e-96,5.9666412725369647e-58,2.403938509164006e-43,6.0620520583927638e-60,3.2262841300425503e-42,4.8734707376389841e-52,7.8421515163228586e-36,6.379743498120716e-52,4.316192839015685e-53,2.5362252470921803e-45,1.9729797844077366e-46,2.3414838004245979e-62,1.7504742488584721e-46,8.9224489698720577e-51,2.1183298977962867e-67,3.7806002012272642e-52,3.0132333406122845e-38,1.9619072044535794e-68,2.1128816234669717e-20,1.7478888987823872e-36,6.9483243034292638e-36,1.7478888987823665e-36,2.6745891159994979e-62,6.3508678228145138e-56,3.5015064343271652e-56,5.8929741479195653e-94,1.4380622616442961e-98,1.4439808179087969e-44,5.6928793920271447e-54,1.1140688295730129e-53,7.1375403793739796e-74,1.2329642913827923e-45,2.4747781195828105e-81,2.2211058069428102e-57,1.2298568471359412e-67,8.6474034450418262e-77,2.3176489134159208e-77,5.4524094662029638e-68,2.7102128322747543e-58,2.2920344057912001e-82,2.7102385944303568e-58,4.506348111126926e-76,6.2020597217640493e-63,1.6473804872452455e-73,3.9623298829683772e-70,2.5979099222547329e-78,1.3551716145196796e-23,8.2326999858726569e-59,1.5192220793029298e-51,1.0616304583606584e-62,2.7860043425678517e-79,4.4151182678681018e-78,1.1272854232512327e-84,1.5734327641599089e-87,3.893485513793307e-92,2.7490134864250368e-45,8.70868950205391e-46,8.70868950205391e-46,5.4498718504813248e-88,2.1370209527948581e-90,1.3137701721211562e-93,1.4852688017980666e-78
1.9415656913338505e-19,0.16364860458106792,76.950000000000003,0.0,0.0,0.0,0.99999999999980549,9.5,6.3759529433388444e-15,8.8455384547567496e-14,8.8455342185808123e-14,6.6750074741145443e-23,6.669462938239746e-23,1.1202344466395931e-14,1.0260114637067536e-21,4.3690476800897321e-23,1.9734238701345658e-33,6.2307779541858992e-38,4.5552264372303943e-27,1.2901083742013118e-21,1.2487569921384925e-25,2.5748491196212967e-33,3.8596831193475704e-38,3.3279828259223703e-41,7.0740464178727156e-52,4.7126730429875685e-36,1.7400277225573674e-26,7.8163308611529077e-36,7.816330864641896e-36,3.0925793972027449e-45,3.9637692928894851e-46,1.48888611064776e-42,9.5937457946603175e-27,8.1303826183251137e-36,5.2103692904236762e-37,5.1959853448227787e-82,1.3719480909844811e-45,1.534959252725974e-40,4.9277377800167536e-82,1.3513958241212585e-23,4.013634376752246e-55,4.0134735075598594e-55,2.5458925054628247e-33,7.7482164186268031e-34,3.2400958825846212e-26,2.5458437304607671e-33,8.0333814474114025e-43,4.9277377800162433e-82,2.8677582958923553e-49,3.375239057854701e-51,3.1002333171772381e-58,1.2250074802144248e-68,3.5045298774872517e-41,1.5793470438005596e-78,7.6841532800017368e-32,2.3632989400471079e-62,4.4292942973425547e-80,4.335208289974767e-41,1.8959980935186254e-90,9.552184969621815e-85,1.2961071268240029e-93,1.9222326496233867e-56,1.9348978129362755e-42,1.9529704232842488e-58,2.5967941451578451e-41,7.8485731214084953e-51,3.1532946313085995e-35,1.0274378679481031e-50,6.9510954672899601e-52,2.0413747237821168e-44,1.5880276813916886e-45,7.5330186059483387e-61,1.4089309530779552e-45,1.0615101130340331e-49,1.3650432618222605e-65,6.0885391855094482e-51,2.425306347228296e-37,1.2642451174950397e-66,4.240539569518775e-20,1.4068525427166963e-35,2.793891192290883e-35,1.4068525427166629e-35,8.6165436963883796e-61,1.0217682969368012e-54,5.6336201066058766e-55,1.5190794837598426e-91,3.7426858952309746e-96,1.1622413837353962e-43,5.3665880339758473e-53,1.7941672800446007e-52,4.5994023382813202e-72,9.9239692638540721e-45,3.1896460382056124e-79,3.5770224248063617e-56,3.9621477936808318e-66,5.5723533260495903e-75,1.4934835836322908e-75,1.75656633587396e-66,4.3646311959301892e-57,2.9541147280243395e-80,4.3647141898156002e-57,2.9038727278383363e-74,1.4680973912618867e-61,7.7793407650976398e-72,1.2765175536361185e-68,1.2268062669261436e-76,5.4490304729216214e-23,2.6522735295369027e-57,2.446660321986174e-50,3.4201517273128374e-61,1.7952906460579109e-77,2.8450747866403487e-76,1.4529076662762882e-82,2.0300803704843563e-85,1.0036548769968154e-89,2.2126449004173366e-44,7.0095099612560303e-45,7.0095099612560303e-45,7.0241519336878067e-86,2.7560080771091526e-88,3.3866104087587447e-91,9.5710142072552694e-77
3.8898964199197354e-19,0.16364860458106792,76.950000000000003,0.0,0.0,0.0,0.99999999999961031,9.5,1.2774121750588135e-14,1.7721897578856272e-13,1.7721889100475907e-13,2.6769765390607998e-22,2.6725295675844137e-22,2.2443716609719565e-14,4.1147640970911377e-21,1.7521833834642037e-22,1.5809613859173899e-32,4.9998069662171401e-37,1.8268495372285795e-26,5.1739106309210268e-21,5.0080740533276546e-25,2.0560192673241545e-32,3.0970910247428962e-37,2.6704966255594742e-40,1.1355406318168736e-50,3.7816226648869852e-35,6.9782894061687894e-26,6.2721132514861368e-35,6.2721132570867314e-35,4.964271957483954e-44,6.3627268239267497e-45,1.1947368707491271e-41,3.8475204487328285e-26,6.524114984498099e-35,4.1809919966654025e-36,6.7051438186504629e-80,2.2022799027347004e-44,1.2317077806550872e-39,6.3589845473086246e-80,5.419700670754498e-23,1.288673081116689e-53,1.2885697794608436e-53,2.0429176973249695e-32,6.2174535629445186e-33,1.2994228867255135e-25,2.0428785585280682e-32,1.2895352050067322e-41,6.3589845473073055e-80,4.6033855009365846e-48,3.2763112692563307e-50,9.9541948218732489e-57,7.866906401516476e-67,2.8121639693797803e-40,2.0285445665623701e-76,3.0816891420050418e-31,4.5686015596696108e-61,5.6890731636436068e-78,3.4787315761371874e-40,4.8705807197307426e-88,1.2269016954677679e-82,3.3295363020947414e-91,6.1718838844907851e-55,1.5526319747596222e-41,6.2705759033181425e-57,2.0837637561708057e-40,1.2598694008802986e-49,1.2646121798046339e-34,1.649264824338751e-49,1.1158047534907657e-50,1.6380746518389395e-43,1.2742952619787165e-44,2.4120539234055019e-59,1.1305735274716269e-44,1.4028342445069699e-48,8.7662056805487127e-64,9.7734509461848374e-50,1.9461459889716599e-36,8.1188876664048184e-65,8.4958582511679541e-20,1.1289097531121739e-34,1.1204757688737974e-34,1.12890975311212e-34,2.7665905695708589e-59,1.6369013287114378e-53,9.0257670275558521e-54,3.90228898494325e-89,9.6604710658761696e-94,9.3262551190369462e-43,4.7029276240103339e-52,2.8800158475457445e-51,2.9537018152141936e-70,7.9633603318392603e-44,4.0968444364348944e-77,5.7419131686674539e-55,1.2721626506728796e-64,3.5785253338272353e-73,9.5910391765897827e-74,5.6399661012554567e-65,7.0059331757147806e-56,3.7943233956873433e-78,7.0061996367107599e-56,1.8648455144052966e-72,3.8631995365779656e-60,4.0852410129852219e-70,4.0986314480581986e-67,6.442495118573278e-75,2.1852608305733423e-22,8.5158912774708023e-56,3.9274316647786919e-49,1.0981183096232906e-59,1.1529230647976483e-75,1.8270569694421709e-74,1.8661084478963424e-80,2.6129580050948081e-83,2.5782150721569385e-87,1.77550768399313e-43,5.6246887133923157e-44,5.6246887133923157e-44,9.0219356539977064e-84,3.5441657055048672e-86,8.6996141945837388e-89,6.1464360369855376e-75
