Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133)
0.0,0.33929275357481203,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6437311299061635e-24,0.33929275357481203,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,3.9672541404183826e-18,3.8993856904062864e-17,3.899385690406303e-17,3.5575265740974786e-31,3.5575263128810119e-31,4.0242169317707101e-16,9.4986958684802876e-28,1.8384645219966824e-31,1.2836146302492732e-45,3.2454446796669549e-50,5.7058964188971441e-49,2.1780916334333591e-27,4.0434181413447203e-33,1.3266957592505676e-45,5.566423176071883e-50,4.5273482385334572e-66,2.6001651237595625e-66,8.6410430509489885e-45,1.3776826665093554e-32,1.0077149482062996e-45,1.007714948206305e-45,4.751128325338085e-60,7.2505159026901227e-61,3.4355568430435659e-48,2.9942192755779255e-34,2.823401605342937e-48,2.1543428042160647e-49,1.9781449464363523e-106,2.5452357567606396e-61,2.4803374059378713e-51,1.8136022964574267e-106,2.5091871185152396e-29,1.1610474769729704e-75,1.1610474754036238e-75,1.5732794452384365e-42,4.6602774961147193e-43,6.6649330345752766e-31,1.5731841060606143e-42,6.7939312220239331e-56,1.8136022964574262e-106,4.9643830196073061e-65,2.6001651239374247e-66,1.7786253339184231e-76,4.5914450689760373e-91,1.1878949860928576e-51,8.4526812903889386e-106,1.0937375092536398e-36,3.7914497367014768e-82,1.1303315034441797e-105,4.7385160781919892e-50,6.3087524106683026e-121,6.1086200544858239e-111,7.7111748714829167e-125,2.1468078888209866e-72,3.0800575179139352e-50,1.5058653217270054e-73,4.7233997497115759e-50,2.1546496631924913e-64,6.087444864522797e-40,2.2269669000056388e-64
7.402447163737258e-24,0.33929275357481203,76.950000000000003,0.0,0.0,0.0,0.99999999999999867,9.5,1.1108311593171466e-17,1.0918279933137415e-16,1.0918279933137517e-16,2.1487460507541532e-30,2.148745740637985e-30,1.1267807408854299e-15,5.7372123045180398e-27,1.1104325712793131e-30,1.5239065330809624e-44,3.852991923728974e-49,8.622750668585592e-48,1.3155673465836471e-26,2.4422245573721746e-32,1.5750510973750484e-44,6.6084575886626888e-49,1.276784640887947e-64,5.8164653749500153e-65,1.0258646310014343e-43,8.3212033057158304e-32,1.1963591865104242e-44,1.1963591865104364e-44,1.0628084018338332e-58,1.6219114053550093e-59,4.0786930839949599e-47,1.8085084424491413e-33,3.3519423857606033e-47,2.5576357771410757e-48,2.1078669444755869e-104,5.693590578390926e-60,2.94465656833176e-50,1.9325339824134345e-104,1.5155490195715672e-28,4.7910949200319595e-74,4.7910949082183117e-74,1.8677973573648656e-41,5.5326814433209753e-42,4.0256195528314633e-30,1.8676841706929949e-41,1.5197752386246176e-54,1.9325339824134333e-104,1.1105126239545982e-63,5.8164653756839682e-65,7.3395472415602608e-75,3.4563252452873402e-89,1.4102689274883895e-50,1.1537868306006658e-103,6.6061745558911352e-36,1.5645523499198644e-80,1.5428969318528001e-103,5.6255662880176168e-49,1.5563636235208915e-118,8.3382362711793874e-109,1.9023400005980515e-122,8.8588628637425828e-71,3.6566442844042751e-49,6.2139954142662423e-72,5.607620182856878e-49,4.8198651104032284e-63,3.6768166981717215e-39,4.981635876531197e-63
1.6919879231399447e-23,0.33929275357481203,76.950000000000003,0.0,0.0,0.0,0.99999999999999689,9.5,2.5390426498677604e-17,2.4956068418598925e-16,2.4956068418599414e-16,1.0345287277464616e-29,1.0345284232726108e-29,2.5754988362606738e-15,2.7622207584879877e-26,5.3462548298661019e-30,1.4961788695729752e-43,3.7828903187044457e-48,9.2759616916474619e-47,6.333890469872685e-26,1.1758259955029907e-31,1.5463900421784403e-43,6.4882228355228454e-48,2.7772854788720777e-63,1.1492355421370341e-63,1.0071999779962032e-42,4.0063011942081947e-31,1.1745925436289697e-43,1.1745925436289938e-43,2.0999303033562817e-57,3.2046236214771274e-58,4.0044850560458609e-46,8.7071896533816975e-33,3.2909569108698726e-46,2.5111019725191053e-47,4.7970119852881123e-102,1.1249575530603186e-58,2.8910812803680519e-49,4.3979951865132251e-102,7.2967161404677627e-28,1.8953095020452897e-72,1.8953094927045928e-72,1.8338145213010835e-40,5.4320194492654159e-41,1.9381625263764851e-29,1.8337033939555369e-40,3.0028197674163209e-53,4.3979951865132195e-102,2.194185807554008e-62,1.1492355424273786e-63,2.903451899348987e-73,2.7328124422842518e-87,1.3846103957865722e-49,1.8227004133096438e-101,3.1805886769083088e-35,6.1892135074073312e-79,2.4373990071621802e-101,5.5232143407036546e-48,4.9129772299660548e-116,1.3172369710303587e-106,6.0051217887008943e-120,3.5044780506848145e-69,3.5901150402047221e-48,2.4581947899291368e-70,5.5055947482616201e-48,9.5232412406766633e-62,1.7702289666031566e-38,9.8428730141271864e-62
3.595474336672383e-23,0.339292753574812,76.950000000000003,0.0,0.0,0.0,0.99999999999999345,9.5,5.3954656309689783e-17,5.3031645389518951e-16,5.303164538952111e-16,4.5180587490925866e-29,4.5180560560566134e-29,5.472935026845269e-15,1.2063343752287148e-25,2.3348499428321943e-29,1.3233504179763384e-42,3.3459236471245357e-47,8.5262069039884218e-46,2.7661763743037935e-25,5.1351410395072373e-31,1.367756536945709e-42,5.7387595987393363e-47,5.1486192163211511e-62,2.0450032433531777e-62,8.9085697433357485e-42,1.7496569864658372e-30,1.0389138030021514e-42,1.0389138030021946e-42,3.7367137754977252e-56,5.7024565118319631e-57,3.5419216824721867e-45,3.802658479985075e-32,2.9108141183768473e-45,2.2210412572767923e-46,8.1067381866504151e-100,2.0018018593384432e-57,2.5571286520398696e-48,7.432417436637143e-100,3.1866676403339849e-27,6.7642249688134495e-71,6.764224902050057e-71,1.6219881767184585e-39,4.8045596869620394e-40,8.4644649531045464e-29,1.6218898858399501e-39,5.3433573358061197e-52,7.4324174366371237e-100,3.9044364096515962e-61,2.0450032443893966e-62,1.036221359245446e-71,1.9533000640281559e-85,1.2246722148554359e-48,2.6073135147041211e-99,1.389046636750804e-34,2.2088863384814156e-77,3.4866198118447354e-99,4.8852205358952632e-47,1.4060310717661974e-113,1.8842645408805223e-104,1.7185888372195327e-117,1.2507233236985397e-67,3.1754160930494534e-47,8.7731225976913832e-69,4.8696362059580403e-47,1.6946098960300222e-60,7.7310549779432013e-38,1.7514866624322273e-60
7.402447163737258e-23,0.33929275357481203,76.950000000000003,0.0,0.0,0.0,0.99999999999998646,9.5,1.1108311593171373e-16,1.0918279933134702e-15,1.0918279933135605e-15,1.8862005895763929e-28,1.886198325918666e-28,1.1267807407350881e-14,5.0362085488537159e-25,9.7475388946940799e-29,1.1123509722681289e-41,2.8124504326000676e-46,7.2943495171234159e-45,1.1548241839054525e-24,2.1438202985404694e-30,1.1496684206511918e-41,4.8237731911031644e-46,8.8491609587858258e-61,3.4491968723193927e-61,7.4881896504097426e-41,7.3044734978232053e-30,8.732696506752924e-42,8.7326965067536504e-42,6.302513950327238e-55,9.6180263950839656e-56,2.9771985904882815e-44,1.5875350599124083e-31,2.4467146555534453e-44,1.8669190043624685e-45,1.1870050434911179e-97,3.3763314250118615e-56,2.1494207106127487e-47,1.0882696319400297e-97,1.3303710100744485e-26,2.2854787250295852e-69,2.2854786798774716e-69,1.3633787945102333e-38,4.0385219129085967e-39,3.5337474942063643e-28,1.3632961751046288e-38,9.0123531474641375e-51,1.0882696319400243e-97,6.5854026893243257e-60,3.4491968758205425e-61,3.5011577736108237e-70,1.3210177785675472e-83,1.0294107886158483e-47,3.5280740552282608e-97,5.798996274050932e-34,7.4633277049006427e-76,4.717903247634708e-97,4.1063222169632314e-46,3.8058930686651749e-111,2.5496837282975482e-102,4.6519351351718906e-115,4.225911432768657e-66,2.6691285539092821e-46,2.9642398429900697e-67,4.0932226486956986e-46,2.8582072781475585e-59,3.2275632671693122e-37,2.9541382583144029e-59
1.5016392817867008e-22,0.33929275357481203,76.950000000000003,0.0,0.0,0.0,0.99999999999997247,9.5,2.2534003517575991e-16,2.214851072149552e-15,2.2148510721499212e-15,7.7057448604726717e-28,7.7057263016599121e-28,2.2857552165707792e-14,2.0574555193760013e-24,3.9821876924363189e-28,9.1196467430557291e-41,2.3058167860196245e-45,6.0311092450434599e-44,4.7178336004889196e-24,8.7582054308740759e-30,9.4254571924594833e-41,3.9548206401084925e-45,1.4666835335122402e-59,5.6653162149703748e-60,6.139270292017174e-40,2.9841157629579668e-29,7.1595922035262302e-41,7.1595922035274232e-41,1.0351898083364568e-53,1.5797637232794852e-54,2.4408872785549274e-43,6.4855987196811797e-31,2.0059644978299009e-43,1.5306129940196697e-44,1.6231289927972895e-95,5.545634503172947e-55,1.7622249611120918e-46,1.4881166691488974e-95,5.4349996648143436e-26,7.5141539304978266e-68,7.5141536334721556e-68,1.117780307385897e-37,3.3110242607287787e-38,1.4436511544069318e-27,1.1177125710059407e-37,1.4802817104155807e-49,1.4881166691488826e-95,1.081654369202003e-58,5.665316226481391e-60,1.1511040741426516e-68,8.6900961738736632e-82,8.4397315887652218e-47,4.6427470881202704e-95,2.3690791945337053e-33,2.4537788617020063e-74,6.2084954063154777e-95,3.3666110468812191e-45,1.0017736352442215e-108,3.3552404317694293e-100,1.2244658186188834e-112,1.3893872213494347e-64,2.1883128414769538e-45,9.7457720645172484e-66,3.3558712294893909e-45,4.6946140340710077e-58,1.3185649074345241e-36,4.8521809581963419e-58
3.024428412612651e-22,0.339292753574812,76.950000000000003,0.0,0.0,0.0,0.9999999999999446,9.5,4.538538736638457e-16,4.4608972298198006e-15,4.4608972298212907e-15,3.114785276827625e-27,3.1147702474537851e-27,4.6037041671804374e-14,8.3165641659762695e-24,1.6096639346558275e-27,7.3851991003833466e-40,1.8673102161030736e-44,4.9043978847212461e-43,1.9070237724879133e-23,3.5402066668146015e-29,7.6326247225211959e-40,3.2027161894934795e-44,2.3881139255672751e-58,9.1837217029678339e-59,4.971740252589446e-39,1.2062273032903879e-28,5.7980233913627237e-40,5.7980233913646585e-40,1.6780872869481754e-52,2.5608650713449455e-53,1.9766938013327245e-42,2.6215826983005787e-30,1.6244820567579146e-42,1.2395300859706831e-43,2.146743474908072e-93,8.9897125043470595e-54,1.4270954623120984e-45,1.9681767521709182e-93,2.1969137621112229e-25,2.437197761107223e-66,2.43719756838685e-66,9.052074729587274e-37,2.6813532893208403e-37,5.8354687835039359e-27,9.0515261828272336e-37,2.3996004412944642e-48,1.9681767521708791e-93,1.7534083441529212e-57,9.1837217403035392e-59,3.733578465625219e-67,5.6384308891614853e-80,6.8347134552225653e-46,6.0253902015607256e-93,9.5761968874374039e-33,7.9587729220887664e-73,8.0574295083813785e-93,2.726368910849588e-44,2.6003570079355738e-106,4.3544549112831769e-98,3.1784109316181512e-110,4.5064441467369039e-63,1.7721524603367895e-44,3.1610178070307555e-64,2.7176715284657697e-44,7.6101716443316611e-57,5.3298501762385043e-36,7.865594422049995e-57
6.0700066742645515e-22,0.3392927535748121,76.950000000000003,0.0,0.0,0.0,0.99999999999988876,9.5,9.1088155063999047e-16,8.9529895451526285e-15,8.9529895451586254e-15,1.2524414604603132e-26,1.252429363567294e-26,9.2396020641528597e-14,3.3440538718104786e-23,6.4723878830034624e-27,5.9440458590152197e-39,1.5029737149568009e-43,3.9555745822053291e-42,7.6680587112072619e-23,1.4235015303301457e-28,6.1428291919309525e-39,2.5778244575072575e-43,3.8544255173631251e-57,1.479010063096361e-57,4.0016890849511246e-38,4.8501869346997594e-28,4.6667536419780928e-39,4.666753641981208e-39,2.7025078375336476e-51,4.124194247973957e-52,1.591015137988068e-41,1.0541268728498845e-29,1.30752448324445e-41,9.9768164921247906e-43,2.7929721159692423e-91,1.4477654841482372e-52,1.1486505826260875e-44,2.5606519141048054e-91,8.8336936090475646e-25,7.8517568835907999e-65,7.851755641708414e-65,7.2858972490564444e-36,2.1581863979092583e-36,2.3464163304563253e-26,7.2854557309122333e-36,3.8644825320576145e-47,2.5606519141047024e-91,2.8238100837727773e-56,1.479010075124556e-57,1.2028220317746389e-65,3.6333829273687133e-78,5.5011719951096247e-45,7.7658945442116177e-91,3.8505466507607644e-32,2.5640247132975724e-71,1.038491214124443e-90,2.1944188878635313e-43,6.703181626276596e-104,5.612290098281363e-96,8.1932848850579882e-108,1.4518110090697816e-61,1.4263824504636839e-43,1.0183639922427145e-62,2.1874184781695572e-43,1.2255946793916931e-55,2.143109314330895e-35,1.2667297315076815e-55
1.2161163197568352e-21,0.33929275357481203,76.950000000000003,0.0,0.0,0.0,0.99999999999977718,9.5,1.8249369045921741e-15,1.793717417578762e-14,1.7937174175811677e-14,5.0228504243496431e-26,5.0227533552773388e-26,1.8511397841110118e-13,1.3411151676568929e-22,2.5957170235775656e-26,4.7693936931911984e-38,1.2060417534295931e-42,3.1773326405541067e-41,3.0752345022827115e-22,5.7088778132329844e-28,4.9283170938300009e-38,2.0685415217535086e-42,6.1939583744559867e-56,2.374138685477472e-56,3.2111034699529595e-37,1.9451418907057988e-27,3.7447758957678112e-38,3.7447758957728111e-38,4.3381235766341358e-50,6.6202451316844659e-51,1.276689446715314e-40,4.2275202299176967e-29,1.0492060483277156e-40,8.0057669064296043e-42,3.6041825603191131e-89,2.3239842307378628e-51,9.2171975316367821e-44,3.3043856467832544e-89,3.5427062301223517e-24,2.5210342429537619e-63,2.5210334454261184e-63,5.8464736829272196e-35,1.7318086636012098e-35,9.4101789289084468e-26,5.8461193924396042e-35,6.2033503078211288e-46,3.3043856467829893e-89,4.5328405643169852e-55,2.3741387240974828e-56,3.8620092619939517e-64,2.3333322928467739e-76,4.4143440739061204e-44,9.9746725587416174e-89,1.5442414268361521e-31,8.2325456371969756e-70,1.333859191260778e-88,1.7608829573180012e-42,1.7219637829250938e-101,7.2085393562782111e-94,2.1047527333750184e-105,4.66146067043388e-60,1.1445820485220221e-42,3.2697532036344898e-61,1.7552655698963746e-42,1.9673508788266389e-54,8.5948268795198306e-35,2.033381751329869e-54
