Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013)
0.0,0.2537986489346788,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5980039400273743e-25,0.2537986489346788,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,9.6584146353552563e-19,1.4028072922369846e-17,1.4028072922369849e-17,1.1172633080428492e-32,1.1172633004679851e-32,4.23798883304587e-16,6.5850739877616502e-29,5.2863672033603844e-33,4.4506016689848182e-48,1.9508240836347482e-52,1.5191696505915004e-50,1.896782316671295e-28,2.5802017182142228e-34,4.2116323818224043e-48,4.4528815667815045e-52,2.9345540773720866e-68,7.0258858435728889e-69,1.8319910087421047e-46,1.5657318686118689e-33,1.4242788262765358e-47,1.4242788262765363e-47,5.3672809639062857e-63,8.8177171045372831e-64,1.0079445954865348e-48,4.254110941792141e-35,3.2062554402943625e-50,2.6337221423208081e-51,3.1931445910433338e-111,5.2984139184672242e-64,1.0185869857927557e-52,2.8916768161897096e-111,2.2536820293875122e-30,2.1099560482608512e-79,2.1099560480779467e-79,2.3013216599748659e-44,6.7307593879321864e-45,1.4809329449457833e-31,2.3011185137138899e-44,1.1294906546693419e-58,2.8916768161897088e-111,1.7045006540570138e-67,7.0258858436284537e-69,5.5565689789404395e-80,1.2222365885082855e-95,4.1088925349375919e-53,1.8825230981619835e-111,3.5340477353826217e-37,1.069224838859366e-85,6.2176784299361786e-111,1.4243419606043857e-51,2.8042178421859948e-127,3.7010364992869031e-116,3.2870240805869661e-131,9.1685011759707841e-76,2.4068239532959722e-51,1.2962216094897373e-76,1.7346668007235503e-51,6.9078610399488747e-67,2.2323080827925231e-40,6.5369532471311016e-67,5.3696652780454579e-68,1.7779176989979791e-55,3.0405772458610495e-54,1.2067380769467572e-81,3.4603655074175361e-55,2.169480011019024e-57
4.474411032076648e-25,0.2537986489346788,76.950000000000003,0.0,0.0,0.0,0.99999999999999878,9.5,2.7043560978994706e-18,3.9278604182635479e-17,3.9278604182635509e-17,6.748270380578485e-32,6.7482702906496984e-32,1.1866368732519971e-15,3.9773846886056694e-28,3.1929657908279507e-32,5.2837539180299791e-47,2.3160183520984685e-51,2.2957691759750423e-49,1.14565651926878e-27,1.5584418378013866e-33,5.0000490254446174e-47,5.2864609957036681e-51,8.2759120268456972e-67,1.5716625596581109e-67,2.1749397255774363e-45,9.4570204864155977e-33,1.6909038225554882e-46,1.6909038225554893e-46,1.2006392824991955e-61,1.9724880454151142e-62,1.1966318237601112e-47,2.5694830088425343e-34,3.8064664587083182e-49,3.1267549273603916e-50,3.4025433497769122e-109,1.1852339999043322e-62,1.2092664695336772e-51,3.0813060417710559e-109,1.3612239457492468e-29,8.7067927115127045e-78,8.7067927101358438e-78,2.732129074719788e-43,7.9907575453460514e-44,8.9448349874641261e-31,2.7318878994787666e-43,2.5266254148670405e-57,3.0813060417710549e-109,3.8128997831007689e-66,1.5716625596810402e-67,2.2929337475446989e-78,9.2006919680053533e-94,4.8780772174781382e-52,2.5696347519082223e-109,2.1345648321710654e-36,4.4121862358616184e-84,8.4871004161137867e-109,1.6909787756290995e-50,6.9179805421146795e-125,5.0518965829054767e-114,8.1090592495893458e-129,3.7834076820645813e-74,2.8573813972548763e-50,5.3488947657601199e-75,2.0593964258189642e-50,1.5452608831865973e-65,1.3483140820066604e-39,1.4622902935674658e-65,1.2011726440375479e-66,2.1107438922502783e-54,3.6097733062777561e-53,4.979632017472262e-80,4.108145930366891e-54,2.5756110829169449e-56
1.0227225216175197e-24,0.2537986489346788,76.950000000000003,0.0,0.0,0.0,0.99999999999999711,9.5,6.1813853666273548e-18,8.9779666703166361e-17,8.9779666703166459e-17,3.2490016997881153e-31,3.2490016114955033e-31,2.7123128531434296e-15,1.9149395156375359e-27,1.5372755827346173e-31,5.187620116863609e-46,2.2738805519064547e-50,2.4696837175788734e-48,5.5158429768698931e-27,7.5032265965669024e-33,4.9090757956630224e-46,5.1902787530645871e-50,1.8001916343729243e-65,3.1053403700656496e-66,2.1353687197861056e-44,4.5531482739231737e-32,1.6601393999078807e-45,1.6601393999078832e-45,2.3722608971831499e-60,3.8973039850699839e-61,1.1748602204944453e-46,1.2370954618732726e-33,3.7372113411787392e-48,3.0698665290802251e-49,7.7433925666532291e-107,2.3418226547950774e-61,1.1872649906415796e-50,7.0123316139376029e-107,6.5537073414467285e-29,3.4443206104758838e-76,3.4443206093872426e-76,2.6824205268593493e-42,7.8453731425519305e-43,4.3065530038897287e-30,2.6821837395775844e-42,4.9921860469710434e-56,7.0123316139376005e-107,7.5336474428462145e-65,3.1053403701563552e-66,9.0706178814020834e-77,7.2747104817814486e-92,4.7893251387239567e-51,4.0593931223791446e-107,1.0277010814492085e-35,1.7454169973517312e-82,1.3407538574316834e-106,1.6602129892791465e-49,2.1838007757659534e-122,7.9807584440710245e-112,2.5597889112731128e-126,1.4966784544271704e-72,2.8053939996576681e-49,2.1159695765439594e-73,2.0219276229232601e-49,3.0531751064218435e-64,6.4915519047603072e-39,2.8892392030877134e-64,2.3733147297154027e-65,2.0723408699516646e-53,3.5440968377493452e-52,1.9698872693333105e-78,4.0334020353243392e-53,2.528759583732769e-55
2.1732853584372292e-24,0.2537986489346788,76.950000000000003,0.0,0.0,0.0,0.99999999999999389,9.5,1.3135443904083099e-17,1.907817917442266e-16,1.9078179174422709e-16,1.4189244012139125e-30,1.4189243231200983e-30,5.763664812912746e-15,8.3630439644205877e-27,6.7136863482410044e-31,4.5883898007966495e-45,2.0112215973091766e-49,2.2700648254984764e-47,2.4089135421619703e-26,3.2768561821320034e-32,4.3420184123311822e-45,4.5907427776196e-49,3.337251899504357e-64,5.5257872707388266e-65,1.8887094503650079e-43,1.9884794731369292e-31,1.4683744987379536e-44,1.4683744987379586e-44,4.2213115170809362e-59,6.9350442092565195e-60,1.0391505601530121e-45,5.4027208960772255e-33,3.3055211086662923e-47,2.7152621798283457e-48,1.3085991114232027e-104,4.1671482910862615e-60,1.0501224388760907e-49,1.1850530423217034e-104,2.8621761773095787e-28,1.2292535603978471e-74,1.2292535596197322e-74,2.3725705785522417e-41,6.9391436985367284e-42,1.8807848400681138e-29,2.3723611428830868e-41,8.8833283390755567e-55,1.1850530423217023e-104,1.3405723103326367e-63,5.5257872710625505e-65,3.2372390926454107e-75,5.1996588689641053e-90,4.23610384782072e-50,5.8068295120452795e-105,4.4882406239353298e-35,6.2292692855503475e-81,1.917904680086851e-104,1.4684395877019129e-48,6.2497577378681375e-120,1.1416214756314297e-109,7.3257875596042397e-124,5.3415390938133818e-71,2.4813392222513686e-48,7.5517451199996922e-72,1.7883720848737188e-48,5.4329619712678656e-63,2.8350312651461428e-38,5.1412467903933802e-63,4.2231867558074007e-64,1.8329620309581588e-52,3.1347135173376902e-51,7.0303473763905955e-77,3.5674984232719481e-52,2.2366758462270571e-54
4.474411032076648e-24,0.2537986489346788,76.950000000000003,0.0,0.0,0.0,0.99999999999998734,9.5,2.70435609789945e-17,3.9278604182634113e-16,3.927860418263431e-16,5.9237300592386316e-30,5.9237294028131066e-30,1.1866368732397182e-14,3.491406228278188e-26,2.8028318911976612e-30,3.8568156685152692e-44,1.6905529377738239e-48,1.9420882513045268e-46,1.0056739842896039e-25,1.3680229509971267e-31,3.649722154270662e-44,3.8587959151874797e-48,5.735883343740862e-63,9.3200478978315269e-64,1.587574096305703e-42,8.3015103673788297e-31,1.2342572423898374e-43,1.234257242389846e-43,7.1198588732740062e-58,1.1696965706206231e-58,8.7346865931734883e-45,2.2555296213392751e-32,2.778489664363942e-46,2.2823414689469774e-47,1.9160773536843872e-102,7.0285046760576862e-59,8.8269118450198009e-49,1.735178694136462e-102,1.1949022119699522e-27,4.1533699536852026e-73,4.153369948422809e-73,1.9942885293596342e-40,5.8327683933486555e-41,7.8519064739852543e-29,1.9941124860603225e-40,1.4983031658307999e-53,1.7351786941364588e-102,2.2610711435508344e-62,9.3200478989253152e-64,1.0937899241095899e-73,3.5165318107943195e-88,3.5607005284990014e-49,7.857484125847728e-103,1.8737521092993261e-34,2.1047293031193964e-79,2.5952037247543486e-102,1.234311953583339e-47,1.6917058337219141e-117,1.544779746914146e-107,1.982969271983566e-121,1.8047853349717902e-69,2.0857151275843491e-47,2.5515639980628788e-70,1.5032344948377956e-47,9.1634844626560864e-62,1.1835697454962702e-37,8.6714641722823095e-62,7.1230217376164842e-63,1.5407150312670177e-51,2.6349155919270709e-50,2.3753682010306795e-75,2.9986973824168486e-51,1.880088797675956e-53
9.076662379355486e-24,0.2537986489346788,76.950000000000003,0.0,0.0,0.0,0.99999999999997435,9.5,5.485979512881693e-17,7.9679454199054588e-16,7.9679454199055387e-16,2.4200370157492762e-29,2.4200364775720267e-29,2.4071776571149268e-14,1.4263533660171508e-25,1.1450482816963402e-29,3.16204651859779e-43,1.3860174373644949e-47,1.6057561225051675e-45,4.1085063691221156e-25,5.5888201297202744e-31,2.9922529756137636e-43,3.1636740259567483e-47,9.5068059925962487e-62,1.5308206657500549e-62,1.3015891613258818e-41,3.3914378566869498e-30,1.0119186579926743e-42,1.011918657992688e-42,1.1694389578472745e-56,1.9212301295982602e-57,7.161223796463318e-44,9.2145744643685848e-32,2.2779736960252345e-45,1.8712014294763e-46,2.6200737075782164e-100,1.1544340035512062e-57,7.2368356301485105e-48,2.3727100921656658e-100,4.8815654228387953e-27,1.3655371692860325e-71,1.3655371658242538e-71,1.6350382261822476e-39,4.7820559298171431e-40,3.2077599959710597e-28,1.6348938952494809e-39,2.460967448963955e-52,2.3727100921656572e-100,3.7138161428759058e-61,1.5308206661096685e-62,3.5961419631554131e-72,2.3132920809198786e-86,2.919277421730475e-48,1.0340007325182003e-100,7.6548887567436026e-34,6.9198894614683217e-78,3.4151421873106514e-100,1.0119635135303372e-46,4.4528479219125063e-115,2.0328432928865018e-105,5.2195011842172343e-119,5.9337393176332742e-68,1.7099952741741303e-46,8.3889841763361959e-69,1.2324424604704054e-46,1.5051050745138342e-60,4.8352685996491583e-37,1.4242905941274858e-60,1.169958459311151e-61,1.26317126871281e-50,2.1602629970683806e-49,7.8095115394044044e-74,2.4585132873625385e-50,1.5414562697823001e-52
1.8281165073913163e-23,0.25379864893467874,76.950000000000003,0.0,0.0,0.0,0.99999999999994826,9.5,1.1049226342846033e-16,1.6048115423188585e-15,1.6048115423188916e-15,9.7821765482712862e-29,9.7821721899732906e-29,4.8482592247786296e-14,5.7655483596066263e-25,4.6284682320005293e-29,2.5607007971975516e-42,1.1224328558217077e-46,1.305774211134432e-44,1.6607239637306387e-24,2.2590904539786471e-30,2.4231882417355489e-42,2.5620252436210321e-46,1.5479369080742737e-60,2.4815262663845191e-61,1.0540606487995134e-40,1.3708734060984767e-29,8.1947796500510197e-42,8.1947796500512401e-42,1.8957109450613475e-55,3.1143968314242546e-56,5.799344697387879e-43,3.7246783268717323e-31,1.8447621593435209e-44,1.515347431714702e-45,3.4652982976118049e-98,1.8713872676329645e-56,5.8605771210098905e-47,3.1381362361399242e-98,1.9732067933874304e-26,4.4290870690179875e-70,4.4290870465567879e-70,1.3240963467511164e-38,3.8726328750198923e-39,1.2966278779997043e-27,1.3239794638198867e-38,3.9893342849408867e-51,3.1381362361399034e-98,6.0202560068753122e-60,2.4815262675509169e-61,1.166400025556665e-70,1.5009428302008519e-84,2.3641065434994061e-47,1.341933509188745e-98,3.0942284266150232e-33,2.244449559908758e-76,4.4321958347528905e-98,8.1951429017552591e-46,1.1558493765841231e-112,2.6382384941091363e-103,1.354853634421111e-116,1.9245941243063974e-66,1.384798505995828e-45,2.720946908923692e-67,9.9806385771691467e-46,2.4398401848448356e-59,1.9544928772705589e-36,2.3088364297747437e-59,1.8965530794698642e-60,1.0229488433283061e-49,1.7494369834836077e-48,2.5328799757063912e-72,1.9909678007074605e-49,1.2483855689276022e-51
3.6690170463028516e-23,0.2537986489346788,76.950000000000003,0.0,0.0,0.0,0.99999999999989608,9.5,2.2175720002774132e-16,3.2208455429750961e-15,3.2208455429752286e-15,3.9333701664714407e-28,3.9333666585355115e-28,9.7304223597591774e-14,2.3183016375007935e-24,1.8610867192761782e-28,2.0610643861976231e-41,9.0343161200227985e-46,1.0531542062574438e-43,6.6776980165963524e-24,9.0837033570388186e-30,1.9503672797990509e-41,2.0621407969433998e-45,2.4983764105766269e-59,3.9964215497342945e-60,8.4839971132552212e-40,5.5122216727154641e-29,6.5958715920737089e-41,6.5958715920740627e-41,3.0529840350103445e-54,5.0156400852425846e-55,4.6678171436363207e-42,1.4976767735077762e-30,1.4848250762722526e-43,1.2196834452131364e-44,4.5084480898395756e-96,3.0138115026684219e-55,4.7171023258063544e-46,4.0828012783875387e-96,7.9341777311011782e-26,1.4268893924721051e-68,1.4268893779981951e-68,1.0657479335797134e-37,3.1170318490708989e-38,5.2136836693368572e-27,1.0656538560283278e-37,6.4246998811989374e-50,4.0828012783874846e-96,9.6954367051511923e-59,3.9964215534920006e-60,3.7577130522902978e-69,9.6720172316662367e-83,1.9028386188353477e-46,1.729566684136711e-96,1.244175641429343e-32,7.2307932318111117e-75,5.7124873929112042e-96,6.5961639685358446e-45,2.9795402343962253e-110,3.400324516108446e-101,3.4925319839704694e-114,6.2003363377279202e-65,1.1146063097136779e-44,8.7658929118378821e-66,8.0332862228283252e-45,3.9292874005709468e-58,7.8589298977759817e-36,3.7183098921942104e-58,3.0543402669927731e-59,8.2335822364534531e-49,1.4080990816555288e-47,8.159260517665492e-71,1.602504095230718e-48,1.0049289467142668e-50
7.350818124125922e-23,0.2537986489346788,76.950000000000003,0.0,0.0,0.0,0.99999999999979172,9.5,4.4428707322627998e-16,6.4529135442860212e-15,6.4529135442865521e-15,1.5774573610251232e-27,1.5774545461298068e-27,1.949474862833285e-13,9.2974264513732879e-24,7.4637901351285571e-28,1.6538576920827818e-40,7.249469727938692e-45,8.4595073154203054e-43,2.6780555717812513e-23,3.6429713247338674e-29,1.5650061021242435e-40,1.6547381039553441e-44,4.0148238215002336e-58,6.4151416577029903e-59,6.8078733793940662e-39,2.210647430895952e-28,5.2927715591488202e-40,5.2927715591493911e-40,4.9007155085631732e-53,8.0512131326965916e-54,3.7456292882587309e-41,6.0063537140996794e-30,1.1914786122932964e-42,9.7871915167812066e-44,5.8179134288032361e-94,4.8378349197079708e-54,3.7851775439421819e-45,5.2686387668974197e-94,3.1819601346855466e-25,4.5814425631421487e-67,4.581442470191745e-67,8.5519559813406288e-37,2.5012217547640229e-37,2.0909203388375721e-26,8.5512010682427926e-37,1.0313066164514993e-48,5.2686387668972813e-94,1.5563323127841994e-57,6.4151416697681961e-59,1.2065228540612296e-67,6.2112997010268939e-81,1.526908155034692e-45,2.2214905644926438e-94,4.9897007932757373e-32,2.3216560641661519e-73,7.3372347880851182e-94,5.2930061726673244e-44,7.6540674155349142e-108,4.3674458568763879e-99,8.971879271673988e-112,1.9907979649794676e-63,8.9440136382437626e-44,2.8145443762326251e-64,6.446206275109368e-44,6.3073764804722866e-57,3.1517823882314384e-35,5.9687108568005923e-57,4.9028925627930779e-58,6.6069312118034236e-48,1.1299108336769542e-46,2.6192861311804786e-69,1.285908612534448e-47,8.0658418887410771e-50
