Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987),C7H10(986),S(4381),S(4372),S(4886),S(3690),S(1588),S(206),S(2669),C7H9(279),S(6788),C7H8O(364),S(4083),C6H7(1171),CH2O(6985),C6H7(7018),S(7026)
0.0,0.256018545842267,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.016747939764735e-20,0.256018545842267,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,5.5501799867045745e-17,4.0262615212524793e-16,4.0262609766042552e-16,1.3849742062587489e-26,1.3849200738423166e-26,1.4281361392789441e-17,9.1878522585131674e-26,1.0107594810652705e-26,1.7519529810171771e-38,2.9992905963752134e-43,4.1919777855789979e-31,8.7938270295507087e-26,1.1831326103968477e-29,2.556913569590012e-38,1.067340148638695e-43,4.6532462419473594e-47,2.2774599935973394e-59,4.8807322785857895e-42,7.6723560729538927e-31,1.301824362133527e-41,1.3018243621701074e-41,3.2681217159207243e-52,3.8993150107070298e-53,5.5033622105461702e-50,5.4534901917708275e-31,2.7381066508773703e-41,1.6334673694936871e-42,1.6826224242060124e-94,1.0831824729350515e-52,9.6941967503424465e-47,1.6213247263269195e-94,8.776281342765146e-28,1.8629914610530856e-63,1.8629847558525127e-63,4.5078453322388488e-39,1.3854451074088707e-39,7.0068032046832016e-31,4.5077969433139915e-39,6.439981602319926e-50,1.6213247263269179e-94,1.1948974072232623e-56,1.3990510376737721e-53,4.3022135250374017e-67,1.168457535933692e-78,3.0267862941278359e-47,9.5400972088076563e-90,8.612062873756539e-37,5.1642771737129169e-66,1.0015348198284047e-91,2.5702028635847689e-47,2.8490684174385987e-103,1.9863716567256492e-96,2.0659968886232344e-106,2.5273570305660025e-65,3.1929455311213393e-49,1.0311482659928766e-67,1.2303466007941558e-47,2.1161051059191392e-58,3.1608679254134226e-40,3.0886828122340773e-58,1.9419047000813659e-59,1.0872918004529574e-50,2.3438025526549362e-52,8.8017367697772553e-70,4.3277742611525859e-52,2.2304569103179613e-57,6.6338478919426164e-76,1.1901977567492524e-58,2.6034777248522558e-43,6.2659220829603261e-77,5.4474930215415434e-23,1.8102907862706834e-41,7.231375364209693e-40,1.8102907862706809e-41,2.2703296210054835e-70,2.7794602972437185e-62,1.3753805866557351e-62,2.1599984556041624e-104,2.0738823386273595e-110,6.9503405601208749e-50,4.1568421616246891e-60,6.6606049594126597e-60,4.0467193430267668e-83,6.4983435457434472e-51,2.6034394349972983e-91,1.2827512187784154e-64,5.994424451430883e-76,5.2879528836190904e-86,1.5048503702490033e-86,3.8428686496717094e-76,9.7191544780848082e-65,2.4590477364592428e-92,9.7191714460036732e-65,1.3025758534676944e-85,1.8000838313764559e-70,4.5543130075379126e-82,9.7243457374792581e-79,3.8983738012946681e-87,3.7816051944850472e-27,3.5743057003941177e-66,1.0442626420280609e-57,6.3858695000950018e-70,8.5782851230930196e-89,1.3832540959657377e-86,4.1531016555826954e-94,5.2364229487744217e-97,2.6718800343877395e-102,6.6472169703446596e-52,2.0013889345466527e-52,2.0013889345466527e-52,1.8152355709577283e-97,5.6084528165167943e-100,8.7917847360246961e-104,8.9774588372308008e-88,1.0618890837103491e-92,3.292360070814136e-42,5.6625885085260493e-53,1.002879404533046e-48,5.6626041483711241e-53,1.3990178249447451e-53,8.6774613736847273e-103,1.9117256643552066e-111,1.911725664422385e-111,1.4175486596074252e-123,6.5760511744504313e-122
2.846894231341258e-20,0.256018545842267,76.950000000000003,0.0,0.0,0.0,0.99999999999999756,9.5,1.5540503962772702e-16,1.1273532258730743e-15,1.1273530734043126e-15,8.3652442052404514e-26,8.3646004747240025e-26,3.9987811288224493e-17,5.54946269331901e-25,6.1049872401393074e-26,2.079835938732296e-37,3.560757862822792e-42,2.531954582359716e-30,5.311471458062893e-25,7.1461209663863921e-29,3.0351843600007893e-37,1.2671446459870532e-42,5.524333938076432e-46,5.0945869172948326e-58,5.7944052934067776e-41,4.6341030678332329e-30,1.5455258826159953e-40,1.5455258826978247e-40,7.3106573130413039e-51,8.7226116571028344e-52,6.5335914488331e-49,3.2939080341437827e-30,3.2506800661429934e-40,1.939252427106403e-41,1.7929647643496482e-92,2.4230358240501961e-51,1.1508950160887089e-45,1.7276473105633841e-92,5.3008738633796846e-27,7.6876786069229424e-62,7.6876281320949123e-62,5.3517138453051985e-38,1.6448003905371974e-38,4.2321090207225816e-30,5.3516563979709756e-38,1.4405980902733484e-48,1.7276473105633803e-92,2.6729376313881744e-55,3.1295887230880155e-52,1.7753204607066746e-65,8.7958567000807256e-77,3.5934006414647646e-46,1.3022185700669706e-87,5.2016859753040879e-36,2.1310318509752062e-64,1.3670900960542905e-89,3.0513448378449237e-46,7.0286265265088509e-101,2.7113875366294692e-94,5.096796212590434e-104,1.0429209310759577e-63,3.7906648172069484e-48,4.2550620676591405e-66,1.4606674842918509e-46,4.7336424189030454e-57,1.9091642267987315e-39,6.9092598032551076e-57,4.3439631355543556e-58,1.2908328254312523e-49,2.7825643416482542e-51,3.6319574548922776e-68,5.1379319740803085e-51,3.1259589574574607e-56,4.9937949651507564e-74,2.6624247159587652e-57,3.0908474721739192e-42,4.7168296105558472e-75,1.5252980906450996e-22,2.1491771102448336e-40,4.3677508281380442e-39,2.1491771102448267e-40,9.368578533933176e-69,6.2172183852035131e-61,3.0765307398892198e-61,5.3286932776183772e-102,3.9071292965669225e-108,8.2514443112235202e-49,8.5849085666843551e-59,1.4899499580625572e-58,3.0462692276425638e-81,7.7148334569091261e-50,3.5536818958743619e-89,2.8694631660186651e-63,2.4736160477979542e-74,3.9806389643683063e-84,1.1328137683897181e-84,1.5857705081019878e-74,2.1741295675290377e-63,3.3565879456376113e-90,2.1741365693580394e-63,9.8054656779882229e-84,4.7210415102433491e-69,2.1955525408133976e-80,4.0127786215103354e-77,1.8793657479857219e-85,2.2840857585536875e-26,1.4749472211174885e-64,2.3359737595537943e-56,2.63514342685899e-68,6.4575191247834732e-87,1.0414065230530923e-84,5.6696502808611538e-92,7.1498657460525446e-95,6.5922998830705781e-100,7.8915758398897096e-51,2.3760488987471198e-51,2.3760488987471198e-51,2.4780911268165265e-95,7.6574089586182434e-98,2.1691872692906462e-101,6.7580069358403933e-86,1.4494733689866476e-90,3.9086898609854741e-41,1.2666932440982536e-51,1.1906184152557486e-47,1.2666996978875748e-51,3.1295469021502603e-52,7.6167407166495349e-101,3.0395874774505174e-109,3.0395874776434488e-109,4.0711100785948269e-121,1.8886064971215932e-119
6.507186814494304e-20,0.256018545842267,76.950000000000003,0.0,0.0,0.0,0.99999999999999445,9.5,3.5521151914908535e-16,2.57680737305827e-15,2.5768070247125698e-15,4.0275049909568534e-25,4.0268724535856463e-25,9.1400708632751221e-17,2.6718273305412253e-24,2.9392885326954446e-25,2.0418202310340165e-36,3.4959732149683975e-41,1.2190271398513667e-29,2.5572447985147514e-24,3.4405496304182061e-28,2.9791501396843019e-36,1.244086783987939e-41,5.4238238184870414e-45,1.006604497641493e-56,5.688981333955766e-40,2.2311211456686124e-29,1.5174064761651617e-39,1.5174064763268425e-39,1.4444625859032872e-49,1.7234410535698846e-50,6.414718473277972e-48,1.5858748852382646e-29,3.19153664794898e-39,1.9039694606166902e-40,4.0803683004029552e-90,4.7875102962741005e-50,1.1299555046728687e-44,3.931721058030434e-90,2.5521425130004174e-26,3.0411623671400784e-60,3.0411224586480688e-60,5.2543441065584643e-37,1.614874690162085e-37,2.0375781995627794e-29,5.2542877044194919e-37,2.8463789167833274e-47,3.9317210580304183e-90,5.2812740168538567e-54,6.1835033791887371e-51,7.0229910163855221e-64,6.9546192354766937e-75,3.528021958971627e-45,2.057186132203664e-85,2.5043878830211269e-35,8.4300994333649588e-63,2.1596672415460976e-87,2.9958284522053942e-45,2.2187283687276043e-98,4.2833277030207403e-92,1.6089070170986264e-101,4.1256912772022331e-62,3.721696947320129e-47,1.6832601304173498e-64,1.4340919973556669e-45,9.3528794783742697e-56,9.1918039248376484e-39,1.3651532627229538e-55,8.5829391253515526e-57,1.2673473224018286e-48,2.7319423038968841e-50,1.436675438990265e-66,5.0444486296467173e-50,4.0814977694717898e-55,3.9484432608986753e-72,5.2605023310867677e-56,3.034609659502065e-41,3.7294551024567929e-73,3.4863958460808548e-22,2.1100745957083992e-39,2.1028841181008595e-38,2.1100745957083862e-39,3.7061163117627955e-67,1.2282778836213808e-59,6.078098337265695e-60,1.6821073355805596e-99,1.7750123827825171e-105,8.1013169516099602e-48,1.4518012110820485e-57,2.9438868870997278e-57,2.4085933252339057e-79,7.5744692350663616e-49,5.6139460679950138e-87,5.6695756686837645e-62,9.7853792113674633e-73,3.147371571318988e-82,8.9568173239198356e-83,6.2731504291195571e-73,4.2956859243630397e-62,5.3025859555750094e-88,4.2957136226379557e-62,7.7528864752141795e-82,1.2330363860465081e-67,1.1450290640905619e-78,1.5874154261665331e-75,9.8013809892416439e-84,1.0996851222018382e-25,5.8347442295744634e-63,4.615490502952222e-55,1.0424334712739827e-66,5.1057665482138407e-85,8.2345001924057325e-83,8.9571063963971394e-90,1.1300219063814285e-92,2.0810979656986742e-97,7.7479956439930077e-50,2.3328188046329219e-50,2.3328188046329219e-50,3.914984140500845e-93,1.2100862437507859e-95,6.8478244399074503e-99,5.3433528774035505e-84,2.2898126184627378e-88,3.8375748517772794e-40,2.5027501038784146e-50,1.1689561911254615e-46,2.5027756341076562e-50,6.1834572549987704e-51,7.9303135620430247e-99,6.3200351956805307e-107,6.3200351964819684e-107,1.6911266657802385e-118,7.8452712959427307e-117
1.3827771980800395e-19,0.256018545842267,76.950000000000003,0.0,0.0,0.0,0.99999999999998812,9.5,7.5482447819178476e-16,5.4757156661870366e-15,5.475714926611014e-15,1.7589172410769042e-24,1.7583576091845014e-24,1.9422649353643444e-16,1.166857127055641e-23,1.2836645014358452e-24,1.8056555914713108e-35,3.0921487317118716e-40,5.3238117856703556e-29,1.1168159276850774e-23,1.5025784145676957e-27,2.6335814715899302e-35,1.1003747238370403e-40,4.797310743231838e-44,1.791198803512973e-55,5.0318393090068376e-39,9.7438922090721726e-29,1.3421288436760569e-38,1.3421288439637597e-38,2.5703436223126206e-48,3.0667711955899871e-49,5.6737452139820764e-47,6.9259318974192476e-29,2.8228774577299838e-38,1.6840392981964249e-39,6.8956420375049599e-88,8.519118148759577e-49,9.9943276422451154e-44,6.6444347694856801e-88,1.1145876256729826e-25,1.0853643495193865e-58,1.0853358252238467e-58,4.6474073570568895e-36,1.4283382211635264e-36,8.8986382889039221e-29,4.6473574699937848e-36,5.0649786716534712e-46,6.6444347694856287e-88,9.3977438121001913e-53,1.1003181431035033e-49,2.5064554477465963e-62,4.9708707133896178e-73,3.120495292320147e-44,2.9427375042141357e-83,1.0937319842776019e-34,3.0086335286093158e-61,3.0893333806658721e-85,2.6497763325045117e-44,6.3497156270670892e-96,6.1271603210866396e-90,4.6044852835294146e-99,1.4724297603184084e-60,3.2917983608797603e-46,6.0074350651812285e-63,1.2684381304417808e-44,1.664294839979376e-54,4.0143022629351232e-38,2.4292171359433427e-54,1.5272881552785061e-55,1.1209543541621306e-47,2.4163793815807923e-49,5.1267423593399546e-65,4.4617515490713973e-49,5.4110322974026438e-54,2.8221817727336887e-70,9.3607819342817014e-55,2.6840730443978567e-40,2.665658221483637e-71,7.4085920707677991e-22,1.8663366649994624e-38,9.1838483882887709e-38,1.8663366649994392e-38,1.3226864513852172e-65,2.1851555883011281e-58,1.0813478326193645e-58,4.8139599050347954e-97,6.0124566677494594e-103,7.1655230932608109e-47,2.0008472499902356e-56,5.2384781558231797e-56,1.7215615754126668e-77,6.6995322580302364e-48,8.0305657739832888e-85,1.0088706972902787e-60,3.4923324190785769e-71,2.2496096482423493e-80,6.4019577667036254e-81,2.2388428282076559e-71,7.6438444520893423e-61,7.5851753523469738e-86,7.6439433033721713e-61,5.5414385101655195e-80,3.2675134312989176e-66,6.0667261068229221e-77,5.6653736822420327e-74,5.193105527451682e-82,4.8025800243829e-25,2.0823785567631979e-61,8.2130187428588615e-54,3.7203490784704193e-65,3.649388936558539e-83,5.8857901045351591e-81,1.2813084963451877e-87,1.6178125147857022e-90,5.9559458399369427e-95,6.8530138488011374e-49,2.0633516472634776e-49,2.0633516472634776e-49,5.6003933268456978e-91,1.7320028914349738e-93,1.9597958566456385e-96,3.8192052122271012e-82,3.2755020874156283e-86,3.394291440402969e-39,4.4534303993636806e-49,1.0339284610210475e-45,4.4535215126501968e-49,1.1003131626043709e-49,8.4020914301585911e-97,1.339082585296975e-104,1.339082585636574e-104,7.1658290742530785e-116,3.324334124385206e-114
2.8468942313412577e-19,0.256018545842267,76.950000000000003,0.0,0.0,0.0,0.99999999999997558,9.5,1.5540503962771155e-15,1.1273532247479695e-14,1.1273530727535629e-14,7.343133233738573e-24,7.3384296002082662e-24,3.9987802420234656e-16,4.8713982794842585e-23,5.3590464129557165e-24,1.5172389272701921e-34,2.5991373331910815e-39,2.2225866201007699e-28,4.6624861454573658e-23,6.2729690945983697e-27,2.2112600978193718e-34,9.2492125231917298e-40,4.0324287370391437e-43,3.0211181749265541e-54,4.2295637009442118e-38,4.0678831866588052e-28,1.1281401617485645e-37,1.1281401622338179e-37,4.335258953066504e-47,5.1725576131245884e-48,4.7691236591997668e-46,2.8914399181603723e-28,2.3727976449097861e-37,1.4155362858652603e-38,1.0096738885709523e-85,1.4368735819787972e-47,8.4008331850570173e-43,9.7289161104616202e-86,4.6531834242107021e-25,3.6671677277059143e-57,3.6669748262226511e-57,3.9064250670097945e-35,1.2006040789606298e-35,3.7150054561841208e-28,3.9063831339106534e-35,8.5428250562577716e-45,9.728916110461473e-86,1.5850664750660984e-51,1.8558446155994304e-48,8.4687453282551914e-61,3.361801820505308e-71,2.6229640196937489e-43,3.9819509242408727e-81,4.5661157294611323e-34,1.0165477186548861e-59,4.1803164207998691e-83,2.227296657043078e-43,1.7187625489148633e-93,8.2909373731670921e-88,1.24635769146822e-96,4.9750063505471832e-59,2.7669541242361916e-45,2.0297760083482615e-61,1.066198676683524e-43,2.807076199124857e-53,1.6758921719485293e-37,4.0972292378017914e-53,2.5759946948366062e-54,9.4222967681855975e-47,2.0311248361535901e-48,1.7317710467999666e-63,3.7503606931324284e-48,7.5780593049881308e-53,1.9086423979795556e-68,1.5788323907927133e-53,2.256116989999025e-39,1.8027854819155667e-69,1.525298737540321e-21,1.5687677171615153e-37,3.8340767261833364e-37,1.5687677171614764e-37,4.4690576612495253e-64,3.6839004753137692e-57,1.8231183003492122e-57,1.3030507302730267e-94,1.7629511784350206e-100,6.0230539056108548e-46,2.3204982156709216e-55,8.8354210543646363e-55,1.1642926281000048e-75,5.6313605361887932e-47,1.0866519597997965e-82,1.7016078888481636e-59,1.1799802510081938e-69,1.5214121656529661e-78,4.3296461395274124e-79,7.5645439035598044e-70,1.2892126379420909e-59,1.0263841820963813e-83,1.289246036276991e-59,3.7476767839262847e-78,9.1335767199990564e-65,3.3882722224691893e-75,1.9142022515404277e-72,2.9003659635477743e-80,2.0049543594526543e-24,7.0358850543053085e-60,1.3852456541675755e-52,1.257007042796556e-63,2.4680841805528742e-81,3.9805650084235818e-79,1.7337941492831101e-85,2.1927135238981728e-88,1.6121736544674905e-92,5.7603701312287112e-48,1.7343711046769511e-48,1.7343711046769511e-48,7.5782243054616762e-89,2.3463062059854085e-91,5.3048354821613352e-94,2.5829303362637247e-80,4.4322296999565475e-84,2.853106381437615e-38,7.5110923778720375e-48,8.690790828365471e-45,7.5114002136087727e-48,1.8558389136886324e-48,9.3806282632238771e-95,2.9893522626910746e-102,2.9893522642071221e-102,3.1988958804099781e-113,1.4840588188626643e-111
5.775128297863695e-19,0.256018545842267,76.950000000000003,0.0,0.0,0.0,0.99999999999995037,9.5,3.1525022324475031e-15,2.2869165390218456e-14,2.2869162317895761e-14,2.9999095230824172e-23,2.9960551124980905e-23,8.1118092896856656e-16,1.9901247141143492e-22,2.1893451652494732e-23,1.2430666749779957e-33,2.1309298268692371e-38,9.0799915473284332e-28,1.9047773092925603e-22,2.5627125545778973e-26,1.8089623934720321e-33,7.5828991621664779e-39,3.3060287039307841e-42,4.9621942989561922e-53,3.4676511574324269e-37,1.6618630120986956e-27,9.249174628268107e-37,9.2491746362383999e-37,7.1206717244853998e-46,8.4959405676716247e-47,3.9100139726282107e-45,1.1812472971480398e-27,1.9453613106977869e-36,1.1605418172640413e-37,1.3806436354736601e-83,2.360068477056652e-46,6.8875083034656415e-42,1.3303469823301139e-83,1.9009768449497543e-24,1.2056627475585268e-55,1.2055358616566105e-55,3.2027219022810103e-34,9.8432733538958039e-35,1.5177002441930273e-27,3.2026875229654858e-34,1.4031609938901004e-43,1.3303469823300729e-83,2.6034751993410769e-50,3.0482279507596713e-47,2.7843374193522479e-59,2.2115049266839964e-69,2.1504638883686394e-42,5.2400221191911644e-79,1.8654072614551719e-33,3.3421837858306148e-58,5.5010598897087418e-81,1.8260723482996034e-42,4.5240644278586239e-91,1.0910405066298736e-85,3.2806175200600974e-94,1.6356725681197847e-57,2.268514943588345e-44,6.6734559720684574e-60,8.7413409037938703e-43,4.6106300777928996e-52,6.8465663433390055e-37,6.7297096054755084e-52,4.2310789815448147e-53,7.7249681548459645e-46,1.6652591387550137e-47,5.6907976529572159e-62,3.0747553522391912e-47,1.1181477566262583e-51,1.2555680602679268e-66,2.593235949069639e-52,1.8496876826801237e-38,1.1859318944057427e-67,3.0941789405718406e-21,1.2861693993606333e-36,1.5663461061930009e-36,1.2861693993605696e-36,1.4693277795398414e-62,6.0452933393971235e-56,2.9920724848896332e-56,3.4297994078131896e-92,4.824571150950098e-98,4.9380634745573493e-45,2.3399902893839142e-54,1.4512080687317448e-53,7.65910186016905e-74,4.6169295938331873e-46,1.4299721393225121e-80,2.7948960612181902e-58,3.8795172774258024e-68,1.0008358330657615e-76,2.8481845321965096e-77,2.487056527016392e-68,2.1174257345796704e-58,1.3506631807107882e-81,2.117535532585249e-58,2.4653459599268697e-76,2.6902418040774669e-63,1.9941275444708033e-73,6.2934816734194991e-71,1.7069851107143199e-78,8.1906618096374777e-24,2.3132441176687065e-58,2.2752701439047976e-51,4.1326666456692259e-62,1.6235890995263647e-79,2.6185025205539883e-77,2.2815261128978548e-83,2.8948498763268302e-86,4.2434143108968663e-90,4.7226979292200653e-47,1.4219417569052334e-47,1.4219417569052334e-47,9.9725348904761868e-87,3.0945352758897864e-89,1.3962897373443839e-91,1.6991378502859944e-78,5.8325635123580846e-82,2.3391488321180504e-37,1.2336108422706457e-46,7.1252339613942443e-44,1.2337120417570556e-46,3.0482207907117449e-47,1.1036680400374778e-92,7.032566333850245e-100,7.0325663409825042e-100,1.5048365004512578e-110,6.981775763902271e-109
1.163159643090857e-18,0.256018545842267,76.950000000000003,0.0,0.0,0.0,0.99999999999989997,9.5,6.3494059047871826e-15,4.6060431596413112e-14,4.6060425452659628e-14,1.2126113908777576e-22,1.2094935774092476e-22,1.6337861122402967e-15,8.0443987884530477e-22,8.8496819443762546e-23,1.0052815692793614e-32,1.7256822323906858e-37,3.6702777535919112e-27,7.699411082364385e-22,1.0358893867842074e-25,1.4585676086748551e-32,6.1405626021173314e-38,2.6773077529128918e-41,8.0439263244164482e-52,2.8081926718315426e-36,6.7175159925274864e-27,7.4902213966769228e-36,7.4902214095970941e-36,1.1542902345791789e-44,1.3772283038436334e-45,3.1664278683074323e-44,4.7747883804524227e-27,1.5754015044568435e-35,9.3983628096780254e-37,1.8260333695371592e-81,3.8257704470248367e-45,5.5776790718325393e-41,1.7595112311288518e-81,7.6840490045329596e-24,3.9103970174168267e-54,3.9095738828810989e-54,2.5936449911290214e-33,7.971331066443806e-34,6.1347813685791459e-27,2.5936171498236567e-33,2.2745825347674083e-42,1.7595112311287439e-81,4.220341451068368e-49,4.9413064410842236e-46,9.0309267394632992e-58,1.4348990729166761e-67,1.741500621279041e-41,6.8005343191052e-77,7.5402743818100898e-33,1.0840287575437265e-56,7.1393108133964553e-79,1.4788007014249945e-41,1.1743347894262177e-88,1.4159595189239456e-83,8.515668557489988e-92,5.3052603999336199e-56,1.8371002408676584e-43,2.1645172070728949e-58,7.0789644696981666e-42,7.4740267723188615e-51,2.7674915757060143e-36,1.0909143694242133e-50,6.8587612291920413e-52,6.2558794839466991e-45,1.348602876961222e-46,1.8439268510286539e-60,2.4899891797286162e-46,1.7102475680150138e-50,8.1465454058197461e-65,4.2037440017214775e-51,1.4979034443890175e-37,7.6947228414376255e-66,6.231943915051265e-21,1.0415714532402156e-35,6.3314267399726704e-36,1.0415714532401123e-35,4.7657255258068788e-61,9.7818188613481722e-55,4.8425002269799854e-55,8.9026820426638331e-90,1.2766214790164901e-95,3.9989718060568939e-44,2.1365335349814401e-53,2.3524303150343999e-52,4.9694815067322711e-72,3.7389092770222334e-45,1.855826090017151e-78,4.5306469366094164e-57,1.2583123738859944e-66,6.4937655807602643e-75,1.8479975989263078e-75,8.0667081908439821e-67,3.4320821242358105e-57,1.7528984845186837e-79,3.4324381968731663e-57,1.5995992709869e-74,8.2192663597520844e-62,1.2177246796883279e-71,2.041277948102544e-69,1.0423891059639279e-76,3.3106097614651843e-23,7.5029456702003556e-57,3.6883109425698047e-50,1.3403572804186543e-60,1.0534411572743557e-77,1.698898097193257e-75,2.9608244891870146e-81,3.7812182920247821e-84,1.1014275111812985e-87,3.8245607471222019e-46,1.1515245543993919e-46,1.1515245543993919e-46,1.2942351182220537e-84,4.0340538342165155e-87,3.6242324781077578e-89,1.1024586141277242e-76,7.5695383424521896e-80,1.8943031167967404e-36,1.9994499982208439e-45,5.7701968715835153e-43,1.9997781703799698e-45,4.9412966173522072e-46,1.3475137202030449e-90,1.7170028362546268e-97,1.7170028397369987e-97,7.3466152961620786e-108,3.408905896230333e-106
2.3344532696998315e-18,0.256018545842267,76.950000000000003,0.0,0.0,0.0,0.99999999999979916,9.5,1.2743213249462166e-14,9.2442963692494047e-14,9.2442951538361798e-14,4.8758570477878853e-22,4.8508217130440275e-22,3.2789939737545544e-15,3.234614557954738e-21,3.5584171744763466e-22,8.0691571689878916e-32,1.3889792076234152e-36,1.4758025371041038e-26,3.0958966393387194e-21,4.1652656479404072e-25,1.1638451494743209e-31,4.9420312700636542e-37,2.1549301902275683e-40,1.295448095976758e-50,2.2602759337670168e-35,2.7010836267103102e-26,6.0287817850555774e-35,6.028781805863071e-35,1.8589445315557614e-43,2.2179828442833795e-44,2.5486120807377022e-43,1.9199197510060791e-26,1.2680161280174028e-34,7.564610824716747e-36,2.375719457513055e-79,6.1612780948294587e-44,4.4893953708822621e-40,2.2891723323659763e-79,3.0897196207829499e-23,1.2596955156333891e-52,1.2591652770736431e-52,2.0875875225416014e-32,6.4160096255241674e-33,2.4667640404615021e-26,2.0875651133655759e-32,3.6631389224845716e-41,2.2891723323656946e-79,6.7967167935587744e-48,7.9578181923329413e-45,2.9094301617315543e-56,9.2464237855414143e-66,1.4017099353101029e-40,8.764938635685851e-75,3.0319111479649019e-32,3.492341499336787e-55,9.2015742096409415e-77,1.1902674084107918e-40,3.0271885297187915e-86,1.8249743851064785e-81,2.1951606004952187e-89,1.7091574928875519e-54,1.4786549175773415e-42,6.9732660687322958e-57,5.6977664149451346e-41,1.203667917519599e-49,1.1127961847395485e-35,1.7568821639550244e-49,1.1045823099009187e-50,5.0352760399512297e-44,1.0855258050640743e-45,5.9284451172480735e-59,2.0041157724737656e-45,2.6720000174746424e-49,5.249591146903203e-63,6.7699897431984459e-50,1.2056082409352019e-36,4.958439267132651e-64,1.2507492137664712e-20,8.3834430584156035e-35,2.54584314117598e-35,8.383443058413941e-35,1.5353394428721333e-59,1.5696093184247741e-53,7.7737623780406225e-54,2.2948082266440322e-87,3.3224023187256801e-93,3.2187203745369984e-43,1.8348407138973677e-52,3.7883860557696611e-51,3.2023079804976384e-70,3.0093994477516558e-44,2.3918981698024213e-76,7.2964671586096108e-56,4.0538225004475661e-65,4.1845588566171716e-73,1.1908402706509422e-73,2.5987974714732081e-65,5.5261153847358162e-56,2.2592390459535267e-77,5.52726216873546e-56,1.0307738695207268e-72,2.5663999370034265e-60,7.6016081002386657e-70,6.576263335772317e-68,6.5071948069837957e-75,1.3310315046340078e-22,2.4171699114140112e-55,5.9399110405459323e-49,4.3177321062888339e-59,6.7883487210857177e-76,1.0946607043627253e-73,3.8156723996986186e-79,4.9359638097617608e-82,2.8389392201299612e-85,3.0783352260232387e-45,9.2684593977689e-46,9.2684593977689e-46,1.668062744320139e-82,5.2455599828467706e-85,9.3414922948405588e-87,7.1042004817809795e-75,9.7560773904239282e-78,1.5246995402050142e-35,3.2191306954310383e-44,4.6443526960783531e-42,3.22018752102737e-44,7.9578038055474217e-45,1.682087230515645e-88,4.2862458924916519e-95,4.286245909876898e-95,3.6668477471269113e-105,1.7018561107028412e-103
