Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672)
0.0,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.079574206423138e-22,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,1.7631123801433701e-17,2.5732867343647948e-16,2.5732867343667098e-16,3.1033953765872146e-28,3.1033885886404624e-28,8.5164846751087999e-17,1.3259178479510816e-26,1.9168076917298595e-28,2.5722516549558657e-41,8.5172783737602551e-46,7.6825273985894382e-46,1.9299261678182858e-26,8.928990805062581e-31,3.1774558610615418e-41,6.9491960749652249e-46,2.7090318334458192e-62,7.9221781878035762e-62,3.4026767192423081e-43,2.4542741233782003e-31,3.3034208898856624e-43,3.3034208898884512e-43,2.4606750884615804e-55,3.2832076884854198e-56,6.2792142271515582e-49,3.3498030978255424e-33,4.9904491790592757e-45,3.3293060897047279e-46,3.2840036138344809e-99,3.5887660978605643e-57,9.6637101066370188e-50,3.0884116890706595e-99,2.0722483300934214e-28,2.1640339447851048e-69,2.1640337501326243e-69,1.3925760898336516e-40,4.2134939346666476e-41,8.9444016365550699e-31,1.3925401521050605e-40,1.3280865124934869e-52,3.088411689070657e-99,2.7792511135295232e-61,7.9221781990053121e-62,1.1201852714300257e-70,1.1551286725292046e-83,5.9060901952611795e-50,3.0590791808448331e-96,2.2277971776183393e-36,1.1815365413416378e-75,1.9445541446162243e-97,3.1399888826309453e-48
5.822807777984787e-22,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999999999822,9.5,4.9367146644014301e-17,7.205202856205149e-16,7.2052028562167127e-16,1.8744508074487241e-27,1.8744427488139268e-27,2.3846157079483914e-16,8.0085437985921395e-26,1.1577518455708441e-27,3.0537599834833945e-40,1.0111712885711258e-44,1.16098356412506e-44,1.1656754049208682e-25,5.3931104462476289e-30,3.7722132137086946e-40,8.2500852357343368e-45,7.6399033655164957e-61,1.7721595698463802e-60,4.0396577996829115e-42,1.4823815705167489e-30,3.9218212804604052e-42,3.9218212804666438e-42,5.5044317390057052e-54,7.3444042688585125e-55,7.4546831245523769e-48,2.02328107108027e-32,5.9246612575895223e-44,3.9525521885407745e-45,3.4993606892091437e-97,8.0279262080158857e-56,1.1472756638580501e-48,3.290942315440721e-97,1.251637990902502e-27,8.9299463793977575e-68,8.9299449141026669e-68,1.6532663327511287e-39,5.0022599958968323e-40,5.402418584562222e-30,1.6532236674800255e-39,2.9708764030999891e-51,3.2909423154407168e-97,6.2170735708850679e-60,1.7721595744688069e-60,4.6224758825191436e-69,8.6955203169838155e-82,7.0117102794403269e-49,4.1756280020826812e-94,1.3455894952770955e-35,4.8756436210415765e-74,2.6543068216990068e-95,3.7277948013016111e-47
1.3309274921108084e-21,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.999999999999996,9.5,1.1283919232917525e-16,1.6469035099820753e-15,1.6469035099876423e-15,9.0246737549663231e-27,9.0245946351421499e-27,5.4505501844951246e-16,3.8557690972931576e-25,5.574076764040564e-27,2.9981632676775972e-39,9.9277396735944286e-44,1.2489332052197078e-43,5.6122252893949282e-25,2.5965505260969446e-29,3.7034491662885516e-39,8.0999818771399828e-44,1.6618459428371252e-59,3.5014886666962433e-59,3.9661599796040094e-41,7.1370291507285575e-30,3.8504673892139882e-41,3.8504673892263144e-41,1.08758295104478e-52,1.4511305188750701e-53,7.3190520848098038e-47,9.7412274083811607e-32,5.8168675389634918e-43,3.8806391745740715e-44,7.9637261786409568e-95,1.586182935602342e-54,1.1264020500230168e-47,7.4894147238640429e-95,6.0260981368028036e-27,3.5325977319636942e-66,3.5325965733992782e-66,1.6231866869020191e-38,4.9112485198952701e-39,2.6010319900346557e-29,1.623144797886442e-38,5.8699511288725367e-50,7.4894147238640216e-95,1.2283889709406382e-58,3.5014886849821054e-59,1.8286054857291651e-67,6.8752864303807279e-80,6.8841387304377238e-48,6.5964688322960284e-92,6.4784341924484073e-35,1.9287561301471891e-72,4.1931542302129747e-93,3.6599710411053008e-46
2.8282209207354676e-21,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999999999156,9.5,2.3978328369949631e-16,3.4996699586791553e-15,3.4996699587034672e-15,3.941312128111489e-26,3.9412421481102929e-26,1.1582419120275426e-15,1.6839156621976671e-24,2.4343457648700607e-26,2.6517767200260773e-38,8.780973314565845e-43,1.147984911811928e-42,2.4510062262878863e-24,1.1339818322271857e-28,3.275423813476257e-38,7.1643409429836288e-43,3.0807826249959181e-58,6.2307119667666191e-58,3.5080235813459143e-40,3.116928136633223e-29,3.4056948005593694e-40,3.4056948005813042e-40,1.9352957414150108e-51,2.582209221677521e-52,6.4736186610722572e-46,4.2542499341396686e-31,5.1449534349320763e-42,3.432381398711841e-43,1.3458345177597892e-92,2.8225277809901923e-53,9.9628985713942178e-47,1.2656779787619266e-92,2.6317553718728164e-26,1.2607588587225303e-64,1.260758030629633e-64,1.4356902384179235e-37,4.3439436851443618e-38,1.1359390017710835e-28,1.4356531880590794e-37,1.0445264374364357e-48,1.2656779787619196e-92,2.1858525411593593e-57,6.2307120320275617e-58,6.5261630587756353e-66,4.9141672340463966e-78,6.0889427452730879e-47,9.436033551340486e-90,2.8293024155073782e-34,6.8835936287321642e-71,5.9981703860558359e-91,3.237202937409608e-45
5.8228077779847864e-21,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999999998268,9.5,4.9367146644013463e-16,7.205202855969155e-15,7.2052028560706482e-15,1.6454202285276969e-25,1.645361407108018e-25,2.3846156922583377e-15,7.0300163875347761e-24,1.0162914348909975e-25,2.2288692168503123e-37,7.3809371664866345e-42,9.8212547441900101e-42,1.023246848020052e-23,4.7341509247023284e-28,2.7527957652512125e-37,6.0220580629613724e-42,5.2950793008881244e-57,1.050900632464347e-56,2.9487051855140864e-39,1.301256140163742e-28,2.8626916883007018e-39,2.862691688337699e-39,3.264159100777815e-50,4.3552732656851279e-51,5.4414665118777212e-45,1.7760656023781802e-30,4.3246433193818201e-41,2.8851233747788022e-42,1.9705981905889029e-90,4.7606056402119248e-52,8.374416558783557e-46,1.8532313608426726e-90,1.098706058004286e-25,4.259818024260022e-63,4.2598124238705566e-63,1.206784145247603e-36,3.651346388437381e-37,4.7423216930588049e-28,1.2067530021903188e-36,1.761746498083021e-47,1.8532313608426521e-90,3.6867598013911936e-56,1.0509006545145441e-56,2.2050429767438493e-64,3.3234536468246154e-76,5.1181232613552902e-46,1.2768324427627895e-87,1.181178063512123e-33,2.3258107108387274e-69,8.1163960519387177e-89,2.7210641240015113e-44
1.1811981492483423e-20,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999999996492,9.5,1.0014478319213965e-15,1.4616268650132525e-14,1.4616268650547138e-14,6.7220785203274278e-25,6.7215962829910379e-25,4.8373632250188691e-15,2.8719910595603875e-23,4.1518821049578836e-25,1.8271830889259571e-36,6.0513382302337185e-41,8.1204068748780475e-41,4.1802972244101333e-23,1.9340551242196771e-27,2.2562602831203797e-36,4.9372434566256046e-41,8.7762093081261993e-56,1.7261074092240345e-55,2.4175266497782561e-38,5.3160559217671026e-28,2.3470076024925584e-38,2.3470076025533252e-38,5.3613910067741619e-49,7.1535493830894815e-50,4.4612429444359321e-44,7.255807501261053e-30,3.5456037961967519e-40,2.365398442431517e-41,2.6946263401092149e-88,7.8193090206129253e-51,6.8658526555899569e-45,2.5341371280529458e-88,4.4885727169403358e-25,1.4005341690172193e-61,1.4005304849029269e-61,9.8939454167258191e-36,2.993594339583547e-36,1.9373931258202278e-27,9.8936900871554882e-36,2.89367388094465e-46,2.5341371280528894e-88,6.0555140437808361e-55,1.7261074817202572e-55,7.2496987269370326e-63,2.1862787721835716e-74,4.1961466697561221e-45,1.680239671886567e-85,4.8254977980909471e-33,7.6467567644220606e-68,1.0680720651141407e-86,2.2308927669853764e-43
2.3790328921480698e-20,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999999992939,9.5,2.0170005628838614e-15,2.9438400236792867e-14,2.9438400238468616e-14,2.7171716142132087e-24,2.716781112152666e-24,9.7428581797356963e-15,1.1609046904766759e-22,1.6782571181453323e-24,1.4794111121725822e-35,4.9005305963861632e-40,6.6033857494015859e-40,1.6897429534990249e-22,7.8177600404030726e-27,1.8261293860728704e-35,3.9983019580579708e-40,1.4289793792734107e-54,2.7980943790662057e-54,1.9577757360031776e-37,2.1488347998177033e-27,1.900667606580233e-37,1.9006676066787398e-37,8.6910454777255069e-48,1.1596211707562395e-48,3.6128301022292095e-43,2.9329134020755315e-29,2.8713217489894326e-39,1.9155609663012659e-40,3.5639012904431954e-86,1.2675436754041223e-49,5.56014548936208e-44,3.3516389439248765e-86,1.8143528348725043e-24,4.5425938290999092e-60,4.5425699254256147e-60,8.0123733312167241e-35,2.4242902541428873e-35,7.8312525835226072e-27,8.0121665587579789e-35,4.6907699530001875e-45,3.3516389439247272e-86,9.816249212673439e-54,2.7980946142059565e-54,2.3514223098438333e-61,1.4185322054698734e-72,3.3981483593238405e-44,2.180626917239209e-83,1.9505433628437223e-32,2.480207229978016e-66,1.3861514721947295e-84,1.8066347998479364e-42
4.774702377947525e-20,0.17275818235533158,76.950000000000003,0.0,0.0,0.0,0.99999999999985822,9.5,4.0481060248085554e-15,5.9082663403449032e-14,5.908266341018555e-14,1.0925627551247176e-23,1.0922484873216169e-23,1.9553847645952427e-14,4.6679465814626601e-22,6.748197966650123e-24,1.1902936025548715e-34,3.9443733701637585e-39,5.3258790889670639e-39,6.7943819230308223e-22,3.1434869280843046e-26,1.4681424484987334e-34,3.2181719238777777e-39,2.3063823590718633e-53,4.5062443688761148e-53,1.5757881969868407e-36,8.6403702194154678e-27,1.529822643799234e-36,1.529822643957876e-36,1.399665958057577e-46,1.867534111009533e-47,2.9079198148792583e-42,1.1793115792994547e-28,2.3110893317992831e-38,1.5418100843651655e-39,4.636733285238473e-84,2.0413399726944544e-48,4.4752888109429912e-43,4.3605741531333408e-84,7.2954327625580453e-24,1.463453776262141e-58,1.4634383729771747e-58,6.4490548197096975e-34,1.9512796145073987e-34,3.1489120650793974e-26,6.4488883913220415e-34,7.5543400631013382e-44,4.3605741531329521e-84,1.5808766732111897e-52,4.5062451264100819e-53,7.5754195845321762e-60,9.1409656435755549e-71,2.7351254216780218e-43,2.8105262605711547e-81,7.8430490722400614e-32,7.9903179874014031e-65,1.7865573809177662e-82,1.4541368563146801e-41
9.566041349546435e-20,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.999999999999716,9.5,8.1103169486569984e-15,1.1837118971011155e-13,1.1837118973711545e-13,4.3816653055135378e-23,4.3791441817576051e-23,3.917582480551837e-14,1.8720552615275031e-21,2.70632913057739e-23,9.5438996561682577e-34,3.1651112371105914e-38,4.2780505911243167e-38,2.7248508966123925e-21,1.2606788537270359e-25,1.1753960595904492e-33,2.5823653119221749e-38,3.7063070037969991e-52,7.2335190126556041e-52,1.2644707274413834e-35,3.4651749068150086e-26,1.2275863262685448e-35,1.2275863265232e-35,2.2467734466322857e-45,2.9978057310512449e-46,2.3334222594485704e-41,4.7295668909545721e-28,1.8545033026030133e-37,1.2372054425799216e-38,5.983458673602896e-82,3.2768026152435267e-47,3.5911374259409546e-42,5.6270899431739885e-82,2.9257946829352066e-23,4.6988217414605511e-57,4.6987228245994696e-57,5.1749598673110242e-33,1.5657788580834968e-33,1.2628544517817916e-25,5.1748263191330985e-33,1.2126387750665182e-42,5.6270899431729831e-82,2.5376571696928632e-51,7.2335214449379157e-52,2.432307966479607e-58,5.8702612679686392e-69,2.1947658824543589e-42,3.6098964186733419e-79,3.1454134655155808e-31,2.5655235455733975e-63,2.2946902089346488e-80,1.166853241986001e-40
