Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55)
4.920906297682968e-18,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999949596,9.5,2.5330321555308991e-14,2.362880045475222e-13,2.3628800699116777e-13,3.3853065537610187e-21,3.3497102101602914e-21,6.1197715281626256e-15,1.2663245083439921e-20,2.4793764246852746e-21,1.1433566128258154e-30,2.5495436559301912e-35,7.008113042141738e-36,1.2013389353336185e-20,2.8205935511372011e-24,1.6353798913254494e-30,8.8880987756910009e-36,1.8948659732098155e-49,4.5790139460648387e-49,1.7400080014644717e-34,1.3572890512018623e-25,6.1928937232114598e-34,6.1928937814043633e-34,5.2002248860323315e-42,6.1906540211609304e-43,1.7594487225612741e-42,1.1896353513372957e-27,2.1403673233398836e-35,1.2740100166208466e-36,6.8424171951326695e-77,2.0873432893765156e-44,2.3796529682306749e-41,6.5965795295219505e-77,1.1970067551827349e-22,1.157727118145353e-52,1.1567078147189066e-52,1.635872866204095e-31,5.0291939529872066e-32,9.2212055654554467e-26,1.6358556406084236e-31,5.8875942528189243e-40,6.5965795295202008e-77,7.0170452649135493e-49,4.5790349694527001e-49,2.1023387848173221e-54,1.3867016012588517e-63,1.7230561091829909e-41,3.5719236960829443e-72,1.4565458405708e-31
9.846087926641074e-18,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999899147,9.5,5.0682650340368484e-14,4.7278128688376344e-13,4.7278129652496616e-13,1.3550048285075317e-20,1.3267833974235861e-20,1.2244809156421458e-14,5.0685801402772398e-20,9.9239554353806473e-21,9.0540086102069137e-30,2.0411852816410596e-34,5.6147268703262921e-35,4.8084694162136054e-20,1.1289724647222534e-23,1.2658100762761496e-29,7.1133225637096499e-35,3.0364145997909997e-48,7.332355100317464e-48,1.3930597747951961e-33,5.432693310277417e-25,4.9580803982174724e-33,4.9580804914011196e-33,8.3270551508014557e-41,9.9130959510533835e-42,1.4086184331296748e-41,4.7616414958173738e-27,1.7135781971306456e-34,1.0199808962434771e-35,8.7760795203568636e-75,3.3424632200419341e-43,1.9051691878125643e-40,8.460768302098392e-75,4.791129467311998e-22,3.7067413105316426e-51,3.7002217245868034e-51,1.3096836137288803e-30,4.0263843083826146e-31,3.6908570932943211e-25,1.3096698225734582e-30,9.4277565634615645e-39,8.460768302093909e-75,1.1236414146770616e-47,7.3324224314663758e-48,6.7331148823806518e-53,8.8824390265204591e-62,1.3794919464636171e-40,4.5759822989204053e-70,5.8299791084329276e-31
1.9696451184557285e-17,0.19780751180813017,76.950000000000003,0.0,0.0,0.0,0.9999999999979825,9.5,1.0138730791019416e-13,9.4576781776140473e-13,9.4576785525248389e-13,5.421784054821583e-20,5.2002419840476955e-20,2.4494731898032321e-14,2.0280778406861393e-19,3.9708654655236435e-20,7.0911790353271475e-29,1.6335687836271765e-33,4.4981391558164982e-34,1.9240004105186211e-19,4.5173602276424145e-23,9.4974665026870327e-29,5.6887253666491115e-34,4.8651734737772845e-47,1.1736436953402675e-46,1.1148637952282565e-32,2.1737848916555347e-24,3.967970980577695e-32,3.9679711297296007e-32,1.3328454911871157e-39,1.5867357170982913e-40,1.1273062642623804e-40,1.9052766811245386e-26,1.3713559859399072e-33,8.1629187796007029e-35,1.1244777908275615e-72,5.3500998313324446e-42,1.5247141826891875e-39,1.0840770103853918e-72,1.9170622216920058e-21,1.1859506484513625e-49,1.1817884939483896e-49,1.0481299491617613e-29,3.222285019520508e-30,1.4768009879915487e-24,1.0481189117179164e-29,1.5090341533258375e-37,1.0840770103842424e-72,1.7985577711631934e-46,1.173665250177736e-46,2.1554837411364324e-51,5.6871401353942058e-60,1.1040118008156019e-39,5.8597287297874681e-68,2.332750937394207e-30
3.939717770038971e-17,0.19780751180813008,76.950000000000003,0.0,0.0,0.0,0.99999999999596467,9.5,2.0279662304867233e-13,1.8917407495692766e-12,1.8917408913472173e-12,2.1690664796594038e-19,1.9983348224466638e-19,4.8993967336817322e-14,8.1135165227401858e-19,1.5885972659907631e-19,5.4411000374651958e-28,1.3071035439685976e-32,3.6059418693629252e-33,7.6971449553537765e-19,1.8072380997156366e-22,6.7512010370194454e-28,4.5453056910575018e-33,7.8000389407067773e-46,1.8781779704351708e-45,8.9204857469143471e-32,8.6965544620084794e-24,3.1749793381787516e-31,3.1749795768619917e-31,2.1329046956382276e-38,2.5392770293158294e-39,9.019897402345777e-40,7.6223461877191413e-26,1.0972493613800084e-32,6.531529950650643e-34,1.4400611991126666e-70,8.5618436959172598e-41,1.2200027065294624e-38,1.3883219858444937e-70,7.6693880771622265e-21,3.791332084677429e-48,3.7648432016171941e-48,8.3863923285628487e-29,2.5782437775389138e-29,5.9079847175944202e-24,8.3863040069921101e-29,2.4148791281367798e-36,1.3883219858415503e-70,2.8782771672078511e-45,1.8782469591873738e-45,6.8988751838851385e-50,3.6404828596465991e-58,8.8337556100415884e-39,7.5019355699305635e-66,9.3325220021820683e-30
7.879863073205456e-17,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999192901,9.5,4.0561525332093571e-13,3.783686129833225e-12,3.7836866380955713e-12,8.6769705607163662e-19,7.4050924561362506e-19,9.7989998158157822e-14,3.2455783853185212e-18,6.3548463932366909e-19,4.021852203151932e-27,1.0457826379648605e-31,2.8955074788145213e-32,3.0790209431068959e-18,7.2295396583949925e-22,4.4083736061767749e-27,3.6261699792404911e-32,1.252526009932129e-44,3.0052815123371438e-44,7.1368766248868456e-31,3.4789044309878065e-23,2.540224133968689e-30,2.5402245158739401e-30,3.4127322074347156e-37,4.0632030808462047e-38,7.2161782962419686e-39,3.0491857058990435e-25,8.7781279124296791e-32,5.225647651483496e-33,3.2277173926557382e-68,1.3700158446605954e-39,9.7609437081565022e-38,3.1117504058951289e-68,3.0679176042101903e-20,1.2104785425130221e-46,1.1937189002558322e-46,6.7093673055823009e-28,2.0626727592644081e-28,2.3632415238591558e-23,6.709296633216292e-28,3.8639858606929431e-35,3.1117504058819557e-68,4.6057093636260399e-44,3.0055022916744328e-44,2.207793349585583e-48,2.330075367601133e-56,7.0676496840577283e-38,9.6031723583171406e-64,3.7333120606331321e-29
1.5760153679538424e-16,0.19780751180813017,76.950000000000003,0.0,0.0,0.0,0.99999999998385758,9.5,8.1125251384669117e-13,7.5675751816428593e-12,7.5675768298286011e-12,3.4709282612704891e-18,2.5772577484812744e-18,1.9597230054796395e-13,1.2982102967346948e-17,2.5419942000648518e-18,2.7899825134642744e-26,8.3666665072240062e-31,2.3330382781339224e-31,1.2315884004789556e-17,2.8919327497308564e-21,2.569761707665087e-26,2.8845387845706953e-31,2.0179867870148552e-43,4.8083463594806147e-43,5.7094690272887756e-30,1.3916180212048705e-22,2.0322749636358198e-29,2.0322755746296108e-29,5.4598094660440037e-36,6.5012844289738707e-37,5.7725370952374794e-38,1.2197232162928806e-24,7.0217153649287707e-31,4.1806007721405924e-32,4.1457098706046344e-66,2.1920776749233716e-38,7.8091184058811034e-37,3.9967608084377079e-66,1.2271471369892246e-19,3.8554608560120935e-45,3.7506195523957295e-45,5.3671349510245493e-27,1.6500275855788131e-27,9.452193273208372e-23,5.3670783970088901e-27,6.1820076600697638e-34,3.9967608084038131e-66,7.3695016413627595e-43,4.8090528400812747e-43,7.0648058574771259e-47,1.4912222318288125e-54,5.6543469941264876e-37,1.2291854422032231e-61,1.4933851846111201e-28
3.152073489220436e-16,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999996771471,9.5,1.6225270348231158e-12,1.5135347577585559e-11,1.5135352006246177e-11,1.3883985976653993e-17,8.1453962755141457e-18,3.9189787609087145e-13,5.1923558402951481e-17,1.0167802145683171e-17,1.7594582202246528e-25,6.6935052559451354e-30,1.8924360374682397e-30,4.9258931624193619e-17,1.1567960934236684e-20,1.3259609185722219e-25,2.2816613529224755e-30,3.2723679020517711e-42,7.6924344102874317e-42,4.567198384293621e-29,5.5665823249123714e-22,1.6258572522050672e-28,1.625858229545894e-28,8.7332310816649796e-35,1.0401771890061397e-35,4.6170521772082202e-37,4.8789869260696447e-24,5.6157142479644129e-30,3.3443749464718826e-31,5.3068924205313988e-64,3.5072244095746745e-37,6.2474318162619266e-36,5.1162238345600409e-64,4.9081297691052108e-19,1.2222460872673975e-43,1.1580815297904015e-43,4.2928281656930916e-26,1.3197511330830851e-26,3.7800284672079046e-22,4.2927828999120996e-26,9.8892749085087519e-33,5.1162238344732623e-64,1.1791477153074736e-41,7.6946948850488436e-42,2.2604746659847662e-45,9.5427251169065781e-53,4.5235194031340244e-36,1.5731775758793756e-59,5.973659481086961e-28
6.304189731753623e-16,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999993542898,9.5,3.245076076475621e-12,3.0270873658190492e-11,3.0270881530937147e-11,5.5536432768927539e-17,2.2742810054805828e-17,7.8359297240345824e-13,2.0764908117859497e-16,4.0668576866065756e-17,9.8484206762566047e-25,5.3548888564091896e-29,1.5541568418723421e-29,1.9699289120803757e-16,4.6272278317703173e-20,6.1738984151333825e-25,1.7850426800540725e-29,5.3706247120389142e-41,1.2304483762665883e-40,3.6530258922390662e-28,2.2266531705566099e-21,1.300699143357038e-27,1.3007007062458946e-27,1.3964759155786796e-33,1.6641294138716745e-34,3.6919470687673294e-36,1.9516107670743049e-23,4.4897617734793702e-29,2.675236052480484e-30,6.7929643944776567e-62,5.6110265000168146e-36,4.9979875814468584e-35,6.5489035054219389e-62,1.9628250996427679e-18,3.8394279980308834e-42,3.4624966537342921e-42,3.4327333152300528e-25,1.0553300435060389e-25,1.5112865290687483e-21,3.4326970678094234e-25,1.5816039922921087e-31,6.5489035051997804e-62,1.8866524908417e-40,1.2311715313376186e-40,7.2315500997349882e-44,6.1056957736948478e-51,3.6187541007159487e-35,2.0131259668757119e-57,2.3894862378542095e-27
9.45630597428681e-16,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999990314326,9.5,4.8676251178277818e-12,4.5406382909947503e-11,4.5406390227533668e-11,1.1801516112824151e-16,3.8920922325906484e-17,1.1751320760916464e-12,4.4118621502791958e-16,8.6416516115021406e-17,2.3543348765155133e-24,1.531172403777511e-28,4.6693156763397366e-29,4.1854530521496906e-16,9.8328837421078474e-20,1.3757616893942014e-24,5.0395421066281335e-29,2.0522998814006313e-40,4.5282502745538095e-40,1.0444128116440037e-27,4.7316486043190175e-21,3.7191945089408267e-27,3.7192002598759038e-27,5.1384542220978111e-33,6.1248085561423086e-34,1.0553838816517797e-35,4.1471798414371063e-23,1.2833252925787356e-28,7.6490411175454848e-30,3.5049203625051797e-61,2.0651294309164836e-35,1.4291137396592142e-34,3.378993900699054e-61,4.1703597801504485e-18,1.7398691443511968e-41,1.5387679541209854e-41,9.8129239206893189e-25,3.0167998336112626e-25,3.210406716769445e-21,9.8128202189884347e-25,5.8201307656920754e-31,3.3789939005626606e-61,6.9441403260995575e-40,4.5315515688254866e-40,3.3012939362444351e-43,3.3543328665018408e-50,1.0347235515703151e-34,1.2986362867015235e-56,5.0776709641935734e-27
1.260842221682e-15,0.19780751180813008,76.950000000000003,0.0,0.0,0.0,0.99999999987085753,9.5,6.4901741588795985e-12,6.0541876193649666e-11,6.0541878096085497e-11,2.0132012128758273e-16,5.5820933182914068e-17,1.5665152492795139e-12,7.5250397146625564e-16,1.4740962672006279e-16,4.3048825987884721e-24,3.2297017414090498e-28,1.0274163735102196e-28,7.1388677543554434e-16,1.6773761993668052e-19,2.408173838605784e-24,1.050869741107139e-28,5.386363308155296e-40,1.148320352427149e-39,2.2027289852835741e-27,8.0716429521568625e-21,7.8448650148026497e-27,7.844879596890343e-27,1.3028772175223263e-32,1.5533155188208334e-33,2.2255680337317844e-35,7.0746036264449455e-23,2.7060108130196071e-28,1.6133142108514121e-29,1.9120622245313403e-60,5.2373792982452166e-35,3.0144149955934376e-34,1.8433647348643487e-60,7.1131240966026185e-18,5.1510962091033657e-41,4.4777685731428805e-41,2.0693402784830648e-24,6.3617971539979023e-25,5.4748783732444501e-21,2.0693183939647158e-24,1.4758296328180063e-30,1.8433647347884208e-60,1.7611842959971565e-39,1.1493042729513288e-39,9.8392040886116957e-43,1.1531867444329321e-49,2.1825026428381909e-34,5.0711273325113873e-56,8.6619191842316333e-27
