Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109),C7H11(46),C2H4(115),C5H7(210),S(340),S(339),S(204),C5H8(336),S(200),C7H8(273),S(400),S(399),S(388)
3.948103393612602e-20,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999999960232,9.5,1.2353525549906367e-14,7.2778640892214052e-14,7.2778640889863777e-14,4.1964184434457833e-24,4.1979890228348431e-24,2.3892016678507426e-13,5.1025006028872814e-21,9.4205092898569825e-16,2.3923360505095714e-24,9.1097911733729535e-21,6.5869237979442607e-35,7.1894277942467011e-26,5.1861363677565687e-39,9.073262225527435e-40,4.047403442087781e-26,1.1388559478791058e-35,1.1388559478449097e-35,2.9958380863845012e-46,4.2379114270466238e-47,7.4858834448782533e-35,6.8436477811599491e-52,1.0599795600192005e-39,6.8387683285170678e-53,7.4841391215912256e-83,6.957483152487526e-83,6.9574831524901478e-83
7.899636937871262e-20,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999999920419,9.5,2.4717783963009658e-14,1.4562051256725857e-13,1.4562051255785757e-13,1.67903265529579e-23,1.6802896347558053e-23,4.7804788079579631e-13,2.0423298852126253e-20,1.8849202457046617e-15,9.5755784881849724e-24,3.6462903602399725e-20,5.2652396425062553e-34,2.8776446685623812e-25,4.1531202134721297e-38,7.2641267249230243e-39,1.6200161600755919e-25,9.1177723119245658e-35,9.1177723113769783e-35,4.7972433064761678e-45,6.7861795629285462e-46,5.9667107461798112e-34,1.0958753079131669e-50,8.4862301045258245e-39,1.0953927137373347e-51,9.5991520007429877e-81,8.9236633952296234e-81,8.9236633952363519e-81
1.580270402638858e-19,0.49068663699598997,76.950000000000003,0.0,0.0,0.0,0.99999999999840794,9.5,4.9446300789189536e-14,2.9130425589165173e-13,2.9130425585408564e-13,6.7132945666381937e-23,6.7233472024935061e-23,9.5630322195923047e-13,8.1719789506340182e-20,3.7706586532026718e-15,3.8314784148256938e-23,1.4589909439963501e-19,4.2005602287050783e-33,1.1514326435093848e-24,3.3241874197555056e-37,5.8135091165683925e-38,6.4821748047669869e-25,7.2969889221604213e-34,7.2969889212839264e-34,7.6787105271481796e-44,1.0862305774148617e-44,4.7332314585315171e-33,1.7541141813451875e-49,6.7914807841139205e-38,1.7535837611127043e-50,1.2299380465947707e-78,1.1433877830266458e-78,1.1433877830283702e-78
3.1608838203423224e-19,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999999681544,9.5,9.8903334441442441e-14,5.8267174243765421e-13,5.826717422877667e-13,2.6817442424062121e-22,2.6897766669676867e-22,1.9128135568541848e-12,3.269323028987547e-19,7.5421345644392399e-15,1.532840650948525e-22,5.8369126023290439e-19,3.3401035717381867e-32,4.6064799059447e-24,2.6600361658909228e-36,4.6516906009162353e-37,2.5932920123381379e-24,5.8386997982385231e-33,5.8386997968358445e-33,1.2288427365216138e-42,1.73832224852059e-43,3.7218554034337701e-32,2.8071537912022733e-48,5.4340845693411245e-37,2.806508335989369e-49,1.5751190081255149e-76,1.4642784941710667e-76,1.4642784941754831e-76
6.32211065574925e-19,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999999363054,9.5,1.9781740174552083e-13,1.1654067151185247e-12,1.1654067145221211e-12,1.0695895407984341e-21,1.075998222953622e-21,3.8258328369174468e-12,1.3078351017081323e-18,1.5085082771876301e-14,6.1318599740121244e-22,2.3349540927116787e-18,2.6393624257521223e-31,1.8427415777953043e-23,2.1283187620124616e-35,3.7217058803977782e-36,1.0374012269674089e-23,4.6714033414885234e-32,4.6714033392440139e-32,1.9663453760320575e-41,2.7815975202025346e-42,2.8781294774284581e-31,4.4919030284605565e-47,4.3474693555776141e-36,4.4910641275605286e-48,2.0166633989140522e-74,1.8747515775418569e-74,1.8747515775531651e-74
1.2644564326563105e-18,0.49068663699598997,76.950000000000003,0.0,0.0,0.0,0.99999999998726063,9.5,3.9564553635196811e-13,2.3308766588357264e-12,2.3308766564753701e-12,4.2531796612158976e-21,4.304167952309676e-21,7.6518658381454616e-12,5.2315489369380357e-18,3.0170964726619984e-14,2.4528424790233221e-21,9.3401886717818708e-18,2.0606766926213796e-30,7.3712634595632686e-23,1.702795430777919e-34,2.9775061339208157e-35,4.1497737414161718e-23,3.7373000699309108e-31,3.7373000663395221e-31,3.1463029487034735e-40,4.4507791127440861e-41,2.1577649030275531e-30,7.1874105175449864e-46,3.4778029015961874e-35,7.1863232498785958e-47,4.5193880934441361e-72,4.201360506625036e-72,4.2013605066756354e-72
2.528947166819082e-18,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999997452083,9.5,7.9130180555802414e-13,4.6618165396919749e-12,4.6618165304498601e-12,1.6813571043825195e-20,1.7217021472356169e-20,1.5303909605072052e-11,2.0926586754012323e-17,6.0342670795696477e-14,9.8115589944357631e-21,3.7361452773400764e-17,1.572574686668845e-29,2.9485631400872756e-22,1.3623316737919446e-33,2.3820615800478394e-34,1.6599432506530751e-22,2.9899109943046503e-30,2.9899109885583149e-30,5.0341817646104152e-39,7.1214171408167005e-40,1.5323824560124522e-29,1.1500149628229481e-44,2.7817681880395332e-34,1.1498933557267576e-45,5.8044706205501525e-70,5.396012276958371e-70,5.3960122770885617e-70
5.057928635144625e-18,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999994904121,9.5,1.5826143439427833e-12,9.3236962750918577e-12,9.3236962396677074e-12,6.5710364413424437e-20,6.8868781515535113e-20,3.0607908197324419e-11,8.3706920545038207e-17,1.2068585157309299e-13,3.9246550921364661e-20,1.4944683504866897e-16,1.1514556533547784e-28,1.17943546784429e-21,1.0899660837517339e-32,1.9056720929648306e-33,6.6398404055954224e-22,2.391957135596761e-29,2.3919571264026109e-29,8.0546941120679399e-38,1.1394378565466257e-38,9.9938189726211049e-29,1.8400474459944756e-43,2.2245771592130023e-33,1.839996955040448e-44,7.4300935871454364e-68,6.9072407920356271e-68,6.9072407923689409e-68
7.586910103470168e-18,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999992356159,9.5,2.3739268823001892e-12,1.3985575984179129e-11,1.3985575911111199e-11,1.3742644600199459e-19,1.4634659132461631e-19,4.5911817848492858e-11,1.7787733006442098e-16,1.810288009906201e-13,8.3399046442237988e-20,3.1757474569597681e-16,3.1339091082910652e-28,2.5063052446184996e-21,3.2359695410381345e-32,5.4490481888647177e-33,1.4109702869904602e-21,6.8395232039351565e-29,6.8395231700946629e-29,2.964653181086338e-37,4.1938938964491841e-38,2.5623097001892645e-28,6.7726159483230567e-43,6.3595014514405764e-33,6.9613233563549377e-44,3.8336573678445856e-67,3.5638843913776844e-67,3.5638843915823216e-67
1.2644873040121252e-17,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999987260246,9.5,3.9565519589055889e-12,2.3309335297103251e-11,2.3309335109962834e-11,3.6507411657864763e-19,4.0460638416771679e-19,7.6519281390629081e-11,4.9177699260541383e-16,3.0171377439329305e-13,2.305736095458439e-19,8.7799807490911052e-16,1.260277858443641e-27,6.9291979138561617e-21,1.5159868492572057e-31,2.5041895194828608e-32,3.9009288295451301e-21,3.1432016550189779e-28,3.1432016289822153e-28,2.2809897419287112e-36,3.2268133354009874e-37,9.0724795004959947e-28,5.2109286250009988e-42,2.9206333464838799e-32,5.4946097186283201e-43,2.5843219262327933e-65,2.4024642014751875e-65,2.4024642017081929e-65
