Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82)
4.481887778467127e-19,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999999883282,9.5,3.4063410500368496e-14,4.9334412893953325e-13,4.9334412946806955e-13,8.5355363929546165e-22,8.5134717060362552e-22,1.4645677939818434e-13,3.2545977437872751e-20,5.3074280708953794e-22,8.2616222727357202e-32
8.96474839995107e-19,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999999766531,9.5,6.8134214838394612e-14,9.86795340888617e-13,9.8679534299432036e-13,3.4147703360497313e-21,3.3971577404842575e-21,2.9294528064989312e-13,1.3020507643665175e-19,2.1233162982829431e-21,6.5663020089675282e-31
1.793046964291895e-18,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.9999999999953304,9.5,1.3627582351417866e-13,1.9736977565655109e-12,1.9736977649192241e-12,1.3660192849829888e-20,1.3519954139999943e-20,5.859220785294393e-13,5.208624862145113e-19,8.4939522076552699e-21,5.1840911841750728e-30
3.586191212885472e-18,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999999066058,9.5,2.7255904086467412e-13,3.9475025553927872e-12,3.9475025882586415e-12,5.4642993440270508e-20,5.3531688883284502e-20,1.1718748557941901e-12,2.0835330614459985e-18,3.3977157514993029e-20,4.0405083124701486e-29
7.172479710072625e-18,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999998132094,9.5,5.4512547556137466e-13,7.8951120257095302e-12,7.8951121528959229e-12,2.1857640953636535e-19,2.0985167847949501e-19,2.3437771363554711e-12,8.3342885030729328e-18,1.3591112436560416e-19,3.0735681920529512e-28
1.4345056704446933e-17,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999996264155,9.5,1.0902583449376136e-12,1.5790330477639451e-11,1.5790330954004326e-11,8.7431444282315714e-19,8.0703145580937685e-19,4.6875686016783244e-12,3.3337386699060043e-17,5.4364786180606155e-19,2.2378664358684052e-27
2.869021069319555e-17,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999992528277,9.5,2.1805240836214434e-12,3.1580765570934759e-11,3.1580767243556965e-11,3.4972748466577942e-18,2.9953118774077055e-18,9.3750991497105585e-12,1.3334937353283106e-16,2.174585189614543e-18,1.5157341434447972e-26
5.738051867069277e-17,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.9999999998505652,9.5,4.3610555607145103e-12,6.3161629409692213e-11,6.3161634572009292e-11,1.3989129278896237e-17,1.0453221975946854e-17,1.8749950720003981e-11,5.3339203859438181e-16,8.6982244556002289e-18,9.2545230128077315e-26
8.607082664819e-17,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999977584764,9.5,6.5415870375329843e-12,9.4742487593860112e-11,9.4742496649812326e-11,2.9726913618102178e-17,2.0299328452379416e-17,2.8124592769209088e-11,1.1334489247766728e-15,1.8483537604724722e-17,2.299264117059823e-25
1.1476113462568723e-16,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999970113007,9.5,8.7221185140768643e-12,1.2632334066075663e-10,1.2632335347696984e-10,5.0710624150464943e-17,3.1996403830840508e-17,3.7499025302008513e-11,1.9335155619063415e-15,3.1530433967762822e-17,4.3195687218728397e-25
1.721417505806817e-16,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999955169505,9.5,1.3083181466520175e-11,1.8948503600006761e-10,1.894850548083527e-10,1.0498990129841259e-16,5.8519505690620522e-17,5.6247398659956058e-11,4.0030456098754572e-15,6.5278681718958383e-17,9.9476898986245948e-25
2.2952236653567616e-16,0.17203094247241252,76.950000000000003,0.0,0.0,0.0,0.99999999940226003,9.5,1.7444244417953711e-11,2.526467154373793e-10,2.5264673683127002e-10,1.7856028922728425e-16,8.8934000170611969e-17,7.4995001590251957e-11,6.8080457142421861e-15,1.1102018160338221e-16,1.8104016056453808e-24
2.8690298249067063e-16,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999925282501,9.5,2.1805307368305346e-11,3.1580837938708464e-10,3.1580839816657048e-10,2.7279969962438242e-16,1.2196819911636541e-16,9.3741779093646736e-11,1.0401019573351313e-14,1.6961098922289009e-16,2.9014402540204341e-24
3.442835984456651e-16,0.17203094247241257,76.950000000000003,0.0,0.0,0.0,0.99999999910339021,9.5,2.6166370317555364e-11,3.7897002874833942e-10,3.7897003843731164e-10,3.8808473611668637e-16,1.5648917742335889e-16,1.1248771616589414e-10,1.4796290626568705e-14,2.4128453520332118e-16,4.2746189297625858e-24
4.59044830355654e-16,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999880452051,9.5,3.4888496212752637e-11,5.0529328664608308e-10,5.0529325582513649e-10,6.8175170280725518e-16,2.2707984636245869e-16,1.4997707082288052e-10,2.5992000323897864e-14,4.2385091769478978e-16,7.8678700682388456e-24
6.885672941756318e-16,0.17203094247241252,76.950000000000003,0.0,0.0,0.0,0.99999999820678154,9.4999999999999982,5.2332747989962911e-11,7.5793964308054222e-10,7.5793943849858908e-10,1.5209612379235234e-15,3.7085927949726043e-16,2.2494572379205312e-10,5.7983465166597891e-14,9.4552002386326645e-16,1.8433490362215375e-23
1.1476122218155876e-15,0.17203094247241252,76.950000000000003,0.0,0.0,0.0,0.99999999701130549,9.4999999999999929,8.7221251491654121e-11,1.2632317274745331e-09,1.2632307955937528e-09,4.206725804140568e-15,6.6012811780901396e-16,3.7484282034342509e-10,1.6035131002022291e-13,2.6147169594087083e-15,5.3078000742700712e-23
