Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308)
0.0,0.42728280893885895,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.245929608283262e-27,0.42728280893885895,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.2744057192094991e-19,2.1207376482145788e-18,2.1207376482145788e-18,6.2842634389449339e-35,6.2842634352990091e-35,4.3300225543803304e-16,4.2420710685124436e-30,2.7163790618684683e-35,2.6706851150725203e-51,9.555292128427954e-56,7.4367041707381741e-53,1.5480138594681175e-29,3.0883746086960862e-36,2.3088125057572995e-51,2.7311838501901077e-55,3.3828164995992099e-71,1.4539360689120987e-72,3.5208115753898566e-48,7.3442919282426308e-35,8.1400695193107092e-50,8.1400695193107092e-50,1.0426331811019262e-66,1.8591519052032413e-67,2.7956657770550819e-49,2.5019847332535698e-36,6.4094103749657369e-53,5.714410267114688e-54,3.5845232303248806e-117,1.8738702854830934e-67,1.8041438966424848e-54,3.2060680766725278e-117,1.8920001205330641e-31,2.7763675847070581e-84,2.776367584692543e-84,3.1016261491262095e-46,8.936964312486758e-47,3.1654933826493225e-32,3.1012412077852867e-46,1.6870423134957323e-61,3.2060680766725278e-117,1.0723328817813932e-70,1.4539360689133733e-72,1.2744662133498166e-84,2.3226419861981938e-101,5.6908334594819429e-55,1.27346607821102e-118,4.7387440325564249e-38,1.0338489757629767e-90,2.4611875720449999e-117,1.7109050104575616e-53,3.8148268202114573e-135,7.3788456883663779e-123,1.9363192697397046e-139,3.4539064453352372e-79,7.4511496893282619e-53,9.8874398020975479e-80,2.5778264765986351e-53,3.8193646188307123e-70,3.430463889634411e-41,3.3018482375964351e-70,2.9438145422975807e-71,1.016530206760827e-57,1.078804838160373e-55,7.6117362160364024e-86,7.2709492381030264e-57,2.0473404905204272e-58,9.6866059701477865e-94,1.4849592437745375e-68,1.4851513203247801e-50
2.588860290319314e-26,0.42728280893885895,76.950000000000003,0.0,0.0,0.0,0.99999999999999878,9.5,6.3683360137865923e-19,5.9380654150008136e-18,5.9380654150008136e-18,3.7956951171227133e-34,3.7956951127942722e-34,1.2124063152264265e-15,2.5622109253813995e-29,1.6406929533684795e-34,3.1706373375834419e-50,1.1344042814884181e-54,1.1238347342819115e-51,9.3500037111870035e-29,1.8653782636524327e-35,2.741022140328156e-50,3.2424614669277646e-54,9.54008377950936e-70,3.2523968287151763e-71,4.1799075023026618e-47,4.4359523246585426e-34,9.6638905333256637e-49,9.6638905333256637e-49,2.3323287207973583e-65,4.1588484458631762e-66,3.3190144105194797e-48,1.5111987788851831e-35,7.6092519971580619e-52,6.7841478691180208e-53,3.8195876609138376e-115,4.1917728738138398e-66,2.1418796340943972e-53,3.4163143265773334e-115,1.1427680728019192e-30,1.1456758576548751e-82,1.1456758576439486e-82,3.6822505642424064e-45,1.0609964031783605e-45,1.9119580031200624e-31,3.681793561882465e-45,3.7738461735971916e-60,3.4163143265773329e-115,2.3987657632301541e-69,3.2523968287204349e-71,5.2591205144444664e-83,1.7484269140668367e-99,6.7561574830972431e-54,1.7382749211180069e-116,2.8622013956640707e-37,4.2662067462623314e-89,3.3595089071106188e-115,2.0311864284151565e-52,9.411143926426157e-133,1.0072088001742931e-120,4.7768824625302648e-137,1.425264165605551e-77,8.8460049111299112e-52,4.0800797191667321e-78,3.0603955930178904e-52,8.5437658777363568e-69,2.0720001893391754e-40,7.3861024335725328e-69,6.5851953785379294e-70,1.2068246614664425e-56,1.2807571038637006e-54,3.1410032071129332e-84,8.6320709354703384e-56,2.4306028391036599e-57,7.2918351966415793e-92,3.3217944299537468e-67,1.7631716474888756e-49
5.917394949301289e-26,0.42728280893885895,76.950000000000003,0.0,0.0,0.0,0.99999999999999722,9.5,1.4556196602940768e-18,1.3572720948573259e-17,1.3572720948573257e-17,1.8274638080451462e-33,1.8274638037954568e-33,2.7712144348029492e-15,1.2335942667232441e-28,7.8992303119123699e-34,3.1129504739335031e-49,1.1137648504938993e-53,1.2089701236284247e-50,4.5016243033326484e-28,8.9809933620881765e-35,2.6911516505392962e-49,3.183467895726002e-53,2.0751766035395032e-68,6.4261880578065359e-70,4.1038579722738727e-46,2.1357200927329478e-33,9.4880650317085255e-48,9.4880650317085255e-48,4.608288521289871e-64,8.2171837031222924e-65,3.2586280297344315e-47,7.2757716043017749e-35,7.4708087330561362e-51,6.6607166073472066e-52,8.6924878424078649e-113,8.2822368245114895e-65,2.1029101259277906e-52,7.7747320878381097e-113,5.5019363505093723e-30,4.5321797596087609e-81,4.5321797595223681e-81,3.6152554394207965e-44,1.0416925602632468e-44,9.2052547567423037e-31,3.614806751793823e-44,7.4564840915565835e-59,7.7747320878381086e-113,4.7395569215415018e-68,6.426188057827341e-70,2.0804557755010083e-81,1.3824285871907058e-97,6.6332354803730043e-53,2.7460483457482482e-114,1.3780267646673933e-36,1.6876689629719498e-87,5.3072006992795899e-113,1.9942308801891449e-51,2.970818330934259e-130,1.5911430499159925e-118,1.5079197699436467e-134,5.6382033018668208e-76,8.6850600777551506e-51,1.6140389620131549e-76,3.0047145411233392e-51,1.688104162670651e-67,9.9757889910567377e-40,1.4593693744022525e-67,1.3011236367660789e-68,1.1848676090003843e-55,1.2574549193588188e-53,1.242548709854464e-82,8.475018431915608e-55,2.3863807228998176e-56,5.7654348304799832e-90,6.5633060233514465e-66,1.7310923789683833e-48
1.257446426726524e-25,0.42728280893885895,76.950000000000003,0.0,0.0,0.0,0.99999999999999412,9.5,3.093191778124907e-18,2.8842032015718051e-17,2.8842032015718045e-17,7.9810145674596442e-33,7.9810145298716261e-33,5.8888306739549413e-15,5.387430257009001e-28,3.4498014085717809e-33,2.7533693242256175e-48,9.8511239728138491e-53,1.111251830824765e-49,1.9659776015238512e-27,3.9222357530439877e-34,2.3802929079756228e-48,2.81574130207526e-52,3.8470276884481576e-67,1.1435058298976733e-68,3.6298159017627869e-45,9.3272507488680463e-33,8.3920860716284911e-47,8.392086071628493e-47,8.200203203718047e-63,1.4622039357261262e-63,2.8822195895106687e-46,3.1775206112324357e-34,6.6078457201664225e-50,5.8913284089810365e-51,1.4689920172223745e-110,1.4737797910995945e-63,1.8600001916852469e-51,1.3138953519563596e-110,2.4028401530761875e-29,1.6175027638212702e-79,1.6175027637595203e-79,3.197652494701661e-43,9.2136527275969437e-44,4.0201765959626513e-30,3.1972556355768356e-43,1.326841504250507e-57,1.3138953519563594e-110,8.4337883083348951e-67,1.1435058299050982e-68,7.4249988866855206e-80,9.8810214952595657e-96,5.8670216633892836e-52,3.9281326284900798e-112,6.018204921346506e-36,6.0231706526820659e-86,7.5917775683243419e-111,1.7638746295809308e-50,8.5021010423366104e-128,2.2760782565322665e-116,4.3154729841181188e-132,2.0122347099207871e-74,7.6818372834455313e-50,5.7603904092140627e-75,2.6576359843140651e-50,3.003891162408137e-66,4.3566891398355687e-39,2.5968698279404646e-66,2.3152799928559514e-67,1.0480019819620675e-54,1.1122046359479027e-52,4.4345614777223513e-81,7.4960578264784048e-54,2.1107275111202743e-55,4.1208917420563279e-88,1.1679052392456338e-64,1.5311316051974573e-47
2.588860290319314e-25,0.42728280893885895,76.950000000000003,0.0,0.0,0.0,0.99999999999998779,9.5,6.3683360137865472e-18,5.9380654150007227e-17,5.9380654150007202e-17,3.3319164753282229e-32,3.3319164437332302e-32,1.2124063152254704e-14,2.2491460805236752e-27,1.4402241786016055e-32,2.3143726232569975e-47,8.2804632739834193e-52,9.5069933714161411e-49,8.2075694828940377e-27,1.6374562175306267e-33,2.0007791909763415e-47,2.3668002254213555e-51,6.6120576766182571e-66,1.9286897204551227e-67,3.0510789782455759e-44,3.8939435803541556e-32,7.0540540043222062e-46,7.0540540043222062e-46,1.383084126994658e-61,2.4662206578209319e-62,2.4226792317398029e-45,1.3265523055714032e-33,5.5542924803643252e-49,4.9520165069109205e-50,2.150927898676389e-108,2.4857450298700527e-62,1.5634422345329177e-50,1.9238322164662725e-108,1.0031384639059071e-28,5.4651762649057938e-78,5.4651762644881795e-78,2.6878195948116718e-42,7.7446302817640346e-43,1.6783445914788806e-29,2.6874860108047121e-42,2.2379121321486117e-56,1.9238322164662713e-108,1.4224816690442665e-65,1.9286897204802102e-67,2.5087393104612423e-78,6.6825396219537361e-94,4.9315852226549244e-51,5.31533424731872e-110,2.5124820860612769e-35,2.0350932331037844e-84,1.0272778218909628e-108,1.4826429075816348e-49,2.3013778351102532e-125,3.0798646205198031e-114,1.1681270105263694e-129,6.7988862970536474e-73,6.4570471018972602e-49,1.9463057279448052e-73,2.2339031793966356e-49,5.0665015033471261e-65,1.8188319542840442e-38,4.3800005312889306e-65,3.9050581163892146e-66,8.8090881269548874e-54,9.3487501186889283e-52,1.49833363023132e-79,6.3008882744864291e-53,1.7741949772756311e-54,2.7869610806095429e-86,1.969842890605446e-63,1.287008371764023e-46
5.251688017504894e-25,0.42728280893885895,76.950000000000003,0.0,0.0,0.0,0.99999999999997524,9.5,1.2918624485109746e-17,1.2045789841858395e-16,1.2045789841858388e-16,1.3611965979289061e-31,1.3611965720254225e-31,2.4594528108837358e-14,9.1884956172269595e-27,5.8837857031606304e-32,1.8974621824766748e-46,6.7888240766721177e-51,7.8605659667078423e-48,3.3530599401573095e-26,6.6895429374197469e-33,1.6403589713891459e-46,1.9404458206606179e-50,1.095900069362234e-64,3.1678786573628265e-66,2.5014588847913943e-43,1.5908030088249939e-31,5.7833396607350241e-45,5.7833396607350266e-45,2.2717198317233483e-60,4.0507748360632569e-61,1.9862588062909924e-44,5.4193990116196066e-33,4.5537445516065974e-48,4.0599623205954106e-49,2.9412119627547165e-106,4.0828436757792415e-61,1.2818044030755291e-49,2.6306778264792492e-106,4.0981479410733137e-28,1.7968303848149926e-76,1.796830384540272e-76,2.2036368950441836e-41,6.3495158158362416e-42,6.8565852865385888e-29,2.203363402721001e-41,3.6757773970796468e-55,2.6306778264792468e-106,2.3364304128574072e-64,3.1678786574453087e-66,8.2481859731683608e-77,4.3959977673399768e-92,4.0432115193646094e-50,6.9946810170821348e-108,1.0264309124277338e-34,6.6909412985223645e-83,1.3518398553534273e-106,1.2155602331462404e-48,6.0576048785076495e-123,4.0529286769868109e-112,3.0747023673757774e-127,2.2353250636377108e-71,5.2938773320672971e-48,6.3990274069760437e-72,1.8314887932145287e-48,8.3217439329443586e-64,7.4305220035027021e-38,7.1941640249397545e-64,6.4140696823234506e-65,7.2222226691637151e-53,7.664670174962096e-51,4.9261637863971645e-78,5.1658488910010839e-52,1.4545944048221434e-53,1.8333560863101275e-84,3.2354728628848309e-62,1.055167220935483e-45
1.0577343471876052e-24,0.42728280893885884,76.950000000000003,0.0,0.0,0.0,0.99999999999995004,9.5,2.601920142775581e-17,2.4261238695573106e-16,2.4261238695573067e-16,5.5021742854387101e-31,5.5021740756655877e-31,4.9535458021935174e-14,3.714136839882637e-26,2.3783202548534552e-31,1.5366135479294201e-45,5.4977657496686498e-50,6.3920816991430379e-47,1.3553604386254699e-25,2.7040202118943782e-32,1.3284041044205347e-45,1.5714233347243386e-49,1.7843891694023338e-63,5.1352678168170827e-65,2.0257462596023362e-42,6.4302801091883813e-31,4.6834984004693469e-44,4.6834984004693519e-44,3.6825557422540193e-59,6.5664805689812344e-60,1.6085238785663247e-43,2.1906077292331982e-32,3.6877404016699738e-47,3.2878627488404923e-48,3.8900343826111215e-104,6.618465540092161e-60,1.0380384386408556e-48,3.479323259991315e-104,1.6565369215274466e-27,5.8279762820265728e-75,5.8279762802440918e-75,1.7845622907476022e-40,5.1420025299672347e-41,2.7715414001793895e-28,1.7843408095735537e-40,5.9585935606546117e-54,3.4793232599913081e-104,3.787454382886495e-63,5.1352678170846108e-65,2.6752793493389585e-75,2.852273340602672e-90,3.2742975157236508e-49,9.0777468033549388e-106,4.1489978602157431e-34,2.1701907719181818e-81,1.7544273849820867e-104,9.8439219232807721e-48,1.5724046601686516e-120,5.2599196818373618e-110,7.9811681816080596e-125,7.2502232626262496e-70,4.2871191158629205e-47,2.0755092008285281e-70,1.4831871092985441e-47,1.348990552341525e-62,3.0035357976407925e-37,1.1662049901934304e-62,1.0397483356068455e-63,5.848743166254407e-52,6.2070486276285551e-50,1.5977703615492846e-76,4.1834383655158188e-51,1.1779717768324249e-52,1.1895439819315908e-82,5.2448409367188232e-61,8.5450177255933207e-45
2.122865438061837e-24,0.42728280893885895,76.950000000000003,0.0,0.0,0.0,0.99999999999989964,9.5,5.2220355313046618e-17,4.8692136402999926e-16,4.8692136402999758e-16,2.2124000807321703e-30,2.2123999118885171e-30,9.9417317847860839e-14,1.4934380879449184e-25,9.5631211424107229e-31,1.2367994246695663e-44,4.4250801705129918e-49,5.1554454594083247e-46,5.4498447127784586e-25,1.0872746344896786e-31,1.069213389170652e-44,1.2648182100405145e-48,2.8800113135240122e-62,8.2701905077339956e-64,1.6304968256647806e-41,2.5855873505050454e-30,3.7696869678495357e-43,3.7696869678495428e-43,5.9306424959587544e-58,1.0575114522978849e-58,1.2946799558764488e-42,8.8083373328287956e-32,2.9682143013936985e-46,2.6463579778466868e-47,5.0610413809969054e-102,1.0658834716317278e-58,8.3550364273247672e-48,4.526694950408668e-102,6.660862104300626e-27,1.8775601907028675e-73,1.8775601895542433e-73,1.4363709849979295e-39,4.1387309802092019e-40,1.1144246073251198e-27,1.4361927176806803e-39,9.5961312361890991e-53,4.526694950408649e-102,6.0995785230003617e-62,8.2701905085958704e-64,8.6187687862113411e-74,1.837993849780885e-88,2.6354394981077165e-48,1.169996004660638e-103,1.6682937916368333e-33,6.9915586537581672e-80,2.2612142367067585e-102,7.9232447656920079e-47,4.0533334584973057e-118,6.7793089503755582e-108,2.0573798113670996e-122,2.3357560010475411e-68,3.4506464342796552e-46,6.6865293597947539e-69,1.193798019925466e-46,2.172507697427105e-61,1.2077085342006737e-36,1.8781371845883823e-61,1.6744826408382627e-62,4.7075773293540919e-51,4.9959727364619953e-49,5.1473072829679211e-75,3.367195147328343e-50,9.4813982544988439e-52,7.6653751645586064e-81,8.4466546391222326e-60,6.8777736651078017e-44
4.253127619810301e-24,0.42728280893885895,76.950000000000003,0.0,0.0,0.0,0.99999999999979883,9.5,1.0462266308362295e-16,9.7553931817843241e-16,9.7553931817842629e-16,8.8727138438484047e-30,8.8727124889845181e-30,1.9918103749863216e-13,5.989354689132513e-25,3.8352392991296334e-30,9.9245229759353746e-44,3.5508481556141951e-48,4.1411341581276157e-45,2.1856314800729526e-24,4.3604575797686344e-31,8.5797351514715762e-44,1.0149369573089673e-47,4.6281008648218922e-61,1.3275487336586458e-62,1.3083710174850353e-40,1.036936170773029e-29,3.0249363851059685e-42,3.0249363851059806e-42,9.5199946449665625e-57,1.6975400843809164e-57,1.0388991284816283e-41,3.5325372329886428e-31,2.3818050452059561e-45,2.1235356153943566e-46,6.5310057979040163e-100,1.7109790295252316e-57,6.7043905512920818e-47,5.8414600357685641e-100,2.6713036181470068e-26,6.0284520095045949e-72,6.0284520021282132e-72,1.1525972559659116e-38,3.3210709634156466e-39,4.4693411139208888e-27,1.1524542076707856e-38,1.5403915856444033e-51,5.8414600357685184e-100,9.7911743825295566e-61,1.3275487339353763e-62,2.767305905447021e-72,1.1803463934027992e-86,2.1147742230610917e-47,1.5027666236921201e-101,6.6906042670958839e-33,2.244842857806043e-78,2.9043494767548083e-100,6.3579049359153346e-46,1.041250834908557e-115,8.7074820689999264e-106,5.2851522546289059e-120,7.4996226668779543e-67,2.7689264476213894e-45,2.1469043481815851e-67,9.5794772821655833e-46,3.4873559920645079e-60,4.843451382986016e-36,3.0148261258389558e-60,2.6879154805066692e-61,3.777534333937105e-50,4.0089534855098502e-48,1.6526135884332792e-73,2.7019620469452047e-49,7.6083157891596224e-51,4.9226486421712417e-79,1.3558751347532e-58,5.5189802188872866e-43
