Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218)
0.0,0.17393021754402735,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7072573105685004e-21,0.17393021754402735,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,2.6447457613681527e-17,3.1730698131497929e-16,3.1730689217500798e-16,2.8504124726225003e-27,2.8503856342752816e-27,2.0812202328091262e-17,2.3968010899361829e-26,1.9529654138572314e-27,9.4172100529274136e-40,2.5961528988302496e-44,1.3841899721025054e-31,2.6867486560666783e-26,3.8219586198557136e-30,1.29040113058719e-39,1.2800076854036504e-44,7.3216611232560836e-48,1.579150809773531e-60,7.105767119989416e-43,3.4238849176743853e-31,1.6283095212083071e-42,1.6283095212195748e-42,1.0021941974355405e-53,1.2457493144814861e-54,5.5561977677311735e-50,2.0918427167309564e-31,2.5749805000613482e-42,1.6003785498683146e-43,6.506356777749402e-97,3.925760583869948e-54,2.1203899067239535e-47,6.2116643542782041e-97,2.7585661039709222e-28,1.7632825669706815e-65,1.7632814126548069e-65,4.79726843000143e-40,1.4662902218550933e-40,4.1655606387138075e-31,4.797196152977088e-40,1.7994398645293408e-51,6.2116643542781999e-97,6.2497009533359614e-58,2.0672727978366386e-58,8.2407818791181982e-69,4.7421924530279245e-81,5.5323958581513421e-48,9.8192397255304073e-93,8.529695734051073e-37,2.0828291971721004e-71,1.604786144723079e-94,5.8727420747642838e-48,1.1283297996449638e-106,3.7761525978002325e-99,8.9433541579849641e-110,3.4093844580982297e-67,1.5364462872785027e-49,2.3648891404554733e-69,3.1995094731485379e-48,1.437082190464969e-59,3.330671159623306e-40,1.9692385265861401e-59,1.2239032833084291e-60,2.991988781169665e-51,1.1999015896120464e-52,1.558973829577006e-71,1.4451541310599059e-52,1.8183678271646116e-57,2.7234834542096977e-78,8.5729930336375473e-60,4.202427439670691e-44,2.5441725897844283e-79,8.9141924459035885e-23,2.6316545310194081e-42,4.9406685574077985e-40,2.6316545310194068e-42,7.8018144999165555e-72
4.780320469591801e-21,0.17393021754402735,76.950000000000003,0.0,0.0,0.0,0.99999999999999811,9.5,7.4052881318308108e-17,8.884595476663774e-16,8.8845929808078383e-16,1.7216491334296039e-26,1.7216168042140228e-26,5.8274166349404841e-17,1.4476678548129916e-25,1.1795911088137962e-26,1.1179955152152134e-38,3.0821529385924483e-43,8.3605074313930943e-31,1.6227961843313827e-25,2.3084630063591032e-29,1.5318979703165937e-38,1.5196247404385302e-43,8.6922760853900981e-47,3.5324974175588454e-59,8.4359667061239864e-42,2.0680264902477588e-30,1.9331290635430735e-41,1.9331290635682788e-41,2.2418683161605145e-52,2.786691382865178e-53,6.596317956891503e-49,1.2634729978793203e-30,3.0570168204761168e-41,1.8999694076076462e-42,6.9330280398351329e-95,8.7817693656145565e-53,2.5173268879771684e-46,6.6190103945011747e-95,1.6661739227604214e-27,7.276233409976313e-64,7.2762247205826004e-64,5.6953170539963421e-39,1.7407797433908338e-39,2.5159986132011723e-30,5.6952312467138624e-39,4.0252749817318107e-50,6.6190103945011667e-95,1.3980330976304395e-56,2.470843573627792e-57,3.4005819252566641e-67,3.5698043296322653e-79,6.5680603463974855e-47,1.3403214641584584e-90,5.1519362232534616e-36,4.6892692974844375e-70,2.190525310802117e-92,6.9721193900274338e-47,2.7835797735900224e-104,5.1544300040945209e-97,2.2063180045100231e-107,1.4068920368995523e-65,1.8240690143061561e-48,9.7587812028527415e-68,3.7984576464083438e-47,3.2146953661174712e-58,2.0117253803729614e-39,4.4051077994111072e-58,2.7378226882824599e-59,3.5520890809579878e-50,1.4245232510744279e-51,6.4330439416943047e-70,1.7156868846113985e-51,2.2203392781186777e-56,2.0501703550136544e-76,1.9177442420723456e-58,4.9891215026743848e-43,1.9151896129114765e-77,2.495973900484716e-22,3.1243002291808822e-41,2.9841638247729731e-39,3.1243002291808791e-41,3.2194405847500761e-70
1.0926446787638404e-20,0.17393021754402735,76.950000000000003,0.0,0.0,0.0,0.99999999999999567,9.5,1.6926372872756051e-16,2.0307646803069164e-15,2.030764109855382e-15,8.2889994698704392e-26,8.28867964565007e-26,1.3319809371502915e-16,6.9698975169074691e-25,5.6792234061572647e-26,1.0976214521666436e-37,3.0260761276106115e-42,4.0252244387150104e-30,7.8130650328485269e-25,1.1114255666034209e-28,1.5038861955331893e-37,1.4919757687218023e-42,8.5341282048347278e-46,6.9796197832042374e-58,8.2824820970045697e-41,9.9566573401835618e-30,1.8979575778105721e-40,1.897957577860374e-40,4.4295539375708364e-51,5.5060325590657183e-52,6.4763040158947114e-48,6.0830785748609545e-30,3.0013971803616871e-40,1.8654012166588535e-41,1.5777949688194018e-92,1.7351296281682377e-51,2.471526446492333e-45,1.5063318998571806e-92,8.0219101697772034e-27,2.8784042881755635e-62,2.8783974177474406e-62,5.5916960010954566e-38,1.7091078578081409e-38,1.2113450148650226e-29,5.5916117549984205e-38,7.953264970836991e-49,1.5063318998571763e-92,2.7622777826705576e-55,2.4610028276784225e-56,1.3452364246853564e-65,2.822537012122631e-77,6.4485605614218522e-46,2.1173794701333073e-88,2.4804355192919751e-35,9.3952064111180449e-69,3.4604932070030796e-90,6.845268158833812e-46,8.7869339686419342e-102,8.1427363461061886e-95,6.964690583780235e-105,5.5655249351848634e-64,1.7908817368040905e-47,3.8604767507810225e-66,3.7293482415497782e-46,6.3516962748299516e-57,9.6855917315918544e-39,8.7037506225304676e-57,5.4094762679633394e-58,3.4874621231867841e-49,1.3986055529015204e-50,2.5447562108204927e-68,1.6844713458364077e-50,2.3103658127778083e-55,1.6210080331194566e-74,3.7891394220126022e-57,4.8983483272020613e-42,1.5142828209256303e-75,5.7050832748002739e-22,3.0674564282156059e-40,1.4367464406277891e-38,3.0674564282156002e-40,1.2735786671792788e-68
2.3218699423731606e-20,0.17393021754402735,76.950000000000003,0.0,0.0,0.0,0.99999999999999079,9.5,3.5968542354606256e-16,4.3153749453389795e-15,4.3153737332567687e-15,3.6200238396975941e-25,3.6197399267151708e-25,2.830459457382666e-16,3.04393732983777e-24,2.4802660576811444e-25,9.7077473525350154e-37,2.6765301043990684e-41,1.7579212644057971e-29,3.4121707322448608e-24,4.853887446693693e-28,1.3299207671630021e-36,1.3196342256385358e-41,7.5483397507236834e-45,1.2419860434140063e-56,7.3257615481085868e-40,4.3483338450191349e-29,1.6787219837542727e-39,1.6787219838428919e-39,7.8821543184951449e-50,9.7976906961261551e-51,5.7282174360573663e-47,2.6566402033425583e-29,2.6547017062726293e-39,1.6499262255301635e-40,2.6664037450867345e-90,3.0875704192042119e-50,2.1860371177873835e-44,2.5456343178281889e-90,3.503378889453823e-26,1.0272811215389351e-60,1.0272762108645412e-60,4.945791690674432e-37,1.5116865150727998e-37,5.2902618161460279e-29,4.9457171759587415e-37,1.4152409801802456e-47,2.5456343178281754e-90,4.9153256207842817e-54,2.2391938377879763e-55,4.8010532306852179e-64,2.0174314292285694e-75,5.7036787271570656e-45,3.0288422900256957e-86,1.0832713580487435e-34,1.7183037133055151e-67,4.9501226953677105e-88,6.054562162024988e-45,2.5147077985994002e-99,1.1647918896147756e-92,1.9932051763809288e-102,1.9862962794468651e-62,1.5840145474724168e-46,1.3777766984951066e-64,3.2985662856976951e-45,1.1302503986353958e-55,4.2299523721091366e-38,1.5487858960964245e-55,9.625873986265862e-57,3.0846207535310734e-48,1.2370510889308368e-49,9.0813953469631417e-67,1.4898954533709446e-49,2.2755046396432377e-54,1.1586287334055834e-72,6.7425710313422833e-56,4.3325322905995578e-41,1.082346016933305e-73,1.2123302273538764e-21,2.7131303597044776e-39,6.2746493172212825e-38,2.7131303597044685e-39,4.5453117141361031e-67
4.7803204695918017e-20,0.17393021754402735,76.950000000000003,0.0,0.0,0.0,0.99999999999998102,9.5,7.4052881318305508e-16,8.8845954744071151e-15,8.8845929794682893e-15,1.5112886925047673e-24,1.5110496341017155e-24,5.827416389526973e-16,1.2707838889411012e-23,1.0354622463013327e-24,8.1589540671070011e-36,2.2497848424549498e-40,7.3389752306080335e-29,1.4245140825827151e-23,2.026402459776761e-27,1.1174589694105154e-35,1.1092296485065471e-40,6.3448343811876441e-44,2.0947909298739982e-55,6.1577438727189967e-39,1.8153437829663582e-28,1.4110669777083261e-38,1.4110669778577955e-38,1.329440451711407e-48,1.6525237228784024e-49,4.8149116970734037e-46,1.1090949661955726e-28,2.2314365568227781e-38,1.3868623649913221e-39,3.9042024297797068e-88,5.2076386438382422e-49,1.8374958572571655e-43,3.7273693855671988e-88,1.4625916919950609e-25,3.4709444909015614e-59,3.4709112802621479e-59,4.1572357568612284e-36,1.2706635511808235e-36,2.2085800751276104e-28,4.1571731227580255e-36,2.3870106770870112e-46,3.7273693855671592e-88,8.2904147423683341e-53,1.9872601130938422e-54,1.6221673285412423e-62,1.3643898119030031e-73,4.7942855386422862e-44,4.098463621364316e-84,4.5224446766122403e-34,3.0550191222170659e-66,6.6982351162463538e-86,5.0892243047390397e-44,6.806897013063905e-97,1.5761326548832326e-90,5.3952759797186637e-100,6.711245948413481e-61,1.3314595573971414e-45,4.6551958504483654e-63,2.7726437159372755e-44,1.9063324425280217e-54,1.7659218482810792e-37,2.6122537107043468e-54,1.6235443407045569e-55,2.5928096053903318e-47,1.0398165099217468e-48,3.0679530243122361e-65,1.2523462689753607e-48,2.303006905468706e-53,7.8358113535841892e-71,1.1372331163781536e-54,3.6417522028016578e-40,7.3199110080959735e-72,2.495974127144521e-21,2.2805493552432016e-38,2.6195426934908657e-37,2.2805493552431857e-38,1.5357580409487145e-65
9.697221524029084e-20,0.17393021754402735,76.950000000000003,0.0,0.0,0.0,0.99999999999996136,9.5,1.5022155924569946e-15,1.8023036528560098e-14,1.8023031469526324e-14,6.174107428137946e-24,6.1721460288840058e-24,1.1821329820533844e-15,5.1915666184607868e-23,4.2302010685000332e-24,6.6875764187556662e-35,1.8445095488776749e-39,2.9982108459203911e-28,5.8196045944728581e-23,8.278515244967037e-27,9.1547306970532885e-35,9.0940949432203369e-40,5.2018785629941895e-43,3.4407001426267147e-54,5.0484902673916343e-38,7.4162716838231297e-28,1.1568779610329017e-37,1.1568779612784054e-37,2.1836096643039669e-47,2.7142751143602117e-48,3.9475551713534779e-45,4.5310146407260771e-28,1.8294662034921698e-37,1.1370334868678691e-38,5.3386665785680719e-86,8.5535615945154045e-48,1.5064900240770071e-42,5.0968623483589801e-86,5.975164046915138e-25,1.1411665044763816e-57,1.1411446577706949e-57,3.4083527717477874e-35,1.041766666400028e-35,9.0227694798235249e-28,3.4083014205342894e-35,3.920671902759154e-45,5.0968623483588701e-86,1.361702993876294e-51,1.8016024685209782e-53,5.3333308865694668e-61,8.9754112687641199e-72,3.9306447726295048e-43,5.393347311329448e-82,1.8475662134393555e-33,5.5331617807862461e-65,8.8145001868147537e-84,4.1724535512317338e-43,1.7916870940200193e-94,2.074101857007231e-88,1.4201252663879592e-97,2.2065106671429968e-59,1.0916108019471724e-44,1.5305264008562181e-61,2.2731808332221032e-43,3.1311565784143697e-53,7.2143669539239643e-37,4.2906343064826169e-53,2.6666764488559212e-54,2.1257419649724734e-46,8.5250526993409752e-48,1.00838319437832e-63,1.0267480976072527e-47,2.5282151742447714e-52,5.1546579317874833e-69,1.867908678625106e-53,2.9857248044138877e-39,4.8152814994729225e-70,5.0632623268975847e-21,1.8697318340855844e-37,1.0701687621492757e-36,1.869731834085559e-37,5.0492360527316819e-64
1.9531023632903646e-19,0.17393021754402735,76.950000000000003,0.0,0.0,0.0,0.99999999999992206,9.5,3.0255891510046906e-15,3.6299918620938182e-14,3.6299908440182383e-14,2.4956729362389684e-23,2.4940843140361747e-23,2.3809154949420839e-15,2.0985140598267323e-22,1.7099148498642867e-23,5.4131392830239866e-34,1.4937316617385426e-38,1.2119247606642636e-27,2.3523770302218249e-22,3.3463082224198318e-26,7.4026302276780151e-34,7.3645692671350479e-39,4.2126161257731622e-42,5.5775223616432165e-53,4.0883979941648514e-37,2.9977755892214062e-27,9.3686976633454708e-37,9.3686976673251941e-37,3.5397244895897816e-46,4.3999567231979044e-47,3.1968319701045024e-44,1.8315084129400906e-27,1.4815486721112498e-36,9.207990828234969e-38,7.060897612797337e-84,1.3865690271225558e-46,1.2199945235466915e-41,6.7410883707922044e-84,2.4152566428861421e-24,3.7013195785504236e-56,3.7011778343697996e-56,2.7601720026002747e-34,8.4364952145301078e-35,3.6471470637037263e-27,2.7601304170699826e-34,6.3555771281453244e-44,6.7410883707919136e-84,2.2073788534664962e-50,1.7381001388540289e-52,1.7298528328502808e-59,5.8235522119981885e-70,3.1831377695961752e-42,6.9995234988984065e-80,7.4681580295435322e-33,1.0640110021001955e-63,1.1439519398931275e-81,3.3789610448799159e-42,4.6507766373510276e-92,2.6917838780037972e-86,3.6862940430797249e-95,7.1567633728844527e-58,8.8401442709566302e-44,4.9642247527581823e-60,1.8408807730240336e-42,5.0757391516593489e-52,2.9161624686277957e-36,6.9553022720873417e-52,4.3227974191966932e-53,1.7214809560320785e-45,6.903822827076399e-47,3.2687700215319959e-62,8.3148554962736122e-47,3.084130342741879e-51,3.3445172900743161e-67,3.0279600404726464e-52,2.4179114014284658e-38,3.124318341880262e-68,1.019784032709071e-20,1.5141568094339147e-36,4.3257940364668084e-36,1.5141568094338733e-36,1.6377073628091857e-62
3.9198627850652774e-19,0.17393021754402732,76.950000000000003,0.0,0.0,0.0,0.99999999999984346,9.5,6.0723362680993488e-15,7.285368274202499e-14,7.2853662343654427e-14,1.003499109926991e-22,1.0022209274185645e-22,4.7784798274689906e-15,8.4380313443727897e-22,6.8754919471682615e-23,4.3527320632340806e-33,1.2022852013468112e-37,4.8730961560328141e-27,9.458803014373554e-22,1.3455358172971249e-25,5.9404768505700551e-33,5.9275420627798641e-38,3.3906799435624385e-41,8.9824250913835329e-52,3.29069788069721e-36,1.2053923786343221e-26,7.5407429281335733e-36,7.5407429345427936e-36,5.7006143505432524e-45,7.0859940049929526e-46,2.5730875943084538e-43,7.364413573226752e-27,1.1924784717823174e-35,7.4113902536513523e-37,9.1864213569702002e-82,2.2330261342661242e-45,9.8195747799804031e-41,8.7703407661033964e-82,9.7116391295767762e-24,1.1924122512017038e-54,1.1923209178595159e-54,2.2216258497722425e-33,6.7904231400204115e-34,1.4665012935990586e-26,2.2215923781417695e-33,1.0235457878598784e-42,8.7703407661026415e-82,3.554914371870869e-49,1.848289932975987e-51,5.5729496622601405e-58,3.7526732881852192e-68,2.5620657591942159e-41,9.0214149891696349e-78,3.0029134930246048e-32,2.2516537354445734e-62,1.4743953899950539e-79,2.7196817811875074e-41,1.1988735134094551e-89,3.4693363935321272e-84,9.5024996427529616e-93,2.3056459532771928e-56,7.1153123189977804e-43,1.5992905238011112e-58,1.4817009960598145e-41,8.1743195185465799e-51,1.17257610131774e-35,1.1201297200639261e-50,6.9617319170836699e-52,1.385597637610154e-44,5.5568199671806187e-46,1.0518578161416693e-60,6.6924920343730577e-46,4.1512612407140536e-50,2.1551930986412378e-65,4.8764349416214289e-51,1.9461358626879954e-37,2.013297830548974e-66,2.0467002730224171e-20,1.2187243145413951e-35,1.7393833955421167e-35,1.2187243145413283e-35,5.2760908246453082e-61
7.853383628615102e-19,0.17393021754402735,76.950000000000003,0.0,0.0,0.0,0.99999999999968636,9.5,1.2165830502285735e-14,1.4596121072985773e-13,1.4596116999923827e-13,4.0244802457949899e-22,4.0142347005964111e-22,9.5736057195224376e-15,3.3840268510031246e-21,2.757379416276135e-22,3.4860184605231037e-32,9.6475816892002257e-37,1.9543295097475971e-26,3.7934018105225189e-21,5.3962004222307042e-25,4.7385318876014793e-32,4.7563123249210363e-37,2.7208071110825841e-40,1.4418772806837865e-50,2.6405769937214077e-35,4.8341625544542788e-26,6.050971285014228e-35,6.0509712953024339e-35,9.150739486647859e-44,1.137458758737767e-44,2.0647393133572899e-42,2.953458259766079e-26,9.5688760391082623e-35,5.947170969305334e-36,1.1854590069656228e-79,3.5844997577705844e-44,7.8795863066120336e-40,1.131766011090919e-79,3.8948003675839845e-23,3.8284755116573597e-53,3.8278890532992998e-53,1.7827136959522223e-32,5.4488834459829056e-33,5.881322085768712e-26,1.7826868371123091e-32,1.6430166578979916e-41,1.1317660110907247e-79,5.7064209386645236e-48,2.2042323713457255e-50,1.7893561898122963e-56,2.4099382863986689e-66,2.0558957051142843e-40,1.1587281716156188e-75,1.2043026156825632e-31,5.3419332776911673e-61,1.8937422533315141e-77,2.182373300563103e-40,3.0797547791474827e-87,4.4560842673480733e-82,2.4410722934435048e-90,7.4029411271904447e-55,5.7095822208787289e-42,5.1349825754172349e-57,1.1889717301317204e-40,1.3121587037630587e-49,4.7025546011885311e-35,1.7980554088797682e-49,1.117512131863566e-50,1.111854840266208e-43,4.4590345573046221e-45,3.3694875501417363e-59,5.3702599756307101e-45,6.009469613877362e-49,1.384048386689011e-63,7.8277536929580937e-50,1.5616360811677161e-36,1.2929243690147031e-64,4.1005353147473551e-20,9.7794820290384386e-35,6.9757104998205744e-35,9.7794820290373738e-35,1.6940410890240294e-59
