Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18)
0.0,0.21993176473959652,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0
1.3785033712731038e-22,0.21993176473959652,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,1.0430584569605131e-17,1.1810777567947311e-16,1.1810777567947311e-16,7.3716688938952782e-29,7.3716586300877019e-29,4.4635294930990873e-17
3.8598094395646907e-22,0.21993176473959652,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,2.9205636794894337e-17,3.3070177190228567e-16,3.3070177190228567e-16,4.4524880118989227e-28,4.45247582672157e-28,1.2497882580607001e-16
8.822421576147865e-22,0.21993176473959652,76.950000000000003,0.0,0.0,0.0,0.99999999999999811,9.5,6.6755741245472692e-17,7.558897643469546e-16,7.558897643469546e-16,2.1436813143240105e-27,2.1436693508764054e-27,2.8566588755341053e-16
1.8747645849314214e-21,0.21993176473959652,76.950000000000003,0.0,0.0,0.0,0.999999999999996,9.5,1.4185595014662912e-16,1.6062657492324671e-15,1.6062657492324671e-15,9.3620194950327216e-27,9.3619136802587459e-27,6.0704001103682059e-16
3.859809439564691e-21,0.21993176473959652,76.950000000000003,0.0,0.0,0.0,0.99999999999999178,9.5,2.9205636794894086e-16,3.3070177189881931e-15,3.3070177189881923e-15,3.9084588473504239e-26,3.9083699046080073e-26,1.2497882579585572e-15
7.829899148831231e-21,0.2199317647395965,76.950000000000003,0.0,0.0,0.0,0.99999999999998335,9.5,5.9245720355355961e-16,6.7085216584384484e-15,6.708521658438442e-15,1.5967329689300107e-25,1.596660049855477e-25,2.5352847516216945e-15
1.577007856736431e-20,0.21993176473959652,76.950000000000003,0.0,0.0,0.0,0.99999999999996658,9.5,1.1932588747627783e-15,1.3511529537094197e-14,1.3511529537094139e-14,6.4542499553690962e-25,6.4536594630537599e-25,5.1062777382266299e-15
3.1650437404430464e-20,0.21993176473959652,76.950000000000003,0.0,0.0,0.0,0.99999999999993305,9.5,2.3948622171811417e-15,2.7117545293426794e-14,2.711754529342632e-14,2.5952255196819837e-24,2.5947502807462106e-24,1.0248263708551141e-14
6.341115507856277e-20,0.21993176473959652,76.950000000000003,0.0,0.0,0.0,0.999999999999866,9.5,4.7980689020175722e-15,5.4329576802177667e-14,5.4329576802173849e-14,1.040801507250194e-23,1.0404202231578106e-23,2.0532235637658718e-14
