Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761)
2.628062782743339e-18,0.18230400921986342,76.950000000000003,0.0,0.0,0.0,0.99999999998534017,9.5,3.7822338961833626e-13,5.5369924595413684e-12,5.5369924912279241e-12,5.4850230863138087e-20,5.3824228393326914e-20,3.2076791413002412e-12,4.3462187136015601e-18,3.2793883735233566e-20,3.8743722856257114e-29,1.3757431646825978e-33,2.6672794591733892e-33,6.8691186729118263e-18,2.0162510014980571e-22,4.1697458621739635e-29,1.3024960063836957e-33,1.0761010763724168e-45,0.0,1.4846369889919637e-30,8.2553026428876643e-23,1.0455847159539298e-30,1.0455847215846301e-30,4.954143959845996e-39,6.7655608142246119e-40,7.34399598558354e-36,1.2274673682953638e-24,1.2462664839067921e-32,8.50973901131004e-34
5.256196858186207e-18,0.18230400921986337,76.950000000000003,0.0,0.0,0.0,0.9999999999706799,9.5,7.5645703947044771e-13,1.1074134954194047e-11,1.1074135076979574e-11,2.1940537588162268e-19,2.113382409350956e-19,6.4154224524817773e-12,1.738517549178652e-17,1.311779710573872e-19,2.9281478779721649e-28,1.1006210843945375e-32,2.134252649488087e-32,2.7476949843513202e-17,8.0651679865611555e-22,2.8910462616757343e-28,1.0416567990403371e-32,1.7221024182951749e-44,0.0,1.1877343968521461e-29,3.3021881699650523e-22,8.36487606300934e-30,8.364876153101946e-30,7.926746063311791e-38,1.0825146190784888e-38,5.87529761223978e-35,4.9099692639822789e-24,9.9702563864480654e-32,6.8079355734618587e-33
1.0512465009071944e-17,0.18230400921986342,76.950000000000003,0.0,0.0,0.0,0.99999999994135935,9.5,1.5129243391427709e-12,2.2148419457199062e-11,2.2148419918223482e-11,8.7763034025062152e-19,8.1524064771740431e-19,1.2830840535717752e-11,6.9540984843955498e-17,5.247153609198035e-19,2.1081963586238716e-27,8.8050800308858939e-32,1.7080070382884633e-31,1.0990824645580633e-16,3.2260999299579031e-21,1.8218874603806785e-27,8.3275233032555848e-32,2.7563130963913725e-43,0.0,9.5019337631286418e-29,1.3208886483352034e-21,6.691979931394726e-29,6.6919800755418978e-29,1.2682680222870611e-36,1.7320369637044013e-37,4.7002320612290944e-34,1.9640076036903501e-23,7.9761203573101392e-31,5.4463855355345236e-32
2.1025001310843418e-17,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999988271815,9.5,3.0258589383598191e-12,4.4296986653899532e-11,4.429698827967419e-11,3.5105384903851141e-18,3.042660935977767e-18,2.5661402551539072e-11,2.7816195795255156e-16,2.0988572395052701e-18,1.4034191146182213e-26,7.0441168000765279e-31,1.3673392144224638e-30,4.396298542215265e-16,1.2904464734154519e-20,1.0189718098630005e-26,6.6527489947904457e-31,4.4130206354967624e-42,0.0,7.6015054300578205e-28,5.2835810154995663e-21,5.3536151709699458e-28,5.3536154015978246e-28,2.029153822240782e-35,2.7712497186876157e-36,3.7601090660929837e-33,7.8560697486736424e-23,6.3806471213690378e-30,4.3570901978772987e-31
3.153753761261489e-17,0.18230400921986342,76.950000000000003,0.0,0.0,0.0,0.99999999982407695,9.5,4.5387935374492697e-12,6.6445552161203057e-11,6.6445555320088279e-11,7.4599043869559904e-18,6.1697938471592488e-18,3.8491690422567382e-11,5.9109005673408873e-16,4.4600564599802792e-18,3.6350351790526385e-26,2.0141823456522742e-30,4.0606076631941177e-30,9.3420695406041756e-16,2.7422027710496356e-20,2.4350993464484887e-26,1.900746587996952e-30,1.6699887204314079e-41,0.0,2.1735445324498371e-27,1.1227625790929802e-20,1.5308015818586532e-27,1.5308016667435445e-27,7.4684885476693057e-35,1.0200005854601885e-35,1.0751415805893219e-32,1.6694172317426774e-22,1.8244219257363332e-29,1.2458501380978665e-30
4.205007391438636e-17,0.18230400921986337,76.950000000000003,0.0,0.0,0.0,0.99999999976543574,9.5,6.0517281364111216e-12,8.8594116084922135e-11,8.8594121039466217e-11,1.2725727555666942e-17,1.0090836638062411e-17,5.1321704154660206e-11,1.0083230525048701e-15,7.6083032695356058e-18,7.0487974995368541e-26,4.2485025338698125e-30,8.8502749745011288e-30,1.5936360235797789e-15,4.6778788512654359e-20,4.4515406383572122e-26,4.0063109070244965e-30,4.347965881851625e-41,0.0,4.5846115388844485e-27,1.9153022678404919e-20,3.2289064359404883e-27,3.2289066512234513e-27,1.8941362850144269e-34,2.5869334928409281e-35,2.267755806644792e-32,2.8478314957408816e-22,3.848147283885152e-29,2.6278471299190178e-30
6.30751465179293e-17,0.18230400921986337,76.950000000000003,0.0,0.0,0.0,0.99999999964815345,9.5,9.0775973340353593e-12,1.3289124049646128e-10,1.3289124937783259e-10,2.6347017041750333e-17,1.9515533571487591e-17,7.698108824971803e-11,2.0875793379848817e-15,1.575191915358669e-17,1.692880359836359e-25,1.160401936835053e-29,2.5699786002357162e-29,3.2993807161698021e-15,9.6849610140120725e-20,9.9168952125072275e-26,1.0929236821132738e-29,1.5961943735003186e-40,0.0,1.2521882866635696e-26,3.9653927634507838e-20,8.8191517278864989e-27,8.8191524807204151e-27,6.6236816543695082e-34,9.0465750047459082e-35,6.1938084011159935e-32,5.8960774932750618e-22,1.0510082555020434e-28,7.1774087333505216e-30
8.410021912147224e-17,0.18230400921986342,76.950000000000003,0.0,0.0,0.0,0.99999999953087115,9.5,1.2103466531190376e-11,1.771883597944984e-10,1.7718837285828178e-10,4.4809385506620396e-17,3.1149898506889738e-17,1.0263946428679363e-10,3.5503834175653201e-15,2.6789708759272813e-17,3.1793400483678201e-25,2.427956178749529e-29,5.6221135880494278e-29,5.611315637118115e-15,1.647158855063601e-19,1.763743067945635e-25,2.2843075562296034e-29,4.1401431429280929e-40,0.0,2.6199750716654394e-26,6.7440968509551574e-20,1.8452623273016113e-26,1.8452625154099283e-26,1.6550351119408404e-33,2.2604805770846455e-34,1.2959263147164901e-31,1.002768723439122e-21,2.1989858130425941e-28,1.501743062111492e-29
1.0512529172501519e-16,0.18230400921986342,76.950000000000003,0.0,0.0,0.0,0.99999999941358886,9.5,1.5129335727842652e-11,2.2148547408037139e-10,2.2148549113382292e-10,6.8458621142453924e-17,4.4685241868068851e-17,1.2829676030089512e-10,5.424116666443539e-15,4.0928333659853639e-17,5.2273585896101992e-25,4.4200141460881408e-29,1.0551501734865018e-28,8.5727165459028206e-15,2.5164871652951282e-19,2.7783278444266156e-25,4.1539567884165617e-29,9.0547179468680595e-40,0.0,4.7695235925063247e-26,1.030345816035474e-19,3.359230469711424e-26,3.3592308687942397e-26,3.5112452559727647e-33,4.7958289994426516e-34,2.3591365830140666e-31,1.5320043633401179e-21,4.0030301064421538e-28,2.73384518776568e-29
1.4717543693210107e-16,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999917902438,9.5,2.1181074119607406e-11,3.1007968945944511e-10,3.1007971174326027e-10,1.3164348135226085e-16,7.542005832128494e-17,1.796080446847095e-10,1.0430081912109473e-14,7.870242475646483e-17,1.1106273522628763e-24,1.1670218962783183e-28,2.889998779523546e-28,1.6484552468582368e-14,4.8391168439717852e-19,5.5508508227607414e-25,1.0935100656311161e-28,3.4860241858783729e-39,0.0,1.2592648105730748e-25,1.9813187452813601e-19,8.8693616116468514e-26,8.8693630736479852e-26,1.2863001862032908e-32,1.7570094691103363e-33,6.2284691687877306e-31,2.9459906431735401e-21,1.0568169305078947e-27,7.2180052150989407e-29
