Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423)
0.0,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0146719383023695e-22,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.31115188108623e-17,2.4460160023326856e-16,2.4460160023368789e-16,6.4720566415289338e-28,6.4720258262411314e-28,4.8020537473175356e-17,2.0599090734084698e-26,4.1958034992495299e-28,1.1078392206983348e-40,2.660555484562361e-45,1.5189517995428623e-45,2.6533882889377075e-26,1.2992583820294662e-30,1.4363832353820385e-40,1.7231694650698564e-45,7.0210566175688389e-62,2.2100449900561854e-61,6.1323833352281338e-43,2.6805001540507024e-31,7.0381288391953322e-43,7.0381288392089627e-43,1.2072940443378459e-54,1.5575399922286493e-55,2.5947290714418957e-49,3.2213666691752268e-33,1.1051621483827351e-44,7.1288939594647719e-46,3.4117966932054893e-98,1.2238554774601644e-56,1.1556101586309581e-49,3.2311606012224248e-98,2.7909742823583027e-28,1.6191351942970216e-68,1.6191347953864711e-68,3.1630156388687977e-40,9.6173934630254168e-41,7.3734620365248945e-31,3.1629519479597903e-40,6.1862240555988526e-52,3.2311606012224222e-98,7.4529784547141405e-61,2.21004499629491e-61,6.2387241501262641e-70
1.6841081427246635e-21,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,6.4712252670414327e-17,6.8488448064969448e-16,6.8488448065222702e-16,3.9091222114453943e-27,3.909085627689733e-27,1.3445750476811737e-16,1.2441850791282109e-25,2.5342653123883713e-27,1.3152144047694795e-39,3.1586114714273716e-44,2.2954401068155771e-44,1.6026465249591127e-25,7.8475206274249118e-30,1.7052261407462691e-39,2.0457465746958689e-44,1.9800504256507092e-60,4.9437822293992536e-60,7.2803654890936418e-42,1.619022093038322e-30,8.3556665578391491e-42,8.3556665578696396e-42,2.7006684772321724e-53,3.484154658890605e-54,3.0804623473723409e-48,1.9457054681674388e-32,1.3120484983754451e-43,8.463422903112374e-45,3.6355341320076074e-96,2.737715747132848e-55,1.3719403803154429e-48,3.4430523586404021e-96,1.6857484649043021e-27,6.6814061680616245e-67,6.6814031651636561e-67,3.7551321598281081e-39,1.1417769499062944e-39,4.4535710614749409e-30,3.7550565459817386e-39,1.3838335740044113e-50,3.4430523586403966e-96,1.6672014683796473e-59,4.943782255143524e-60,2.5744269831049353e-68
3.849390040513517e-21,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,1.4791372038951801e-16,1.5654502414687176e-15,1.5654502414809108e-15,1.8820740712994909e-26,1.8820381534774873e-26,3.0733143873090709e-16,5.9902155673142605e-25,1.2201396558442477e-26,1.2912592104623732e-38,3.1011434732658196e-43,2.4693301288604832e-43,7.7160531208419152e-25,3.7782433748920961e-29,1.6740993954474514e-38,2.0085256643568717e-43,4.3070428626119687e-59,9.768080536700815e-59,7.147905995425398e-41,7.7948944478549118e-30,8.2036429748000833e-41,8.2036429748603292e-41,5.3360657740350646e-52,6.8841024665030323e-53,3.0244161863178913e-47,9.3677342737454194e-32,1.2881769871828265e-42,8.3094387819029788e-44,8.2736250736754297e-94,5.4092649643085169e-54,1.3469792008643171e-47,7.835581592709631e-94,8.1161531884962621e-27,2.6430973576696557e-65,2.6430949833704359e-65,3.6868110080909971e-38,1.1210033757755861e-38,2.144202747342297e-29,3.6867367699699473e-38,2.7342219362262674e-49,7.8355815927096086e-94,3.294109153926977e-58,9.7680806385425861e-59,1.0184177076478732e-66
8.179953836091223e-21,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999999999245,9.5,3.143166558277238e-16,3.3265817630514495e-15,3.3265817631046988e-15,8.2195119341514797e-26,8.2191942508868426e-26,6.5307930414810948e-16,2.6160845044659357e-24,5.3286704260925807e-26,1.142057737241711e-37,2.7429262833137789e-42,2.2697405886937008e-42,3.369803102782322e-24,1.6500581451261791e-28,1.4805409995624374e-37,1.7765173970390692e-42,7.9845342189614288e-58,1.7381777229603661e-57,6.322241881042122e-40,3.4042351955157094e-29,7.2560293077082308e-40,7.2560293078154342e-40,9.4952438133846766e-51,1.2249892490104226e-51,2.6750618428486974e-46,4.0911356696291166e-31,1.1393779412552563e-41,7.3496044802264352e-43,1.3982060609712393e-91,9.6254979613786217e-53,1.1913878490658191e-46,1.32417864921401e-91,3.5445373131733089e-26,9.4330233031408496e-64,9.4330063326701648e-64,3.2609425598417859e-37,9.915147832872909e-38,9.3642966533021543e-29,3.2608768970674614e-37,4.8654018104709324e-48,1.3241786492140021e-91,5.8616912354222818e-57,1.7381777593069703e-57,3.634660422914027e-65
1.6841081427246636e-20,0.21831482820962875,76.950000000000003,0.0,0.0,0.0,0.99999999999998435,9.5,6.4712252670412887e-16,6.8488448059956657e-15,6.8488448062179604e-15,3.4314844308074029e-25,3.4312174086440435e-25,1.3445750249490056e-15,1.092163773834632e-23,2.2246149991432191e-25,9.5989027485713025e-37,2.3055948157433597e-41,1.9418121873308224e-41,1.4068264490430636e-23,6.8886679410590678e-28,1.2441796079049734e-36,1.4932685573916423e-41,1.3723383343085467e-56,2.9316907267881166e-56,5.3142252035314312e-39,1.4212011815618673e-28,6.0991298413528077e-39,6.09912984153362e-39,1.6015116118005277e-49,2.0661234055611992e-50,2.2485506239046913e-45,1.7079686077955947e-30,9.5771578577039012e-41,6.1777853772491762e-42,2.0472816660072864e-89,1.6234809114150341e-51,1.0014332735678053e-45,1.9388892286532588e-89,1.4797745416268113e-25,3.1872030617669157e-62,3.1871915846663745e-62,2.7410186660047445e-36,8.3342790576980364e-37,3.9094094519894858e-28,2.740963472491534e-36,8.2062111735205664e-47,1.9388892286532354e-89,9.8865990299441889e-56,2.9316908495950752e-56,1.2280695845800421e-63
3.416333660955746e-20,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999999996825,9.5,1.3127342684569141e-15,1.3893370890999178e-14,1.3893370891907213e-14,1.4018733563319533e-24,1.4016544514374494e-24,2.7275664264167655e-15,4.4618453063929932e-23,9.0882780747026909e-25,7.8684804790692559e-36,1.890265929612043e-40,1.6055300647924249e-40,5.74734498520617e-23,2.8142456254206703e-27,1.0195549225747809e-35,1.2242695558029266e-40,2.2745531590003877e-55,4.8153106236974737e-55,4.3569228263609127e-38,5.8060705526994141e-28,5.000435137288367e-38,5.0004351375853519e-38,2.6304874910494399e-48,3.3936138613891724e-49,1.8434975882806631e-44,6.977609058397474e-30,7.8519322042537588e-40,5.0649216404976272e-41,2.7994845061095966e-87,2.6665722424159993e-50,8.2103550159771075e-45,2.6512670165537777e-87,6.0453617408457704e-25,1.0478811122830976e-60,1.0478735623116958e-60,2.2472526387701329e-35,6.8329452970224642e-36,1.5971212695490835e-27,2.2472073878016947e-35,1.347872609369062e-45,2.6512670165537156e-87,1.623876858968854e-54,4.815311027459868e-55,4.0376239446783376e-62
6.88078469741791e-20,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999999993594,9.5,2.6439577519623819e-15,2.7982423057467113e-14,2.7982423061136645e-14,5.666596244677591e-24,5.6648237553090862e-24,5.493549068816164e-15,1.8035491517980762e-22,3.6736272496223956e-24,6.3700273749388268e-35,1.5307863606734869e-39,1.3055939592238097e-39,2.3231686581127161e-22,1.1375630775479995e-26,8.2485543159399494e-35,9.9144162053519989e-40,3.7035299922740805e-54,7.8058253836991321e-54,3.5283489563795475e-37,2.3469065480721852e-27,4.0494820183103724e-37,4.0494820187917975e-37,4.2641331232907021e-47,5.5011941919652862e-48,1.4929120377695256e-43,2.8204611430623245e-29,6.358697569532837e-39,4.1017047677493613e-40,3.7025862523103968e-85,4.3226284194166512e-49,6.6489583577728111e-44,3.5065544336046611e-85,2.4436317916251903e-24,3.3987673930072352e-59,3.3987184068484882e-59,1.8198833390879083e-34,5.5334959167997904e-35,6.4558191049733882e-27,1.8198466936939706e-34,2.1849594537052001e-44,3.5065544336044925e-85,2.6323743645036788e-53,7.8058266932926735e-54,1.3095935419892679e-60
1.3809686770342239e-19,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999999987144,9.5,5.306404718972909e-15,5.6160527376251321e-14,5.616052739099922e-14,2.2785134258759243e-23,2.2770871893432524e-23,1.1025513711470555e-14,7.2519913353776213e-22,1.4771493138438205e-23,5.1238196935603231e-34,1.232110042369041e-38,1.0530145927015135e-38,9.3413583779836803e-22,4.5740911016657151e-26,6.6262067179472556e-34,7.9799266311506998e-39,5.9775440146956808e-53,1.257103906875159e-52,2.8399220236311545e-36,9.4368080057992403e-27,3.2593754238583418e-36,3.2593754246336614e-36,6.8672534733017393e-46,8.8595032734130549e-47,1.2016253191840267e-42,1.1340950202137776e-28,5.1180318639556464e-38,3.3014086865193037e-39,4.8171662209217759e-83,6.9614595012492349e-48,5.3516601294296827e-43,4.562123450568758e-83,9.8257353075483301e-24,1.0949518253344321e-57,1.0949202596583448e-57,1.4648002576812489e-33,4.4538383684927712e-34,2.5958561271925843e-26,1.4647707623018862e-33,3.5188094233864969e-43,4.562123450568322e-83,4.2393577576568425e-52,1.2571043287780948e-52,4.2190293564586368e-59
2.7667490916190897e-19,0.21831482820962883,76.950000000000003,0.0,0.0,0.0,0.99999999999974232,9.5,1.0631298652992332e-14,1.125167359572507e-13,1.1251673601633923e-13,9.1378579156627528e-23,9.1264199541874586e-23,2.2089440428202286e-14,2.9083724928973808e-21,5.9240290504948934e-23,4.1062044193033798e-33,9.8869071967283087e-38,8.4584784962943483e-38,3.7463020150464218e-21,1.8344151119400581e-25,5.2964518268692939e-33,6.4032953770895523e-38,9.6058545633771589e-52,2.0179295120082805e-51,2.2788582896487869e-35,3.7845820792332656e-26,2.6154435070228137e-35,2.6154435082673743e-35,1.102345798582507e-44,1.4221463616646672e-45,9.6422837134112057e-42,4.548228262859321e-28,4.1068964282032882e-37,2.6491723134357713e-38,6.2162978139354543e-81,1.117468323816027e-46,4.2943702129346708e-42,5.8871786299632291e-81,3.9405588023200045e-23,3.515619814020786e-56,3.5154171119815885e-56,1.1754096681918202e-32,3.5739239173176117e-33,1.0410541358391389e-25,1.1753860000423505e-32,5.6484670804730895e-42,5.8871786299621064e-81,6.8051080617620511e-51,2.0179308666496861e-51,1.3546414059333603e-57
