Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282)
0.0,0.22499518052366543,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.748904364164297e-22,0.22499518052366543,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,2.6707937047580985e-17,3.0376181490716428e-16,3.0376149525921127e-16,3.7454516726923565e-28,3.7454442484640719e-28,1.4914556606420563e-16,3.0951355529187833e-26,2.2941068802475658e-28,4.3489691899371196e-41,1.1234858318363828e-45,4.1753529282402742e-32,4.6014115680984045e-26,1.147422809819834e-30,5.3274334979509449e-41,9.5568231577301033e-46,2.2303012631741601e-48,1.6901948148993581e-61,1.2289421049074344e-42,4.4899651600160197e-31,8.551119018260622e-43,8.5511190182679486e-43,6.4580799748552337e-55,8.6680237549941826e-56,2.9230646219486805e-48,2.1608579152056581e-31,3.2638987250092316e-43,2.1903996073294688e-44,2.2334299019666295e-98,3.4582636347541273e-55,3.076325369786558e-47,2.0978762273100302e-98,4.9580647211011238e-28,2.132060653193701e-67,2.1320603973861606e-67,4.8346950143455712e-40,1.4615364938309396e-40,2.3296348819855606e-30,4.8345648632880176e-40,6.4680256943922284e-52,2.0978762273100273e-98,1.0818899526692138e-58,8.3686538180121463e-58,3.3666234834712875e-70,4.7352431097362383e-83,5.7712172497417339e-48,1.2770805000119516e-95,4.5192125591454092e-36,1.288101380681194e-71,1.1806297199467941e-96,8.7783368045867947e-48,1.0332254094582357e-109,1.5118803918122611e-101,3.8307320861485852e-113,1.2776706536434278e-67,8.4385429560755139e-49,2.2498539343524522e-69,6.0461248897302885e-48,3.7275080784492409e-60,2.0059657213809954e-39,4.5662278850562321e-60,3.0643915772234534e-61,2.473403569492255e-51,7.4913174913063722e-52,1.5543712297327285e-72,4.2906434782172093e-52,3.5464322419162789e-56,4.6689976043636934e-79,6.368396009380741e-60,3.4702915991953573e-44,4.2662854229250149e-80,3.1964818215715314e-22,1.7988758288203595e-42,5.7672304855779478e-40,1.7988758288203595e-42,1.5080544899913708e-71,4.8760087365132553e-64,2.8719454769288413e-64
7.6969322196600315e-22,0.22499518052366543,76.950000000000003,0.0,0.0,0.0,0.99999999999999778,9.5,7.4782223733226646e-17,8.5053308173810125e-16,8.5053218672457491e-16,2.2622528102899567e-27,2.2622416977031066e-27,4.1760758472401749e-16,1.8694618730075746e-25,1.3856405552844141e-27,5.1630540197004303e-40,1.3338033524197344e-44,2.5219131686546173e-31,2.7792525857111273e-25,6.9304337712984747e-30,6.3245776959669781e-40,1.1345859811073423e-44,2.6478136596344591e-47,3.7809008212479759e-60,1.4590000662628851e-41,2.7119389566413805e-30,1.0151888498442885e-41,1.0151888498459272e-41,1.444646655596992e-53,1.9390022411794513e-54,3.4702623154529658e-47,1.305158180134475e-30,3.8749005576403484e-42,2.6004424115954099e-43,2.3798928746962592e-96,7.7359974140624067e-54,3.6522134762322461e-46,2.2354499153851655e-96,2.9946710900146858e-27,8.7980075979031266e-66,8.7980056722481667e-66,5.7397499159022985e-39,1.7351361239193159e-39,1.407099467348487e-29,5.7395954005682315e-39,1.4468714744975919e-50,2.2354499153851606e-96,2.4201445463252474e-57,9.9370401230471183e-57,1.3892475492669307e-68,3.5645752069212156e-81,6.8515891152850111e-47,1.7432097471510893e-93,2.7296043857113565e-35,2.881922847151298e-70,1.6115548202100045e-94,1.0421641453782752e-46,2.5489596065307212e-107,2.0637106563602187e-99,9.4504032393429057e-111,5.2723437226460585e-66,1.001823814876903e-47,9.284085246494081e-68,7.1779594690487344e-47,8.3382864613019637e-59,1.2116032957100922e-38,1.0214469119819421e-58,6.8549213823499455e-60,2.936424717678352e-50,8.8936921462750055e-51,6.4140146716888878e-71,5.0938518812754507e-51,4.2267138770777469e-55,3.514704854605123e-77,1.4245847126666413e-58,4.1199301383076631e-43,3.2115531766227994e-78,8.9501491099041108e-22,2.1356253799712355e-41,3.4834072166422034e-39,2.1356253799712355e-41,6.2230290732966264e-70,1.0907334651598093e-62,6.4243654224295089e-63
1.75929879306515e-21,0.22499518052366543,76.950000000000003,0.0,0.0,0.0,0.999999999999995,9.5,1.7093079710451748e-16,1.944075615392141e-15,1.9440735696504354e-15,1.0891773463945973e-26,1.0891652449574908e-26,9.5453162102060897e-16,9.0006541735572741e-25,6.6712628019831907e-27,5.0690276619997298e-39,1.3095364671457824e-43,1.2141926315285068e-30,1.338090481872553e-24,3.3367055309360941e-29,6.2091873151226958e-39,1.1139431083120811e-43,2.5996391523374955e-46,7.4704253995656519e-59,1.4324549153621208e-40,1.3056818685202149e-29,9.9671843275725829e-41,9.9671843276049587e-41,2.8543783370475615e-52,3.8311416756436717e-53,3.40712411179741e-46,6.2837748076719196e-30,3.80440032692987e-41,2.5531297754022108e-42,5.4160793561487787e-94,1.5285027235725598e-52,3.5857648424102888e-45,5.0873609762659515e-94,1.4418052186006183e-26,3.4804039759659365e-64,3.4804024534090829e-64,5.6353204928220356e-38,1.7035669323833389e-38,6.7745782162521371e-29,5.6351687887538782e-38,2.8587742095697848e-49,5.0873609762659281e-94,4.7817977847992885e-56,9.7600032517537475e-56,5.4957270416186227e-67,2.8184034154793712e-79,6.7269308151130042e-46,2.7538451294362189e-91,1.3141870121807806e-34,5.6963195862796886e-69,2.545862538757562e-92,1.0232029377496037e-45,8.0463104770915522e-105,3.2601581965752887e-97,2.9832143264426157e-108,2.085686741323472e-64,9.8359655186817866e-47,3.6726917883815476e-66,7.047363171348538e-46,1.6475048883427522e-57,5.8333483177154976e-38,2.0182069652536524e-57,1.3544169497454842e-58,2.8829992005293278e-49,8.7318797317145522e-50,2.5371964975678115e-69,5.0011738644115232e-50,4.184528931007886e-54,2.7789714375945105e-75,2.8147393246426545e-57,4.0449717384252163e-42,2.5392785222310989e-76,2.0457483724584556e-21,2.0967696536596971e-40,1.6771106302281327e-38,2.0967696536596971e-40,2.4617684111375851e-68,2.1550614817815553e-61,1.2693196546626522e-61
3.738509935263444e-21,0.22499518052366543,76.950000000000003,0.0,0.0,0.0,0.99999999999998934,9.5,3.632279438470973e-16,4.1311606826688842e-15,4.1311563354826895e-15,4.7567236240677819e-26,4.7566114576226159e-26,2.0283796895216605e-15,3.9308221373986243e-24,2.913515731945123e-26,4.4833385513337441e-38,1.1582703446610112e-42,5.3026982188262329e-30,5.8437926694701881e-24,1.4572269684505409e-28,5.4913856809335601e-38,9.8526982246826865e-43,2.2993513902435857e-45,1.329322482032908e-57,1.2669901480276004e-39,5.7022557530917571e-29,8.8158616628307731e-40,8.8158616628883818e-40,5.0792137039238538e-51,6.8173119035978737e-52,3.0135626783976717e-45,2.7442895422401779e-29,3.3649489729596473e-40,2.2582143646802508e-41,9.1529346751690237e-92,2.7198889192132376e-51,3.1715683851479891e-44,8.5974151453136644e-92,6.2967421720773501e-26,1.2421312162632656e-62,1.2421301280041796e-62,4.9843771386014674e-37,1.5067856535453348e-37,2.9586362788743903e-28,4.9842429580766766e-37,5.0870359431143461e-48,8.5974151453135894e-92,8.5089536335996547e-55,8.6392980988639573e-55,1.9613862435011731e-65,2.0144772247266232e-77,5.9498941123032142e-45,3.9392862869813582e-89,5.7393999499213969e-34,1.0143895964416465e-67,3.6417739256037032e-90,9.0501141080031213e-45,2.3027512210326312e-102,4.6635507446309927e-95,8.5375808493621985e-106,7.4436678046301782e-63,8.6997999290639757e-46,1.3107576059483249e-64,6.2333129160620673e-45,2.9316469077053999e-56,2.5475764660914135e-37,3.5912914469239757e-56,2.4101125954875601e-57,2.5499801438549641e-48,7.7232488149176914e-49,9.0541866933813397e-68,4.4234814353260781e-49,3.7629255524956063e-53,1.9862925746940933e-73,5.0086782210581686e-56,3.5777315129529885e-41,1.8149701025474846e-74,4.3472153106006586e-21,1.8545689984126772e-39,7.3243827685431146e-38,1.8545689984126769e-39,8.7858765659513907e-67,3.8346593191057981e-60,2.2585910808688967e-60
7.696932219660032e-21,0.22499518052366543,76.950000000000003,0.0,0.0,0.0,0.99999999999997802,9.5,7.478222373322496e-16,8.5053308170970356e-15,8.5053218670693324e-15,1.9858384766351282e-25,1.9857420785563571e-25,4.1760758101552476e-15,1.6410408568301337e-23,1.2163354625349053e-25,3.7682487215908213e-37,9.7359608317934664e-42,2.2137721225179654e-29,2.43966839359247e-23,6.0836357374789338e-28,4.6148816314818748e-37,8.2817824592167904e-42,1.9327433897767607e-44,2.2420967962726606e-56,1.064981556969582e-38,2.3805795277247636e-28,7.4102629228936431e-39,7.4102629229908101e-39,8.5668361768988057e-50,1.1498392927228069e-50,2.5330809883566268e-44,1.1456868575781342e-28,2.8284423100686106e-39,1.8981652270251227e-40,1.3401912546686352e-89,4.5874901765126368e-50,2.6658943114358266e-43,1.2588509586731159e-89,2.6287658937788511e-25,4.1968790135418788e-61,4.196871653652441e-61,4.1896692837358363e-36,1.2665441225829127e-36,1.235172395306202e-27,4.1895564969290235e-36,8.5800295904253836e-47,1.2588509586730939e-89,1.4351593883216004e-53,7.2730978762277532e-54,6.627081229539175e-64,1.3623920081689828e-75,5.0012444865316716e-44,5.330427106214432e-87,2.3960864986849522e-33,1.7134810123684454e-66,4.927849623965138e-88,7.6071662141115202e-44,6.233166286102747e-100,6.3104622495622558e-93,2.3109821462978719e-103,2.5150470972967584e-61,7.312705734043235e-45,4.4287536641762339e-63,5.2394750909807197e-44,4.9446509568931604e-55,1.0635630254199997e-36,6.0572378875922401e-55,4.0650071605221078e-56,2.1434119585949668e-47,6.4918561201465385e-48,3.0586054147964205e-66,3.7182023257553707e-48,3.26685803800521e-52,1.3433306171985213e-71,8.4478678489481279e-55,3.0072986052330362e-40,1.2274651480609541e-72,8.9501492477095262e-21,1.5588769639477368e-38,3.057785650111402e-37,1.5588769639477363e-38,2.9685490989838562e-65,6.467182157644249e-59,3.8091219832605873e-59
1.5613776788453206e-20,0.22499518052366543,76.950000000000003,0.0,0.0,0.0,0.99999999999995548,9.5,1.5170108243025243e-15,1.7253671085452008e-14,1.7253652929931154e-14,8.1127981392020472e-25,8.1119992516702853e-25,8.4714679859483393e-15,6.7041873002055101e-23,4.9691272214055319e-25,3.088999429270732e-36,7.9821291846553846e-41,9.0439814563889761e-29,9.9668413452112239e-23,2.4853637028248279e-27,3.7819871936088433e-36,6.7898989527514357e-41,1.5845798023147622e-43,3.6826507457291382e-55,8.7313621677686827e-38,9.7254441342212485e-28,6.0753812530408204e-38,6.0753812532004189e-38,1.4071053723821646e-48,1.8886144787467653e-49,2.0767727978444322e-43,4.6805046019109956e-28,2.3189278027390755e-38,1.5562305122863668e-39,1.8325981789720513e-87,7.5349662816749439e-49,2.1856611941831844e-42,1.7213722044720625e-87,1.0739366327739321e-24,1.3798409251688074e-59,1.3798360836035343e-59,3.4349439546477447e-35,1.0383893768830664e-35,5.0460821778718148e-27,3.434851485224406e-35,1.4092724154784359e-45,1.7213722044720022e-87,2.3572535671640646e-52,5.9813695967017774e-53,2.1788393347659821e-62,8.9622697663058019e-74,4.1003223550131491e-43,7.0145424383264347e-85,9.7887951701386285e-33,2.8228233011751308e-65,6.484773101499259e-86,6.2368144614796025e-43,1.6406718748667036e-97,8.304213666698908e-91,6.0828855525948453e-101,8.2689244739158024e-60,5.9953974697556123e-44,1.4560772828807215e-61,4.2956382349315881e-43,8.1216038754563389e-54,4.34500199066424e-36,9.9490312488171712e-54,6.6767864635684127e-55,1.7572986229145939e-46,5.3224160828254736e-47,1.0052084646643245e-64,3.0484063281731272e-47,2.8487419947332365e-51,8.836877317175785e-70,1.3875648129667207e-53,2.4655645882510507e-39,8.074675583702603e-71,1.8156017365225087e-20,1.2780614767975337e-37,1.2492052315955795e-36,1.2780614767975331e-37,9.7599398131993237e-64,1.0620621195844949e-57,6.2554367256708055e-58
3.1447465926039556e-20,0.2249951805236654,76.950000000000003,0.0,0.0,0.0,0.99999999999991041,9.5,3.0553879982429556e-15,3.4750351620156876e-14,3.4750315054408945e-14,3.2793227195459754e-24,3.2786723579360075e-24,1.7062252075638221e-14,2.7099396502680159e-22,2.008600653371212e-24,2.5008418178699648e-35,6.4641352801390582e-40,3.6557219053709494e-28,4.0287565576353485e-22,1.0046237461627313e-26,3.0602088658491655e-35,5.4986254061629114e-40,1.2832338068207518e-42,5.9697353150466743e-54,7.0708833442749951e-37,3.9311800151156994e-27,4.9200012530000707e-37,4.920001253258786e-37,2.2809783083166421e-47,3.0615254160876599e-48,1.6818243929549475e-42,1.8919347628167685e-27,1.8779277105957667e-37,1.2602757793683085e-38,2.4237865256069916e-85,1.2214504694182293e-47,1.7700050553627343e-41,2.2766795267142075e-85,4.3410235017454533e-24,4.475474010306891e-58,4.4754425967848741e-58,2.7817065850556845e-34,8.4091461325077156e-35,2.0397070284734435e-26,2.7816317009438188e-34,2.2844912465240039e-44,2.2766795267140481e-85,3.8212094912004525e-51,4.8737426218223513e-52,7.0670128814873495e-61,5.8150261914339228e-72,3.3205472903706634e-42,9.1035227541384452e-83,3.9567875165232688e-32,4.6032350763824799e-64,8.4159843649102534e-84,5.0507340407564674e-42,4.2587789348361073e-95,1.0777267369563041e-88,1.5789669051526045e-98,2.6820057530060946e-58,4.8552274924848095e-43,4.7227515925827492e-60,3.4787192139321741e-42,1.3165469317547135e-52,1.7563192750322762e-35,1.612780783506007e-52,1.0823358566604205e-53,1.4231059854950188e-45,4.3102308836083296e-46,3.2578161605422016e-63,2.4686775358648323e-46,2.5829389043685702e-50,5.7336672928859277e-68,2.2493022978208826e-52,1.9966773151306315e-38,5.2391248319059475e-69,3.6567754573447536e-20,1.0350072524709162e-36,5.0494874420596136e-36,1.0350072524709154e-36,3.1656129900998363e-62,1.7210830125908962e-56,1.0136905429698898e-56
6.311484420121226e-20,0.22499518052366543,76.950000000000003,0.0,0.0,0.0,0.99999999999982014,9.5,6.1321423461233441e-15,6.9743712681547993e-14,6.974363929838108e-14,1.3186012418993519e-23,1.3180764824145418e-23,3.4243819207432857e-14,1.0896547766608163e-21,8.0764947327038432e-24,2.0117530465429309e-34,5.2028984978515736e-39,1.4699496996008256e-27,1.6199452362700394e-21,4.0395478978336254e-26,2.4590394346162699e-34,4.4257547015976884e-39,1.0328582063873628e-41,9.6140736602275448e-53,5.6912618832387176e-36,1.5807101937905182e-26,3.9600450378705002e-36,3.9600450382871542e-36,3.6734448069138982e-46,4.9304921725760973e-47,1.3536784859155284e-41,7.6073862127784611e-27,1.5115193619534234e-36,1.0143795284127303e-37,3.15341271910164e-83,1.9671082123516436e-46,1.424653980209957e-40,2.9620224805401586e-83,1.7455063967223286e-23,1.4418290867062998e-56,1.4418088442195616e-56,2.2389593236450298e-33,6.7684119646691218e-34,8.2015717071938088e-26,2.2388990504366057e-33,3.6791025045077116e-43,2.9620224805397428e-83,6.1539396908964234e-50,3.9709034350379753e-51,2.276732097693987e-59,3.7471798773659328e-70,2.6726652425733728e-41,1.1733180468626455e-80,1.5910068573148658e-31,7.501354367972294e-63,1.0847038674109051e-81,4.0652701430543721e-41,1.0978248670336742e-92,1.389040601599624e-86,4.0702492417332634e-96,8.6404382804123302e-57,3.9079081616597127e-42,1.5214972244491987e-58,2.7999758640458533e-41,2.1202580701261066e-51,7.0620825575760855e-35,2.597333554735737e-51,1.7430685263777185e-52,1.1454395039297069e-44,3.469249354981635e-45,1.0479074752824776e-61,1.9870049313852184e-45,2.5231993519635688e-49,3.6947526247725924e-66,3.622431820974171e-51,1.6070983022484545e-37,3.3760714240957511e-67,7.339123288265748e-20,8.330637718510916e-36,2.0303768248672824e-35,8.3306377185109013e-36,1.0198443322360345e-60,2.7699316116980485e-55,1.6314146291713544e-55
1.2644960075155766e-19,0.22499518052366543,76.950000000000003,0.0,0.0,0.0,0.99999999999963962,9.5,1.2285651041882226e-14,1.3973043477226959e-13,1.3973028776639165e-13,5.2881807336645431e-23,5.2839658729150143e-23,6.860694928068211e-14,4.3700027099114885e-21,3.2390354951222275e-23,1.6124753442695201e-33,4.1749984181470295e-38,5.895155745671127e-27,6.49670448295747e-21,1.6200393798025818e-25,1.9667031804988434e-33,3.5513615074251231e-38,8.2880366323119794e-41,1.5432713917533651e-51,4.5668789409511009e-35,6.3393548643695278e-26,3.1776867463942437e-35,3.1776867470630641e-35,5.8966910478498164e-45,7.9145314638638821e-46,1.086241571241754e-40,3.0509019128935279e-26,1.2128987177708022e-35,8.1397559132535785e-37,4.0693120614284733e-81,3.157643965428766e-45,1.1431949766885985e-39,3.8223330975157431e-81,7.0002608598855179e-23,4.6293820402976091e-55,4.6292520479074798e-55,1.7966236293962846e-32,5.4312236647689962e-33,3.2891966419268645e-25,1.7965752640059134e-32,5.9057736082728962e-42,3.8223330975146714e-81,9.8784348330951642e-49,3.2635806152743978e-50,7.3101076600708743e-58,2.4064113570575549e-68,2.1446453816268234e-40,1.507033189482471e-78,6.3806490890685691e-31,1.2323809893142454e-61,1.3932153636049399e-79,3.2621232409446511e-40,2.8201746031515295e-90,1.7841116768256972e-84,1.0455960761504494e-93,2.7742631973086896e-55,3.135848070580454e-41,4.8852077894621449e-57,2.2468042928776189e-40,3.4034832019694989e-50,2.8322109636666922e-34,4.1692950070210272e-50,2.7980110027488661e-51,9.1914306364957817e-44,2.7838550175884734e-44,3.354119684382012e-60,1.5944438815202051e-44,2.7376346025852994e-48,2.3727431220210878e-64,5.8148047182102412e-50,1.2895930769147594e-36,2.1680884025388518e-65,1.4703820507213629e-19,6.6848103820403706e-35,8.1427202416675518e-35,6.684810382040346e-35,3.274505883180942e-59,4.4405235153258336e-54,2.6152485486767513e-54
