Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),C7H11(40),C7H10(38)
1.4486097370192491e-18,0.2588472519712064,76.950000000000003,0.0,0.0,0.0,0.99999999999963396,9.5,8.6405455902751581e-28,2.9564434131081031e-23,1.7685630640101668e-13,1.6539406676369279e-27,1.6539406676369279e-27,1.7331049726929076e-13,1.1975421498734136e-14,8.4549384609179377e-23,3.1816375225882086e-16,4.5709306687533244e-31,3.2903759461401751e-22,4.6197363631823721e-26,1.5411753959244627e-26,5.774407814490001e-29,1.7490436358327284e-36,0.0,0.0,8.785209298913557e-27,0.0,0.0,0.0,3.5458088026491398e-15,2.8513166821383538e-21
2.8984780402739623e-18,0.2588472519712064,76.950000000000003,0.0,0.0,0.0,0.99999999999926759,9.5,3.4584697453702376e-27,1.1833477401745033e-22,3.5386626728177441e-13,6.620073258156162e-27,6.620073258156162e-27,3.4677156772612417e-13,2.3961247360180184e-14,1.7034661095542757e-22,6.3660386774135705e-16,1.8295633369853578e-30,1.317007870329268e-21,1.8490984772485953e-25,6.1687174987530939e-26,2.3112680464393138e-28,1.400653444271549e-35,0.0,0.0,3.5163730161281346e-26,0.0,0.0,0.0,7.0946982384855971e-15,5.7051103177717825e-21
5.798214646783389e-18,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999999853495,9.5,1.3838381590944014e-26,4.7349315705931657e-22,7.0788618904271865e-13,2.6488918428795144e-26,2.6488918428795144e-26,6.9369370666219642e-13,4.7932899083027117e-14,3.4546574689301854e-22,1.2734839170070355e-15,7.3206352687421583e-30,5.2697469247307577e-21,7.3988024227514926e-25,2.468290108881199e-25,9.2480832842692396e-28,1.1210904455220372e-34,0.0,0.0,1.4070070791520716e-25,0.0,0.0,0.0,1.4192477110147963e-14,1.1412696694099546e-20
1.1597687859802242e-17,0.2588472519712065,76.950000000000003,0.0,0.0,0.0,0.99999999999706968,9.5,5.5362519325821867e-26,1.894280330832004e-21,1.4159260325623224e-12,1.0597294107749618e-25,1.0597294107749618e-25,1.3875379766239625e-12,9.5876202528540347e-14,7.0980275174850463e-22,2.5472432887412333e-15,2.928729841838687e-29,2.1082418841759894e-20,2.9600027113370625e-24,9.8747644627249329e-25,3.6998359387681831e-27,8.9709948561475895e-34,0.0,0.0,5.6289432556314403e-25,0.0,0.0,0.0,2.8388034853430489e-14,2.282786586699968e-20
2.3196634285839947e-17,0.2588472519712064,76.950000000000003,0.0,0.0,0.0,0.99999999999413913,9.5,2.2146795618802251e-25,7.5777330660364485e-21,2.8320057195923913e-12,4.2392641439675457e-25,4.2392641439675457e-25,2.7752264849059859e-12,1.9176280941884417e-13,1.4948716933800978e-21,5.0947591250243049e-15,1.1715865162213098e-28,8.4336536279460688e-20,1.1840974165341924e-23,3.9502246770329943e-24,1.4800551647636175e-26,7.1777044757046267e-33,0.0,0.0,2.2517595536064662e-24,0.0,0.0,0.0,5.6779150339826763e-14,4.5658189893786288e-20
4.639452713791536e-17,0.2588472519712065,76.950000000000003,0.0,0.0,0.0,0.99999999998827793,9.5,8.8590671722412437e-25,3.0312126142366855e-20,5.6641650936159736e-12,1.6957758634599362e-24,1.6957758634599362e-24,5.5506033749040048e-12,3.8353602319656126e-13,3.2905893043210128e-21,1.0189779168875699e-14,4.686530637277974e-28,3.3735985253533575e-19,4.7365821505161514e-23,1.5801521023823725e-23,5.9204642914787545e-26,5.7425269799745826e-32,0.0,0.0,9.0073967341879006e-24,0.0,0.0,0.0,1.1356138131194412e-13,9.1318780671368156e-20
9.279031284206618e-17,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999997655553,9.5,3.5436897225061879e-24,1.2125065516194301e-19,1.1328483841516917e-11,6.7832510939817189e-24,6.7832510939817189e-24,1.1101356648636038e-11,7.6708245074043358e-13,7.7843434368756906e-21,2.037977274193182e-14,1.8746454953893943e-27,1.349466706296231e-18,1.894671208583287e-22,6.3207204821400842e-23,2.3682360802011818e-25,4.5941668536375903e-31,0.0,0.0,3.6030256021500272e-23,0.0,0.0,0.0,2.2712584325347816e-13,1.8263973312307286e-19
1.8558188425036782e-16,0.2588472519712064,76.950000000000003,0.0,0.0,0.0,0.99999999995311073,9.5,1.4174829138057229e-23,4.8500502422974964e-19,2.2657121336733923e-11,2.7133357466162544e-23,2.7133357466162544e-23,2.2202861171044932e-11,1.5341753057819294e-12,2.038112734437195e-20,4.0759573831155956e-14,7.4986190660088841e-27,5.3979204646329547e-18,7.5787603382912346e-22,2.5283006934379078e-22,9.4730581390146886e-25,3.6753914403908884e-30,0.0,0.0,1.4412197852817196e-22,0.0,0.0,0.0,4.5425476712574331e-13,3.6528072161669647e-19
3.711650270669711e-16,0.2588472519712065,76.950000000000003,0.0,0.0,0.0,0.99999999990622124,9.5,5.6699013373375198e-23,1.9400097232104643e-18,4.531439632482838e-11,1.0853459850722186e-22,1.0853459850722186e-22,4.4405862115648671e-11,3.0683610156799265e-12,6.0011797726476054e-20,8.1518431795640453e-14,2.9994315260152227e-26,2.1591781511118435e-17,3.0315182813919945e-21,1.0113148463142541e-21,3.7892564914339102e-24,2.9403360934510279e-29,0.0,0.0,5.7648675312267001e-22,0.0,0.0,0.0,9.0851261482706195e-13,7.305590329972049e-19
7.423313127001777e-16,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999981244225,9.5,2.2679189784842959e-22,7.759896702276611e-18,9.0628946291659193e-11,4.3414443098858279e-22,4.3414443098858279e-22,8.8811831604053378e-11,6.136732434735932e-12,1.970215487396429e-19,1.630331709774584e-13,1.1997505770992319e-25,8.6367264335844024e-17,1.2126093779520783e-20,4.0451850757191659e-21,1.5157176214183401e-23,2.3522776640018726e-28,0.0,0.0,2.3059201319940314e-21,0.0,0.0,0.0,1.8170283100568538e-12,1.4611009935904959e-18
1.4846638839665909e-15,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999962488428,9.5,9.0713088773107172e-22,3.103833094870522e-17,1.8125804618788852e-10,1.7366193951721009e-21,1.7366193951721009e-21,1.7762364097807884e-10,1.2273475269887913e-11,7.0203469160590846e-19,3.260507432220615e-13,4.7988077461608345e-25,3.4546884581377316e-16,4.8504355320100656e-20,1.6180084138909951e-20,6.0629675565822461e-23,1.8818250273073532e-27,0.0,0.0,9.2234303078718735e-21,0.0,0.0,0.0,3.6340596998250547e-12,2.9221262681799601e-18
2.2269964552330042e-15,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999943732631,9.5,1.9275982572753939e-21,6.5954575509385883e-17,2.7188714604668568e-10,3.690375556124453e-21,3.690375556124453e-21,2.6643532074974746e-10,1.8410218102079791e-11,1.4380414751369346e-18,4.8905641021713932e-13,1.0197175562512186e-24,7.3412061602304775e-16,1.0307167393756987e-19,3.4381697741439335e-20,1.2883962277268928e-22,5.5866697963650382e-27,0.0,0.0,1.9599412009833767e-20,0.0,0.0,0.0,5.451091088901873e-12,4.3830928982460395e-18
2.9693290264994174e-15,0.2588472519712064,76.950000000000003,0.0,0.0,0.0,0.99999999924976835,9.5,3.2881691670246957e-21,1.125077804723481e-16,3.6251624586805086e-10,6.2954388113178899e-21,6.2954388113178899e-21,3.5524687091948648e-10,2.4546960931311499e-11,2.4050418991575514e-18,6.5205017283213595e-13,1.7394722362992915e-24,1.2523221478679433e-15,1.758279961646622e-19,5.8649581850695238e-20,2.197878057804954e-22,1.2173059970008345e-26,0.0,0.0,3.3433693354371486e-20,0.0,0.0,0.0,7.2681224772873076e-12,5.8440008858624206e-18
4.453994169032244e-15,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999887465241,9.4999999999999982,6.8074361268180222e-21,2.3292278777704769e-16,5.4377444542293117e-10,1.3034223530663034e-20,1.3034223530663034e-20,5.3286966709249501e-10,3.6820446582827331e-11,4.8811706783537628e-18,9.7800976190772056e-13,3.6011970499069069e-24,2.5927692456356218e-15,3.6402895262147163e-19,1.2142113826395336e-19,4.550525213133918e-22,3.5334629718312305e-26,0.0,0.0,6.9218140415754995e-20,0.0,0.0,0.0,1.0902185252435545e-11,8.7656792372885565e-18
5.93865931156507e-15,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999849953647,9.4999999999999964,1.1577178786821891e-20,3.9612398948456365e-16,7.2503264484016216e-10,2.2168311860378054e-20,2.2168311860378054e-20,7.104919866765325e-10,4.909393222345692e-11,8.2067454575364446e-18,1.3039255815536001e-12,6.12443478505656e-24,4.4096134738561008e-15,6.1911691843077131e-19,2.0649684675725046e-19,7.7394169800712236e-22,7.7272827725416007e-26,0.0,0.0,1.1771856096080605e-19,0.0,0.0,0.0,1.4536248025041317e-11,1.168714195673749e-17
7.423324454097897e-15,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999812442053,9.4999999999999947,1.7686550849673305e-20,6.0516186278185913e-16,9.0629084410991284e-10,3.386897001662282e-20,3.386897001662282e-20,8.8811379563238474e-10,6.1367417852422189e-11,1.2442440949806156e-17,1.6297945111920183e-12,9.3563483805087431e-24,6.7368803442459514e-15,9.4586917973780651e-19,3.1546689379255049e-19,1.182433917777521e-21,1.4497428882607427e-25,0.0,0.0,1.7984209010446442e-19,0.0,0.0,0.0,1.8170310794923026e-11,1.4608373655784855e-17
