Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887)
0.0,0.4091001793810383,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.652544651540466e-27,0.4091001793810383,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,2.1256650241026441e-19,2.0987392461359104e-18,2.0984998654713302e-18,4.7435933590387594e-35,4.7441343501951017e-35,5.3149896181205772e-16,3.8069543238928524e-30,2.0159843763733035e-35,1.6267254089563057e-51,6.5220216347834867e-56,7.1821861140660553e-38,1.4531473283886101e-29,2.7010185275554185e-36,1.3826872231407522e-51,1.9456676064088328e-55,3.0533843638531801e-56,1.0297331896855637e-72,3.0889044508238686e-48,7.1557331298855538e-35,6.5738223542623047e-50,6.5738223542623047e-50,6.3146115858103994e-67,1.1444539513579387e-67,4.0451150669899495e-49,2.3655777296063617e-35,4.544602434783514e-52,4.118296227060229e-53,1.7568474988529725e-117,1.1773285864419816e-66,7.7170839049331381e-53,1.5677307629701489e-117,1.7847467455955488e-31,1.330657203169312e-83,1.3306572031642788e-83,2.5534848944825357e-46,7.3350452199210054e-47,3.5644581371088082e-32,2.553149068630335e-46,1.1300379689483736e-61,1.5677307629701489e-117,3.5705526148263342e-69,9.552243094917424e-62,7.3176041882744263e-85,1.0277070376619256e-101,5.0287406109579101e-54,4.2623802863420577e-119,5.6154577983255098e-38,5.4404467778076869e-80,1.0003479707537105e-117,1.5831379210422261e-53,1.1652099242579392e-135,3.0499639572637804e-123,5.861998261363965e-140,2.1942833773005521e-79,8.2077713308727262e-53,7.1645344884895899e-80,2.4854328339468255e-53,2.8091215499047928e-70,4.1768185722677481e-41,2.3874303446636961e-70,2.2780871244745812e-71,9.4415676023494197e-58,1.2210000667116187e-55,4.8180703235638378e-86,7.4783287676585765e-57,2.7907169847955426e-58,5.1317318750709245e-94,1.1807987753345787e-68,1.2956227919190669e-50,4.2314657053137216e-95,2.3938066457983705e-22,3.4730201769505218e-49,1.9300798222227643e-43,3.4730201769505218e-49,4.0794658366442041e-81,3.8075477408872348e-74,3.2378065988244596e-74,1.8732660785360651e-135,1.207696187892735e-135,2.589428976662897e-57,7.4018486845942515e-71,1.6225624700456628e-72,1.3911938634441029e-97,1.734989684374443e-58,9.9646916989494169e-112,3.5629616369199727e-71,9.4083758501323322e-87,4.1591123294211322e-103,9.0373965016539214e-104,6.2848684190948681e-89,2.7327514569148288e-77,8.2166225062649146e-113,2.732751456918277e-77,1.0443507412792773e-98,1.2868698662912127e-77,8.8261525409069036e-94,4.3335105958020002e-88,4.5752130521679862e-98,5.5213212475553227e-31,2.402082186501549e-80,1.6103656207833833e-70,3.4969702457259771e-88,1.9156927439739959e-104,5.49582397295502e-109,1.2581400225978945e-121,3.4116216224984595e-124,9.0116480806700912e-136
1.8627125024313303e-26,0.4091001793810383,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,5.9518620674873998e-19,5.8764698891805422e-18,5.8757996233197181e-18,2.8651303888593934e-34,2.8654571462796363e-34,1.4881970930736988e-15,2.2994004116312018e-29,1.2176545633294321e-34,1.9312483896623029e-50,7.7508058160053965e-55,4.3380404128959026e-37,8.7770098634668948e-29,1.6314151906434704e-35,1.6415262381679382e-50,2.3098965823188663e-54,3.6249779167665e-55,2.30570621322328e-71,3.6671473640179779e-47,4.3220628104508697e-34,7.8044418989802005e-49,7.8044418989802005e-49,1.4125533532992573e-65,2.5600977110295269e-66,4.8023606075301223e-48,1.4288089486822008e-34,5.3953520105741018e-51,4.8892412807653974e-52,1.8720573413937585e-115,2.6336369547277065e-65,9.1617220119362709e-52,1.6705387838519059e-115,1.0779870343396734e-30,5.4909942072678946e-82,5.4909942072300058e-82,3.0314972667295222e-45,8.7081656850897948e-46,2.1529327148136104e-31,3.0310985742777915e-45,2.5278497350186407e-60,1.6705387838519059e-115,7.9871833772616052e-68,1.1340423002416514e-60,3.0224877763464249e-83,7.7435468134610912e-100,5.9701208533290554e-53,5.8235216788257902e-117,3.3917365101885978e-37,1.2170061824218516e-78,1.3667358852799759e-115,1.8795013398612842e-52,2.8772165578799383e-133,4.1670451793803215e-121,1.4508898406631407e-137,9.0547717963648991e-78,9.7442661239745102e-52,2.9564652173716499e-78,2.9507058604616633e-52,6.2838925422731599e-69,2.5227984176497094e-40,5.3405861837982375e-69,5.0959897739646101e-70,1.1209029057509138e-56,1.4495712791997736e-54,1.9881895356859134e-84,8.8782719129600036e-56,3.3131394028471426e-57,3.8630396675255188e-92,2.6413996284723548e-67,1.5381633785658745e-49,3.1853417655760017e-93,6.7026586082361218e-22,4.1231695540752915e-48,1.1657682126250452e-42,4.1231695540752915e-48,1.6834029999955003e-79,8.5173319352277507e-73,7.2428437769493654e-73,4.6255975565157308e-133,2.1480585709957523e-133,3.0741700810941037e-56,1.6556801181655159e-69,3.629607342990455e-71,1.0472560162018377e-95,2.059779753289357e-57,1.3601755063064382e-109,7.970202663324481e-70,3.882392638009507e-85,3.1308759501442845e-101,6.8031265130275786e-102,2.5934685507710581e-87,6.1130556990467865e-76,1.1215649229535314e-110,6.1130556990610142e-76,7.8616117104050391e-97,2.8786765808570526e-76,3.6421367626328461e-92,1.7882352811873821e-86,2.4383624481304615e-96,3.334878033518224e-30,9.9122594008994333e-79,3.6023234790676269e-69,1.4430345634122644e-86,1.4420856819727453e-102,4.4085635045866157e-107,1.8292084221686942e-119,4.9601529984766124e-122,2.3673762249375108e-133
4.257628576985898e-26,0.4091001793810383,76.950000000000003,0.0,0.0,0.0,0.99999999999999656,9.5,1.3604256154256899e-18,1.3431931175269777e-17,1.3430399139016464e-17,1.3794369488084445e-33,1.3795942671794279e-33,3.4015933555967266e-15,1.1070623173879192e-28,5.8624825664929138e-34,1.8961110875425368e-49,7.6132320758100521e-54,2.0885797219704159e-36,4.2257524309536106e-28,7.8545618781311165e-35,1.6116601245440998e-49,2.2678701620000614e-53,3.559024814507276e-54,4.5578411330746405e-70,3.60042702787993e-46,2.0808871941707119e-33,7.6624473361281172e-48,7.6624473361281172e-48,2.7909673905201893e-64,5.0583216636322894e-65,4.7149861220824093e-47,6.8791000376946675e-34,5.2971885979809127e-50,4.8002860822598308e-51,4.260364501351009e-113,5.2036228167599482e-64,8.9950329995889705e-51,3.801755413941555e-113,5.1900435361912832e-30,2.172182702471204e-80,2.1721827024412465e-80,2.9763419930083953e-44,8.5497287083386106e-45,1.0365444262710761e-30,2.9759505543950752e-44,4.9946050972835632e-59,3.8017554139415544e-113,1.5781328397953867e-66,1.1134094551839204e-59,1.1962445779755078e-81,6.1255902790672194e-98,5.8615000561319955e-52,9.2042797068189494e-115,1.6329751277530421e-36,2.4045991334414557e-77,2.160173871972305e-113,1.8453055607666742e-51,9.0870218810793603e-131,6.5861606597870412e-119,4.586512939270872e-135,3.5819776762735054e-76,9.5669782631487091e-51,1.1695482390352032e-76,2.8970205112483932e-51,1.2415912737064239e-67,1.2146188408154461e-39,1.0552098333439711e-67,1.0068817045631401e-68,1.1005091197298186e-55,1.4231976777582563e-53,7.865074192207216e-83,8.7167400115696401e-55,3.2528603328210952e-56,3.0543893066777401e-90,5.2189605519546542e-66,1.5101779262594939e-48,2.5185539534264904e-91,1.5320362533114366e-21,4.048152318252385e-47,5.6126721230605468e-42,4.048152318252385e-47,6.6593748597579021e-78,1.6828812354714529e-71,1.4310638466804796e-71,1.4608878186089068e-130,9.786942228477161e-131,3.0182384151979982e-55,3.2709824911834683e-68,7.1714924685879233e-70,8.2803384188129004e-94,2.022303976106904e-56,2.1487439378196215e-107,1.5747777368710415e-68,1.5358359186327667e-83,2.4754894709069616e-99,5.3790275694153836e-100,1.025950367596184e-85,1.2078367923269248e-74,1.7717976966162589e-108,1.2078367923325538e-74,6.2159399872009002e-95,5.6877805377234656e-75,1.4407932614452918e-90,7.0740809389698185e-85,1.0601623718740062e-94,1.6056002187813003e-29,3.9211912452291603e-77,7.1175841512133393e-68,5.7085012283619253e-85,1.1402137864022591e-100,3.5777254141645052e-105,2.9668228959917886e-117,8.044952837309577e-120,7.6738135045749381e-131
9.047460726095034e-26,0.4091001793810384,76.950000000000003,0.0,0.0,0.0,0.99999999999999267,9.5,2.890904432779584e-18,2.8542853747448129e-17,2.8539598170409831e-17,6.0243635659789429e-33,6.0250506055555962e-33,7.2283858806417666e-15,4.8348319913426566e-28,2.5603001579934178e-33,1.6770887244300351e-48,6.7351857002472056e-53,9.1213763648639609e-36,1.8454971070530509e-27,3.4302935299953381e-34,1.4254950037968083e-48,2.0059054754400921e-52,3.1479171437580921e-53,8.1121829151724598e-69,3.1845369326205932e-45,9.0877810749545693e-33,6.7773478943502062e-47,6.7773478943502062e-47,4.9663773506122737e-63,9.0010131353421524e-64,4.1703518294616968e-46,3.0042837165994226e-33,4.6853033261586281e-49,4.2457986782467061e-50,7.1998276631567824e-111,9.2595687739309256e-63,7.9560048226275535e-50,6.4247985798333887e-111,2.2666283669057534e-29,7.7523657735323979e-79,7.7523657733182782e-79,2.6325407868147703e-43,7.5621382199269874e-44,4.5268618341264714e-30,2.6321945637941952e-43,8.8876329098878791e-58,6.4247985798333872e-111,2.8082030691012845e-65,9.8479805419820663e-59,4.2702584156923492e-80,4.379299964399605e-96,5.1844304202720166e-51,1.316940203425421e-112,7.1316314038732297e-36,4.2788556809260556e-76,3.0907576790413444e-111,1.6321518710773891e-50,2.6011797446113413e-128,9.423420447454132e-117,1.3134888837125326e-132,1.2783823896475802e-74,8.4618839310318098e-50,4.1740345913639247e-75,2.5623818344857635e-50,2.209345333590469e-66,5.3045595867798812e-39,1.8776895187894914e-66,1.7916921957869666e-67,9.733878535317532e-55,1.2588022287753159e-52,2.8069848927585973e-81,7.7098578262775689e-54,2.8771188748659728e-55,2.1831497607729708e-88,9.2868614542095901e-65,1.3357352735540022e-47,1.8001570555843538e-89,3.2555770382881801e-21,3.5805448816265042e-46,2.451201374260564e-41,3.5805448816265042e-46,2.3766835854859443e-76,2.994597150959583e-70,2.5465015418597611e-70,4.1818231018200875e-128,3.3272605239783711e-128,2.6695976977798043e-54,5.8192433126460249e-67,1.2761287676435067e-68,5.9184396693082166e-92,1.7887049650027843e-55,3.0737081470073092e-105,2.8022328427103332e-67,5.4812893022029347e-82,1.769376364169189e-97,3.8447039890049236e-98,3.6615439880466289e-84,2.1492810374528175e-73,2.5344988386399627e-106,2.1492810374729069e-73,4.4428939907463662e-93,1.0121104117008911e-73,5.1420900834283521e-89,2.5246892394737249e-83,3.943441697316019e-93,7.0120779843147847e-29,1.3994453029523763e-75,1.2665360706022463e-66,2.0373235405364318e-83,8.1497713784316985e-99,2.5885656170574214e-103,4.296326284917943e-115,1.1650086155832956e-117,2.2233434109484517e-128
1.8627125024313305e-25,0.4091001793810383,76.950000000000003,0.0,0.0,0.0,0.9999999999999849,9.5,5.951862067487347e-18,5.8764698891804351e-17,5.8757996233196063e-17,2.5150531989620962e-32,2.5153400152004785e-32,1.4881970930727789e-14,2.0184471825268506e-27,1.0688749163525156e-32,1.409694024583291e-47,5.6618718568010095e-52,3.8079950776778865e-35,7.7045871351120567e-27,1.4320800233098432e-33,1.1982142331055232e-47,1.6860844169176045e-51,2.6460140355653763e-52,1.3683780631972612e-67,2.6767951746113299e-44,3.793969705465244e-32,5.696769271045936e-46,5.6967692710459367e-46,8.3765213027718313e-62,1.5181524268485478e-62,3.5054319952083145e-45,1.2542293122367018e-32,3.9382797563339436e-48,3.5688496176247593e-49,1.0542133656810521e-108,1.5617616144282164e-61,6.6875014386683732e-49,9.4073203575810971e-109,9.4627272451422571e-29,2.6193491826060331e-77,2.6193491824612237e-77,2.2128091537985387e-42,6.3564328268549896e-43,1.889875704293546e-29,2.2125181324882519e-42,1.49902919462554e-56,9.4073203575810933e-109,4.7364449316271031e-64,8.2778210316996932e-58,1.4429758560334911e-78,2.962039494185593e-94,4.3578261536042626e-50,1.7822034876227594e-110,2.9773157246720311e-35,7.2169155172700426e-75,4.1826949322808269e-109,1.3719219921679033e-49,7.04172394394388e-126,1.2752631246304673e-114,3.5565767824276256e-130,4.3193651657628051e-73,7.1127233105489846e-49,1.4103119505264366e-73,2.1538363269728716e-49,3.7263838297932814e-65,2.2145492070162163e-38,3.1669978223047157e-65,3.0219507674311885e-66,8.1819114191132317e-54,1.0580991218081469e-51,9.4841390173320512e-80,6.4806000567423503e-53,2.4183930320104505e-54,1.4764652403562694e-86,1.5663649238726262e-63,1.1227659815071697e-46,1.2174470883810528e-87,6.702658608246048e-21,3.0096637170181257e-45,1.0233283217762606e-40,3.0096637170181257e-45,8.0302766780276581e-75,5.0508254856127381e-69,4.2950466773346665e-69,1.1320726269017646e-125,9.7764192247586819e-126,2.2439577203113925e-53,9.8106360691272021e-66,2.1523776895175735e-67,4.0026436142369733e-90,1.503514300644137e-54,4.1591737665599914e-103,4.7263752721936683e-66,1.8520037718871228e-80,1.1966300918719205e-95,2.6001751694819849e-96,1.2371529585324032e-82,3.6250766151148014e-72,3.4295452192859829e-104,3.6250766151826777e-72,3.0047313573228367e-91,1.7070730020804986e-72,1.7373968831353421e-87,8.5303543319073005e-82,1.3588501334790674e-91,2.9274045253814039e-28,4.7284093882341825e-74,2.136198203874642e-65,6.8836557852108391e-82,5.5116943295969039e-97,1.761132855528554e-101,5.848612257121952e-113,1.5859325436301177e-115,6.0546394973230392e-126
3.778645362074985e-25,0.4091001793810383,76.950000000000003,0.0,0.0,0.0,0.99999999999996947,9.5,1.207377733690278e-17,1.1920838918051484e-16,1.1919479235876658e-16,1.0274812959410163e-31,1.0275984621652162e-31,3.0189141030883588e-14,8.2460153437152158e-27,4.3667027985944621e-32,1.1557521667065787e-46,4.6421604869659687e-51,1.5556902410512165e-34,3.147575239179178e-26,5.8505141714257996e-33,9.8236807680428295e-47,1.3823538738179263e-50,2.1693621717909814e-51,2.2476768282391871e-66,2.1945984092976675e-43,1.5499604188656647e-31,4.6705556327055989e-45,4.6705556327056001e-45,1.3758461392889429e-60,2.4935699198228555e-61,2.8739649389487023e-44,5.1239359854315545e-32,3.2288396850740868e-47,2.9259585373353934e-48,1.441547605731034e-106,2.5651981413825269e-60,5.4828177212352186e-48,1.2863714860089189e-106,3.8658328408252557e-28,8.6118470323810383e-76,8.6118470314284312e-76,1.8141946365804537e-41,5.2113876709468518e-42,7.7207589032900817e-29,1.8139560397275276e-41,2.4621599534733188e-55,1.2863714860089174e-106,7.7796250228456679e-63,6.7866578080177674e-57,4.7444324036750654e-77,1.9486300821410788e-92,3.5728091694893554e-49,2.3454027725924755e-108,1.2163306209483672e-34,1.1853805410436662e-73,5.504480469941019e-107,1.1247845372142638e-48,1.8535952555000215e-123,1.6782627176955776e-112,9.3630345075810082e-128,1.4201127643831473e-71,5.8314403022392324e-48,4.6367971353279952e-72,1.7658451501620666e-48,6.1205966300334997e-64,9.0471561002736159e-38,5.2018034330231086e-64,4.9635632098548429e-65,6.7080253116546653e-53,8.6749358771190585e-51,3.1181586523729758e-78,5.3131874678367346e-52,1.9827467842454711e-53,9.712681506271402e-85,2.5727590909586997e-62,9.2051138629837212e-46,8.0087735877435297e-86,1.3596821748179307e-20,2.4675041514304145e-44,4.1806300984125859e-40,2.4675041514304145e-44,2.6401792796746404e-73,8.295995011657527e-68,7.0546258245608769e-68,2.9799584118710117e-123,2.6783333703592564e-123,1.8397321133254033e-52,1.6099667071192288e-64,3.5352868181685768e-66,2.6330726620308943e-88,1.2326718621761394e-53,5.473238828986659e-101,7.7630855769940168e-65,6.0889832075136604e-79,7.8718324316048017e-94,1.7104820751200407e-94,4.0674882546013703e-81,5.954199225519652e-71,4.513088683835145e-102,5.9541992257428147e-71,1.9766126480942954e-89,2.8038753558489564e-71,5.7121864934783689e-86,2.8045938712211086e-80,4.5107484542627493e-90,1.1959402674441494e-27,1.5545975553735374e-72,3.5087119644661391e-64,2.2631954166089641e-80,3.6257766265092878e-95,1.1619670250687219e-99,7.7194330741498045e-111,2.0932316263773043e-113,1.5984581989693263e-123
7.610511081362293e-25,0.4091001793810383,76.950000000000003,0.0,0.0,0.0,0.9999999999999386,9.5,2.4317607875733268e-17,2.4009576975792814e-16,2.4006838460989977e-16,4.1532436783178971e-31,4.1537172217467788e-31,6.0803481231130226e-14,3.3331712443677925e-26,1.7650910887606413e-31,9.3595780261722634e-46,3.7594280295330891e-50,6.2883486877987386e-34,1.2723002370729577e-25,2.364871369763812e-32,7.9554658014394575e-46,1.1194660067988455e-49,1.7568057312288606e-50,3.6436703282382848e-65,1.7772426906533473e-42,6.2651878304044956e-31,3.7823370436969511e-44,3.7823370436969536e-44,2.2303058810119847e-59,4.0421842952481084e-60,2.3274113201276655e-43,2.0711768499972689e-31,2.6147980902800084e-46,2.3695170841235693e-47,1.906584707758497e-104,4.1582967290978347e-59,4.4401279422991644e-47,1.7013494344347261e-104,1.562631443608967e-27,2.7932319419366427e-74,2.7932319413185584e-74,1.4691818528726982e-40,4.2203168502751837e-41,3.1208541930185818e-28,1.4689886309551801e-40,3.9912673862489041e-54,1.7013494344347224e-104,1.2611107408815305e-61,5.4960114511036505e-56,1.5388842438613866e-75,1.2643702069176292e-90,2.8933534967825916e-48,3.043959321095938e-106,4.9166028444072224e-34,1.9215529392861794e-72,7.1439391263906592e-105,9.1087968024375185e-48,4.8116008367326238e-121,2.1781177645072203e-110,2.4306115369042898e-125,4.606101710832342e-70,4.7224515464200171e-47,1.5039340363290677e-70,1.4300271852282985e-47,9.9217508915941168e-63,3.6570051473108803e-37,8.4323475258203854e-63,8.0461498576306456e-64,5.4323328146771202e-52,7.0251879861481143e-50,1.0113551198109661e-76,4.3027569650700716e-51,1.6056830942158186e-52,6.3019191527951718e-83,4.1705533541547204e-61,7.4545398648632197e-45,5.1963655588260909e-84,2.738514802811591e-20,1.9982488361874225e-43,1.6898775284218585e-39,1.9982488361874225e-43,8.5633582078925922e-72,1.3448162121374292e-66,1.1435848445258734e-66,7.7354375746909711e-121,7.0909359816874243e-121,1.4898627636455138e-51,2.6051909290079707e-63,5.7308522779414573e-65,1.7084273821655047e-86,9.9824963316673441e-53,7.1032083038080808e-99,1.2584296254373085e-63,1.974947107921335e-77,5.1075134643615377e-92,1.1098191310744721e-92,1.3192800655146324e-79,9.6520135276845443e-70,5.8571186123061927e-100,9.6520135284083668e-70,1.2824937270569439e-87,4.5452119345115586e-70,1.8527376696427827e-84,9.0966329945338005e-79,1.4700259696642959e-88,4.8341817751501285e-27,5.042299906776898e-71,5.6877732950638096e-63,7.3406200838576829e-79,2.3525275848555609e-93,7.5503633890236111e-98,1.0033231316317466e-108,2.7206502032544446e-111,4.1553956262037069e-121
1.527424251993691e-24,0.4091001793810383,76.950000000000003,0.0,0.0,0.0,0.99999999999987688,9.5,4.880526895339274e-17,4.8187053091272398e-16,4.818155691121346e-16,1.6700010164215948e-30,1.6701913769486715e-30,1.2203216163136367e-13,1.3402534975373282e-25,7.0973536363627804e-31,7.5333983641608992e-45,3.0259491379185751e-49,2.5285173502017605e-33,5.1158632954606358e-25,9.5090437669976823e-32,6.4032420032731098e-45,9.0104363335024577e-49,1.4140300911374387e-49,5.8680901687883807e-64,1.4304795340542216e-41,2.5192044713082901e-30,3.044353908653023e-43,3.0443539086530269e-43,3.5918388648368798e-58,6.5098131938750826e-59,1.873303110638019e-42,8.3281110201549429e-31,2.1046169853259014e-45,1.9071934926162424e-46,2.4805189757384184e-102,6.6968086891451809e-58,3.5738012503534985e-46,2.2135022584120638e-102,6.2832723077087436e-27,8.9987687735690345e-73,8.9987687695861194e-73,1.1825253711205016e-39,3.396878160357885e-40,1.2548817449929757e-27,1.1823698493113925e-39,6.4278130816150741e-53,2.2135022584120555e-102,2.0309799703058894e-60,4.4236681615554396e-55,4.9577829277030812e-74,8.1476565519667109e-89,2.3288226102711426e-47,3.9232930643108794e-104,1.976944379730812e-33,3.0946017729247469e-71,9.2076679974619184e-103,7.3315521140010944e-47,1.2403470488017136e-118,2.8073286864590203e-108,6.2658688748464996e-123,1.4839170219739017e-68,3.8010398475390988e-46,4.8451238303860443e-69,1.1510102882248866e-46,1.5978673940039423e-61,1.4704656856403369e-36,1.3580035735423433e-61,1.2958076296724702e-62,4.3724140515233513e-51,5.6544824687233142e-49,3.2581368827104944e-75,3.4632331367688611e-50,1.292398825635714e-51,4.0609321972709678e-81,6.7165476058542174e-60,6.0000622134331779e-44,3.348517760228046e-82,5.4961800588269466e-20,1.6083645070734053e-42,6.7949232192281354e-39,1.6083645070734053e-42,2.7587999153530389e-70,2.1657839911905172e-65,1.8417068422690552e-65,1.994061330540593e-118,1.8459157889377819e-118,1.1991711673105924e-50,4.180730248662302e-62,9.2293609207746162e-64,1.1009039619095497e-84,8.0347815052835602e-52,9.1550530274615167e-97,2.0266621165424406e-62,6.3625551820981702e-76,3.2912618160503003e-90,7.15163132569396e-91,4.2502364664883543e-78,1.5544270228935815e-68,7.5490157672972528e-98,1.5544270231267712e-68,8.2643397078554592e-86,7.3199531888066336e-69,5.968864862110344e-83,2.9306014913967021e-77,4.7471171560998671e-87,1.9438032300776856e-26,1.6244440811993186e-69,9.1599835474235425e-62,2.364878540774634e-77,1.515959627968919e-91,4.8690063796011716e-96,1.2941040792986396e-106,3.5091432004227304e-109,1.0719726419992129e-118
3.0601705397086144e-24,0.4091001793810383,76.950000000000003,0.0,0.0,0.0,0.99999999999975342,9.5,9.7780591108705595e-17,9.654200532221925e-16,9.6530993811647893e-16,6.6974510020550969e-30,6.6982140382569416e-30,2.4448952243079113e-13,5.3750159681264496e-25,2.8463562450674253e-30,6.0450708555438265e-44,2.4281473650140161e-48,1.0140485481335988e-32,2.0516899940480908e-24,3.8135518529424974e-31,5.1381840280116733e-44,7.2303076959562267e-48,1.1346700956333211e-48,9.4196414407473243e-63,1.1478697376189645e-40,1.0103136671683095e-29,2.4429022849813953e-42,2.4429022849814026e-42,5.7656968502714924e-57,1.0449691882243733e-57,1.5032077697628437e-41,3.3399450029379069e-30,1.6888225865373454e-44,1.5304026669516666e-45,3.2009783348516826e-100,1.0749861065730355e-56,2.8677504332520088e-45,2.8564074061209918e-100,2.5198732216015466e-26,2.8893159310135988e-71,2.8893159284557996e-71,9.4890213747130475e-39,2.7257807957544919e-39,5.0326370569647895e-27,9.487773410139752e-39,1.0318063541788521e-51,2.8564074061209684e-100,3.260172646536646e-59,3.5497151124032595e-54,1.5918500997716638e-72,5.2323995879061728e-87,1.8687334806098069e-46,5.0391896097302321e-102,7.928431172701929e-33,4.9675212040992134e-70,1.1826591626495496e-100,5.883108846441165e-46,3.1863174706815732e-116,3.6058131086655337e-106,1.6096564322810723e-120,4.764546351927029e-67,3.050095094886652e-45,1.555667650470881e-67,9.2361326820410205e-46,2.5649310415165162e-60,5.8972250812668519e-36,2.179896487921618e-60,2.0800582237220352e-61,3.5085869113246867e-50,4.5373660741699858e-48,1.0460691426740983e-73,2.7790264852671997e-49,1.0370772995938085e-50,2.6079013665669425e-79,1.0781546398260599e-58,4.8146720553683879e-43,2.1503939535767097e-80,1.10115105709698e-19,1.2906112256517189e-41,2.7250681220474909e-38,1.2906112256517189e-41,8.8579279553699366e-69,3.4765595513292142e-64,2.9563432005958306e-64,5.1225279736646382e-116,4.7651680186765491e-116,9.6225934060075649e-50,6.6638194398906575e-61,1.4815168271299116e-62,7.0699258378681444e-83,6.447406145132718e-51,1.1758935989614278e-94,3.2532415350029197e-61,2.0428830340988967e-74,2.1136245991951376e-88,4.5927260543441833e-89,1.3646617938521147e-76,2.4951996246298482e-67,9.6961091242322073e-96,2.4951996253785709e-67,5.307299351725098e-84,1.1750240667077877e-67,1.9164925250773597e-81,9.409546786059628e-76,1.5260109547433828e-85,7.7955203382000684e-26,5.2157492679019795e-68,1.4703802223976537e-60,7.5931290320252628e-76,9.7353833884287923e-90,3.1279903654190363e-94,1.6627894606725556e-104,4.5088849385153936e-107,2.7547884479293026e-116
