Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26)
0.0,0.3624289732999573,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.651919622969661e-25,0.3624289732999573,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,9.9888902031249685e-19,1.016014409741748e-17,1.0159873330783439e-17,5.8577993133054295e-33,5.8579553754728955e-33,4.3851174518617954e-16,7.0437740066788781e-29,2.7716288200312392e-33,2.4126575746761064e-48,7.4098735436564515e-53,4.204607502997971e-36,2.0290627816776454e-28,1.3531583883226055e-34,2.2831066785409187e-48,1.7033583819633376e-52,8.3998725389364017e-54,2.7605216726598631e-69,2.0268085341425281e-46,1.1728907865725672e-33,1.1031919949891965e-47,1.1031919949891968e-47,3.0094442539551386e-63,4.9442365235212369e-64,1.1161056361396542e-48,4.0504758354872113e-34,2.2098929804163991e-49,1.8153241370871184e-50,1.3867820629580787e-111,3.7765009252554133e-63,4.5754537340055216e-51,1.2558495446103133e-111,2.4108760875345439e-30,1.0886939120777777e-78,1.0886939119802169e-78,2.5457432053666625e-44,7.4455942735886509e-45,1.5847082720530666e-31,2.5455184563546592e-44,1.2918814788218841e-58,1.2558495446103132e-111,5.4951554449504371e-66,2.7605216726824367e-69,2.2573615332146535e-80,5.1334695292711956e-96,4.0460701971468043e-52,5.7237214804691056e-112,2.6483427839048062e-37,3.0414214124989181e-86,2.7006888894107441e-111,1.1035430940905248e-51,8.8172978642235618e-128,1.1256677005495415e-116,7.2406046074348069e-132,1.0845721372552259e-75,1.8653300782457631e-51,1.5336987275973294e-76,1.3440660717100818e-51,3.8746887098381815e-67,1.672917879673793e-40,3.6665348686523999e-67,3.0118875916268398e-68,9.645412762544651e-56,2.356601311939622e-54,6.9986428788067933e-82,2.6814898452828078e-55,1.6819882656516842e-57,2.4635662214558701e-89,6.7099970767283627e-66,1.3381280373068345e-48,2.1063715317481443e-90,2.7076663404190187e-22
4.625374944315052e-25,0.3624289732999573,76.950000000000003,0.0,0.0,0.0,0.99999999999999878,9.5,2.7968892568749894e-18,2.8448403472768889e-17,2.8447645326193581e-17,3.5381107852363039e-32,3.5382050228383902e-32,1.2278328865203966e-15,4.2544395000314238e-28,1.6740638072979364e-32,2.8643068577480599e-47,8.7981530196903964e-52,2.5395829318107948e-35,1.2255539201325432e-27,8.1730766654685229e-34,2.7105037228366941e-47,2.022227070916868e-51,9.9723286782253381e-53,6.175948502140671e-68,2.4062270917326472e-45,7.0842603508982382e-33,1.3097095364511624e-46,1.3097095364511632e-46,6.7320064183113481e-62,1.1060059333647621e-62,1.3250406112232768e-47,2.4464874046328935e-33,2.6235849463423948e-48,2.1551528155466018e-49,1.4777239023699073e-109,8.447881509746747e-62,5.4319786730069648e-50,1.3382051437069434e-109,1.456169156869968e-29,4.4925259114001391e-77,4.4925259106657273e-77,3.0223063334085882e-43,8.8394095215963931e-44,9.571637963191222e-31,3.0220395113815497e-43,2.8898871928629314e-57,1.338205143706943e-109,1.2292442924126592e-64,6.1759485022338319e-68,9.3162018041653577e-79,3.8648128331882155e-94,4.8034945380497635e-51,7.8137850601396303e-110,1.5995990414784762e-36,1.2552041502271052e-84,3.6868674634450501e-109,1.3101263613039306e-50,2.1754783942026383e-125,1.5367144420697351e-114,1.7869777084028379e-129,4.4755172923998009e-74,2.2145198688147566e-50,6.328850742988533e-75,1.5956752403341838e-50,8.6675236563259591e-66,1.0104423993229535e-39,8.2018918397646048e-66,6.7374720669649606e-67,1.1451034031692332e-54,2.7977570775283888e-53,2.888005713801787e-80,3.1834647442883436e-54,1.9968600063187347e-56,1.8545111608968486e-87,1.5009995060748461e-64,1.5886256058792741e-47,1.5856239140650006e-88,7.581465753185612e-22
1.0572285587005831e-24,0.3624289732999573,76.950000000000003,0.0,0.0,0.0,0.99999999999999711,9.5,6.3928897299999687e-18,6.5024922223471474e-17,6.5023189317013657e-17,1.7034480403089555e-31,1.7034933872666593e-31,2.8064751691852083e-15,2.0483294811382899e-27,8.0598966086368583e-32,2.812193002829591e-46,8.6385832336294604e-51,1.2226998618718394e-34,5.9005145691072773e-27,3.9349845932421115e-33,2.6611875141339944e-46,1.9854345295514441e-50,9.7908914313843877e-52,1.220337778527804e-66,2.3624480273923094e-44,3.4107664073529225e-32,1.2858805893593703e-45,1.2858805893593718e-45,1.330131024240745e-60,2.1852813463851257e-61,1.3009327294790471e-46,1.1778783729576077e-32,2.5758512579486956e-47,2.115941814178746e-48,3.362953856833943e-107,1.6691590273416269e-60,5.3331488723432188e-49,3.0454418055002657e-107,7.0108276625370079e-29,1.7771985738446363e-75,1.7771985732639585e-75,2.9673182801669706e-42,8.6785846852699669e-43,4.608331655116367e-30,2.9670563127186137e-42,5.7099301054442013e-56,3.0454418055002645e-107,2.4287795764235477e-63,1.2203377785646606e-66,3.6856267720106989e-77,3.0559844666711853e-92,4.7160994217852533e-50,1.2344651523285748e-107,7.7013808155947711e-36,4.965772658999785e-83,5.8247179437973651e-107,1.2862898304708601e-49,6.8677778054354252e-123,2.427786806643535e-112,5.6419843455199386e-127,1.7704701335002111e-72,2.1742287389595574e-49,2.503630415832875e-73,1.5666434131851919e-49,1.7125566142098477e-64,4.8648451940911285e-39,1.6205556138321276e-64,1.3312109443173542e-65,1.1242693116019934e-53,2.7468544891771983e-52,1.1424629594777875e-78,3.1255445635642824e-53,1.9605364881884734e-55,1.4663062112877176e-85,2.9657220839498429e-63,1.5597220402495067e-46,1.2537051504379202e-86,1.7329064578768236e-21
2.2466106872387392e-24,0.3624289732999573,76.950000000000003,0.0,0.0,0.0,0.99999999999999378,9.5,1.3584890676249904e-17,1.3817795972487569e-16,1.3817427729865295e-16,7.4394051278951698e-31,7.4396029556683731e-31,5.9637597345003376e-15,8.9455929884415823e-27,3.5199686014252215e-31,2.4873520541414738e-45,7.6409293712880433e-50,5.339851528807724e-34,2.5769097327189168e-26,1.7185111531696818e-32,2.3537882375274048e-45,1.7560943564923758e-49,8.6599325927421124e-51,2.1715862732317427e-65,2.0895585263507152e-43,1.4895712989470519e-31,1.1373468191539827e-44,1.1373468191539854e-44,2.3668970889835022e-59,3.8885913967449131e-60,1.1506602666233361e-45,5.1441043110473309e-32,2.2783112670383056e-46,1.8715265723503366e-47,5.6832433470594209e-105,2.9701793063102834e-59,4.7171097815817278e-48,5.1466620170223847e-105,3.0618126311549771e-28,6.342695473144376e-74,6.3426954689939339e-74,2.6245594149871498e-41,7.6761098722465316e-42,2.0125795054929779e-29,2.6243277077458047e-41,1.0160515542204736e-54,5.1466620170223808e-105,4.3218834870357711e-62,2.171586273363284e-65,1.3154116454286363e-75,2.1843532714825232e-90,4.1713365304314394e-49,1.7659137264209614e-105,3.3633953355586808e-35,1.7722996897027562e-81,8.3323124594327298e-105,1.1377087882813498e-48,1.9655275264820467e-120,3.4729713017426531e-110,1.6148041174019907e-124,6.3186821488245131e-71,1.9230806969564709e-48,8.9352791196152445e-72,1.3856783572900581e-48,3.0474029933855632e-63,2.124605707185446e-38,2.8836921288351943e-63,2.3688187490839192e-64,9.9440347416685964e-53,2.4295616885160579e-51,4.0773449400390679e-77,2.7645087706883083e-52,1.734085650420484e-54,1.0480543679804703e-83,5.2773439904505877e-62,1.3795564812676398e-45,8.9609601934608224e-85,3.6824262230131244e-21
4.625374944315051e-24,0.3624289732999573,76.950000000000003,0.0,0.0,0.0,0.99999999999998712,9.5,2.7968892568749675e-17,2.8448403472768039e-16,2.8447645326192815e-16,3.1058051959120829e-30,3.1058876060117619e-30,1.227832886507262e-14,3.7346089783046044e-26,1.4695176003675549e-30,2.0907679134244483e-44,6.4227409651833035e-49,2.2292828980897924e-33,1.0758090868349632e-25,7.1744457748862034e-32,1.9784975062096189e-44,1.4761031183035805e-48,7.2791951442820874e-50,3.6627459719732428e-64,1.7563998467352822e-42,6.2186669504067698e-31,9.5600853178557291e-44,9.5600853178557769e-44,3.9921178934378332e-58,6.5586777590333735e-59,9.6719928656812184e-45,2.1475622879560332e-31,1.9150578984472099e-45,1.5731308519754045e-46,8.3215201490812524e-103,5.0096415305605087e-58,3.9650149985775387e-47,7.5358468852690567e-103,1.2782465015983108e-27,2.1430534473717823e-72,2.1430534445648362e-72,2.206100329847415e-40,6.4522328678884334e-41,8.4021232582956089e-29,2.2059055659497235e-40,1.7137194553971526e-53,7.5358468852690438e-103,7.28948820060546e-61,3.6627459724176958e-64,4.4445391028447896e-74,1.4772995701005361e-88,3.5062596956897393e-48,2.3895711116760761e-103,1.4041513440259469e-34,5.9882815396148544e-80,1.1274986341985851e-102,9.5631278864531954e-48,5.320431505739674e-118,4.6995001916368556e-108,4.3711939126283877e-122,2.1349398887208024e-69,1.6164651995980093e-47,3.0190288670944362e-70,1.1647461526865045e-47,5.139890565954512e-62,8.8698105980280035e-38,4.8637682644990887e-62,3.9953590541539227e-63,8.3585603734089341e-52,2.0421929912311076e-50,1.3776263370763532e-75,2.3237361957136124e-51,1.457625898689434e-53,7.0879967655683054e-82,8.9010119926571959e-61,1.1596003469468586e-44,6.060301717949083e-83,7.5814657533648223e-21
9.382903458467675e-24,0.3624289732999573,76.950000000000003,0.0,0.0,0.0,0.99999999999997391,9.5,5.6736896353748832e-17,5.7709618473327493e-16,5.7708080518846484e-16,1.2688227624571293e-29,1.2688562833081354e-29,2.4907467125985289e-14,1.5257096249117367e-25,6.003458889230327e-30,1.7141356202768252e-43,5.2657826967563073e-48,9.1073480357959927e-33,4.3950311475359377e-25,2.9309951954420834e-31,1.6220863242402599e-43,1.2101985172199251e-47,5.9679239697293705e-49,6.0161098671222064e-63,1.4400027115484848e-41,2.5405283593468105e-30,7.8379355396032754e-43,7.8379355396033534e-43,6.5570656272744175e-57,1.0772647913543663e-57,7.9296841083022649e-44,8.7734926785354253e-31,1.5700801679891204e-44,1.2897477169786811e-45,1.1378974918609409e-100,8.2283512567411835e-57,3.2507588519042365e-46,1.0304633187414478e-100,5.2220540405374513e-27,7.045890856527426e-71,7.0458908380623954e-71,1.8086943373485548e-39,5.2899303325014804e-40,3.4325415054879671e-28,1.8085346581381995e-39,2.8147893514247663e-52,1.0304633187414442e-100,1.1973006258289974e-59,6.0161098685834817e-63,1.461276896791709e-72,9.7182353908194905e-87,2.874643537784156e-47,3.1445625494700321e-101,5.7364164036459376e-34,1.9688289975375242e-78,1.4837348687202492e-100,7.8404300211295972e-47,1.4004345870148757e-115,6.1843199545910955e-106,1.1505944833433179e-119,7.0192152567984481e-68,1.3252758325270076e-46,9.9259063903974771e-69,9.5492926697063132e-47,8.4422856881283411e-61,3.6236070440865512e-37,7.9887539791459524e-61,6.562389243749269e-62,6.8528527970604733e-51,1.6743131982490114e-49,4.5292263766346308e-74,1.9051393271470451e-50,1.1950865495740627e-52,4.662721018981547e-80,1.4619938925836564e-59,9.5071042441054065e-44,3.9866688905713706e-81,1.5379544814384623e-20
1.8897960486772924e-23,0.3624289732999573,76.950000000000003,0.0,0.0,0.0,0.99999999999994738,9.5,1.1427290392374563e-16,1.162320484744404e-15,1.1622895090414842e-15,5.1287844731488308e-29,5.1289187864913989e-29,5.0165743646883037e-14,6.1671622437452135e-25,2.4266940700301117e-29,1.3881478488507595e-42,4.2643799616430278e-47,3.681335690036729e-32,1.7765418602989991e-24,1.1847551205789047e-30,1.3135987058163327e-42,9.8005013323439559e-47,4.8329795595651558e-48,9.7524042089394064e-62,1.1661515303805229e-40,1.0269221824013522e-29,6.3473634121703915e-42,6.3473634121705139e-42,1.0629285944054236e-55,1.7462926492296809e-56,6.4216637815574461e-43,3.5463860166748315e-30,1.271491626980944e-43,1.0444711401227095e-44,1.5049783637755693e-98,1.3338511970203161e-55,2.6325487998128075e-45,1.3628863851647332e-98,2.1108377366016057e-26,2.2853178062057769e-69,2.285317794225035e-69,1.4647275679065788e-38,4.2839227338297337e-39,1.387488158089153e-27,1.4645982555422499e-38,4.562894836029487e-51,1.3628863851647241e-98,1.9408759096011147e-58,9.7524042136790307e-62,4.7396320788445414e-71,6.3055436390868565e-85,2.3279608670151089e-46,4.081049311955186e-99,2.3187512277596282e-33,6.3858705336466049e-77,1.9256081155511907e-98,6.3493835079289164e-46,3.6351946226550637e-113,8.0260813119909117e-104,2.9866906798046193e-117,2.2766656432509535e-66,1.0732427279530049e-45,3.2194439449818179e-67,7.733264786055443e-46,1.3685308901372258e-59,1.4647199037109249e-36,1.2950114458081238e-59,1.063791575663283e-60,5.5496178672549968e-50,1.3559022373365451e-48,1.4689739151013401e-72,1.5428312206675001e-49,9.6787163147177275e-52,3.0253324865531135e-78,2.3699551014171594e-58,7.6990995032798981e-43,2.5866867991396502e-79,3.0975702937689812e-20
3.7928074543383424e-23,0.3624289732999573,76.950000000000003,0.0,0.0,0.0,0.99999999999989442,9.5,2.2934491906373309e-16,2.3327690847664234e-15,2.332706916747305e-15,2.0622616794325492e-28,2.0623147346319982e-28,1.0068229668496821e-13,2.4797888139409272e-24,9.7576301253379141e-29,1.117296330068061e-41,3.4323490230249501e-46,1.4802488898619572e-31,7.1433966848128717e-24,4.7638482324238372e-30,1.0572842646280905e-41,7.8882960559581836e-46,3.8900024092580711e-47,1.5705971004447844e-60,9.3862020450358291e-40,4.1292089297546182e-29,5.1089102822480553e-41,5.1089102822482551e-41,1.7118137327380762e-54,2.8123504762301301e-55,5.168713683053727e-42,1.4259862196776615e-29,1.0234070784501904e-42,8.4068124041887338e-44,1.9580181117712042e-96,2.1481262322341302e-54,2.1189043005396947e-44,1.7731525520039443e-96,8.4875857005024762e-26,7.3624557043169576e-68,7.3624556271135257e-68,1.1789401749961262e-37,3.4480737088226902e-38,5.5790288593607392e-27,1.1788360931556825e-37,7.3484014667721823e-50,1.7731525520039202e-96,3.1257208183674424e-57,1.5705971019717206e-60,1.5269380870926545e-69,4.0632745027963247e-83,1.8737454337127161e-45,5.2599168374503149e-97,9.323596704426675e-33,2.0572965959228076e-75,2.4818466465617715e-96,5.1105362309698748e-45,9.3707942685419303e-111,1.0344525895631609e-101,7.6991103178789516e-115,7.3345816338109874e-65,8.6383911533290705e-45,1.0371867515855308e-65,6.2244042786416536e-45,2.2039768085066998e-58,5.8895743120929449e-36,2.085576010207726e-58,1.7132035377274871e-59,4.466815265391103e-49,1.0913480812655191e-47,4.732045443362658e-71,1.2418047888246288e-48,7.7912316885315249e-51,1.9495124902777859e-76,3.8167396290112593e-57,6.1969050836685221e-42,1.6668509150158681e-77,6.2168019189362589e-20
7.598830265660442e-23,0.3624289732999573,76.950000000000003,0.0,0.0,0.0,0.9999999999997885,9.5,4.594889493436834e-16,4.6736662848095066e-15,4.6735417321580784e-15,8.2705917035482481e-28,8.2707968458983782e-28,2.0171540274629711e-13,9.9450622557232973e-24,3.9132461006372448e-28,8.9655059204067505e-41,2.7542459435314017e-45,5.9364601058499749e-31,2.8648215665950613e-23,1.9105162095212061e-29,8.4838116140835817e-41,6.3298607321216944e-45,3.1214819496365647e-46,2.5211581535345306e-59,7.5318360181915878e-39,1.6559974642126042e-28,4.0995787535676183e-40,4.0995787535679389e-40,2.7478401496718548e-53,4.5144453555414166e-54,4.1475672156843544e-41,5.7188425283917479e-29,8.2121972818371785e-42,6.7459375104061964e-43,2.5267186489262508e-94,3.4482183402088274e-53,1.7002872570602166e-43,2.2881594371403497e-94,3.4039014821644933e-25,2.3639301056544461e-66,2.3639300560749596e-66,9.4602524325754672e-37,2.7668619988827438e-37,2.237440100471681e-26,9.4594172413590015e-37,1.1795811778183726e-48,2.2881594371402875e-94,5.01747415565935e-56,2.5211581584372058e-59,4.9026819330426887e-68,2.6094077216766862e-81,1.5035627060617089e-44,6.7559495749224308e-95,3.7391792865211305e-32,6.6055532615589245e-74,3.1877368625896798e-94,4.1008834748753641e-44,2.4072422279256277e-108,1.3286730128336429e-99,1.9778106561628571e-112,2.354980342221369e-63,6.9317648394777373e-44,3.3301891411026145e-64,4.9946924343095538e-44,3.5378708829533119e-57,2.3619827167930092e-35,3.3478113808728881e-57,2.7500710953672815e-58,3.5843379402472691e-48,8.7573810423874561e-47,1.5190718551958183e-69,9.9647013553170243e-48,6.2535114611355798e-50,1.2519628596914482e-74,6.1267123843196945e-56,4.972626057234676e-41,1.070439634890721e-75,1.2455265171295769e-19
