Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297)
0.0,0.3963497817815761,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.463573239529766e-27,0.3963497817815761,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,2.099164684428997e-19,2.141088306138204e-18,2.140840473164603e-18,4.8576321004568081e-35,4.8581943135134382e-35,5.3384528515097718e-16,3.7188434795321005e-30,2.0622594281082879e-35,1.6301136578716325e-51,6.7749672868484728e-56,7.4085923676013643e-38,1.4235073746445309e-29,2.7916237812095673e-36,1.3840970850240323e-51,2.0253022585971652e-55,3.1103710918798001e-56,1.0631764257246728e-72,2.9881764088780385e-48,7.232529879281833e-35,6.5129353931362412e-50,6.5129353931362412e-50,6.2731473431749464e-67,1.1381040178462887e-67,4.0370527403636829e-49,2.3903738567708067e-35,4.6047339651486523e-52,4.1770629160739743e-53,1.7293687210016448e-117,1.1741347205416256e-66,7.7241725856729161e-53,1.5429880492553804e-117,1.7488666266130736e-31,1.3320736488906314e-83,1.3320736488857346e-83,2.4605347152112919e-46,7.0666694852628027e-47,3.5316056747178662e-32,2.4602099663967607e-46,1.0661161945286352e-61,1.5429880492553804e-117,3.5845018562811324e-69,1.0005451722073665e-61,7.3950948067713556e-85,1.0134264602600795e-101,5.0181055288552703e-54,4.2168556355262239e-119,5.7452436245918742e-38,5.737958925273365e-80,9.7316337039966683e-118,1.5817556754748765e-53,1.1367756328980087e-135,3.057599275960251e-123,5.8828994312212e-140,2.0462699649960322e-79,8.2898293457952317e-53,6.7361655036570578e-80,2.4896644405762469e-53,2.8245620692912104e-70,4.2806776401896925e-41,2.3980019650214066e-70,2.2904475154355692e-71,9.7129874181344129e-58,1.2353205343559199e-55,4.744229399936419e-86,7.5212944412964303e-57,2.856397889481171e-58,4.6925184277453744e-94,1.1590417754887586e-68,1.2897994356085834e-50,3.8677923139376227e-95,2.4783297360066912e-22,3.4503228734393163e-49,2.0268163473303335e-43,3.4503228734393163e-49,3.8568544479840075e-81,3.8288837041797756e-74,3.2594632697714333e-74,1.7801222713214689e-135,1.1755689896790632e-135,2.6575519240225328e-57,7.4693915076235737e-71,1.6254902805762569e-72,1.2929184614395834e-97,1.7801479612575194e-58,9.0066775121614762e-112,3.5460180509037783e-71,9.1823763406321375e-87,4.0720370017315339e-103,8.8443069473672729e-104,6.2791307537459896e-89,2.8318767613045549e-77,7.4237685908997739e-113,2.8318767613080204e-77,9.7577788068247644e-99,1.3212713338164236e-77,8.8677875231165955e-94,4.2562884616190625e-88,4.8245829188833442e-98,5.4067788742029271e-31,2.2379534650523474e-80,1.6129705608924047e-70,3.5300772966509234e-88,1.8875031323932909e-104,5.6358225781207791e-109,1.2581230400087287e-121,3.4197205542421666e-124,8.7642670899724047e-136,1.8469640729926433e-50
1.8098005070683347e-26,0.3963497817815761,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,5.8776611164011897e-19,5.995047257186964e-18,5.9943533248608811e-18,2.9340097886758945e-34,2.9343493641248464e-34,1.494766798422674e-15,2.2461814616373117e-29,1.2456046945773622e-34,1.9352709190455948e-50,8.0515722646253303e-55,4.4747897900312307e-37,8.5979845428526702e-29,1.686140763850576e-35,1.643200026812592e-50,2.4044388413967098e-54,3.6926325602797042e-55,2.3806364144260491e-71,3.5475630326198948e-47,4.3684480470862229e-34,7.7321568987313412e-49,7.7321568987313412e-49,1.4032779680786832e-65,2.5458931637613115e-66,4.7927890133594283e-48,1.4437858094895262e-34,5.4667401634236058e-51,4.9590090939625217e-52,1.8427765712400048e-115,2.6264924044632481e-65,9.1701376937105457e-52,1.6441735023542332e-115,1.0563154424742601e-30,5.4968392101977367e-82,5.4968392101608732e-82,2.9211468138987102e-45,8.3895500129036015e-46,2.1330898275294849e-31,2.9207612721061007e-45,2.3848592825126719e-60,1.6441735023542332e-115,8.01838727242634e-68,1.1878472284580828e-60,3.0545529259228492e-83,7.636089275385062e-100,5.9574948838568093e-53,5.7614306086649333e-117,3.4701271492534826e-37,1.2835584597618832e-78,1.3296194401856731e-115,1.8778603379237289e-52,2.8070567926083351e-133,4.1775549319874308e-121,1.456162739801427e-137,8.4439903061147896e-78,9.8416853992908535e-52,2.7796975563473601e-78,2.9557296238521134e-52,6.3184323665198352e-69,2.5855292946745641e-40,5.3642344756736365e-69,5.1236394741287045e-70,1.153125866280908e-56,1.4665725383870908e-54,1.9577188892886976e-84,8.9292807607029498e-56,3.3911157714011894e-57,3.5324107471465188e-92,2.5927300900972535e-67,1.5312498899540833e-49,2.9115775138359414e-93,6.9393232608194268e-22,4.0962233153467993e-48,1.2241970737901245e-42,4.0962233153467993e-48,1.5915417871529874e-79,8.5650596325345167e-73,7.2912888844958945e-73,4.395682110676962e-133,2.0905934964423559e-133,3.155045644199464e-56,1.6707898337738146e-69,3.6361567380350472e-71,9.7327674652687458e-96,2.113391659604947e-57,1.2294070419192864e-109,7.9323005391496968e-70,3.7891333076156241e-85,3.0653278168597429e-101,6.657773516075902e-102,2.5911008870993806e-87,6.3347950399543566e-76,1.0133407542246065e-110,6.334795039968658e-76,7.3454123316183585e-97,2.9556312869273528e-76,3.6593175493825347e-92,1.7563693512948167e-86,2.5757724767259329e-96,3.2656944400136243e-30,9.2349776362351425e-79,3.6081506258939053e-69,1.4566962806762431e-86,1.4208652459874952e-102,4.5237222290246826e-107,1.8303315856105151e-119,4.9750480245556629e-122,2.3038280935107331e-133,2.1927157474567546e-49
4.136686873299051e-26,0.3963497817815761,76.950000000000003,0.0,0.0,0.0,0.99999999999999656,9.5,1.3434653980345562e-18,1.3702965159284459e-17,1.3701379028253412e-17,1.4125994148128133e-33,1.4127629045138027e-33,3.4166098249658196e-15,1.0814396838478186e-28,5.9970504169382473e-34,1.9000604313183917e-49,7.9087320339510204e-54,2.1544186604984848e-36,4.1395594454658499e-28,8.1180419557573824e-35,1.6133034614674048e-49,2.3606923125903368e-53,3.6254485446951057e-54,4.706005339085107e-70,3.4830184221878911e-46,2.10321968889515e-33,7.5914774942395833e-48,7.5914774942395833e-48,2.7726407923604512e-64,5.0302558719012476e-65,4.7055886741668635e-47,6.9512071754888823e-34,5.3672779097745531e-50,4.8687845349742663e-51,4.1937283193404778e-113,5.1895063893970716e-64,9.0032955658592872e-51,3.7417542019716383e-113,5.0857041501902705e-30,2.1744949275041401e-80,2.1744949274749938e-80,2.8679992640498611e-44,8.2369099520210876e-45,1.0269909302077958e-30,2.8676207368316483e-44,4.712080059083896e-59,3.7417542019716377e-113,1.5842982036493356e-66,1.1662354527666162e-59,1.2089471311565617e-81,6.0406447290230398e-98,5.8491038044331771e-52,9.1062330228822603e-115,1.6707168460313013e-36,2.5360952184498065e-77,2.1015309003071945e-113,1.843694415333375e-51,8.8655269405113982e-131,6.6028372571003476e-119,4.6033126245027051e-135,3.3403585927273924e-76,9.662625085343453e-51,1.0996207102232414e-76,2.901952871935649e-51,1.248415760931762e-67,1.2448210577671474e-39,1.0598823373107548e-67,1.0123448193782684e-68,1.1321458134577173e-55,1.4398896148444626e-53,7.7445354982051663e-83,8.7668208007621958e-55,3.3294179907075953e-56,2.7929709610745603e-90,5.1227977456441328e-66,1.5033902221440399e-48,2.3020967914421564e-91,1.5861310310447668e-21,4.0216963412797611e-47,5.8939819380749352e-42,4.0216963412797611e-47,6.295981037012009e-78,1.6923114245506116e-71,1.4406357839531218e-71,1.3882881983968009e-130,9.5251969183369103e-131,3.0976425226403899e-55,3.3008395794161323e-68,7.1844329695288932e-70,7.6954065784526421e-94,2.0749404636418205e-56,1.9421618138164573e-107,1.5672889158395232e-68,1.4989434549586138e-83,2.4236625328974918e-99,5.2641013253711591e-100,1.0250137433932113e-85,1.2516487494627546e-74,1.6008300344258662e-108,1.251648749468412e-74,5.8077966600862423e-95,5.8398300658067239e-75,1.447589805247509e-90,6.9480224892641014e-85,1.120512245678969e-94,1.5722912966107961e-29,3.6532653144455203e-77,7.1290976113838443e-68,5.7625456232512958e-85,1.1234354257498258e-100,3.6720899529077688e-105,2.9693876125145428e-117,8.0711309875805256e-120,7.4697043928906737e-131,2.1528213234798764e-48
8.790459605760482e-26,0.3963497817815761,76.950000000000003,0.0,0.0,0.0,0.99999999999999267,9.5,2.8548639708234247e-18,2.9118800963479321e-17,2.9115430435038346e-17,6.169192767579867e-33,6.1699067589843745e-33,7.2602958780511168e-15,4.7229312190045634e-28,2.619069473696849e-33,1.6805818752960959e-48,6.9966337495000785e-53,9.4089123068538103e-36,1.807854365798093e-27,3.5453622021361072e-34,1.426948519019518e-48,2.0880056164592432e-52,3.2066681808844182e-53,8.375926327788958e-69,3.0806903504961658e-45,9.1853129466878477e-33,6.7145758729076862e-47,6.7145758729076862e-47,4.9337661483734957e-63,8.9510715585063223e-64,4.1620398932031451e-46,3.0357747980982797e-33,4.7472965287039477e-49,4.306384783952349e-50,7.0872154614415501e-111,9.2344493456765275e-63,7.9633129689231021e-50,6.323399184165025e-111,2.2210606157980362e-29,7.7606179404382327e-79,7.7606179402299066e-79,2.5367128699933468e-43,7.2854535725239393e-44,4.4851392068900355e-30,2.5363780669555265e-43,8.3848946996665861e-58,6.3233991841650235e-111,2.8191740046652746e-65,1.0315220508263656e-58,4.315622211643917e-80,4.3185903061208198e-96,5.1734660760275195e-51,1.3029176994176836e-112,7.2964594032315112e-36,4.5128459383979706e-76,3.0068655161833172e-111,1.6307268311872814e-50,2.5377879247617215e-128,9.4473241649637047e-117,1.3183179181007695e-132,1.1921502549656411e-74,8.5464824620985591e-50,3.9244682080307491e-75,2.566744451656433e-50,2.2214891439770538e-66,5.4364606030407497e-39,1.8860039899474743e-66,1.8014135167073836e-67,1.0013701508599222e-54,1.2735660580979034e-52,2.7639655986034649e-81,7.7541537171718294e-54,2.9448332506690234e-55,1.996298858231681e-88,9.1157448783391041e-65,1.3297316261322418e-47,1.6454425270956103e-89,3.3705284409715206e-21,3.5571448695986714e-46,2.5740567611487902e-41,3.5571448695986714e-46,2.2469909113572985e-76,3.0113776699022088e-70,2.5635342942088424e-70,3.9740232584164101e-128,3.2383076601147305e-128,2.7398297315896903e-54,5.8723825359886794e-67,1.2784314606452318e-68,5.5003548480448773e-92,1.835261342138165e-55,2.7781991538701928e-105,2.7889068858109191e-67,5.3496227198449234e-82,1.7323326359615294e-97,3.7625595152657898e-98,3.6582012427952319e-84,2.2272420743120238e-73,2.2899351719786634e-106,2.2272420743322159e-73,4.1511702065504719e-93,1.0391668117051434e-73,5.1663464326985704e-89,2.4796998741748964e-83,4.1688446589509261e-93,6.8666091701610911e-29,1.3038244413505669e-75,1.2685848293234061e-66,2.0566116011920447e-83,8.0298466721591378e-99,2.6571422145750478e-103,4.3005318806267712e-115,1.1689331493724691e-117,2.1644548607852653e-128,1.9041460806917619e-47
1.8098005070683345e-25,0.3963497817815761,76.950000000000003,0.0,0.0,0.0,0.9999999999999849,9.5,5.8776611164011371e-18,5.9950472571868538e-17,5.9943533248607711e-17,2.5755165396619458e-32,2.5758146077649013e-32,1.4947667984217735e-14,1.9717308128468342e-27,1.0934099487824046e-32,1.4126302300823019e-47,5.8816670816440806e-52,3.9280356733023085e-35,7.5474361003611483e-27,1.4801189287972717e-33,1.1994360041410858e-47,1.755094532347885e-51,2.6953978222855965e-52,1.4128696942651447e-67,2.5895058651098267e-44,3.834687341995154e-32,5.6440056047254753e-46,5.6440056047254753e-46,8.3215177436429173e-62,1.5097290499537723e-62,3.4984453119513316e-45,1.2673762188593002e-32,3.9903887784440223e-48,3.619775890057102e-49,1.0377244587597838e-108,1.5575248556998346e-61,6.6936443759786924e-49,9.2588493063466637e-109,9.2724908542974108e-29,2.6221374032966351e-77,2.6221374031557433e-77,2.1322600156450518e-42,6.1238627092122532e-43,1.872457328733922e-29,2.1319785935183762e-42,1.4142350472956084e-56,9.258849306346658e-109,4.7549490180014667e-64,8.6705643767070739e-58,1.4583079620997345e-78,2.920983412149374e-94,4.3486099616154952e-50,1.7632307770077164e-110,3.0461281697584562e-35,7.6115742872598517e-75,4.0691732277696758e-109,1.370724160275179e-49,6.8701291732018683e-126,1.2785007630483275e-114,3.569676339319722e-130,4.0280062721087981e-73,7.1838334733566537e-49,1.3259891100802664e-73,2.1575033695722234e-49,3.7468661409870619e-65,2.2696152848284297e-38,3.1810213931813747e-65,3.0383471960616114e-66,8.4171194887554383e-54,1.0705090099412495e-51,9.3387872856020442e-80,6.5178334220671867e-53,2.4753110355331266e-54,1.3500978844888974e-86,1.5375036122596361e-63,1.117719554102378e-46,1.1128135778467728e-87,6.9393232608294524e-21,2.9899945969523132e-45,1.0746180273897385e-40,2.9899945969523132e-45,7.5920744441559675e-75,5.0791282879878704e-69,4.3237749084523145e-69,1.0758209090715565e-125,9.5151051493979163e-126,2.3029919765260872e-53,9.9002972526838701e-66,2.156261517834043e-67,3.7198926471675634e-90,1.5426477408585874e-54,3.7593071581329806e-103,4.7038990981199991e-66,1.8075166095217756e-80,1.1715774005474231e-95,2.5446208221155223e-96,1.2360235204617736e-82,3.7565692988021659e-72,3.0986150404979395e-104,3.7565692988703892e-72,2.8074384208098721e-91,1.7527075715522891e-72,1.745592533164441e-87,8.3783454346670659e-82,1.4366669896556928e-91,2.8666741590334284e-28,4.4053281082762477e-74,2.1396537349107485e-65,6.9488257828490559e-82,5.4305891926736176e-97,1.8078886617756847e-101,5.8546623405889891e-113,1.591363366833438e-115,5.8946017152446996e-126,1.6005495142289248e-46
3.671309600052907e-25,0.3963497817815761,76.950000000000003,0.0,0.0,0.0,0.99999999999996936,9.5,1.192325540755647e-17,1.2161381578864502e-16,1.215997388757444e-16,1.0521825434871301e-31,1.0523043064708625e-31,3.032241219653505e-14,8.0551637303965096e-27,4.4669364116545126e-32,1.1581594481900304e-46,4.8223747794613356e-51,1.6047307411919794e-34,3.0833739137715175e-26,6.0467687750508196e-33,9.8336976492760782e-47,1.4389325358617378e-50,2.2098499837869409e-51,2.3207604188662382e-66,2.1230333595704581e-43,1.5665949019718979e-31,4.6272967912096411e-45,4.6272967912096424e-45,1.3668117881855859e-60,2.4797344979794335e-61,2.8682368338971024e-44,5.177645388714912e-32,3.2715618096945569e-47,2.9677109723112589e-48,1.4190004202491659e-106,2.558239252448987e-60,5.4878540723829597e-48,1.2660693256119016e-106,3.7881150679046559e-28,8.6210140919944218e-76,8.6210140910675911e-76,1.7481555865483711e-41,5.0207126372089432e-42,7.6495991556532579e-29,1.7479248596861268e-41,2.3228853118631822e-55,1.2660693256119004e-106,7.8100180402799882e-63,7.1086525308538421e-57,4.7948485480573507e-77,1.9216226257497601e-92,3.5652531784781524e-49,2.3204368907886068e-108,1.2444427500609656e-34,1.2502033625324323e-73,5.3550900970265143e-107,1.1238024822586637e-48,1.8084282255805937e-123,1.6825252680984246e-112,9.3975514397296027e-128,1.3243203347052506e-71,5.8897407100076185e-48,4.3595620846872987e-72,1.7688516132383984e-48,6.1542388876743576e-64,9.2721189957552468e-38,5.2248371902983928e-64,4.9904943931157171e-65,6.9008630978203469e-53,8.7766796377731257e-51,3.0703706698936609e-78,5.3437136302761397e-52,2.0294115868984291e-53,8.8813948313254562e-85,2.5253542999693353e-62,9.1637402021977273e-46,7.3204594067354989e-86,1.4076912900563016e-20,2.4513782184424067e-44,4.390165281268794e-40,2.4513782184424067e-44,2.4961079724754298e-73,8.3424824642848101e-68,7.101812045948288e-68,2.8318898357870677e-123,2.6067518008352488e-123,1.8881319632697318e-52,1.624704745377127e-64,3.5416660178420167e-66,2.4470696317074065e-88,1.2647558208068226e-53,4.9470368546297535e-101,7.7261683935862999e-65,5.9427191508716264e-79,7.7070274602050833e-94,1.6739365698477861e-94,4.0637749093315769e-81,6.1701763533226888e-71,4.0776031749610373e-102,6.1701763535469912e-71,1.8468267646605967e-89,2.8788302608138696e-71,5.7391318518967807e-86,2.7546166715663947e-80,4.7692981729187021e-90,1.1711299312094607e-27,1.4483754991236679e-72,3.5143876845692549e-64,2.2846218859987984e-80,3.5724229584425939e-95,1.192848207207075e-99,7.7276302410904638e-111,2.1004572046413217e-113,1.5562501564971459e-123,1.3122271928922752e-45
7.394327786022053e-25,0.3963497817815761,76.950000000000003,0.0,0.0,0.0,0.99999999999993838,9.5,2.4014443989866759e-17,2.4494050222219011e-16,2.4491215013000973e-16,4.2530900702889727e-31,4.2535821946010452e-31,6.1071900621106072e-14,3.2560259708098018e-26,1.8056071177571079e-31,9.3790728613866172e-46,3.9053753770674709e-50,6.4865782302690767e-34,1.2463490348523728e-25,2.4442006183901839e-32,7.9635778354228825e-46,1.1652848742203839e-49,1.789593811100601e-50,3.7621467367168141e-65,1.7192874579351562e-42,6.3324270707449132e-31,3.7473049122923216e-44,3.7473049122923241e-44,2.2156608085571541e-59,4.0197564802313247e-60,2.3227725521458867e-43,2.0928870495439134e-31,2.6493955744437388e-46,2.403329288472081e-47,1.8767638965193677e-104,4.1470160702577445e-59,4.4442065100349942e-47,1.6744978837862933e-104,1.5312166771942644e-27,2.796205255754607e-74,2.7962052551532477e-74,1.4157017179788729e-40,4.0659032643705779e-41,3.0920902852774905e-28,1.4155148693838508e-40,3.7654971904476587e-54,1.6744978837862893e-104,1.2660375799800822e-61,5.7567711260070489e-56,1.555237805124837e-75,1.2468470416810752e-90,2.8872344593595166e-48,3.0115591514040739e-106,5.0302365650230743e-34,2.0266335263547276e-72,6.9500578327789059e-105,9.1008438667922899e-48,4.6943577836463784e-121,2.1836510140986983e-110,2.4395760288260601e-125,4.2954012613398284e-70,4.7696647281768001e-47,1.4140135121929276e-70,1.4324618969753325e-47,9.9762864409750126e-63,3.7479387465117872e-37,8.4696862389563324e-63,8.0898064662400299e-64,5.5884978535712973e-52,7.1075827214113772e-50,9.9585551796976823e-77,4.3274778428592035e-51,1.6434734362047866e-52,5.7625519950314628e-83,4.0937081451500497e-61,7.4210344016765753e-45,4.7497638332743011e-84,2.8352092180100941e-20,1.985189637560891e-43,1.774574999516771e-39,1.985189637560891e-43,8.0960663764161557e-72,1.3523520333146311e-66,1.1512339393809265e-66,7.3510819532230932e-121,6.9014326989356e-121,1.5290582169812664e-51,2.629117815310748e-63,5.7411932355144723e-65,1.5877422697671581e-86,1.0242320546986711e-52,6.4202996366520106e-99,1.2524451909199768e-63,1.9275067117478579e-77,5.0005823758595992e-92,1.0861071603407921e-92,1.318075650877355e-79,1.0002121758935393e-69,5.2919424196576906e-100,1.0002121759662911e-69,1.1982842176598221e-87,4.6667170252038594e-70,1.8614772374928523e-84,8.9345331454188101e-79,1.5543231732632849e-88,4.7338944292703181e-27,4.6977712134988644e-71,5.6969738819343421e-63,7.4101163237363146e-79,2.3179099046149959e-93,7.7511315007989722e-98,1.0044022322853372e-108,2.7300787496381644e-111,4.0457257766611905e-121,1.0626756025897226e-44
1.4840364157960345e-24,0.3963497817815761,76.950000000000003,0.0,0.0,0.0,0.99999999999987632,9.5,4.8196821154485842e-17,4.9159387508924872e-16,4.9153697263850834e-16,1.7101488114927731e-30,1.7103466433484125e-30,1.225708774699936e-13,1.3092337223370537e-25,7.260266806997897e-31,7.5490895770104035e-45,3.1434223139445213e-49,2.6082245773838838e-33,5.0115146527075554e-25,9.8280231866971732e-32,6.4097714411381672e-45,9.3792264399859078e-49,1.440420790316696e-49,6.0588965774987896e-64,1.3838321207715106e-41,2.5462410741202494e-30,3.0161570015720301e-43,3.0161570015720344e-43,3.5682534271318686e-58,6.4736938892022363e-59,1.8695694266028444e-42,8.4154067776830186e-31,2.1324640504942806e-45,1.9344084962713458e-46,2.4417212827486697e-102,6.6786415358467523e-58,3.5770840364949363e-46,2.1785676548560845e-102,6.1569549136275216e-27,9.0083477001343336e-73,9.0083476962591993e-73,1.1394799058916077e-39,3.2725926727441979e-40,1.2433159041986972e-27,1.1393295138869085e-39,6.0642171413861884e-53,2.1785676548560762e-102,2.038914492788263e-60,4.6335502336155086e-55,5.0104700328550711e-74,8.0347385773704772e-89,2.323897476608974e-47,3.8815341939780527e-104,2.0226359990111789e-33,3.2638308190420649e-71,8.9577809273585537e-103,7.3251508995043069e-47,1.2101241423907001e-118,2.8144611002271045e-108,6.2889835851932782e-123,1.3838207334677034e-68,3.8390411236802727e-46,4.555432883969531e-69,1.1529699560540358e-46,1.6066501761085711e-61,1.507029685938517e-36,1.3640168581842821e-61,1.3028383919031966e-62,4.4981092608766813e-51,5.7208009198439122e-49,3.2082048842482781e-75,3.483130649883727e-50,1.322815740202897e-51,3.7133660981186563e-81,6.5927907657586741e-60,5.9730941017550784e-44,3.0607293448774192e-82,5.6902450739459964e-20,1.5978533278944954e-42,7.1354880254116514e-39,1.5978533278944954e-42,2.6082556272567663e-70,2.1779202142705667e-65,1.8540254899225187e-65,1.8949816255777894e-118,1.7965855393985864e-118,1.2307190780825556e-50,4.2193774694665487e-62,9.2460147141648481e-64,1.0231349447598319e-84,8.2439106379685873e-52,8.2748782116155186e-97,2.0170243692421211e-62,6.2097196265008418e-76,3.2223558384176095e-90,6.99883230831977e-91,4.2463562842996691e-78,1.610810874211661e-68,6.8205818269914473e-98,1.610810874446041e-68,7.7216969037569958e-86,7.5156332618272816e-69,5.9970199347945222e-83,2.878378865744148e-77,5.0193953445266319e-87,1.9034781293890552e-26,1.5134495733466575e-69,9.1748008089402479e-62,2.3872676801866482e-77,1.4936521294313696e-91,4.9985094971027424e-96,1.295504722674407e-106,3.5213282269439476e-109,1.0436880898029208e-118,8.5533377564914043e-44
2.973243690183693e-24,0.3963497817815761,76.950000000000003,0.0,0.0,0.0,0.99999999999975231,9.5,9.6561575483717992e-17,9.8490062082324003e-16,9.847866176553764e-16,6.8584616168306932e-30,6.8592546166997168e-30,2.4556883116675068e-13,5.2506127956410314e-25,2.9116917129617688e-30,6.0576621835459147e-44,2.5224130114476062e-48,1.0460147112264999e-32,2.0098415211974348e-24,3.9414768669451992e-31,5.1434237589964468e-44,7.5262385307571948e-48,1.1558469696964944e-48,9.7259310275135942e-63,1.1104381262113599e-40,1.0211565541375211e-29,2.4202760428280881e-42,2.4202760428280944e-42,5.727836999371831e-57,1.0391712399026617e-57,1.5002117234642351e-41,3.3749545061050759e-30,1.7111681025885626e-44,1.5522409934440236e-45,3.1509119673225217e-100,1.0720698761269606e-56,2.8703846623882932e-45,2.8113261508622917e-100,2.4692142968919863e-26,2.8923915234703709e-71,2.8923915209817882e-71,9.1436086253421287e-39,2.6260495191722525e-39,4.9862528624322289e-27,9.1424018242185515e-39,9.734411533372451e-52,2.8113261508622694e-100,3.2729093123529796e-59,3.7181322575109247e-54,1.6087671329545994e-72,5.159884677749808e-87,1.8647813710202385e-46,4.9855539677416608e-102,8.1116750020923576e-33,5.2391713020105773e-70,1.1505631024415531e-100,5.8779722749423117e-46,3.1086784942050919e-116,3.6149746508430206e-106,1.6155950968240135e-120,4.4431581616303836e-67,3.0805887257681463e-45,1.4626539629471853e-67,9.2518577822142836e-46,2.5790293518890975e-60,6.0438630761113352e-36,2.1895491415143442e-60,2.0913441541813441e-61,3.6094494008228936e-50,4.590582454605316e-48,1.0300383299384551e-73,2.7949929864441383e-49,1.0614848931852653e-50,2.3846969246020219e-79,1.0582889261903705e-58,4.7930318441453804e-43,1.9655783089865502e-80,1.1400316785931073e-19,1.28217666633211e-41,2.8616498414932004e-38,1.28217666633211e-41,8.3745618182954885e-69,3.4960409265511436e-64,2.976117410250622e-64,4.8680035539107282e-116,4.6378254033424344e-116,9.8757455217719683e-50,6.7262099139254145e-61,1.4841901297990592e-62,6.5704988190232144e-83,6.61521910361993e-51,1.0628421585368298e-94,3.2377708161468736e-61,1.9938107424485811e-74,2.0693736773618078e-88,4.4945996274914052e-89,1.3634159487261392e-76,2.5857081931305479e-67,8.7604937814237086e-96,2.5857081938830925e-67,4.9588180568835996e-84,1.2064350104332477e-67,1.9255321371813697e-81,9.2418708871656891e-76,1.6135468617998763e-85,7.6337986486757372e-26,4.8593691808478465e-68,1.4727587210239283e-60,7.6650158632914978e-76,9.5921262418045005e-90,3.2111977154862168e-94,1.6645947876690147e-104,4.5245567772799639e-107,2.6821110630231936e-116,6.8635148791388245e-43
