Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221)
0.0,0.2708320542145947,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5962454776983956e-25,0.2708320542145947,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,9.3437507956904328e-19,1.2692081583863027e-17,1.2692081583863027e-17,9.4454677335024656e-33,9.4454676701285851e-33,3.9645548183012314e-16,6.1413748235631065e-29,4.4782932893602142e-33,3.706581679555724e-48,1.5125843235047222e-52,1.2018545941821328e-50,1.7596077882139175e-28,2.1452379854820748e-34,3.5147349419307326e-48,3.4322721923774176e-52,2.2459659641386955e-68,5.1981025288098334e-69,1.6441336671226842e-46,1.3620588766576949e-33,1.2170822330317401e-47,1.2170822330317403e-47,4.2943713848354074e-63,7.0425747440219393e-64,8.5138449214205012e-49,3.6818428891022164e-35,2.598214042946712e-50,2.1304767285651934e-51,2.182626732276673e-111,4.1809083690894536e-64,8.4893113433729432e-53,1.9771227533321329e-111,2.0892736214109311e-30,1.5557194000786509e-79,1.555719399944097e-79,2.082625836411329e-44,6.0930437180000967e-45,1.3443097978956869e-31,2.0824435097189259e-44,1.0061775180647248e-58,1.9771227533321325e-111,1.3287624414752645e-67,5.1981025288502901e-69,4.0457337647734558e-80,8.8182457402528367e-96,3.4403009410281168e-53,1.2703714108919878e-111,3.0014831909117089e-37,7.3578520546415169e-86,4.3543108824372935e-111,1.1964200412143272e-51,1.8382898960154907e-127,2.4389474236631545e-116,2.0343554552922813e-131,7.890512348945615e-76,1.9780963706056674e-51,1.0977298227248244e-76,1.4502313716793295e-51
4.4694873375555075e-25,0.2708320542145947,76.950000000000003,0.0,0.0,0.0,0.99999999999999878,9.5,2.6162502227933192e-18,3.5537828434816403e-17,3.5537828434816422e-17,5.7050625110352222e-32,5.7050624357977483e-32,1.1100753491235587e-15,3.7093903934299246e-28,2.704889146772126e-32,4.4004534572842106e-47,1.7957401088701916e-51,1.8162426627288961e-49,1.0628031040805784e-27,1.2957237432311706e-33,4.1726925555266679e-47,4.074793546500272e-51,6.3339833734282424e-67,1.1627947432803312e-67,1.95191548960699e-45,8.2268356150123998e-33,1.4449200270552686e-46,1.4449200270552698e-46,9.6063370129992857e-62,1.5753957999375796e-62,1.0107636690697813e-47,2.2238331050178048e-34,3.0845997117789707e-49,2.5293019721503019e-50,2.3257581550751989e-109,9.3525247853096965e-63,1.0078510426856441e-51,2.106777718401032e-109,1.2619212673314566e-29,6.419719664270753e-78,6.4197196632578661e-78,2.4724933929853945e-43,7.2336615020033786e-44,8.1196311792823615e-31,2.4722769347361833e-43,2.2507788608082154e-57,2.1067777184010315e-109,2.9723884310835303e-66,1.1627947432970261e-67,1.6694833660822642e-78,6.638155289824944e-94,4.0843252771887532e-52,1.7340507154710747e-109,1.8128958473106404e-36,3.0362382523420636e-84,5.9436128964617894e-109,1.4203898729292965e-50,4.5350448670874756e-125,3.3291512142213291e-114,5.0187368626582318e-129,3.2560420142243717e-74,2.3483960111075816e-50,4.5298128499053679e-75,1.7217146844576724e-50
1.0215971057269731e-24,0.2708320542145947,76.950000000000003,0.0,0.0,0.0,0.99999999999999722,9.5,5.9800005092418671e-18,8.1229322136722837e-17,8.1229322136722911e-17,2.7467420169021127e-31,2.7467419430335167e-31,2.5373150837072827e-15,1.7859117986888622e-27,1.3022876885437851e-31,4.3203906363688232e-46,1.7630682874931911e-50,1.9538309766739416e-48,5.1169394481166475e-27,6.2383520617818282e-33,4.0967726689615371e-46,4.0006564665355031e-50,1.3777797352260714e-65,2.2974864650296053e-66,1.9164022023949118e-44,3.9608672133204596e-32,1.4186310508217555e-45,1.4186310508217577e-45,1.8980503131353701e-60,3.112716623774122e-61,9.9237376403686459e-47,1.0706799121510213e-33,3.0284782884358499e-48,2.4832836748084682e-49,5.2928814003275618e-107,1.8479012940515704e-61,9.8951413018476748e-51,4.7945331615912862e-107,6.0756076910517976e-29,2.5395772571799288e-76,2.5395772563790697e-76,2.4275086749144264e-42,7.102051757681269e-43,3.9092528922692742e-30,2.4272961549217878e-42,4.4471597402718137e-56,4.7945331615912843e-107,5.8729386495352678e-65,2.297486465095648e-66,6.6043101721991316e-77,5.2485897837364962e-92,4.0100147768629013e-51,2.7393751361013956e-107,8.7283131191707714e-36,1.2011056583632391e-82,9.3894516705391707e-107,1.3945472000383253e-49,1.4315788312192999e-122,5.2592429849693659e-112,1.5842660133819662e-126,1.2880578406871584e-72,2.3056691293440175e-49,1.7919489161001738e-73,1.6903896868293406e-49
2.170893849669818e-24,0.2708320542145947,76.950000000000003,0.0,0.0,0.0,0.99999999999999423,9.5,1.2707501082138942e-17,1.7261230954053439e-16,1.7261230954053476e-16,1.199574402154395e-30,1.1995743368184596e-30,5.3917945528621451e-15,7.799546025891151e-27,5.6874324774650946e-31,3.8213354127805846e-45,1.5594139341937184e-49,1.7959072830038927e-47,2.2347018910219358e-26,2.7244522415621885e-32,3.6235461390956264e-45,3.5385353375642291e-49,2.5541714285782977e-64,4.0882544102195494e-65,1.695036045449895e-43,1.7298147733551499e-31,1.2547630989663164e-44,1.2547630989663202e-44,3.3774791197510603e-59,5.5389129201771321e-60,8.7774335601055896e-46,4.675940469160803e-33,2.6786547496683776e-47,2.1964362880666118e-48,8.9447355764511592e-105,3.2882416197640614e-60,8.7521404225889362e-50,8.1025490841919795e-105,2.6533774991803185e-28,9.0635708412349639e-75,9.0635708355107547e-75,2.1471039322927247e-41,6.2816843514681257e-42,1.7072734433157593e-29,2.1469159607659792e-41,7.9134831469518044e-55,8.1025490841919733e-105,1.0450580536954614e-63,4.088254410455251e-65,2.3570313895850383e-75,3.7514725138413153e-90,3.5468126581634494e-50,3.9185868195864154e-105,3.8118836524573751e-35,4.2866607794531013e-81,1.3431304487812517e-104,1.2334612056880237e-48,4.0969950084580483e-120,7.5231756220400016e-110,4.5339661410424817e-124,4.5969869418322963e-71,2.039338233748327e-48,6.3953383982727438e-72,1.4951305349463405e-48
4.469487337555507e-24,0.2708320542145947,76.950000000000003,0.0,0.0,0.0,0.99999999999998812,9.5,2.6162502227933009e-17,3.5537828434815238e-16,3.5537828434815406e-16,5.0079869922992421e-30,5.0079864431113653e-30,1.1100753491121528e-14,3.256156931422563e-26,2.3743911019986467e-30,3.2120606850851578e-44,1.3107813734600242e-48,1.5364364909653718e-46,9.3294404930225309e-26,1.1374051799025541e-31,3.0458039996044786e-44,2.9743521621316544e-48,4.389968092133428e-63,6.895438614426226e-64,1.4247799297773115e-42,7.2216361640379917e-31,1.0547039898294203e-43,1.054703989829427e-43,5.6966121980709907e-58,9.3421862243506361e-59,7.377961787235324e-45,1.9521130998028809e-32,2.2515707181059088e-46,1.8462370453197936e-47,1.3097063205318403e-102,5.546100111185952e-59,7.356701381230844e-49,1.1863916666160664e-102,1.1077328740616677e-27,3.0623757390610948e-73,3.0623757351898098e-73,1.8047702277954575e-40,5.2801341972445459e-41,7.1275305483370586e-29,1.8046122264011463e-40,1.3347245986250389e-53,1.1863916666160647e-102,1.7626431564586626e-62,6.8954386152226103e-64,7.9638763494318189e-74,2.5371226776014283e-88,2.9813097506819023e-49,5.3024173805653698e-103,1.5913863878209421e-34,1.4483657940370941e-79,1.8174506687941187e-102,1.0367984649915054e-47,1.1089886435982949e-117,1.0179949818209892e-107,1.2272694866915781e-121,1.5532179905385781e-69,1.7141866643335978e-47,2.1608403028918939e-70,1.2567473029950314e-47
9.066674313326887e-24,0.2708320542145947,76.950000000000003,0.0,0.0,0.0,0.99999999999997591,9.5,5.3072504519520807e-17,7.2091023396336772e-16,7.2091023396337462e-16,2.04592609294438e-29,2.0459256426870232e-29,2.2518671367438906e-14,1.330246352257157e-25,9.7001623963152855e-30,2.6334381637197242e-43,1.0746577640899469e-47,1.2703554025152824e-45,3.8113808535086508e-25,4.6466712860732342e-31,2.4971261599087599e-43,2.4385536022873336e-47,7.276050167776186e-62,1.1325778629126084e-62,1.1681206679979903e-41,2.9502740091946955e-30,8.6471005339307891e-43,8.647100533930899e-43,9.3567026408078132e-57,1.5344568926127156e-57,6.048898830720197e-44,7.975018971518445e-32,1.8459737087996242e-45,1.5136566746732514e-46,1.790912610326558e-100,9.1094860863703814e-58,6.0314682655488544e-48,1.6222902518072428e-100,4.525450234832808e-27,1.0068421413595365e-71,1.0068421388128759e-71,1.4796596723489108e-39,4.3289730271065262e-40,2.9118287945443309e-28,1.479530133259898e-39,2.1922891611369023e-52,1.6222902518072375e-100,2.895146677385609e-61,1.1325778631744428e-62,2.6183483042113678e-72,1.6690040398323495e-86,2.4442578567590801e-48,6.9776831461655849e-101,6.5013326508386191e-34,4.7619098473284572e-78,2.3916628945726319e-100,8.5003002232117784e-47,2.9190404611919896e-115,1.3396241600719017e-105,3.2303750893288422e-119,5.1066409288276419e-68,1.4053937934321786e-46,7.1043701519197998e-69,1.0303573684689177e-46
1.8261048264869647e-23,0.2708320542145947,76.950000000000003,0.0,0.0,0.0,0.99999999999995159,9.5,1.0689250910269509e-16,1.4519741331937168e-15,1.4519741331937446e-15,8.2699603831063878e-29,8.2699567368063325e-29,4.5354507119268171e-14,5.3770684438079302e-25,3.9209607327724969e-29,2.1326212367772727e-42,8.7028571982915351e-47,1.0330319158237859e-44,1.5406210796940637e-24,1.8782588277125647e-30,2.022224583764908e-42,1.9748039260177674e-46,1.1847161505615982e-60,1.8359575216234324e-61,9.4597440250040022e-41,1.1925479253391196e-29,7.0026462035958299e-42,7.0026462035960084e-42,1.5167618187208327e-55,2.4874207470974587e-56,4.8985551011976474e-43,3.2236301778738151e-31,1.4949173693622526e-44,1.2257984193111377e-45,2.368653371004817e-98,1.4766869499928836e-56,4.8844393778805433e-47,2.1456341596651654e-98,1.8292593406066075e-26,3.2656683458936031e-70,3.2656683293700005e-70,1.1982667653998326e-38,3.5057145934491677e-39,1.1770077548542342e-27,1.1981618612871616e-38,3.5537952022531081e-51,2.1456341596651518e-98,4.6931575244343617e-60,1.8359575224726859e-61,8.4925499611410267e-71,1.082906766431317e-84,1.9794233840707447e-47,9.0556868441745658e-99,2.6279426048332569e-33,1.5445140447147601e-76,3.1039171249835544e-98,6.8837635058632756e-46,7.5771083056439371e-113,1.738573769558079e-103,8.385256130465852e-117,1.6563267444795503e-66,1.138124329945415e-45,2.3042854293666702e-67,8.3441011080441577e-46
3.6649796167955165e-23,0.27083205421459466,76.950000000000003,0.0,0.0,0.0,0.99999999999990286,9.5,2.1453251826903841e-16,2.9141019316540881e-15,2.9141019316541989e-15,3.3253146974292034e-28,3.325311762570908e-28,9.1026178619704601e-14,2.1620955719618359e-24,1.5766010655786559e-28,1.716510630253309e-41,7.0048166060186687e-46,8.3317766430658931e-44,6.1947696022233911e-24,7.5523961374066719e-30,1.6276414719057824e-41,1.5894939958521786e-45,1.9121366435186116e-59,2.956752988348463e-60,7.6140249701660131e-40,4.7951827576222198e-29,5.636338881101424e-41,5.6363388811017085e-41,2.4426981494921902e-54,4.0059144300848294e-55,3.9427833097643203e-42,1.296207516484976e-30,1.2032395535348513e-43,9.8662920985161406e-45,3.0816829746976583e-96,2.3781588090861593e-55,3.9314217480437581e-46,2.7915288664486579e-96,7.3553713545340542e-26,1.0520785546908693e-68,1.052078544043124e-68,9.6446933958847026e-38,2.8217040949128021e-38,4.7326964152855722e-27,9.6438490363236472e-38,5.7232776154948592e-50,2.7915288664486217e-96,7.5581855112856003e-59,2.956752991084446e-60,2.7359880947286935e-69,6.9782090926069133e-83,1.5932121454471647e-46,1.1671527806990401e-96,1.0566841632907101e-32,4.9758577338267848e-75,4.0005198565561689e-96,5.5406517433131853e-45,1.953221545502667e-110,2.2407811213951022e-101,2.1615453127216838e-114,5.3360772389615217e-65,9.1606147327350935e-45,7.423562453900718e-66,6.7160584921366129e-45
7.34272919741262e-23,0.2708320542145947,76.950000000000003,0.0,0.0,0.0,0.99999999999980549,9.5,4.2981253660170394e-16,5.8383575285735179e-15,5.8383575285739636e-15,1.3335999219954358e-27,1.333597566958426e-27,1.8236952160768936e-13,8.6709702637474769e-24,6.3228754245715568e-28,1.3773780776495489e-40,5.6209241805861952e-45,6.6925361018607109e-43,2.4843796781335845e-23,3.0288486402723005e-29,1.3060463914537803e-40,1.2754688162127035e-44,3.0727522537510562e-58,4.7462433657118636e-59,6.1097755235531984e-39,1.9230827555946948e-28,4.5228069878540923e-40,4.5228069878545482e-40,3.9210715047000678e-53,6.430379835843643e-54,3.1638352977177287e-41,5.1983718841062249e-30,9.6552396401098101e-43,7.9170780506866318e-44,3.9767486293597123e-94,3.8174715708141589e-54,3.1547183606776582e-45,3.6023201233281604e-94,2.9498328899547348e-25,3.3780035760548986e-67,3.3780035076758479e-67,7.7392590476948704e-37,2.26423983117508e-37,1.8980229373083496e-26,7.7385815023266203e-37,9.1871280865978674e-49,3.6023201233280694e-94,1.2132561631751122e-57,4.746243374496532e-59,8.7846839787416635e-68,4.4813555447907578e-81,1.2784524097324668e-45,1.4991147282235261e-94,4.2377761083287914e-32,1.5976435657332572e-73,5.1383489262938612e-94,4.4460240857966349e-44,5.0175826505404333e-108,2.8781047741974648e-99,5.5527404400339721e-112,1.7133024935543193e-63,7.3508163748278995e-44,2.3835502174610487e-64,5.3892139773375494e-44
