Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827)
0.0,0.2918571417936651,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.104394260440791e-23,0.2918571417936651,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,1.9142508518261419e-17,1.8964521516220142e-16,1.8964473727833906e-16,4.2640311254827033e-29,4.2640375518519793e-29,3.7108372413398729e-16,1.8374573504384366e-26,2.4296474477894997e-29,1.8136880210018109e-42,4.1949855311314139e-47,8.0710627314362001e-33,3.2816564997528871e-26,2.2624028092621685e-31,2.0668636940056036e-42,4.921705458764211e-47,3.0900077417572716e-49,7.8910988683241008e-63,6.2819137500518246e-43,2.4514675863873755e-31,1.8672781650831456e-43,1.8672781650834184e-43,2.3922710741898146e-56,3.3844493946343772e-57,1.3295376186922944e-47,1.0393234903604844e-31,2.6630670986253598e-44,1.8837781234325776e-45,1.8231831426455931e-100,1.5932245492875491e-56,1.3137827388547783e-47,1.6948534960247554e-100,3.6417908765637775e-28,1.7911277347406075e-69,1.7911276833730606e-69,1.7668298225647294e-40,5.2982884623054234e-41,3.5680606189192411e-30,1.7667618686866415e-40,8.7773670360266974e-53,1.6948534960247537e-100,7.7861020597756066e-60,6.3916216890878688e-58,6.0221091852413781e-72,2.4705295346491529e-85,1.9895338649166796e-48,1.1742621112120548e-98,5.9867415610736395e-36,1.9653588262807068e-72,3.6651993900916367e-99,3.6986296634089187e-48,5.4911689624028708e-113,2.9498206390547461e-104,1.1552490505687698e-116,1.2771100857511988e-68,8.0964558860966706e-49,4.0675314707198492e-70,2.9742450843381162e-48,3.343692471970403e-61,2.9151327084671085e-39,3.8104662804765441e-61,2.6954157566566235e-62,6.5544748469846257e-52,7.8848379191359529e-52,5.4070248996321623e-74,2.8299393478672804e-52,7.8994859048465569e-56,2.0140779945470847e-80,1.2393740678031853e-60,1.0190086088586723e-44,1.8108314885510326e-81,4.7788388655658879e-22,4.6639398665750547e-43,2.809632131535905e-40,4.6639398665750547e-43,4.2700253847378441e-72,4.4039416799884423e-65,2.787915717239243e-65,1.5045469118406663e-113
1.7092303929234215e-22,0.2918571417936651,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,5.359902385113192e-17,5.3100660245394625e-16,5.3100526437920945e-16,2.5754747997837473e-28,2.5754761628099596e-28,1.0390344274052525e-15,1.1098242395133753e-25,1.4675070583359408e-28,2.1532016950682864e-41,4.980302865511917e-46,4.8749218897878419e-32,1.9821205255802746e-25,1.3664912967938819e-30,2.4537524631042679e-41,5.8430486297806916e-46,3.6684571910128897e-48,1.765212683361543e-61,7.4578880031285958e-42,1.4806864221765445e-30,2.2168326375844625e-42,2.2168326375850732e-42,5.3514146995158304e-55,7.5708779169338985e-56,1.5784270604561658e-46,6.2775138809531253e-31,3.1615932574916193e-43,2.2364213875796383e-44,1.9427431174984969e-98,3.5639795869205937e-55,1.5597228672596147e-46,1.8059979206436319e-98,2.1996416891443727e-27,7.3911386628048286e-68,7.3911382761227741e-68,2.097580364873612e-39,6.2901280610153526e-40,2.1551086132954143e-29,2.0974996900298655e-39,1.9634618960661059e-51,1.805997920643628e-98,1.7417198859730482e-58,7.5882161093480061e-57,2.4850476774987905e-70,1.8597584782366266e-83,2.3619746040980263e-47,1.6028667082615642e-96,3.6159919028835765e-35,4.3964749304989725e-71,5.0029938166521178e-97,4.3910131362982745e-47,1.3546704793934635e-110,4.0265024765165022e-102,2.8500174184553094e-114,5.2700305268218471e-67,9.6121124068189277e-48,1.6784782500491403e-68,3.5310237641210482e-47,7.4797063088716213e-60,1.760740155912597e-38,8.5238606481478337e-60,6.029537230943619e-61,7.7814725383141483e-51,9.3608795781081663e-51,2.2311823643577683e-72,3.3597039846458082e-51,9.3858391768935499e-55,1.51614764248782e-78,2.7724302142123326e-59,1.2097670172531283e-43,1.3631487458781405e-79,1.338074882734089e-21,5.537029406982376e-42,1.6970178079166173e-39,5.537029406982376e-42,1.7620379307112706e-70,9.8513983204380456e-64,6.2364259919827655e-64,3.7117147373910615e-111
3.906812326682106e-22,0.2918571417936651,76.950000000000003,0.0,0.0,0.0,0.99999999999999512,9.5,1.2251205451687268e-16,1.2137293770365642e-15,1.2137263185803905e-15,1.2399802512786623e-27,1.2399783423229467e-27,2.374935833268133e-15,5.3433259728033629e-25,7.0654147762381024e-28,2.1140077147682359e-40,4.8896979162720095e-45,2.3470650423022084e-31,9.5430570972243509e-25,6.5790673693273602e-30,2.4090491691317475e-40,5.7367396010566069e-45,3.6017130237881083e-47,3.4877680311663773e-60,7.3221986641683192e-41,7.1288677411930356e-30,2.1764994292139471e-41,2.176499429215154e-41,1.0573493644480249e-53,1.4958778957980403e-54,1.5497090469362261e-45,3.0223527087319853e-30,3.1040710039688524e-42,2.1957317789385052e-43,4.4212287893078758e-96,7.041823078137665e-54,1.5313451594519101e-45,4.1100287157169763e-96,1.0590327864545225e-26,2.9238608775001673e-66,2.9238605717623247e-66,2.0594168397082207e-38,6.1756850272188924e-39,1.0375920271840034e-28,2.0593376326689113e-38,3.8794698331614656e-50,4.1100287157169589e-96,3.4413449880908662e-57,7.4503310448921534e-56,9.8306165736017706e-69,1.470457393871857e-81,2.3190006719206073e-46,2.5321405234250285e-94,1.74094444595286e-34,8.6868918582861358e-70,7.9035164410833254e-95,4.3111227353569729e-46,4.2762986700137271e-108,6.3608970359608346e-100,8.9966977560002517e-112,2.0847716669264558e-65,9.4372289152536468e-47,6.6398930349456941e-67,3.4667800702884987e-46,1.4778639214061267e-58,8.4772059161993089e-38,1.6841712236011974e-58,1.191334950413133e-59,7.6398958815646856e-50,9.1905670801257484e-50,8.8259718164107069e-71,3.2985772755331992e-50,9.2311062536253896e-54,1.1987723508593414e-76,5.4778549066700262e-58,1.1877564246156178e-42,1.0778007239869364e-77,3.058456876591648e-21,5.4362883003717433e-41,8.1704102455199568e-39,5.4362883003717433e-41,6.9704468224643644e-69,1.9464516782331735e-62,1.2321997321923622e-62,1.1716798189513003e-108
8.301976194199476e-22,0.29185714179366506,76.950000000000003,0.0,0.0,0.0,0.99999999999998956,9.5,2.6033811584835315e-16,2.5791749261983148e-15,2.5791684269805145e-15,5.4153195292420543e-27,5.4152886541958705e-27,5.0467386422752972e-15,2.333570832709482e-24,3.0856522566944435e-27,1.8697830138248322e-39,4.3248852251811202e-44,1.0250249668929757e-30,4.1677037504938871e-24,2.873251567755695e-29,2.130670782321726e-39,5.0740808682417797e-44,3.1856743814333198e-46,6.2063010938931073e-59,6.4764017936800412e-40,3.1133638346897996e-29,1.9250890970594884e-40,1.925089097061636e-40,1.8814966960501106e-52,2.6618347897513993e-53,1.370700100402831e-44,1.3199408314803003e-29,2.7455156430021769e-41,1.9420998904915833e-42,7.4716811981884899e-94,1.2530547911184981e-52,1.354457450439555e-44,6.9457668314986559e-94,4.6250744085836794e-26,1.0435051248417443e-64,1.0435049063131637e-64,1.8215308707775549e-37,5.4623234637653508e-38,4.5314369777844145e-28,1.8214608130494802e-37,6.903309282263849e-49,6.9457668314985995e-94,6.1236895299131316e-56,6.5900455850702556e-55,3.508479689378712e-67,1.0510222075026272e-79,2.0511298312193222e-45,3.6221470576983355e-92,7.6031617824875273e-34,1.5458568747055051e-68,1.1305730688244603e-92,3.8131392371318866e-45,1.2238227137066469e-105,9.0990623519066548e-98,2.5747449958045579e-109,7.4404019896399581e-64,8.3471220226108957e-46,2.3697306578891687e-65,3.0663277121156035e-45,2.6297798811866173e-57,3.7022185397294177e-37,2.9968927034139389e-57,2.1199168913744467e-58,6.757401388078022e-49,8.1289525044322538e-49,3.1496661781289144e-69,2.9175542105613553e-49,8.1933315021694107e-53,8.5683235010068016e-75,9.7475501180143545e-57,1.0505570946618302e-41,7.7036688967621527e-76,6.4992208703170034e-21,4.8083354278171241e-40,3.5682328142884068e-38,4.8083354278171241e-40,2.4877029570836283e-67,3.4635401971108149e-61,2.1925872869187435e-61,3.3531997053791043e-106
1.7092303929234216e-21,0.2918571417936651,76.950000000000003,0.0,0.0,0.0,0.99999999999997846,9.5,5.3599023851131013e-16,5.3100660245078729e-15,5.3100526437718058e-15,2.2607893026220467e-26,2.26075757727465e-26,1.0390344249415243e-14,9.7421988508985986e-24,1.288199075019593e-26,1.5716099932856462e-38,3.6353277333153321e-43,4.2792774602126663e-30,1.739934272395929e-23,1.1995259694642678e-28,1.7907790039546154e-38,4.2650701300811049e-43,2.6777512688670899e-45,1.0467837269505432e-57,5.4438059341560512e-39,1.2997681142826352e-28,1.6181533813838666e-39,1.6181533813874891e-39,3.1734191696422832e-51,4.489573430237889e-52,1.1521560223789791e-43,5.5104931343936498e-29,2.3077713150155679e-40,1.6324519747082191e-41,1.0940187115076708e-91,2.1134600511060738e-51,1.1385030973207062e-43,1.0170132635307482e-91,1.9308775185670297e-25,3.5257676081076089e-63,3.5257661301983671e-63,1.5311064493444356e-36,4.5914119918856659e-37,1.891785732732262e-27,1.531047561604718e-36,1.16434400912656e-47,1.017013263530731e-91,1.032849742910208e-54,5.5398555131249975e-54,1.1854363820394504e-65,7.108070656874597e-78,1.7240982108848464e-44,4.9012929591683985e-90,3.174170375612847e-33,2.6075527779017081e-67,1.5298301625589393e-90,3.2051732870450695e-44,3.3126863658872937e-103,1.2312357731547073e-95,6.969415217654074e-107,2.5139436661024213e-62,7.0162588777349895e-45,8.0067842888552125e-64,2.5774332021050635e-44,4.435508129491806e-56,1.545603362007832e-36,5.0546975656482958e-56,3.5755496905203586e-57,5.6800030304922581e-48,6.8328743893396641e-48,1.064024999149126e-67,2.452380051853381e-48,6.9349715808635682e-52,5.7947613184302995e-73,1.6440667979786547e-55,8.8305651869429091e-41,5.2099949933214782e-74,1.3380748881808655e-20,4.0416956344440616e-39,1.4896669626502812e-37,4.0416956344440616e-39,8.4053860272863617e-66,5.841542152899122e-60,3.6979626916278728e-60,9.076558501766904e-104
3.4672959399303694e-21,0.2918571417936651,76.950000000000003,0.0,0.0,0.0,0.99999999999995626,9.5,1.0872944838372087e-15,1.0771848221071216e-14,1.0771821077318568e-14,9.23606197811868e-26,9.235778446434337e-26,2.107755542019758e-14,3.9800061014569956e-23,5.2627135425835166e-26,1.2884101592167733e-37,2.9804617547145727e-42,1.7482244718844003e-29,7.1081992127795736e-23,4.9004549809189038e-28,1.4678967210439661e-37,3.4967612327616611e-42,2.1953822731205797e-44,1.7193456676676837e-56,4.4631609960241593e-38,5.3099768506495943e-28,1.3266599067445623e-38,1.3266599067505125e-38,5.2123504706898688e-50,7.374137825300602e-51,9.4460711274788517e-43,2.2512162433257551e-28,1.8920503329664755e-39,1.3383827516434676e-40,1.4959780491251042e-89,3.4713644656329952e-50,9.3341362143350317e-43,1.3906796126139828e-89,7.8882646748215529e-25,1.1591950104347385e-61,1.1591940382174756e-61,1.2552935677876609e-35,3.7643169374729637e-36,7.7285619601920005e-27,1.2552452880641127e-35,1.9124385240134596e-46,1.3906796126139359e-89,1.6964587974900894e-53,4.5427694026379944e-53,3.8974560597322623e-64,4.6759270198740159e-76,1.4135198754683769e-43,6.4498269689934297e-88,1.296752169036885e-32,4.2836991317187461e-66,2.0131707944786157e-88,2.6277947080852438e-43,8.719536589681297e-101,1.6202373114949385e-93,1.8344656169208983e-104,8.2652967248357606e-61,5.7523527125599811e-44,2.6324554840883657e-62,2.1131354609870703e-43,7.2853353663723384e-55,6.3142940516666607e-36,8.3023558848580753e-55,5.8728511022352685e-56,4.6568096554559406e-47,5.6020032545641979e-47,3.4971245231366965e-66,2.010609238034884e-47,5.7643962378494379e-51,3.8119875276383057e-71,2.7003846439219048e-54,7.2398305295568749e-40,3.4273087103612004e-72,2.7143805000955735e-20,3.3136262428928935e-38,6.085775637292691e-37,3.3136262428928935e-38,2.7635070164546927e-64,9.5940126465686911e-59,6.0734015954779533e-59,2.3890996082911455e-101
6.983427033944266e-21,0.2918571417936651,76.950000000000003,0.0,0.0,0.0,0.99999999999991196,9.5,2.1899029744889422e-15,2.1695412613974833e-14,2.1695357944268821e-14,3.733363923095814e-25,3.7331248794909416e-25,4.2451977587772084e-14,1.6087820935484384e-22,2.1272729510922212e-25,1.0432411304051977e-36,2.4136553803167118e-41,7.0666028324196293e-29,2.8732477587681607e-22,1.9808422547983648e-27,1.1882679828365037e-36,2.8317663760498196e-41,1.7778774838795456e-43,2.7871335750417309e-55,3.6143834741354298e-37,2.1463775421873467e-27,1.0743635884247396e-37,1.0743635884343849e-37,8.4494445837258808e-49,1.195379513867002e-49,7.6496732283004265e-42,9.0997759533059138e-28,1.5322313807398074e-38,1.0838570427762501e-39,1.9785741796523334e-87,5.6272313426022576e-49,7.5590254582019793e-42,1.8393069171698198e-87,3.1885626892326408e-24,3.7598196740694121e-60,3.7598133660024737e-60,1.016569268876363e-34,3.0484414283342306e-35,3.1240082871057058e-26,1.0165301707098734e-34,3.1001452363837e-45,1.8393069171696962e-87,2.750032794402477e-52,3.6802472366318353e-52,1.2641306051590099e-62,3.0339011737777783e-74,1.1447050375578191e-42,8.3706318531138185e-86,5.2416795998385516e-32,6.9466087623416699e-65,2.6127075438571758e-86,2.128056283088951e-42,2.2633765465510476e-98,2.1027556590503597e-91,4.7618209328993753e-102,2.6808291604949162e-59,4.6584040102545191e-43,8.5383061841445039e-61,1.7112718829569328e-42,1.1809842395964358e-53,2.5523386124837177e-35,1.3458476516178057e-53,9.52014471133635e-55,3.7712051944940726e-46,4.5366474858749299e-46,1.13353422739092e-64,1.6282433355957466e-46,4.7956070003811547e-50,2.4733475464427129e-69,4.3774398474488193e-53,5.8630019320393872e-39,2.2237548089108313e-70,5.4669917623905002e-20,2.6834603990183608e-37,2.4599678388198759e-36,2.6834603990183608e-37,8.9633686988084842e-63,1.5549916172950948e-57,9.8435821646057773e-58,6.201511986653651e-99
1.4015689221972057e-20,0.2918571417936651,76.950000000000003,0.0,0.0,0.0,0.99999999999982336,9.5,4.3951199557921595e-15,4.3542541398889839e-14,4.3542431677596215e-14,1.5011692132356119e-24,1.5009730332943254e-24,8.5200821226960347e-14,6.4688419811718555e-22,8.5536709242494322e-25,8.394549685849434e-36,1.9427199066643351e-40,2.8414499188823341e-28,1.155320276050047e-21,7.9648795857507249e-27,9.5566115877711059e-36,2.2792494747525975e-40,1.4309904708352049e-42,4.4885926770438876e-54,2.9091702389534049e-36,8.6304896954531992e-27,8.6474128342309251e-37,8.6474128343862595e-37,1.360756955418102e-47,1.925121839702094e-48,6.1571223972532842e-41,3.6589798558035697e-27,1.2332730622256443e-37,8.7238242629261719e-39,2.5741792520380705e-85,9.0624824465867145e-48,6.0841612254200929e-41,2.3929887254220738e-85,1.282107021604956e-23,1.2112749882524324e-58,1.2112709233720031e-58,8.1822337423842054e-34,2.4536508310758257e-34,1.2561499712246684e-25,8.1819190464122033e-34,4.9926882549879425e-44,2.3929887254217521e-85,4.4288429666989127e-51,2.9644284674818486e-51,4.0725651208877755e-61,1.9550341149124093e-72,9.2135819234103366e-42,1.0788586660724318e-83,2.1076563131558482e-31,1.1195505824908832e-63,3.3674186431962859e-84,1.7128448306104687e-41,5.8345158240866096e-96,2.7101612422112331e-89,1.227498893982623e-99,8.6366481123967705e-58,3.7494882460507524e-42,2.7507290219992358e-59,1.3773804885528713e-41,1.9019386523904867e-52,1.0262841304256292e-34,2.1674461057398499e-52,1.5331899555915515e-53,3.0353940272611583e-45,3.6514885898655829e-45,3.6470102866193099e-63,1.3105516426630098e-45,4.0650876455907374e-49,1.5938155098589681e-67,7.049731835749817e-52,4.7190531615767315e-38,1.4329789256797743e-68,1.0972214440842393e-19,2.1598823140164734e-36,9.891422671908107e-36,2.1598823140164744e-36,2.8876685801064233e-61,2.5034960377927616e-56,1.5847430104430551e-56,1.5986207475045636e-96
2.808021359802764e-20,0.2918571417936651,76.950000000000003,0.0,0.0,0.0,0.99999999999964606,9.5,8.8055539183975882e-15,8.7236798965151487e-14,8.7236579141958517e-14,6.0203599569278032e-24,6.0187707524294456e-24,1.7069850572149411e-13,2.5942949122096016e-21,3.4304045718163735e-24,6.732308978640807e-35,1.5589104099397985e-39,1.1395485044374267e-27,4.6333509503756707e-21,3.1942729516831013e-26,7.6564053376893866e-35,1.8289502088956513e-39,1.1482797321547052e-41,7.2051848274225357e-53,2.3344258630364059e-35,3.4612123755069948e-26,6.9390042034548074e-36,6.9390042037041523e-36,2.1843161260312494e-46,3.0902468519034732e-47,4.9407027637089937e-40,1.4674145477809291e-26,9.8962387676978527e-37,7.000319320351622e-38,3.3218419590747478e-83,1.454729087333471e-46,4.8821560819923278e-40,3.088025182955632e-83,5.1418224973488162e-23,3.8891435213985049e-57,3.8891174172013888e-57,6.5657270724590545e-33,1.9689002040442642e-33,5.0377230419118499e-25,6.5654745488992766e-33,8.0143701187416978e-43,3.0880251829548011e-83,7.1092735779080056e-50,2.382370607906676e-50,1.3076151641450513e-59,1.255508725382288e-70,7.3933190984088593e-41,1.3857078854812134e-81,8.4526444865183041e-31,1.7997613007232372e-62,4.3251805957771439e-82,1.3744501009809029e-40,1.4988142826966557e-93,3.4809860122673095e-87,3.1532915796851184e-97,2.7730464988214772e-56,3.0087272627119583e-41,8.8320136870897681e-58,1.1052610974458002e-40,3.0530325675120118e-51,4.1158583793134184e-34,3.4792308656643003e-51,2.4611094252356615e-52,2.4357125433076262e-44,2.9300896528310335e-44,1.1678946660377296e-61,1.0516347599003933e-44,3.5912425711095835e-48,1.0235367841113982e-65,1.1316380588765571e-50,3.7867415816207501e-37,9.202486967031929e-67,2.1982660413194323e-19,1.7331694185884909e-35,3.9669030447780756e-35,1.7331694185884925e-35,9.2716979339055437e-60,4.0161957039963181e-55,2.5421458557320337e-55,4.1066542491719795e-94
