Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142)
0.0,0.0018098245527797515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0149501253027117e-17,0.0018098245527797515,7.5841888783607891e-28,9.4337435984499482e-40,9.4336519866702505e-40,3.4721037395616536e-59,4.1280852413133934e-59,0.0,0.0,6.2602381564778147e-25,4.8619430554981835e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.009889999999999427,0.108803,8.5635958150308294e-25,3.1962921909196623e-38,1.9278762035418547e-29,0.0,0.0,1.9154966441651998e-35,4.0067392132903514e-46,1.1892041484654135e-48,1.6326540452196173e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6803517172600557e-16,2.6803518773810558e-16,3.6252946702159395e-17,1.6241984530096916e-23
5.641860350847593e-17,0.0018098245527797515,2.1235735750382071e-27,5.6979542922807233e-39,5.6979273427989018e-39,5.2502413906288754e-58,6.242165093432569e-58,0.0,0.0,1.7540103127030452e-24,2.9382123410822947e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999983966,0.108803,2.3978068278286068e-24,1.9305608916930255e-37,1.1644371587618362e-28,0.0,0.0,1.1569599730749372e-34,2.4200704848256771e-45,7.1827930567260674e-48,9.8612304337901347e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5049842820801425e-16,7.5049852566606606e-16,1.0150825076580556e-16,9.8101580391672442e-23
1.2895680801937356e-16,0.0018098245527797515,4.8538857058311796e-27,2.7433150838811579e-38,2.7433083119988037e-38,5.655083737525538e-57,6.7234944557348283e-57,0.0,0.0,4.0145578218367596e-24,1.4162511437317099e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999963357,0.108803,5.480701318959553e-24,9.2948238168569257e-37,5.6062629772381827e-28,0.0,0.0,5.570264241219748e-34,1.1651597632222929e-44,3.4582056637298807e-47,4.7477579644749589e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7154247306728756e-15,1.7154252015194688e-15,2.3201885889213492e-16,4.7231681758353608e-22
2.7403321704116877e-16,0.0018098245527797515,1.0314520992971766e-26,1.1980778940091251e-37,1.1980761937246944e-37,5.2110985167712355e-56,6.1956283430550134e-56,0.0,0.0,8.5539508959262221e-24,6.1994480770574163e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999922158,0.108803,1.1646490295141044e-23,4.0592974123178284e-36,2.4484017217481744e-27,0.0,0.0,2.4326807380767305e-33,5.0885588008524908e-44,1.5102892685432824e-46,2.0734706384288299e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6452764936063697e-15,3.6452785532162035e-15,4.9304007514094174e-16,2.0627310789551657e-21
5.641860350847593e-16,0.0018098245527797515,2.123583566946972e-26,5.0017483834045217e-37,5.0017438060902578e-37,4.4806341569691843e-55,5.3271593147992968e-55,0.0,0.0,1.7705929233227565e-23,2.6001045593900574e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999839741,0.108803,2.3978068223182419e-23,1.6946798164878781e-35,1.0221590120433848e-26,0.0,0.0,1.0155963207246235e-32,2.124373130862915e-43,6.3051603950934914e-46,8.6563317567153391e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5049766514916e-15,7.5049852565693841e-15,1.015082507623148e-15,8.6114915905574089e-21
1.1444916711719403e-15,0.0018098245527797515,4.3078641431318435e-26,2.0433863429938175e-36,2.0433849775214469e-36,3.7417709504349129e-54,4.4487053909448121e-54,0.0,0.0,3.6302654390994664e-23,1.0719989616801415e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999674908,0.108803,4.8641223981978731e-23,6.9233449706095375e-35,4.1758489194970363e-26,0.0,0.0,4.149042351027977e-32,8.6787574053553732e-43,2.5758637536826475e-45,3.5363939756785822e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5224363495360306e-14,1.5224398663114594e-14,2.0591673725259302e-15,3.5180715296504265e-20
2.305102943346302e-15,0.0018098245527797515,8.6764958590312581e-26,8.2597695354929644e-36,8.2597650251987956e-36,3.1030806577253086e-53,3.6893511402724773e-53,0.0,0.0,7.4667176452592907e-23,4.4121893721360947e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999345241,0.108803,9.7967535110425666e-23,2.7985469109559319e-34,1.6879415305048079e-25,0.0,0.0,1.6771092557236136e-31,3.5080925045533779e-42,1.0412053137317536e-44,1.429466990205334e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0663083295692891e-14,3.0663225475560422e-14,4.1473371020849757e-15,1.4220577125857741e-19
4.626325487695026e-15,0.0018098245527797515,1.7414041544857169e-25,3.3212781101891831e-35,3.3212764984594447e-35,2.6000744113652595e-52,3.0913174957653927e-52,0.0,0.0,1.5608049006742755e-22,1.837651964274746e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999998685924,0.108803,1.9662015581073699e-22,1.1252996323310875e-33,6.7871115638287506e-25,0.0,0.0,6.7435825549847404e-31,1.4105885668622436e-41,4.186640772442264e-44,5.7478239227938919e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1540307348356177e-14,6.1540879097873677e-14,8.3236765602169875e-15,5.7180069994925802e-19
9.268770576392474e-15,0.0018098245527797515,3.4890261931884465e-25,1.3320302054723893e-34,1.3320295994649667e-34,2.2448863744622116e-51,2.6690322610361886e-51,0.0,0.0,3.3764405532480529e-22,7.8793719772813709e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999997367292,0.108803,3.9392539098503138e-22,4.513084989282077e-33,2.7219135681127136e-24,0.0,0.0,2.7044782183816286e-30,5.6570910537341915e-41,1.6790302016743132e-43,2.3051344911380177e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232938932746147e-13,1.2329618633218661e-13,1.6676355472536695e-14,2.2931568851174812e-18
