Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259)
0.0,0.0007628563160745547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.779302418086136e-18,0.0007628563160745547,5.3889724073217675e-28,7.3189955097064187e-40,7.3189252873416619e-40,2.6996560187888375e-59,3.1977508722780411e-59,0.0,0.0,5.9663131648545572e-25,5.0886947302704267e-39,5.8042494886243281e-69,9.0206658663529271e-70,1.1076373657395196e-66,-4.0096388387569731e-116,1.7765815613968464e-83,6.3258380790141138e-70,2.6948277450350921e-70,1.1062153224603756e-66,2.4792257189160182e-116,4.1087659130962347e-112,1.8108747338556345e-69,4.5353632122285561e-62,3.4867741580563469e-80,6.7566255556560324e-100,5.8042443587086838e-69,6.9953151364565612e-85,1.5912927752897846e-58,5.0795542066226784e-32,1.7765815714311444e-83,4.1826104988910927e-83,7.2491053374232456e-51,1.0648886923516282e-82,1.9918013543649222e-86,1.3928703416157796e-67,4.6380957635680129e-81,0.35999999999999999,0.0,0.0098899999999994322,0.108803,8.1927274637734459e-25,1.0130098722329182e-38,8.6708597371867173e-30,6.5594098682117021e-63,0.0,8.8357075681041735e-33,3.2956469971998416e-46,2.2081959973636914e-48,1.8377814672798579e-28,1.194101082741346e-45,0.0,0.0,0.0,0.0,0.0,0.0,2.7590720974160101e-16,2.7590722942872649e-16,1.5823949960551536e-17,2.3517893820337954e-23,3.6083068921587025e-24,5.0795542066226784e-32,3.4349610139493201e-37
2.7382046770641183e-17,0.0007628563160745547,1.5089125581294755e-27,4.420652298076351e-39,4.4206315680246145e-39,4.0811273280085594e-58,4.8358545569910184e-58,0.0,0.0,1.6718310105812154e-24,3.0755114773794174e-38,1.298388815423248e-67,2.0178875464457202e-68,2.4777413354269099e-65,2.0778719439736085e-114,5.5858593017824337e-82,1.4150651303957102e-68,6.0282239912635913e-69,2.4745602901456057e-65,3.2247854792489419e-114,4.642145455597281e-110,4.0508557557191275e-68,5.3843850451177692e-61,1.4388273093180605e-78,7.6858969891767152e-98,1.2983866985484821e-67,2.8866373595122903e-83,1.8891834720298376e-57,3.0680519740657441e-31,5.5858593595748819e-82,2.5447992480286734e-81,8.6061410238428463e-50,4.3942944783978204e-81,8.2192268359110027e-85,3.1157963251855089e-66,2.2156747927595654e-79,0.35999999999999999,0.0,0.0098899999999984105,0.108803,2.2939636606426331e-24,6.1202645045384231e-38,5.2371988352612671e-29,2.0630842253212765e-61,0.0,5.3367673143700073e-32,1.9905707653050188e-45,1.333750426294423e-47,1.1100199923012778e-27,1.4176367975220049e-44,0.0,0.0,0.0,0.0,0.0,0.0,7.7254011107772038e-16,7.7254023070882612e-16,4.4307059889494267e-17,1.4204806663729869e-22,2.1794169604217002e-23,3.0680519740657441e-31,4.0779857132822585e-36
6.258753547575127e-17,0.0007628563160745547,3.4489443292415189e-27,2.1283497569483443e-38,2.1283445152642925e-38,4.3961829823259972e-57,5.2097839891923786e-57,0.0,0.0,3.8272836955310784e-24,1.4827022079571579e-37,2.5654036495481746e-66,3.9870086663029794e-67,4.8956030342045618e-64,2.1808139351462883e-112,1.2461759078200295e-80,2.7959322088528194e-67,1.19107639539846e-67,4.8893178621926042e-64,7.1443747967873843e-112,4.1934429892963738e-108,8.0038144453494366e-67,5.2864250628083639e-60,5.6918595098934697e-77,6.9655340985971948e-96,2.5653952753958952e-66,1.1419258908833976e-81,1.8548129949008668e-56,1.4771362131840297e-30,1.2461759337366186e-80,1.1497868934381218e-79,8.4495669997863112e-49,1.7383404831595472e-79,3.2514468262394957e-83,6.1562931755745837e-65,1.1536984504388541e-77,0.35999999999999999,0.0,0.009889999999996367,0.108803,5.2433453723193463e-24,2.948360022402749e-37,2.5214853425747437e-28,4.6087256392315518e-60,0.0,2.5694236756580419e-31,9.5837411528020182e-45,6.4214346186349822e-47,5.3442682977901338e-27,1.3918441968634734e-43,0.0,0.0,0.0,0.0,0.0,0.0,1.765805608955004e-15,1.7658061865026235e-15,1.0127327974717964e-16,6.8390017173231982e-22,1.049295040576737e-22,1.4771362131840299e-30,4.0037905150113122e-35
1.3299851288597146e-16,0.0007628563160745547,7.3290124167347746e-27,9.2950591667165944e-38,9.2950458792116175e-38,4.0524509153561735e-56,4.8026730099989527e-56,0.0,0.0,8.1584022450288728e-24,6.4927099992264266e-37,4.5650207151265955e-65,7.0946793330275401e-66,8.7114772444801971e-63,1.7411530802507582e-110,2.3339548974125304e-79,4.9752190227728785e-66,2.1194600973924835e-66,8.7002932504535047e-63,1.180882903052928e-109,3.1754376010004655e-106,1.4242382006142158e-65,4.6757900328065818e-59,2.0313855732529246e-75,5.2906368260064528e-94,4.5649908283273008e-65,4.0754585478291001e-80,1.6405636893952129e-55,6.4510529580185886e-30,2.3339549949174347e-79,4.3484666925027496e-78,7.4735582574833015e-48,6.204022942652859e-78,1.1604200182003099e-81,1.0954811584452281e-63,4.6041171214898824e-76,0.35999999999999999,0.0,0.00988999999999228,0.108803,1.1142108328272247e-23,1.2891340945990673e-36,1.1011984953238203e-27,8.6542300751084534e-59,0.0,1.1221347731658482e-30,4.1854713608871997e-44,2.8044095968967851e-46,2.3339822474063058e-26,1.2310703988485816e-42,0.0,0.0,0.0,0.0,0.0,0.0,3.7523353855305237e-15,3.7523379110248717e-15,2.1520571946174993e-16,2.986770649364767e-21,4.5825435151949902e-22,6.4510529580185886e-30,3.541307288464875e-34
2.7382046770641186e-16,0.0007628563160745547,1.5089166772793065e-26,3.8805074965059347e-37,3.8805038752060928e-37,3.4870612255519156e-55,4.1327268382441602e-55,0.0,0.0,1.6901492002934383e-23,2.7250868659579525e-36,7.6996489713265597e-64,1.1966248936195646e-64,1.4693224437061419e-61,1.2402523890072093e-108,4.0313451064297818e-78,8.3914578443074951e-65,3.5747903869369062e-65,1.4674361447836459e-61,1.7088454504430985e-107,2.2071124329216817e-104,2.4021932948447024e-64,3.9302949209140152e-58,6.8636020001196593e-74,3.694583158214397e-92,7.6995479902837134e-64,1.3770095089070785e-78,1.3789970235015515e-54,2.6931968443866888e-29,4.031345444059829e-78,1.5135935921547715e-76,6.2819961081197215e-47,2.0962053988925226e-76,3.9208087857547325e-80,1.847694785875105e-62,1.6363820668413645e-74,0.35999999999999999,0.0,0.0098899999999841059,0.108803,2.2939632370695395e-23,5.3944823384277349e-36,4.5972836109705539e-27,1.502582109349798e-57,0.0,4.6846913607852545e-30,1.7473517449150623e-43,1.1707861300229094e-45,9.7439153951219003e-26,1.0347887953560732e-41,0.0,0.0,0.0,0.0,0.0,0.0,7.7253900619715376e-15,7.725400611810037e-15,4.4307059888768878e-16,1.2469170511191125e-20,1.9131187001688832e-21,2.6931968443866888e-29,2.9766820177904281e-33
5.554643773472927e-16,0.0007628563160745547,3.0609548209157535e-26,1.5853177893168791e-36,1.5853166953230484e-36,2.9165077487447851e-54,3.456610525966697e-54,0.0,0.0,3.4711081678527567e-23,1.1251432347953465e-35,1.2646941221643253e-62,1.9654715918790003e-63,2.4133813435236694e-60,8.3672861240121621e-107,6.6982014396503078e-77,1.378307279388318e-63,5.8716408304382542e-64,2.4102832401720149e-60,2.32284760740914e-105,1.4714344947490149e-102,3.9456341850550822e-63,3.2223123573138499e-57,2.2566082954003376e-72,2.4846254173603084e-90,1.2646609216061857e-62,4.5273336534495322e-77,1.1305923308742863e-53,1.1002663254348041e-28,6.6982025629768546e-77,5.0735749130407335e-75,5.1503928761798677e-46,6.8919062310669575e-75,1.2890839716765487e-78,3.0348630766885627e-61,5.5118308189866179e-73,0.35999999999999999,0.0,0.0098899999999677579,0.108803,4.65346729785666e-23,2.2141199265112976e-35,1.8781376348266796e-26,2.5223926788763926e-56,0.0,1.9138489317164871e-29,7.1385007410898557e-43,4.7830460416027051e-45,3.9807065231173076e-25,8.48382287754239e-41,0.0,0.0,0.0,0.0,0.0,0.0,1.5671479908062764e-14,1.5671523020359533e-14,8.9880035772675951e-16,5.0940556555549052e-20,7.8156895285100591e-21,1.1002663254348041e-28,2.4404635347879586e-32
1.118752196629054e-15,0.0007628563160745547,6.1650601978564423e-26,6.408141519800077e-36,6.4081378686633312e-36,2.4259116316385863e-53,2.875252249890824e-53,0.0,0.0,7.1623897862004596e-23,4.643863371331341e-35,2.0502033719150235e-61,3.1861519666165081e-62,3.9122439143486073e-59,5.4970797394410172e-105,1.0919958589944715e-75,2.234320811730423e-62,9.5183041443466285e-63,3.9072222361037567e-59,3.0630803733112196e-103,9.6105127144477418e-101,6.3961235896315109e-62,2.6095430637815352e-56,7.3192946984909195e-71,1.6504514124974365e-88,2.0500956853800785e-61,1.4684480242097016e-75,9.1559491003108222e-53,4.4475133437942699e-28,1.0919962254869474e-75,1.6774288934701122e-73,4.1709750114231803e-45,2.2354005884339779e-73,4.1811644724081435e-77,4.9197058203391792e-60,1.8090678287306939e-71,0.35999999999999999,0.0,0.0098899999999350618,0.108803,9.3724724294052665e-23,9.0330809690530274e-35,7.5917105703182127e-26,4.1963414721208112e-55,0.0,7.7360805762927439e-29,2.8854950965260311e-42,1.933385852932012e-44,1.6090645339248406e-24,6.8704183319195574e-40,0.0,0.0,0.0,0.0,0.0,0.0,3.1563581573476457e-14,3.1563755865507066e-14,1.8102598753536731e-15,2.0590927948475472e-19,3.1592067839930462e-20,4.4475133437942707e-28,1.9763502759052025e-31
2.245327835192577e-15,0.0007628563160745547,1.2373387310158077e-25,2.5767129635799655e-35,2.5767116496721699e-35,2.0441193593549146e-52,2.4228693771500101e-52,0.0,0.0,1.5062404710376869e-22,1.9443637328262175e-34,3.3020484649668378e-60,5.1313224523888764e-61,6.300709873389111e-58,3.5644119356971207e-103,1.7636407335169198e-74,3.598386329360234e-61,1.5329337435717927e-61,6.2926241640679016e-58,3.9793315383205421e-101,6.2135265691527398e-99,1.0301026791906605e-60,2.1004371416729309e-55,2.3580339259869711e-69,1.1026712595783801e-86,3.301701529694084e-60,4.7309216075890578e-74,7.3697020726858395e-52,1.7883745612698132e-27,1.7636419176972874e-74,5.5590266542733661e-72,3.3572494005746717e-44,7.2018219652685815e-72,1.3470519838456983e-75,7.9232400398022141e-59,5.862584788687519e-70,0.35999999999999999,0.0,0.0098899999998696697,0.108803,1.8810470738515144e-22,3.6991145048175336e-34,3.0525757079662069e-25,7.0490809884608176e-54,0.0,3.1106417212969482e-28,1.1602440528456393e-41,7.7740769210993004e-44,6.4699721829410483e-24,5.5299081465953866e-39,0.0,0.0,0.0,0.0,0.0,0.0,6.3347472800384324e-14,6.3348173669051245e-14,3.633178910402591e-15,8.2794737319838019e-19,1.2702871614951196e-19,1.7883745612698132e-27,1.5907380483359386e-30
4.4984791123196225e-15,0.0007628563160745547,2.4790506966435105e-25,1.0333992488509586e-34,1.0333987527555802e-34,1.7825801163751028e-51,2.1130593638132791e-51,0.0,0.0,3.2932216945734396e-22,8.4160839393520062e-34,5.3013666212876824e-59,8.2373108364716371e-60,1.0114583362040363e-56,2.2962943860423143e-101,2.8352083487672884e-73,5.7764687621418084e-60,2.4608344438265083e-60,1.0101608980291821e-56,5.1316215399073228e-99,3.9970890357205513e-97,1.6536334436936109e-59,1.6855485407363993e-54,7.5713170740293088e-68,7.5508576333759387e-85,5.3002526254733414e-59,1.51908156543622e-72,5.9140572621502213e-51,7.1725749320367952e-27,2.8352121567007393e-73,1.8763759142303143e-70,2.6941189798066131e-43,2.3124769795286684e-70,4.3253331243915175e-74,1.2719251991493694e-57,1.8879699534842436e-68,0.35999999999999999,0.0,0.0098899999997388854,0.108803,3.7686419589706011e-22,1.5372114030533972e-33,1.2242051736056178e-24,1.2205631007172724e-52,0.0,1.2475046507213355e-27,4.6530908898556973e-41,3.1177665379568031e-43,2.5947437795240017e-23,4.4373994362395916e-38,0.0,0.0,0.0,0.0,0.0,0.0,1.2691400686376577e-13,1.2691681773757502e-13,7.2790169796807798e-15,3.3204009085029803e-18,5.0942914042978766e-19,7.1725749320367952e-27,1.2764661518808331e-29
